dbn,q1_1,q13_c8_r3,q12_c1_r4,q15_c8_r4,q17_c1_r4,q15_c9_r1,q13_c12_r2,q17_c4_r2,q13_c1_r4,q14_c10_r3,q20_r2_c1,q13_c1_r3,q9_2,q17_c11_r3,q11_r3_c1,q20_r2_c4,q15_c4_r1,q21_r7_c4,q13_c11_r1,q14_c8_r1,q9_11,q15_c6_r2,q16_c2_r2,q14_c8_r4,q14_c12_r3,q14_c7_r3,q9_7,q15_c7_r3,q21_r3_c1,q13_c5_r3,q9_6,q13_c11_r3,q9_13,q17_c6_r4,q16_c12_r2,q20_r5_c3,q14_c9_r2,q14_c9_r1,q13_c13_r3,q11_r2_c1,q16_c12_r1,q16_c12_r3,q21_r3_c4,q20_r3_c2,q16_c10_r2,q13_c3_r2,q14_c11_r3,q21_r5_c4,q13_c9_r2,q14_c1_r2,q8_r2_c1,q16_c11_r4,q16_c13_r3,q15_c3_r4,q14_c12_r4,q14_c10_r2,q17_c13_r2,q20_r4_c4,q15_c11_r2,q6_4,q17_c8_r3,q14_c13_r4,q9_12,q13_c13_r2,q9_5,q17_c3_r1,q16_c14_r3,q21_r4_c2,q11_r2_c3,q3_2,q13_c10_r4,q13_c8_r2,q13_c10_r1,q16_c15_r2,q15_c10_r1,q13_c10_r2,q13_c8_r1,q17_c3_r3,q20_r4_c3,q16_c9_r1,q14_c11_r4,q16_c13_r1,q15_c12_r2,q16_c14_r1,q15_c5_r2,q15_c12_r1,q20_r5_c4,q13_c12_r4,q16_c6_r3,q13_c11_r2,q9_17,q21_r3_c2,q15_c5_r1,q14_c4_r1,q16_c6_r2,q11_r1_c4,q15_c1_r3
13K133,Laurie,,12,,12.0,,,0.0,12.0,,0,3.0,0,,1,0,0.0,0,,,0,,8.0,,,,0,,0,3.0,0,,0,,,0,,,,1,,,0,0,,0.0,,0,,14.0,1.0,,,12.0,,,,0,,0.0,,,0,,0,0.0,,0,0,0,,,,,,,,0.0,0,,,,,,0.0,,0,,,,1,0,0.0,0.0,,0,2.0
17K246,Kenroy,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,,,,,,,,,0,,0.0,,,0,,0,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
11X418,Iris,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,0,,0,,1,,0,,,0,,,,0,,,0,0,,,,0,,,0.0,,,,,,,0,,3.0,,,1,,0,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
22K207,Michele,,0,,0.0,,,0.0,0.0,,0,0.0,0,,0,0,0.0,0,,,1,,0.0,,,,1,,0,0.0,1,,0,0.0,,0,,,,0,,,0,0,,0.0,,0,,0.0,0.0,,,0.0,,,,0,,0.0,,,1,,1,0.0,,0,0,0,,,,,,,,0.0,0,,,,,,0.0,,0,,,,1,0,0.0,0.0,,0,0.0
26Q376,,,27,,,,,,0.0,,0,0.0,0,,0,0,,0,,,1,,,,,,0,,0,,0,,0,,,0,,,,1,,,0,0,,,,0,,0.0,1.0,,,,,,,0,,0.0,,,0,,0,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
23K647,Celina,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,,0.0,,,,,,,0,,0.0,,,0,,0,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,0,0,,,,0,
24Q311,Stephen,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,1,,0,,1,,0,,,0,,,,0,,,0,0,,,,0,,,1.0,,,,,,,0,,0.0,,,1,,1,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
01M539,Pieter,,0,,0.0,,,0.0,0.0,,0,0.0,1,,0,0,7.0,0,,,1,,0.0,,,,1,,0,,1,,0,,,0,,,,0,,,0,0,,0.0,,0,,0.0,3.0,,,0.0,,,,0,,0.0,,,0,,0,18.0,,0,0,0,,,,,,,,0.0,0,,,,,,,,0,,,,1,0,,0.0,,0,0.0
04M964,Ireena,,0,,0.0,,,,0.0,,0,0.0,0,,0,0,,0,,,0,,60.0,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,80.0,2.0,,,,,,,0,,0.0,,,0,,0,,,0,0,0,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,0.0
19K214,,,0,,0.0,,,0.0,0.0,,0,0.0,1,,1,0,0.0,0,,,1,0.0,0.0,,,0.0,0,,0,0.0,1,,0,0.0,,0,,,,1,,,0,0,,0.0,,0,,0.0,1.0,,,0.0,,,,0,,0.0,,,1,,0,0.0,,0,0,1,,,,,,,,0.0,0,,,,,,0.0,,0,,0.0,,1,0,0.0,0.0,0.0,0,0.0
22K078,Anthony,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,1,,0,,1,,0,,,0,,,,0,,,0,0,,,,0,,,1.0,,,,,,,0,,1.0,,,0,,1,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
03M299,Joshua,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,,0.0,,,,,,,0,,1.0,,,0,,1,,,0,0,0,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
28Q072,David,,,,,,,,,,0,,0,,0,0,,0,,,1,,,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,,1.0,,,,,,,0,,0.0,,,0,,0,,,0,0,0,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
21K096,Erinmarie,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,1,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,,2.0,,,,,,,0,,1.0,,,1,,1,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
21K099,Vito,,0,,0.0,,,0.0,0.0,,0,0.0,1,,0,0,0.0,0,,,1,,0.0,,,,0,,0,,0,,0,,,0,,,,1,,,0,0,,0.0,,0,,0.0,0.0,,,0.0,,,,0,,0.0,,,1,,1,0.0,,0,0,1,,,,,,,,0.0,0,,,,,,,,0,,,,1,0,,0.0,,0,0.0
13K483,Kristin,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,,0.0,,,,,,,0,,0.0,,,1,,0,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
19K108,Kristy,,0,,0.0,,,0.0,0.0,,0,0.0,1,,0,0,0.0,0,,,1,,0.0,,,,0,,0,0.0,1,,0,0.0,,0,,,,0,,,0,0,,0.0,,0,,0.0,0.0,,,0.0,,,,0,,0.0,,,0,,0,0.0,,0,0,1,,,,,,,,0.0,0,,,,,,0.0,,0,,0.0,,1,0,0.0,0.0,0.0,0,0.0
14K059,Dieudonne,,0,,72.0,,,,0.0,,0,0.0,1,,0,0,,0,,,1,,0.0,,,,1,,0,,1,,0,,,0,,,,0,,,0,0,,,,0,,0.0,,,,72.0,,,,0,,0.0,,,1,,0,72.0,,0,1,0,,,,,,,,0.0,0,,,,,,,,0,,,,1,0,,,,0,0.0
02M489,Yevgenia,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,,0.0,,,,,,,0,,1.0,,,0,,0,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
17K352,Samantha,,,,,,,,,,0,,0,,0,0,,0,,,1,,,,,,0,,0,,0,,1,,,0,,,,0,,,0,0,,,,0,,,3.0,,,,,,,0,,0.0,,,0,,0,,,0,0,0,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
11X556,Renee,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,0,,0,,1,,0,,,0,,,,0,,,0,0,,,,0,,,,,,,,,,0,,0.0,,,0,,1,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,0,0,,,,0,
11X103,Julia,0.0,0,0.0,0.0,,,75.0,0.0,,0,0.0,1,,0,0,0.0,0,,0.0,1,70.0,68.0,0.0,,0.0,0,0.0,0,0.0,0,,0,0.0,,0,,,,1,,,0,0,68.0,77.0,,0,77.0,57.0,3.0,,,0.0,,,,0,,0.0,0.0,,0,,0,0.0,,0,0,1,,77.0,,,,,0.0,0.0,0,0.0,,,,,70.0,,0,,0.0,,1,0,0.0,0.0,68.0,0,0.0
08X348,Kyrstin,,,,,,,,,,0,,0,,0,0,,0,,,1,,,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,,,,,,,,,0,,0.0,,,0,,0,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,0,0,,,,0,
18K279,Stacey,,1,,1.0,,,,1.0,,0,0.0,1,,0,0,,0,,,0,,0.0,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,0.0,,0,,0.0,0.0,,,1.0,,,,0,,0.0,,,0,,0,1.0,,0,0,0,,,,,,,,0.0,0,,,,,,,,0,,,,1,0,,,,1,0.0
05M517,Cynthia,,12,,5.0,,,,12.0,,0,0.0,0,,0,0,,0,,,1,,30.0,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,30.0,0.0,,,,,,,0,,0.0,,,0,,0,,,0,1,0,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,60.0
06M540,Lillian,,,,,,,,,,0,,0,,0,0,,0,,,0,,,,,,0,,0,,0,,1,,,0,,,,0,,,0,0,,,,0,,,2.0,,,,,,,0,,0.0,,,0,,0,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,0,0,,,,0,
27Q047,Heather,,0,,0.0,,,,0.0,,0,0.0,1,,0,0,,0,,,1,,0.0,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,0.0,0.0,,,,,,,0,,1.0,,,0,,0,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,0.0
15K130,Kirsten,,0,,6.0,,,0.0,0.0,,0,12.0,0,,0,0,0.0,0,,,1,,0.0,,,,1,,0,12.0,1,,0,,,0,,,,1,,,0,0,,0.0,,0,,0.0,2.0,,,4.0,,,,0,,0.0,,,0,,1,0.0,,0,0,0,,,,,,,,10.0,0,,,,,,0.0,,0,,,,1,0,0.0,0.0,,1,10.0
24Q585,Stephanie,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,,2.0,,,,,,,0,,0.0,,,0,,0,,,0,0,0,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
09X110,Carol,,0,,1.0,,,,0.0,,0,0.0,1,,0,0,,0,,,1,,0.0,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,1.0,,0,,7.0,1.0,,,1.0,,,,0,,0.0,,,1,,0,1.0,,0,0,1,,,,,,,,1.0,0,,,,,,,,0,,,,1,0,,,,0,0.0
11X249,Miriam,,,,,,,,,,0,,0,,0,0,,0,,,1,,,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,,0.0,,,,,,,0,,1.0,,,0,,1,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,0,0,,,,0,
28Q196,Veronica,9.0,10,,0.0,,,9.0,0.0,,0,9.0,1,,0,0,20.0,0,,,1,9.0,9.0,,,20.0,0,,0,9.0,0,,1,0.0,,0,,,,0,,,0,0,,9.0,,0,,9.0,1.0,,,0.0,,,,0,,0.0,,,0,,0,30.0,,0,1,1,,9.0,,,,,20.0,0.0,0,,,,,,9.0,,0,,0.0,,1,0,20.0,0.0,9.0,0,0.0
04M206,,,,,0.0,,,0.0,,,0,,0,,0,0,0.0,0,,,1,0.0,0.0,,,,0,,0,,0,,0,0.0,,0,,,,0,,,0,0,,,,0,,,2.0,,,0.0,,,,0,,0.0,,,0,,0,0.0,,0,0,1,,,,,,,,0.0,0,,,,,,0.0,,0,,0.0,,1,0,0.0,,0.0,0,0.0
26Q133,Jennifer,,0,,0.0,,,0.0,0.0,,0,5.0,0,,0,0,0.0,0,,,1,,0.0,,,,1,,0,5.0,0,,0,,,0,,,,0,,,0,0,,0.0,,0,,0.0,1.0,,,0.0,,,,0,,0.0,,,0,,0,0.0,,0,0,1,,,,,,,,5.0,0,,,,,,0.0,,0,,,,0,0,0.0,0.0,,0,5.0
