globalid,from_level_code,l_low_hn,rwjurisdiction,pre_modifier,nonped,boroughcode,posted_speed,post_type,shape_length,collectionmethod
d947da96-d61c-4976-89a7-8d18b7146122,13,21,,,,5,25.0,AVE,74.78456373881293,
5d4ad7b1-089e-49b3-8af5-42bafaae1212,13,,,,V,4,50.0,PKWY,175.07401645370692,
fb3d9a53-a869-4f46-abab-8d46d20a2dee,13,,,,,4,25.0,AVE,47.651246955629,
1cab8f64-5a10-4e26-9f3d-ce106bea30ee,13,1003,,,,3,25.0,AVE,104.67285723986932,F
03b79788-cf23-4e3f-966c-263293dcd5aa,13,79,,,,3,25.0,ST,376.4819607548874,
0781b868-fa2b-465e-815e-c0c58c483534,17,,,,V,4,,,16.54594074803442,
3eb75504-efcd-4a55-9ec8-fdd53add9957,21,,,,D,1,,PATH,135.29784507341205,
8565a950-2b45-4de6-a3b1-106b2fb0b96b,13,244-001,3.0,,,4,,DR,25.774263372555872,
a494459d-80d3-4842-94d5-f5e7d817a9b4,13,67-039,,,,4,25.0,ST,175.34780271952252,
8cfda23e-6ae9-4eb0-9cb5-17c82368cb49,13,187-037,,,,4,25.0,AVE,101.97699170038032,
6f80b42f-45f7-4753-99d4-0426490d3dfd,13,473,,,,5,30.0,AVE,119.16818840720435,
e691d99f-7316-4c79-947b-6823f6be7728,13,5001,,,,3,25.0,,112.37173110280249,
076964ac-a922-4f6a-bfe2-e5cc56ab5c59,13,1401,,,,3,25.0,ST,311.293180260605,
e1098894-5021-4d70-9d11-a7c082e258a1,13,,,,,1,25.0,ST,11.530177254181837,
b0aa1c3f-7160-4a91-8559-98668b64a36a,13,47-001,,,,4,30.0,BLVD,123.2368981305584,
9c163e85-23ad-418a-a54c-40c8eef802e5,13,2501,,,,2,25.0,AVE,359.45658741153875,
0e5745f7-1ce5-45c0-bd11-eb710ba17657,13,58-001,,,,4,25.0,PL,89.13552654801147,
c960a147-f6d6-4543-b1a6-5525b313ef14,13,,,,D,5,,,33.34794700849227,
059e1283-75b9-41e9-a32e-923237a521bc,13,321,,,,5,25.0,AVE,99.9724676986718,
aa83e1cc-4d70-48ab-8254-0aedfbb69bac,13,62,3.0,,,1,,AVE,105.1291000655082,
e2f2d0dc-38d3-411b-b2a2-fc430f88b127,13,,,,,2,,,101.87627928354132,
9d18cf7d-a74d-4b71-acbe-8d56d3bcab9f,13,45,,,,5,25.0,ST,50.30555023674357,
f2ad97d8-bc91-4b9a-876f-29fd6e466470,13,131,,,,5,25.0,PL,99.50699614565615,
a44c0036-656e-4401-a94d-b08395339f37,13,,,,,2,,PATH,31.522241225649378,
adf3ee07-7f69-448f-8a41-f31f866460fd,13,57-065,,,,4,25.0,ST,110.16004671620892,
3721976a-d217-4643-b5ec-2fe56fa56d71,13,,,,V,4,50.0,PKWY,192.05672680364245,
64643e71-b321-4e81-91f8-bc9f405ea7f7,13,,,,,3,25.0,AVE,11.173740245818191,
418c3e22-2db9-4b05-a5a9-00513e478271,13,741,,,,3,25.0,PKWY,144.7564161952962,
23800b17-8a40-415f-84a0-2ada827d361e,13,31-001,,,,4,25.0,ST,206.61152815320312,
fb3cec88-6b46-4ca2-af33-c83b1777fca8,13,39-001,,,,4,25.0,ST,266.3363412903288,
5c842728-4723-4d19-bcd8-da611472e19e,13,439,,,,2,25.0,ST,73.02664471530086,
b7d07d20-b98f-406e-a8e4-e6337d4aa9f9,13,,,,,1,,PATH,74.76816602003043,
7560265b-78ca-47f1-9018-db23120aac15,13,0,,,,4,25.0,AVE,103.70566082423656,
6d565e0b-b81d-4c45-b88a-71f7efec45f3,13,,,,V,4,,,22.038459426145515,
a6e5819e-3ec5-479f-ad69-8dd0433b8928,13,,,,V,4,,,59.38456778570652,
2a9c8d77-ba1b-44dc-b9cb-ec60405ad465,13,,,,,2,25.0,ST,10.802348613631333,
a078f73f-b9aa-4571-998d-701eb8cf8368,17,,,,,5,25.0,AVE,11.838127877778131,
7d0fa3f8-bbfa-4308-afcf-d70a8f98fdad,13,120,,,,2,25.0,ST,105.2571222428238,F
20a7d020-a8d5-4278-828d-df2571f3e5a1,9,,,,V,1,40.0,TUNL,121.56871333813058,
4d6d4cdf-108f-4752-9c09-b552cbed5267,13,47,3.0,,,5,,WAY,331.26951518446896,
7c9b4837-f285-4ac3-acff-c2721113c138,13,17,,,,2,25.0,PL,103.1119821658896,
71c07713-fc04-435c-9c60-c75afcf9f4eb,13,91-001,,,,4,25.0,AVE,137.29231246527098,
dcd091f8-4841-4516-9f6c-7d01fa559981,13,,,,,2,25.0,CONC,5.787977454408414,
36df4835-09ea-4924-9bd7-5b971b58856c,13,1447,,,,2,25.0,AVE,215.64690703986284,
7272aa06-c265-472d-be96-6e61e29fc73c,13,0,,,,5,25.0,BLVD,152.12242106547484,
ec1af55d-4329-4907-9639-0d1c699acc72,13,2101,,,,3,25.0,TER,75.99227857279558,F
