physicalid,continuous_parity_flag,the_geom,to_level_code,within_bndy_dist,stname_label,pre_directional,bike_lane,accessible,number_park_lanes,carto_display_level
100514,,"{'type': 'MultiLineString', 'coordinates': [[[-74.101855839755, 40.608341142963], [-74.102582012133, 40.607941647252], [-74.102592051547, 40.607939170754], [-74.102602126888, 40.607936757382], [-74.10261222605, 40.607934397597], [-74.102622360027, 40.607932092227], [-74.102632530149, 40.607929849982], [-74.102642723875, 40.607927661493], [-74.102652941643, 40.607925527427], [-74.102663194018, 40.607923455819], [-74.10267347111, 40.607921447848], [-74.102683771803, 40.60791949313], [-74.102694095894, 40.607917602051], [-74.102704443589, 40.607915764894], [-74.102714815352, 40.607913999417], [-74.102725210266, 40.607912278984], [-74.10273562969, 40.607910631068], [-74.102746072276, 40.607909036405], [-74.10275652705, 40.607907505224], [-74.102766993556, 40.607906027975], [-74.102777483914, 40.607904623245], [-74.102787998313, 40.607903271599], [-74.102798524021, 40.607901983602], [-74.102809061474, 40.60790075825], [-74.102819611335, 40.607899596548], [-74.102830172943, 40.607898497489], [-74.102840758812, 40.607897452017], [-74.102851344354, 40.607896479252], [-74.102861941189, 40.607895560086], [-74.102872550664, 40.607894713447], [-74.102883160222, 40.607893920584], [-74.102893781307, 40.607893190198], [-74.10290441458, 40.607892523629], [-74.102915048169, 40.607891919547], [-74.1029256933, 40.607891387994], [-74.102936327083, 40.607890910227], [-74.102946972379, 40.607890486225], [-74.102957617787, 40.607890134595], [-74.102968263292, 40.607889845787], [-74.102978921203, 40.607889619791], [-74.102989555253, 40.607889457811], [-74.103000201268, 40.607889357637], [-74.103010847148, 40.607889312413], [-74.103021481488, 40.607889338565], [-74.103032103823, 40.607889419676], [-74.103042726268, 40.607889571987], [-74.103053349676, 40.607889778742], [-74.103063960652, 40.607890048163], [-74.103074559634, 40.607890380586], [-74.103085147066, 40.607890776846], [-74.103095723163, 40.607891235604], [-74.103106299344, 40.607891748137], [-74.103116851897, 40.607892333231], [-74.103127392223, 40.607892972112], [-74.103137921216, 40.60789367416], [-74.103148438657, 40.607894439209], [-74.103158932441, 40.607895258223]]]}",13,,MILFORD DR,,,,0.0,
68682,,"{'type': 'MultiLineString', 'coordinates': [[[-73.930458362124, 40.675826977554], [-73.930530756836, 40.675047031096]]]}",13,,UTICA AVE,,,,2.0,20.0
94705,,"{'type': 'MultiLineString', 'coordinates': [[[-73.982812939852, 40.589166046586], [-73.981882316087, 40.589267845414]]]}",13,,AVE X,,,,2.0,
86561,,"{'type': 'MultiLineString', 'coordinates': [[[-73.982606564673, 40.603066163365], [-73.982166934638, 40.600743685072]]]}",13,,W 10 ST,W,,,2.0,
72293,,"{'type': 'MultiLineString', 'coordinates': [[[-73.909857591585, 40.662419593868], [-73.9089216195, 40.66256284019]]]}",13,,LIVONIA AVE,,,,2.0,
55346,,"{'type': 'MultiLineString', 'coordinates': [[[-74.153530116595, 40.537727509707], [-74.15406682048, 40.537174830011]]]}",13,,KING ST,,,,2.0,
38221,,"{'type': 'MultiLineString', 'coordinates': [[[-73.964409824404, 40.681193811034], [-73.964423057217, 40.681127313671]]]}",13,,WASHINGTON AVE,,,,0.0,
86803,,"{'type': 'MultiLineString', 'coordinates': [[[-73.860123952851, 40.817397324789], [-73.860613501181, 40.819505676926]]]}",13,,LELAND AVE,,,,2.0,
60154,,"{'type': 'MultiLineString', 'coordinates': [[[-73.97965482402, 40.661251463637], [-73.97960123149, 40.661211647634], [-73.979601066532, 40.661211528994], [-73.979600926004, 40.661211374174], [-73.97955775894, 40.661163767764], [-73.979557570028, 40.661163566697], [-73.979557441182, 40.661163339506], [-73.97952721183, 40.661110277486], [-73.979527118166, 40.661110105083], [-73.979527071358, 40.661109940897], [-73.979511037624, 40.661054233282]]]}",13,,PROSPECT PARK W,,1.0,,1.0,
106727,,"{'type': 'MultiLineString', 'coordinates': [[[-73.890672752032, 40.756100146361], [-73.890668914113, 40.756079187547], [-73.890586712298, 40.755621256412], [-73.89058933662, 40.755595067031]]]}",13,,ALLEY,,,,0.0,
33250,,"{'type': 'MultiLineString', 'coordinates': [[[-73.706735672805, 40.743771630123], [-73.705832640376, 40.743966089122]]]}",13,,81 AVE,,,,2.0,
59865,,"{'type': 'MultiLineString', 'coordinates': [[[-73.834709085325, 40.836380406193], [-73.833807485239, 40.836651060265]]]}",13,,WATERBURY AVE,,,,2.0,
92498,,"{'type': 'MultiLineString', 'coordinates': [[[-73.812630046747, 40.713552326897], [-73.812367342512, 40.713552142277], [-73.812104646901, 40.71353632392], [-73.8118443863, 40.713504957546], [-73.811588902253, 40.713458388087], [-73.81139144188, 40.713408437615], [-73.811184608668, 40.713375058819], [-73.810972079671, 40.713359572608], [-73.810757924814, 40.713362633639], [-73.810546297105, 40.71338416782], [-73.810341257713, 40.713423416928], [-73.810146397239, 40.713478963437]]]}",13,,84 AVE,,,,2.0,
205823,,"{'type': 'MultiLineString', 'coordinates': [[[-73.868142916051, 40.656796973606], [-73.868028399752, 40.656635976051], [-73.867935225849, 40.656467182301], [-73.867864297441, 40.656292228356]], [[-73.867864297441, 40.656292228356], [-73.867816303449, 40.656112811826], [-73.867791707083, 40.655930669952], [-73.867790746741, 40.655747568105]]]}",13,,ERSKINE ST,,,,1.0,
200772,,"{'type': 'MultiLineString', 'coordinates': [[[-73.880209199584, 40.835843361877], [-73.880239742491, 40.835874485823], [-73.880267387399, 40.835907135069], [-73.880292002746, 40.835941154235]], [[-73.880292002746, 40.835941154235], [-73.880313488187, 40.835976406593], [-73.88033172484, 40.836012699439], [-73.880346626042, 40.836049860305]]]}",13,,BRONX RIVER GREENWAY,,1.0,,,
70803,,"{'type': 'MultiLineString', 'coordinates': [[[-73.754176044947, 40.757701257397], [-73.754229604286, 40.758533149449]]]}",13,,49 RD,,,,2.0,
23295,,"{'type': 'MultiLineString', 'coordinates': [[[-73.966360560707, 40.764740053186], [-73.964756739506, 40.764065321296]]]}",13,,E 63 ST,E,,,2.0,
19151,,"{'type': 'MultiLineString', 'coordinates': [[[-73.940092248603, 40.82037908036], [-73.940051162154, 40.820438896697], [-73.940020916458, 40.820482929823], [-73.93998797906, 40.820530882615], [-73.939957920086, 40.820574644264], [-73.939922559431, 40.82062612501], [-73.939891072834, 40.820671965042], [-73.939854963309, 40.820724535625], [-73.939825899573, 40.820766848504], [-73.939787307588, 40.820823032945], [-73.939714117023, 40.820929587597], [-73.939657655848, 40.821011786048]]]}",13,,ADAM CLAYTON POWELL JR BLVD,,3.0,,0.0,
7229,,"{'type': 'MultiLineString', 'coordinates': [[[-73.733620183223, 40.742736739209], [-73.733119867246, 40.743085798499], [-73.732875707329, 40.743247792707], [-73.732566179244, 40.743474282657], [-73.732417232652, 40.743583267722], [-73.732326682177, 40.743653666454]]]}",17,,GRAND CENTRAL PKWY,,,,0.0,10.0
91044,,"{'type': 'MultiLineString', 'coordinates': [[[-73.788485265606, 40.734055004168], [-73.787354167997, 40.731673447161]]]}",13,,183 ST,,,,2.0,
2203,,"{'type': 'MultiLineString', 'coordinates': [[[-73.933083364625, 40.803433475216], [-73.932664321814, 40.804073360309]]]}",13,,2 AVE,,,,2.0,
8692,,"{'type': 'MultiLineString', 'coordinates': [[[-73.864031720255, 40.718907550765], [-73.863494197664, 40.718323527323]]]}",13,,WOODHAVEN BLVD,,,,1.0,10.0
80186,,"{'type': 'MultiLineString', 'coordinates': [[[-73.823416134767, 40.786797226226], [-73.822901094895, 40.785590050097]]]}",13,,144 PL,,,,2.0,
71497,,"{'type': 'MultiLineString', 'coordinates': [[[-73.862075577986, 40.674216194762], [-73.86176534874, 40.674240496478]]]}",13,4.0,SUTTER AVE,,,,0.0,
184077,,"{'type': 'MultiLineString', 'coordinates': [[[-73.891418627065, 40.581802607539], [-73.891476760753, 40.581773598258], [-73.891559597007, 40.581725618765]]]}",13,,AVIATION RD,,,,0.0,
4148,,"{'type': 'MultiLineString', 'coordinates': [[[-73.991326431759, 40.719410767606], [-73.990529917279, 40.719167972526]]]}",13,,DELANCEY ST,,1.0,,1.0,
55421,,"{'type': 'MultiLineString', 'coordinates': [[[-74.153897566384, 40.58715759725], [-74.154682285917, 40.587601249749]]]}",13,,KLONDIKE AVE,,,,2.0,
43980,,"{'type': 'MultiLineString', 'coordinates': [[[-73.942201866544, 40.700898906951], [-73.941932068218, 40.70073347315]]]}",13,,BROADWAY,,,,2.0,20.0
49236,,"{'type': 'MultiLineString', 'coordinates': [[[-74.185117873688, 40.548901939591], [-74.184350411874, 40.548499080038]]]}",13,,ARDEN AVE,,,,1.0,
120750,,"{'type': 'MultiLineString', 'coordinates': [[[-74.198048407431, 40.551434356872], [-74.197900641664, 40.551069345051]]]}",13,,DOGWOOD DR,,,,2.0,
34686,,"{'type': 'MultiLineString', 'coordinates': [[[-73.865894086959, 40.728838060928], [-73.865488570723, 40.729480254846]]]}",13,,63 AVE,,3.0,,2.0,
85493,,"{'type': 'MultiLineString', 'coordinates': [[[-73.944451527624, 40.704317377396], [-73.944176896819, 40.704343656881], [-73.944084706874, 40.704352478346]]]}",13,,SEIGEL ST,,,,2.0,
60176,,"{'type': 'MultiLineString', 'coordinates': [[[-73.978250337852, 40.679687875332], [-73.975750584206, 40.678707939826]]]}",13,,PARK PL,,,,2.0,
35960,,"{'type': 'MultiLineString', 'coordinates': [[[-73.906812820254, 40.820952739174], [-73.906458497037, 40.821723628527]]]}",13,,TRINITY AVE,,2.0,,2.0,
205801,,"{'type': 'MultiLineString', 'coordinates': [[[-73.87839896802, 40.789883788643], [-73.878940379382, 40.78928203492], [-73.879043598247, 40.789295794929], [-73.879929371779, 40.789794419523], [-73.879929201356, 40.789888917852], [-73.879513886893, 40.790275952514], [-73.879244497115, 40.790417751797]]]}",13,,ROSE M SINGER CENTER ACCESS RD,,,,0.0,
93544,,"{'type': 'MultiLineString', 'coordinates': [[[-73.859885589447, 40.741888171501], [-73.858879337434, 40.742493156652]]]}",13,,RADCLIFF AVE,,,,2.0,
192354,,"{'type': 'MultiLineString', 'coordinates': [[[-73.82680811856, 40.872318933611], [-73.827009210099, 40.871935048702], [-73.827074819824, 40.871825865149]]]}",13,,CO-OP CITY SECT 4 PED PATH,,,,,
43185,,"{'type': 'MultiLineString', 'coordinates': [[[-73.944142642368, 40.678245194249], [-73.94318448931, 40.6781902709]]]}",13,,ATLANTIC AVE,,,,1.0,10.0
31709,,"{'type': 'MultiLineString', 'coordinates': [[[-73.878955089981, 40.76199223562], [-73.878668390418, 40.760412213379], [-73.878597547151, 40.760021742407]]]}",13,,90 ST,,,,2.0,
413,,"{'type': 'MultiLineString', 'coordinates': [[[-73.945049808122, 40.844794527582], [-73.945065831164, 40.845087568433], [-73.945144239029, 40.846521459449], [-73.945213215477, 40.847782809028]]]}",13,,HENRY HUDSON PKWY,,,,0.0,30.0
13577,,"{'type': 'MultiLineString', 'coordinates': [[[-73.84090943372, 40.708812970051], [-73.84090931353, 40.708883255151]]]}",13,,JACKIE ROBINSON PKWY ET 6 EB,,,,0.0,
126761,,"{'type': 'MultiLineString', 'coordinates': [[[-74.24702375666, 40.503764922024], [-74.246820561683, 40.503095218764], [-74.246196908735, 40.501289052513]]]}",13,,CARTERET ST,,,,2.0,
68945,,"{'type': 'MultiLineString', 'coordinates': [[[-73.923113449102, 40.611402110718], [-73.923141309727, 40.610973238067], [-73.923176308615, 40.610892223473], [-73.923223310295, 40.610865185198], [-73.923322309458, 40.610832229126], [-73.923476212619, 40.610847181128]]]}",13,,E 53 ST,E,,,0.0,
44397,,"{'type': 'MultiLineString', 'coordinates': [[[-73.949648385937, 40.678971163966], [-73.949680303479, 40.678574203843]]]}",13,,NOSTRAND AVE,,,,2.0,
87410,,"{'type': 'MultiLineString', 'coordinates': [[[-73.83213984395, 40.828254112036], [-73.831318083703, 40.828654543529]]]}",13,,BARKLEY AVE,,,,2.0,
188685,,"{'type': 'MultiLineString', 'coordinates': [[[-74.240007603796, 40.52839234412], [-74.241644770665, 40.528488149387], [-74.241487175483, 40.529105686927]]]}",13,,CHART LOOP,,,,2.0,
63163,,"{'type': 'MultiLineString', 'coordinates': [[[-73.925143620138, 40.810061473294], [-73.924649361285, 40.810736403337]]]}",13,,ALEXANDER AVE,,,,2.0,
45004,,"{'type': 'MultiLineString', 'coordinates': [[[-74.082266425707, 40.642317856518], [-74.082095254256, 40.642297312364], [-74.081919748885, 40.642290494306], [-74.08174278402, 40.642297977754], [-74.081567372973, 40.642319894921], [-74.081396530841, 40.642355856354], [-74.08123308129, 40.642405023441], [-74.081079493186, 40.64246613248]]]}",13,,FORT HILL CIRCLE,,,,2.0,
84902,,"{'type': 'MultiLineString', 'coordinates': [[[-73.961681270771, 40.679710440105], [-73.961957728706, 40.678942077474]]]}",13,,GRAND AVE,,,,2.0,
42089,,"{'type': 'MultiLineString', 'coordinates': [[[-73.861134019919, 40.851180467527], [-73.860938232504, 40.85126814676]]]}",13,,NEILL AVE,,,,1.0,
14122,,"{'type': 'MultiLineString', 'coordinates': [[[-73.777155410713, 40.593553260289], [-73.777394314098, 40.595562004057]]]}",13,,BCH 46 ST,,,,2.0,
43102,,"{'type': 'MultiLineString', 'coordinates': [[[-73.996521536517, 40.621982921405], [-73.997385371787, 40.621153816752]]]}",13,,DURYEA CT,,,,2.0,
205250,,"{'type': 'MultiLineString', 'coordinates': [[[-73.77045875083, 40.688549174605], [-73.770386451038, 40.688442572093], [-73.770320231605, 40.688333704313], [-73.770260214697, 40.688222772097]], [[-73.770260214697, 40.688222772097], [-73.770206512106, 40.68810998084], [-73.770159221737, 40.687995537907], [-73.770118430831, 40.687879654415]], [[-73.770118430831, 40.687879654415], [-73.770052315439, 40.687839259529], [-73.769983537857, 40.687801528068], [-73.76991228305, 40.687766561508]], [[-73.76991228305, 40.687766561508], [-73.769838743189, 40.687734453512], [-73.769763115486, 40.687705290782], [-73.769685603328, 40.687679151751]]]}",13,,ST ALBANS COMM LIV CTR DRIVEWAY,,,,0.0,
29170,,"{'type': 'MultiLineString', 'coordinates': [[[-73.843428819338, 40.675302478129], [-73.843303923005, 40.675320399454], [-73.843212666893, 40.67533251306]]]}",13,,133 AVE,,,,0.0,
79065,,"{'type': 'MultiLineString', 'coordinates': [[[-73.81340640518, 40.691054272436], [-73.813315351844, 40.690984308041], [-73.813286690115, 40.690680422479], [-73.813268831413, 40.690491074127], [-73.812908644838, 40.689835706296]]]}",13,,133 ST,,,,0.0,
11254,,"{'type': 'MultiLineString', 'coordinates': [[[-73.830281684458, 40.685083648857], [-73.829105980383, 40.682729968769]]]}",13,,112 ST,,,,2.0,
19474,,"{'type': 'MultiLineString', 'coordinates': [[[-73.954485671377, 40.820735061426], [-73.954586386454, 40.820777487302], [-73.95468461324, 40.820818723527]]]}",13,,W 136 ST,W,,,0.0,
178984,,"{'type': 'MultiLineString', 'coordinates': [[[-73.969364634636, 40.749538436206], [-73.969321605357, 40.74952522252]]]}",13,,SHARANSKY STEPS,,,,2.0,
61125,,"{'type': 'MultiLineString', 'coordinates': [[[-73.912877610967, 40.822449612317], [-73.912542473697, 40.823083002174]]]}",13,,ELTON AVE,,,,2.0,
11621,,"{'type': 'MultiLineString', 'coordinates': [[[-73.94123989899, 40.755242664929], [-73.942431597823, 40.754005115512]]]}",13,,21 ST,,,,2.0,
40756,,"{'type': 'MultiLineString', 'coordinates': [[[-73.852658779089, 40.873000463276], [-73.851626472485, 40.872667505499]]]}",13,,E GUN HILL RD,E,,,2.0,20.0
8682,,"{'type': 'MultiLineString', 'coordinates': [[[-73.870108752855, 40.726223695964], [-73.869591095669, 40.725193746557]]]}",13,,WOODHAVEN BLVD,,,,1.0,10.0
35225,,"{'type': 'MultiLineString', 'coordinates': [[[-74.121216813897, 40.572002668041], [-74.120612609207, 40.571658951943]]]}",13,,BEACH AVE,,,,2.0,
66279,,"{'type': 'MultiLineString', 'coordinates': [[[-73.829415149329, 40.845960627382], [-73.830527844482, 40.847670036261]]]}",13,,JARVIS AVE,,,,2.0,
84178,,"{'type': 'MultiLineString', 'coordinates': [[[-73.775916842423, 40.767236213966], [-73.775144225155, 40.76578364964]]]}",13,,211 ST,,,,2.0,
76093,,"{'type': 'MultiLineString', 'coordinates': [[[-74.092604041915, 40.574468883136], [-74.091876579976, 40.574070318608]]]}",13,,MAPLETON AVE,,,,2.0,
169745,,"{'type': 'MultiLineString', 'coordinates': [[[-73.971272806295, 40.625604744867], [-73.971937109923, 40.624566735097]]]}",13,,BAY PKWY,,,,1.0,20.0
137568,,"{'type': 'MultiLineString', 'coordinates': [[[-73.984942795711, 40.698452584416], [-73.985178610914, 40.698512186391]]]}",13,,MANHATTAN BRIDGE EN NASSAU ST,,,,0.0,
45285,,"{'type': 'MultiLineString', 'coordinates': [[[-73.926677098088, 40.685978932819], [-73.923397196046, 40.686352689042]]]}",13,,JEFFERSON AVE,,,,2.0,
135446,,"{'type': 'MultiLineString', 'coordinates': [[[-73.927702706363, 40.781175331702], [-73.927664896553, 40.781125941752], [-73.927653741326, 40.781111368415]]]}",21,,ROBERT F KENNEDY BRG,,,,0.0,10.0
95141,,"{'type': 'MultiLineString', 'coordinates': [[[-73.918789548492, 40.853440189753], [-73.919110792548, 40.853090779076]]]}",13,,FORDHAM PL,,,,0.0,
81776,,"{'type': 'MultiLineString', 'coordinates': [[[-73.771330798969, 40.776373906909], [-73.770545828864, 40.7744603286], [-73.770265045481, 40.773706181533]]]}",13,,215 PL,,,,2.0,
79255,,"{'type': 'MultiLineString', 'coordinates': [[[-73.714740195216, 40.735961969258], [-73.71421950589, 40.734577067352]]]}",13,,253 ST,,,,2.0,
62007,,"{'type': 'MultiLineString', 'coordinates': [[[-74.139338285049, 40.56833559809], [-74.139765470964, 40.567720452004]]]}",13,,KENSICO ST,,,,2.0,
146312,,"{'type': 'MultiLineString', 'coordinates': [[[-73.838929933756, 40.763515560698], [-73.839502203945, 40.763883950773], [-73.839557179203, 40.763904703916]]]}",13,,CONNECTOR ROAD TO MARINA ROAD,,,,0.0,
6446,,"{'type': 'MultiLineString', 'coordinates': [[[-73.813987905747, 40.702550310465], [-73.813565944334, 40.702536741056]]]}",13,,JAMAICA AVE,,,,1.0,20.0
21106,,"{'type': 'MultiLineString', 'coordinates': [[[-73.784242210015, 40.648641198542], [-73.784147231057, 40.648635248117], [-73.784030253527, 40.648635181631], [-73.783876226099, 40.648663204324], [-73.78365721435, 40.648674229576], [-73.783466244304, 40.648646179011], [-73.783357267051, 40.64862917885], [-73.782158234968, 40.648413211691]]]}",13,,JFK ACCESS RD,,,,2.0,
68151,,"{'type': 'MultiLineString', 'coordinates': [[[-73.995263336369, 40.757067343357], [-73.995199906949, 40.757162695507]]]}",13,,DYER AVE,,,,1.0,
104594,,"{'type': 'MultiLineString', 'coordinates': [[[-74.153366784763, 40.624163770877], [-74.153406180126, 40.623836154019]]]}",13,,MATTHEW PL,,,,1.0,
203389,,"{'type': 'MultiLineString', 'coordinates': [[[-73.920306354306, 40.80507715796], [-73.920537842337, 40.805178217772]]]}",17,,MAJOR DEEGAN EXPY,,,,0.0,10.0
9490,,"{'type': 'MultiLineString', 'coordinates': [[[-73.909844458457, 40.751646930403], [-73.907889516766, 40.751094220052]]]}",13,,37 AVE,,,,2.0,
27131,,"{'type': 'MultiLineString', 'coordinates': [[[-73.80346402532, 40.778016432942], [-73.803597713317, 40.77703873108]]]}",13,,160 ST,,,,2.0,
56558,,"{'type': 'MultiLineString', 'coordinates': [[[-73.988951494065, 40.696263718392], [-73.988924683242, 40.696263108026], [-73.988831064341, 40.696262483151]]]}",13,,TILLARY ST,,,,0.0,
23454,,"{'type': 'MultiLineString', 'coordinates': [[[-73.815880985395, 40.762073762638], [-73.815486636687, 40.7612289247]]]}",13,,149 ST,,,,2.0,
16998,,"{'type': 'MultiLineString', 'coordinates': [[[-73.831391994042, 40.6951564433], [-73.830570272798, 40.69342922937]]]}",13,,116 ST,,,,2.0,
54631,,"{'type': 'MultiLineString', 'coordinates': [[[-73.852480648543, 40.83779255609], [-73.852666063339, 40.838788353017]]]}",13,,CASTLE HILL AVENUE,,2.0,,2.0,
81951,,"{'type': 'MultiLineString', 'coordinates': [[[-73.813002286404, 40.795958842445], [-73.813541323818, 40.795269991121]]]}",13,,151 ST,,,,1.0,
192304,,"{'type': 'MultiLineString', 'coordinates': [[[-73.83188797119, 40.876316558846], [-73.831847780224, 40.876314770138], [-73.831807532465, 40.876315524932], [-73.831767506815, 40.876318817997], [-73.831727980637, 40.876324626514], [-73.831689227836, 40.876332910229], [-73.831651516955, 40.876343611741], [-73.831615109316, 40.876356656888]], [[-73.831615109316, 40.876356656888], [-73.831580257706, 40.876371955467], [-73.831547203156, 40.876389401228], [-73.83151617472, 40.876408873276], [-73.831487387412, 40.876430236676], [-73.831461040718, 40.876453343387], [-73.831437317208, 40.876478033288], [-73.831416381278, 40.876504135284]]]}",13,,CO-OP CITY SECT 1 PED PATH,,,,,
199889,,"{'type': 'MultiLineString', 'coordinates': [[[-73.846028794306, 40.683958309817], [-73.845915554642, 40.683734319389], [-73.845662221166, 40.683233215088], [-73.845203249941, 40.682258907157]]]}",13,,WOODHAVEN BLVD,,,,0.0,10.0
7835,,"{'type': 'MultiLineString', 'coordinates': [[[-73.738118938354, 40.713993491548], [-73.738090459174, 40.713943583243], [-73.736681972421, 40.713518991929]]]}",13,,HEMPSTEAD AVE,,,,1.0,30.0
85889,,"{'type': 'MultiLineString', 'coordinates': [[[-73.881029562496, 40.824268215344], [-73.88135284201, 40.825663561663]]]}",13,,COLGATE AVE,,,,2.0,
8499,,"{'type': 'MultiLineString', 'coordinates': [[[-73.822841635302, 40.676734123594], [-73.822347974314, 40.676656161125]]]}",13,,ROCKAWAY BLVD,,,,2.0,20.0
187365,,"{'type': 'MultiLineString', 'coordinates': [[[-73.963896573106, 40.812395288363], [-73.963883239865, 40.812370876006], [-73.963867064607, 40.812347476176], [-73.963848179029, 40.812325279391], [-73.963826736894, 40.812304466377], [-73.963802912781, 40.81228520659]], [[-73.963802912781, 40.81228520659], [-73.963776900741, 40.812267656782], [-73.963748912473, 40.812251959896], [-73.963719175854, 40.812238243735], [-73.963687932996, 40.812226619976], [-73.963655438271, 40.812217183257]]]}",13,,CONNECTOR,,,,0.0,
1693,,"{'type': 'MultiLineString', 'coordinates': [[[-73.979963280388, 40.713980940115], [-73.979291125834, 40.713769957655]]]}",13,,GRAND ST,,2.0,,2.0,
92619,,"{'type': 'MultiLineString', 'coordinates': [[[-73.755154707274, 40.665500201355], [-73.754816047017, 40.665348048403]]]}",13,,144 AVE,,,,0.0,
20829,,"{'type': 'MultiLineString', 'coordinates': [[[-73.756466020823, 40.699546371177], [-73.755579979807, 40.6997797441]]]}",13,,MURDOCK AVE,,,,2.0,
57694,,"{'type': 'MultiLineString', 'coordinates': [[[-73.984025262459, 40.656599398955], [-73.981796976786, 40.655254325808]]]}",13,,20 ST,,1.0,,2.0,
6472,,"{'type': 'MultiLineString', 'coordinates': [[[-73.828787141834, 40.700425405936], [-73.828174565904, 40.700529420641]]]}",13,,JAMAICA AVE,,,,2.0,20.0
174980,,"{'type': 'MultiLineString', 'coordinates': [[[-73.90119378856, 40.848445822363], [-73.900962500314, 40.848680656162]]]}",13,,VALENTINE AVE,,,,0.0,
58796,,"{'type': 'MultiLineString', 'coordinates': [[[-73.992624155888, 40.689168783827], [-73.991094690075, 40.688579271329]]]}",13,,PACIFIC ST,,3.0,,2.0,
