caseno,pyincrpct3,condo_number,tenexmptrn,tenexmptot,boro,curexmptot,lline,j51_prev_exmpt_act,status,pyexmptrn
26587451,0.0,100308.0,131627,135141,1,135141,1,0,A,130167
26589017,0.0,101623.0,199519,200180,1,200180,1,0,A,199580
26591026,0.0,101902.0,204027,201083,1,201083,1,0,A,203224
26587507,0.0,100308.0,160299,164578,1,164578,1,0,AO,156131
26590888,0.0,101902.0,268151,264281,1,264281,1,0,A,267096
26588394,0.0,100308.0,120482,123699,1,123699,1,0,A,119147
26591786,0.0,101902.0,215686,212574,1,212574,1,0,A,214838
26590112,0.0,101623.0,231439,232206,1,232206,1,0,A,231511
26592430,0.0,100313.0,115459,119540,1,119540,1,0,A,113850
26588363,0.0,100308.0,130674,134162,1,134162,1,0,A,129226
26589066,0.0,101623.0,242316,243118,1,243118,1,0,A,242390
26590722,0.0,101902.0,145732,143631,1,143631,1,0,A,145160
26587452,0.0,100308.0,134061,137640,1,137640,1,0,A,132575
26591271,0.0,101902.0,125855,124005,1,124005,1,0,A,125351
26594223,0.0,100385.0,109212,117432,1,117432,1,0,A,108763
26587450,0.0,100308.0,133104,136657,1,136657,1,0,A,131629
26591717,0.0,101902.0,221516,218319,1,218319,1,0,A,220645
26588203,0.0,100308.0,122420,125688,1,125688,1,0,A,121064
26588676,0.0,101623.0,118438,118832,1,118832,1,0,A,118475
2659039000.00%,0.0,101902.0,157392,155121,1,155121,1,0,A,156774
26590180,0.0,101902.0,204027,201083,1,201083,1,0,A,203224
2.66e+07,0.0,100313.0,116313,120508,1,120508,1,0,A,114659
26594496,0.0,100385.0,112677,121159,1,121159,1,0,A,112214
26590863,0.0,101902.0,189979,187203,1,187203,1,0,A,189222
26587810,0.0,100308.0,98619,101252,1,101252,1,0,A,97526
26587909,0.0,100308.0,143793,147631,1,147631,1,0,A,142200
26590035,0.0,101623.0,245766,246579,1,246579,1,0,A,245841
26588651,0.0,101623.0,230104,230866,1,230866,1,0,A,230175
26589911,0.0,101623.0,223424,224164,1,224164,1,0,A,223493
26592979,0.0,100313.0,125703,130145,1,130145,1,0,A,123951
26587777,0.0,100308.0,139419,143140,1,143140,1,0,A,137872
26593013,0.0,100313.0,141359,146355,1,146355,1,0,A,139388
26590726,0.0,101902.0,139904,137886,1,137886,1,0,A,139353
26587580,0.0,100308.0,75282,77292,1,77292,1,0,A,74447
26593558,0.0,100313.0,310542,321597,1,321597,1,0,A,306181
26588789,0.0,101623.0,234673,235449,1,235449,1,0,A,234746
26593319,0.0,100313.0,169411,175398,1,175398,1,0,A,167050
26589285,0.0,101623.0,168212,168769,1,168769,1,0,A,168264
26590340,0.0,101902.0,233174,229810,1,229810,1,0,A,232256
26593777,0.0,100313.0,110596,114504,1,114504,1,0,A,109056
26589109,0.0,101623.0,300331,301326,1,301326,1,0,A,300424
26588538,0.0,101623.0,460170,490501,1,490501,1,0,A,453150
2.66e+07,0.0,100308.0,147673,151614,1,151614,1,0,A,146035
26588785,0.0,101623.0,162875,163414,1,163414,1,0,A,162924
26587392,0.0,,6726870,6234300,1,6234300,1,0,A,6934050
26587447,0.0,100308.0,131627,135141,1,135141,1,0,A,130167
26587993,0.0,100308.0,175848,180542,1,180542,1,0,A,173898
26589597,0.0,101623.0,179858,180454,1,180454,1,0,A,179913
26592154,0.0,100313.0,110596,114504,1,114504,1,0,A,109056
26589576,0.0,101623.0,132504,132943,1,132943,1,0,A,132545
26590894,0.0,101902.0,215686,212574,1,212574,1,0,A,214838
26591082,0.0,101902.0,233174,229810,1,229810,1,0,A,232256
26588450,0.0,100308.0,133104,136657,1,136657,1,0,A,131629
26587444,0.0,100308.0,132121,135647,1,135647,1,0,A,130656
26587407,0.0,,166286980,164312100,1,164312100,1,0,A,166257460
26587455,0.0,100308.0,130222,133763,1,133763,1,0,A,128752
26587509,0.0,100308.0,155426,159575,1,159575,1,0,A,153704
26591446,0.0,101902.0,128245,126395,1,126395,1,0,A,127741
26588241,0.0,100308.0,110751,113708,1,113708,1,0,A,109523
