globalid,crewglobalid,locationdetails,wowoodremains,wopriority,recommendedspecies,sidewalkdamage,projstartdate,sanitationassigneddate,wotype,census_tract,streetname,canceldate,nta,crossstreet2,boroughcode,sanitationzone,cancelreason,:@computed_region_92fq_4b7q,communityboard,stateassembly,wowireconflict,:@computed_region_sbqj_enih
48EE8112-4315-41E6-B7C5-7926B8FD650F,,1F 14in stump,Unprocessed Wood,,,,NaT,,Stump Removal,,80STREET,,/,97 AV,Queens,4091C,,41,409.0,38.0,No Util Conflict Present,60
F135DA9C-AB0E-42DC-895E-5440F93B3CBC,,1F,No Wood Debris,7.0,,,NaT,,Pruning,,64AVENUE,,/,ALLEY,Queens,4061D,,28,406.0,27.0,No Util Conflict Present,70
6572389B-57C3-4DAC-B050-FA8562A101C8,,CENTRAL,No Wood Debris,,,,NaT,,Block Pruning,,*,,/,,Bronx,2031A,,42,203.0,,No Util Conflict Present,25
DBF80001-AE2D-4213-A777-B8B642F019DF,,1F,No Wood Debris,,,,NaT,,Block Pruning,,GrandAve,,/,74 ST,Queens,4055E,,34,405.0,30.0,No Util Conflict Present,62
9E22743D-4EAF-4105-928A-27B922E8ED7F,,,No Wood Debris,7.0,,,,2025-10-20T13:38:43,Pruning,,,,/,,Queens,4115C,,16,411.0,,No Util Conflict Present,69
B31D24A1-37C5-47C0-B669-E827927346F9,,,All Wood Removed,7.0,,,NaT,,Misc Wood,,,,/,,Manhattan,1091B,,23,109.0,,No Util Conflict Present,17
17A9F0B7-6DE1-4781-8A37-6597ED77FB41,,SOUTHSIDE,No Wood Debris,,,,NaT,,Block Pruning,,*,,/,,Manhattan,1111A,,35,111.0,,No Util Conflict Present,14
0216ADC8-E62D-4954-92CC-AE545F5A8A39,,,No Wood Debris,,,,NaT,,Pest & Disease Treatment,,,,/,BRONX PARK E,Bronx,,,22,227.0,80.0,No Util Conflict Present,30
FEFE95A8-9FC9-457B-A1C8-4FAF9BDCB260,,2F,No Wood Debris,,,,NaT,,Block Pruning,,9AVENUE,,/,9 AVE,Manhattan,1041A,,10,104.0,66.0,No Util Conflict Present,6
D6317FF4-3D41-4A3F-8C39-B3BA9D57523B,,SE SECTION,No Wood Debris,,,,NaT,,Block Pruning,,*,,/,,Bronx,2011A,,35,201.0,,No Util Conflict Present,23
8780942E-04CF-4897-842B-D3442F8CDA59,,,No Wood Debris,,,,NaT,,Stump Removal,,,,/,INTERVALE AV,Bronx,2021B,,43,202.0,85.0,No Util Conflict Present,24
206DF33E-ECF0-44E6-BF4A-4617E9A53EAD,,1X,No Wood Debris,8.0,,,NaT,,Pruning,,WINTHROPSTREET,,/,WINTHROP ST,Brooklyn,3093B,,11,309.0,43.0,No Util Conflict Present,44
BC3D546E-2E64-4501-BA5D-69CE9D50A456,,"2F. 7"" CP. Tagged",Unprocessed Wood,8.0,,,NaT,,Tree Removal,,FOOTHILLAVENUE,,/,FOOTHILL AV,Queens,4082C,,16,408.0,24.0,No Util Conflict Present,65
