driver,d_purpose_category,hh_member_4,hh_member_11,mode_4,analyst_split_loop,hh_member_9,hh_member_1,mode_3,analyst_split,num_travelers,analyst_merge,park_cost,arrive_time
995,8,995,995,995,1,995,1900785401,995,0,3,0,,2019-06-09T20:03:52.000
1,1,0,995,995,0,995,1900960901,995,0,1,0,,2019-05-27T14:26:00.000
1,10,995,995,995,0,995,1900904001,995,0,1,0,,2019-06-11T09:08:42.000
995,7,995,995,995,0,995,1900296201,995,0,2,0,,2019-06-12T16:58:51.000
1,9,0,995,995,0,995,1900422601,995,0,1,0,,2019-06-13T15:22:43.000
995,8,995,995,995,995,995,1900330701,995,995,1,995,,2019-06-17T12:55:00.000
995,10,995,995,995,0,995,1900904001,995,0,2,0,,2019-06-07T12:33:21.000
1,3,995,995,995,0,995,1900904001,995,0,1,0,,2019-06-11T09:41:03.000
1,7,0,995,995,1,995,1900023501,30,0,1,0,,2019-06-05T07:44:20.000
1,1,995,995,995,0,995,1901242801,995,0,1,0,,2019-06-11T17:44:30.000
995,10,995,995,995,0,995,1900447401,995,0,2,0,,2019-06-01T00:00:54.000
995,6,0,995,995,0,995,1900751101,995,1,2,0,,2019-06-09T19:25:05.000
1,9,995,995,995,0,995,1900889601,995,0,1,0,,2019-06-09T01:47:04.000
1,6,995,995,995,0,995,1900447401,995,0,1,0,,2019-05-28T17:31:58.000
1,2,995,995,995,0,995,1900526701,995,0,1,0,,2019-06-13T10:00:21.000
1,9,0,995,995,0,995,1900422601,995,1,3,0,,2019-06-13T07:34:56.000
995,-9998,995,995,995,0,995,1900904001,995,0,-9998,0,,2019-06-09T16:06:23.000
1,8,995,995,995,1,995,1900987001,995,0,1,0,,2019-06-02T16:25:33.000
1,7,995,995,995,0,995,1901231201,995,0,1,0,,2019-06-07T17:27:07.000
995,-9998,995,995,995,0,995,1900845801,995,0,-9998,0,,2019-06-03T12:25:36.000
1,9,0,995,995,0,995,1900422601,995,0,3,0,,2019-06-13T16:09:36.000
1,6,1900765004,995,995,0,995,1900765001,995,1,4,0,1.3,2019-06-07T14:26:17.000
1,7,995,995,995,0,995,1900610701,995,0,1,0,,2019-06-04T08:22:58.000
1,1,0,995,995,0,995,1900422601,995,0,1,0,,2019-06-13T19:12:17.000
995,2,995,995,995,0,995,1900987001,995,0,2,0,,2019-06-08T16:55:09.000
995,8,995,995,995,0,995,1900785401,995,0,3,0,,2019-06-03T14:28:13.000
1,10,995,995,995,0,995,1900610701,995,0,1,0,,2019-06-06T09:33:59.000
995,8,995,995,995,0,995,1900904001,995,0,3,0,,2019-06-09T14:02:22.000
1,5,1900765004,995,995,0,995,1900765001,995,1,3,0,,2019-06-05T07:56:22.000
995,-9998,995,995,995,0,995,1900199001,995,0,-9998,0,,2019-06-04T11:35:43.000
1,6,1900444204,995,995,0,995,1900444201,995,0,2,0,,2019-06-08T20:50:06.000
1,1,0,995,995,0,995,1900444201,995,0,1,0,,2019-06-08T21:40:46.000
1,3,995,995,995,0,995,1900728301,995,0,1,0,,2019-06-06T10:44:48.000
995,-9998,995,995,995,0,995,1900845801,995,0,-9998,0,,2019-06-02T13:37:33.000
1,6,995,995,995,0,995,1901242801,995,0,1,0,,2019-06-17T14:57:41.000
1,6,1900444204,995,995,0,995,1900444201,995,0,2,0,,2019-06-08T18:13:25.000
995,8,995,995,995,0,995,1900785401,995,0,3,0,,2019-06-08T13:38:43.000
1,5,1900765004,995,995,0,995,1900765001,995,1,8,0,,2019-06-02T16:04:30.000
1,6,0,995,995,0,995,1900765001,995,1,2,0,,2019-06-06T12:47:14.000
1,7,1900444204,995,995,0,995,1900444201,995,0,4,0,,2019-06-08T19:24:30.000
1,10,995,995,995,0,995,1901231201,995,0,1,0,,2019-06-07T22:24:59.000
1,9,0,995,995,0,995,1900773701,995,0,1,0,,2019-06-07T23:32:15.000
1,10,0,995,995,0,995,1900773701,995,0,1,0,,2019-06-09T14:58:08.000
1,6,0,995,995,0,995,1900765001,995,0,2,0,3.0,2019-06-05T11:32:18.000
1,10,995,995,995,0,995,1900889601,995,0,1,0,,2019-06-11T18:26:54.000
1,6,995,995,995,0,995,1900447401,995,0,1,0,,2019-06-03T20:00:15.000
1,9,995,995,995,0,995,1900889601,995,0,1,0,,2019-06-07T13:47:27.000
995,-9998,995,995,995,0,995,1900845801,995,0,-9998,0,,2019-06-03T17:28:07.000
1,3,995,995,995,0,995,1901280401,995,0,1,0,,2019-06-17T08:31:43.000
1,9,995,995,995,0,995,1900845801,995,0,1,0,,2019-05-30T12:28:37.000
995,8,1900765004,995,995,0,995,1900765001,995,0,8,0,,2019-06-02T14:38:42.000
995,-9998,995,995,995,0,995,1900845801,995,0,-9998,0,,2019-06-03T13:03:10.000
1,8,995,995,995,0,995,1900845801,995,0,1,0,,2019-05-30T12:46:17.000
1,7,995,995,995,0,995,1900987001,995,0,2,0,,2019-06-04T20:14:18.000
995,-9998,0,995,995,0,995,1900023501,995,0,-9998,0,,2019-06-01T11:50:44.000
995,9,1900816704,995,995,0,995,1900816701,995,0,2,0,,2019-06-13T20:36:27.000
995,9,1900816704,995,995,0,995,1900816701,995,0,2,0,,2019-06-13T18:04:39.000
995,-9998,995,995,995,0,995,1900845801,995,0,-9998,0,,2019-06-02T14:52:32.000
1,2,995,995,995,0,995,1900845801,995,0,1,0,,2019-05-31T08:30:26.000
1,1,0,995,995,0,995,1900751101,995,0,1,0,,2019-06-07T18:46:04.000
995,2,995,995,995,995,995,1901268101,995,995,1,995,,2019-05-30T06:45:00.000
995,-9998,995,995,995,0,995,1900199001,995,0,-9998,0,,2019-06-03T17:07:19.000
995,6,995,995,995,0,995,1900880801,995,0,2,0,,2019-06-08T14:30:10.000
1,8,0,995,995,0,995,1900765001,995,1,1,0,4.0,2019-06-03T17:35:55.000
995,5,995,995,995,0,995,1900610701,995,0,2,0,,2019-06-04T08:10:26.000
995,10,995,995,995,0,995,1900904001,995,0,3,0,,2019-06-10T19:09:10.000
1,7,995,995,995,0,995,1900526701,995,0,1,0,,2019-06-13T21:01:07.000
995,1,995,995,995,0,995,1900904001,995,0,3,0,,2019-06-10T19:40:27.000
1,2,995,995,995,0,995,1901242801,995,1,1,0,,2019-06-16T14:47:40.000
1,2,995,995,995,0,995,1900987001,995,0,1,0,,2019-06-08T14:38:55.000
995,1,995,995,995,0,995,1900987001,995,0,2,0,,2019-06-07T22:11:56.000
1,7,995,995,995,1,995,1900728301,995,0,1,0,,2019-06-06T13:26:35.000
995,10,995,995,995,0,995,1900904001,995,0,2,0,,2019-06-10T14:39:58.000
1,5,995,995,995,0,995,1900610701,995,0,1,0,,2019-06-07T07:52:40.000
1,7,995,995,995,0,995,1900728301,995,1,1,0,,2019-06-05T08:41:35.000
1,1,995,995,995,0,995,1900447401,995,0,1,0,,2019-05-28T06:48:29.000
1,6,1900444204,995,995,0,995,1900444201,995,0,2,0,,2019-06-08T17:46:56.000
995,10,995,995,995,0,995,1900296201,995,0,2,0,,2019-06-17T16:20:37.000
1,1,0,995,995,0,995,1900444201,995,0,1,0,,2019-06-13T18:31:05.000
1,7,995,995,995,1,995,1900728301,995,0,1,0,,2019-06-06T13:19:37.000
995,1,995,995,995,995,995,1901026601,995,995,1,995,,2019-06-07T20:45:00.000
1,1,995,995,995,0,995,1900158301,995,0,1,0,,2019-06-14T03:01:47.000
995,3,995,995,995,995,995,1901026601,995,995,1,995,,2019-06-07T18:00:00.000
1,6,995,995,995,0,995,1901242801,995,1,1,0,,2019-06-11T13:41:44.000
1,10,995,995,995,0,995,1900447401,995,0,1,0,,2019-06-03T13:47:12.000
995,-9998,995,995,995,0,995,1900199001,995,0,-9998,0,,2019-06-04T17:22:19.000
995,-9998,995,995,995,0,995,1900845801,995,0,-9998,0,,2019-06-01T12:41:40.000
995,7,995,995,995,0,995,1901231201,995,0,2,0,,2019-06-07T19:45:09.000
995,9,995,995,995,0,995,1900904001,995,0,2,0,,2019-06-05T12:38:11.000
995,-9998,995,995,995,0,995,1900199001,995,0,-9998,0,,2019-06-02T17:34:03.000
1,2,995,995,995,0,995,1900987001,995,0,1,0,,2019-06-03T16:03:03.000
995,7,995,995,995,0,995,1900987001,995,0,2,0,,2019-06-08T15:35:32.000
1,1,0,995,995,0,995,1900422601,995,0,1,0,,2019-06-15T10:41:50.000
1,6,995,995,995,0,995,1900169401,995,0,1,0,,2019-06-07T12:21:22.000
995,10,995,995,995,0,995,1900904001,995,0,2,0,,2019-06-06T14:14:55.000
1,9,995,995,995,0,995,1900948201,995,0,1,0,,2019-06-14T16:23:03.000
995,-9998,995,995,995,0,995,1900199001,995,0,-9998,0,,2019-06-04T15:38:40.000
995,9,995,995,995,995,995,1900330701,995,995,1,995,,2019-06-17T16:45:00.000
1,1,995,995,995,0,995,1901242801,995,0,1,0,,2019-06-11T19:36:27.000
1,6,1900422604,995,995,0,995,1900422601,995,0,3,0,,2019-06-15T11:41:09.000
1,4,0,995,995,0,995,1900751101,995,0,1,0,,2019-06-05T08:05:55.000
1,7,995,995,995,0,995,1900447401,995,0,1,0,,2019-06-03T12:58:04.000
995,-9998,0,995,995,0,995,1900023501,995,0,-9998,0,,2019-06-01T13:56:06.000
1,6,0,995,995,0,995,1900960901,995,0,1,0,,2019-05-25T12:26:52.000
1,1,995,995,995,0,995,1900948201,995,0,1,0,,2019-06-14T00:04:50.000
1,1,0,995,995,0,995,1900422601,995,0,1,0,,2019-06-13T14:53:55.000
1,3,995,995,995,0,995,1901280401,995,0,1,0,,2019-06-14T14:18:19.000
1,1,0,995,995,0,995,1900422601,995,0,1,0,,2019-06-13T16:02:01.000
995,6,995,995,995,0,995,1900447401,995,0,2,0,,2019-06-01T12:16:46.000
1,9,995,995,995,0,995,1900845801,995,0,1,0,,2019-05-31T12:12:32.000
995,10,995,995,995,0,995,1900904001,995,0,3,0,,2019-06-10T18:54:10.000
1,7,0,995,995,0,995,1900023501,995,1,3,0,,2019-06-02T00:56:42.000
995,1,995,995,995,0,995,1901231201,995,0,2,0,,2019-06-11T20:39:27.000
1,3,995,995,995,0,995,1900728301,995,0,1,0,,2019-06-05T18:28:42.000
1,1,995,995,995,0,995,1900987001,995,0,1,0,,2019-06-07T17:45:34.000
1,6,0,995,995,0,995,1900765001,995,0,2,0,,2019-06-07T12:41:54.000
1,6,0,995,995,0,995,1900765001,995,0,2,0,,2019-06-05T13:19:26.000
1,8,995,995,995,0,995,1901231201,995,0,1,0,,2019-06-09T09:30:51.000
2,1,995,995,995,0,995,1900889601,995,0,2,0,,2019-06-11T20:32:55.000
995,8,995,995,995,1,995,1900785401,995,0,3,0,,2019-06-09T19:43:16.000
995,10,995,995,995,0,995,1900447401,995,0,2,0,,2019-06-02T15:51:27.000
995,-9998,995,995,995,0,995,1900199001,995,0,-9998,0,,2019-06-01T12:21:32.000
1,9,995,995,995,0,995,1901242801,995,1,1,0,,2019-06-13T14:42:11.000
995,6,995,995,995,0,995,1900447401,995,0,2,0,,2019-06-01T17:54:57.000
1,1,0,995,995,0,995,1900422601,995,0,1,0,,2019-06-16T13:49:56.000
1,6,995,995,995,0,995,1900526701,995,0,1,0,,2019-06-12T19:11:04.000
995,9,1900773704,995,995,0,995,1900773701,995,0,2,0,,2019-06-09T12:24:41.000
995,9,995,995,995,0,995,1901280401,995,0,3,0,,2019-06-18T10:34:13.000
995,6,995,995,995,0,995,1900447401,995,0,2,0,,2019-06-03T13:30:31.000
1,1,995,995,995,0,995,1901231201,995,0,1,0,,2019-06-11T14:54:57.000
995,-9998,995,995,995,0,995,1900199001,995,0,-9998,0,,2019-06-06T23:38:21.000
1,10,995,995,995,0,995,1900889601,995,0,1,0,,2019-06-13T13:50:05.000
1,1,995,995,995,0,995,1900728301,995,0,1,0,,2019-06-06T19:40:36.000
1,7,995,995,995,0,995,1900610701,995,0,1,0,,2019-06-06T14:36:07.000
995,-9998,995,995,995,0,995,1900845801,995,0,-9998,0,,2019-06-03T16:55:10.000
1,1,1900765004,995,995,0,995,1900765001,995,0,4,0,,2019-06-07T15:57:29.000
1,5,1900765004,995,995,0,995,1900765001,995,1,6,0,,2019-06-02T08:45:18.000
1,9,995,995,995,0,995,1900889601,995,0,1,0,,2019-06-13T07:44:31.000
995,8,995,995,995,0,995,1900785401,995,0,3,0,,2019-06-04T12:58:40.000
1,7,0,995,995,0,995,1900765001,995,0,2,0,,2019-06-06T14:06:46.000
995,1,995,995,995,0,995,1900904001,995,0,3,0,,2019-06-07T20:55:26.000
995,1,0,995,995,0,995,1900816701,995,0,2,0,,2019-06-15T23:50:58.000
1,3,995,995,995,0,995,1900728301,995,0,1,0,,2019-06-07T11:05:05.000
1,7,995,995,995,0,995,1900889601,995,0,1,0,,2019-06-12T17:04:25.000
995,1,995,995,995,0,995,1900785401,995,0,3,0,,2019-06-08T16:38:51.000
1,1,995,995,995,0,995,1900728301,995,0,1,0,,2019-06-05T19:49:21.000
995,-9998,995,995,995,0,995,1900904001,995,0,-9998,0,,2019-06-05T19:27:37.000
1,7,995,995,995,0,995,1900987001,995,0,1,0,,2019-06-05T14:32:32.000
1,9,995,995,995,0,995,1900948201,995,0,1,0,,2019-06-11T10:42:56.000
1,10,0,995,995,0,995,1900751101,995,0,1,0,,2019-06-05T07:55:39.000
1,9,995,995,995,0,995,1901231201,995,0,1,0,,2019-06-13T23:45:51.000
995,-9998,995,995,995,0,995,1900199001,995,0,-9998,0,,2019-06-02T17:04:40.000
995,-9998,0,995,995,0,995,1900023501,995,0,-9998,0,,2019-06-01T12:40:05.000
1,6,995,995,995,0,995,1901242801,995,0,1,0,,2019-06-11T13:02:15.000
995,6,1900816704,995,995,0,995,1900816701,995,0,2,0,,2019-06-13T20:06:13.000
1,9,995,995,995,0,995,1901280401,995,0,1,0,,2019-06-16T16:59:11.000
995,7,995,995,995,0,995,1900447401,995,0,2,0,,2019-05-31T13:35:49.000
995,10,995,995,995,0,995,1900785401,995,0,3,0,,2019-06-08T15:33:30.000
995,7,995,995,995,995,995,1900767401,995,995,1,995,,2019-06-10T17:25:00.000
1,2,995,995,995,0,995,1900987001,995,0,1,0,,2019-06-05T17:21:37.000
1,2,0,995,995,0,995,1900444201,995,0,1,0,,2019-06-13T09:31:16.000
1,1,0,995,995,0,995,1900444201,995,0,1,0,,2019-06-12T19:15:49.000
