nyc_building_identification_number_bin,last_modified_date_property_use,hospital_general_medical_surgical_percent_that_can_be_cooled,reason_s_for_no_score,parking_partially_enclosed_parking_garage_size_ft,non_refrigerated_warehouse_gross_floor_area_ft,worship_facility_gross_floor_area_ft,data_center_pue,multifamily_housing_number_of_bedrooms,primary_property_type_self_selected,electricity_use_grid_purchase_and_generated_from_onsite_renewable_systems_kwh,hospital_general_medical_surgical_number_of_mri_machines,number_of_active_energy_meters_used_to_compute_metrics,alert_energy_meter_has_gaps,hospital_general_medical_surgical_full_time_equivalent_fte_workers,data_center_it_energy_configuration,wholesale_club_supercenter_gross_floor_area_ft,electricity_use_grid_purchase_kbtu,self_storage_facility_gross_floor_area_ft,data_center_national_median_pue,parent_property_id,municipally_supplied_potable_water_indoor_use_kgal,parking_gross_floor_area_ft,national_median_total_ghg_emissions_metric_tons_co2e,restaurant_weekly_operating_hours,alert_energy_no_meters_selected_for_metrics,office_weekly_operating_hours,weather_normalized_site_energy_use_kbtu,energy_power_station_gross_floor_area_ft,fitness_center_health_club_gym_gross_floor_area_ft,residence_hall_dormitory_gross_floor_area_ft,last_modified_date_property,temporary_values,diesel_2_use_kbtu,performing_arts_gross_floor_area_ft,energy_star_certification_eligibility,medical_office_gross_floor_area_ft,bank_branch_gross_floor_area_ft,hospital_general_medical_surgical_staffed_bed_density_number_per_1_000_sq_ft,electricity_use_generated_from_onsite_renewable_systems_and_exported_kwh,district_hot_water_use_kbtu,data_center_pdu_output_meter_kwh
4073904,08/11/2020 05:36 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,318400,Not Available,3,Ok,Not Available,Not Available,Not Available,1086380.8,Not Available,Not Available,Not Applicable: Standalone Property,472.9,Not Available,517,Not Available,Ok,Not Available,5844635.1,Not Available,Not Available,Not Available,05/05/2021 09:54 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3029060,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,237920,Not Available,3,Ok,Not Available,Not Available,Not Available,811783.1,Not Available,Not Available,Not Applicable: Standalone Property,8290.9,Not Available,112.6,Not Available,Ok,Not Available,2454272,Not Available,Not Available,Not Available,05/03/2021 04:42 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3124019,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,412880,Not Available,3,Ok,Not Available,Not Available,Not Available,1408746.5,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,328.3,Not Available,Ok,Not Available,4110779.6,Not Available,Not Available,Not Available,04/21/2021 03:23 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4538714,03/31/2019 08:18 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1642400,Not Available,3,Ok,Not Available,Not Available,Not Available,5603868.8,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,915.5,Not Available,Ok,Not Available,10434782.6,Not Available,Not Available,Not Available,04/21/2021 02:18 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3345609,04/05/2021 11:42 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Retail Store,1762836,Not Available,2,Ok,Not Available,Not Available,Not Available,6014796.6,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,617.2,Not Available,Ok,Not Available,9159040.9,Not Available,Not Available,Not Available,04/28/2021 04:58 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
5007417,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,332000,Not Available,3,Ok,Not Available,Not Available,Not Available,1132784,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,462,Not Available,Ok,Not Available,6862545.8,Not Available,Not Available,Not Available,04/21/2021 04:02 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3089176,08/11/2020 05:36 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,422240,Not Available,3,Ok,Not Available,Not Available,Not Available,1440682.8,Not Available,Not Available,Not Applicable: Standalone Property,865.8,Not Available,372.2,Not Available,Ok,Not Available,5860168.1,Not Available,Not Available,Not Available,05/03/2021 02:09 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2026706,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,334720,Not Available,3,Ok,Not Available,Not Available,Not Available,1142064.6,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,503.2,Not Available,Ok,Not Available,5763114.4,Not Available,Not Available,Not Available,05/05/2021 08:25 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2013899,08/17/2020 03:49 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1035960,Not Available,2,Ok,Not Available,Not Available,Not Available,3534695.4,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,616.4,Not Available,Ok,Not Available,9965827.8,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1083026;1085520,04/19/2021 07:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Office,13928260,Not Available,8,Ok,Not Available,No IT Energy Configuration Selected (or using Estimates),Not Available,47523232.4,Not Available,Not Available,Not Applicable: Standalone Property,12385.7,Not Available,8483.8,Not Available,Ok,32.18,91561535.1,Not Available,Not Available,Not Available,05/13/2021 01:52 PM EDT,No,Not Available,Not Available,No,Not Available,19664,Not Available,Not Available,Not Available,0
1016749,05/25/2021 11:11 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Office,4836141,Not Available,5,Ok,Not Available,Not Available,Not Available,16500913.5,Not Available,Not Available,Not Applicable: Standalone Property,5659.2,Not Available,3546.5,3.76,Ok,62.37,48835719.3,Not Available,Not Available,Not Available,05/25/2021 11:11 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3075072,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,756400,Not Available,3,Ok,Not Available,Not Available,Not Available,2580836.8,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,364.8,Not Available,Ok,Not Available,4917234.9,Not Available,Not Available,Not Available,04/21/2021 03:23 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1026646,08/17/2020 03:49 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1344000,Not Available,3,Ok,Not Available,Not Available,Not Available,4585728,Not Available,Not Available,Not Applicable: Standalone Property,0.7,Not Available,1433.6,Not Available,Ok,Not Available,14527493.5,Not Available,Not Available,Not Available,05/04/2021 08:57 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3162973,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,486400,Not Available,3,Ok,Not Available,Not Available,Not Available,1659596.8,Not Available,Not Available,Not Applicable: Standalone Property,1309.1,Not Available,742,Not Available,Ok,Not Available,8040271.1,Not Available,Not Available,Not Available,05/03/2021 02:17 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4092660,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,565600,Not Available,3,Ok,Not Available,Not Available,Not Available,1929827.2,Not Available,Not Available,Not Applicable: Standalone Property,286.8,Not Available,630.6,Not Available,Ok,Not Available,8110969.7,Not Available,Not Available,Not Available,05/04/2021 11:52 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4564828;4854710,07/28/2020 04:44 PM EDT,Not Available,More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country),Not Available,Not Available,Not Available,Not Available,Not Available,Vocational School,920156.5,Not Available,4,Ok,Not Available,Not Available,Not Available,3139574,Not Available,Not Available,Not Applicable: Standalone Property,1037.5,Not Available,342,Not Available,Ok,Not Available,6035307.2,Not Available,Not Available,Not Available,03/24/2021 12:17 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1036451,05/28/2021 01:58 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Office,3346902,Not Available,5,Ok,Not Available,Not Available,Not Available,11419631.2,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,1875.4,Not Available,Ok,65,15917156.8,Not Available,Not Available,Not Available,05/28/2021 01:58 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3044657,08/17/2020 03:49 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1407364,Not Available,4,Ok,Not Available,Not Available,Not Available,4299746.5,Not Available,Not Available,Not Applicable: Standalone Property,307.1,Not Available,1015.5,Not Available,Ok,Not Available,10796988.3,Not Available,Not Available,Not Available,05/03/2021 04:14 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,183.6,Not Available,Not Available
1013858,03/31/2019 08:18 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,552000,Not Available,3,Ok,Not Available,Not Available,Not Available,1883424,Not Available,Not Available,Not Applicable: Standalone Property,0.9,Not Available,197.1,Not Available,Ok,Not Available,3186140.6,Not Available,Not Available,Not Available,05/04/2021 08:53 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2116205,08/11/2020 05:36 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,377200,Not Available,3,Ok,Not Available,Not Available,Not Available,1287006.4,Not Available,Not Available,Not Applicable: Standalone Property,161.6,Not Available,200.4,Not Available,Ok,Not Available,2640111.3,Not Available,Not Available,Not Available,05/05/2021 08:40 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1010543,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,326812,Not Available,3,Ok,Not Available,Not Available,Not Available,1115082.5,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,586.3,Not Available,Ok,Not Available,4338096.3,Not Available,Not Available,Not Available,04/21/2021 02:17 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4552510,08/17/2020 03:49 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1311600,Not Available,3,Ok,Not Available,Not Available,Not Available,4475179.4,Not Available,Not Available,Not Applicable: Standalone Property,1113.4,Not Available,805.7,Not Available,Ok,Not Available,10104618.9,Not Available,Not Available,Not Available,05/05/2021 10:03 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3077286,03/31/2019 08:18 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,269360,Not Available,3,Ok,Not Available,Not Available,Not Available,919056.3,Not Available,Not Available,Not Applicable: Standalone Property,582.9,Not Available,542,Not Available,Ok,Not Available,5081896.9,Not Available,Not Available,Not Available,05/03/2021 02:33 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1009872,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,351520,Not Available,3,Ok,Not Available,Not Available,Not Available,1199386.2,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,661.4,Not Available,Ok,Not Available,8106396.3,Not Available,Not Available,Not Available,04/21/2021 02:17 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1055204,08/11/2020 05:36 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1527200,Not Available,3,Ok,Not Available,Not Available,Not Available,5210805.9,Not Available,Not Available,Not Applicable: Standalone Property,96.4,Not Available,1282.4,Not Available,Ok,Not Available,14949024.6,Not Available,Not Available,Not Available,05/04/2021 09:30 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1051434,08/17/2020 04:56 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,770400,Not Available,2,Ok,Not Available,Not Available,Not Available,2628604.8,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,1109.6,Not Available,Ok,Not Available,11620961.3,Not Available,Not Available,Not Available,04/21/2021 02:16 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4462647,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,800000,Not Available,3,Ok,Not Available,Not Available,Not Available,2729600,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,690.5,Not Available,Ok,Not Available,5873076,Not Available,Not Available,Not Available,04/21/2021 02:18 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3009847,08/11/2020 05:36 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,266240,Not Available,3,Ok,Not Available,Not Available,Not Available,908410.9,Not Available,Not Available,Not Applicable: Standalone Property,557.5,Not Available,316.6,Not Available,Ok,Not Available,3929244.2,Not Available,Not Available,Not Available,05/03/2021 02:41 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
5086781,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,84000,Not Available,3,Ok,Not Available,Not Available,Not Available,286608,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,125.3,Not Available,Ok,Not Available,884031.3,Not Available,Not Available,Not Available,04/21/2021 04:02 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4021375,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,226400,Not Available,3,Ok,Not Available,Not Available,Not Available,772476.8,Not Available,Not Available,Not Applicable: Standalone Property,433.9,Not Available,420.5,Not Available,Ok,Not Available,3912642.5,Not Available,Not Available,Not Available,05/04/2021 09:08 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1000021,05/25/2021 10:58 AM EDT,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Office,10251530,Not Available,3,Ok,Not Available,Not Available,Not Available,34978224.4,Not Available,Not Available,Not Applicable: Standalone Property,6044,38567,5595.9,Not Available,Ok,67.48,69550370.8,Not Available,Not Available,Not Available,05/26/2021 11:26 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4113172,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1102160,Not Available,3,Ok,Not Available,Not Available,Not Available,3760569.8,Not Available,Not Available,Not Applicable: Standalone Property,297.7,Not Available,2075.8,Not Available,Ok,Not Available,18918064.4,Not Available,Not Available,Not Available,05/04/2021 12:02 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2004807,08/17/2020 03:49 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,688000,Not Available,3,Ok,Not Available,Not Available,Not Available,2347456,Not Available,Not Available,Not Applicable: Standalone Property,878.4,Not Available,763,Not Available,Ok,Not Available,11038035.8,Not Available,Not Available,Not Available,05/05/2021 10:06 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3070825,08/17/2020 03:49 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,577600,Not Available,3,Ok,Not Available,Not Available,Not Available,1970771.2,Not Available,Not Available,Not Applicable: Standalone Property,1223,Not Available,932.3,Not Available,Ok,Not Available,10626580.6,Not Available,Not Available,Not Available,05/03/2021 12:53 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2001027,03/31/2019 08:18 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1008000,Not Available,2,Ok,Not Available,Not Available,Not Available,3439296.2,Not Available,Not Available,Not Applicable: Standalone Property,355.3,Not Available,596.9,Not Available,Ok,Not Available,7250818.3,Not Available,Not Available,Not Available,05/04/2021 02:02 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2023336,03/31/2019 08:18 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,355200,Not Available,3,Ok,Not Available,Not Available,Not Available,1211942.5,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,681.2,Not Available,Ok,Not Available,5829888.7,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4446042,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,455480,Not Available,3,Ok,Not Available,Not Available,Not Available,1554097.7,Not Available,Not Available,Not Applicable: Standalone Property,668.8,Not Available,571.4,Not Available,Ok,Not Available,6751573.8,Not Available,Not Available,Not Available,05/05/2021 09:44 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2018046,03/31/2019 08:18 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1079200,Not Available,3,Ok,Not Available,Not Available,Not Available,3682230.1,Not Available,Not Available,Not Applicable: Standalone Property,217.6,Not Available,828.1,Not Available,Ok,Not Available,11354198.4,Not Available,Not Available,Not Available,05/05/2021 09:28 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3044493,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,539600,Not Available,3,Ok,Not Available,Not Available,Not Available,1841115.2,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,879.3,Not Available,Ok,Not Available,6617401.4,Not Available,Not Available,Not Available,05/05/2021 08:58 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3146921,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,996000,Not Available,3,Ok,Not Available,Not Available,Not Available,3398352.1,Not Available,Not Available,Not Applicable: Standalone Property,654.6,Not Available,605.3,Not Available,Ok,Not Available,9174238.2,Not Available,Not Available,Not Available,05/05/2021 08:54 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3332507,08/17/2020 01:44 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,517280,Not Available,3,Ok,Not Available,Not Available,Not Available,1764959.3,Not Available,Not Available,Not Applicable: Standalone Property,317.2,Not Available,878.6,Not Available,Ok,Not Available,11603007.9,Not Available,Not Available,Not Available,05/03/2021 02:00 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4529578,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,610400,Not Available,3,Ok,Not Available,Not Available,Not Available,2082684.8,Not Available,Not Available,Not Applicable: Standalone Property,562.3,Not Available,243.1,Not Available,Ok,Not Available,4410263.2,Not Available,Not Available,Not Available,05/04/2021 09:11 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
