maprojid,commit_ccnonexempt,adopt_nccother,typecategory,totalplannedcommit,adopt_nccfederal,maxdate,commit_noncitycost,commit_total,allocate_nccstate,commit_citycost,spent_total,commit_nccstate,magencyname,allocate_ccnonexempt,nccstate,magencyacro
850HRQN89WNK,0.0,0.0,,0,0.0,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Design and Construction,40000.0,0,DDC
850HWP2021LM,2034725.4,0.0,,9009000,0.0,2027-06-01T00:00:00.000,0.0,154642.6,0.0,154642.6,2034725.4,0.0,Department of Design and Construction,9007632.0,0,DDC
801PVN288FVC,3268292.0,0.0,"ITT, Vehicles, and Equipment",0,0.0,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,3268292.0,0.0,Department of Small Business Services,-292.0,0,SBS
850CO278FA3,3423736.8,0.0,"ITT, Vehicles, and Equipment",81360000,0.0,2031-06-01T00:00:00.000,0.0,6183055.02,0.0,6183055.02,3423736.8,0.0,Department of Design and Construction,81360208.18,0,DDC
846SANDY5-47,0.0,0.0,Fixed Asset,872000,785000.0,2031-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Parks and Recreation,87000.0,0,DPR
801BNYINFRAW,32388832.23,0.0,Fixed Asset,0,0.0,2031-06-01T00:00:00.000,0.0,0.0,0.0,0.0,32388832.23,0.0,Brooklyn Navy Yard,-4192832.23,0,BNY
850HWD105-03,1451332.1,0.0,Fixed Asset,7522000,1180000.0,2028-06-01T00:00:00.000,0.0,773760.21,200000.0,773760.21,1851332.1,200000.0,Department of Design and Construction,5831907.69,200000,DDC
042OSW01ME25,0.0,0.0,,670000,0.0,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,City University of New York,670000.0,0,CUNY
072SANDVCBC,70544.16,0.0,Fixed Asset,2851000,3202000.0,2026-06-01T00:00:00.000,28966.04,32184.38,0.0,3218.34,282415.82,0.0,Department of Correction,842237.5,0,DOC
846SANDY2-30,25535.59,0.0,Fixed Asset,2194000,1973000.0,2032-06-01T00:00:00.000,172316.66,211444.07,0.0,39127.41,107218.93,0.0,Department of Parks and Recreation,715337.0,0,DPR
850SEQ200545,3092593.26,18000.0,Fixed Asset,9000,0.0,2031-06-01T00:00:00.000,0.0,72103.84,0.0,72103.84,4525394.33,0.0,Department of Design and Construction,45177.9,0,DDC
846P-313CPSW,189813.89,0.0,Fixed Asset,3498000,0.0,2033-06-01T00:00:00.000,0.0,2256543.19,0.0,2256543.19,189813.89,0.0,Department of Parks and Recreation,1459642.92,0,DPR
850QED1014,272873.71,15000.0,Fixed Asset,10000,0.0,2026-06-01T00:00:00.000,15000.0,2237813.09,0.0,2222813.09,28041098.37,0.0,Department of Design and Construction,9593.12,0,DDC
850HH112CWFR,2555804.15,0.0,Fixed Asset,418000,0.0,2029-06-01T00:00:00.000,0.0,21788.75,0.0,21788.75,2555804.15,0.0,Department of Design and Construction,1656407.1,0,DDC
826TOC-BWS,0.0,0.0,Lump Sum,1027000,0.0,2026-06-01T00:00:00.000,0.0,6435621.86,0.0,6435621.86,16406080.46,0.0,Department of Environmental Protection,0.0,0,DEP
846P-3CPIEPR,18241.92,0.0,Fixed Asset,7630000,0.0,2031-06-01T00:00:00.000,0.0,1758.08,0.0,1758.08,18241.92,0.0,Department of Parks and Recreation,8900000.0,0,DPR
850HL99PROJR,350000.0,0.0,Lump Sum,0,0.0,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,350000.0,0.0,Department of Design and Construction,0.0,0,DDC
850HWMWTCA7D,207620.58,0.0,Fixed Asset,0,3289000.0,2031-06-01T00:00:00.000,0.0,0.0,0.0,0.0,2992823.44,0.0,Department of Design and Construction,67379.42,0,DDC
