dbn,school_name,code1,requirement_3_3,academicopportunities5,offer_rate2_1,admissionspriority211,eligibility4,academicopportunities1,postcode,diplomaendorsements,code10,grade9geapplicantsperseat5,seats9ge10,admissionspriority31,transfer,grade9swdfilledflag3,seats9swd4,program8,interest4,seats9swd1,code8,prgdesc4,code3,grade9gefilledflag3,seats9ge8,seats4specialized,requirement_1_8,grade9geapplicants5,primary_address_line_1,school_10th_seats,grade9swdapplicantsperseat11,auditioninformation8,admissionspriority112,grade9swdapplicants10,eligibility2,longitude,auditioninformation1,grade9gefilledflag12,offer_rate2_7,appperseat2specialized,grade9gefilledflag4,applicants1specialized,interest3,code6,seats1specialized,overview_paragraph,grade9swdfilledflag6,admissionspriority13,admissionspriority32,college_career_rate,grade9swdfilledflag5,auditioninformation5,code12,community_board,method3,interest8,grade9swdapplicants5,sqr_website,grade9swdapplicantsperseat1,grade9swdapplicantsperseat12,program11,method9,requirement_3_6,campus_name,academicopportunities6,code4,offer_rate3_1,eligibility7,common_audition6,subway,grade9swdapplicantsperseat10,seats106,admissionspriority23,finalgrades,common_audition7,offer_rate1_5,pct_stu_enough_variety,grade9geapplicants4,school_accessibility,method12,start_time,school_sports,earlycollege,admissionspriority16,seats9ge4,seats9ge6,offer_rate2_6,auditioninformation2,grade9geapplicantsperseat4,offer_rate3_3,requirement_2_7,seats9ge11,admissionspriority35,grade9swdapplicants12,offer_rate1_8,prgdesc5
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",L59A,,CTE program(s): Pre-Engineering (NYSED-Approved),,,,Dual Credit College Courses through CUNY City College of Technology,11201,CTE,,,,,,,,,,18,,,,,,,,,105 Tech Place,,,,,,,-73.986015,,,,,,,,,,"City Polytechnic is a P-Tech school that prepares students for both college and career. City Poly pairs a strong academic environment with social and emotional supports, ensuring that students thrive during their crucial teenage years. Students are immersed in a range of experiences to help them make informed post-secondary choices. All students have access to rigorous courses, advanced placement and dual-credit college classes. Industry partners provide work-based learning and internships. Every City Poly student has the opportunity to earn a no cost associate's degree from CUNY College of Technology in one of three pathways. As a community, we see and appreciate each and every child; helping them reach their greatest potential.",,,,0.66000003,,,,302,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/13K674/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},14,,,,,George Westinghouse Educational Campus,,,,,,"2, 3, 4, 5 to Borough Hall; A, C, F, R to Jay St-MetroTech; B, Q to DeKalb Ave; G to Hoyt & Schermerhorn",,,,9 to 14,,,0.73000002,,Partially Accessible,,8:20am,,1.0,,,,,,,,,,,,,
10X284,Bronx School of Law and Finance,X28A,,"CTE program(s): Academy of Finance, Law Academy/Legal Studies",1% of offers went to this group,,,iLearnNYC: Program for expanded online coursework and self-paced learning,10463,,,,,,,,,,,23,,,,,,,,,99 Terrace View Avenue,Y,,,,,,-73.912256,,,,,,,,,,"The mission of our school is to provide students with the necessary skills to pursue employment and/or higher education through the introduction to careers in law and finance. Students are exposed to the world of finance and law through internships, mentoring, and fieldwork. Our curriculum is enriched under the leadership of our lead partner, the Barnard/Columbia Education program.",,,,0.54000002,,,,208,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/10X284/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},4,,,,,John F. Kennedy Educational Campus,,,,,,1 to Marble Hill-225th St,,,,9 to 12,,,0.81,,Partially Accessible,,8:10am,,,,,,,,,,,,,,,
31R080,"Michael J. Petrides School, The",R15J,,"Opportunities for travel, both domestic and abroad",73% of offers went to this group,,,"Specialized academies include: Career Exploration and Entrepreneurship Academy, Creative Arts Academy, Science - Technology - Engineering & Mathematics Academy, and Social Sciences & Language Academy",10301,,,,,,,,,,,28,,,,,,,,,715 Ocean Terrace,,,,,,,-74.102067,,,,,,,,,,"Petrides is a comprehensive college preparatory school that offers a wide array of academic opportunities. Our students are challenged to their maximum potential and are encouraged to meet and exceed the standards in all subject areas. What separates Petrides is not only its level of academic excellence, but its strong sense of community and family. Our small, intimate setting allows students to grow both academically and socially.",,,,0.92000002,,,,502,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/31R080/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},5,,,,,,,,,,,,,,,K to 12,,,0.72000003,,Partially Accessible,,8:00am,,,,,,,,,,,,,,,
02M543,New Design High School,M53A,,Weekly Council Circles based on a Restorative Justice Model,,,,Advancement Placement Courses,10002,,,,,,,,,,,26,,,,,,,,,350 Grand Street,,,,,,,-73.989596,,,,,,,,,,"New Design High School (NDHS) was founded with an innovative spirit and the task of providing our students with an academically vigorous environment that is also focused on students' social and emotional development. The school's academic program, design classes, and Design for Life program are focused on empowering students with the skills, tools, and capacities to be successful in their college, career, and happiness pursuits. We exist to create passionate and purposeful students who thrive in all aspects of their lives.",,,,0.72000003,,,,103,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/02M543/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},12,,,,,Seward Park Educational Campus,,,,,,"B, D to Grand St; F, J, M, Z to Delancey St-Essex St",,,,9 to 12,,,0.76999998,,Not Accessible,,9:00am,"Basketball, Swimming, Volleyball, Bowling",,,,,,,,,,,,,,
29Q492,"Mathematics, Science Research and Technology Magnet High School",Q55A,,Weekly Advisory courses (1 teacher per 16 students) that caters to individual students' needs with academic and social-emotional supports with Restorative Practices structure.,,,,"S.T.E.A.M. Courses: Engineering Design - Camera Suspension Systems & Building a Modern Garden, Emergency Medical Services, Environmental Science, Anatomy & Physiology, ""Purple Prints"" Broadcast/Print Journalism, Peer Group Connection, New Frontier Program (for ELLs), Community-Based Internships, Dance Program, Visual Arts Program, Junior Achievement Finance Park Program, Summer SAT & Regents Enrichment and New Student Bridge Program.",11411,,,,,,,,,,,24,,,,,,,,,207- 01 116th Avenue,Y,,,,,,-73.745728,,,,,,,,,,"Mathematics, Science Research and Technology (MAST) High School, located in the heart of Cambria Heights, is a diverse and small learning community. As a STEAM School, our students engage in rigorous mathematics, science, or engineering courses with the arts and technology embedded within the curriculum. We believe students learn best by approaching academic and social challenges as learning opportunities. MAST HS is a place where students explore and seek solutions for challenges they face in our technologically-advanced world. Our students have the opportunity to affirm themselves, discover their passions, and apply what they know through hands-on project-based learning which require critical thinking, collaboration and communication.",,,,0.51999998,,,,413,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/29Q492/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},2,,,,,Campus Magnet Educational Campus,,,,,,,,,,9 to 12,,,0.75999999,,Partially Accessible,,8:30am,,,,,,,,,,,,,,,
12X248,"Metropolitan High School, The",X77R,,Advance Placement Courses,70% of offers went to this group,,,Leadership Courses,10459,,,,,,,,,,,28,,,,,,,,,1180 Rev. J.A. Polite Avenue,,,,,,,-73.897612,,,,,,,,,,"Metropolitan High School is a small learning community with the goal of preparing citizens for the future. Our team of dedicated teachers and staff are committed to creating a safe and nurturing environment where every student participates in engaging and invigorating instruction. We have a strict discipline code, community partnerships, and supportive staff to create a safe learning culture where all students can graduate with confidence knowing they can be successful beyond high school.",,,,0.31999999,,,,202,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/12X248/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},2,,,,,,,,,,,"2, 5 to Simpson St",,,,9 to 12,,,0.51999998,,Fully Accessible,,8:20am,,,,,,,,,,,,,,,
10X440,DeWitt Clinton High School,X10A,2019-20 Marking Period Grades - 40%,DWC provides Pre- College Scholarships for summer programs at Ivy League Colleges; Program Lehman College Now Partnership; Air Force Junior Reserve Officers' Training Corps (AFJROTC) Google Classroom & Laptops for all,2% of offers went to this group,,,"Majors: Macy Honors Early College, Health, Engineering, Instrumental & Music Production, Vocal, Visual Arts & Graphic Design, Dance",10468,,,6,,,,Y,16,DeWitt Clinton High School D75 Inclusion Program,Computer Science & Technology; Engineering,16,X10U,"This program offers a four-year course sequence and is part of the AP + PLTW Engineering Pathway. Students train as engineers day one via the Vex Robotics platform; engaging in interdisciplinary activities like working with a client to design a home, programming electronic devices/robotic arms, or exploring algae as a biofuel source. Required Courses: Intro to Engineering, Digital Electronics, Principles of Comp Sci, Engineering Design/Robotics Competition. Electives: Civil Engineering, and Aerospace.",X10J,Y,,,,326,100 West Mosholu Parkway South,Y,,,,,,-73.88691,,,,,N,,Computer Science & Technology; Science & Math,X10M,,"DeWitt Clinton High School has a rich history of educating students in the Bronx for over 100 years. DWC offers a wide variety of majors where students choose their program of interest, exposing students to college readiness and vocational job training. Students receive chromebooks and utilize google classroom. Students graduate with two years of college credits via DWC's offerings of college courses including College Board Advanced Placement (AP), Syracuse University Project Advance (SUPA), Project Lead the Way (PLTW), and Lehman College Now Courses.",,Priority to Bronx students or residents,,0.55000001,Y,,,207,Screened,,89,{'url': 'https://tools.nycenet.edu/snapshot/0/10X440/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},4,,,,,DeWitt Clinton Educational Campus,,X10K,,,,"4 to Mosholu Parkway; B, D to Bedford Park Blvd",,1.0,Then to New York City residents,9 to 12,,91% of offers went to this group,0.86000001,425,Partially Accessible,,8:30am,,,Priority to Bronx students or residents,59,N/A - new program,,,7,,,,,,,"This program offers a 4 yr sequence in visual arts & printmaking. Students take Figure Studies and Graphic Design to make clothing apparel. They learn Sculpture/Ceramics and 3-D Digital Printmaking to make commercial art like coffee mugs/ water bottles. They learn painting and graffiti art, designing artwork for people's homes. Finally, they take mural design and comic book art, paying tribute to Alumni's Stan Lee of Marvel Comics and Bob Kane/ Bill Finger who created Batman."
20K445,New Utrecht High School,K28A,,"CTE program(s): Academy of Hospitality and Tourism, Entrepreneurship, Law Academy/Legal Studies, Medical Assistant/Billing and Coding",,,,"Academy of Art & Design with courses in: Drawing, Digital Design, Fashion Illustration & Construction, Painting, Photography, Sculpture",11214,"Arts, Math, Science",,51,,,,Y,7,Zoned,Visual Art & Design,23,K28Z,"A discipline-based art program with courses in: Drawing, Digital Design, Fashion Illustration & Construction, Painting, Photography, and Sculpture. Individualized mentoring and portfolio development for students who intend to pursue studies in fine arts.",K28C,Y,N/A - zoned program,,,1691,1601 80th Street,Y,,,,,,-74.003404,,,,,Y,,"Hospitality, Travel, & Tourism",K28M,,"New Utrecht High School is committed to educating its students to their maximum potential. To reach this end, we offer a full academic program designed to meet and exceed state standards. The main goal of our staff is to support our students in mastering the challenging curriculum and preparing for success. We offer an ever-expanding range of extracurricular activities and programs that enhance students' high school experience. We are a school steeped in tradition where parents are welcomed and encouraged to be partners in their child's success.",Y,Open to New York City residents,,0.66000003,Y,,,311,Ed. Opt.,Zoned,92,{'url': 'https://tools.nycenet.edu/snapshot/0/20K445/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},8,,,,,,,K28D,,,,D to 79th St,,0.0,,9 to 12,,,0.88,1103,Partially Accessible,,9:10am,Badminton Varsity - Boys/Girls Baseball Varsity/Junior Varsity - Boys Basketball Varsity/Junior Varsity - Boys/Girls Bowling Varsity - Boys/Girls Flag Football Varsity - Girls Football Varsity/Junior Varsity - Boys Handball Varsity - Boys/Girls Soccer Varsity - Boys/Girls Soccer Junior Varsity - Girls Softball Varsity/Junior Varsity - Girls Swimming Varsity - Boys/Girls Tennis Varsity - Boys/Girls Volleyball Varsity - Boys/Girls Volleyball Junior Varsity - Girls Wrestling Varsity - Boys,,Open to New York City residents,33,33,,,33,,,,,,,"Provides students of outstanding ability and potential with an enriched, challenging, college preparatory program that emphasizes humanities, mathematics, and science."
13K605,George Westinghouse Career and Technical Education High School,K70C,,SAT Prep courses offered to all 11th grade students,,,,Advanced Placement courses offered to all grades,11201,CTE,,4,,,,Y,5,,Engineering; Science & Math,9,,"Science, Technology, Engineering, Arts, and Math (STEAM) provides a CTE focus on a range of courses including: culinary, information technology, graphics, engineering, and architecture. The program includes innovative technical training leading to certification and opportunities to earn college credit. Students are expected to participate in our ninth grade summer program as well as Saturday classes for program acceleration",K70E,N,,,,203,105 Tech Place,Y,,,,,,-73.986015,,,,,N,,Engineering; Science & Math,K70U,,"All students will graduate on time with viable college and career options. Our community uses positive reinforcement for academic excellence, attendance, and effort to meet this goal. Our college and industry partnerships provide our students with opportunities to earn industry certifications and college credits. Students may apply to Computer Systems Support, Culinary Arts, Electrical Installation and Practice, Computer Science, or the Brooklyn STEAM Center. Upon completion of a three-year course of study, they are eligible to receive a New York State Career and Technical Education (CTE) Endorsement in our approved CTE programs.",,Open to New York City residents,,0.49000001,Y,,,302,Ed. Opt.,,87,{'url': 'https://tools.nycenet.edu/snapshot/0/13K605/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},10,,,,,George Westinghouse Educational Campus,"CTE program(s): Computer Support Services (NYSED-Approved), Culinary Arts (NYSED-Approved), Electrician (NYSED-Approved), Web Design (NYSED-Approved)",K70H,,,,"2, 3, 4, 5 to Borough Hall; A, C, F, R to Jay St-MetroTech; B, Q to DeKalb Ave; G to Hoyt & Schermerhorn",,,,9 to 12,,,0.70999998,240,Partially Accessible,,8:25am,,,,25,,,,10,,,,,,,"Students learn all aspects of computer repair and maintenance, network design, and infrastructure support. All students are required to take industry certifications that may include A+ and CISCO CCENT/CCNA. We partner with NBC Studios, Division of Instructional Technology, ASI, and CISCO. Students are expected to participate in work-based learning activities including job shadowing and internships."
21K620,William E. Grady Career and Technical Education High School,K67A,,,,,,"Automotive Technician, A+ Computer Repair, Culinary Arts, Automotive Technology, Construction Technology, Nursing Assistant Program",11235,CTE,,2,,,,Y,9,,Engineering,9,,"Three-year NATEF and state-certified sequence; work on live vehicles. Courses: Steering & Suspension, Brakes, Electricity/Electronics, and Engine Performance. Must take industry exams for certification. Internships available for eligible students.",K67H,N,,,,133,25 Brighton 4th Road,Y,,,,,,-73.963477,,,,,N,,Health Professions,K67U,,"Our learning community is molded after the CTE tradition. Respectful of our students' self-worth, we dedicate ourselves to the development of a caring, sharing, and challenging atmosphere. Through a variety of educational offerings, social and cultural experiences, athletic programs, work opportunities, and services, we develop the whole student. We devote all of our resources to ensure that each student receives the education necessary to meet the challenges of a changing world.",,Open to New York City residents,,0.43000001,Y,,,313,Ed. Opt.,,68,{'url': 'https://tools.nycenet.edu/snapshot/0/21K620/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},11,,,,,,,K67N,,,,"B, Q to Brighton Beach",,,,9 to 12,,,0.86000001,152,Not Accessible,,8:00am,"Soccer, Volleyball, Track, Rugby, Football, Bowling, Baseball, Softball",,,46,,,,3,,,,,,,"Students complete a state certified three-year sequence including electrical installation, plumbing, and carpentry. Students must take industry exams for certification. Internships and union opportunities are available for eligible students. Students are prepared for college and industry positions."
