programname,monhouropen,thuhouropen
MMCC-CDC OLDER ADULT CENTER MAIN BUILDING (C20),08:30,08:30
WAYSIDE OUT TILDEN SENIOR CENTER (C90),09:00,09:00
JASA BROOKDALE VILLAGE (W22),08:30,08:30
PSS CAREGIVER SUPPORT PROGRAM (1K1),08:00,08:00
CITYMEALS ON WHEELS (CM5),,
SNAP #1: EASTERN QUEENS OAC (ISC) (C70),08:30,08:30
BERGEN BASIN ABE STARK OLDER ADULT CENTER (C08),08:00,08:00
EAST SIDE HOUSE - HDM - BX1-6 (11S),09:00,09:00
CPC NY CHINATOWN NEIGHBORHOOD SENIOR CENTER (C21),09:00,09:00
SELFHELP NY CONNECTS QN (4C4),08:30,08:30
FOREST HILLS COMMUNITY HOUSE NORC (N59),09:00,09:00
JAMAICA OLDER ADULT CENTER (CC2),09:00,09:00
NNORC WOW (4N1),,
SUNSET PARK OAC (C80),09:00,09:00
WAYSIDE OUT GLENMORE PLAZA SOCIAL CLUB (C90),09:00,09:00
JASA - CMA - BX03 (1MB),09:00,09:00
COMMONPOINT QUEENS CLEARVIEW GARDENS NORC (N61),09:00,09:00
SELFHELP CMA QN 7 (4ME),09:00,09:00
JCCGCI MIDWOOD OLDER ADULT CENTER (C47),09:00,09:00
JASA BROOKLYN HOME DELIVERED MEALS (29E),,
OCEAN BAY CDC OLDER ADULT CENTER (C53),08:00,08:00
ROBERT COUCHE OLDER ADULT CENTER (CC3),09:00,09:00
SELFHELP CLEARVIEW (W21),08:30,08:30
YOUNG AT HEART SENIOR CENTER AT THE FLATBUSH YMCA (C93),09:00,09:00
NEIGHBORHOOD SHOPP - CMA (1M9),09:00,09:00
KIPS BAY CASTLE HILL OAC (C48),08:00,08:00
GREENWICH HOUSE GMH MN 1-8 (6G8),09:00,09:00
CASC NEW LANE NSC (C22),08:00,08:00
JASA - CMA - BK13 (2MJ),09:00,09:00
PALMETTO GARDENS SENIOR CLUB (W20),08:00,08:00
COPO (2TT),,
BCA 6TH AVENUE OLDER ADULT CENTER (C12),09:00,09:00
*CASABE SENIOR HOUSES AKA EAST HARLEM NSC (C30),09:00,09:00
LENOX HILL - CMA - MN 8 11 (3MA),09:00,09:00
SUMNER SENIOR CLUB (W20),09:00,09:00
ENCORE HOME DELIVERED MEALS (36G),,
BETANCES (W16),08:00,08:00
CCNS CMA QN 9 10 12 (4MF),09:00,09:00
ALLEN INTERNATIONAL TOWERS AFFILIATE (C02),09:00,09:00
NSHOPP - ELDER JUSTICE - BX (1E3),09:00,09:00
GODDARD RIVERSIDE OAC AT WEST 88 TH STREET (C36),09:00,09:00
SNAP #2: BROOKVILLE OAC (C70),08:30,08:30
FLORENCE E SMITH OAC (C25),08:00,08:00
CCNS SEASI DE OAC (C17),08:00,08:00
CPC NAN SHAN NEIGHBORHOOD SENIOR CENTER (C21),08:00,08:00
CCNS CATHERINE SHERIDAN OAC (C17),08:30,08:30
SAMUEL FIELD Y BAY TERRACE OLDER ADULT CENTER (C65),08:00,08:00
GREAT KILLS OAC (C77),08:00,08:00
RISEBORO - CMA - BK01 03 04 (2MP),09:00,09:00
ALBANY OAC (C35),09:00,09:00
RISEBORO HDM - BROOKLYN 3 (28E),09:00,09:00
JASA - ELDER JUSTICE - BK NORTH (1E4),09:00,09:00
BERGEN BASIN MIDWOOD OLDER ADULT CENTER (C08),09:00,09:00
JASA HDM QN14 (42G),09:00,09:00
PELHAM PARKWAY HOUSES NORC (N50),09:00,09:00
PROSPECT HILL NSC (C74),09:00,09:00
EAST SIDE HOUSE INC. (11V),,
