lot,bdep_dec,mbldg,bfrt_dec,hnum_lo,nodesc,condo_s1,o_limit,exmtcl,curexl,fn_avt,ap_time,str_name,yra1_rng,fchgdt,cur_fv_t,yra2_rng,cp_boro,yra1,ext,tn_avl,secvol,reuc,tn_avt_a,yrb_flag,newlot,hnum_hi,corner,tn_ext_a
1183,0.0,,0.0,377.0,0,R,,,14400,55185,14356,RECTOR PLACE,0,,123363,0,1.0,0,,14400,101,,69966,,0,377.0,,69966
1407,102.0,0.0,202.0,30.0,0,R,,,21804,183137,230650,LITTLE WEST STREET,0,,444594,0,1.0,0,,21804,101,,196740,,0,30.0,,196740
1572,102.0,0.0,202.0,30.0,0,R,,,28723,241253,230650,LITTLE WEST STREET,0,,585675,0,1.0,0,,28722,101,,259170,,0,30.0,,259170
1006,0.0,0.0,0.0,2.0,0,C,,,842112,2235959,154936,AMERICAN EXPRESS PLZ,0,,5168000,0,1.0,0,,842112,101,,2489396,,0,2.0,NE,2489396
1191,0.0,,0.0,377.0,0,R,,,20160,77255,14356,RECTOR PLACE,0,,172702,0,1.0,0,,20160,101,,97948,,0,377.0,,97948
1723,198.0,0.0,200.0,70.0,0,R,,,13545,66535,223402,BATTERY PLACE,0,,210208,0,1.0,0,,12525,101,,94877,,0,70.0,,94877
1119,179.58,0.0,78.67,20.0,0,R,,,0,153543,223325,LITTLE WEST STREET,2005,,343381,0,1.0,2004,,20649,101,,208361,,0,20.0,,103969
1078,0.0,,0.0,377.0,0,R,,,12397,47510,14356,RECTOR PLACE,0,,106203,0,1.0,0,,12397,101,,60234,,0,377.0,,60234
1154,179.58,0.0,78.67,20.0,0,R,,,0,88773,223325,LITTLE WEST STREET,2005,,198538,0,1.0,2004,,11939,101,,120471,,0,20.0,,60113
1171,179.58,0.0,78.67,20.0,0,R,,,0,53523,223325,LITTLE WEST STREET,2005,,119703,0,1.0,2004,,7199,101,,72634,,0,20.0,,36243
3,100.0,0.0,30.0,,0,,,X1,106883843,112930631,155814,JOE DIMAGGIO HIGHWAY,0,,259204000,0,1.0,0,,111960071,101,,119122650,,0,,,119122650
1291,179.58,0.0,78.67,20.0,0,R,,,0,79761,223325,LITTLE WEST STREET,2005,,178375,0,1.0,2004,,10727,101,,108238,,0,20.0,,54007
1267,179.58,0.0,78.67,20.0,0,R,,,0,61698,223325,LITTLE WEST STREET,2005,,137984,0,1.0,2004,,8297,101,,83728,,0,20.0,,41778
2297,0.0,,0.0,250.0,0,R,,,33524,0,221739,SOUTH END AVENUE,0,,274528,0,1.0,0,,0,101,,0,,0,250.0,,0
1601,102.0,0.0,202.0,30.0,0,R,,,23847,200296,230650,LITTLE WEST STREET,0,,486250,0,1.0,0,,23846,101,,215173,,0,30.0,,215173
21,0.0,0.0,0.0,97.0,0,,,,0,498,0,WEST STREET,0,,1140,0,1.0,0,,498,101,,513,,0,97.0,NE,0
1046,0.0,,0.0,377.0,0,R,,,24316,93188,14356,RECTOR PLACE,0,,208324,0,1.0,0,,24316,101,,118154,,0,377.0,,118154
1593,102.0,0.0,202.0,30.0,0,R,,,29221,245436,230650,LITTLE WEST STREET,0,,595829,0,1.0,0,,29220,101,,263663,,0,30.0,,263663
7502,0.0,0.0,0.0,39.0,0,,,,0,0,232405,VESTRY STREET,0,,0,0,1.0,1998,,0,105,,0,,0,39.0,,0
1152,179.58,0.0,78.67,20.0,0,R,,,0,87132,223325,LITTLE WEST STREET,2005,,194869,0,1.0,2004,,11718,101,,118245,,0,20.0,,59003
1417,102.0,0.0,202.0,30.0,0,R,,,10406,87404,230650,LITTLE WEST STREET,0,,212182,0,1.0,0,,10406,101,,93894,,0,30.0,,93894
1001,0.0,0.0,0.0,17.0,0,R,,,0,39102301,201238,BATTERY PLACE,0,,82700000,0,1.0,0,,3947400,101,,40936500,,0,17.0,,4824000
1,0.0,0.0,0.0,,0,,,,0,0,0,BROADWAY,0,,0,0,,0,,0,102,793-E2,0,,0,,,0
1112,179.58,0.0,78.67,20.0,0,R,,,0,117962,223325,LITTLE WEST STREET,2005,,263807,0,1.0,2004,,15864,101,,160076,,0,20.0,,79876
1102,106.58,0.0,29.42,32.0,0,R,1.0,,0,1014433,184612,WATER STREET,0,,3453000,0,1.0,1996,,345786,101,,1014433,,0,32.0,,9000
1488,102.0,0.0,202.0,30.0,0,R,,,19214,161381,230650,LITTLE WEST STREET,0,,391783,0,1.0,0,,19214,101,,173370,,0,30.0,,173370
1035,0.0,0.0,0.0,1.0,0,C,,,0,2726153,4356,WATER STREET,0,,4989047,0,1.0,0,,804484,101,,3072762,,0,1.0,,0
1188,179.58,0.0,78.67,20.0,0,R,,,0,87954,223325,LITTLE WEST STREET,2005,,196705,0,1.0,2004,,11828,101,,119360,,0,20.0,,59558
1278,179.58,0.0,78.67,20.0,0,R,,,0,102578,223325,LITTLE WEST STREET,2005,,229397,0,1.0,2004,,13794,101,,139197,,0,20.0,,69456
1223,0.0,,0.0,377.0,0,R,,,20078,76944,14356,RECTOR PLACE,0,,172006,0,1.0,0,,20078,101,,97554,,0,377.0,,97554
1199,179.58,0.0,78.67,20.0,0,R,,,0,118197,223325,LITTLE WEST STREET,2005,,264333,0,1.0,2004,,15895,101,,160395,,0,20.0,,80035
1173,0.0,,0.0,377.0,0,R,,,13600,52117,14356,RECTOR PLACE,0,,116500,0,1.0,0,,13600,101,,66072,,0,377.0,,66072
1030,0.0,,0.0,377.0,0,R,,,18638,71427,14356,RECTOR PLACE,0,,159670,0,1.0,0,,18637,101,,90559,,0,377.0,,90559
1190,179.58,0.0,78.67,20.0,0,R,,,0,89314,223325,LITTLE WEST STREET,2005,,199744,0,1.0,2004,,12012,101,,121202,,0,20.0,,60478
1007,0.0,0.0,0.0,2.0,0,C,,,0,9216751,162811,AMERICAN EXPRESS PLZ,0,,21302800,0,1.0,0,,3470492,101,,10261436,,0,2.0,NE,0
1406,102.0,0.0,202.0,30.0,0,R,,,24431,205202,230650,LITTLE WEST STREET,0,,498159,0,1.0,0,,24431,101,,220443,,0,30.0,,220443
1252,179.58,0.0,78.67,20.0,0,R,,,0,119907,223325,LITTLE WEST STREET,2005,,268156,0,1.0,2004,,16125,101,,162716,,0,20.0,,81193
1272,179.58,0.0,78.67,20.0,0,R,,,0,76925,223325,LITTLE WEST STREET,2005,,172031,0,1.0,2004,,10346,101,,104387,,0,20.0,,52088
1542,102.0,0.0,202.0,30.0,0,R,,,15335,128798,230650,LITTLE WEST STREET,0,,312687,0,1.0,0,,15335,101,,138369,,0,30.0,,138369
1018,0.0,0.0,0.0,1.0,0,C,,,0,4188890,4356,WATER STREET,0,,7665959,0,1.0,0,,1236135,101,,4721478,,0,1.0,,0
1720,198.0,0.0,200.0,70.0,0,R,,,12038,59138,223402,BATTERY PLACE,0,,186851,0,1.0,0,,11131,101,,84335,,0,70.0,,84335
1579,102.0,0.0,202.0,30.0,0,R,,,28890,242644,230650,LITTLE WEST STREET,0,,589061,0,1.0,0,,28889,101,,260667,,0,30.0,,260667
7502,0.0,0.0,0.0,114.0,0,,,,0,0,225726,LIBERTY STREET,0,,0,0,1.0,0,,0,101,,0,,0,114.0,,0
1129,179.58,0.0,78.67,20.0,0,R,,,0,167341,223325,LITTLE WEST STREET,2005,,374234,0,1.0,2004,,22505,101,,227081,,0,20.0,,113312
21,107.0,0.0,131.0,80.0,0,,,,0,22466340,0,BROAD STREET,0,,47400000,0,1.0,1985,,5895000,101,,24806700,E,0,86.0,,621000
1005,0.0,,0.0,377.0,0,R,,,21198,81239,14356,RECTOR PLACE,0,,181609,0,1.0,0,,21198,101,,103002,,0,377.0,,103002
1126,0.0,,0.0,377.0,0,R,,,15997,61301,14356,RECTOR PLACE,0,,137038,0,1.0,0,,15997,101,,77720,,0,377.0,,77720
7503,109.0,0.0,26.0,151.0,0,,,,0,0,220701,HUDSON STREET,0,,0,0,1.0,0,,0,105,,0,,0,151.0,,0
1380,179.58,0.0,78.67,20.0,0,R,,,0,86345,223325,LITTLE WEST STREET,2005,,193096,0,1.0,2004,,11612,101,,117169,,0,20.0,,58464
1102,0.0,,0.0,377.0,0,R,,,36795,141010,14356,RECTOR PLACE,0,,315221,0,1.0,0,,36795,101,,178780,,0,377.0,,178780
1240,179.58,0.0,78.67,20.0,0,R,,,0,86574,223325,LITTLE WEST STREET,2005,,193613,0,1.0,2004,,11642,101,,117484,,0,20.0,,58623
1586,102.0,0.0,202.0,30.0,0,R,,,29054,244034,230650,LITTLE WEST STREET,0,,592422,0,1.0,0,,29054,101,,262156,,0,30.0,,262156
1446,102.0,0.0,202.0,30.0,0,R,,,19190,161178,230650,LITTLE WEST STREET,0,,391291,0,1.0,0,,19189,101,,173152,,0,30.0,,173152
1131,179.58,0.0,78.67,20.0,0,R,,,0,66968,223325,LITTLE WEST STREET,2005,,149769,0,1.0,2004,,9008,101,,90878,,0,20.0,,45347
1,191.0,0.0,22.0,100.0,0,,,,0,1626330,0,BROAD STREET,0,,4010000,0,1.0,0,,607500,101,,2158650,,0,100.0,CR,0
1054,0.0,,0.0,377.0,0,R,,,25756,98709,14356,RECTOR PLACE,0,,220658,0,1.0,0,,25757,101,,125150,,0,377.0,,125150
1466,102.0,0.0,202.0,30.0,0,R,,,10894,91502,230650,LITTLE WEST STREET,0,,222134,0,1.0,0,,10894,101,,98298,,0,30.0,,98298
1285,179.58,0.0,78.67,20.0,0,R,,,0,55373,223325,LITTLE WEST STREET,2005,,123839,0,1.0,2004,,7448,101,,75142,,0,20.0,,37496
1196,179.58,0.0,78.67,20.0,0,R,,,0,180224,223325,LITTLE WEST STREET,2005,,403047,0,1.0,2004,,24237,101,,244566,,0,20.0,,122035
1104,179.58,0.0,78.67,20.0,0,R,,,0,72799,223325,LITTLE WEST STREET,2005,,162806,0,1.0,2004,,9790,101,,98790,,0,20.0,,49296
1410,102.0,0.0,202.0,30.0,0,R,,,12960,108851,230650,LITTLE WEST STREET,0,,264259,0,1.0,0,,12959,101,,116938,,0,30.0,,116938
1728,198.0,0.0,200.0,70.0,0,R,,,20314,99801,223402,BATTERY PLACE,0,,315311,0,1.0,0,,18783,101,,142316,,0,70.0,,142316
1518,102.0,0.0,202.0,30.0,0,R,,,15434,129635,230650,LITTLE WEST STREET,0,,314707,0,1.0,0,,15433,101,,139262,,0,30.0,,139262
1163,179.58,0.0,78.67,20.0,0,R,,,0,63734,223325,LITTLE WEST STREET,2005,,142536,0,1.0,2004,,8571,101,,86490,,0,20.0,,43158
1425,102.0,0.0,202.0,30.0,0,R,,,23927,200963,230650,LITTLE WEST STREET,0,,487863,0,1.0,0,,23927,101,,215886,,0,30.0,,215886
1372,179.58,0.0,78.67,20.0,0,R,,,0,51977,223325,LITTLE WEST STREET,2005,,116242,0,1.0,2004,,6989,101,,70537,,0,20.0,,35196
1171,0.0,,0.0,377.0,0,R,,,30798,118024,14356,RECTOR PLACE,0,,263838,0,1.0,0,,30798,101,,149636,,0,377.0,,149636
1473,102.0,0.0,202.0,30.0,0,R,,,10961,92064,230650,LITTLE WEST STREET,0,,223500,0,1.0,0,,10960,101,,98902,,0,30.0,,98902
1625,102.0,0.0,202.0,30.0,0,R,,,12732,106938,230650,LITTLE WEST STREET,0,,259610,0,1.0,0,,12731,101,,114881,,0,30.0,,114881
1034,0.0,0.0,0.0,1.0,0,C,,,0,2674719,4356,WATER STREET,0,,4894918,0,1.0,0,,789306,101,,3014788,,0,1.0,,0
1050,0.0,0.0,0.0,1.0,0,C,,,0,2872431,4356,WATER STREET,0,,5256740,0,1.0,0,,847649,101,,3237635,,0,1.0,,0
1237,0.0,,0.0,377.0,0,R,,,21920,84001,14356,RECTOR PLACE,0,,187774,0,1.0,0,,21920,101,,106495,,0,377.0,,106495
1197,179.58,0.0,78.67,20.0,0,R,,,0,199597,223325,LITTLE WEST STREET,2005,,446368,0,1.0,2004,,26843,101,,270850,,0,20.0,,135152
1184,179.58,0.0,78.67,20.0,0,R,,,0,57018,223325,LITTLE WEST STREET,2005,,127507,0,1.0,2004,,7667,101,,77370,,0,20.0,,38606
1,403.0,0.0,287.0,2.0,0,,,,28170000,82281870,0,BROADWAY,0,,155000000,0,1.0,1980,,28170000,101,,77959350,,0,8.0,CR,77959350
5,200.0,0.0,152.0,11.0,0,,,,0,17274330,0,BROADWAY,0,,39000000,0,1.0,1920,,5625000,101,,22696650,E,0,11.0,,2160000
1556,102.0,0.0,202.0,30.0,0,R,,,15512,130280,230650,LITTLE WEST STREET,0,,316277,0,1.0,0,,15511,101,,139956,,0,30.0,,139956
1168,179.58,0.0,78.67,20.0,0,R,,,0,64511,223325,LITTLE WEST STREET,2005,,144267,0,1.0,2004,,8676,101,,87539,,0,20.0,,43681
1122,179.58,0.0,78.67,20.0,0,R,,,0,166966,223325,LITTLE WEST STREET,2005,,373396,0,1.0,2004,,22453,101,,226575,,0,20.0,,113058
1588,102.0,0.0,202.0,30.0,0,R,,,23574,198004,230650,LITTLE WEST STREET,0,,480685,0,1.0,0,,23573,101,,212710,,0,30.0,,212710
1131,0.0,,0.0,377.0,0,R,,,16240,62240,14356,RECTOR PLACE,0,,139125,0,1.0,0,,16240,101,,78906,,0,377.0,,78906
1212,0.0,,0.0,377.0,0,R,,,21038,80622,14356,RECTOR PLACE,0,,180222,0,1.0,0,,21038,101,,102213,,0,377.0,,102213
1,146.0,0.0,210.0,34.0,0,,,,0,87431020,0,WHITEHALL STREET,0,,192000000,2004,1.0,1988,,23895000,101,,98855100,,0,50.0,CR,2584800
1583,102.0,0.0,202.0,30.0,0,R,,,15879,133369,230650,LITTLE WEST STREET,0,,323781,0,1.0,0,,15879,101,,143278,,0,30.0,,143278
1515,102.0,0.0,202.0,30.0,0,R,,,11374,95532,230650,LITTLE WEST STREET,0,,231921,0,1.0,0,,11373,101,,102628,,0,30.0,,102628
1505,102.0,0.0,202.0,30.0,0,R,,,21965,184490,230650,LITTLE WEST STREET,0,,447876,0,1.0,0,,21965,101,,198192,,0,30.0,,198192
1.14e+03,179.58,0.0,78.67,20.0,0,R,,,0,94847,223325,LITTLE WEST STREET,2005,,212110,0,1.0,2004,,12756,101,,128705,,0,20.0,,64221
1435,102.0,0.0,202.0,30.0,0,R,,,20619,173176,230650,LITTLE WEST STREET,0,,420410,0,1.0,0,,20618,101,,186038,,0,30.0,,186038
1378,179.58,0.0,78.67,20.0,0,R,,,0,52259,223325,LITTLE WEST STREET,2005,,116879,0,1.0,2004,,7029,101,,70920,,0,20.0,,35386
1156,179.58,0.0,78.67,20.0,0,R,,,0,74301,223325,LITTLE WEST STREET,2005,,166169,0,1.0,2004,,9992,101,,100831,,0,20.0,,50311
1301,179.58,0.0,78.67,20.0,0,R,,,0,54839,223325,LITTLE WEST STREET,2005,,122639,0,1.0,2004,,7375,101,,74416,,0,20.0,,37131
1110,179.58,0.0,78.67,20.0,0,R,,,0,102783,223325,LITTLE WEST STREET,2005,,229859,0,1.0,2004,,13824,101,,139473,,0,20.0,,69598
1266,179.58,0.0,78.67,20.0,0,R,,,0,59260,223325,LITTLE WEST STREET,2005,,132531,0,1.0,2004,,7970,101,,80420,,0,20.0,,40129
1056,0.0,,0.0,377.0,0,R,,,26158,100242,14356,RECTOR PLACE,0,,224088,0,1.0,0,,26158,101,,127094,,0,377.0,,127094
1110,0.0,,0.0,377.0,0,R,,,13837,53025,14356,RECTOR PLACE,0,,118535,0,1.0,0,,13837,101,,67227,,0,377.0,,67227
1439,102.0,0.0,202.0,30.0,0,R,,,24240,203599,230650,LITTLE WEST STREET,0,,494265,0,1.0,0,,24239,101,,218719,,0,30.0,,218719
1620,102.0,0.0,202.0,30.0,0,R,,,30140,253144,230650,LITTLE WEST STREET,0,,614548,0,1.0,0,,30138,101,,271946,,0,30.0,,271946
1016,0.0,0.0,0.0,1.0,0,C,,,0,4057082,4356,WATER STREET,0,,7424741,0,1.0,0,,1197240,101,,4572908,,0,1.0,,0
15,65.0,0.0,43.0,70.0,0,,,,900000,1494450,0,BROAD STREET,0,,3800000,2008,1.0,1989,,900000,101,,1494450,,0,72.0,CR,1494450
1481,102.0,0.0,202.0,30.0,0,R,,,19093,160368,230650,LITTLE WEST STREET,0,,389314,0,1.0,0,,19092,101,,172277,,0,30.0,,172277
1.01e+03,0.0,,0.0,377.0,0,R,,,21755,83377,14356,RECTOR PLACE,0,,186384,0,1.0,0,,21754,101,,105711,,0,377.0,,105711
1434,102.0,0.0,202.0,30.0,0,R,,,14310,120195,230650,LITTLE WEST STREET,0,,291786,0,1.0,0,,14310,101,,129120,,0,30.0,,129120
1040,0.0,,0.0,377.0,0,R,,,22238,85222,14356,RECTOR PLACE,0,,190513,0,1.0,0,,22238,101,,108051,,0,377.0,,108051
1179,0.0,,0.0,377.0,0,R,,,14080,53961,14356,RECTOR PLACE,0,,120623,0,1.0,0,,14080,101,,68412,,0,377.0,,68412
1213,0.0,,0.0,377.0,0,R,,,21520,82469,14356,RECTOR PLACE,0,,184346,0,1.0,0,,21520,101,,104551,,0,377.0,,104551
1320,179.58,0.0,78.67,20.0,0,R,,,0,63219,223325,LITTLE WEST STREET,2005,,141384,0,1.0,2004,,8502,101,,85791,,0,20.0,,42809
1219,0.0,,0.0,377.0,0,R,,,19597,75100,14356,RECTOR PLACE,0,,167884,0,1.0,0,,19597,101,,95216,,0,377.0,,95216
1325,179.58,0.0,78.67,20.0,0,R,,,0,56314,223325,LITTLE WEST STREET,2005,,125938,0,1.0,2004,,7573,101,,76419,,0,20.0,,38130
1017,0.0,,0.0,377.0,0,R,,,21837,83690,14356,RECTOR PLACE,0,,187079,0,1.0,0,,21836,101,,106105,,0,377.0,,106105
1133,179.58,0.0,78.67,20.0,0,R,,,0,50730,223325,LITTLE WEST STREET,2005,,113464,0,1.0,2004,,6823,101,,68849,,0,20.0,,34355
1444,102.0,0.0,202.0,30.0,0,R,,,14060,118090,230650,LITTLE WEST STREET,0,,286689,0,1.0,0,,14059,101,,126864,,0,30.0,,126864
1283,179.58,0.0,78.67,20.0,0,R,,,0,79220,223325,LITTLE WEST STREET,2005,,177166,0,1.0,2004,,10653,101,,107504,,0,20.0,,53642
1412,102.0,0.0,202.0,30.0,0,R,,,23606,198273,230650,LITTLE WEST STREET,0,,481338,0,1.0,0,,23605,101,,212999,,0,30.0,,212999
