development_name,lot,bin,zip,bbl,viol_desc,insp_dt
MOTT HAVEN,1,2091098,10454,2023040001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CLOSET WALLS   IN THE  PRIVATE HALLWAY  LOCATED AT APT 9D, 9th STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-10-20T00:00:00.000
LAFAYETTE,1,3321868,11238,3019380001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR  THE EAST WALL   IN THE  2nd ROOM  FROM NORTH LOCATED AT APT 2G, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",2025-10-21T00:00:00.000
NOSTRAND,1,3345789,11235,3074080001,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10 SQ FT INSIDE BASE CABINET AT SOUTH  IN THE  KITCHEN  LOCATED AT APT 3D, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-09-20T00:00:00.000
BRONX RIVER,2,2092908,10472,2038860002,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10 SQ FT ON CEILING, NORTH AND EAST WALLS  IN THE  BATHROOM  LOCATED AT APT 14B, 14th STORY, 5th APARTMENT FROM WEST AT NORTH",2025-10-20T00:00:00.000
CORSI HOUSES,45,1079357,10029,1016880045,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR UNKEYED PLASTER APPROX 6 SQUARE FEET AT THE NORTH WALL   IN THE  KITCHEN  LOCATED AT APT 14G, 14th STORY, 4th APARTMENT FROM NORTH AT EAST",2025-09-25T00:00:00.000
RED HOOK EAST,1,3332226,11231,3005380001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT EAST WALL AND SOUTH WALL  IN THE  3rd ROOM  FROM NORTH AT EAST LOCATED AT APT 3B, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-10-26T00:00:00.000
WSUR (BROWNSTONES),21,1081758,10024,1012040021,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE  ENTIRE APARTMENT  LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-10-03T00:00:00.000
NOSTRAND,1,3345789,11235,3074080001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT NORTH WALL   IN THE  2nd ROOM  FROM EAST LOCATED AT APT 3D, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-09-20T00:00:00.000
WHITMAN,1,3335247,11205,3020400001,"§ 27-2005 ADM CODE  REPLACE WITH NEW THE MISSING CLOSET DOOR AT  WEST WALL   IN THE  1st ROOM  FROM EAST AT SOUTH LOCATED AT APT 4A, 4th STORY, 2nd APARTMENT FROM WEST AT NORTH",2025-09-24T00:00:00.000
BLAND,8,4443444,11354,4050370008,"§  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION STEAM RISER PIPE   IN THE  BATHROOM  LOCATED AT APT 7B, 7th STORY, 3rd APARTMENT FROM NORTH AT EAST",2025-10-03T00:00:00.000
MONROE,1,2092761,10473,2036630001,"§ 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE           EAST WALL,         NORTH WALL,         WEST WALL,         SOUTH WALL,         1st RISER  FROM WEST AT NORTH WALL,         1st CLOSET  FROM EAST AT SOUTH WALL DOOR FRAME IN THE  KITCHEN  LOCATED AT APT 11E, 11th STORY, 1st APARTMENT FROM WEST AT NORTH",2025-10-15T00:00:00.000
WSUR (SITE A) 120 WEST 94TH STREET,42,1032540,10025,1012240042,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES   IN THE  6th ROOM  FROM EAST LOCATED AT APT 3B, 3rd STORY, 4th APARTMENT FROM WEST AT NORTH",2025-10-01T00:00:00.000
LAFAYETTE,1,3321868,11238,3019380001,"§ 27-2045(B)(1)(B) HMC, § 12-06, § 12-07, § 12-09 RCNY REPAIR, REPLACE OR PROVIDE AN APPROVED AND OPERATIONAL CARBON MONOXIDE DETECTING DEVICE, INSTALLED IN ACCORDANCE WITH APPLICABLE LAW AND RULES MISSING   IN THE  ENTIRE APARTMENT  LOCATED AT APT 2G, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",2025-10-21T00:00:00.000
ALBANY,80,3324616,11213,3013520080,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10 SQUARE FEET AT WEST WALL  IN THE  BATHROOM  LOCATED AT APT 4H, 4th STORY, 2nd APARTMENT FROM EAST AT SOUTH",2025-10-28T00:00:00.000
VAN DYKE I,1,3328042,11212,3037770001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING   IN THE  BATHROOM  LOCATED AT APT 10E, 10th STORY, 3rd APARTMENT FROM NORTH AT EAST",2025-10-27T00:00:00.000
FULTON,17,1078444,10011,1007160017,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE LOWER WINDOW SASH COUNTER BALANCE AT WINDOW AT NORTH WALL   IN THE  KITCHEN  LOCATED AT APT 1E, 1st STORY, 1st APARTMENT FROM WEST AT NORTH , SECTION ""400w19th""",2025-09-22T00:00:00.000
JEFFERSON,1,1080706,10029,1016620001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING  IN THE  BATHROOM  LOCATED AT APT 3A, 3rd STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-10-20T00:00:00.000
RED HOOK EAST,1,3332226,11231,3005380001,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING  IN THE  BATHROOM  LOCATED AT APT 3B, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-10-26T00:00:00.000
WAGNER,1,1081276,10035,1017970001,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE PORCELAIN ENAMEL GLAZE AT BATHTUB   IN THE  BATHROOM  LOCATED AT APT 7D, 7th STORY, 2nd APARTMENT FROM NORTH AT EAST",2025-09-15T00:00:00.000
CASTLE HILL,1,2092631,10473,2035340001,"§ 27-2070 ADM CODE  PROVIDE AN ADEQUATE SUPPLY OF GAS TO THE FIXTURES AT RANGE  IN THE  KITCHEN  LOCATED AT APT 8F, 8th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-09-23T00:00:00.000
THROGGS NECK,1,2091468,10465,2055640001,"§ 27-2005 ADM CODE  REPLACE WITH NEW THE MISSING UPPER WALL CABINETS AT SOUTH WALL   IN THE  KITCHEN  LOCATED AT APT 2C, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-10-14T00:00:00.000
ROOSEVELT II,24,3341752,11221,3015950024,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE  EAST WALL, SOUTH WALL AND WEST WALL   IN THE  3rd ROOM  FROM NORTH LOCATED AT APT 14C, 14th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-22T00:00:00.000
SHEEPSHEAD BAY,1001,3344550,11235,3074051001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING AND ALL WALLS   IN THE  1st ROOM  FROM EAST AT SOUTH LOCATED AT APT 5D, 5th STORY, 2nd APARTMENT FROM NORTH AT EAST",2025-10-08T00:00:00.000
CLINTON,1,1078930,10029,1016370001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT THE CEILING AND ALL WALLS   IN THE  1st ROOM  FROM NORTH AT WEST LOCATED AT APT 14D, 14th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-29T00:00:00.000
WAGNER,1,1081295,10035,1018080001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT           EAST WALL IN THE  PRIVATE HALLWAY  LOCATED AT APT 12F, 12th STORY, 4th APARTMENT FROM SOUTH AT WEST",2025-09-23T00:00:00.000
SOTOMAYOR HOUSES,1,2092808,10472,2037300001,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 30 SQUARE FEET AT NORTH WALL  IN THE  2nd PRIVATE HALLWAY  FROM EAST AT CENTER LOCATED AT APT 5D, 5th STORY, 2nd APARTMENT FROM SOUTH AT WEST , SECTION ""SOUTH""",2025-09-18T00:00:00.000
DOUGLASS I,1,1079388,10025,1018550001,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CERAMIC FLOOR TILES   IN THE  KITCHEN  LOCATED AT APT 7H, 7th STORY, 2nd APARTMENT FROM NORTH AT EAST",2025-09-22T00:00:00.000
MARLBORO,1,3322143,11223,3071370001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING AND ALL WALLS   IN THE  PRIVATE HALLWAY  LOCATED AT APT 13G, 13th STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-11-05T00:00:00.000
WASHINGTON,1,1082343,10029,1016470001,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE  ENTIRE APARTMENT  LOCATED AT APT 14H, 14th STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-11-05T00:00:00.000
