year,ela_level_2,female,ela_level_1,ell_french,ell_bengali,ell_bengali_1,math_level_3_1,math_l3_l4,math_level_3,white,ela_level_1_1,ell_spanish_1
2017-18,,s,,s,s,s,,,,s,,84.6%
2017-18,,6,,,,,,,,s,,
2017-18,31,92,42,,,,s,s,s,s,46.7%,
2017-18,s,416,s,,,,43.2%,71,41,209,s,
2017-18,8,25,14,,,,s,s,s,s,60.9%,
2017-18,s,s,s,s,s,s,s,s,s,s,s,s
2017-18,7,44,s,,,,s,s,s,s,s,
2017-18,42,253,9,,,,s,s,s,13,9.8%,
2017-18,s,s,s,,,,s,s,s,s,s,
2017-18,8,88,14,s,s,s,s,s,s,s,63.6%,99.0%
2017-18,,19,,,,,,,,s,,
2017-18,s,23,s,,,,s,s,s,s,s,
2017-18,,79,,,,,,,,s,,
2017-18,7,30,7,,,,s,s,s,s,50.0%,
2017-18,,s,,,,,,,,s,,
2017-18,10,30,s,,,,s,s,s,10,s,
2017-18,29,237,22,,,,s,s,s,12,34.9%,
2017-18,34,107,s,,,,s,s,s,12,s,
2017-18,8,40,14,,,,s,s,s,s,60.9%,
2017-18,s,9,s,,,,s,s,s,s,s,
2017-18,s,13,s,,,,s,s,s,s,s,
2017-18,s,s,6,,,,s,s,s,s,85.7%,
2017-18,,32,,,,,,,,s,,
2017-18,s,15,s,,,,s,s,s,s,s,
2017-18,s,s,7,s,s,s,s,s,s,23,100.0%,28.8%
2017-18,s,66,15,,,,s,s,s,s,68.2%,
2017-18,s,7,s,s,s,s,s,s,s,s,s,90.0%
2017-18,s,52,s,,,,s,s,s,s,s,
2017-18,s,58,7,,,,s,s,s,s,100.0%,
2017-18,13,26,15,,,,s,s,s,s,50.0%,
2017-18,s,185,s,,,,s,s,s,6,s,
2017-18,29,79,35,,,,s,s,s,7,45.5%,
2017-18,s,s,s,,,,s,s,s,s,s,
2017-18,,305,,,,,,,,43,,
2017-18,22,170,35,,,,s,s,s,s,48.6%,
2017-18,34,201,16,,,,s,s,s,s,18.0%,
2017-18,s,117,22,,,,s,s,s,s,88.0%,
2017-18,s,s,s,s,s,s,s,s,s,s,s,88.2%
2017-18,37,211,17,,,,s,s,s,6,17.3%,
2017-18,28,213,s,,,,37.2%,s,32,169,s,
2017-18,31,259,28,,,,s,s,s,7,34.1%,
2017-18,,12,,s,s,s,,,,s,,68.4%
2017-18,s,6,s,,,,s,s,s,s,s,
2017-18,39,154,17,,,,s,s,s,9,17.9%,
2017-18,s,20,s,,,,s,s,s,s,s,
2017-18,43,359,27,,,,s,s,s,s,27.8%,
2017-18,s,8,s,,,,s,s,s,s,s,
2017-18,s,33,6,,,,s,s,s,s,46.2%,
2017-18,s,18,s,s,s,s,s,s,s,s,s,96.2%
2017-18,s,s,s,,,,s,s,s,8,s,
2017-18,51,173,23,,,,16.3%,27,17,s,18.9%,
2017-18,s,21,s,,,,s,s,s,s,s,
2017-18,10,29,s,,,,s,s,s,s,s,
2017-18,36,224,6,,,,27.1%,s,19,121,5.9%,
2017-18,s,33,7,,,,s,s,s,s,63.6%,
2017-18,20,117,s,,,,s,s,s,20,s,
2017-18,,s,,s,s,s,,,,s,,s
2017-18,45,194,16,,,,s,s,s,s,17.0%,
2017-18,s,11,s,s,s,s,s,s,s,s,s,73.9%
2017-18,10,20,9,,,,s,s,s,s,40.9%,
2017-18,,s,,s,s,s,,,,s,,80.0%
2017-18,35,234,s,,,,s,s,s,9,s,
2017-18,8,22,s,,,,s,s,s,s,s,
2017-18,s,31,s,,,,s,s,s,11,s,
2017-18,s,s,s,,,,85.7%,s,6,s,s,
2017-18,s,30,s,,,,s,s,s,6,s,
2017-18,34,237,30,,,,s,s,s,47,27.0%,
2017-18,s,19,s,,,,s,s,s,s,s,
2017-18,7,33,12,,,,s,s,s,s,57.1%,
2017-18,s,13,s,s,s,s,s,s,s,s,s,47.6%
2017-18,6,43,8,,,,s,s,s,s,53.3%,
2017-18,25,106,s,,,,s,s,s,s,s,
2017-18,7,14,s,,,,s,s,s,s,s,
2017-18,6,29,s,,,,s,s,s,s,s,
2017-18,s,s,s,,,,s,s,s,s,s,
2017-18,37,211,17,,,,s,s,s,9,19.1%,
2017-18,,133,,,,,,,,13,,
2017-18,s,s,s,,,,s,s,s,s,s,
2017-18,s,s,s,,,,s,s,s,s,s,
2017-18,6,36,13,,,,s,s,s,s,68.4%,
2017-18,s,8,s,,,,s,s,s,s,s,
2017-18,29,168,s,,,,s,s,s,6,s,
2017-18,s,23,s,s,s,s,s,s,s,s,s,82.5%
2017-18,,59,,,,,,,,16,,
2017-18,s,17,s,,,,s,s,s,s,s,
2017-18,s,14,s,,,,s,s,s,s,s,
2017-18,s,13,s,s,s,s,s,s,s,s,s,93.9%
2017-18,s,s,6,s,s,s,s,s,s,s,100.0%,93.3%
2017-18,,125,,,,,,,,s,,
2017-18,s,15,s,,,,s,s,s,s,s,
2017-18,s,36,12,s,s,s,s,s,s,s,92.3%,88.2%
2017-18,s,34,s,,,,s,s,s,s,s,
2017-18,s,17,s,,,,s,s,s,s,s,
2017-18,,29,,,,,,,,s,,
2017-18,s,8,s,s,s,s,s,s,s,s,s,66.7%
2017-18,13,105,9,,,,s,s,s,s,30.0%,
2017-18,54,190,21,,,,s,s,s,16,17.4%,
2017-18,6,41,15,,,,s,s,s,s,71.4%,
2017-18,,101,,,,,,,,8,,
2017-18,,13,,,,,,,,s,,
2017-18,11,30,9,,,,s,s,s,s,33.3%,
2017-18,8,73,s,,,,s,s,s,s,s,
2017-18,s,s,s,s,s,s,s,s,s,s,s,85.7%
2017-18,10,136,s,,,,s,s,s,8,s,
2017-18,31,193,12,,,,34.8%,47,31,s,13.3%,
2017-18,27,164,12,,,,s,s,s,s,22.6%,
2017-18,,s,,,,,,,,s,,
2017-18,6,30,s,,,,s,s,s,s,s,
2017-18,s,s,s,s,s,s,s,s,s,s,s,75.0%
2017-18,50,174,20,,,,s,s,s,14,16.9%,
2017-18,34,128,24,,,,s,s,s,s,35.8%,
2017-18,9,57,18,s,13,13.1%,s,s,s,6,66.7%,71.7%
2017-18,,7,,,,,,,,s,,
2017-18,7,15,12,,,,s,s,s,s,63.2%,
2017-18,s,19,11,s,s,s,s,s,s,s,84.6%,82.2%
2017-18,9,42,22,s,s,s,s,s,s,s,71.0%,96.4%
2017-18,s,11,s,s,s,s,s,s,s,s,s,82.6%
2017-18,,19,,,,,,,,s,,
2017-18,s,28,s,,,,s,s,s,s,s,
2017-18,24,116,13,,,,s,s,s,s,30.2%,
2017-18,14,122,10,,,,s,s,s,s,30.3%,
2017-18,44,166,26,,,,s,s,s,s,28.9%,
2017-18,s,10,s,,,,s,s,s,s,s,
2017-18,14,24,10,,,,s,s,s,s,35.7%,
2017-18,27,s,s,,,,s,s,s,s,s,
2017-18,28,193,24,,,,s,s,s,7,36.9%,
2017-18,14,110,12,,,,s,s,s,s,36.4%,
2017-18,20,138,13,,,,s,s,s,s,29.5%,
2017-18,21,s,14,,,,s,s,s,33,33.3%,
2017-18,s,110,s,,,,s,s,s,19,s,
2017-18,10,30,17,,,,s,s,s,s,60.7%,
2017-18,s,8,s,,,,s,s,s,s,s,
2017-18,s,s,s,s,s,s,s,s,s,s,s,77.8%
2017-18,10,28,12,,,,s,s,s,s,50.0%,
2017-18,64,277,47,,,,s,s,s,77,25.5%,
2017-18,s,s,s,,,,s,s,s,s,s,
2017-18,,s,,,,,,,,s,,
2017-18,,s,,s,s,s,,,,s,,s
2017-18,15,263,9,,,,32.3%,35,20,202,7.6%,
2017-18,6,18,7,,,,s,s,s,s,46.7%,
2017-18,18,168,s,,,,s,s,s,s,s,
2017-18,s,11,s,,,,s,s,s,s,s,
2017-18,s,s,s,,,,s,s,s,s,s,
2017-18,s,s,s,,,,s,s,s,s,s,
2017-18,s,164,s,,,,s,s,s,29,s,
2017-18,7,15,7,,,,s,s,s,s,43.8%,
2017-18,s,s,s,,,,s,s,s,s,s,
2017-18,,s,,,,,,,,s,,
2017-18,s,92,s,,,,s,s,s,15,s,
2017-18,,9,,,,,,,,s,,
2017-18,,47,,,,,,,,s,,
2017-18,s,14,s,,,,s,s,s,s,s,
2017-18,7,s,9,,,,s,s,s,s,47.4%,
2017-18,47,209,34,,,,s,s,s,7,31.8%,
2017-18,s,12,s,,,,s,s,s,s,s,
2017-18,10,46,s,,,,s,s,s,s,s,
2017-18,27,273,s,,,,34.3%,33,24,39,s,
2017-18,,s,,s,s,s,,,,s,,85.0%
2017-18,19,s,s,,,,s,s,s,s,s,
2017-18,67,235,29,,,,19.4%,34,28,31,18.2%,
2017-18,s,s,s,,,,s,s,s,s,s,
2017-18,s,174,s,,,,s,s,s,47,s,
2017-18,s,21,11,,,,s,s,s,7,68.8%,
2017-18,s,11,s,,,,,,,10,s,
2017-18,s,10,s,,,,s,s,s,s,s,
2017-18,s,205,21,,,,s,s,s,7,91.3%,
2017-18,13,6,26,,,,s,s,s,s,61.9%,
2017-18,18,98,12,,,,s,s,s,s,33.3%,
