male_1,ell_arabic_1,ela_level_3_1,white_1,hispanic_1,ela_test_takers,math_level_4_1,ell_russian,black_1,ell_korean,ela_level_4,math_l3_l4_1,other_1
42.6%,,25.6%,3.1%,62.4%,78,s,,26.1%,,8,s,1.4%
41.9%,,37.8%,3.9%,50.7%,111,s,,33.0%,,9,s,4.5%
42.2%,,39.8%,5.8%,49.3%,88,s,,35.4%,,6,s,3.4%
48.3%,,s,s,56.0%,29,s,,33.6%,,s,s,s
53.8%,,s,s,47.7%,31,s,,46.2%,,s,s,s
42.1%,,60.0%,s,71.1%,10,s,,15.8%,,s,s,s
50.7%,,s,s,56.5%,14,s,,36.2%,,s,s,s
74.3%,,33.3%,s,64.9%,18,s,,31.1%,,s,s,s
57.1%,,15.1%,17.8%,2.8%,735,94.1%,,0.7%,,622,99.7%,5.2%
52.9%,,s,s,54.4%,13,s,,41.2%,,s,s,s
s,s,s,s,88.7%,16,s,s,9.7%,s,s,s,s
57.5%,,s,3.1%,67.9%,s,s,,28.0%,,s,s,s
42.9%,,,s,67.9%,,,,s,,,,s
s,s,s,s,84.2%,s,s,s,s,s,s,s,s
75.9%,,s,s,55.2%,s,s,,34.5%,,s,s,s
55.6%,s,s,s,95.8%,16,s,s,s,s,s,s,s
73.0%,s,s,s,81.1%,6,s,s,s,s,s,s,s
58.2%,,40.2%,s,94.3%,87,s,,4.7%,,s,s,s
45.9%,,31.4%,s,52.8%,86,s,,40.1%,,s,s,s
40.0%,,,s,53.3%,,,,43.3%,,,,s
56.5%,,43.2%,18.8%,36.5%,37,s,,13.5%,,s,s,7.1%
55.6%,,28.0%,s,57.8%,25,s,,28.9%,,s,s,s
s,,s,s,69.2%,s,s,,s,,s,s,s
60.7%,,s,1.3%,88.7%,76,s,,9.3%,,s,s,s
47.8%,,s,s,99.3%,90,s,,s,,s,s,s
42.8%,,50.9%,2.1%,68.1%,116,9.8%,,22.5%,,18,45.1%,3.1%
s,,s,11.8%,33.6%,36,s,,39.3%,,s,s,3.8%
76.0%,,s,s,54.5%,24,s,,38.0%,,s,s,s
57.4%,,s,s,59.0%,17,s,,34.4%,,s,s,s
45.0%,,38.0%,2.4%,52.3%,92,s,,38.7%,,s,s,1.8%
80.7%,,37.5%,19.3%,43.4%,32,s,,22.9%,,s,s,s
s,s,s,s,87.5%,s,s,s,s,s,s,s,s
s,,s,43.8%,s,s,s,,s,,s,s,s
s,s,,s,s,,,s,s,s,,,s
57.9%,,,5.4%,40.7%,,,,29.6%,,,,0.9%
