ell_korean_1,math_level_1_1,ell_chinese,ela_level_2_1,grade_9,ell_haitian_creole,ell_other_1,total_enrollment,asian
s,91.7%,s,s,18,s,s,37,s
,68.4%,,58.3%,38,,,105,s
,,,,,,,s,s
,58.4%,,42.7%,151,,,463,11
,,,,,,,28,s
,48.3%,,48.1%,141,,,391,16
s,81.3%,s,s,21,s,28.2%,39,s
,51.2%,,46.9%,123,,,321,s
,58.6%,,55.2%,94,,,304,16
,55.6%,,55.4%,72,,,451,26
,s,,s,40,,,179,23
s,s,s,s,18,s,s,71,s
,s,,24.3%,41,,,113,18
,45.5%,,40.6%,125,,,378,17
,s,,s,12,,,34,s
,s,,s,25,,,62,s
,77.8%,,48.3%,38,,,92,s
,s,,s,10,,,26,s
,56.0%,,50.0%,39,,,148,7
,67.6%,,49.3%,100,,,338,11
,51.1%,,45.3%,114,,,432,8
,91.7%,,41.7%,38,,,108,s
,,,,,,,s,s
,55.4%,,50.0%,72,,,171,19
,s,,s,17,,,38,s
,,,,s,,,s,s
,63.6%,,s,11,,,137,s
,s,,s,s,,,19,s
,66.7%,,32.5%,53,,,99,s
,53.4%,,37.7%,121,,,476,31
,85.7%,,s,14,,,21,s
,s,,s,217,,,806,282
,s,,,45,,,63,10
s,s,s,s,s,s,s,20,s
s,s,s,s,6,s,28.6%,21,s
,,,,,,,71,s
,69.2%,,s,31,,,64,s
,,,,13,,,82,s
,36.7%,,41.5%,149,,,430,46
,s,,s,10,,,20,s
,62.5%,,44.4%,19,,,42,s
,s,,s,s,,,20,7
,,,,32,,,206,6
,,,,11,,,106,s
,s,,35.1%,75,,,280,s
,,,,,,,151,s
,61.5%,,s,27,,,73,17
,56.3%,,s,35,,,106,s
s,s,s,s,8,s,s,13,s
,,,,s,,,22,s
,60.0%,,s,19,,,60,s
,37.9%,,41.5%,409,,,1319,80
,81.8%,,75.0%,24,,,52,s
s,s,s,100.0%,7,s,s,12,s
s,100.0%,s,s,12,s,6.9%,87,13
s,s,s,s,s,s,s,s,s
,66.7%,,63.8%,71,,,245,9
,81.8%,,s,19,,,51,s
s,s,s,s,8,s,s,32,s
,76.9%,,s,16,,,61,s
,50.0%,,54.2%,71,,,356,18
,s,,s,68,,,256,110
,s,,s,341,,,1477,1310
,71.1%,,s,82,,,360,65
s,75.8%,s,s,53,s,s,177,s
,90.6%,,s,103,,,404,18
,s,,s,15,,,70,s
,,,,34,,,241,10
,,,,,,,54,s
,,,,,,,s,s
,78.6%,,50.0%,37,,,108,s
,s,,s,9,,,51,s
s,88.9%,s,s,21,s,s,49,s
,79.3%,,40.6%,40,,,113,s
,50.5%,,51.0%,129,,,412,s
,,,,s,,,118,s
,82.6%,,31.8%,23,,,86,s
s,82.4%,s,s,33,s,10.1%,99,27
,79.2%,,44.0%,38,,,65,s
,s,,31.0%,80,,,352,27
s,90.0%,s,s,11,s,s,44,s
,s,,,,,,80,54
,s,,s,11,,,20,s
s,92.9%,s,s,19,s,s,53,s
,45.5%,,45.9%,119,,,381,18
,79.2%,,56.0%,29,,,121,s
s,s,s,s,s,s,s,13,s
,78.6%,,s,26,,,76,s
,,,,30,,,192,s
,58.8%,,41.6%,101,,,374,8
,66.7%,,47.0%,111,,,342,25
,s,,s,9,,,20,s
,34.4%,,41.7%,131,,,378,39
,77.8%,,36.8%,21,,,68,s
s,,s,,s,s,s,27,s
,53.4%,,45.3%,86,,,315,s
,s,,s,18,,,58,12
,50.0%,,46.9%,96,,,263,22
,63.2%,,41.2%,90,,,368,s
,45.7%,,50.0%,124,,,446,20
s,,s,,s,s,s,16,s
s,72.2%,s,36.8%,33,s,13.5%,89,s
,62.9%,,47.4%,85,,,357,s
,,,,11,,,489,s
,s,,s,12,,,25,s
,s,,s,12,,,29,s
,13.2%,,33.7%,96,,,395,s
,s,,s,25,,,55,55
,33.0%,,28.6%,115,,,398,26
,,,,,,,s,s
,s,,s,8,,,24,s
,59.2%,,42.7%,117,,,372,s
s,s,s,s,15,s,s,95,s
,,,,8,,,44,s
s,66.7%,s,s,15,s,s,26,s
,43.4%,,33.9%,104,,,378,6
,57.5%,,32.6%,108,,,386,33
,95.0%,,s,32,,,92,s
,48.2%,,45.5%,89,,,162,s
,46.3%,,44.4%,93,,,339,10
,,,,,,,s,s
,s,,s,s,,,30,s
,s,,s,7,,,12,s
,s,,s,17,,,50,s
,62.5%,,57.9%,24,,,81,s
,60.9%,,32.6%,158,,,544,s
,s,,,s,,,9,s
,76.2%,,62.5%,31,,,106,s
,s,,41.2%,56,,,226,12
s,s,s,s,s,s,s,s,s
s,s,s,s,9,s,s,26,s
,s,,s,s,,,22,s
,80.6%,,29.6%,64,,,272,34
,35.6%,,39.0%,112,,,394,s
,s,,s,s,,,17,s
,s,,s,9,,,54,10
,37.8%,,48.8%,61,,,234,12
,s,,40.0%,25,,,64,s
,s,,s,13,,,42,7
,40.1%,,37.8%,244,,,967,118
,s,,s,10,,,31,s
,s,,s,s,,,24,s
,s,,s,s,,,28,s
,78.6%,,31.0%,87,,,341,37
,s,,s,15,,,46,s
s,s,s,s,s,s,18.8%,32,s
,87.5%,,s,31,,,40,s
,s,,s,69,,,285,18
