block,signoff_date,in_compliance_with_nycecc,curb_cut,apt_condo_no_s,borough,built_2_a_information_value,temporary_place_of_assembly_work_type_,existing_height,proposed_no_of_stories
296,,Yes,0,,BROOKLYN,,0,,
12609,,Yes,0,,QUEENS,,0,,
5930,2025-02-28T00:00:00.000,No,0,,BROOKLYN,,0,65.0,6.0
3692,,No,0,,BROOKLYN,,0,,11.0
2523,2022-04-19T00:00:00.000,Yes,0,,BRONX,,0,90.0,9.0
3342,2022-05-20T00:00:00.000,Yes,0,,BROOKLYN,,0,27.0,3.0
5523,,No,0,,QUEENS,,0,29.0,2.0
1510,,No,0,,MANHATTAN,,0,150.0,15.0
5017,2022-01-28T00:00:00.000,No,0,,BROOKLYN,,0,,
1359,2021-07-06T00:00:00.000,Yes,0,,QUEENS,,0,,
1049,,Yes,0,,MANHATTAN,,0,,
2118,2024-06-04T00:00:00.000,No,0,,BROOKLYN,,0,48.0,4.0
826,,No,0,,MANHATTAN,,0,,12.0
6267,,Yes,0,,BROOKLYN,,0,,
778,,No,0,,MANHATTAN,,0,,
1622,2024-01-24T00:00:00.000,No,0,,BROOKLYN,,0,,
7821,2021-12-15T00:00:00.000,No,0,,QUEENS,,0,,
1493,2018-09-13T00:00:00.000,No,0,OSP,MANHATTAN,,0,,
15572,,No,0,,QUEENS,,0,,2.0
3089,2024-10-02T00:00:00.000,No,0,,BRONX,No,0,,4.0
1025,2021-07-22T00:00:00.000,No,0,,MANHATTAN,,0,,
5661,,No,0,,BROOKLYN,,0,20.0,2.0
2110,,Yes,0,"cel,001,roof",QUEENS,,0,,
3085,,No,0,,QUEENS,,0,10.0,
3357,,No,0,,BROOKLYN,,0,20.0,4.0
8345,,No,0,,QUEENS,,0,23.0,2.0
1717,2021-01-13T00:00:00.000,No,0,,MANHATTAN,,0,,
1926,,No,0,,BROOKLYN,,0,,
6634,,No,0,,BROOKLYN,,0,,
5138,,Yes,0,,BROOKLYN,,0,,
621,2023-10-31T00:00:00.000,No,0,,MANHATTAN,,0,,
2488,2025-11-25T00:00:00.000,No,0,,BROOKLYN,,0,,
663,2023-03-28T00:00:00.000,No,0,,BROOKLYN,,0,,
14260,2019-09-10T00:00:00.000,No,0,,QUEENS,,0,,
862,,No,0,2,MANHATTAN,,0,,
15579,,No,1,,QUEENS,,0,,
2075,2025-11-25T00:00:00.000,No,0,,MANHATTAN,,0,,
632,,No,0,,MANHATTAN,,0,,
231,2024-08-23T00:00:00.000,No,0,,MANHATTAN,,0,,
2306,,No,0,,BRONX,,0,,
6781,,No,0,,BROOKLYN,,0,11.0,1.0
731,,Yes,0,,MANHATTAN,,0,,
3142,,Yes,0,,BRONX,,0,,
2232,,No,0,,BROOKLYN,,0,30.0,3.0
1900,2024-02-06T00:00:00.000,No,0,,BROOKLYN,,0,,6.0
2238,,No,0,,BROOKLYN,,0,,6.0
1312,,No,0,,MANHATTAN,,0,,
1089,2022-05-02T00:00:00.000,Yes,0,,MANHATTAN,,0,522.0,58.0
961,,No,0,,BROOKLYN,,0,,
2215,,No,0,,MANHATTAN,,0,,
5679,,No,0,,BROOKLYN,,0,81.0,6.0
791,2024-12-30T00:00:00.000,No,0,,MANHATTAN,No,0,62.0,6.0
585,,No,0,,MANHATTAN,,0,,
3641,,No,0,3,BRONX,,0,,
3073,2025-05-30T00:00:00.000,No,0,,BRONX,,0,,
8288,,No,0,,QUEENS,,0,,
5623,,Yes,0,,BROOKLYN,,0,,
3832,,Yes,0,,BRONX,,0,,
356,,Yes,0,,BROOKLYN,,0,,
1325,,No,0,,MANHATTAN,,0,70.0,6.0
10043,2022-02-23T00:00:00.000,No,0,,QUEENS,,0,,
241,,No,0,,QUEENS,,0,,
6792,2025-01-23T00:00:00.000,No,0,,BROOKLYN,,0,,
1.786E+3,2020-10-16T00:00:00.000,No,0,,BROOKLYN,,0,,
1026,,No,0,,MANHATTAN,,0,,
564,,No,0,,MANHATTAN,,0,,
1049,2024-03-07T00:00:00.000,Yes,0,,MANHATTAN,No,0,750.0,54.0
126100.00%,,Yes,0,,MANHATTAN,,0,,
1273,2025-01-13T00:00:00.000,No,0,,MANHATTAN,,0,,
3946,,No,0,,BROOKLYN,,0,,
1188,,No,0,,BROOKLYN,,0,,
5010,2024-12-09T00:00:00.000,No,0,,BROOKLYN,,0,,
3611,2023-01-26T00:00:00.000,No,0,,QUEENS,,0,30.0,3.0
1373,,No,0,,QUEENS,,0,24.0,2.0
972,,No,0,,MANHATTAN,,0,117.0,12.0
1254,,No,0,,STATEN ISLAND,,0,,
85,,No,0,,QUEENS,,0,,17.0
5263,,No,0,,BRONX,,0,,
10871,,No,0,,QUEENS,,0,,
16151,,No,0,,QUEENS,,0,,
4355,2025-03-18T00:00:00.000,Yes,0,,BROOKLYN,No,0,140.0,14.0
4226,2021-08-04T00:00:00.000,Yes,0,,BRONX,,0,,
773,,No,0,,BROOKLYN,,0,,
1.390E+3,2024-02-23T00:00:00.000,No,0,,BROOKLYN,,0,,
7290,,No,0,,BROOKLYN,,0,30.0,3.0
6491,2018-11-20T00:00:00.000,No,0,,BROOKLYN,,0,,
1902,,No,0,,BROOKLYN,,0,120.0,14.0
5.933E+3,,No,0,,BRONX,,0,,
861,2025-01-17T00:00:00.000,Yes,0,,MANHATTAN,,0,80.0,8.0
6928,,No,0,,BROOKLYN,,0,,
424,,No,0,,BROOKLYN,,0,,
1497,2024-06-05T00:00:00.000,No,0,,QUEENS,,0,37.0,2.0
1188,2021-09-21T00:00:00.000,No,0,,STATEN ISLAND,,0,,
1318,,No,0,,MANHATTAN,,0,,
3277,2021-06-08T00:00:00.000,Yes,0,,BRONX,,0,,
1244,,No,0,,MANHATTAN,,0,,
6705,2024-01-23T00:00:00.000,No,0,,BROOKLYN,No,0,23.0,2.0
1004,,No,0,,MANHATTAN,,0,,
5951,2023-02-23T00:00:00.000,No,0,,BROOKLYN,,0,,
1258,,No,0,,MANHATTAN,,0,580.0,58.0
10141,2020-11-02T00:00:00.000,No,0,,QUEENS,,0,,
5704,,No,0,,BROOKLYN,,0,26.0,2.0
916,,No,0,1,BROOKLYN,,0,,
1452,,No,0,,MANHATTAN,,0,,
346,,No,0,,MANHATTAN,,0,,
2847,2021-06-14T00:00:00.000,Yes,0,,STATEN ISLAND,,0,,
64600.00%,2023-02-17T00:00:00.000,No,0,,MANHATTAN,,0,,12.0
397,,No,0,,BROOKLYN,,0,,
5107,2024-12-31T00:00:00.000,No,0,,BROOKLYN,,0,,7.0
702,,No,0,,MANHATTAN,,0,1009.0,72.0
684,2024-01-05T00:00:00.000,No,0,,BROOKLYN,,0,,
3589,,Yes,0,,BROOKLYN,,0,,
2582,,No,0,,BRONX,,0,133.0,14.0
4662,2020-02-10T00:00:00.000,Yes,0,1,QUEENS,No,0,,4.0
11086,,No,0,,QUEENS,,0,,
3144,,No,0,,BRONX,,0,45.0,4.0
235,2021-11-09T00:00:00.000,No,0,,MANHATTAN,,0,,5.0
1720,,Yes,0,,BROOKLYN,,0,,
1566,,No,0,,MANHATTAN,,0,,
7717,,No,0,,BROOKLYN,,0,,
3357,2024-04-11T00:00:00.000,No,0,,BROOKLYN,,0,,
1015,,No,0,,BROOKLYN,,0,,
3444,,No,0,,BROOKLYN,,0,,
1874,,No,0,,MANHATTAN,,0,145.0,13.0
2327,2024-07-12T00:00:00.000,No,0,,BRONX,No,0,80.0,6.0
3554,2021-12-02T00:00:00.000,Yes,0,,QUEENS,,0,,
1492,,No,0,,QUEENS,,0,24.0,2.0
101,2025-07-21T00:00:00.000,No,0,,MANHATTAN,No,0,,
2470,2020-07-17T00:00:00.000,No,0,1,QUEENS,,0,,
4416,,No,0,,STATEN ISLAND,,0,,
5141,2022-12-05T00:00:00.000,No,0,,BRONX,,0,,
3433,2020-01-07T00:00:00.000,No,0,,BROOKLYN,,0,,
13546,,No,0,,QUEENS,,0,,
5999,2024-02-06T00:00:00.000,No,0,,BROOKLYN,,0,23.0,2.0
835,,No,0,,QUEENS,,0,32.0,3.0
11090,,No,0,,QUEENS,,0,18.0,2.0
881,2023-10-06T00:00:00.000,No,0,,MANHATTAN,,0,147.0,12.0
265,,No,0,,BROOKLYN,,0,40.0,4.0
2414,,No,0,,BROOKLYN,,1,,
7468,,No,0,,BROOKLYN,,0,,3.0
484,,No,0,,MANHATTAN,,0,80.0,6.0
