inspection_date,meet_standards,community_board,analytes,gi_req_overflow_pipes,zip,gi_req_internal_structure,lot,bbl
06/22/2019,Y,5.0,B,Y,10018.0,Y,30,1007890030.0
01/10/2017,,6.0,B,Y,10003.0,Y,70,1008750070.0
08/10/2018,,4.0,B,Y,10011.0,Y,25,1008000025.0
08/08/2024,,8.0,B,Y,10028.0,Y,12,1015830012.0
02/02/2016,Y,1.0,B,N,10013.0,N,1,1001670001.0
12/07/2015,,5.0,B,Y,10036.0,Y,7501,1010167501.0
10/18/2025,,6.0,B,Y,10022.0,Y,23,1013070023.0
08/13/2025,,4.0,B,Y,10001.0,Y,39,1007050039.0
05/18/2018,,2.0,B,Y,11201.0,Y,1,3001427502.0
07/15/2020,,5.0,B,Y,10118.0,Y,41,1008350041.0
06/06/2024,,6.0,B,Y,10017.0,Y,7502,1013147502.0
10/01/2016,,6.0,B,Y,10174.0,Y,23,1012970023.0
06/22/2022,,1.0,B,Y,10038.0,Y,1,1000940001.0
04/06/2016,,1.0,B,Y,10282.0,Y,7516,1000167516.0
10/22/2018,Y,5.0,B,Y,10001.0,Y,34,1008320034.0
09/21/2024,,5.0,B,Y,10019.0,Y,7501,1010017501.0
05/25/2022,,2.0,B,Y,11101.0,Y,17,4002640017.0
08/20/2020,Y,4.0,B,Y,10001.0,Y,25,1007320025.0
12/27/2018,,1.0,B,Y,10038.0,Y,7503,1000907503.0
04/19/2018,,1.0,B,Y,10281.0,Y,120,1000160120.0
11/23/2021,,5.0,B,Y,10036.0,Y,7501,1010187501.0
07/15/2017,Y,6.0,B,Y,10016.0,Y,1,1009690001.0
02/ 24/2021,,2.0,B,Y,10011.0,Y,62,1005520062.0
09/05/2024,,4.0,B,Y,10036.0,Y,34,1010370034.0
11/04/2021,,5.0,B,Y,11207.0,Y,1,3043930001.0
05/09/2015,,12.0,B,Y,10467.0,Y,1,2045430001.0
07/07/2016,,13.0,B,Y,11224.0,Y,1,3070700001.0
08/21/2018,Y,8.0,B,Y,10021.0,Y,20,1014070020.0
08/09/2023,,8.0,B,Y,10128.0,Y,1,1015180001.0
03/22/2024,,5.0,B,Y,10022.0,Y,52,1012900052.0
06/19/2020,Y,7.0,B,Y,11355.0,Y,93,4051370093.0
06/02/2017,Y,2.0,B,Y,11201.0,Y,25,3002470025.0
10/31/2018,,2.0,B,Y,11201.0,Y,7502,3001407502.0
09/18/2021,,5.0,B,Y,10022.0,Y,14,1013070014.0
10/31/2023,,7.0,B,Y,10023.0,Y,1,1011390001.0
08/17/2020,Y,9.0,B,Y,10025.0,Y,28,1018820028.0
06/05/2024,,9.0,B,Y,10462.0,Y,7501,2039437501.0
03/17/2018,Y,1.0,B,Y,10004.0,Y,29,1000090029.0
10/19/2024,,5.0,B,Y,10011.0,Y,7501,1008217501.0
07/15/2023,,2.0,B,Y,10003.0,Y,22,1005640022.0
06/14/2021,,5.0,B,Y,10019.0,Y,51,1010070051.0
08/18/2020,,8.0,B,Y,10028.0,Y,4,1014950004.0
06/28/2017,,5.0,B,Y,10017.0,Y,59,1012750059.0
08/14/2018,,5.0,B,Y,10001.0,Y,18,1007850018.0
06/15/2022,,7.0,B,Y,10023.0,Y,7501,1011627501.0
06/11/2024,,2.0,B,Y,11101.0,Y,7505,4000060165.0
05/14/2019,,5.0,B,Y,10016.0,Y,18,1008570018.0
04/04/2022,,1.0,B,Y,10005.0,Y,3,1000400003.0
05/03/2018,,6.0,B,Y,11375.0,Y,20,4022230020.0
09/01/2022,,11.0,B,Y,11214.0,Y,29,3062640029.0
12/14/2019,,4.0,B,Y,10011.0,Y,1,1007640001.0
11/08/2022,,5.0,B,Y,10017.0,Y,57,1012790057.0
12/28/2024,,5.0,B,Y,10016.0,Y,5,1008860005.0
06/10/2023,,5.0,B,Y,10169.0,Y,1,1013000001.0
12/27/2021,,12.0,B,Y,10033.0,Y,83,1021560083.0
06/27/2017,,9.0,B,Y,10025.0,Y,7501,1018837501.0
06/30/2017,,7.0,B,Y,10024.0,Y,7501,1012307501.0
11/28/2022,,8.0,B,Y,10028.0,Y,29,1015650029.0
05/09/2023,,16.0,B,Y,11233.0,Y,1,3014340001.0
04/06/2017,,9.0,B,Y,11203.0,Y,1,3048290001.0
11/03/2022,,7.0,B,Y,10025.0,Y,61,1018720061.0
10/06/2016,,8.0,B,Y,10065.0,Y,17,1014410017.0
06/09/2021,,8.0,B,Y,10075.0,Y,27,1014320027.0
02/07/2022,,2.0,B,Y,11201.0,Y,10,3001220010.0
07/31/2019,,13.0,B,Y,11224.0,Y,1,3070500001.0
06/10/2022,,9.0,B,Y,10473.0,Y,1,2035510001.0
09/20/2022,,6.0,B,Y,10016.0,Y,50,1008820050.0
03/10/2021,,2.0,B,Y,10011.0,Y,26,1005720026.0
12/06/2021,,2.0,B,Y,10011.0,Y,33,1006090033.0
10/13/2016,Y,12.0,B,Y,10033.0,Y,10,1021790010.0
11/22/2021,,1.0,B,Y,11106.0,Y,50,4005280050.0
08/22/2015,,9.0,B,Y,10027.0,Y,1,1019930001.0
07/25/2024,,8.0,B,Y,10075.0,Y,71,1014120071.0
11/07/2023,,2.0,B,Y,10003.0,Y,24,1005680024.0
06/21/2023,,3.0,B,Y,10002.0,Y,1,1003150001.0
07/18/2023,,8.0,B,Y,10028.0,Y,7501,1015137501.0
11/09/2016,,5.0,B,Y,10017.0,Y,9010,1012809010.0
08/09/2019,,6.0,B,Y,10010.0,Y,30,1009020030.0
12/18/2021,,1.0,B,Y,10007.0,Y,10,1001510010.0
07/20/2023,,8.0,B,Y,10075.0,Y,7501,1015267501.0
09/15/2016,Y,8.0,B,Y,10044.0,Y,30,1013730030.0
08/05/2019,,5.0,B,Y,10011.0,Y,26,1008200026.0
09/12/2018,,7.0,B,Y,10468.0,Y,53,2032260053.0
11/15/2017,Y,6.0,B,Y,10016.0,Y,62,1008920062.0
,,2.0,,N,11201.0,N,40,3020580040.0
07/20/2022,,6.0,B,Y,10016.0,Y,31,1008880031.0
08/15/2017,Y,8.0,B,Y,10065.0,Y,54,1014010054.0
03/13/2023,,5.0,B,Y,10003.0,Y,27,1008470027.0
07/17/2019,,2.0,B,Y,11201.0,Y,7503,3001407503.0
11/10/2020,Y,1.0,B,Y,10007.0,Y,4,1000800004.0
05/08/2020,,1.0,B,Y,10454.0,Y,1,2025850001.0
03/22/2023,,5.0,B,Y,10019.0,Y,33,1012730033.0
05/13/2015,,8.0,B,Y,10065.0,Y,10,1014230010.0
01/24/2024,,6.0,B,Y,11215.0,Y,1,3010860001.0
12/20/2024,,5.0,B,Y,10016.0,Y,49,1008580049.0
08/23/2023,,8.0,B,Y,10128.0,Y,23,1015560023.0
10/03/2015,,6.0,B,Y,10022.0,Y,23,1013090023.0
12/01/2021,,8.0,B,Y,10021.0,Y,42,1014460042.0
12/14/2021,,7.0,B,Y,10024.0,Y,7502,1011707502.0
04/02/2024,,8.0,B,Y,10021.0,Y,33,1014090033.0
11/20/2017,Y,8.0,B,Y,10075.0,Y,34,1014330034.0
05/04/2022,,6.0,B,Y,10016.0,Y,1,1013330001.0
12/22/2016,,7.0,B,Y,10023.0,Y,40,1011220040.0
11/10/2020,Y,8.0,B,Y,10463.0,Y,448,2059190448.0
05/03/2024,,2.0,B,Y,10012.0,Y,8,1005110008.0
08/25/2018,Y,8.0,B,Y,10065.0,Y,7,1013960007.0
10/15/2025,,6.0,B,Y,10003.0,Y,39,1008960039.0
11/27/2021,,5.0,B,Y,10176.0,Y,1,1012810001.0
09/22/2015,,7.0,B,Y,10024.0,Y,7505,1011507505.0
06/19/2024,,6.0,B,Y,10022.0,Y,30,1013470030.0
07/08/2016,Y,8.0,B,Y,10021.0,Y,5,1014100005.0
12/01/2025,,5.0,B,Y,10001.0,Y,62,1008030062.0
03/19/2018,,5.0,B,Y,10036.0,Y,7,1012600007.0
08/08/2018,,5.0,B,Y,10017.0,Y,64,1012780064.0
12/13/2021,,6.0,B,Y,10017.0,Y,7501,1013607501.0
03/03/2024,,9.0,B,Y,11203.0,Y,1,3048290001.0
07/18/2024,,5.0,B,Y,10010.0,Y,17,1008790017.0
06/19/2021,,5.0,B,Y,10019.0,Y,7501,1010017501.0
12/22/2018,Y,5.0,B,Y,10018.0,Y,67,1007870067.0
11/08/2023,,8.0,B,Y,10028.0,Y,47,1015640047.0
11/17/2015,,5.0,B,Y,10154.0,Y,1,1013060001.0
12/05/2016,,8.0,B,Y,10021.0,Y,8,1014460008.0
09/13/2024,,6.0,B,Y,10016.0,Y,45,1008950045.0
12/31/2024,,5.0,B,Y,10001.0,Y,7,1008290007.0
05/03/2023,,2.0,B,Y,11101.0,Y,7501,4004337501.0
01/27/2022,,14.0,B,Y,11230.0,Y,19,3067390019.0
12/02/2019,Y,3.0,B,Y,10003.0,Y,10,1005580010.0
05/23/2019,,5.0,B,Y,10019.0,Y,51,1010100051.0
,,9.0,B,N,11203.0,N,1,3048290001.0
10/03/2023,,8.0,B,Y,10065.0,Y,7501,1013957501.0
07/28/2024,,6.0,B,Y,10016.0,Y,12,1009400012.0
11/17/2017,,6.0,B,Y,10010.0,Y,42,1008800042.0
09/19/2023,,16.0,B,Y,11212.0,Y,1,3037270001.0
12/05/2015,,1.0,B,Y,10038.0,Y,43,1000700043.0
05/23/2017,,2.0,B,Y,11201.0,Y,4,3001470004.0
03/31/2022,,5.0,B,Y,10003.0,Y,27,1008470027.0
05/24/2019,,1.0,B,Y,10005.0,Y,8,1000640008.0
07/12/2022,,7.0,B,Y,10023.0,Y,23,1011200023.0
05/10/2025,,5.0,B,Y,10010.0,Y,69,1008260069.0
12/16/2015*,,1.0,B,Y,10013.0,Y,27,1001660027.0
06/24/2023,,1.0,B,Y,10004.0,Y,7501,1000047501.0
08/18/2017,,6.0,B,Y,10022.0,Y,25,1013660025.0
11/21/2015,,5.0,B,Y,10111.0,Y,1,1012660001.0
11/01/2023,,2.0,B,Y,11201.0,Y,7503,3001407503.0
09/01/2021,,5.0,B,Y,10165.0,Y,42,1012760042.0
11/10/2023,,5.0,B,Y,10154.0,Y,1,1013060001.0
06/21/2023,,2.0,B,Y,11201.0,Y,7502,
06/08/2022,,8.0,B,Y,10028.0,Y,54,1014960054.0
09/09/2015,,8.0,B,Y,10128.0,Y,23,1015020023.0
08/16/2022,,8.0,B,Y,10128.0,Y,50,1015220050.0
03/13/2015,,8.0,B,Y,10065.0,Y,1,1014800001.0
11/06/2017,,7.0,B,Y,10023.0,Y,46,1011830046.0
05/04/2022,,6.0,B,Y,10003.0,Y,1,1009000001.0
06/05/2019,Y,5.0,B,Y,10022.0,Y,21,1012900021.0
05/27/2020,Y,8.0,B,Y,10128.0,Y,7502,1015697502.0
10/24/2015,,6.0,B,Y,10017.0,Y,33,1013010033.0
08/24/2023,,8.0,B,Y,10065.0,Y,1,1014800001.0
11/21/2019,,7.0,B,Y,10024.0,Y,29,1012490029.0
07/25/2015,,7.0,B,Y,10024.0,Y,33,1012440033.0
05/08/2019,,6.0,B,Y,10003.0,Y,19,1008730019.0
03/13/2025,,5.0,B,Y,10036.0,Y,42,1010130042.0
06/26/2018,,10.0,B,Y,10026.0,Y,7501,1016007501.0
02/14/2019,,4.0,B,Y,10036.0,Y,7501,1010387501.0
06/08/2020,,6.0,B,Y,10017.0,Y,1,1013610001.0
