cd_41,cd_35,cd_12,cd_13,cd_05,cd_33,african_american,cd_40,multi_ethnic,cd_30,cd_49,male,has_limited_english
0,0,0,0,0,0,*,0,0,0,0,0,0
*,*,0,0,0,0,20,*,*,0,0,39,*
0,0,0,0,0,0,0,0,0,0,0,*,*
0,0,0,0,0,0,*,0,0,0,0,*,0
0,0,0,0,0,0,*,0,0,0,*,0,*
0,0,*,*,0,0,*,0,*,0,0,*,11
394,195,180,100,19,128,"4,612",148,742,54,171,"3,767","1,392"
25,25,20,26,*,15,352,30,101,13,26,582,506
*,*,*,*,*,0,46,0,*,*,*,53,*
*,0,0,0,0,0,*,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
31,16,28,23,0,12,347,16,115,12,37,383,264
0,*,0,*,0,0,15,*,*,0,0,15,13
0,0,0,0,0,0,*,0,0,0,0,*,0
0,0,0,0,0,0,*,0,0,0,0,*,0
0,0,0,0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,0
0,*,0,*,0,0,*,0,*,0,0,10,14
0,0,0,0,0,*,*,0,0,0,0,*,*
0,0,0,0,0,0,*,0,*,0,0,15,16
0,0,0,0,0,0,0,0,0,0,0,0,0
*,0,0,*,*,0,*,*,*,*,*,15,*
0,0,0,0,0,0,0,0,0,0,0,*,0
*,0,*,*,0,0,40,0,*,0,*,76,*
0,0,0,0,0,0,*,0,0,0,0,0,0
0,0,0,0,0,0,*,0,*,0,0,0,*
0,0,0,0,0,0,*,0,*,0,0,*,*
0,0,0,0,0,0,*,0,0,0,*,*,*
207,101,129,65,*,38,3009,100,534,23,130,2665,766
0,0,0,0,0,0,*,0,*,0,0,*,*
0,0,0,0,*,0,*,0,*,0,0,*,0
0,0,0,0,0,0,0,0,0,0,0,0,0
*,0,*,*,0,*,77,*,16,0,*,27,21
43,23,21,27,*,15,381,23,136,16,34,444,342
*,0,*,*,0,*,77,*,11,0,*,48,*
0,0,0,0,0,0,*,0,0,0,0,*,0
*,*,0,*,*,*,52,0,12,*,*,60,31
392,200,302,154,23,102,5691,198,1031,64,279,5202,1853
*,*,*,*,*,*,90,*,26,*,10,163,284
70,34,44,29,*,19,823,31,166,10,55,611,290
0,*,0,0,0,0,*,0,*,*,0,*,*
*,*,*,0,0,0,40,0,*,*,*,24,*
0,0,0,0,0,0,*,0,0,0,0,0,0
*,*,*,*,*,0,106,0,23,*,*,128,68
38,27,42,23,*,11,429,19,192,23,28,344,378
0,0,0,0,0,0,*,0,*,0,0,*,*
0,0,0,0,0,0,*,0,*,0,0,*,0
0,*,0,0,0,*,*,0,0,0,0,*,*
0,0,0,0,0,0,*,0,0,0,0,*,0
0,0,0,0,0,0,0,0,0,0,0,*,0
0,0,0,0,0,*,*,0,*,0,0,*,*
*,0,0,0,0,0,*,0,0,0,0,0,0
22,13,*,14,0,*,262,*,45,0,14,189,72
*,*,*,*,0,*,55,*,18,*,*,83,73
14,*,10,*,*,*,150,11,27,*,*,105,43
0,0,0,0,0,0,0,0,0,0,0,0,0
*,0,*,*,0,*,105,*,*,*,*,44,11
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,*,0,*,0,0,0,*
0,0,0,0,0,*,0,0,0,0,0,*,*
0,0,0,0,0,0,*,0,0,0,0,0,0
0,0,0,0,0,0,*,0,*,0,0,*,*
0,0,0,0,0,0,*,0,*,0,0,*,0
*,0,*,0,0,0,*,0,0,0,0,*,*
0,0,0,0,0,0,0,0,*,0,0,0,*
0,0,0,0,0,0,*,0,0,0,0,*,0
*,0,0,0,0,0,*,0,*,0,0,0,*
0,0,0,0,0,0,0,0,0,0,*,*,*
*,*,*,*,*,0,65,*,17,*,*,113,122
0,0,0,*,0,0,11,*,*,0,0,11,*
0,0,0,0,0,0,*,0,*,0,0,*,0
0,0,0,0,0,0,*,0,0,0,0,0,*
0,0,0,0,0,*,*,0,0,0,0,*,*
13,*,*,*,*,*,234,*,29,*,*,133,38
75,44,61,40,*,13,1089,44,212,*,55,847,297
0,0,0,0,0,0,*,0,0,0,0,*,0
0,0,0,0,0,0,0,0,0,0,0,*,*
0,0,0,0,0,0,*,0,0,0,0,0,0
0,0,0,0,0,0,16,0,*,0,*,31,0
0,0,0,0,0,0,*,0,*,0,*,*,*
0,0,0,0,0,0,*,0,0,0,0,*,0
0,0,0,0,0,0,*,0,0,0,*,*,0
*,*,*,*,*,*,51,*,13,0,*,65,70
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,*
0,*,0,*,*,0,16,0,*,0,*,13,11
0,0,0,0,0,0,*,0,*,0,0,*,*
*,0,*,0,0,0,*,*,*,0,*,*,*
91,48,102,54,11,24,1703,42,281,*,113,1287,389
0,0,0,0,0,0,*,0,0,0,0,*,0
0,*,0,0,0,0,*,0,0,0,0,*,0
*,*,*,*,0,*,26,0,10,0,*,34,26
26,11,11,*,0,12,290,*,44,*,11,221,79
0,0,0,0,0,0,*,0,0,0,0,*,*
0,0,0,0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,*,0,*,0,0,*,0
0,0,*,0,0,0,*,*,*,0,0,*,*
0,0,0,0,0,0,*,0,0,0,0,*,0
0,0,0,0,0,0,0,0,0,0,0,*,0
10,*,*,*,*,*,148,*,18,*,16,40,44
0,0,0,0,0,0,*,*,0,0,0,0,0
*,0,*,*,0,0,*,0,*,0,0,*,*
0,0,0,*,0,0,*,0,*,0,0,*,*
*,*,0,*,0,*,29,*,12,0,*,38,38
0,0,0,0,0,0,*,0,0,0,0,0,*
0,0,0,0,0,0,*,0,0,0,0,0,0
0,0,0,0,0,0,0,0,*,0,0,*,*
0,0,*,*,0,*,14,0,*,0,0,23,10
*,*,*,*,*,*,136,*,56,*,*,143,74
0,0,*,0,0,0,0,0,*,0,0,0,0
0,0,0,0,0,0,*,0,*,0,*,*,*
0,0,0,*,0,0,*,0,0,0,0,0,*
0,0,0,0,0,0,0,0,*,0,0,0,0
0,0,0,*,0,0,*,*,*,0,0,*,*
*,0,*,*,0,*,38,*,12,*,*,35,30
*,0,*,*,0,0,14,0,*,0,*,24,26
