jun_16,dec_14,may_17,feb_12,jun_11,jan_13,aug_13,jan_19,dec_11,may_14,mar_14,may_18,jul_10,feb_13,sep_15,feb_19,nov_17,nov_16,apr_17
,-,-,-,-,-,1.00,,1.10,1.10,1.10,-,-,-,-,,-,-,-
15.74,13.52,186.90,11.05,12.58,12.27,12.25,15.45,11.69,12.85,13.05,15.05,12.10,11.28,13.73,14.24,14.34,14.64,16.28
14,26,9,16,33,28,26,10.0,32,33,18,20,23,27,28,9.0,19,10,7
99.16,98.38,99.19,99.20,100.00,99.20,100.00,,99.60,100.00,98.40,100.00,99.20,100.00,100.00,,99.19,100.00,100.00
25,35,20,19,31,19,33,18.0,35,47,50,25,17,28,23,11.0,23,34,21
5.92,5.99,5.71,4.92,5.56,5.22,5.07,5.86,5.65,5.37,4.90,6.03,5.35,4.86,5.50,5.5,5.85,5.90,
3,2,1,0,0,0,1,3.0,1,2,1,0,5,1,1,3.0,1,1,3
66,58,70,36,54,64,74,63.0,68,49,55,68,62,63,56,62.0,69,57,59
-,-,0.80,-,-,-,-,,-,-,-,-,-,-,-,,-,0.82,-
206,198,169,149,173,199,212,151.0,194,181,170,192,162,129,224,126.0,149,197,171
2,0,0,1,1,0,1,0.0,1,0,0,1,2,0,1,0.0,0,1,1
100.00,96.56,100.00,91.10,95.00,98.50,95.30,,98.60,95.00,81.60,97.61,97.70,93.30,100.00,,97.60,96.76,96.72
3,4,1,2,1,7,5,1.0,3,4,2,5,3,2,4,1.0,1,0,1
0,0,0,0,0,0,1,0.0,0,0,0,1,0,0,0,0.0,0,2,0
0,0,0,0,0,2,0,0.0,0,0,1,1,1,0,1,1.0,0,0,0
24,27,21,16,17,20,24,15.0,29,23,32,24,24,28,26,8.0,34,35,12
18.01,19.49,17.76,15.86,15.26,17.26,16.62,22.02,17.43,17.13,17.04,20.12,16.33,16.33,18.27,20.29,21.51,19.14,18.57
98.46,91.85,91.81,99.60,95.60,98.50,94.30,,97.80,98.50,97.40,97.78,96.10,98.90,95.23,,97.44,98.39,98.52
9.91,8.08,120.97,6.51,8.39,5.13,7.80,9.62,7.66,7.39,6.82,10.14,9.26,5.36,8.78,8.61,9.24,8.71,10.40
16.25,8.13,7.98,6.93,8.66,7.31,7.69,6.99,7.52,8.58,7.38,8.09,7.79,7.34,7.71,6.78,7.68,14.48,
99.18,95.84,96.75,98.40,98.50,98.50,97.60,,97.10,98.40,96.20,99.22,97.70,98.30,96.65,,91.89,100.00,100.00
14,30,18,23,26,35,37,29.0,42,34,41,19,32,25,30,22.0,27,27,24
4.80,4.79,4.52,3.77,4.43,4.08,4.25,4.69,4.64,4.35,3.93,4.70,4.54,3.67,4.60,4.42,4.84,4.79,
24,32,22,25,40,32,25,15.0,53,21,27,26,37,27,20,10.0,17,20,13
0,0,2,2,1,0,1,0.0,0,1,1,1,0,0,0,0.0,1,0,0
61,59,57,87,92,58,89,40.0,105,56,47,55,109,45,58,30.0,51,70,39
135,107,95,103,100,137,125,95.0,157,103,97,117,128,100,126,97.0,126,119,85
7,18,14,20,18,12,10,8.0,22,6,26,10,29,6,5,10.0,13,9,9
7,10,9,5,10,18,8,13.0,19,15,20,14,16,5,15,10.0,12,11,14
5.87,5.50,5.79,5.24,5.56,5.59,5.20,5.72,5.81,5.80,5.40,5.88,5.08,5.16,5.66,5.9,5.88,5.83,
128,135,107,114,169,137,168,95.0,166,161,123,114,156,122,169,71.0,109,122,115
-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,-
80,84,99,55,78,66,100,81.0,80,90,81,89,82,65,93,61.0,89,74,75
1,2,1,1,2,5,1,3.0,1,3,2,2,4,1,4,5.0,2,3,2
5,8,5,9,6,6,5,2.0,7,10,8,2,15,7,8,5.0,5,10,6
14.18,13.94,14.09,14.68,15.04,14.35,13.34,12.32,14.68,13.96,13.59,13.13,14.20,14.29,13.44,12.29,13.28,14.41,
3,1,3,1,4,6,4,2.0,2,3,3,4,4,1,4,0.0,2,3,0
-,2.16,-,-,-,-,0.40,,-,0.60,0.60,-,-,-,0.28,,0.90,-,-
4.57,4.56,4.43,3.66,4.16,4.09,3.88,3.96,4.45,4.37,3.68,4.41,4.16,3.10,4.16,3.71,4.20,4.20,
10.34,9.33,9.53,8.86,10.03,8.45,9.16,9.09,9.42,9.64,8.64,9.42,9.48,8.90,9.40,8.93,9.11,9.52,
0,1,0,1,0,1,0,0.0,0,0,0,0,0,0,1,1.0,0,0,0
15.17,16.86,166.82,13.29,16.35,14.58,13.77,14.07,16.60,14.67,13.42,13.92,14.52,13.52,14.48,12.96,14.33,15.21,14.04
0.87,-,0.84,0.80,0.90,-,1.30,,-,0.40,-,0.85,2.40,1.50,3.11,,-,0.64,-
1,3,3,1,4,1,6,1.0,2,1,3,3,1,1,3,0.0,0,2,1
15.23,15.43,15.53,13.38,12.60,15.27,12.67,19.81,12.90,12.90,13.72,15.45,12.86,13.08,14.88,16.98,16.65,16.41,16.19
4.60,4.43,4.44,3.42,4.22,3.12,3.84,4.23,4.26,3.99,3.56,4.54,4.20,3.27,4.18,4.03,4.57,4.55,
14,13,11,20,24,9,19,11.0,23,15,8,8,24,7,11,13.0,12,13,11
,-,-,-,-,-,-,,0.70,-,-,-,-,-,-,,-,-,-
13.29,14.47,148.45,11.57,13.71,12.39,12.34,13.05,14.05,12.12,11.57,12.56,12.54,11.42,12.47,11.84,12.75,12.49,12.43
11.37,11.58,11.28,11.77,11.82,11.90,11.21,11.2,11.78,11.68,11.31,11.51,11.70,12.11,10.98,11.32,11.39,11.37,
98.27,91.44,94.70,98.40,95.30,95.10,95.30,,96.00,96.80,94.40,96.41,95.80,98.60,94.45,,100.00,95.81,97.51
28,47,52,30,46,53,51,35.0,42,38,53,40,44,44,37,48.0,50,50,40
1,0,0,0,0,1,0,1.0,1,0,1,2,5,0,0,0.0,1,1,1
50,67,59,55,44,77,58,53.0,50,64,55,46,34,50,69,38.0,61,44,53
-,2.28,-,1.00,-,0.50,0.70,,-,-,2.40,0.99,1.60,0.50,-,,0.48,-,-
10.45,9.49,10.26,9.24,10.91,8.75,9.46,8.75,9.97,10.33,9.08,9.92,10.24,8.85,9.25,8.69,9.37,9.90,
4.82,4.85,4.73,3.94,4.60,4.21,4.40,4.6,4.75,4.58,4.23,4.67,4.22,4.05,4.62,4.36,4.64,5.01,
14.14,14.43,13.74,13.53,12.70,14.87,12.67,16.44,13.22,13.21,14.23,13.83,12.71,13.24,14.03,15.33,15.62,14.86,14.35
0,1,1,0,1,1,1,0.0,1,0,0,0,2,0,0,2.0,1,0,0
105,123,132,127,123,137,150,106.0,141,147,122,160,122,112,131,77.0,95,118,118
12.76,11.05,154.87,9.60,9.99,10.04,9.31,12.28,9.60,10.56,9.70,13.07,10.47,9.33,11.43,12.44,12.51,12.10,12.27
,81.05,95.33,93.70,90.80,98.00,84.20,,95.90,90.70,83.20,88.66,97.90,95.90,91.75,,96.84,94.95,95.92
16.48,17.18,180.62,13.34,15.84,14.52,14.53,15.37,16.33,14.53,13.99,15.12,14.93,13.01,15.13,13.8,15.60,15.89,15.55
11.20,12.13,11.35,10.69,10.74,9.31,9.78,14.35,12.04,9.99,10.47,13.49,11.36,9.36,11.18,13.11,14.24,12.39,11.84
18.65,20.19,214.47,16.35,19.09,17.80,15.84,17.64,20.45,18.57,16.61,17.20,16.90,16.40,18.50,16.03,18.56,19.90,17.88
4.31,4.50,4.09,3.52,4.17,3.99,3.72,4.23,4.26,4.14,3.63,4.19,3.96,3.56,4.14,3.74,4.32,4.51,
6.74,6.02,6.57,4.76,4.97,5.78,5.22,8.53,5.03,5.20,5.46,6.66,4.62,5.05,6.44,7.04,6.42,6.36,6.80
11.80,10.80,11.53,10.12,11.74,10.63,10.79,10.31,10.90,11.69,10.70,11.32,11.19,10.07,11.16,10.11,10.80,11.07,
5.06,4.93,4.93,4.13,4.76,4.69,4.38,4.36,5.01,4.85,4.23,4.78,4.71,4.12,4.56,4.14,4.73,4.83,
10.73,9.99,10.79,9.87,10.89,9.99,10.33,8.7,10.05,10.44,9.66,10.86,10.56,10.00,10.26,8.41,10.58,10.57,
14.23,13.17,162.29,10.75,11.73,11.47,11.37,15.35,10.91,11.83,12.69,13.17,11.54,10.01,13.50,14.15,14.37,14.23,15.29
,91.20,96.83,94.30,89.50,91.80,91.90,,90.00,92.90,74.40,88.75,93.50,88.90,83.06,,93.59,91.32,99.21
,90.55,94.49,95.10,91.80,95.90,90.80,,95.90,96.80,72.70,89.21,87.00,89.70,97.58,,91.08,95.05,100.00
4,0,0,1,2,0,0,1.0,0,1,2,3,3,2,0,0.0,0,2,0
13,17,27,18,21,20,16,15.0,24,14,6,16,31,13,23,20.0,13,19,22
1,2,1,0,0,0,1,1.0,2,0,0,0,0,0,0,0.0,0,0,0
38,21,35,18,32,18,32,34.0,18,34,16,30,15,19,48,27.0,40,27,39
-,0.42,-,-,-,-,-,,-,-,1.40,-,0.90,-,-,,-,-,-
31,57,29,67,67,51,58,39.0,64,39,45,27,56,37,41,44.0,41,36,36
12.34,11.98,12.17,12.03,12.96,11.79,11.97,10.3,12.17,12.38,11.56,10.99,12.20,11.73,11.96,10.41,10.10,11.86,
27,16,29,34,28,21,64,22.0,33,28,29,21,25,21,22,21.0,19,24,26
86,59,57,88,66,71,87,73.0,69,91,69,82,94,55,94,60.0,78,84,51
0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0.0,0,0,0
100.00,100.00,100.00,98.80,100.00,98.80,100.00,,100.00,98.80,100.00,98.95,98.80,98.80,98.80,,99.44,100.00,100.00
1,1,1,1,3,0,3,1.0,1,5,1,0,4,0,0,0.0,1,0,2
7.84,7.43,7.94,5.79,6.20,6.10,6.32,7.46,6.04,6.78,6.41,7.70,6.58,5.94,7.24,7.5,7.79,7.98,
-,0.89,-,1.10,0.60,1.30,1.60,,1.00,1.10,1.10,-,0.80,1.00,-,,-,-,-
16.25,16.12,195.70,13.74,15.04,15.81,14.63,14.2,16.33,16.57,13.36,16.42,11.75,16.26,15.99,13.69,14.26,15.61,15.18
1,1,2,0,1,3,3,2.0,1,8,3,2,4,5,5,0.0,5,2,1
0,0,0,2,1,4,0,0.0,0,3,0,2,1,0,1,3.0,0,1,0
10.19,9.56,8.12,9.21,10.41,9.54,9.83,7.88,9.43,10.02,9.15,8.33,9.76,9.35,9.58,7.62,8.10,14.99,
12.24,10.04,155.41,8.15,8.91,9.15,9.39,14.09,8.32,9.45,9.43,13.31,8.94,8.23,10.92,12.65,12.58,11.74,12.68
11.80,11.75,11.59,11.37,12.79,11.32,11.42,10.64,12.19,12.12,11.31,11.48,12.50,11.20,11.38,10.47,11.44,11.74,
5.54,5.88,5.37,4.51,5.05,4.94,4.75,5.39,5.45,5.04,4.66,5.32,4.78,4.50,5.09,5.06,5.57,5.75,
2,2,1,1,1,1,0,2.0,1,0,1,0,2,2,0,2.0,0,0,0
5,4,2,2,4,2,6,2.0,3,4,1,7,6,3,5,2.0,4,2,3
96.71,92.65,96.70,97.80,96.00,96.40,98.10,,96.50,94.40,79.50,97.26,97.60,99.30,97.79,,95.54,91.39,96.17
0,0,1,1,1,0,1,0.0,0,0,0,3,3,1,0,0.0,3,0,0
11,14,10,18,13,18,25,5.0,15,15,26,8,15,24,11,5.0,3,10,4
46,51,38,42,43,48,43,32.0,49,56,47,34,32,51,51,31.0,53,67,53
12.96,10.32,150.93,8.35,9.44,9.10,8.95,13.42,8.78,9.98,9.41,12.80,9.32,8.37,10.62,12.22,12.65,12.04,12.93
12.76,14.06,12.86,13.06,12.26,14.56,12.42,15.7,13.59,11.99,13.14,12.78,12.86,12.75,13.31,14.15,14.33,14.49,13.60
1,2,3,2,3,1,1,2.0,1,2,1,4,4,2,1,2.0,1,3,8
0,0,0,0,1,1,1,0.0,0,0,0,1,2,0,0,0.0,0,0,0
48,43,39,24,45,45,71,39.0,42,49,37,32,54,42,40,43.0,25,16,42
20.13,21.65,20.17,19.81,18.40,21.71,18.47,23.09,20.84,18.72,19.95,19.84,18.95,19.93,20.12,21.2,23.58,24.20,20.74
6.99,7.00,6.95,6.13,7.21,6.54,6.61,8.01,6.50,7.24,6.38,8.51,6.99,6.36,6.68,7.75,6.69,6.75,
32.29,25.66,381.72,19.08,22.98,22.45,23.67,30.74,21.08,23.92,22.74,31.62,23.25,19.43,26.88,28.32,29.00,28.83,31.53
1,0,1,2,3,0,2,0.0,2,1,1,1,2,0,2,0.0,0,1,0
87,74,73,65,85,80,76,64.0,84,64,68,101,79,65,100,59.0,89,93,77
17.81,19.56,18.23,17.90,17.08,19.96,16.96,20.87,18.74,16.52,17.41,18.29,17.49,18.21,17.68,18.88,20.64,19.94,18.66
8.56,9.48,7.70,6.68,7.15,6.79,7.32,7.89,8.01,8.35,7.73,7.42,7.09,7.25,8.43,7.8,8.04,8.79,
75,68,68,67,55,55,82,76.0,59,68,60,94,68,60,93,49.0,68,85,73
14.02,12.40,167.49,10.15,10.67,12.72,10.57,14.62,10.49,11.11,11.82,13.89,10.75,10.80,12.31,13.32,14.25,13.93,15.00
29.87,29.43,367.62,25.08,24.53,26.78,20.83,32.89,26.51,26.11,25.23,30.77,22.38,25.70,27.68,31.19,31.85,31.28,31.28
16.09,14.69,188.80,11.19,13.37,12.88,13.20,17.08,12.62,13.03,12.57,15.89,14.63,11.04,15.12,14.68,15.83,15.32,15.97
20.76,22.94,25.44,23.01,19.35,24.99,20.43,27.95,22.45,19.21,22.39,24.41,20.50,22.57,21.41,24.84,29.16,28.06,28.05
0,0,0,0,1,1,0,1.0,0,0,1,0,1,0,1,0.0,0,0,1
98.61,95.95,93.89,98.50,95.80,100.00,94.80,,97.20,97.80,97.30,97.33,97.30,94.90,96.64,,98.55,98.67,97.28
0,0,1,1,1,1,0,0.0,1,0,1,0,1,0,1,0.0,0,0,0
5.73,4.88,59.68,3.69,4.54,4.22,3.79,6.23,4.10,4.17,4.40,5.02,3.56,3.78,5.08,4.89,4.92,4.89,5.02
0,0,2,2,1,0,0,2.0,1,0,0,1,1,1,0,0.0,0,0,1
10,8,18,4,4,9,10,10.0,14,9,11,10,12,5,4,5.0,16,7,11
25.02,27.48,276.57,21.55,27.31,23.49,23.04,20.37,27.32,24.77,21.53,22.46,25.39,21.03,23.11,19.02,22.75,25.33,22.30
48,41,27,24,44,32,61,28.0,36,46,29,35,81,28,46,15.0,32,23,42
98.83,98.40,97.25,95.40,96.20,92.10,95.80,,92.50,97.50,94.50,96.55,96.40,96.90,95.77,,97.11,99.32,98.05
28.39,25.38,340.10,18.64,20.71,21.57,21.11,28.6,20.31,22.14,22.03,27.38,20.71,18.99,24.57,24.98,27.58,27.01,29.07
-,1.24,0.53,-,0.60,0.40,0.80,,1.40,3.20,1.70,-,0.50,-,1.54,,0.18,-,-
175,150,103,162,174,145,172,124.0,202,175,163,129,186,95,151,112.0,145,131,136
84,85,85,65,94,91,103,77.0,72,81,71,89,89,89,103,64.0,88,70,69
1,0,0,0,0,1,0,0.0,1,0,0,1,1,2,2,0.0,0,0,0
8.17,8.57,9.44,7.65,7.67,8.01,7.71,10.07,8.49,7.78,7.54,9.22,8.13,7.44,8.37,9.65,9.30,8.61,8.72
8.41,6.91,7.59,6.07,6.00,6.03,6.41,8.04,6.66,7.27,7.01,7.58,6.20,5.82,7.55,7.58,7.09,8.02,
0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,0,0.0,0,0,0
0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0
0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0.0,,0,0
14.20,12.69,171.99,10.19,10.75,11.81,10.53,16.51,10.19,11.52,11.67,14.64,10.30,10.18,12.69,14.24,14.78,13.89,14.81
-,-,-,-,0.80,-,1.50,,-,-,-,-,-,-,-,,0.90,-,-
1.14,2.10,-,1.00,0.70,0.40,1.90,,0.40,-,-,-,-,-,1.09,,-,-,-
98.58,96.00,92.60,97.30,96.20,96.70,91.10,,98.00,96.60,87.40,98.33,94.00,93.60,91.68,,91.62,93.80,97.33
38,26,38,30,34,33,26,29.0,25,30,30,40,25,24,39,23.0,49,53,43
12.55,13.73,142.85,10.37,12.89,10.30,11.44,11.67,13.18,12.10,10.84,12.45,11.95,10.02,11.83,11.17,12.31,12.83,12.12
8.36,7.96,8.21,6.78,8.39,7.20,7.76,6.86,7.51,8.35,7.31,7.82,7.57,7.16,7.97,6.68,7.32,7.94,
-,1.23,0.29,0.60,0.40,-,-,,-,-,0.90,1.11,0.70,-,-,,-,-,-
98.95,95.39,94.83,96.90,98.60,90.70,97.50,,95.20,94.30,93.10,100.00,98.30,97.90,100.00,,96.80,96.84,100.00
14.03,11.58,14.07,9.16,9.53,10.68,9.87,16.34,9.25,9.95,9.96,14.06,9.49,9.74,12.62,14.42,12.71,13.73,14.42
27,50,40,14,32,37,44,34.0,32,30,30,47,47,25,28,42.0,40,25,35
8.09,8.53,7.55,7.12,7.76,8.03,6.01,8.19,8.29,7.84,7.04,8.35,7.18,7.99,7.96,8.23,8.27,8.46,
-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,-
98.03,97.02,98.96,98.70,98.60,98.10,98.00,,97.40,100.00,97.00,98.60,97.30,98.90,97.93,,99.34,99.50,98.19
-,0.33,-,-,0.20,-,0.20,,-,0.30,1.20,-,0.70,-,0.59,,-,-,-
12.18,12.12,12.37,12.19,12.90,11.75,11.65,11.56,12.53,12.58,11.73,12.70,12.30,12.04,12.23,11.43,12.20,12.11,
99.22,97.44,97.45,99.80,99.80,99.30,98.40,,99.50,97.80,96.10,98.89,99.10,98.50,99.54,,95.73,98.50,98.29
100.00,100.00,100.00,92.70,97.70,90.30,97.60,,93.30,96.40,94.30,96.52,94.90,97.70,100.00,,94.03,99.38,99.25
0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0
11.46,10.90,11.38,12.21,13.13,11.68,11.04,10.13,12.58,11.29,10.01,11.44,12.20,11.52,10.30,9.9,11.33,10.99,
11.12,11.14,11.26,11.09,12.17,10.38,11.25,9.26,11.63,11.91,10.42,10.88,12.00,10.96,10.84,9.49,10.30,10.98,
17.81,18.62,210.69,15.63,18.22,18.20,15.12,18.46,18.69,18.53,16.68,19.69,16.19,17.53,18.94,17.77,18.08,19.31,17.79
8.70,7.66,96.03,6.14,6.91,6.71,6.54,9.15,6.70,7.03,7.15,8.23,6.09,6.41,7.58,7.97,7.36,7.61,8.12
9.32,9.53,113.41,8.49,7.66,7.91,6.70,9.86,7.94,8.37,7.90,10.20,7.37,8.50,8.90,9.46,9.61,9.62,9.73
14.40,14.11,15.04,13.91,13.24,14.81,13.86,17.13,14.00,12.91,12.81,15.36,14.48,13.21,14.45,15.86,15.15,14.91,13.80
,-,1.25,-,-,0.30,0.60,,-,0.60,-,0.30,-,0.30,-,,-,-,0.31
13,24,10,19,23,24,25,11.0,21,28,26,9,27,22,16,4.0,14,14,10
-,-,1.33,-,0.70,-,-,,-,-,0.70,1.33,-,-,-,,-,-,-
115,137,115,92,120,140,153,108.0,127,122,116,121,117,118,124,76.0,120,103,103
7,15,5,4,5,1,7,1.0,5,8,8,16,12,3,3,2.0,5,7,3
4,1,0,0,2,1,1,0.0,1,1,2,2,1,2,3,0.0,0,0,3
9.67,9.73,8.15,9.36,10.55,9.74,9.60,7.87,9.67,10.39,9.00,8.95,9.72,9.55,9.37,7.71,8.41,13.60,
,91.92,94.25,94.10,90.10,84.50,81.20,,85.00,89.10,88.30,95.90,93.50,87.10,92.75,,96.74,95.27,90.56
18,18,18,9,23,20,19,20.0,12,13,19,28,16,17,22,14.0,35,37,24
58,44,39,41,37,41,52,44.0,40,48,57,56,46,37,41,26.0,36,62,38
19.09,15.36,223.91,12.39,14.66,14.11,14.53,18.27,13.06,14.35,13.76,18.35,15.05,12.22,15.06,16.34,16.85,16.85,18.80
22.09,22.32,22.01,21.68,21.94,24.23,18.71,24.54,23.62,20.67,20.26,22.45,22.79,22.98,22.29,23.92,22.30,22.62,21.77
8,7,11,10,14,12,4,8.0,12,5,1,2,19,9,13,4.0,4,8,4
,96.72,97.78,93.30,95.80,91.90,92.40,,96.50,96.10,95.00,98.39,97.00,97.70,97.05,,99.39,95.27,97.85
4.47,4.19,4.22,3.23,3.72,3.63,3.72,3.83,3.94,4.02,3.43,4.26,3.99,3.33,3.93,3.62,4.16,4.33,
10.90,9.96,10.87,6.69,7.42,7.95,8.29,13.73,6.74,8.15,8.70,10.94,7.66,7.08,10.03,11.9,10.97,10.68,11.08
4,2,1,0,0,1,1,0.0,1,1,2,2,2,0,1,0.0,0,0,0
