multi_gender_identity,hispanic_or_latino_a_count,do_not_understand_the_question_1,female_gender_identity_count,gender_nonconforming,white_or_caucasian_percentage,do_not_understand_the_question,not_hispanic_or_latino_a
0.0,9,0.0,18.0,0.0,0.25,0.0,14
0.0,1,0.0,5.0,0.0,0.0,0.0,4
0.0,266,0.0,78.0,0.0,0.89,0.0,935
0.0,7,0.0,7.0,0.03,0.03,0.0,13
0.03,127,0.0,114.0,0.0,0.85,0.0,220
0.0,28,0.03,13.0,0.0,0.14,1.0,31
0.0,1,0.0,3.0,0.0,0.0,0.0,4
,0,,,0.0,0.0,,0
0.0,1,0.0,3.0,0.0,0.0,0.0,3
0.0,4,0.0,0.0,0.0,0.0,0.0,0
0.0,2,0.0,2.0,0.0,0.0,0.0,1
0.03,353,0.0,280.0,0.0,0.0,0.0,55
,0,,,0.0,0.3,,0
,0,,,0.0,0.06,,0
,14,,,0.0,5.88,,7
0.0,421,0.0,45.0,0.0,1.42,0.0,2606
0.0,1,0.0,3.0,0.0,0.03,0.0,7
0.0,39,0.0,17.0,0.0,0.07,0.0,9
0.0,24,0.0,19.0,0.0,0.07,0.0,3
,6,,,0.0,2.1,,6
0.0,12,0.0,15.0,0.0,0.0,0.0,11
,0,,,0.0,0.06,,0
,0,,,0.0,0.06,,0
0.03,187,0.0,37.0,0.0,1.85,0.0,208
,0,,,0.06,0.06,,1
0.0,266,0.03,168.0,0.03,0.64,1.0,831
0.03,42,0.0,23.0,0.0,0.17,0.0,22
0.03,7,0.03,142.0,0.0,4.78,1.0,172
0.03,540,0.0,61.0,0.0,7.75,0.0,1609
,0,,,0.0,0.06,,0
0.0,12,0.0,32.0,0.0,0.0,0.0,41
0.0,2,0.0,1.0,0.0,0.0,0.0,0
0.0,10,0.0,26.0,0.0,0.07,0.0,102
0.0,16,0.0,13.0,0.0,0.14,0.0,7
,0,,,0.0,0.18,,0
0.0,371,0.0,83.0,0.0,0.35,0.0,320
0.0,19,0.0,42.0,0.0,0.25,0.0,43
0.03,845,0.0,22.0,0.03,23.07,0.0,1306
0.0,28,0.0,44.0,0.0,0.03,0.0,55
0.07,711,0.03,53.0,0.0,1.78,1.0,206
,3,,,0.0,0.8,,7
0.0,6,0.0,8.0,0.0,0.21,0.0,20
0.03,185,0.0,86.0,0.03,0.82,0.0,260
0.0,358,0.0,9.0,0.0,8.14,0.0,1022
0.0,580,0.0,17.0,0.0,5.78,0.0,430
0.03,14,0.0,29.0,0.0,0.1,0.0,64
0.0,29,0.0,25.0,0.0,0.0,0.0,8
0.03,140,0.0,47.0,0.0,0.35,0.0,89
0.0,12,0.0,15.0,0.0,0.03,0.0,9
0.0,65,0.0,53.0,0.0,0.14,0.0,17
,5,,,0.06,0.06,,7
,0,,,0.06,0.06,,0
0.0,3,0.0,4.0,0.0,0.03,0.0,2
