ell_chinese_2,math_level_3_2,ell_arabic_1,ell_french_1,ela_level_4_1,black_2,asian_2,ell_russian_2,ell_haitian_creole_2,white_1,hispanic_2,math_test_takers
No Data,s,No Data,No Data,s,32.9%,9.4%,No Data,No Data,s,54.3%,94
No Data,No Data,No Data,No Data,No Data,41.2%,s,No Data,No Data,s,53.8%,No Data
No Data,s,No Data,No Data,s,27.4%,s,No Data,No Data,s,68.5%,19
s,s,s,s,s,s,9.5%,s,s,s,84.2%,24
No Data,s,No Data,No Data,s,21.9%,s,No Data,No Data,11,34.4%,7
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,s,s
No Data,s,No Data,No Data,s,30.9%,s,No Data,No Data,s,62.7%,34
No Data,s,No Data,No Data,s,35.3%,2.9%,No Data,No Data,s,59.3%,21
No Data,s,No Data,No Data,s,26.7%,5.7%,No Data,No Data,s,61.3%,68
No Data,39.1%,No Data,No Data,19,3.3%,87.2%,No Data,No Data,s,6.5%,64
No Data,s,No Data,No Data,36,19.7%,12.6%,No Data,No Data,83,44.9%,15
No Data,s,No Data,No Data,s,39.0%,s,No Data,No Data,s,56.1%,10
No Data,s,No Data,No Data,s,38.7%,s,No Data,No Data,s,57.1%,92
No Data,s,No Data,No Data,s,43.8%,s,No Data,No Data,s,50.0%,s
s,s,s,s,s,s,s,s,s,s,93.0%,19
No Data,s,No Data,No Data,s,34.4%,3.3%,No Data,No Data,17,53.1%,6
s,s,s,s,s,s,s,s,s,s,s,s
No Data,19.1%,No Data,No Data,50,12.4%,34.5%,No Data,No Data,193,17.3%,68
No Data,s,No Data,No Data,s,37.6%,s,No Data,No Data,s,57.3%,22
s,s,s,s,s,s,s,s,s,s,95.1%,46
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,87.5%,s
No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,s,s,No Data
No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,s,s,No Data
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,70.0%,s
No Data,No Data,No Data,No Data,No Data,40.4%,s,No Data,No Data,16,50.0%,No Data
No Data,s,No Data,No Data,s,25.8%,s,No Data,No Data,s,69.7%,31
s,s,s,s,s,s,s,s,s,s,s,s
No Data,39.5%,No Data,No Data,8,19.0%,s,No Data,No Data,s,79.7%,81
No Data,s,No Data,No Data,s,27.8%,s,No Data,No Data,s,71.2%,92
No Data,s,No Data,No Data,s,46.2%,s,No Data,No Data,s,46.2%,9
No Data,s,No Data,No Data,s,13.8%,s,No Data,No Data,54,21.1%,16
No Data,s,No Data,No Data,s,11.1%,s,No Data,No Data,s,86.8%,9
s,No Data,s,s,No Data,s,s,s,s,s,100.0%,No Data
No Data,No Data,No Data,No Data,No Data,38.2%,s,No Data,No Data,s,59.6%,No Data
No Data,s,No Data,No Data,s,42.9%,s,No Data,No Data,s,33.3%,s
s,s,s,s,s,s,s,s,s,s,83.9%,11
No Data,s,No Data,No Data,s,19.2%,21.2%,No Data,No Data,s,53.7%,30
No Data,s,No Data,No Data,s,38.7%,s,No Data,No Data,s,57.1%,92
No Data,14.0%,No Data,No Data,12,23.9%,5.6%,No Data,No Data,59,57.6%,114
No Data,28.2%,No Data,No Data,14,17.3%,5.4%,No Data,No Data,123,43.6%,85
No Data,s,No Data,No Data,s,50.0%,s,No Data,No Data,s,41.7%,s
No Data,40.9%,No Data,No Data,9,12.5%,13.8%,No Data,No Data,178,28.5%,93
s,s,8,s,s,s,s,s,s,6,75.5%,24
No Data,s,No Data,No Data,s,30.0%,s,No Data,No Data,7,56.7%,s
No Data,s,No Data,No Data,s,34.3%,s,No Data,No Data,s,62.5%,6
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,60.0%,s
No Data,s,No Data,No Data,s,35.0%,s,No Data,No Data,s,57.5%,13
No Data,No Data,No Data,No Data,No Data,42.3%,s,No Data,No Data,s,52.0%,No Data
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,94.8%,8
No Data,s,No Data,No Data,s,40.9%,s,No Data,No Data,s,59.1%,10
No Data,s,No Data,No Data,s,14.7%,s,No Data,No Data,10,82.8%,132
No Data,No Data,No Data,No Data,No Data,33.3%,s,No Data,No Data,s,66.7%,No Data
No Data,s,No Data,No Data,s,47.6%,s,No Data,No Data,s,47.6%,s
No Data,s,No Data,No Data,s,43.8%,s,No Data,No Data,s,37.5%,s
No Data,s,No Data,No Data,8,25.3%,5.2%,No Data,No Data,20,61.2%,102
No Data,s,No Data,No Data,s,56.1%,s,No Data,No Data,s,35.7%,53
No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,s,s,No Data
No Data,s,No Data,No Data,s,23.6%,s,No Data,No Data,s,74.0%,41
65.6%,No Data,s,6,No Data,5.1%,72.8%,s,s,s,21.8%,No Data
No Data,50.0%,No Data,No Data,s,s,s,No Data,No Data,35,32.3%,18
No Data,s,No Data,No Data,s,47.1%,s,No Data,No Data,s,41.2%,s
s,No Data,s,s,No Data,s,s,s,s,s,s,No Data
No Data,s,No Data,No Data,s,s,s,No Data,No Data,9,s,s
75.0%,s,s,s,s,s,75.0%,s,s,s,s,s
No Data,s,No Data,No Data,s,41.9%,s,No Data,No Data,s,58.1%,8
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,80.0%,s
s,s,s,s,s,s,s,s,s,s,86.4%,s
No Data,s,No Data,No Data,s,27.4%,8.8%,No Data,No Data,11,55.4%,83
No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,s,42.9%,No Data
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,94.3%,s
No Data,s,No Data,No Data,s,58.3%,s,No Data,No Data,s,33.3%,s
No Data,s,No Data,No Data,s,15.4%,19.6%,No Data,No Data,s,52.9%,58
No Data,s,No Data,No Data,s,19.5%,s,No Data,No Data,s,77.1%,89
No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,s,s,No Data
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,s,s
s,s,s,s,s,s,s,s,s,s,98.5%,28
No Data,s,No Data,No Data,s,17.7%,6.5%,No Data,No Data,s,69.4%,80
No Data,26.1%,No Data,No Data,s,29.2%,5.8%,No Data,No Data,39,31.4%,23
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,s,s
s,s,s,s,s,s,s,s,s,s,95.9%,10
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,100.0%,s
No Data,s,No Data,No Data,s,51.3%,s,No Data,No Data,s,46.2%,9
No Data,s,No Data,No Data,s,24.3%,4.6%,No Data,No Data,s,68.8%,66
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,93.9%,11
No Data,s,No Data,No Data,s,36.4%,s,No Data,No Data,s,54.5%,s
No Data,s,No Data,No Data,s,35.7%,2.2%,No Data,No Data,s,59.9%,62
No Data,s,No Data,No Data,s,30.4%,s,No Data,No Data,18,34.8%,8
No Data,No Data,No Data,No Data,No Data,26.9%,s,No Data,No Data,s,71.1%,No Data
No Data,s,No Data,No Data,s,12.1%,4.5%,No Data,No Data,s,80.6%,34
No Data,s,No Data,No Data,No Data,24.0%,s,No Data,No Data,61,50.9%,s
No Data,s,No Data,No Data,s,43.6%,s,No Data,No Data,s,38.5%,s
No Data,No Data,No Data,No Data,No Data,35.0%,s,No Data,No Data,16,48.0%,No Data
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,s,s
No Data,s,No Data,No Data,s,26.9%,s,No Data,No Data,s,50.0%,6
No Data,s,No Data,No Data,s,57.1%,s,No Data,No Data,s,42.9%,s
No Data,s,No Data,No Data,s,11.1%,s,No Data,No Data,6,86.7%,83
No Data,No Data,No Data,No Data,No Data,45.8%,s,No Data,No Data,s,54.2%,No Data
No Data,s,No Data,No Data,s,31.3%,2.6%,No Data,No Data,10,62.7%,85
No Data,s,No Data,No Data,s,38.5%,s,No Data,No Data,s,56.3%,23
s,s,s,s,s,s,s,s,s,s,85.7%,6
No Data,1.8%,No Data,No Data,626,0.6%,74.5%,No Data,No Data,602,2.4%,391
No Data,18.2%,No Data,No Data,6,29.7%,10.0%,No Data,No Data,19,52.4%,88
No Data,No Data,No Data,No Data,No Data,20.6%,23.5%,No Data,No Data,s,38.2%,No Data
s,s,s,s,s,s,14.6%,s,s,s,65.9%,17
No Data,s,No Data,No Data,s,23.2%,s,No Data,No Data,s,75.2%,27
s,s,s,s,s,s,s,s,s,s,88.9%,s
s,s,s,s,s,s,s,s,s,s,s,s
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,70.0%,s
No Data,s,No Data,No Data,s,12.0%,s,No Data,No Data,s,85.8%,51
No Data,14.3%,No Data,No Data,6,24.4%,22.5%,No Data,No Data,32,46.3%,147
No Data,s,No Data,No Data,s,26.0%,3.1%,No Data,No Data,31,62.6%,93
No Data,s,No Data,No Data,s,71.5%,2.1%,No Data,No Data,s,25.1%,96
No Data,No Data,No Data,No Data,No Data,35.0%,s,No Data,No Data,s,55.0%,No Data
No Data,25.4%,No Data,No Data,s,22.3%,8.7%,No Data,No Data,12,62.1%,59
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,100.0%,10
No Data,s,No Data,No Data,s,38.6%,s,No Data,No Data,s,54.5%,12
No Data,s,No Data,No Data,s,24.4%,s,No Data,No Data,s,73.5%,54
No Data,s,No Data,No Data,s,26.0%,s,No Data,No Data,s,73.1%,23
No Data,s,No Data,No Data,s,30.0%,s,No Data,No Data,s,68.0%,23
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,60.0%,s
s,s,s,s,s,44.4%,s,s,s,s,44.4%,8
No Data,s,No Data,No Data,s,42.1%,s,No Data,No Data,s,42.1%,s
No Data,s,No Data,No Data,s,29.4%,7.0%,No Data,No Data,17,57.8%,95
No Data,s,No Data,No Data,s,38.5%,2.7%,No Data,No Data,8,53.9%,81
No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,s,s,No Data
No Data,16.9%,No Data,No Data,8,23.4%,5.1%,No Data,No Data,s,67.0%,77
No Data,s,No Data,No Data,s,41.9%,s,No Data,No Data,s,52.7%,22
No Data,s,No Data,No Data,s,37.8%,s,No Data,No Data,s,55.6%,7
No Data,43.1%,No Data,No Data,22,4.3%,84.4%,No Data,No Data,14,6.3%,72
s,s,s,s,s,s,s,s,s,s,64.3%,s
No Data,25.5%,No Data,No Data,21,26.1%,2.6%,No Data,No Data,9,67.5%,102
No Data,s,No Data,No Data,s,24.6%,13.2%,No Data,No Data,s,52.6%,s
No Data,s,No Data,No Data,s,50.0%,s,No Data,No Data,s,31.0%,10
No Data,s,No Data,No Data,s,25.1%,4.5%,No Data,No Data,31,59.1%,66
No Data,s,No Data,No Data,s,72.1%,s,No Data,No Data,s,20.9%,66
No Data,No Data,No Data,No Data,No Data,33.9%,s,No Data,No Data,s,50.0%,No Data
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,s,s
No Data,s,No Data,No Data,s,36.8%,s,No Data,No Data,s,57.9%,32
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,s,s
No Data,s,No Data,No Data,s,27.4%,s,No Data,No Data,s,71.6%,80
No Data,s,No Data,No Data,s,23.3%,3.1%,No Data,No Data,s,71.9%,98
No Data,s,No Data,No Data,s,s,33.8%,No Data,No Data,25,17.6%,13
No Data,s,No Data,No Data,19,13.0%,50.0%,No Data,No Data,30,24.0%,42
No Data,25.0%,No Data,No Data,s,23.5%,9.0%,No Data,No Data,16,60.1%,72
No Data,s,No Data,No Data,s,62.1%,s,No Data,No Data,s,34.5%,s
s,s,s,s,s,s,s,s,s,s,80.0%,6
s,No Data,s,s,No Data,s,s,s,s,s,100.0%,No Data
No Data,35.6%,No Data,No Data,68,6.5%,41.7%,No Data,No Data,218,15.2%,90
s,s,s,s,s,s,s,s,s,s,93.0%,7
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,77.8%,s
No Data,s,No Data,No Data,s,38.6%,s,No Data,No Data,s,56.8%,8
