dbn,unnamed_column,school_name,parent_engagement_score,teacher_academic_expectations,enrollment,teacher_horizon_safety_and,parent_horizon_safety_and,horizon_engagement_score,student_engagement_score,horizon_safety_and_respect
27Q650,Q650,"High School for Construction Trades, Engineering and Architecture",7.3,7.6,613,0.72,0.89,0.79,6.5,0.84
08X519,X519,Felisa Rincon de Gautier Institute for Law and Public Policy,6.3,5.7,411,0.36,0.7,0.35,5.6,0.52
08X450,X450,Adlai E. Stevenson High School,7.2,6.0,307,0.42,0.54,0.59,6.5,0.58
29Q109,Q109,Jean Nuzzi Intermediate School,6.1,6.4,1280,0.26,0.4,0.33,5.9,0.3
04M224,M224,M.S. 224 Manhattan East School for Arts & Academics,7.6,7.7,274,0.63,0.67,0.83,7.8,0.7
17k600,K600,Clara Barton High School,6.5,7.2,2125,0.6,0.48,0.59,6.1,0.52
06M210,M210,p.s./i.s. 210 - 21st century academy for community leadership,8.4,7.9,419,0.8,1.0,1.0,7.9,0.97
31R003,R003,P.S. 003 The Margaret Gioiosa School,7.1,8.5,840,0.82,0.78,0.75,,0.83
84Q706,Q706,Our World Neighborhood Charter,7.5,9.0,705,0.93,0.72,0.92,6.7,0.81
25Q219,Q219,P.S. 219 Paul Klapper,7.0,7.7,627,0.65,0.64,0.65,7.1,0.66
06M324,M324,M.S. 324 - Patria Mirabal,8.3,9.3,372,0.96,1.0,1.0,7.8,1.0
10X368,X368,In-Tech Academy (M.S. / High School 368),7.1,7.6,1018,0.66,0.78,0.71,6.6,0.75
02M298,M298,Pace High School,6.1,8.3,410,0.69,0.61,0.76,6.8,0.74
09X231,X231,Eagle Academy for Young Men,7.7,6.4,427,0.4,0.7,0.69,6.8,0.55
10X397,X397,English Language Learners and International Support Preparatory Academy (ELLIS),7.9,8.7,87,0.83,0.82,1.0,7.1,0.9
21K348,K348,High School of Sports Management,6.3,5.9,337,0.27,0.51,0.31,6.1,0.39
19K311,K31,Essence School,6.6,7.2,254,0.59,0.67,0.53,6.6,0.58
11X089,X089,P.S. 089 Bronx,6.4,6.5,1322,0.21,0.33,0.27,5.8,0.25
21K228,K228,I.S. 228 David A. Boody,6.9,7.4,912,0.65,0.63,0.67,6.6,0.64
10X504,X504,John F. Kennedy YABC,6.1,8.2,225,0.0,0.37,0.37,6.3,0.17
01M,M134,P.S. 134 Henrietta Szold,7.6,7.3,385,0.38,0.68,0.59,,0.48
07X379,X379,Jill Chaifefz Transfer High School,6.4,6.7,133,0.12,0.33,0.35,6.7,0.21
14K454,K454,Green School: An Academy for Environmental Careers,7.3,7.1,299,0.54,0.73,0.76,6.5,0.65
29Q272,Q272,George Washington Carver High School for the Sciences,6.9,8.2,400,0.74,0.64,0.79,6.2,0.68
06M540,M540,A. Philip Randolph Campus High School,6.6,6.1,1376,0.45,0.51,0.45,5.8,0.48
11X275,X275,High School of Computers and Technology,7.3,7.2,491,0.49,0.85,0.76,6.8,0.68
05M046,M046,P.S. 046 Arthur Tappan,7.5,8.1,708,0.63,0.68,0.84,8.3,0.55
04M497,M497,Central Park East I,8.7,8.3,201,0.79,0.99,1.0,,0.9
84X704,X704,Kipp Academy Charter School,7.8,8.4,253,0.83,1.0,0.97,7.2,0.91
12X384,X384,Entrada Academy,7.5,7.4,111,0.57,0.93,0.77,6.8,0.7
01M142,M142,P.S. 142 Amalia Castro,7.8,7.9,437,0.45,0.73,0.75,,0.59
10X445,-X445,Bronx High School of Science,7.2,6.9,2808,0.69,0.64,0.62,7.1,0.77
05M200,M200,P.S. 200- The James Mccune Smith School,6.4,6.9,639,0.4,0.32,0.5,7.4,0.31
04M101,M101,P.S. 101 Andrew Draper,6.8,7.6,135,0.53,0.67,0.63,6.5,0.55
32K162,K162,J.H.S. 162 The Willoughby,6.4,6.8,692,0.3,0.53,0.47,6.6,0.42
04M825,M825,Isaac Newton Middle School for Math & Science,7.3,8.8,334,0.77,0.8,0.93,7.5,0.82
08X301,X301,M.S. 301 Paul L. Dunbar,6.9,7.2,372,0.44,0.53,0.57,6.1,0.46
17K354,K354,The School of Integrated Learning,7.4,7.9,249,0.55,0.73,0.7,6.6,0.58
15K442,K442,New Horizons School,7.4,7.0,217,0.46,0.73,0.7,6.7,0.61
02M419,M419,Landmark High School,6.4,7.4,438,0.56,0.73,0.66,6.4,0.68
02M425,M425,Leadership and Public Service High School%,6.1,7.6,661,0.72,0.61,0.66,6.2,0.68
10X254,X254,I.S. 254,7.4,6.7,492,0.42,0.87,0.53,6.4,0.58
10X433,x433,High School for Teaching and the Professions,7.0,7.7,514,0.56,0.67,0.69,5.8,0.58
10X696,X696,High School of American Studies at Lehman College,7.8,9.0,345,0.92,0.98,1.0,7.5,1.0
32K549,K549,Bushwick School for Social Justice,7.5,8.8,426,0.74,0.79,0.93,6.5,0.77
19K618,K618,Academy of Innovative Technology,7.2,6.2,98,0.49,0.67,0.62,6.8,0.65
06M152,M152,P.S. 152 Dyckman Valley,7.6,5.8,866,0.31,0.73,0.34,,0.45
06M189,M189,P.S. 189,7.8,7.6,1063,0.45,0.78,0.66,,0.59
22K014,K014,J.H.S. 014 Shell Bank,6.9,8.2,723,0.5,0.6,0.8,6.7,0.55
07X043,X043,P.S. 043 Jonas Bronck,7.3,7.1,513,0.47,0.63,0.56,,0.55
06M462,M462,High School for International Business and Finance,7.5,8.1,676,0.85,0.82,0.93,7.6,0.94
08X366,X366,*Urban Assembly Academy of Civic Engagement,8.0,8.1,246,0.5,0.77,0.87,6.8,0.61
10X095,X095*,P.S. 095 Sheila Mencher,7.3,6.5,1205,0.44,0.72,0.42,6.7,0.53
02M580,M580,Richard R. Green High School of Teaching,6.7,7.2,619,0.65,0.76,0.62,6.5,0.77
29Q492,Q492,"Mathematics, Science Research and Technology Magnet High School",6.6,5.7,493,0.36,0.48,0.48,6.1,0.42
27Q202,Q202,J.H.S. 202 Robert H. Goddard,6.6,7.7,1073,0.61,0.67,0.57,6.5,0.64
23K697,K697,Teachers Preparatory High School,7.7,7.7,604,0.53,0.91,0.78,6.7,0.66
27Q210,Q210,J.H.S. 210 Elizabeth Blackwell,6.6,7.0,2002,0.53,0.53,0.53,6.5,0.55
19K166,K166,J.H.S. 166 George Gershwin,6.7,6.1,543,0.22,0.5,0.37,6.3,0.33
07X385,X385,Performance School,7.0,6.7,596,0.1,0.47,0.38,,0.24
03M334,M334,The Anderson School,8.4,9.2,517,1.0,0.88,1.0,8.2,1.0
29Q231,Q231,I.S. 231 Magnetech 2000,5.9,7.0,814,0.42,0.3,0.4,5.9,0.33
08X377,X377,Bronx Community High School,6.8,8.0,208,0.16,0.33,0.62,7.5,0.33
02M047,M047,47 The American Sign Language and English Secondary School,7.0,7.1,183,0.72,0.75,0.65,6.6,0.81
31R080,R080,The Michael J. Petrides School,7.2,8.2,1304,0.68,0.6,0.87,7.0,0.67
02M605,M605,Humanities Preparatory Academy,6.2,6.8,177,0.22,0.28,0.39,6.6,0.33
20K609,K609,Urban Assembly School for Criminal Justice,7.6,8.9,147,0.77,0.73,0.9,7.0,0.82
02M077,M077,P.S. 77 Lower Lab School,8.1,7.7,340,0.7,0.58,0.72,,0.69
02m655,M655,Life Sciences Secondary School,6.1,6.7,685,0.38,0.2,0.41,6.3,0.34
32K347,K347,I.S. 347 School of Humanities,6.6,7.8,549,0.55,0.6,0.67,6.6,0.58
21K098,K098,I .S. 98 Bay Academy,6.8,8.1,1051,0.81,0.8,0.73,6.7,0.82
24Q125,Q125,I.S. 125 Thom J. McCann Woodside,6.7,7.9,1627,0.69,0.6,0.7,6.5,0.67
31R024,R024,I.S. 024 Myra S. Barnes,6.4,8.2,1504,0.79,0.63,0.63,6.2,0.67
21K690,K690,Brooklyn Studio Secondary School,6.7,7.3,842,0.53,0.68,0.71,6.8,0.63
16K594,K594,Gotham Professional Arts Academy,7.4,8.4,151,0.69,0.89,1.0,7.0,0.84
02M089,m089,P.S. 89,8.0,8.3,548,0.79,0.63,0.84,,0.76
02M051,M051,P.S. 051 Elias Howe,8.0,8.9,318,0.93,0.78,1.0,,0.93
06M463,M463,High School for Media and Communications,7.0,7.4,647,0.63,0.73,0.76,6.2,0.68
32K384,K384,P.S. /I.S. 384 Frances E. Carter,7.2,7.4,696,0.55,0.72,0.81,8.0,0.75
30Q230,Q230,I.S. 230,6.6,7.1,964,0.55,0.7,0.43,6.3,0.64
24Q560,Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",7.2,7.0,553,0.62,0.84,0.68,6.7,0.78
06M115,M115,P.S. 115 Alexander Humboldt,7.5,7.3,782,0.33,0.73,0.63,7.3,0.38
11X272,X272,Globe School for Environmental Research,6.8,6.0,525,0.3,0.5,0.47,6.6,0.39
28Q690,Q690,High School for Law Enforcement and Public Safety,6.7,7.5,581,0.56,0.42,0.59,5.3,0.45
11X544,X54,High School for Contemporary Arts,7.5,8.4,464,0.78,0.82,0.93,6.6,0.81
07X600,X600,Alfred E. Smith Career and Technical Education High School,6.1,6.6,1170,0.38,0.42,0.45,5.7,0.36
28Q687,Q687,Queens High School for the Scirnces at York College,7.0,8.4,402,0.81,0.82,0.83,6.7,0.87
09X251,X251,Explorations Academy,6.7,7.1,359,0.51,0.7,0.55,6.1,0.61
16K455,K455,Boys and Girls High School,6.2,8.0,2931,0.56,0.48,0.76,6.2,0.48
28Q680,Q680,Queens Gateway to Health Sciences Secondary School,7.2,6.3,622,0.72,0.84,0.44,6.5,0.85
02M459,M459,Manhattan International High School,6.8,7.5,307,0.85,0.95,0.79,6.9,1.0
31R440,R440,New Dorp High School,6.7,8.1,2195,0.6,0.45,0.86,6.9,0.61
27Q183,Q183,P.S. 183 Dr. Richard R. Green,7.2,8.5,665,0.61,0.48,0.81,7.2,0.56
27Q047,Q047,P.S. 047 Chris Galas,7.6,9.1,254,0.84,0.88,1.0,6.8,0.84
02M104,M104,J.H.S. 104 Simon Baruch,6.5,7.4,981,0.48,0.57,0.57,6.5,0.52
28Q101,Q101,P.S. 101 School in the Gardens,7.5,8.0,636,0.68,0.63,0.78,8.0,0.66
21K099,K099,P.S. 099 Isaac Asimov,6.8,9.4,707,1.0,0.68,1.0,8.0,1.0
13K419,K419,"Science Skills Center High School for Science, Technology and the Creative Arts",5.7,6.3,958,0.31,0.33,0.35,5.7,0.32
27Q053,Q053,M.S. 053 Brian Piccolo,6.3,7.2,620,0.42,0.5,0.4,5.5,0.42
15K498,K498,ACORN High School for Social Justice,6.8,6.4,477,0.54,0.67,0.52,6.2,0.65
*84X345,X345,Hyde Leadership Charter School,8.3,7.8,470,0.63,0.92,1.0,7.9,0.78
17K539,K539,High School for Service & Learning at Erasmus-,6.7,9.0,421,0.76,0.54,0.93,6.4,0.65
22K207,K207,P.S. 207 Elizabeth G. Leary,7.4,8.8,1092,0.95,0.84,0.96,7.5,0.88
02M690,M690,School for the Physical City High School,4.8,7.5,125,0.63,0.0,0.38,5.7,0.29
10X390,X390,M.S. 390,7.5,7.5,501,0.46,0.83,0.73,,0.67
13 K258,K258,J.H.S. 258 David Ruggles,7.6,8.2,119,0.71,0.67,0.73,6.2,0.67
15K821,K821,Sunset Park Prep,7.2,6.6,506,0.63,0.73,0.53,6.9,0.7
06M457,M457,George Washingto n Educational Campus YABC,7.3,9.0,243,0.88,0.92,0.84,7.4,0.92
30Q555,Q555,Newcomers High School,6.6,8.0,871,0.92,0.79,0.76,6.8,0.97
07X369,X369,Young Leaders Elementary School,7.9,6.7,297,0.29,0.88,0.59,,0.48
84M284,M284,Harlem Children's Zone/Promise Academy Charter School,8.4,8.1,685,0.86,0.88,0.96,6.4,0.79
31R063,R063,Marsh Avenue School for Expeditionary Learning,7.6,9.3,139,0.81,1.0,1.0,7.8,0.94
05M175,M175,P.S. 175 Henry H Garnet,7.4,7.9,348,0.7,0.58,0.69,,0.69
13K350,K350,Urban Assembly School of Music and Art,7.1,5.1,382,0.4,0.7,0.41,6.1,0.55
18K581,K581,East Flatbush Community Research School,7.1,7.0,143,0.53,0.8,0.77,7.0,0.61
26Q158,Q158,M.S. 158 Marie Curie,6.4,7.0,1116,0.63,0.57,0.43,6.3,0.61
03M149,M149,P.S. 149 Sojourner Truth,7.1,8.1,417,0.65,0.56,0.65,6.7,0.59
01M137,M137,P.S. 137 John L. Bernstein,7.9,7.5,215,0.47,0.63,0.75,,0.55
29Q138,Q138,P.S. 138 Sunrise,6.5,6.3,933,0.34,0.44,0.31,6.2,0.38
02M225,M225,Ella Baker School,8.3,8.2,298,0.9,0.92,1.0,7.3,0.91
03M299,M299,"High School for Arts, Imagination and Inquiry",6.5,6.0,408,0.36,0.58,0.45,5.9,0.45
30Q122,Q122,P.S. 122 Mamie Fay,7.5,7.8,1377,0.67,0.72,0.85,7.4,0.78
23K392,K392,I.S. 392,7.0,7.9,304,0.79,0.77,0.63,6.4,0.76
18K589,K589,Arts & Media Preparatory Academy,7.5,8.1,144,0.6,0.64,0.9,6.7,0.65
16K534,K534,Upper School @ P.S. 25,6.9,6.3,256,0.38,0.53,0.53,6.7,0.49
20K220,K220,J.H.S. 220 John J. Pershing,6.4,7.1,1283,0.46,0.57,0.47,5.9,0.49
06M366,M366,Washington Heights Academy,8.2,6.1,133,0.7,1.0,0.53,,0.86
02M006,M006,P.S. 006 Lillie D. Blake,7.9,8.3,797,0.75,0.58,0.75,,0.72
20K062,k062,J.H.S. 062 Ditmas,7.2,8.0,1154,0.69,0.73,0.8,7.2,0.79
05M172,M172,Powell M.S. for Law & Social Justice,6.5,5.8,112,0.36,0.63,0.37,6.6,0.55
01M020,M020,P.S. 020 Anna Silver,7.9,7.9,588,0.65,0.83,0.75,,0.72
09X329,X329,DreamYard Preparatory School,7.2,6.1,306,0.18,0.67,0.59,6.4,0.42
09X323,X323,Bronx Writing Academy,7.0,7.8,527,0.46,0.7,0.63,6.5,0.55
07X427,X427,Community School for Social Justice,7.1,8.2,358,0.6,0.64,0.9,6.8,0.71
03M256,M256,M.S. 256 Academic & Athletic Excellence,8.0,7.7,176,0.63,1.0,0.73,6.1,0.73
10X284,X284,Bronx School of Law and Finance,6.5,7.3,439,0.54,0.45,0.62,6.2,0.52
12X212,X212,P.S. 212,7.4,6.6,466,0.49,0.64,0.46,6.3,0.5
12X318,X318,"I.S. X318 Math, Science & Technology Through Arts",7.0,8.0,357,0.69,0.57,0.63,5.8,0.58
20K658,K658,Franklin D. Roosevelt YABC,6.2,8.4,196,0.94,0.65,0.6,7.1,0.71
32K349,K349,"I.S. 349 Math, Science & Tech.",7.1,7.9,552,0.71,0.63,0.83,7.1,0.7
17K138,K138,P.S. 138 Brooklyn,7.7,7.3,917,0.49,0.6,0.85,8.0,0.59
09X166,X166,J.H.S. 166 Roberto Clemente,6.9,6.6,804,0.36,0.7,0.4,6.0,0.46
25Q250,Q250,I.S. 250 The Robert F. Kennedy Community Middle School,6.7,5.8,429,0.38,0.63,0.43,6.2,0.52
12X242,X242,Mott Hall V,7.3,8.8,249,0.9,0.87,0.9,7.2,0.91
09X263,X263,Validus Preparatory Academy: An Expeditionary Learning School,7.5,7.9,428,0.65,0.82,0.9,6.6,0.77
02M418,M418,Millennium High School,7.6,8.9,572,0.96,0.92,1.0,6.7,1.0
04M377,M377,Renaissance School of the Arts,7.9,6.4,68,0.24,0.8,0.73,7.6,0.58
04M037,M037,River East Elementary,8.1,7.6,159,0.68,0.88,0.78,,0.76
10X045,X045,J.H.S. 045 Thomas C. Giordano,6.5,7.3,1027,0.48,0.67,0.57,6.5,0.58
18k252,K252,I.S. 252 Arthur S. Somers,7.9,8.8,124,0.83,0.87,1.0,7.6,0.85
06M005,M005,P.S. 005 Ellen Lurie,7.6,7.6,795,0.56,0.83,0.66,,0.69
10X244,X244,The New School for Leadership and Journalism,7.2,6.5,762,0.38,0.87,0.67,7.3,0.67
08X405,X405,Herbert H. Lehman High School,6.7,6.6,4105,0.42,0.48,0.69,6.6,0.48
17K531,K531,School for Human Rights,7.2,8.0,407,0.75,0.81,0.78,6.4,0.75
05M125,M125,P.S. 125 Ralph Bunche,7.3,6.8,398,0.29,0.27,0.44,6.6,0.21
14K632,K632,Frances Perkins Academy,6.3,6.7,88,0.13,0.64,0.48,6.0,0.39
13K492,K492,Urban Assembly Academy of Arts and Letters,7.5,7.5,273,0.53,0.83,0.77,7.0,0.7
13K117,K117,J.H.S. 117 Francis Scott Key,7.8,8.0,120,0.65,0.5,0.83,6.6,0.61
30Q450,Q450,Long Island City High School,6.5,7.5,3228,0.6,0.36,0.69,6.2,0.52
11X265,X265,Bronx Lab School,6.8,7.3,418,0.6,0.64,0.79,7.0,0.68
29Q192,Q192,I.S. 192 The Linden,8.0,7.9,685,0.59,0.9,0.93,7.5,0.73
14K488,K488,Brooklyn Preparatory High School,7.0,7.2,384,0.38,0.7,0.66,6.1,0.55
31R45 0,R450,Curtis High School,7.0,7.8,2771,0.58,0.2,0.83,6.3,0.42
17K528,K528,High School for Global Citizenship,7.0,6.0,436,0.24,0.42,0.55,6.5,0.36
05M367,M367,Academy for Social Action: A College Board School,6.9,7.3,315,0.53,0.65,0.81,7.3,0.66
84M707,M707,John V. Lindsay Wildcat Academy Charter School,7.4,8.5,481,0.66,0.81,0.81,7.5,0.71
09X227,X227,Bronx Expeditionary Learning High School,6.6,6.2,418,0.33,0.54,0.45,6.1,0.45
11X372,X372,Urban Assembly School for Wildlife Conservation,7.1,8.0,268,0.67,0.7,0.77,6.5,0.64
15K698,K698,South Brooklyn Community High School,7.5,7.2,172,0.41,0.7,0.46,6.9,0.5
03M054,M054,J.H.S. 054 Booker T. Washington,7.3,7.8,807,0.57,0.6,0.77,7.2,0.64
24Q744,Q744,VOYAGES Preparatory,7.1,7.6,150,0.31,0.65,0.77,7.6,0.5
03M084,M084,P.S. 084 Lillian Weber,7.6,6.0,458,0.4,0.37,0.38,,0.41
02M167,M167,J.H.S. 167 Robert F. Wagner,6.7,7.5,1257,0.61,0.57,0.67,6.6,0.61
21K411,K411,Abraham Lincoln YABC,5.3,9.1,225,0.88,0.53,0.6,7.1,0.63
19K639,K639,Brooklyn Lab School,6.9,6.8,107,0.4,0.67,0.66,6.2,0.55
07X162,X162,J.H.S. 162 Lola Rodriguez De Tio,6.0,6.5,899,0.32,0.43,0.47,6.8,0.39
32K545,K545,EBC High School for Public Services Bushwick,6.4,6.0,698,0.54,0.61,0.52,6.4,0.61
18K500,K500,Canarsie High School,6.7,7.8,1724,0.63,0.45,0.69,6.0,0.52
20K505,K505,Franklin Delano Roosevelt High School,6.2,7.3,3452,0.56,0.48,0.66,6.4,0.58
05M161,M161,P.S. 161 Pedro Albizu Campos,7.8,8.1,787,0.65,0.88,0.81,8.0,0.62
03M044,M044,J.H.S. M044 William J. O'Shea,6.9,6.7,286,0.42,0.67,0.57,6.7,0.58
24Q600,Q600,Queens Vocational and Technical High School,6.2,7.2,1221,0.54,0.64,0.55,5.9,0.61
31R072,R072,I.S. 072 Rocco Laurie,6.2,8.2,1838,0.63,0.47,0.67,6.6,0.55
21K540,K540,John Dewey High School,6.2,7.2,2989,0.54,0.33,0.55,6.1,0.45
19K583,K583,Multicultural High School,6.6,7.0,213,0.56,0.7,0.48,6.1,0.65
27Q410,Q410,Beach Channel High School,6.1,6.9,1584,0.31,0.17,0.48,5.6,0.23
08X062,X062,P.S. 062 Inocensio Casanova,7.3,8.2,673,0.63,0.73,0.75,,0.69
05M129,M129,P.S. 129 John H. Finley,7.5,7.6,522,0.61,0.73,0.72,7.7,0.59
13K616,K616,Brooklyn High School for Leadership and Community Service,7.3,8.1,151,0.31,0.7,0.69,7.3,0.42
12X383,X383,Emolior Academy,7.5,6.7,62,0.57,1.0,0.73,7.3,0.82
12X682,X682,Fannie Lou Hamer Freedom High School,7.4,8.4,502,0.81,0.89,0.9,6.5,0.87
05M133,M133,P.S. 133 Fred R Moore,7.5,7.6,326,0.49,0.68,0.63,7.3,0.38
12X269,X269,Bronx Studio School for Writers and Artists,7.2,7.0,211,0.67,0.97,0.53,,0.88
19K502,K502,FDNY High School for Fire and Life Safety,6.6,7.5,405,0.58,0.36,0.66,5.7,0.42
21K303,K303,I.S. 303 Herbert S. Eisenberg,6.7,8.6,750,0.85,0.73,0.87,7.6,0.88
02M550,M550,Liberty High School Academy for Newcomers,6.9,7.2,419,0.5,0.33,0.35,6.3,0.42
19K364,K364,I.S. 364 Gateway,7.1,7.0,394,0.55,0.8,0.47,5.7,0.61
08X305,X305,Pablo Neruda Academy for Architecture and Worl d Studies,6.5,6.0,386,0.42,0.51,0.45,6.0,0.48
10X280,X280,P.S./M.S. 280 Mosholu Parkway,6.4,7.4,774,0.57,0.56,0.62,7.9,0.69
06M348,M348,Washington Heights Expeditionary Learning School,7.5,8.0,331,0.88,0.91,0.88,7.2,0.97
12X267,X267,Bronx Latin,6.5,8.0,309,0.72,0.49,0.65,6.2,0.59
04M072,M072,P.S. 072,7.7,8.2,572,0.77,0.93,0.84,,0.86
21K525,K525,Edward R. Murrow High School,7.2,7.2,3889,0.58,0.64,0.76,6.6,0.68
12x248,X248,Metropolitan High School,7.1,7.7,335,0.76,0.82,0.83,6.6,0.84
29Q498,Q498,Humanities & Arts Magnet High School,6.2,7.6,492,0.51,0.17,0.62,5.6,0.32
03M243,M243,M.S. 243 Center School,8.3,9.2,214,1.0,1.0,1.0,8.4,1.0
10X660,X6 60,Grace Dodge Career and Technical Education High School,6.5,7.7,1493,0.58,0.51,0.59,5.5,0.52
02M059,M059,P.S. 059 Beekman Hill International,8.1,8.8,445,0.75,0.83,0.81,,0.83
12X216,X216,Business School for Entrepreneurial Studies,6.4,6.9,231,0.36,0.4,0.5,6.3,0.39
