code1,requirement5_1,requirement5_7,appperseat1specialized,prgdesc4,grade9geapplicantsperseat5,city,council_district,requirement4_2,offer_rate4,eligibility5,admissionspriority51,interest8,requirement3_4,requirement1_4,auditioninformation4,requirement3_8,location,admissionspriority17,grade9gefilledflag5,eligibility3,grade9swdfilledflag3,grade9swdapplicantsperseat6,eligibility4,community_board,code4,pct_stu_enough_variety,girls,requirement1_5,interest6,grade9gefilledflag8,requirement4_1,appperseat2specialized,seats9swd8,attendance_rate,grade9swdfilledflag10,admissionspriority32,grade9swdapplicants2,graduation_rate,seats9swd3,grade9gefilledflag2,requirement2_3,requirement2_4,grade9swdapplicantsperseat5,admissionspriority13,admissionspriority27,grade9swdapplicants4,grade9geapplicantsperseat8,admissionspriority25,prgdesc10,method2,seats2specialized,seats102,boys,program5,grade9geapplicantsperseat7,grade9swdapplicants5,program4,grade9swdapplicantsperseat4
Y55A,,,,,,Bronx,18,,,,,,,,,,"1300 Boynton Avenue, Bronx NY 10472(40.832508, -73.878191)",,,,,,,9,,0.69,,,,,,,,0.79,,,,0.63,,,,,,,,,,,,,,,,,,,,
K80X,,,,,,Brooklyn,41,,,,,,,,,,"226 Bristol Street, Brooklyn NY 11212(40.665568, -73.912102)",,,,,,,16,,0.87,,,,,,,,0.82,,,,0.66,,,,,,,,,,,,,,,,,,,,
Q61A,,,,,,Astoria,26,,-100% of offers went to this group,,,,,,,,"36-41 28th Street, Astoria NY 11106(40.756471, -73.932628)",,,,,,,1,,0.63,,,,,,,,0.94,,,,0.93,,,,,,,,,,,,,,,,,,,,
Q39Z,,,,,,Forest Hills,29,,-82% of offers went to this group,,,,,,,,"91-30 Metropolitan Avenue, Forest Hills NY 11375(40.708431, -73.855543)",,,,,,,6,,0.84,,,,,,,,0.92,,,,0.86,,,,,,,,,,,,,,,,,,,,
A18A,,,,,,Manhattan,3,,,,,,,,,,"351 West 18th Street, Manhattan NY 10011(40.743407, -74.00254)",,,,,,,4,,0.76,,,,,,,,0.79,,,,0.64,,,,,,,,,,,,,,,,,,,,
K07X,,,,,,Brooklyn,33,,,,,,,,,,"257 North 6th Street, Brooklyn NY 11211(40.715561, -73.954815)",,,,,,,1,,0.81,,,,,,,,0.86,,,,0.92,,,,,,,,,,,,,,,,,,,,
L35A,,,,,,Brooklyn,35,,,,,,,,,,"561 Grand Avenue, Brooklyn NY 11238 (40.678549, -73.961768)",,,,,,,8,,0.64,,,,,,,,0.78,,,,0.55,,,,,,,,,,,,,,,,,,,,
NO CODE,,,95.0,,,Brooklyn,34,,,,,,,,,,"223 Graham Avenue, Brooklyn NY 11206(40.709765, -73.944463)",,,,,,,1,,0.78,,,,,,,,0.93,,,,0.99,,,,,,,,,,,,,,,,,,,,
Q70A,,,,,,Fresh Meadows,24,,,,,,,,,,"75-40 Parsons Boulevard, Fresh Meadows NY 11366(40.72528, -73.811408)",,,,,,,8,,0.74,,,,,,,,0.9,,,,0.81,,,,,,,,,,,,,,,,,,,,
K62X,,,,,,Brooklyn,42,,,,,,,,,,"400 Pennsylvania Avenue, Brooklyn NY 11207(40.666868, -73.895122)",,,,,,,5,,0.73,,,,,,,,0.8,,,,0.71,,,,,,,,,,,,,,,,,,,,
Q21A,,,,,,Jamaica,28,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.5-4.5)",-97% of offers went to this group,,,,Course Grades: Average (63-100),Attendance,,Course Grades: Average (63-100),"116-25 Guy R Brewer Boulevard, Jamaica NY 11434(40.685838, -73.783438)",,,,,,,12,,0.57,,Attendance,,,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.5-4.5)",,,0.89,,,,0.8,,,Punctuality,Punctuality,,,,,,,,,,,,,,,,
NO CODE,Written Response (on-site),,33.0,"Participants study sight singing, music theory, and music history. This studio's performing groups include four symphony orchestras, two concert bands, two jazz bands, and two musical pit orchestras. Participants also have the opportunity to compose, conduct, and perform original repertoire and utilize a state-of-the-art SoundLab recording studio. Applicants should prepare a solo selection to perform without accompaniment and bring one copy of the music they plan to perform. Applicants should bring their instruments to the audition, except those auditioning on piano, percussion, tuba, double bass, and harp. These instruments will be provided by the school at the audition. Amplifiers will also be provided at the audition for electric guitarists. Applicants will be tested for rhythm and tonal memory and will be asked to complete a sight-reading of a given selection.",,Manhattan,6,"Standardized Test Scores: English Language Arts (3.0-4.5), Math (2.6-4.5)",,,,,"Course Grades: English (85-100), Math (85-100), Science (85-100), Social Studies (85-100)",Academic information will be considered for students who successfully auditioned,,,"100 Amsterdam Avenue, Manhattan NY 10023(40.774202, -73.985976)",,,,,,,7,NO CODE,0.91,,Academic information will be considered for students who successfully auditioned,Performing Arts,,"Standardized Test Scores: English Language Arts (2.5-4.5), Math (2.3-4.5)",24.0,,0.95,,,,0.98,,,Attendance and Punctuality,Attendance and Punctuality,,Open to New York City residents,,,,,,Audition,99.0,Yes-5,,Technical Theater,,,Instrumental Music,
Y54A,,,,,,Bronx,17,,,,,,,,,,"1619 Boston Road, Bronx NY 10460(40.836245, -73.890591)",,,,,,,3,,0.69,,,,,,,,0.81,,,,0.64,,,,,,,,,,,,,,,,,,,,
L72A,,,,,,Brooklyn,47,,,,,,,,,,"2865 West 19th Street, Brooklyn NY 11224(40.576976, -73.985413)",,,,,,,13,,1.0,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,
L32A,,,,,,Brooklyn,46,,,,,,,,,,"6565 Flatlands Avenue, Brooklyn NY 11236(40.634451, -73.916927)",,,,,,,18,,0.78,,,,,,,,0.91,,,,0.75,,,,,,,,,,,,,,,,,,,,
L66A,,,,,,Brooklyn,34,,,,,,,,,,"325 Bushwick Avenue, Brooklyn NY 11206(40.705005, -73.93879)",,,,,,,1,,0.58,1.0,,,,Standardized Test Scores: Average (1.8-4.5),,,0.88,,,,1.0,,,,,,,,,,,,,,,,,,,,
Y73A,,,,,,Bronx,14,,,,,,,,,,"1865 Morris Avenue, Bronx NY 10453(40.848552, -73.909022)",,,,,,,5,,0.83,1.0,,,,Group Interview (on-site),,,0.92,,,,,,,,,,,,,,,,,,,,,,,,
Q98A,,,,,,Long Island City,26,,,,,,,,,,"28-01 41st Avenue, Long Island City NY 11101(40.751838, -73.936592)",,,,,,,1,,0.89,,,,,,,,0.89,,,,0.77,,,,,,,,,,,,,,,,,,,,
NO CODE,,,27.0,,,Bronx,11,,,,,,,,,,"75 Bronx Science Boulevard, Bronx NY 10468(40.879958, -73.889011)",,,,,,,7,,0.94,,,,,,,,0.97,,,,1.0,,,,,,,,,,,,,,,,,,,,
Y34A,,,,,,Bronx,18,,,,,,,,,,"1980 Lafayette Avenue, Bronx NY 10473(40.821218, -73.85593)",,,,,,,9,,0.67,,,,,,,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,
L54A,,,,,,Brooklyn,33,,,,,,,,,,"283 Adams Street, Brooklyn NY 11201(40.694629, -73.988323)",,,,,,,2,,0.53,1.0,,,,,,,0.87,,,N/A - continuing program,0.78,,Y,,,,,,,,,,For Continuing 8th Graders,,No,,,,,,
X42A,,,,,,Bronx,15,,,,,,,,,,"500 East Fordham Road, Bronx NY 10458(40.859466, -73.888625)",,,,,,,6,,0.82,,,,,Writing Exercise (on-site),,,0.89,,,,0.92,,,,,,,,,,,,,,,,,,,,
Q68B,Audition,,,"Focus on preparing students to become career and college ready, with the opportunity to achieve certifications in: A+ Computer Repairs and Maintenance, CISCO Networking, Mobile App Writing, Internet, and Computing Core Certification (IC3).",10,Long Island City,26,"Standardized Test Scores: English Language Arts, Math",,,,,Course Grades: Average (76-100),Attendance,,Course Grades: Average (78-100),"37-02 47th Avenue, Long Island City NY 11101(40.741658, -73.927995)",,Y,,Y,,,2,Q68N,0.89,,Attendance,,,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.6-4.5)",,,0.9,,,,0.84,35,,,Punctuality,12,Open to New York City residents,,229,,,,Screened,,Yes-10,,Cosmetology,,108,Computer Technology and Information Systems,25
Q25X,,,,,,Flushing,20,,,,,,,,,,"144-80 Barclay Avenue, Flushing NY 11355(40.759963, -73.818399)",,,,,,,7,,0.86,,,,,,,,0.91,,,,0.65,,,,,,,,,,,,,,,,,,,,
Y24A,,,,,,Bronx,11,,,,,,,,,,"2780 Reservoir Avenue, Bronx NY 10468(40.869061, -73.897066)",,,,,,,7,,0.89,,,,,,,,0.91,,,,0.77,,,,,,,,,,,,,,,,,,,,
M53A,,,,,,Manhattan,1,,,,,,,,,,"350 Grand Street, Manhattan NY 10002(40.717329, -73.989329)",,,,,,,3,,0.69,,,,,,,,0.86,,,,0.92,,,,,,,,,,,,,,,,,,,,
X71A,,,,,,Bronx,8,,,,,,,,,,"350 Gerard Avenue, Bronx NY 10451(40.815712, -73.92996)",,,,,,,1,,0.86,,,,,,,,0.77,,,,0.49,,,,,,,,,,,,,,,,,,,,
Q16A,,,,"Students study ballet, modern, and jazz techniques along with choreography. Students also have the opportunity to explore additional forms of dance by attending live performances and participating in school productions.",N/A - new program,Bayside,23,,,Open only to Queens students or residents,,,"Standardized Test Scores: English Language Arts (2.0-4.5), Math (1.9-4.5)",Attendance,"Students will be taken through a series of ballet, modern and jazz dance combinations which they must perform in small groups. Students must also perform a dance solo prepared in advance of the dance audition.",,"57-00 223rd Street, Bayside NY 11364(40.752343, -73.757271)",,N/A - new program,Open only to Queens students or residents,Y,N/A - zoned program,Open only to Queens students or residents,11,Q16K,0.9,,Attendance,Zoned,,,,,0.92,,,242,0.91,20,Y,"Course Grades: Math (91-100), Science (90-100)","Course Grades: English (67-100), Math (65-100)",N/A - new program,,,38,,,,Ed. Opt.,,No,,DaVinci Science/Engineering,,N/A - new program,Performing Dance,4
K21A,,,,,,Brooklyn,33,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.8-4.5)",,,,,,,,,"284 Baltic Street, Brooklyn NY 11201(40.685006, -73.993293)",,,,,,,6,,0.79,,,,,"Standardized Test Scores: English Language Arts (2.1-4.5), Math (1.7-4.5)",,,0.8,,Then to Brooklyn students or residents,54,0.78,,Y,,,,,,,,,,Screened,,No,,,,,,
K64A,,,,,,Brooklyn,40,Demonstrated Interest: School Visit,,,,,,,,,"600 Kingston Avenue, Brooklyn NY 11203(40.658671, -73.943839)",,,,Y,,,9,,0.79,,,,,Demonstrated Interest: School Visit,,,0.93,,,66,0.95,4,Y,,,,Priority to Brooklyn students or residents,,,,,,Screened,,Yes-10,,,,,,
K59A,,,,,,Brooklyn,43,,,,,,,,,,"350 67th Street, Brooklyn NY 11220(40.636721, -74.023419)",,,,,,,10,,0.85,,,,,,,,0.93,,,,0.88,,,,,,,,,,,,,,,,,,,,
Q02A,,,,,,Ozone Park,32,,,,,,,,,,"138-30 Lafayette Street, Ozone Park NY 11417(40.670905, -73.845992)",,,,,,,10,,0.89,,,,,,,,0.92,,,,0.93,,,,,,,,,,,,,,,,,,,,
M50B,,,,,,Manhattan,1,,,,,,,,,,"411 Pearl Street, Manhattan NY 10038(40.711441, -74.000851)",,,,,,,1,,0.73,,,,,,,,0.83,,,15,0.54,,N,,,,,,,,,,Ed. Opt.,,No,,,,,,
Y53A,,,,,,Bronx,13,,,,,,,,,,"925 Astor Avenue, Bronx NY 10469(40.860443, -73.860729)",,,,,,,11,,0.87,,,,,,,,0.84,,,,0.76,,,,,,,,,,,,,,,,,,,,
K30X,,,,,,Brooklyn,40,,,,,,,,,,"911 Flatbush Avenue, Brooklyn NY 11226(40.649602, -73.957173)",,,,,,,14,,0.72,,,,,,,,0.84,,,,0.82,,,,,,,,,,,,,,,,,,,,
Y01T,,,,,,Bronx,18,,,,,,,,,,"456 White Plains Road, Bronx NY 10473(40.815043, -73.85607)",,,,,,,9,,0.49,1.0,,,,,,,0.75,,,,0.7,,,,,,,,,,,,,,,,,,,,
K63X,,,,,,Brooklyn,42,,,,,,,,,,"400 Pennsylvania Avenue, Brooklyn NY 11207(40.666868, -73.895122)",,,,,,,5,,0.81,,,,,,,,0.74,,,,0.64,,,,,,,,,,,,,,,,,,,,
L75A,,,,,,Manhattan,3,,,,,,,,,,"850 10th Avenue, Manhattan NY 10019(40.767848, -73.98861)",,,,,,,4,,0.83,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,
Q19A,,,,"This academy offers students the opportunity to study legal writing, civil, criminal, and constitutional law while developing higher order critical thinking and communication skills as they prepare for college and career. Students can participate in internships, jobsite visits, mock trial, and moot court.",11,Forest Hills,29,,,,,,,,,,"67-01 110th Street, Forest Hills NY 11375(40.730017, -73.843972)",Guaranteed offer to students who live in the zoned area,Y,Open only to Queens students or residents,Y,4,,6,Q19M,0.91,,Attendance,Performing Arts,,,,,0.9,,,149,0.88,26,Y,Punctuality,,9,,,546,,,,Screened: Language,,No,,Drama Academy,N/A - zoned program,44,Law Academy,27
Y72A,,,,,,Bronx,8,,,,,,,,,,"360 East 145th Street, Bronx NY 10454(40.813612, -73.920851)",,,Open only to continuing eighth graders,Y,,,1,,0.79,,,,,,,,0.9,,,136,0.92,N/A - continuing program,Y,,,,,,,,,,Ed. Opt.,,No,,,,,,
Y28A,,,,,,Bronx,17,,,,,,,,,,"928 Simpson Street, Bronx NY 10459(40.820388, -73.892961)",,,,,,,2,,0.72,,,,,,,,0.84,,,N/A - continuing program,0.64,,Y,,,,,,,,,,For Continuing 8th Graders,,No,,,,,,
X26A,,,,,,Bronx,13,,,,,,,,,,"3000 East Tremont Avenue, Bronx NY 10461(40.839775, -73.839583)",,,,,,,10,,0.61,,,,,,,,0.83,,,,0.71,,,,,,,,,,,,,,,,,,,,
K76A,,,,,,Brooklyn,48,,,,,,,,,,"1830 Shore Boulevard, Brooklyn NY 11235(40.578356, -73.934449)",,,,,,,15,,0.81,,,,,,,,0.96,,,,0.94,,,,,,,,,,,,,,,,,,,,
X36A,,,,,,Bronx,16,,,,,,,,,,"1110 Boston Road, Bronx NY 10456(40.827455, -73.90392)",,,,,,,3,,0.83,,,,,,,,0.8,,,,0.8,,,,,,,,,,,,,,,,,,,,
X28A,,,,,,Bronx,10,,,,,,,,,,"99 Terrace View Avenue, Bronx NY 10463(40.877379, -73.912686)",,,,,,,8,,0.6,,,,,,,,0.8,,,,0.77,,,,,,,,,,,,,,,,,,,,
M51A,Writing Exercise (on-site),,,,,Manhattan,2,,,,,,,,,,"525 East Houston Street, Manhattan NY 10002(40.718276, -73.976093)",,,,,,,3,,0.9,,,,,Math Test (on-site),,,0.95,,,,0.99,,,,,,,,,,,,,,,,,,,,
Q72A,,,,,,Rockaway Park,32,"Standardized Test Scores: English Language Arts, Math",-95% of offers went to this group,,,,"Course Grades: English, Math, Science, Social Studies",Attendance,,"Course Grades: English, Math, Science, Social Studies","320 Beach 104th Street, Rockaway Park NY 11694(40.584543, -73.825162)",,,,,,,14,,0.88,,Attendance,,,"Standardized Test Scores: English Language Arts, Math",,,0.95,,,,1.0,,,Punctuality,Punctuality,,,,,,,,,,,,,,,,
M37X,,,,,,Manhattan,1,,,,,,,,,,"350 Grand Street, Manhattan NY 10002(40.717329, -73.989329)",,,,,,,3,,0.87,,,,,,,,0.87,,,,0.83,,,,,,,,,,,,,,,,,,,,
Q38K,,,,Zoned students will have opportunities to choose from our three-year institutes-Health Science Research; Engineering and Robotics; and Law and Humanities.,,Queens Village,23,,,,,,,,,,"230-17 Hillside Avenue, Queens Village NY 11427(40.733888, -73.739726)",,,,N,,,13,Q38Z,0.76,,,,,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.5-4.5)",,,0.87,,,63,0.67,17,N,,,,Priority to Queens students or residents,,N/A - zoned program,,,,Ed. Opt.,,Yes-10,,,,,Zoned,N/A - zoned program
X02R,,,,,,Bronx,12,,,,,,,,,,"921 East 228th Street, Bronx NY 10466(40.888242, -73.852714)",,,,,,,12,,0.4,,,,,,,,0.81,,,,0.65,,,,,,,,,,,,,,,,,,,,
M55A,Essay (online),,,,,Manhattan,6,,,,,,,,,,"122 Amsterdam Avenue, Manhattan NY 10023(40.774891, -73.985608)",,,,,,,7,,0.77,,,,,"Standardized Test Scores: English Language Arts (4.0-4.5), Math (3.7-4.5)",,,0.97,,,,0.99,,,,,,,,,,,,,,,,,,,,
Q50A,,,,,,Jamaica,28,,,,,,,,,,"156-10 Baisley Boulevard, Jamaica NY 11434(40.673949, -73.782684)",,,,,,,12,,0.6,,,,,,,,0.82,,,51,0.63,,N,,,,,,,,,,Open,,Yes-6,,,,,,
M27A,,,,,,Manhattan,1,,,,,,,,,,"145 Stanton Street, Manhattan NY 10002(40.72004, -73.986038)",,,,,,,3,,0.64,,,,,,,,0.79,,,,0.74,,,,,,,,,,,,,,,,,,,,
Q09A,,,,,,Saint Albans,27,,-94% of offers went to this group,,,,,,,,"109-89 204th Street, Saint Albans NY 11412(40.705989, -73.752885)",,,,,,,12,,0.64,,,,,,,,0.91,,,24,0.66,,N,,,,,,,,,,Ed. Opt.,,No,,,,,,
L21A,,,,,,Brooklyn,40,,,,,,,,,,"911 Flatbush Avenue, Brooklyn NY 11226(40.649602, -73.957173)",,,,,,,14,,0.67,,,,,,,,0.84,,,N/A - continuing program,0.64,,Y,,,,,,,,,,For Continuing 8th Graders,,No,,,,,,
K47J,,,,"The Vocal Studio is an intensive study of music theory, vocal production and performance, and utilizes a repertoire that includes classical, jazz, gospel, contemporary, and folk. We offer multiple levels of choir, exploring all styles from traditional choral greats to pop music of today. Choirs perform regularly at professional venues throughout New York City. The Select Choir studies and performs NYSSMA level five or six pieces, and participates annually in the NYSSMA competition.",4,Brooklyn,33,,-98% of offers went to this group,,,,,Audition,"Perform a song without accompaniment. Audition includes on-site music tasks (e.g., sing back melodic patterns and tap back rhythmic patterns).",,"345 Dean Street, Brooklyn NY 11217(40.683951, -73.980266)",,Y,,Y,,,2,K47M,0.75,,Audition,,,,,,0.92,,,16,0.85,9,N,,,4,Priority to Brooklyn students or residents,,39,,Then to New York City residents,,Audition,,Yes-10,,Drama,,29,Vocal Music,6
Q71A,,Written Contact with School,,,,Long Island City,26,Demonstrated Interest: School Visit,-100% of offers went to this group,,,,"Standardized Test Scores: English Language Arts (2.8-4.5), Math (2.7-4.5)",Attendance,,"Standardized Test Scores: English Language Arts (2.8-4.5), Math (2.7-4.5)","28-04 41st Avenue, Long Island City NY 11101(40.751144, -73.937564)",,,,,,,1,,0.72,,Attendance,,,,,,0.94,,,54,0.93,,Y,"Course Grades: English (80-100), Math (83-100), Science (80-100), Social Studies (84-100)","Course Grades: English (80-100), Math (83-100), Science (80-100), Social Studies (84-100)",,,,,,,,Screened,,Yes-14,,,,,,
Y32A,,,,,,Bronx,15,,,,,,,,,,"500 East Fordham Road, Bronx NY 10458(40.859466, -73.888625)",,,,,,,6,,0.93,,,,,,,,0.88,,,113,0.91,,Y,,,,,,,,,,Open,,No,,,,,,
Q58A,,,,,,Queens Village,23,,-100% of offers went to this group,,,,,Geographic Proximity,,,"230-17 Hillside Avenue, Queens Village NY 11427(40.733888, -73.739726)",,,,,,,13,,0.64,,Geographic Proximity,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,
X83W,,,,,,Bronx,17,,,,,,,,,,"1716 Southern Boulevard, Bronx NY 10460(40.836821, -73.887688)",,,,,,,3,,0.67,,,,,,,,0.79,,,202,0.78,,Y,,,,,,,,,,Ed. Opt.,,No,,,,,,
Y58A,,,,,,Bronx,13,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.8-4.5)",,,,,,,,,"3000 East Tremont Avenue, Bronx NY 10461(40.839775, -73.839583)",,,,,,,10,,0.65,,,,,,,,0.87,,,23,0.74,,N,,,,,,,,,,Screened,,Yes-7,,,,,,
NO CODE,,,199.0,,,Manhattan,9,,,,,,,,,,"240 Convent Avenue, Manhattan NY 10031(40.820208, -73.950354)",,,,,,,9,,0.83,,,,,,,,0.96,,,,0.99,,,,,,,,,,,,,,,,,,,,
M48A,,,,,,Manhattan,9,,,,,,,,,,"2005 Madison Avenue, Manhattan NY 10035(40.807019, -73.938714)",,,,,,,11,,0.65,,,,,,,,0.85,,,,0.75,,,,,,,,,,,,,,,,,,,,
K27A,,,,,,Brooklyn,39,,,,,,,,,,"237 7th Avenue, Brooklyn NY 11215(40.669255, -73.97858)",,,,,,,6,,0.67,,,,,,,,0.87,,,N/A - continuing program,0.64,,Y,,,,,,,,,,For Continuing 8th Graders,,No,,,,,,
L40A,,,,,,Brooklyn,37,,,,,,,,,,"999 Jamaica Avenue, Brooklyn NY 11208(40.693002, -73.869305)",,,,,,,5,,0.85,,,,,,,,0.9,,,4,0.62,,N,,,,,,,,,,Screened: Language,,No,,,,,,
Q23A,,,,"Students are immersed in rich, meaningful STEM experiences through interdisciplinary coursework applied in the context of the real world through business and community partnerships. Students will not only learn to apply knowledge, but they will also learn about a wide range of STEM careers, develop professional communication skills, and develop their ability to apply technology to real world situations.",3,Ridgewood,30,,-97% of offers went to this group,,,,,,,,"21-27 Himrod Street, Ridgewood NY 11385(40.711881, -73.909202)",,N,,N,N/A - zoned program,,5,Q23J,0.78,,,Zoned,,,,,0.83,,,33,0.63,8,N,,,3,Priority to Queens students or residents,,22,,Then to New York City residents,,Ed. Opt.,,Yes-50,,Academy of Allied Health,,25,STEM Academy,3
M84A,,,,,,Manhattan,2,,,,,,,,,,"111 East 33rd Street, Manhattan NY 10016(40.74651, -73.98107)",,,,,,,5,,0.64,,,,,,,,0.84,,,,0.77,,,,,,,,,,,,,,,,,,,,
X14J,,,,,,Bronx,17,,,,,,,,,,"600 Saint Ann's Avenue, Bronx NY 10455(40.814857, -73.912038)",,,,,,,1,,0.63,,,,,,,,0.91,,,,0.84,,,,,,,,,,,,,,,,,,,,
Y29A,,,,,,Bronx,16,,,,,,,,,,"1595 Bathgate Avenue, Bronx NY 10457(40.839508, -73.901774)",,,,,,,3,,0.72,,,,,,,,0.86,,,N/A - continuing program,0.86,,Y,,,,,,,,,,For Continuing 8th Graders,,No,,,,,,
M67B,,,,,,Manhattan,3,,,,,,,,,,"131 Avenue Of The Americas, Manhattan NY 10013(40.72463, -74.005058)",,,,,,,2,,0.66,,,,,Standardized Test Scores: Average (2.0-4.5),,,0.86,,,171,0.75,,Y,,,,,,,,,,Ed. Opt.,,Yes-6,,,,,,
Y51A,,,,,,Bronx,17,,,,,,,,,,"333 East 151st Street, Bronx NY 10451(40.818645, -73.919949)",,,,,,,1,,0.67,,,,,,,,0.76,,,65,0.54,,Y,,,,,,,,,,Ed. Opt.,,No,,,,,,
Y31B,,,,,,Bronx,14,,,,,,,,,,"1700 Macombs Road, Bronx NY 10453(40.849416, -73.915217)",,,"Open only to New York City residents who have lived in the United States four years or fewer, whose home language is Spanish and are of limited English proficiency",Y,,,5,,0.83,,,,,,,,0.89,,,50,0.96,7,Y,,,,,,,,,,Screened: Language,,No,,,,,,
