address_1,latitude,longitude,wholesale_club_supercenter_1,_3rd_largest_property_use_1,third_party_certification_2,nyc_borough_block_and_lot,hospital_general_medical_5,medical_office_weekly,last_modified_date_electric,alert_energy_meter_has,council_district,energy_star_score,electricity_use_generated_2,source_eui_kbtu_ft,estimated_data_flag_fuel_2,multifamily_housing_number_1,multifamily_housing_number_7,multifamily_housing_total_1,property_gfa_calculated_1,fuel_oil_4_use_kbtu,hospital_general_medical_8,fuel_oil_5_6_use_kbtu,estimated_values_energy,postcode,avoided_emissions_offsite,release_date,_3rd_largest_property_use,leed_us_project_id,municipally_supplied_potable_2,data_center_pdu_input_meter,electricity_use_grid_purchase_1,construction_status,enclosed_mall_gross_floor,hospital_general_medical_11,primary_property_type,data_quality_checker_date,property_gfa_calculated,annual_maximum_demand_mm,parking_completely_enclosed,medical_office_number_of_2,convention_center_gross_floor,metered_areas_energy,supermarket_grocery_gross,municipally_supplied_potable_3,multifamily_housing_total,other_gross_floor_area_ft,national_median_source_eui
6500 16th Avenue,40.62191,-73.995022,Not Available,Not Available,Not Available,3055510018,Not Available,Not Available,04/17/2020 10:26 AM EDT,Ok,38.0,64,Not Available,95.8,Not Available,Not Available,Not Available,Not Available,146400.0,Not Available,Not Available,Not Available,No,11204,0,2020-08-28T16:28:36.000,Not Available,Not Available,8326.7,Not Available,697599.9,Existing,Not Available,Not Available,K-12 School,Not Available,146400.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,112.0
24-01 44th Road,40.748206,-73.943731,Not Available,Not Available,Not Available,4004350001,Not Available,Not Available,04/13/2020 01:12 PM EDT,Ok,26.0,85,Not Available,151.4,Not Available,Not Available,Not Available,Not Available,275252.0,Not Available,Not Available,Not Available,No,11101,1224.9,2020-04-13T16:29:00.000,Not Available,Not Available,3908.8,0,3702249.4,Existing,Not Available,Not Available,Office,2020-04-13,275252.0,08/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,250.5
2609 East 7th Street,40.586845,-73.96198,Not Available,Not Available,Not Available,3072440001,Not Available,Not Available,04/17/2020 10:28 AM EDT,Ok,48.0,65,Not Available,110.6,Not Available,Not Available,Not Available,Not Available,82800.0,Not Available,Not Available,Not Available,No,11235,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,360959.9,Existing,Not Available,Not Available,K-12 School,Not Available,82800.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,130.1
445 Beach 135th Street,40.577026,-73.854539,Not Available,Not Available,Not Available,4162580006,Not Available,Not Available,04/17/2020 12:54 PM EDT,Ok,32.0,76,Not Available,107,Not Available,Not Available,Not Available,Not Available,28800.0,Not Available,Not Available,Not Available,No,11694,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,127120,Existing,Not Available,Not Available,K-12 School,Not Available,28800.0,07/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,144.4
37-15 13th Street,40.758831,-73.93938,Not Available,Not Available,Not Available,4003630001,Not Available,Not Available,08/18/2020 08:03 PM EDT,Ok,26.0,65,Not Available,108.9,Not Available,Not Available,Not Available,Not Available,104500.0,Not Available,Not Available,Not Available,No,11101,0,2020-08-28T16:28:36.000,Not Available,Not Available,20282.9,Not Available,518799.9,Existing,Not Available,Not Available,K-12 School,Not Available,104500.0,06/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,127.9
1155  Avenue  of  the  Americas,40.756631,-73.982826,Not Available,Not Available,Not Available,1009970029,Not Available,Not Available,04/29/2020 01:07 PM EDT,Ok,4.0,80,Not Available,119.8,Not Available,Not Available,Not Available,Not Available,684986.0,Not Available,Not Available,Not Available,No,10036,0,2020-05-28T11:31:28.000,Not Available,Not Available,Not Available,Not Available,7478830.4,Existing,Not Available,Not Available,Office,Not Available,684986.0,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,193.8
42-00 72nd Street,40.742633,-73.892805,Not Available,Not Available,Not Available,4013490028,Not Available,Not Available,04/10/2020 04:27 PM EDT,Ok,26.0,34,Not Available,152.8,No,Not Available,Not Available,Not Available,116105.0,Not Available,Not Available,Not Available,No,11377,0,2020-08-28T16:28:36.000,Not Available,Not Available,9126.7,Not Available,1166799.9,Existing,Not Available,Not Available,K-12 School,Not Available,116105.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,130.9
71 Sullivan Street,40.677343,-74.011558,Not Available,Not Available,Not Available,3005660001,Not Available,Not Available,04/14/2020 02:38 PM EDT,Ok,38.0,82,Not Available,92.9,No,Not Available,Not Available,Not Available,96000.0,Not Available,Not Available,Not Available,No,11231,0,2020-08-28T16:28:36.000,Not Available,Not Available,1046.4,Not Available,475600,Existing,Not Available,Not Available,K-12 School,Not Available,96000.0,11/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,138.1
180 7th Avenue,40.67146,-73.977783,Not Available,Not Available,Not Available,3009710028,Not Available,Not Available,04/14/2020 02:38 PM EDT,Ok,39.0,82,Not Available,93.5,No,Not Available,Not Available,Not Available,109200.0,3796000.3,Not Available,Not Available,No,11215,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,591399.9,Existing,Not Available,Not Available,K-12 School,Not Available,109200.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,139.1
1010 Lafayette Avenue,40.69211,-73.931857,Not Available,Not Available,Not Available,3016160001,Not Available,Not Available,04/14/2020 02:37 PM EDT,Ok,36.0,88,Not Available,70.6,No,Not Available,Not Available,Not Available,148800.0,Not Available,Not Available,Not Available,No,11221,0,2020-05-01T21:54:16.000,Not Available,Not Available,6125.9,Not Available,562799.9,Existing,Not Available,Not Available,K-12 School,Not Available,148800.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,117.5
1290 Spofford Avenue,40.814425,-73.886953,Not Available,Not Available,Not Available,2027660001,Not Available,Not Available,04/10/2020 05:35 PM EDT,Ok,17.0,45,Not Available,104.5,Not Available,Not Available,Not Available,Not Available,102060.0,Not Available,Not Available,Not Available,No,10474,0,2020-08-28T16:28:36.000,Not Available,Not Available,3.6,Not Available,395760,Existing,Not Available,Not Available,K-12 School,Not Available,102060.0,03/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,100.0
159-15 88th Street,40.658089,-73.844432,Not Available,Not Available,Not Available,4140090060,Not Available,Not Available,04/17/2020 12:53 PM EDT,Ok,32.0,83,Not Available,68.8,Not Available,Not Available,Not Available,Not Available,105050.0,Not Available,Not Available,Not Available,No,11414,0,2020-05-01T21:54:16.000,Not Available,Not Available,5453.8,Not Available,349440,Existing,Not Available,Not Available,K-12 School,Not Available,105050.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,104.2
684 Linden Boulevard,40.65364,-73.933114,Not Available,Not Available,Not Available,3046730001,Not Available,Not Available,04/17/2020 10:27 AM EDT,Ok,41.0,24,Not Available,141.8,Not Available,Not Available,Not Available,Not Available,69600.0,Not Available,Not Available,Not Available,No,11203,0,2020-08-28T16:28:36.000,Not Available,Not Available,56.1,Not Available,358559.9,Existing,Not Available,Not Available,K-12 School,Not Available,69600.0,08/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,108.4
29 Fort Greene Place,40.688834,-73.976905,Not Available,Not Available,Not Available,3020980013,Not Available,Not Available,04/14/2020 02:39 PM EDT,Ok,35.0,53,Not Available,116.5,No,Not Available,Not Available,Not Available,712800.0,Not Available,Not Available,Not Available,No,11217,0,2020-08-28T16:28:36.000,Not Available,Not Available,97613.8,Not Available,3159999.6,Existing,Not Available,Not Available,K-12 School,Not Available,712800.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,120.9
800 Van Sicklen Avenue,,,Not Available,Not Available,Not Available,3043530050,Not Available,Not Available,04/14/2020 02:37 PM EDT,Ok,,84,Not Available,95.8,No,Not Available,Not Available,Not Available,171600.0,7580305.7,Not Available,Not Available,No,11204,0,2020-09-01T09:23:22.000,Not Available,Not Available,7326.9,Not Available,868799.9,Existing,Not Available,Not Available,K-12 School,Not Available,171600.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,146.0
1615 Madison Avenue,40.795146,-73.948368,Not Available,Not Available,Not Available,1016140021,Not Available,Not Available,04/13/2020 05:47 PM EDT,Ok,8.0,88,Not Available,77.2,No,Not Available,Not Available,Not Available,105725.0,Not Available,Not Available,Not Available,No,10029,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,339300,Existing,Not Available,Not Available,K-12 School,Not Available,105725.0,01/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,127.4
250 East 164th Street,40.828696,-73.917668,Not Available,Not Available,Not Available,2024460043,Not Available,Not Available,04/10/2020 05:34 PM EDT,Ok,16.0,76,Not Available,96.8,No,Not Available,Not Available,Not Available,188575.0,8755327.8,Not Available,Not Available,No,10456,0,2020-05-01T21:54:16.000,Not Available,Not Available,4347789.8,Not Available,957599.9,Existing,Not Available,Not Available,K-12 School,Not Available,188575.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,130.4
415 89th Street,40.619931,-74.028086,Not Available,Not Available,Not Available,3060650043,Not Available,Not Available,04/17/2020 10:27 AM EDT,Ok,43.0,12,Not Available,227.4,Not Available,Not Available,Not Available,Not Available,62180.0,Not Available,Not Available,Not Available,No,11209,0,2020-08-28T16:28:36.000,Not Available,Not Available,8656.7,Not Available,833199.9,Existing,Not Available,Not Available,K-12 School,Not Available,62180.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,148.2
885 Bolton Avenue,40.823526,-73.859662,Not Available,Not Available,Not Available,2036440001,Not Available,Not Available,04/10/2020 05:35 PM EDT,Ok,18.0,87,210906.1,66.6,No,Not Available,Not Available,Not Available,184975.0,0,Not Available,Not Available,No,10473,0,2020-05-01T21:54:16.000,Not Available,Not Available,41114.5,Not Available,665599.9,Existing,Not Available,Not Available,K-12 School,Not Available,184975.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,108.3
1116 Sheridan Avenue,40.831992,-73.91796,Not Available,Not Available,Not Available,2024560100,Not Available,Not Available,04/10/2020 05:36 PM EDT,Ok,16.0,78,Not Available,96,Not Available,Not Available,Not Available,Not Available,124900.0,Not Available,Not Available,Not Available,No,10456,0,2020-08-28T16:28:36.000,Not Available,Not Available,10620.8,Not Available,605599.9,Existing,Not Available,Not Available,K-12 School,Not Available,124900.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,132.6
18-25 212th Street,40.782298,-73.779099,Not Available,Not Available,Not Available,4058650050,Not Available,Not Available,04/10/2020 04:27 PM EDT,Ok,19.0,58,Not Available,97.5,No,Not Available,Not Available,Not Available,92575.0,4785208.8,Not Available,Not Available,No,11360,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,402330,Existing,Not Available,Not Available,K-12 School,Not Available,92575.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,106.3
345 Van Sicklen Street,40.595698,-73.97518,Not Available,Not Available,Not Available,3071230066,Not Available,Not Available,04/17/2020 10:27 AM EDT,Ok,47.0,75,Not Available,105.7,No,Not Available,Not Available,Not Available,106800.0,5941470.2,Not Available,Not Available,No,11223,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,535359.9,Existing,Not Available,Not Available,K-12 School,Not Available,106800.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,141.7
970 Vermont Street,40.655997,-73.886547,Not Available,Not Available,Not Available,3043920001,Not Available,Not Available,04/14/2020 02:38 PM EDT,Ok,42.0,48,Not Available,111.6,No,Not Available,Not Available,Not Available,112800.0,7462205.7,Not Available,Not Available,No,11207,0,2020-05-01T21:54:16.000,Not Available,Not Available,Not Available,Not Available,523999.9,Existing,Not Available,Not Available,K-12 School,Not Available,112800.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,109.6
909 Third Avenue,40.758744,-73.968618,Not Available,Not Available,Not Available,1013280001,Not Available,Not Available,07/20/2020 06:08 PM EDT,Ok,4.0,79,Not Available,155.4,Not Available,Not Available,Not Available,Not Available,1111632.0,Not Available,Not Available,Not Available,No,10012,0,2020-07-30T09:19:42.000,Not Available,Not Available,15438.1,0,14617311.8,Existing,Not Available,Not Available,Office,2020-07-30,1111632.0,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,236.3
71-25 113th Street,40.722782,-73.837946,Not Available,Not Available,Not Available,4022480100,Not Available,Not Available,04/17/2020 12:54 PM EDT,Ok,29.0,34,Not Available,120.2,No,Not Available,Not Available,Not Available,112800.0,3650146,Not Available,Not Available,No,11375,0,2020-05-01T21:54:16.000,Not Available,Not Available,17582.8,Not Available,890400,Existing,Not Available,Not Available,K-12 School,Not Available,112800.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,102.8
98-01 25th Avenue,40.764646,-73.871641,Not Available,Not Available,Not Available,4011090016,Not Available,Not Available,04/10/2020 04:27 PM EDT,Ok,21.0,43,Not Available,119.5,Not Available,Not Available,Not Available,Not Available,111725.0,Not Available,Not Available,Not Available,No,11369,0,2020-05-01T21:54:16.000,Not Available,Not Available,8072.4,Not Available,517599.9,Existing,Not Available,Not Available,K-12 School,Not Available,111725.0,06/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,112.1
161 Park Avenue,40.636598,-74.132919,Not Available,Not Available,Not Available,5010200001,Not Available,Not Available,04/17/2020 12:53 PM EDT,Ok,49.0,60,Not Available,145.1,No,Not Available,Not Available,Not Available,34880.0,2071301.9,Not Available,Not Available,No,10302,0,2020-08-28T16:28:36.000,Not Available,Not Available,0,Not Available,288960,Existing,Not Available,Not Available,K-12 School,Not Available,34880.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,162.1
1 Wells Street,40.678276,-73.87596,Not Available,Not Available,Not Available,3041550075,Not Available,Not Available,04/14/2020 02:37 PM EDT,Ok,37.0,68,Not Available,108.1,No,Not Available,Not Available,Not Available,212400.0,11954187.9,Not Available,Not Available,No,11208,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,1122799.9,Existing,Not Available,Not Available,K-12 School,Not Available,212400.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,131.5
1100 Newkirk Avenue,40.63398,-73.966558,Not Available,Not Available,Not Available,3052320001,Not Available,Not Available,04/17/2020 10:28 AM EDT,Ok,40.0,27,Not Available,141.1,Not Available,Not Available,Not Available,Not Available,132000.0,Not Available,Not Available,Not Available,No,11230,0,2020-08-28T16:28:36.000,Not Available,Not Available,9157.1,Not Available,1087200,Existing,Not Available,Not Available,K-12 School,Not Available,132000.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,112.5
155-02 108th Avenue,40.694119,-73.797003,Not Available,Not Available,Not Available,4101440042,Not Available,Not Available,04/17/2020 12:54 PM EDT,Ok,28.0,69,Not Available,114.6,Not Available,Not Available,Not Available,Not Available,44460.0,Not Available,Not Available,Not Available,No,11433,0,2020-08-28T16:28:36.000,Not Available,Not Available,5590.2,Not Available,224160,Existing,Not Available,Not Available,K-12 School,Not Available,44460.0,07/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,141.7
51 Madison Avenue,40.743023,-73.986402,Not Available,Not Available,Not Available,1008560024,Not Available,Not Available,04/22/2020 04:36 PM EDT,Ok,2.0,79,Not Available,153.1,Not Available,Not Available,Not Available,Not Available,1513807.0,Not Available,Not Available,Not Available,No,10010,0,2020-04-23T09:08:37.000,Not Available,Not Available,Not Available,Not Available,17703040.6,Existing,Not Available,Not Available,Office,2020-04-23,1513807.0,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,240.7
40 W 225TH ST #50,40.873644,-73.907962,Not Available,Not Available,Not Available,2032450060,Not Available,Not Available,09/24/2020 03:06 PM EDT,Ok,10.0,63,Not Available,198.5,Not Available,Not Available,Not Available,Not Available,157011.0,Not Available,Not Available,Not Available,No,10463,0,2020-10-28T14:28:11.000,Not Available,Not Available,1048,Not Available,2951107.8,Existing,Not Available,Not Available,Retail Store,2020-10-28,286649.0,Not Available,0,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,226.5
244 East 163rd Street,40.827607,-73.918681,Not Available,Not Available,Not Available,2024450006,Not Available,Not Available,04/10/2020 05:35 PM EDT,Ok,16.0,15,Not Available,209.1,Not Available,Not Available,Not Available,Not Available,135600.0,Not Available,Not Available,Not Available,No,10451,0,2020-08-28T16:28:36.000,Not Available,Not Available,21341.7,Not Available,2468399.8,Existing,Not Available,Not Available,K-12 School,Not Available,135600.0,07/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,141.5
888 Rev J A Polite Avenue,40.820403,-73.898912,Not Available,Not Available,Not Available,2026960085,Not Available,Not Available,04/10/2020 05:35 PM EDT,Ok,17.0,92,Not Available,71.8,Not Available,Not Available,Not Available,Not Available,135700.0,Not Available,Not Available,Not Available,No,10459,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,467999.9,Existing,Not Available,Not Available,K-12 School,Not Available,135700.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,131.5
432 Monroe Street,40.686592,-73.940747,Not Available,Not Available,Not Available,3018210001,Not Available,Not Available,04/14/2020 02:37 PM EDT,Ok,36.0,85,Not Available,89.2,No,Not Available,Not Available,Not Available,98400.0,Not Available,Not Available,Not Available,No,11221,0,2020-08-28T16:28:36.000,Not Available,Not Available,5084.3,Not Available,486799.9,Existing,Not Available,Not Available,K-12 School,Not Available,98400.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,140.2
7000 21st Avenue,40.612273,-73.986713,Not Available,Not Available,Not Available,3061740036,Not Available,Not Available,04/17/2020 10:27 AM EDT,Ok,47.0,70,Not Available,121.6,Not Available,Not Available,Not Available,Not Available,66000.0,Not Available,Not Available,Not Available,No,11204,0,2020-08-28T16:28:36.000,Not Available,Not Available,3194.3,Not Available,507359.9,Existing,Not Available,Not Available,K-12 School,Not Available,66000.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,152.1
1935 Bussing Avenue,40.895104,-73.845968,Not Available,Not Available,Not Available,2050180001,Not Available,Not Available,04/10/2020 05:36 PM EDT,Ok,12.0,62,Not Available,110.2,Not Available,Not Available,Not Available,Not Available,58260.0,Not Available,Not Available,Not Available,No,10466,0,2020-08-28T16:28:36.000,Not Available,Not Available,4616.6,Not Available,340320,Existing,Not Available,Not Available,K-12 School,Not Available,58260.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,125.9
200  East  42nd  St.,40.750698,-73.974306,Not Available,2115,Not Available,1013150001,Not Available,Not Available,04/29/2020 01:07 PM EDT,Ok,4.0,68,Not Available,187.5,Not Available,Not Available,Not Available,Not Available,384432.0,Not Available,Not Available,Not Available,No,10017,0,2020-05-28T11:31:28.000,Bank Branch,Not Available,7310.6,Not Available,5145089.8,Existing,Not Available,Not Available,Office,Not Available,384432.0,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,242.3
123 Ridge Street,40.71925,-73.983056,Not Available,Not Available,Not Available,1003440001,Not Available,Not Available,04/13/2020 05:47 PM EDT,Ok,1.0,76,Not Available,73.2,Not Available,Not Available,Not Available,Not Available,99481.0,Not Available,Not Available,Not Available,No,10002,0,2020-08-28T16:28:36.000,Not Available,Not Available,6686.4,Not Available,452319.9,Existing,Not Available,Not Available,K-12 School,Not Available,99481.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,98.6
1560 Purdy Street,40.837931,-73.853524,Not Available,Not Available,Not Available,2039480055,Not Available,Not Available,04/10/2020 05:35 PM EDT,Ok,18.0,54,Not Available,113.1,No,Not Available,Not Available,Not Available,153725.0,9347649.9,Not Available,Not Available,No,10462,0,2020-05-01T21:54:16.000,Not Available,Not Available,1970.1,Not Available,778239.9,Existing,Not Available,Not Available,K-12 School,Not Available,153725.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,118.4
515 Knickerbocker Avenue,40.697779,-73.916521,Not Available,Not Available,Not Available,3033170001,Not Available,Not Available,04/14/2020 02:38 PM EDT,Ok,37.0,87,Not Available,81.3,No,Not Available,Not Available,Not Available,60000.0,2328116,Not Available,Not Available,No,11237,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,260320,Existing,Not Available,Not Available,K-12 School,Not Available,60000.0,07/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,133.2
