q1_1,q10_r2_c2,q23_c3_r4,q13_1,q15_c11_r4,q10_r3_c1,q21_c2_r4,q17_c5_r1,q9_19,q23_c5_r4,q18_c2_r1,q20_c3_r4,q18_c3_r3,q3_3,q6_1,q14_c1_r2,q20_c10_r3,q20_c1_r3,q21_c11_r2,q21_c8_r2,q15_c9_r4,q17_c12_r1,q17_c3_r1,q15_c8_r2,q17_c6_r4,q18_c5_r4,q17_c11_r4,q18_c8_r1,q17_c7_r1,q9_17,q21_c13_r4,q18_c7_r3,q21_c9_r2,q15_c2_r2,q15_c6_r2,q18_c7_r1,q17_c7_r4,q18_c3_r1,q17_c6_r1,q18_c1_r3,q17_c5_r4,q15_c4_r4,q21_c7_r2,q20_c10_r4,q20_c10_r1,q17_c1_r1,q18_c10_r3,q9_16,q23_c1_r4,q12_c1_r4,q15_c10_r3,q8_r4_c2,q15_c4_r2,q18_c4_r3,q21_c4_r3,q20_c10_r2,q18_c7_r4,q11_r1_c2,q21_c10_r3,q22_1,q21_c6_r4,q15_c11_r3,q15_c12_r2,q9_9,q18_c10_r2,q11_r3_c3,q21_c10_r4,q17_c10_r3,q20_c8_r3,q18_c2_r2,q17_c10_r2,q10_r4_c2,q20_c5_r3,q15_c5_r4,q23_c1_r3,q15_c3_r3,q16_2,q21_c7_r4,q20_c2_r2,q12_c1_r2,q12_c1_r1,q18_c9_r1,q20_c5_r4,q14_c1_r1,q8_r2_c1,q17_c12_r3
R,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Kiersten,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Simone,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Chavy,0,,0,,0,11-20 hrs,,1,,1-10 hrs,,1-10 hrs,0,0,,,,,,,,,,,,,,,1,,,,1-10 hrs,,,,1-10 hrs,,1-10 hrs,,,,,,,,0,,11-20 hrs,,1.0,,,,,,1,,0,,,,0,,1,,,,1-10 hrs,,0,,,,1-10 hrs,1,,,1-10 hrs,1-10 hrs,,,,1.0,
Erik,0,,0,,0,0 hrs,,0,,0 hrs,,,0,0,,,,,,,,,,,,,,,0,,,,0 hrs,,,,,,0 hrs,,,,,,,,0,,0 hrs,,0.0,,,,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,,0,,,0 hrs,0 hrs,,,,1.0,
Domenic,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Torianna,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Almarie,0,,0,,0,0 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,,,,,,,0 hrs,,,,0,,,,0 hrs,,,,0 hrs,,0 hrs,,0 hrs,,,,,,0,,0 hrs,,1.0,0 hrs,0 hrs,0 hrs,,,1,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,0 hrs,,,,1.0,
Julie,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Latishia,0,,0,,0,0 hrs,,0,,1-10 hrs,,0 hrs,0,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,1-10 hrs,,0 hrs,,1-10 hrs,,,,,,0,,1-10 hrs,,1.0,0 hrs,0 hrs,0 hrs,,,1,,0,,,,0,,0,,,,81-90 hrs,,0,,,,0 hrs,1,,,1-10 hrs,1-10 hrs,,,,20.0,
Rondi,0,,0,,0,,,0,,,,,1,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
jennifer,0,,0,,0,0 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,,,,,,,,,,,0,,,,0 hrs,,,,0 hrs,,0 hrs,,,,,,,,0,,0 hrs,,0.0,,,,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,,1,,,0 hrs,0 hrs,,,,1.0,
Suleikis,0,,0,,0,0 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,,,,,,,0 hrs,,,,1,,,,0 hrs,,,,0 hrs,,0 hrs,,0 hrs,,,,,,0,,0 hrs,,0.0,0 hrs,0 hrs,0 hrs,,,0,,0,,,,0,,0,,,,0 hrs,,0,,0 hrs,,0 hrs,1,,,0 hrs,0 hrs,,,,1.0,
Jeremy,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Rosemarie,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Hilda,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Danielle,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,2.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Dawn,0,,0,,0,0 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,,,,,0 hrs,,0 hrs,,,,0,,,,0 hrs,0 hrs,,,0 hrs,,0 hrs,,0 hrs,0 hrs,,,,,0,,0 hrs,,0.0,0 hrs,1-10 hrs,1-10 hrs,,,0,,0,0 hrs,,,0,,0,,,,0 hrs,,0,,0 hrs,,1-10 hrs,1,0 hrs,,0 hrs,0 hrs,,,,0.0,
Nancy,0,,0,,0,0 hrs,,1,,11-20 hrs,,,0,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,,,0 hrs,,,,,,,,0,,0 hrs,,,,,,,,1,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,11-20 hrs,,,,1.0,
Roy,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,3.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Pamela,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Jaichand,0,,0,,0,0 hrs,,0,,31-40 hrs,,31-40 hrs,0,0,,,,,,,,,,,0 hrs,,,,0,,,,21-30 hrs,,,,31-40 hrs,,31-40 hrs,,0 hrs,,,,,,0,,0 hrs,,0.0,31-40 hrs,31-40 hrs,31-40 hrs,,,0,,0,,,,0,,0,,,,31-40 hrs,,0,,,,21-30 hrs,1,,,31-40 hrs,31-40 hrs,,,,1.0,
Anthony,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Christina,0,,0,,0,0 hrs,,0,,0 hrs,,,0,0,,,,,,,,,,,,,,,0,,,,1-10 hrs,,,,,,0 hrs,,,,,,,,0,,0 hrs,,0.0,,,,,,1,,0,,,,0,,0,,,,0 hrs,,0,,,,,1,,,1-10 hrs,1-10 hrs,,,,0.0,
Michael,0,,0,,0,81-90 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,,,,,,,0 hrs,,,,0,,,,0 hrs,,,,0 hrs,,0 hrs,,0 hrs,,,,,,0,,0 hrs,,1.0,0 hrs,0 hrs,0 hrs,,,1,,0,,,,0,,0,,,,0 hrs,,0,,0 hrs,,0 hrs,1,,,0 hrs,0 hrs,,,,0.0,
Karen,0,,0,,0,0 hrs,,1,,1-10 hrs,,,0,0,,,,,,,,,,,,,,,0,,,,0 hrs,,,,,,0 hrs,,,,,,,,0,,0 hrs,,3.0,,,,,,1,,0,,,,0,,0,,,,1-10 hrs,,0,,,,,1,,,0 hrs,0 hrs,,,,0.0,
Eric,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
David,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Denise,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,3.0,
Dianna,0,,0,,0,31-40 hrs,,0,,1-10 hrs,,21-30 hrs,0,0,,,,,,,,,,,21-30 hrs,,,,1,,,,11-20 hrs,,,,1-10 hrs,,21-30 hrs,,21-30 hrs,,,,,,0,,21-30 hrs,,3.0,11-20 hrs,21-30 hrs,41-50 hrs,,,1,,0,,,,0,,1,,,,11-20 hrs,,0,,21-30 hrs,,21-30 hrs,1,,,11-20 hrs,1-10 hrs,,,,1.0,
Karen,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Scott,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Erik,0,,0,,0,21-30 hrs,,0,,0 hrs,,1-10 hrs,0,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,0 hrs,,1-10 hrs,,,,,,,,0,,1-10 hrs,,1.0,,,,,,1,,0,,,,0,,0,,,,0 hrs,,0,,,,,1,,,0 hrs,0 hrs,,,,1.0,
Adrienne,0,,0,,0,0 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,0 hrs,,0 hrs,,0 hrs,,,,,,0,,0 hrs,,0.0,0 hrs,0 hrs,21-30 hrs,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,0 hrs,,,,0.0,
Arnulfo,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Arlene,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Valerie,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,3.0,
Mary,0,,0,,0,41-50 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,51-60 hrs,,,,,,41-50 hrs,,,,0,,,,41-50 hrs,41-50 hrs,,,0 hrs,,0 hrs,,21-30 hrs,51-60 hrs,,,,,0,,0 hrs,,20.0,41-50 hrs,0 hrs,0 hrs,,,1,,0,41-50 hrs,,,0,,0,,,,41-50 hrs,,0,,21-30 hrs,,0 hrs,1,41-50 hrs,,0 hrs,0 hrs,,,,2.0,
Jane,0,,0,,0,21-30 hrs,,1,,31-40 hrs,,,0,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,,,0 hrs,,,,,,,,0,,21-30 hrs,,0.0,,,,,,1,,0,,,,0,,1,,,,0 hrs,,0,,,,,1,,,0 hrs,21-30 hrs,,,,1.0,
,0,,0,,0,0 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,,,,,,,,,,,0,,,,0 hrs,,,,0 hrs,,0 hrs,,0 hrs,,,,,,0,,21-30 hrs,,1.0,0 hrs,0 hrs,0 hrs,,,1,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,21-30 hrs,21-30 hrs,,,,2.0,
Jennifer,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,31-40 hrs,,,,,,,,0,,0 hrs,,,,,,,,0,,0,,,,0,,1,,,,,,0,,,,,1,,,0 hrs,31-40 hrs,,,,1.0,
carolyn ,0,,1,,0,,,0,,,,,0,0,0 hrs,,,,,,,0 hrs,,,,,,,0,,,,0 hrs,,,,,,,,0 hrs,,,,0 hrs,,0,,21-30 hrs,,0.0,0 hrs,,,,,1,,0,,,,0,,0,,,,,,0,,,,21-30 hrs,0,,,0 hrs,0 hrs,,,0 hrs,1.0,
Michelle,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,,,0 hrs,,,,,,,,0,,0 hrs,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,0 hrs,0 hrs,,,,0.0,
Maria,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Barry,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Victoria,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Sarada,0,,0,,0,0 hrs,,0,,31-40 hrs,,0 hrs,0,0,,,,,31-40 hrs,,,,,,0 hrs,,,,1,,0 hrs,,31-40 hrs,31-40 hrs,31-40 hrs,,31-40 hrs,,0 hrs,,0 hrs,31-40 hrs,,,,,0,,0 hrs,,0.0,31-40 hrs,0 hrs,0 hrs,,0 hrs,0,,0,0 hrs,,,0,,0,,,,31-40 hrs,,0,,0 hrs,,0 hrs,1,0 hrs,,41-50 hrs,41-50 hrs,,,,1.0,
Ariel,0,31-40 hrs,1,,0,21-30 hrs,0 hrs,1,21-30 hrs,0 hrs,21-30 hrs,0 hrs,0,0,0 hrs,,0 hrs,,0 hrs,,,0 hrs,,41-50 hrs,21-30 hrs,,0 hrs,1-10 hrs,1,,0 hrs,,0 hrs,0 hrs,0 hrs,41-50 hrs,0 hrs,0 hrs,0 hrs,51-60 hrs,41-50 hrs,0 hrs,,,0 hrs,,0,21-30 hrs,41-50 hrs,,0.0,0 hrs,0 hrs,0 hrs,,21-30 hrs,1,,1,21-30 hrs,,,0,,0,,,0 hrs,0 hrs,,0,0 hrs,41-50 hrs,0 hrs,0 hrs,0,21-30 hrs,0 hrs,0 hrs,0 hrs,,21-30 hrs,0 hrs,0.0,
Ana,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
EJay,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Matt,0,,0,,0,,,1,,,,,0,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Karen,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Andrew,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Jamilah,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Marie,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Charles,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,2.0,
Patricia,0,21-30 hrs,1,,0,21-30 hrs,0 hrs,0,21-30 hrs,0 hrs,21-30 hrs,0 hrs,0,0,0 hrs,,0 hrs,,,,,0 hrs,,,21-30 hrs,,,,1,,,,0 hrs,,,,0 hrs,,0 hrs,21-30 hrs,21-30 hrs,,,,0 hrs,,0,21-30 hrs,21-30 hrs,,0.0,0 hrs,0 hrs,0 hrs,,,1,,1,21-30 hrs,,,0,,0,,,,0 hrs,,0,0 hrs,21-30 hrs,0 hrs,0 hrs,0,,0 hrs,0 hrs,0 hrs,,21-30 hrs,0 hrs,1.0,
Ryan,0,,0,,0,0 hrs,,0,,11-20 hrs,,0 hrs,0,1,,,,,,,,,,,0 hrs,,,,0,,,,0 hrs,,,,11-20 hrs,,0 hrs,,0 hrs,,,,,,0,,141-150 hrs,,0.0,0 hrs,0 hrs,0 hrs,,,0,,0,,,,0,,0,,,,0 hrs,,0,,0 hrs,,0 hrs,1,,,141-150 hrs,31-40 hrs,,,,1.0,
Michael,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Jennifer,0,,0,,0,0 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,0 hrs,,0 hrs,,,,,,,,0,,0 hrs,,0.0,,0 hrs,0 hrs,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,0 hrs,,,,0.0,
Carolyn,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Diane,0,,0,,0,11-20 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,0 hrs,0 hrs,,,0 hrs,,0 hrs,,1-10 hrs,,1,,0 hrs,0 hrs,0 hrs,0 hrs,1-10 hrs,,0 hrs,,0 hrs,,0 hrs,0 hrs,,,,0 hrs,0,,0 hrs,,0.0,0 hrs,0 hrs,0 hrs,,0 hrs,0,0 hrs,0,11-20 hrs,,,0,0 hrs,0,0 hrs,,,0 hrs,,0,,0 hrs,,0 hrs,1,11-20 hrs,,0 hrs,0 hrs,0 hrs,,,0.0,
Ida,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Melissa,0,,0,,0,0 hrs,,1,,0 hrs,,,0,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,,,0 hrs,,,,,,,,0,,0 hrs,,2.0,,,,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,,1,,,0 hrs,0 hrs,,,,1.0,
Rebecca,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Amanda,0,,1,,0,,,0,,0 hrs,0 hrs,0 hrs,0,0,21-30 hrs,,0 hrs,,,,,0 hrs,,,,,,,1,,,,21-30 hrs,,,,0 hrs,,0 hrs,,11-20 hrs,,,,0 hrs,,0,,11-20 hrs,,14.0,21-30 hrs,0 hrs,,,,0,,0,,,,0,,0,,,,21-30 hrs,,0,,,,11-20 hrs,0,,21-30 hrs,21-30 hrs,0 hrs,,,0 hrs,0.0,
maritza,0,,0,,0,0 hrs,,0,,0 hrs,,0 hrs,1,0,,,,,,,,,,,,,,,0,,,,0 hrs,,,,0 hrs,,0 hrs,,0 hrs,,,,,,0,,0 hrs,,0.0,0 hrs,0 hrs,,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,0 hrs,,,,1.0,
Annette,0,,0,,0,0 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,,,,,,,0 hrs,,,,0,,0 hrs,,0 hrs,0 hrs,0 hrs,,0 hrs,,0 hrs,,0 hrs,,,,,,0,,0 hrs,,25.0,0 hrs,0 hrs,0 hrs,,0 hrs,1,,0,0 hrs,,,0,,0,,,,1-10 hrs,,0,,0 hrs,,0 hrs,1,,,0 hrs,0 hrs,,,,1.0,
Michael,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,2.0,
Yetta,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
