block,si_req_sediment,ecoli,deleted,si_result_biological_growth,sample_collected,census_tract,si_result_debris_insects,tank_num,council_district
1265,Y,A,No,N,Y,104.0,N,4,4.0
70,Y,A,No,N,Y,1502.0,N,1,1.0
916,Y,A,No,N,Y,78.0,N,1,4.0
1040,Y,A,No,N,Y,127.0,N,2,3.0
692,Y,A,No,N,Y,99.0,N,1,3.0
883,Y,A,No,N,Y,68.0,N,1,2.0
1244,Y,A,No,N,Y,167.0,N,1,6.0
828,Y,A,No,N,Y,58.0,N,1,2.0
822,Y,A,No,N,Y,54.0,N,1,3.0
208,Y,A,No,N,Y,1.0,N,1,33.0
111,Y,A,No,N,Y,25.0,N,1,1.0
753,Y,A,No,N,Y,97.0,N,1,3.0
1577,Y,A,No,N,Y,136.0,N,1,5.0
1872,Y,A,No,N,Y,187.0,N,1,6.0
1491,Y,A,No,N,Y,142.0,N,1,4.0
1515,Y,A,No,N,Y,14802.0,N,1,4.0
1263,Y,A,No,N,Y,96.0,N,1,4.0
858,Y,A,No,N,Y,74.0,N,1,4.0
1170,Y,A,No,N,Y,167.0,N,1,6.0
1511,Y,A,No,N,Y,140.0,N,1,4.0
812,Y,A,No,N,Y,109.0,N,1,4.0
812,Y,A,No,N,Y,109.0,N,1,3.0
1428,Y,A,No,N,Y,126.0,N,1,4.0
1291,Y,A,No,N,Y,102.0,N,1,4.0
1027,Y,A,No,N,Y,137.0,N,1,3.0
5137,Y,A,No,N,Y,79701.0,N,1,20.0
1602,Y,A,No,N,Y,16002.0,N,1,4.0
797,Y,A,No,N,Y,87.0,N,1,3.0
1405,Y,A,No,N,Y,128.0,N,1,4.0
787,Y,A,No,N,Y,109.0,N,2,3.0
51,Y,A,No,N,Y,13.0,N,1,1.0
702,Y,A,No,N,Y,99.0,N,1,3.0
855,Y,A,No,N,Y,56.0,N,2,2.0
1010,Y,A,No,N,Y,137.0,N,1,4.0
1287,Y,A,No,N,Y,102.0,N,1,4.0
1363,Y,A,No,N,Y,8603.0,N,1,4.0
3353,Y,A,No,N,Y,775.0,N,1,29.0
1367,Y,A,No,N,Y,10601.0,N,1,5.0
855,Y,A,No,N,Y,56.0,N,1,2.0
1197,Y,A,No,N,Y,169.0,N,1,6.0
1409,Y,A,No,N,Y,128.0,N,1,4.0
5818,Y,A,No,N,Y,122.0,N,1,38.0
839,Y,A,No,N,Y,84.0,N,1,4.0
78,Y,A,No,N,Y,1502.0,N,1,1.0
16001,Y,A,No,N,Y,97203.0,N,2,31.0
1183,Y,A,No,N,Y,159.0,N,1,6.0
1894,Y,A,No,N,Y,199.0,N,1,7.0
5042,Y,A,No,N,Y,849.0,N,1,20.0
1245,Y,A,No,N,Y,171.0,N,1,6.0
1048,Y,A,No,N,Y,139.0,N,1,3.0
1391,Y,A,No,N,Y,130.0,N,1,4.0
3327,Y,,No,N,N,421.0,N,2,11.0
9793,Y,A,No,N,Y,44601.0,N,1,24.0
1918,Y,A,No,N,Y,455.0,N,1,21.0
1295,Y,A,No,N,Y,80.0,N,1,4.0
255,Y,A,No,N,Y,9.0,N,1,33.0
995,Y,A,No,N,Y,119.0,N,2,4.0
1015,Y,A,No,N,Y,119.0,N,2,3.0
1327,Y,A,No,N,Y,98.0,N,1,4.0
1447,Y,A,No,N,Y,126.0,N,1,5.0
331,Y,A,No,N,Y,12.0,N,1,1.0
145,Y,A,No,N,Y,15.0,N,1,33.0
1893,Y,A,No,N,Y,195.0,N,1,7.0
804,Y,A,No,N,Y,95.0,N,1,3.0
1488,Y,A,No,N,Y,132.0,N,1,5.0
12495,Y,A,No,N,Y,33402.0,N,1,28.0
821,Y,A,No,N,Y,54.0,N,1,3.0
691,Y,A,No,N,Y,99.0,N,1,3.0
1450,Y,A,No,N,Y,134.0,N,1,5.0
1285,Y,A,No,N,Y,102.0,N,1,4.0
789,Y,A,No,N,Y,113.0,N,1,3.0
787,Y,A,No,N,Y,109.0,N,2,3.0
548,Y,A,No,N,Y,57.0,N,1,1.0
2059,Y,A,No,N,Y,15.0,N,2,33.0
1497,Y,A,No,N,Y,15001.0,N,1,4.0
202,Y,A,No,N,Y,29.0,N,1,1.0
5893,Y,A,No,N,Y,99704.0,N,1,19.0
672,Y,A,No,N,Y,99.0,N,1,3.0
1408,Y,A,No,N,Y,128.0,N,1,4.0
1309,Y,A,No,N,Y,100.0,N,1,4.0
1419,Y,A,No,N,Y,118.0,N,1,4.0
1008,Y,A,No,N,Y,137.0,N,1,4.0
1246,Y,A,No,N,Y,171.0,N,1,6.0
609,Y,A,No,N,Y,71.0,N,1,3.0
273,Y,A,No,N,Y,1.0,N,2,26.0
838,Y,A,No,N,Y,84.0,N,1,4.0
1380,Y,A,No,N,Y,122.0,N,1,4.0
721,Y,A,No,N,Y,93.0,N,1,3.0
825,Y,A,No,N,Y,58.0,N,2,3.0
885,Y,A,No,N,Y,72.0,N,1,2.0
1327,Y,A,No,N,Y,98.0,N,1,4.0
1314,Y,A,No,N,Y,88.0,N,1,4.0
1280,Y,A,No,N,Y,92.0,N,3,4.0
1391,Y,A,No,N,Y,130.0,N,1,4.0
1164,Y,A,No,N,Y,159.0,N,1,6.0
1368,Y,A,No,N,Y,10601.0,N,1,5.0
1582,Y,A,No,N,Y,14401.0,N,1,5.0
895,Y,A,No,N,Y,80.0,N,1,4.0
2313,Y,A,No,N,Y,245.0,N,1,26.0
119,Y,A,No,N,Y,29.0,N,2,1.0
1151,Y,A,No,N,Y,147.0,N,1,6.0
869,Y,A,No,N,Y,82.0,N,1,4.0
1382,Y,A,No,N,Y,122.0,N,1,4.0
637,Y,A,No,N,Y,75.0,N,1,3.0
1439,Y,A,No,N,Y,118.0,N,1,5.0
1281,Y,A,No,N,Y,94.0,N,1,4.0
1390,Y,A,No,N,Y,130.0,N,1,4.0
895,Y,A,No,N,Y,80.0,N,1,4.0
8782,Y,A,No,N,Y,600.0,N,1,48.0
609,Y,A,No,N,Y,71.0,N,1,3.0
766,Y,A,No,N,Y,81.0,N,1,3.0
