bin,community_board,floor,cross_street_and,entire_floor,bbl
4442431.0,8.0,9TH FLOOR,,Yes,4068580100.0
1077949.0,3.0,5,,No,1004300010.0
1012841.0,4.0,5,,No,1007290163.0
3327889.0,1.0,2nd,,No,3030260001.0
1038238.0,6.0,4,,No,1013230036.0
3029254.0,8.0,3rd,,No,3011680006.0
1015219.0,5.0,7th,,No,1008100001.0
3201629.0,15.0,1st,,No,3073930001.0
3095889.0,5.0,13,,No,3042710005.0
1000820.0,1.0,18,,No,1000240036.0
4430818.0,1.0,5fl,,No,4005570003.0
2088143.0,1.0,6th,,No,2023990010.0
2027475.0,9.0,4,,No,2038660031.0
2095386.0,,6,,No,
3022200.0,6.0,Roof,,No,3010070029.0
1016147.0,5.0,Roof,,No,1008470024.0
2013283.0,6.0,6th Floor,,No,2031400007.0
1035076.0,5.0,6,,No,1012730065.0
3095889.0,5.0,14,,No,3042710005.0
1084081.0,9.0,8th floor,,No,1019570200.0
2012957.0,6.0,2nd,,No,2031090001.0
3001482.0,2.0,4th,,No,3002080101.0
3326549.0,16.0,11,,No,3035760001.0
2092635.0,9.0,17,,No,2035370001.0
1081293.0,11.0,1st,,No,1018080001.0
1056544.0,7.0,Roof,,No,1018740037.0
4451837.0,12.0,5,,No,4101270001.0
1081278.0,11.0,3rd,,No,1017970001.0
4010887.0,1.0,Bsmt,,Yes,4006700033.0
1027058.0,4.0,4th Floor,,No,1010830010.0
2003627.0,1.0,2,,No,2025510023.0
3395540.0,2.0,FCH-Basmnt,,No,3000060001.0
4183619.0,9.0,1st,,Yes,4089170062.0
3112625.0,17.0,1,,No,3049730016.0
3063630.0,1.0,1st,,No,3024650044.0
4430810.0,1.0,2fl,,No,4005570003.0
1033701.0,7.0,4th,,No,1012430033.0
3037205.0,8.0,Roof,,No,3013870029.0
2043254.0,11.0,Main Roof,,Yes,2040420222.0
4059717.0,2.0,1st,,No,4026570028.0
1019090.0,6.0,13th Floor,,No,1008930025.0
2000205.0,1.0,Basement,,No,2022800040.0
3061708.0,1.0,Roof,,Yes,3023060007.0
4431268.0,2.0,roof,,No,4012040001.0
3043112.0,3.0,Roof,,No,3015950001.0
3071024.0,1.0,5th Floor,,No,3030460001.0
3326510.0,16.0,3,,No,3035440001.0
1027472.0,7.0,40th Flr,,No,1011167501.0
3014856.0,7.0,5,,No,3008280001.0
3175834.0,11.0,1st,,No,3066310001.0
4226839.0,13.0,5th,,No,4106260001.0
1081080.0,11.0,Basement,,No,1016780001.0
1035792.0,5.0,1,,No,1012920069.0
3327888.0,1.0,4th,,No,3030260001.0
3378187.0,7.0,2 FL,,No,3007150001.0
3343250.0,5.0,4,,No,3042719001.0
1000868.0,1.0,17th Floor,,No,1000350010.0
4208867.0,12.0,Roof,,No,4097580047.0
4067826.0,5.0,Basement,,No,4029420060.0
3395544.0,2.0,Bulkhead,,No,3000060001.0
4438296.0,8.0,5th,,No,4067900022.0
4197909.0,9.0,1st Floor,,No,4094100001.0
3343253.0,5.0,4,,No,3042719001.0
2095386.0,,16,,No,
2091987.0,1.0,7th,,No,2026650001.0
3182169.0,14.0,4th Floor,,No,3067690018.0
1037568.0,6.0,15,,No,1013180001.0
2097038.0,1.0,Cellar,,No,2023060054.0
3331093.0,13.0,3,,No,3069640002.0
3332126.0,7.0,Basement,,No,3007920026.0
3343253.0,5.0,10,,No,3042719001.0
3118698.0,14.0,2nd FL,,Yes,3051570052.0
3324280.0,5.0,5th,,No,3043770001.0
4457466.0,12.0,4TH,,No,4101460051.0
5025550.0,,Basement,,No,
3095889.0,5.0,1,,No,3042710005.0
2017370.0,7.0,1st Floor,,No,2033120008.0
1084520.0,10.0,8th,,No,1021060003.0
4176886.0,13.0,Facade,,No,4086590001.0
1077304.0,4.0,1st Floor,,No,1010930028.0
2091141.0,1.0,13th,,No,2023110001.0
1046915.0,8.0,Penthouse,,No,1014990014.0
1080640.0,11.0,Ground,,No,1016200023.0
1025442.0,4.0,13,,No,1010460047.0
1008855.0,2.0,RF,,No,1005510016.0
2103132.0,,1,,Yes,
3324293.0,5.0,Roof,,No,3043550001.0
1028508.0,7.0,15th,,No,1011220029.0
3071806.0,4.0,1st,,No,3031370026.0
3188894.0,13.0,roof,,No,3070150015.0
1040802.0,8.0,8th,,No,1013750021.0
3095889.0,5.0,18,,No,3042710005.0
3343253.0,5.0,5,,No,3042719001.0
3337867.0,9.0,4,,No,3012830001.0
3087488.0,5.0,2nd,,Yes,3039330040.0
1001033.0,1.0,TRADING FL,,No,1000510013.0
1034340.0,5.0,9th floor,,No,1012620045.0
1052436.0,11.0,1st Floor,,No,1016590012.0
3054897.0,2.0,9,,Yes,3019050120.0
1075648.0,7.0,Roof,,No,1018630005.0
3323297.0,6.0,5,,No,3003920001.0
2097050.0,1.0,9th Floor,,No,2023350016.0
2091957.0,3.0,8,,No,2026380090.0
3065306.0,1.0,ROOF,,No,3025950017.0
2003155.0,4.0,Main Roof,,Yes,2025090061.0
1000007.0,1.0,13,,No,1000050010.0
1000007.0,1.0,07,,No,1000050010.0
1086339.0,1.0,3rd Flr,,No,1000010010.0
1084127.0,9.0,13th,,No,1019840001.0
2097991.0,12.0,8,,No,2049050001.0
