business_address,qualify_alcohol,sla_license_type,sidewalk_dimensions_length,sidewalk_dimensions_width,longitude,healthcompliance_terms,street,census_tract
"466 Hudson st, Manhattan, NY",yes,RW,15.0,5.0,-74.006589,yes,Hudson st,73.0
"185-01 Union Turnpike, Queens, NY",no,,120.0,15.0,-73.783925,yes,Union Turnpike,1333.0
"4 Charles St, Manhattan, NY",yes,OP,,,-74.00061,yes,Charles St,71.0
"2462  GRAND CONCOURSE, Bronx, NY",no,,15.0,9.0,-73.897617,yes,GRAND CONCOURSE,23702.0
"18524A HORACE HARDING EXPY, Queens, NY",no,,30.0,6.0,-73.788961,yes,18524A HORACE HARDING EXPY,1341.0
"105  CHRISTOPHER STREET, Manhattan, NY",yes,OP,45.0,12.0,-74.004868,yes,CHRISTOPHER STREET,73.0
"251 EAST 82ND STREET, Manhattan, NY",yes,RW,15.0,15.0,-73.954727,yes,EAST 82ND STREET,138.0
"120 Dekalb ave, Brooklyn, NY",no,,45.0,5.0,-73.977669,yes,Dekalb ave,33.0
"745 5 AVENUE, Manhattan, NY",yes,OP,34.0,16.0,-73.973695,yes,745 5 AVENUE,11202.0
"230 Ninth Avenue, Manhattan, NY",yes,RW,35.0,8.0,-74.000772,yes,Ninth Avenue,93.0
"13 WEST   36 STREET, Manhattan, NY",yes,OP,,,-73.984354,yes,13 WEST   36 STREET,84.0
"3574 159TH ST, Queens, NY",yes,OP,20.0,4.0,-73.806162,yes,3574 159TH ST,1171.0
"338 E 6th St, Manhattan, NY",yes,RW,,,-73.987542,yes,E 6th St,38.0
"79-81  Macdougal St, Manhattan, NY",yes,OP,4.0,30.0,-74.001533,yes,Macdougal St,65.0
"90 West 3rd Street, Manhattan, NY",no,,19.0,7.0,-73.99908,yes,West 3rd Street,65.0
"446 PARK PLACE, Brooklyn, NY",yes,OP,30.0,10.0,-73.962629,yes,PARK PLACE,215.0
"15 Saint Marks Place, Manhattan, NY",yes,RW,0.0,0.0,-73.988956,yes,Saint Marks Place,38.0
"618 EAST 183RD STREET, Bronx, NY",no,,28.0,15.0,-73.888521,yes,EAST 183RD STREET,391.0
"560 Ralph, Brooklyn, NY",no,,15.0,5.0,,yes,Ralph,
"1870 86 Street, Brooklyn, NY",yes,RW,19.0,19.0,-74.001008,yes,86 Street,278.0
"214 Front Street, Manhattan, NY",yes,RW,,,-74.002532,yes,Front Street,1501.0
"560 Ralph, Brooklyn, NY",no,,15.0,5.0,,yes,Ralph,
"3931 BROADWAY, Manhattan, NY",no,,20.0,10.0,-73.941475,yes,3931 BROADWAY,245.0
"5  Times Square, Manhattan, NY",yes,OP,40.0,16.0,-73.987208,yes,Times Square,113.0
"2611 BATH AVENUE, Brooklyn, NY",yes,OP,,,-73.988377,yes,2611 BATH AVENUE,302.0
"46-11  Broadway , Queens, NY",yes,OP,68.0,16.0,-73.914028,yes,Broadway,153.0
"37 W 17th , Manhattan, NY",yes,OP,40.0,6.0,-73.99353,yes,W 17th,54.0
"64  City Island Avenue , Bronx, NY",yes,OP,90.0,7.0,-73.783632,yes,City Island Avenue,516.0
"2128 FREDERICK DOUGLASS BOULEVARD, Manhattan, NY",yes,OP,,,-73.955922,yes,2128 FREDERICK DOUGLASS BOULEVARD,218.0
"332 W 44th st , Manhattan, NY",no,,27.0,2.0,-73.989922,yes,44th st,121.0
"36-06 30 ave, Queens, NY",yes,OP,30.0,9.0,-73.917241,yes,30 ave,63.0
"1909 1909 Coney Island Ave, Brooklyn, NY",no,,20.0,16.0,,yes,1909 Coney Island Ave,
"40-09 82 STREET, Queens, NY",no,,11.0,5.0,-73.883869,yes,40-09 82 STREET,26901.0
"243 West 54th street, Manhattan, NY",yes,OP,30.0,8.0,-73.983095,yes,West 54th street,137.0
"150 nassau street, Manhattan, NY",yes,OP,20.0,13.0,-74.006027,yes,nassau street,1501.0
"375 3rd Avenue, Manhattan, NY",yes,OP,37.0,6.0,-73.981235,yes,3rd Avenue,66.0
"136 West 46th street, Manhattan, NY",yes,EB,,,-73.9834,yes,West 46th street,119.0
"1490 2 AVENUE, Manhattan, NY",yes,OP,15.0,8.0,-73.955708,yes,1490 2 AVENUE,134.0
"649 GRAND STREET, Brooklyn, NY",no,,,,-73.946345,yes,649 GRAND STREET,503.0
"2170 Broadway, Manhattan, NY",yes,OP,34.0,13.0,-73.98092,yes,Broadway,163.0
"239 5th Ave, Brooklyn, NY",yes,OP,60.0,15.0,-73.98125,yes,5th Ave,133.0
"177 BEDFORD AVENUE, Brooklyn, NY",yes,OP,21.0,15.0,-73.957472,yes,177 BEDFORD AVENUE,553.0
"1555 St Nicholas Avenue, Manhattan, NY",yes,OP,44.0,12.0,-73.930687,yes,St Nicholas Avenue,279.0
"26C MACOMBS PLACE, Manhattan, NY",no,,16.0,8.0,-73.938794,yes,26C MACOMBS PLACE,236.0
"78-17 ROOSEVELT AVE, Queens, NY",no,,8.0,20.0,-73.887402,yes,ROOSEVELT AVE,285.0
"10 5 AVENUE, Manhattan, NY",no,,30.0,3.0,-73.996244,yes,10 5 AVENUE,63.0
"3806 PRINCE ST, Queens, NY",no,,6.0,3.0,-73.832571,yes,3806 PRINCE ST,871.0
"62 COURT STREET, Brooklyn, NY",yes,OP,18.0,18.0,-73.991241,yes,62 COURT STREET,9.0
"10210 37TH AVE, Queens, NY",yes,RW,25.0,5.0,-73.865188,yes,10210 37TH AVE,405.0
"1472  Jerome ave, Bronx, NY",yes,OP,14.0,6.0,-73.916662,yes,Jerome ave,223.0
"16 WESTCHESTER SQ, Bronx, NY",no,,45.0,15.0,-73.843314,yes,16 WESTCHESTER SQ,200.0
"22 East 60th Street, Manhattan, NY",yes,OP,41.0,4.0,-73.970684,yes,East 60th Street,11401.0
"311 AMSTERDAM AVE, Manhattan, NY",no,,33.0,4.0,-73.980401,yes,AMSTERDAM AVE,161.0
"225 Varick Street, Manhattan, NY",yes,RW,77.0,6.0,-74.005246,yes,Varick Street,67.0
"446 PARK PLACE, Manhattan, NY",yes,OP,30.0,9.0,-73.962629,yes,PARK PLACE,215.0
"261 5th ave, Brooklyn, NY",yes,OP,40.0,8.0,-73.981881,yes,5th ave,133.0
"57B Pearl Street, Brooklyn, NY",yes,OP,,,-73.987582,yes,Pearl Street,21.0
"1271 Broadway, Manhattan, NY",yes,RW,,,-73.988465,yes,Broadway,76.0
"337 LAFAYETTE STREET, Manhattan, NY",no,,,,-73.994603,yes,337 LAFAYETTE STREET,5502.0
"40-04 69 STREET, Queens, NY",yes,OP,18.0,8.0,-73.896275,yes,40-04 69 STREET,263.0
"176-24 Union tpke, Queens, NY",no,,40.0,7.0,-73.79256,yes,Union tpke,1267.0
"90 baxter street, Manhattan, NY",yes,RW,50.0,10.0,-73.999755,yes,baxter street,29.0
"25-57 STEINWAY STREET, Queens, NY",no,,12.0,20.0,-73.912014,yes,25-57 STEINWAY STREET,143.0
2E6SMN,yes,OP,36.0,4.0,-73.969781,yes,East 62nd Street,11401.0
"347 BOWERY, Manhattan, NY",no,,39.0,14.0,-73.991734,yes,BOWERY,38.0
"45 EAST   28 STREET, Manhattan, NY",yes,OP,,,-73.985139,yes,45 EAST   28 STREET,74.0
"EST  116 STREET, Manhattan",no,,44.0,19.0,-73.950602,yes,125 WEST  116 STREET,218.0
"300 WEST  114 STREET, Manhattan, NY",yes,OP,,,-73.956544,yes,300 WEST  114 STREET,19702.0
"226E  53rd Street, Manhattan, NY",yes,RW,,,,yes,53rd Street,
"61 CHRISTOPHER STREET, Manhattan, NY",yes,OP,95.0,18.0,-74.002353,yes,61 CHRISTOPHER STREET,73.0
"5401  8th AVE, Brooklyn, NY",no,,28.0,5.0,-74.006122,yes,8th AVE,106.0
"*5915 37 AVENUE, Queens, NY",yes,OP,100.0,8.0,-73.903224,yes,5915 37 AVENUE,259.0
"10 Murray street, Manhattan, NY",no,,20.0,14.0,-74.007773,yes,Murray street,21.0
"7604  Woodside Ave, Queens, NY",no,,14.0,9.0,-73.888712,yes,Woodside Ave,483.0
"97 Greenwich Avenue , Manhattan, NY",no,,53.0,14.0,-74.001671,yes,Greenwich Avenue,77.0
"1536 3 AVENUE, Manhattan, NY",no,,,,-73.953808,yes,1536 3 AVENUE,14802.0
"613 FRANKLIN AVENUE, Brooklyn, NY",yes,OP,20.0,6.0,-73.955526,yes,613 FRANKLIN AVENUE,221.0
"13342 39TH AVE UNIT 101, Queens, NY",yes,RW,30.0,10.0,-73.83414,yes,39TH AVE UNIT 101,871.0
"70 West 68th Street, Manhattan, NY",yes,OP,16.0,4.0,-73.979875,yes,West 68th Street,153.0
"3750 74th St, Queens, NY",no,,24.0,8.0,-73.891617,yes,74th St,289.0
"40 18  150st , Queens, NY",no,,60.0,3.0,-73.814225,yes,150st,1167.0
"212 Avenue A, Manhattan, NY",yes,OP,35.0,7.0,-73.98074,yes,Avenue A,34.0
"4632  5th Avenue , Brooklyn, NY",no,,,,-74.008216,yes,5th Avenue,80.0
"338  3rd Avenue , Manhattan, NY_",yes,OP,65.0,7.0,-73.982289,yes,3rd Avenue,68.0
"186 Grand Street, Brooklyn, NY",no,,16.0,4.0,-73.96075,yes,Grand Street,551.0
"346 West 46th., Manhattan, NY",yes,OP,34.0,12.0,,yes,West 46th.,
"118-08 Atlantic avenue, Queens, NY",yes,OP,70.0,7.0,-73.828684,yes,Atlantic avenue,120.0
"10 HANOVER SQUARE, Manhattan, NY",no,,12.0,10.0,-74.00923,yes,10 HANOVER SQUARE,7.0
"803   703 9ih av, Manhattan, NY",yes,RW,14.0,8.0,,yes,703 9ih av,
"475  60th Street, Brooklyn, NY",no,,,,-74.016867,yes,60th Street,74.0
"199  Knickerbocker av , Brooklyn, NY",yes,EB,23.0,17.0,-73.92663,yes,Knickerbocker av,427.0
"24 Pell Street, Manhattan, NY",no,,,,-73.998186,yes,Pell Street,29.0
"2535 STEINWAY ST, Queens, NY",no,,7.0,5.0,-73.912,yes,2535 STEINWAY ST,143.0
"274 274 Grand Street, Manhattan, NY",yes,OP,20.0,14.0,,yes,274 Grand Street,
"9209 63rd Dr., Queens, NY",yes,RW,53.0,7.0,-73.86402,yes,63rd Dr.,693.0
"302  COLUMBUS AVE, Manhattan, NY",no,,19.0,11.0,-73.977707,yes,COLUMBUS AVE,161.0
"8009 Roosevelt Avenue, Queens, NY",yes,OP,15.0,4.0,-73.885598,yes,Roosevelt Avenue,283.0
"150-39  14th ave , Queens, NY",no,,8.0,3.0,-73.812845,yes,14th ave,981.0
"4902 Skillman Avenue, Queens, NY",yes,OP,,,-73.915081,yes,Skillman Avenue,25301.0
"72 EAST  I6I STREET, Bronx, NY",yes,OP,80.0,5.0,,yes,I6I STREET,
"1475 Second Avenue , Manhattan, NY",no,,30.0,8.0,-73.956167,yes,Second Avenue,134.0
"35  Neptune ave , Brooklyn, NY",yes,OP,50.0,8.0,-73.955466,yes,Neptune ave,608.0
"685  Broadway, Brooklyn, NY",no,,30.0,15.0,-73.943727,yes,Broadway,491.0
"248-08 UNION TURNPIKE, Queens, NY",yes,OP,20.0,10.0,-73.721794,yes,248-08 UNION TURNPIKE,157101.0
"622 Vanderbilt Ave, Brooklyn, NY",no,,49.0,6.0,-73.968916,yes,Vanderbilt Ave,163.0
"4523 5th Avenue , Brooklyn, NY",no,,,,-74.007575,yes,5th Avenue,96.0
"768  Fifth Avenue, Manhattan, NY",yes,HL,,,-73.973951,yes,Fifth Avenue,11201.0
"5701  8TH AVE STORE A, Brooklyn, NY",no,,8.0,8.0,-74.007865,yes,8TH AVE STORE A,104.0
"6 Sneden Ave , Staten Island, NY",yes,OP,20.0,6.0,-74.177057,yes,Sneden Ave,17005.0
"46-42 Vernon Blvd, Queens, NY",yes,OP,25.0,18.0,-73.953033,yes,Vernon Blvd,7.0
"250 dekalb ave, Brooklyn, NY",yes,OP,25.0,10.0,-73.96895,yes,dekalb ave,197.0
"92 HESTER STREET, Manhattan, NY",yes,RW,15.0,3.0,-73.992623,yes,92 HESTER STREET,16.0
"4021 MAIN STREET, Queens, NY",no,,5.0,5.0,-73.829809,yes,MAIN STREET,853.0
"1910 Coney Island Avenue, Brooklyn, NY",yes,OP,42.0,13.0,-73.962561,yes,Coney Island Avenue,420.0
"58 St. Marks Pl., Manhattan, NY",no,,6.0,6.0,-73.986654,yes,St. Marks Pl.,38.0
"196  Elizabeth St, Manhattan, NY",yes,OP,,,-73.994484,yes,Elizabeth St,43.0
"215  East 4th street , Manhattan, NY",no,,25.0,7.0,-73.983523,yes,East 4th street,32.0
"120 Smith St., Brooklyn, NY",no,,,,-73.989868,yes,Smith St.,43.0
"963 Grand St, Brooklyn, NY",yes,RW,10.0,12.0,-73.936027,yes,Grand St,481.0
"45-30  Bell Blvd, Queens, NY",yes,RW,43.0,20.0,-73.768858,yes,Bell Blvd,1447.0
"115 MACDOUGAL ST, Manhattan, NY",yes,OP,24.0,12.0,-74.000451,yes,MACDOUGAL ST,65.0
"4626 KISSENA BLVD, Queens, NY",no,,,,-73.81852,yes,4626 KISSENA BLVD,845.0
"270 BLEECKER STREET, Manhattan, NY",yes,OP,19.0,12.0,-74.003121,yes,270 BLEECKER STREET,67.0
"951 Dean St. , Brooklyn, NY",yes,OP,90.0,18.0,-73.958352,yes,Dean St.,305.0
"42c mott st, Manhattan, NY",yes,OP,20.0,8.0,-73.998748,yes,mott st,29.0
"299 Madison Avenue, Manhattan, NY",yes,OP,,,-73.979416,yes,Madison Avenue,82.0
"1623 2ND AVENUE, Manhattan, NY",yes,OP,21.0,19.0,-73.952571,yes,2ND AVENUE,14601.0
"821 West 181st Street, Manhattan, NY",yes,OP,30.0,12.0,-73.939285,yes,West 181st Street,273.0
"452 East New York Avenue, Brooklyn, NY",no,,,,-73.947491,yes,East New York Avenue,806.0
"211 East 46th Street, Manhattan, NY",yes,OP,45.0,20.0,-73.972085,yes,East 46th Street,90.0
"475 60th Street, Brooklyn, NY",no,,,,-74.016867,yes,60th Street,74.0
"801 66th Street, Brooklyn, NY",yes,OP,100.0,50.0,-74.012837,yes,66th Street,120.0
"122 1 AVENUE, Manhattan, NY",yes,OP,,,-73.985572,yes,122 1 AVENUE,32.0
"162 56th street , Manhattan, NY",no,,30.0,9.0,,yes,56th street,
"38-12 30th avenue, Queens, NY",no,,20.0,20.0,-73.915672,yes,30th avenue,155.0
"3662 Broadway, Manhattan, NY",yes,RW,30.0,8.0,-73.947535,yes,Broadway,237.0
"100  S 7th Ave, Manhattan, NY",yes,OP,120.0,15.0,,yes,S 7th Ave,
"186 avenue b, Manhattan, NY",no,,19.0,5.0,-73.979225,yes,avenue b,34.0
"78-17 ROOSEVELT AVE, Queens, NY",no,,20.0,8.0,-73.887402,yes,ROOSEVELT AVE,285.0
"200 VARICK STREET, Manhattan, NY",yes,OP,72.0,20.0,-74.005343,yes,200 VARICK STREET,37.0
"414  W 42nd St, Manhattan, NY",yes,OP,20.0,11.0,-73.993326,yes,W 42nd St,115.0
"347 Bowery, Manhattan, NY",no,,26.0,11.0,-73.991734,yes,Bowery,38.0
"133  5th ave, Brooklyn, NY",yes,OP,,,-73.978967,yes,5th ave,131.0
"2656 BROADWAY, Manhattan, NY",yes,RW,7.0,8.0,-73.969546,yes,2656 BROADWAY,187.0
"108 Patchen Avenue, Brooklyn, NY",yes,OP,,,-73.927101,yes,Patchen Avenue,385.0
"12 12 e 41st street, manhattan, ny",yes,RW,27.0,10.0,,yes,12 E 41st Street,
"9-13 Barrow street, Manhattan, NY",yes,RW,17.0,2.0,-74.002522,yes,Barrow street,67.0
"125 CHAMBERS ST., Manhattan, NY",no,,41.0,8.0,-74.008755,yes,CHAMBERS ST.,21.0
"15 Stone Street, Manhattan, NY",yes,OP,12.0,6.0,-74.012068,yes,Stone Street,9.0
"1048 Manhattan ave, Brooklyn, NY",no,,,,-73.954979,yes,Manhattan ave,575.0
" EAST  116 STREET, Manhattan",yes,OP,36.0,16.0,-73.94259,yes,109 EAST  116 STREET,182.0
"844  2ND AVENUE , Manhattan, NY",no,,35.0,14.0,-73.970863,yes,2ND AVENUE,90.0
"44 IRVING AVENUE, Brooklyn, NY",yes,OP,30.0,10.0,-73.924479,yes,44 IRVING AVENUE,427.0
"13553  Northern Blvd, Queens, NY",yes,RW,52.0,4.0,-73.831715,yes,Northern Blvd,869.0
"1321 1ST AVE, Manhattan, NY",no,,23.0,6.0,-73.956574,yes,1ST AVE,126.0
"215 WEST   40 STREET, Manhattan, NY",yes,OP,25.0,6.0,-73.988594,yes,215 WEST   40 STREET,113.0
"135-31 40 road , Queens, NY",no,,,,,yes,40 road,
7SABN,yes,OP,20.0,18.0,-73.974575,yes,Sixth Ave,161.0
"118A ELDRIDGE STREET, Manhattan, NY",no,,,,-73.99189,yes,118A ELDRIDGE STREET,18.0
"1114 6TH AVE, Manhattan, NY",no,,33.0,24.0,-73.983732,yes,6TH AVE,96.0
"347 BOWERY, Manhattan, NY",no,,34.0,5.0,-73.991734,yes,BOWERY,38.0
"650  MELROSE AVE , Bronx, NY",no,,16.0,11.0,-73.916611,yes,MELROSE AVE,67.0
"228-232 Vanderbilt Ave, Brooklyn, NY",yes,OP,50.0,10.0,-73.969331,yes,Vanderbilt Ave,183.0
"360 Jefferson st., Brooklyn, NY",no,,50.0,4.0,-73.924821,yes,Jefferson st.,447.0
"349  East 14th, Manhattan, NY",yes,OP,25.0,15.0,,yes,East 14th,
"1444 75th Street, Manhattan, NY",yes,OP,,,,yes,75th Street,
"43 WEST   24 STREET, Manhattan, NY",yes,OP,25.0,10.0,-73.990686,yes,43 WEST   24 STREET,58.0
"87-10 Astoria Blvd, Queens, NY",no,,,,-73.882056,yes,Astoria Blvd,329.0
"366  Columbus Ave., Manhattan, NY",yes,OP,44.0,10.0,-73.976266,yes,Columbus Ave.,161.0
"1204 Broadway, Manhattan, NY",yes,OP,,,-73.988538,yes,Broadway,76.0
"637A Vanderbilt Ave , Brooklyn, NY",yes,RW,,,-73.968714,yes,Vanderbilt Ave,205.0
"1505 Newkirk Ave, Brooklyn, NY",yes,OP,22.0,26.0,-73.963192,yes,Newkirk Ave,520.0
"126 WAVERLY PLACE, Manhattan, NY",no,,,,-73.999664,yes,126 WAVERLY PLACE,65.0
"29-10 Broadway, Queens, NY",no,,16.0,22.0,-73.926818,yes,Broadway,53.0
"1410  Third avenue, Manhattan, NY",yes,OP,58.0,8.0,-73.956703,yes,Third avenue,140.0
"496 Crescent, Brooklyn, NY",no,,20.0,3.0,,yes,Crescent,
"2006 3 AVENUE, Manhattan, NY",no,,,,-73.942706,yes,2006 3 AVENUE,172.0
"125 Macdougal St, Manhattan, NY",yes,OP,,,-74.000054,yes,Macdougal St,65.0
"57 Murray Street , Manhattan, NY",yes,OP,15.0,5.0,-74.009747,yes,Murray Street,21.0
"35-57 77th Street, Queens, NY",yes,TW,24.0,7.0,-73.889255,yes,77th Street,287.0
"998  Amsterdam Avenue, Manhattan, NY",yes,OP,12.0,8.0,-73.964176,yes,Amsterdam Avenue,195.0
"3 WEST   35 STREET, Manhattan, NY",yes,OP,16.0,7.0,-73.984585,yes,3 WEST   35 STREET,84.0
"76  East 13th Street AKA 132 4th Avenue, Manhattan, NY",yes,HL,78.0,7.0,,yes,East 13th Street AKA 132 4th Avenue,
"134-01  Liberty Ave , Queens, NY",yes,OP,100.0,10.0,-73.812597,yes,Liberty Ave,152.0
"16 WEST    8 STREET, Manhattan, NY",yes,RW,153.0,2.0,-73.997074,yes,16 WEST    8 STREET,63.0
"3439 EAST TREMONT AVENUE, Bronx, NY",yes,OP,,,-73.827778,yes,3439 EAST TREMONT AVENUE,164.0
"1190-1192 Broadway, Manhattan, NY",yes,HL,40.0,8.0,-73.988639,yes,Broadway,76.0
"7 E 53rd St, Manhattan, NY",no,,25.0,3.0,-73.975342,yes,E 53rd St,102.0
"1129 Lexington Avenue , Manhattan, NY",yes,OP,20.0,12.0,-73.959209,yes,Lexington Avenue,140.0
"32 East 10th , Manhattan, NY",yes,OP,30.0,8.0,,yes,East 10th,
"1600 Hylan Boulevard, Staten Island, NY",yes,OP,63.0,6.0,-74.089443,yes,Hylan Boulevard,70.0
"2181  GRAND CONCOURSE , Bronx, NY",yes,EB,35.0,11.0,-73.901289,yes,GRAND CONCOURSE,23704.0
"81 PEARL STREET, Manhattan, NY",yes,OP,,,-74.0102,yes,PEARL STREET,9.0
"54 CARMINE STREET, Manhattan, NY",yes,OP,,,-74.003666,yes,54 CARMINE STREET,67.0
"2460 BROADWAY, Manhattan, NY",no,,32.0,7.0,-73.974027,yes,BROADWAY,179.0
"366 West 52nd street, Manhattan, NY",no,,,,-73.987275,yes,52nd street,133.0
"6 west 4th street, Manhattan, NY",no,,5.0,5.0,-73.99457,yes,west 4th street,5501.0
"1467 YORK AVENUE, Manhattan, NY",yes,RW,14.0,8.0,-73.951077,yes,1467 YORK AVENUE,132.0
"21 Peck Slip, Manhattan, NY",yes,OP,30.0,15.0,-74.001872,yes,Peck Slip,1501.0
"137  EAST 61 ST., Manhattan, NY",no,,6.0,3.0,-73.967551,yes,EAST 61 ST.,11402.0
"1616 Amsterdam Ave, Manhattan, NY",yes,OP,23.0,12.0,-73.950107,yes,Amsterdam Ave,225.0
"7006 3 RD AVE, Brooklyn, NY",no,,20.0,18.0,,yes,3 RD AVE,
"13620 ROOSEVELT AVE, Queens, NY",no,,5.0,5.0,-73.829236,yes,ROOSEVELT AVE,853.0
"477  5TH AVE, Brooklyn, NY",yes,OP,68.0,15.0,-73.987365,yes,5TH AVE,139.0
"928  Broadway, Manhattan, NY",yes,OP,,,-73.989492,yes,Broadway,56.0
"13 St Marks Place, Manhattan, NY",yes,RW,12.0,4.0,-73.989042,yes,St Marks Place,38.0
"261 Water street, Manhattan, NY",yes,OP,,,-74.001591,yes,Water street,1501.0
"28-54 31 STREET, Queens, NY",yes,OP,20.0,25.0,-73.920877,yes,28-54 31 STREET,71.0
"41 WEST   46 STREET, Manhattan, NY",yes,OP,,,-73.980426,yes,41 WEST   46 STREET,96.0
"49-10 Queens Blvd., Queens, NY",no,,15.0,6.0,-73.915631,yes,Queens Blvd.,235.0
"100 Grand Street , Manhattan, NY",no,,50.0,3.0,-74.00171,yes,Grand Street,47.0
"70 West 40th Street, Manhattan, NY",no,,40.0,3.0,-73.984379,yes,West 40th Street,84.0
"1316 Ave m, Brooklyn, NY",no,,15.0,10.0,-73.961642,yes,Ave m,768.0
"48 East 23rd Street, Manhattan, NY",no,,12.0,6.0,-73.987359,yes,East 23rd Street,56.0
"74-04 37 AVENUE, Queens, NY",no,,50.0,4.0,-73.891583,yes,74-04 37 AVENUE,289.0
"103  3rd Ave, Manhattan, NY",yes,OP,98.0,8.0,-73.987779,yes,3rd Ave,40.0
"5321 METROPOLITAN AVE, Queens, NY",yes,OP,28.0,8.0,-73.912375,yes,5321 METROPOLITAN AVE,535.0
"241 241 BUSHWICK AVENUE, Brooklyn, NY",no,,25.0,5.0,,yes,241 BUSHWICK AVENUE,
"117 2 AVENUE, Manhattan, NY",yes,RW,87.0,12.0,-73.988191,yes,117 2 AVENUE,38.0
"1407 NOSTRAND AVE, Manhattan, NY",yes,OP,17.0,10.0,-73.949704,yes,NOSTRAND AVE,818.0
"659 MANHATTAN AVE, Brooklyn, NY",yes,OP,20.0,3.0,-73.951273,yes,MANHATTAN AVE,569.0
"696 Washington, Brooklyn, NY",no,,4.0,7.0,,yes,Washington,
