objectid,globalid,business_address,community_board,time_of_submission,sla_serial_number,sidewalk_dimensions_area,bulding_number,roadway_dimensions_width,food_service_establishment
10069,{406182F2-FF8C-4CE8-8F24-CAD2D3500BC6},"1481 Myrtle Ave, Brooklyn, NY",4.0,2020-08-08T14:27:00.000,,200.0,1481,,41554812
10144,{5769D38F-E4F3-44B3-8797-A98874D987CF},"476 Amsterdam Avenue, Manhattan, NY",7.0,2020-08-11T15:58:00.000,Nov-12,684.0,476,,40592566
10558,{7270E1A4-C8B8-4747-8F13-30EB777D72E1},"211 Waverly pl, Manhattan, NY",2.0,2020-08-22T16:51:00.000,Jul-41,,211,8.0,50076526
10815,{F78EBF30-27EA-4D7B-87BA-EB8F7126F882},"61 CHRISTOPHER STREET, Manhattan, NY",2.0,2020-09-02T20:51:00.000,May-50,1710.0,undefined,,41029356
10269,{DA3D1B8C-B5D1-4170-81BC-B26FF37C05E4},"163 5 ave, Brooklyn, NY",6.0,2020-08-14T23:13:00.000,Nov-63,,163,,50058706
10336,{648841F5-6F9E-40CA-8236-DA2234FCB3BF},"$13531 40road, Queens, NY",7.0,2020-08-17T14:14:00.000,,,13531,8.0,41197758
10230,{A632699E-2EC7-4CEE-8D5C-7EA1E0B9BB32},"1900 Broadway, Manhattan, NY",7.0,2020-08-13T20:59:00.000,Mar-16,1380.0,1900,,40367841
1040,444b8588-85bc-44fd-8c2a-855bb5aa3cb8,"21 Peck Slip, Manhattan, NY",1.0,2020-06-19T14:44:00.000,1253814,450.0,21,8.0,41591488
10299,{2CAF71B0-636s-4279-8B68-BC091CAA4669},"108 Patchen Avenue, Brooklyn, NY",3.0,2020-08-16T14:45:00.000,Mar-20,,108,8.0,50045371
10810,{E34CF0B7-11AE-4FA4-8FD6-775590EA44EA},93AQN,3.0,2020-09-02T14:43:00.000,Feb-00,70.0,undefined,8.0,41125700
10415,{1B634D5B-FFEC-4738-8845-58E2338F510C},"6415  20AVE , Brooklyn, NY",11.0,2020-08-19T01:13:00.000,,30.0,6415,,50105417
10580,{3F2B4026-DF96-4366-88CB-3D10DC67D8D6},"90 West 3rd Street, Manhattan, NY",2.0,2020-08-24T12:22:00.000,,133.0,90,,50045947
10670,{0C04B552-13E7-437D-8726-1AF139A3EC9A},"939 8 AVENUE, Manhattan, NY",4.0,2020-08-26T22:28:00.000,Dec-17,,undefined,8.0,41382688
10382,{D4CC700E-963F-4A3F-89EC-0896E0CA0AFE},"2460 BROADWAY, Manhattan, NY",7.0,2020-08-18T14:07:00.000,,570.0,2460,,50065575
10039,{2535F30E-AC40-4D67-85A4-DFE910102D8F},"221 221 E 58TH ST, Manhattan, NY",,2020-08-07T20:16:00.000,B0902391,360.0,221,,41296528
10545,{01184FC8-DE42-4D05-85A1-0D757B339B81},"1910 Coney Island Avenue, Brooklyn, NY",12.0,2020-08-21T18:31:00.000,Nov-78,546.0,1910,8.0,50073322
10104,{19A72CDC-BA02-4383-817A-023951E9190B},"1099 1 Ave., Manhattan, NY",8.0,2020-08-10T14:36:00.000,Mar-23,40.0,1099,,50035991
10351,{346C0704-1DC5-4081-85AF-84A0E76AF01E},"2170 Broadway, Manhattan, NY",7.0,2020-08-17T19:55:00.000,Apr-73,442.0,2170,,50001734
10456,{27378BF6-9050-4923-8D1A-833401DCA979},"34 pell, Manhattan, NY",3.0,2020-08-19T17:06:00.000,Dec-12,,34,,50013843
10619,{AB,"125 WEST  116 STREET, Manhattan, NY",10.0,2020-08-25T12:44:00.000,,836.0,undefined,,41639194
10038,{595E6DAF-2D64-408A-8267-E12CC39C1C19},"560 Ralph, Brooklyn, NY",,2020-08-07T19:14:00.000,,75.0,560,5.0,50037266
10519,{76CFBF5F-2AD7-49C7-8651-8946004044DA},"176-49 Union Turnpike, Queens, NY",8.0,2020-08-21T13:37:00.000,,252.0,176-49,6.0,41486945
10362,{9C9E6F95-C959-4988-8BF3-A1E5668ECA0C},"13531 40 road , Queens, NY",,2020-08-18T10:32:00.000,,,13531,8.0,41197758
10522,{C53F7C23-D425-48F0-858F-FDC96322D285},"7824 13th Ave, Brooklyn, NY",10.0,2020-08-21T14:17:00.000,,240.0,7824,,50105727
10504,{AF0E6C9E-5607-4377-8DF5-7D895659767B},"78-17 ROOSEVELT AVE, Queens, NY",3.0,2020-08-21T08:54:00.000,,160.0,78-17,,50081709
106,47119f16-4e52-4f5e-830d-3151749d2adb,"141 Mulberry Street, Manhattan, NY",2.0,2020-06-19T11:03:00.000,1167865,500.0,141,12.0,41025692
10617,{8AE0329A-C777-40B5-829A-C0BC80D88C7C},2WABN,4.0,2020-08-25T12:00:00.000,,210.0,undefined,,41239887
10319,{3E25AAA3-D232-4C1B-803D-4C0EFDA2B91F},"10 Murray street, Manhattan, NY",1.0,2020-08-17T10:14:00.000,,280.0,10,8.0,50056330
10701,{101126BA-B696-4B06-855A-1E87CCF47B3E},"117 2 AVENUE, Manhattan, NY",3.0,2020-08-28T12:48:00.000,Jun-47,1044.0,undefined,8.0,41699229
10130,{238E0C84-0AD1-43E0-8A41-1CA6B17E329C},"45-30  Bell Blvd, Queens, NY",11.0,2020-08-11T10:53:00.000,Oct-51,860.0,45-30,,50056201
10153,{65ABEFCA-60D0-42B8-8F9B-DA15AE0DDF82},"76  Bushwick Avenue, Brooklyn, NY",1.0,2020-08-11T18:53:00.000,,400.0,76,8.0,50005889
10156,{B9CF2E74-0291-4BF9-8903-F1E49E8E17AA},"384 7 avenue, Brooklyn, NY",6.0,2020-08-11T19:21:00.000,,,384,3.0,50087032
10644,{B49CED33-813D-45AC-8D04-023186177C54},"1467 YORK AVENUE, Manhattan, NY",8.0,2020-08-26T10:30:00.000,Jun-40,320.0,undefined,8.0,50033788
10821,{B8963F54-FC09-48BE-8310-122F731DDDB8},"245 BROOK AVENUE, Bronx, NY",1.0,2020-09-03T11:39:00.000,Nov-88,518.0,undefined,,50002478
10750,{42B2D0CF-2162-4D5E-85E9-C355F24943AA},"5653 MYRTLE AVE, Queens, NY",5.0,2020-08-30T21:23:00.000,Aug-18,855.0,undefined,8.0,50105113
10449,{4DA0FA7B-DAAD-4D0D-840E-764611D01EFE},"37 W 17th , Manhattan, NY",5.0,2020-08-19T16:27:00.000,Mar-06,240.0,37,8.0,40541030
10492,{44A696B0-34D7-4C6C-8CD8-2499D4C03FB9},"222 East 39th Street, Manhattan, NY",6.0,2020-08-20T18:32:00.000,Nov-32,170.0,222 East,,50037844
10489,{22CA7F2F-9A0A-45AB-8676-D5BDF29C701D},"12 12 E 41st Street, Manhattan, NY",,2020-08-20T18:07:00.000,Sep-06,270.0,12,8.0,41551165
1031,368c12f3-b4c0-4a23-881d-56343a952a2c,"296  Bleecker Street, Manhattan, NY",2.0,2020-06-19T14:46:00.000,1200891,60.0,296,8.0,50056708
10436,{D04B9584-0465-4B9B-8434-B3E07BC9CCB7},"32 GANSEVOORT ST, Manhattan, NY",2.0,2020-08-19T12:48:00.000,,160.0,32,8.0,50052953
10128,{B6794264-5922-475A-8E4B-1FF1B05FFB85},"998 Amsterdam Avenue, Manhattan, NY",7.0,2020-08-11T09:24:00.000,Dec-30,,998,,50043772
10636,{298A66F6-3B54-442B-8FDD-EF448FD92123},"212 LAFAYETTE STREET, Manhattan, NY",2.0,2020-08-25T18:12:00.000,Feb-04,150.0,undefined,8.0,41337465
10176,{0616E633-8D0D-48BB-8FB8-1BC9FE3D5C39},"2130 Broadway, Manhattan, NY",7.0,2020-08-12T14:26:00.000,Apr-05,480.0,2130,8.0,40931927
10724,{416B0E84-7051-4F7B-8D82-520299CDE8D9},"544 WEST  113 STREET, Manhattan, NY",9.0,2020-08-28T18:04:00.000,Feb-13,,undefined,8.0,40381210
10671,{0B3B1353-8BF9-441A-8BFF-BD3606F4C52D},"279 EAST  149 STREET, Bronx, NY",1.0,2020-08-27T07:49:00.000,,450.0,undefined,,50050671
10321,{87B61FDF-720D-4E56-8DD5-0A70B7D2AC10},"726 COURTLANDT AVE, Bronx, NY",1.0,2020-08-17T10:29:00.000,,100.0,726,8.0,50104163
10448,{5F14CBD5-BCD3-4DC0-89E4-5C944F31BAB4},"25 Pell Street, Manhattan, NY",3.0,2020-08-19T16:17:00.000,May-96,,25,,41084481
10222,${2DDC7213-5F11-4534-883A-8622D0AA67E8},"338  3rd Avenue , Manhattan, NY",6.0,2020-08-13T16:50:00.000,Apr-47,455.0,338,,50059374
10212,{E3C6154D-2C1B-4246-8246-873B55AF0257},"68 Jay Street, Brooklyn, NY",2.0,2020-08-13T14:34:00.000,,,68,8.0,50047483
10871,{7C95464B-7790-46A2-8E03-C74A163B758D},"409411 ATLANTIC AVENUE, Brooklyn, NY",,2020-09-05T17:53:00.000,Apr-26,272.0,undefined,,41569764
10370,{AE43544B-F142-414A-8B20-B12865C52CBF},"1155  2nd ave, Manhattan, NY",8.0,2020-08-18T11:46:00.000,Feb-10,320.0,1155,6.0,50104399
10715,{44CF0664-D0CE-4FA9-86C3-FE854F2E0E92},"144 WEST   65 STREET, Manhattan, NY",7.0,2020-08-28T15:08:00.000,Nov-49,48.0,undefined,8.0,41632211
10356,{48FFC885-595B-415B-84CF-50E27498D0E7},"1447 Richmond Ave. , Staten Island, NY",2.0,2020-08-18T10:08:00.000,Dec-66,2850.0,1447,0.0,41714253
10881,{65B979A4-CB82-4112-8928-910CD72764B6},"50 GREENWICH AVENUE, Manhattan, NY",2.0,2020-09-07T12:33:00.000,Jul-94,100.0,undefined,8.0,50081021
10453,{83191AA0-947B-4084-89D2-050BC458CDAB},"6 Bond street, Manhattan, NY",2.0,2020-08-19T16:54:00.000,Aug-06,200.0,6,,40620325
10820,{FE884900-A0CB-4864-8E76-01CA8AAAFD67},"340 STERLING PLACE, Brooklyn, NY",8.0,2020-09-03T11:12:00.000,Dec-82,1720.0,undefined,,50105157
1003,a323f70c-c586-42a7-8f87-53b230fb1a95,"346 West 46th., Manhattan, NY",,2020-06-19T14:05:00.000,1199101,408.0,346,10.0,41312094
10640,{E1153FF9-0004-49FA-8FF2-5CF3E16686A2},"4908 43RD AVE, Queens, NY",2.0,2020-08-25T22:09:00.000,,200.0,undefined,,50069669
10828,{A037EDB4-A949-4FF9-89F5-84016780158E},"354 BOWERY, Manhattan, NY",2.0,2020-09-03T14:07:00.000,,266.0,undefined,8.0,50105541
1012,5be2bf16-1d12-4a3b-8a48-e9b931e8bf6d,"7006 3 RD AVE, Brooklyn, NY",,2020-06-19T14:33:00.000,,360.0,7006,8.0,41486182
10908,{9542C9B8-7144-48B2-8DC8-FAB32FA33BC6},"343 WEST   46 STREET, Manhattan, NY",4.0,2020-09-09T15:49:00.000,Oct-50,480.0,undefined,8.0,41632738
10005,{B9E7740C-95B7-4992-81F5-437B17FF0627},"1009402 13th Street, Manhattan, NY",,2020-08-07T13:59:00.000,Sep-74,168.0,1009402,8.0,50088038
10588,{4EE1E22F-E516-4DCB-8CC3-09AEC87BCEA3},"53 East 8th Street, Manhattan, NY",2.0,2020-08-24T14:21:00.000,,69.0,53,,41710522
10248,{4AC931EE-CDBE-4FDC-8A85-6B4C0FC82359},"211 W Broadway, Manhattan, NY",1.0,2020-08-14T13:58:00.000,Jan-07,138.0,211,,40553443
10160,{11AE7BDD-5B94-46CB-8955-41C6FDF75E1E},"49-11 Roosevelt Ave., Queens, NY",2.0,2020-08-11T22:02:00.000,Mar-69,299.0,49-11,,50067182
10354,{5C01D771-907B-47C0-89E8-2F0BE1D7E070},"1544 Dekalb Ave, Brooklyn, NY",4.0,2020-08-18T08:29:00.000,Feb-92,100.0,1544,8.0,50083173
10518,{8288313C-6A99-405D-885F-A42035C6B34E},"39-26  BELL BLVD, Queens, NY",11.0,2020-08-21T13:23:00.000,,40.0,39-26,8.0,50105441
10017,{BAD229EC-7B1F-4A6C-83AE-C26434856778},"886  Amsterdam ave, Manhattan, NY",7.0,2020-08-07T15:09:00.000,Feb-95,,886,,50087864
10306,{D4C837BB-753F-4D4E-8706-686BA46B50FF},"236  Troutman Street, Brooklyn, NY",4.0,2020-08-17T00:46:00.000,Jan-58,48.0,236,5.0,50064213
107,edf27174-70f5-4770-862a-a98eeefdadb2,"119  23 Street , Manhattan, NY",,2020-06-19T11:00:00.000,1309965,420.0,119,13.0,50061322
10458,{4DC4D4D0-041D-47A5-8473-02FB70332480},"3415 28 ave, Queens, NY",1.0,2020-08-19T17:59:00.000,,60.0,3415,,50072337
10494,{E038A025-82C1-4966-8363-04834017ADC3},"172 Avenue B, Manhattan, NY",3.0,2020-08-20T19:52:00.000,,288.0,172,,50047650
10334,{F61ECAED-33B5-485E-88A0-FDFADD4CE3AC},"1664  Third Avenue, Manhattan, NY",8.0,2020-08-17T14:00:00.000,Oct-07,96.0,1664,8.0,50097058
10191,{16E2E699-0614-43A1-8A1D-73950B7D05AE},"205 Bedford Ave, Brooklyn, NY",1.0,2020-08-12T20:40:00.000,Sep-88,,205,8.0,50006419
10363,{08AAB21F-4E9F-4D9E-8DA5-37D7F880F237},"311 AMSTERDAM AVE, Manhattan, NY",7.0,2020-08-18T10:39:00.000,,72.0,311,8.0,50041815
10654,{603620B3-8193-436B-879B-CC28CB9B4E1C},"397 TROY AVENUE, Brooklyn, NY",9.0,2020-08-26T15:23:00.000,Feb-04,240.0,undefined,,50064520
10257,{F916872C-A8F1-4150-8A20-2307EA416D99},"214 Front Street, Manhattan, NY",1.0,2020-08-14T16:44:00.000,Aug-32,,214,,41231878
1090,1957c92b-40de-4fbc-80cf-299254bdc109,"1022 Madison Avenue, Manhattan, NY",8.0,2020-06-19T15:03:00.000,1026767,120.0,1022,5.0,40560302
1082,992cf7bc-35d0-4f27-8f05-07d16fa0d0a2,"n Avenue, Queens, N",2.0,2020-06-19T14:55:00.000,1309925,210.0,26-21,9.0,50065915
10291,{E48023D5-8DD2-4617-847B-A6D8FD625504},"112  Greenwich Avenue, Manhattan, NY",2.0,2020-08-16T08:51:00.000,Jul-32,,112,8.0,50103264
10833,{485D7F21-D55A-4898-875B-79F88F199192},"5405 8 AVENUE, Brooklyn, NY",12.0,2020-09-03T14:52:00.000,Oct-16,48.0,undefined,8.0,41539993
10550,{252A75B2-7C8B-45D1-88CD-E762BF386656},"354  Melrose Street, Brooklyn, NY",4.0,2020-08-21T20:00:00.000,Dec-77,135.0,354,8.0,41450589
10889,{1A5E7EDF-2D35-48B0-8944-D4E9C2DA60FD},"10826 ASCAN AVENUE, Queens, NY",6.0,2020-09-08T13:05:00.000,Sep-51,95.0,undefined,8.0,40398440
10529,{B2380BF7-7318-4CC5-8B3E-0A945616C75C},"274 274 Grand Street, Manhattan, NY",,2020-08-21T14:57:00.000,May-85,280.0,274,8.0,50084400
10507,{6D2C84DC-A107-4930-896D-E5EA74865FD9},"283 West 12th Street, Manhattan, NY",2.0,2020-08-21T10:07:00.000,Jul-36,,283,8.0,50048588
10045,{72A65A0B-8F77-4036-82AC-910FD693D3AC},"39-15  Bel Blvd, Queens, NY",,2020-08-08T01:21:00.000,Jan-86,128.0,39-15,8.0,50000950
10036,{FE63E11B-1E7A-437F-820E-B4FA74C8E009},"261 5th ave, Brooklyn, NY",6.0,2020-08-07T18:06:00.000,Dec-06,320.0,261,8.0,40952129
10537,{14372379-F9B9-42F6-88C8-4CAADB9E8535},"14228 38TH AVE, Queens, NY",7.0,2020-08-21T16:20:00.000,,525.0,14228,8.0,50100239
10426,{5D5E7125-6D7B-4D94-805F-A5A032692F7E},"413 GREENWICH ST, Manhattan, NY",1.0,2020-08-19T11:13:00.000,,216.0,413,8.0,50010212
10060,{D3D23D24-5613-49F8-883F-AE5BE6F9D031},"26 East 60th Street, Manhattan, NY",8.0,2020-08-08T13:01:00.000,Jan-60,48.0,26,8.0,50061117
10068,{7929121A-ADA1-466F-8ADA-6FBC836AB048},"5980 58th rd, Queens, NY",5.0,2020-08-08T14:19:00.000,Jun-84,400.0,5980,8.0,41395526
10770,{39AAEE12-7626-444E-8781-1D501B470B15},"7680 EAST  116 STREET, Manhattan, NY",,2020-09-01T12:14:00.000,Jan-06,,undefined,8.0,41314155
10431,{85EFEE40-1EEB-4744-8EF9-3CEB72F8AF05},"2937  BROADWAY, Manhattan, NY",9.0,2020-08-19T11:57:00.000,,720.0,2937,8.0,50040802
10383,{ACD58646-261B-4271-8ABD-8AEC79AB3072},"144 Sullivan Street, Manhattan, NY",2.0,2020-08-18T14:11:00.000,Jun-55,48.0,144,,41246444
10119,{0EC9B00D-6D21-4E6A-816D-C76515B39353},"24 Peck Slip, Manhattan, NY",1.0,2020-08-10T18:41:00.000,Dec-32,400.0,24,8.0,41219569
10116,{DFEB2E84-C151-4A78-8F9D-529ABCB3456F},"46-17 Queens blvd, Queens, NY",2.0,2020-08-10T18:36:00.000,May-99,24.0,46-17,8.0,50087029
10721,{0FA0EBEA-F4E4-43B9-87C6-B2798C1AE17E},"2656 BROADWAY, Manhattan, NY",7.0,2020-08-28T16:56:00.000,Dec-97,56.0,undefined,8.0,50079330
10106,{4A3E4F12-06B5-40B4-85AD-FD2FD6CCD6CE},"22134 HORACE HARDING EXPY, Queens, NY",11.0,2020-08-10T15:09:00.000,May-07,400.0,22134,8.0,50087740
1035,4768555b-22d4-42f2-8ac5-a01d81855179,"489  Columbus Avenue , Manhattan, NY",7.0,2020-06-19T14:45:00.000,1301818,120.0,489,8.0,653776
1050,ed43d70c-12dh-484f-814e-fa009684ba6b,"71 Sixth Ave, Brooklyn, NY",8.0,2020-06-19T14:48:00.000,1292332,360.0,71,18.0,50057576
10009,{007F35C7-3419-4A92-8E8A-4EA4A148C90D},"4515  5th Ave , Brooklyn, NY",7.0,2020-08-07T14:14:00.000,Jun-86,,4515,,50100328
10295,{D9218020-8E45-4D0A-839F-ABE798402C6B},"44-09 Kissena blvd, Queens, NY",7.0,2020-08-16T13:45:00.000,Nov-02,168.0,44-09,8.0,50077173
10512,{D1EA1614-1E3D-4B55-8A54-8B8BCAF47DBD},"15 West 28th Street, Manhattan, NY",5.0,2020-08-21T11:23:00.000,,,15,8.0,50065316
1088,180d25d2-4b7a-410c-8ba3-4431874b5d0f,"232  bleecker st, Manhattan, NY",2.0,2020-06-19T15:01:00.000,1320318,210.0,232,,50098467
10817,{E3E28A97-6841-4C00-84A0-F19EA789BB16},"24 NAVY PIER COURT, Staten Island, NY",1.0,2020-09-03T10:33:00.000,,180.0,undefined,,50105925
10514,{554E519E-0DAC-403A-806A-8471F70A3B35},"252-29  Northern Blvd, Queens, NY",11.0,2020-08-21T11:37:00.000,Dec-61,420.0,252-29,,50062830
1065,105e9b8f-d110-45ab-82f8-3e651e926703,"195-197  GRAND STREET, Manhattan, NY",2.0,2020-06-19T14:51:00.000,1025285,160.0,195-197,8.0,40600383
10756,{7F5A1971-D649-4DE4-8D80-A8004A5DE13C},"755 FLATBUSH AVENUE, Brooklyn, NY",14.0,2020-08-31T13:58:00.000,Nov-91,,undefined,7.0,50043710
10331,{5E809360-B6A1-4F35-8B27-84C2C3BEC7F3},"401 50th, Manhattan, NY",,2020-08-17T13:06:00.000,,264.0,401,8.0,50099336
10907,{CD2A9E41-7524-4335-8B16-38A5A8FB6C05},"242 BROOME STREET, Manhattan, NY",3.0,2020-09-09T15:47:00.000,Jun-25,1632.0,undefined,8.0,50105935
10162,{E28E877F-9B57-4E3F-86FB-FC1DC1AC913A},"864 Madison Ave , Manhattan, NY",8.0,2020-08-12T10:01:00.000,,440.0,864,,50054046
10649,{A213525C-A6BC-420A-8A5B-99DD28ADEEC8},"40-04 69 STREET, Queens, NY",2.0,2020-08-26T12:07:00.000,Oct-28,144.0,undefined,8.0,40798773
10003,{46F009AC-1DF9-4F39-8973-01E407466B67},"81 PEARL STREET, Manhattan, NY",1.0,2020-08-07T13:48:00.000,Jan-32,,81,,50004654
10587,{7F323594-1674-42FE-8885-ACE3BBB6BD6A},"212 pearl street/ fletcher street, Manhattan, NY",,2020-08-24T13:56:00.000,,,212,8.0,41382108
10759,{653C3C43-0A1F-46FE-8169-9ABC472500F8},"16 WESTCHESTER SQ, Bronx, NY",10.0,2020-08-31T17:01:00.000,,675.0,undefined,,50039189
10638,{9D8FA13C-DF64-42FE-819A-B8461874DB4D},"18524A HORACE HARDING EXPY, Queens, NY%",8.0,2020-08-25T20:46:00.000,,180.0,undefined,,50053455
10051,{3E301D0C-8010-4405-81FC-7677B593CB37},"1 DOYERS STREET, Manhattan, NY",3.0,2020-08-08T10:53:00.000,,,1,,41641642
10302,{2F112503-570E-4DD1-8EFE-77C7C77902D2},"694 Manhattan Avenue , Brooklyn, NY",1.0,2020-08-16T17:14:00.000,May-04,,694,8.0,41057360
10513,{28BD0C03-833D-459D-829B-BF322DFDFB38},"225 LIBERTY STREET, Manhattan, NY",1.0,2020-08-21T11:27:00.000,,0.0,225,,50009624
10896,{6C385F45-F62B-4BFB-874A-30FB41A85B00},"286 COLUMBUS AVENUE, Manhattan, NY",7.0,2020-09-08T20:40:00.000,Jun-41,276.0,undefined,8.0,50051577
10735,{DC580E53-885C-4BB0-869B-1C258906928F},"52 8 AVENUE, Manhattan, NY",2.0,2020-08-29T14:43:00.000,Oct-21,45.0,undefined,8.0,40976304
10768,{C42FEC0F-0B4B-4EDD-821C-F21A06BB5F76},"92 HESTER STREET, Manhattan, NY",3.0,2020-09-01T11:16:00.000,Jun-28,45.0,undefined,8.0,50002780
10413,{470D6730-B86B-4947-849A-D15760302D19},"46 Greenwich Ave, Manhattan, NY",2.0,2020-08-18T21:54:00.000,Sep-17,32.0,46,,50019063
10661,{AB797F07-2109-4BC2-8975-7E43F96FA797},"324 EAST   57 STREET, Manhattan, NY",6.0,2020-08-26T16:14:00.000,Oct-11,,undefined,8.0,40742056
10164,{D7CFA0A8-16F8-4FF5-82EA-C987F33DE7CE},"106  7th AVE, Brooklyn, NY",6.0,2020-08-12T10:24:00.000,,44.0,106,8.0,50046390
10155,{87E3E73C-F5CD-4272-8EF4-DE5CDF758208},"74-01  METROPOLITAN AVENUE, Queens, NY",5.0,2020-08-11T18:58:00.000,,420.0,74-01,,41629073
10315,{30DBEB03-F6E2-4C22-89D7-9F3D36644EBB},"631  9 th Avenue , Manhattan, NY",,2020-08-17T09:55:00.000,Feb-21,144.0,631,8.0,40668464
10220,{B80B082A-7C26-449A-81A0-D20FEF8C2597},"65 4th street , Manhattan, NY",,2020-08-13T16:13:00.000,Dec-57,264.0,65,8.0,41466567
10265,{55E1297F-3A71-4902-822C-69FB043C0B58},"496 Crescent, Brooklyn, NY",,2020-08-14T18:10:00.000,,60.0,496,3.0,50056793
10188,{B9BFFA29-C813-4197-8DEC-6B904A01EFFC},"462  Avenue of America , Manhattan, NY",2.0,2020-08-12T18:52:00.000,,45.0,462,8.0,50074799
10477,{3CF9CDEA-3F8D-4D43-8570-8B6C46466F99},"1725 AVENUE M, Brooklyn, NY",14.0,2020-08-20T14:43:00.000,,360.0,1725,,50068251
10147,{5B3C6A50-FF98-48BF-89E0-D8391BA3EA39},"618 EAST 183RD STREET, Bronx, NY",6.0,2020-08-11T16:30:00.000,,,618,8.0,50085429
10771,{186253DA-5052-46E0-895A-D57A9BDB393D},"8101 ROOSEVELT AVENUE, Queens, NY",3.0,2020-09-01T13:10:00.000,Jul-51,500.0,undefined,8.0,40396445
10682,{607C05B9-0940-40DC-8A36-6CC6E32A1FC0},"1749 UNIVERSITY AVENUE, Bronx, NY",5.0,2020-08-27T16:07:00.000,,500.0,undefined,,41241627
10118,{2F642F94-BF8B-49DA-8DEA-799A000B89C4},"4518  5TH Ave, Brooklyn, NY",7.0,2020-08-10T18:40:00.000,,48.0,4518,8.0,50044006
10361,{9CA62BC6-6D7C-4566-8D80-C8FE4F2B0A72},"2880  Broadway , Manhattan, NY",9.0,2020-08-18T10:28:00.000,,600.0,2880,8.0,40389356
10002,{DA48265D-7730-416F-8E1C-EBC8C8ACE2C2},"4632  5th Avenue , Brooklyn, NY",7.0,2020-08-07T13:43:00.000,,,4632,,50011100
10840,{5C079B60-2EE5-4714-8362-DE087E6DB719},"2149 FREDERICK DOUGLASS BOULEVARD, Manhattan, NY",10.0,2020-09-03T18:57:00.000,Jan-43,,undefined,,50089893
10317,{12BB9D46-0FE8-4131-81C6-BB799892E06D},"1270  First Ave, Manhattan, NY",8.0,2020-08-17T10:04:00.000,,90.0,1270,8.0,50105500
10014,{41F74F8B-0C67-4093-826F-EC5E3AB3DBBF},"4620 5th , Brooklyn, NY",,2020-08-07T14:51:00.000,,,4620,,50103003
10827,{1F0988C6-0D00-4164-8DBD-DE7FDEB07BFC},"1407 BROADWAY, Manhattan, NY",5.0,2020-09-03T13:36:00.000,,84.0,undefined,6.0,50069905
1026,8134eaa7-01ae-4f1c-8e28-ef196b05ad4e,"903  903 Madison Avenue, Manhattan, NY",,2020-06-19T14:45:00.000,1291321,715.0,903,,50044629
10073,{B946019D-351D-431A-85AB-2093E163BE23},"%283 Columbus ave, Manhattan, NY",7.0,2020-08-08T16:57:00.000,Jun-01,,283,8.0,50087688
10744,{3D7A5132-C45C-4AA2-8CF1-0C0F93E1EB26},"35-02 154 STREET, Queens, NY",7.0,2020-08-30T15:49:00.000,Oct-31,200.0,undefined,8.0,50104312
10478,{16A29570-D5E1-41A0-8579-42EC1D1816FB},"2050  86th Street, Brooklyn, NY",11.0,2020-08-20T15:09:00.000,,384.0,2050,8.0,50078609
10852,{58E7A3EF-6220-45B2-8696-4B38523CA32D},"514 UNION STREET, Brooklyn, NY",6.0,2020-09-04T16:14:00.000,Nov-70,,undefined,8.0,50005171
