queens_cooperatives_comparable_properties_boro_block_lot,queens_cooperatives_comparable_properties_address,comparable_rental_3_expense_per_sqft,comparable_rental_1_address,comparable_rental_2_market_value_per_sqft,comparable_rental_2_gross_sqft,comparable_rental_1_market_value_per_sqft,comparable_rental_1_gross_sqft,comparable_rental_1_year_built,comparable_rental_2_estimated_gross_income,latitude,comparable_rental_3_market_value_per_sqft,comparable_rental_3_full_market_value,longitude,comparable_rental_3_distance_from_coop_in_miles,comparable_rental_1_estimated_gross_income,comparable_rental_1_full_market_value,comparable_rental_3_address,comparable_rental_2_estimated_expense,comparable_rental_3_year_built,comparable_rental_1_total_units,census_tract,comparable_rental_2_full_market_value,comparable_rental_2_boro_block_lot,queens_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_year_built,queens_cooperatives_comparable_properties_net_operating_income
4-12495-0002,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""163 BAISLEY BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",8.38,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""125 SUTPHIN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",25.38,1085148.0,33.92,195000,1981,11714802.0,,34.96,"15,695,000",,5.49,2870589,6615000,3 SEAGIRT BOULEVARD,7267835.0,1975,148,,27546000.0,4-15926-0001,6940450,1974.0,36714981
4-03338-0030,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5.02,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""82 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",63.8,140196.0,50.91,124343,1927,2209851.0,,51.98,"5,598,000",,0.24,1926619,6330000,83 LEFFERTS BOULEVARD,902017.0,1937,144,,8944000.0,4-03321-0061,146748,1950.0,1441065
4-00709-0028,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""44 NEWTOWN ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.08,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""32 41 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",32.76,46000.0,42.86,45920,1931,540489.0,,47.19,"5,115,000",,0.4,619002,1968000,53 32 AVENUE,238989.0,1941,60,,1507000.0,4-00704-0027,80382,1932.0,241827
4-03292-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""109 ASCAN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",8.36,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""150 GREENWAY TERRACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",68.42,90000.0,80.58,139142,1941,1472009.0,40.715309,60.67,"2,912,000",-73.842502,0.13,2555737,11212000,72 AUSTIN STREET,566401.0,1920,96,723.0,6158000.0,4-02226-0001,148181,1939.0,1243239
4-01438-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""33 90 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""33 85 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",30.36,59778.0,33.28,50900,1954,651788.0,, , ,, ,605146,1694000, ,284387.0, ,49,,1815000.0,4-01445-0001,369450,1951.0,2357091
4-08447-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""71 260 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 192 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",70.1,83650.0,77.26,205744,1950,1582109.0,, , ,, ,3807831,15895000, ,765246.0, ,215,,5864000.0,4-09247-0001,174680,1941.0,1559892
4-10682-0053,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""214 HILLSIDE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""213 HILLSIDE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",47.2,14300.0,50.63,14300,1949,212836.0,40.566978, , ,-73.892396, ,218088,724000, ,114844.0, ,18,91601.0,675000.0,4-10681-0102,19300,1949.0,137609
4-05301-0017,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""36 170 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.09,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""40 190 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",79.9,10838.0,79.9,10838,1926,191975.0,,37.69,"848,000",,0.14,191975,866000,35 169 STREET,71923.0,1925,16,,866000.0,4-05355-0005,16229,1926.0,105488
4-08496-0002,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""76 249 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 192 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",70.1,83650.0,77.26,205744,1950,1582109.0,, , ,, ,3807831,15895000, ,765246.0, ,215,,5864000.0,4-09247-0001,82320,1941.0,735118
4-03168-0036,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""98 67 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.05,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",37.96,62010.0,47.67,60000,1940,829074.0,,38.63,"4,048,000",,0.23,884608,2860000,65 SAUNDERS STREET,439031.0,1941,61,,2354000.0,4-03087-0052,81972,1941.0,595117
4-07739-0003,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""73 217 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",9.07,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 64 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",78.3,174200.0,77.52,138500,1949,3579610.0,,77.29,"1,892,000",,1.08,2812551,10736000,87 WINCHESTER BOULEVARD,1387893.0,1965,177,,13640000.0,4-07672-0002,152364,1949.0,1828368
4-00169-0029,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""45 43 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.9,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""45 42 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",82.73,13152.0,72.85,18984,1931,247538.0,,39.31,"517,000",,0,358658,1383000,45 42 STREET,96064.0,1931,23,,1088000.0,4-00169-0009,18984,1931.0,135003
4-06609-0007,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""138 78 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.48,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",44.92,56075.0,44.27,58392,1950,821393.0,,44.08,"2,574,000",,0.48,843159,2585000,147 73 AVENUE,366654.0,1950,72,,2519000.0,4-06681-0001,54136,1950.0,436336
4-09666-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""139 82 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 141 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",51.14,126552.0,38.11,357885,1958,1919794.0,40.708032, , ,-73.835861, ,4439301,13640000, ,978247.0, ,291,775.0,6472000.0,4-09666-0080,315136,1952.0,2593569
4-02116-0043,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 66 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.05,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 65 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",33.47,142260.0,29.8,70500,1949,1656287.0,,38.63,"4,048,000",,0.26,781598,2101000,65 SAUNDERS STREET,912871.0,1941,65,,4762000.0,4-02115-0001,93118,1946.0,486076
4-01560-0006,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""44 KETCHAM STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5.86,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 BRITTON AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",41.57,116538.0,45.77,59596,1963,1583776.0,,36.02,"2,461,000",,0.16,824030,2728000,83 CORNISH AVENUE,851306.0,1940,70,,4845000.0,4-01581-0028,71196,1963.0,447823
4-08367-0002,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""255 61 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",9.07,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 64 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",78.3,174200.0,77.52,138500,1949,3579610.0,,77.29,"1,892,000",,1.99,2812551,10736000,87 WINCHESTER BOULEVARD,1387893.0,1965,177,,13640000.0,4-07672-0002,82852,1949.0,994224
4-00140-0040,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 48 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.39,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 49 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",45.89,79830.0,48.24,43800,1931,1080532.0,,58.23,"3,092,000",,0.15,694071,2113000,43 45 STREET,395387.0,1928,60,,3663000.0,4-00160-0009,79896,1931.0,675122
4-06607-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""138 77 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.48,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""139 JEWEL AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",45.35,77856.0,48.28,20920,1949,1136573.0,,44.39,"1,727,000",,0.39,334391,1010000,147 75 AVENUE,504385.0,1950,24,,3531000.0,4-06680-0001,107884,1950.0,858757
4-11434-0100,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""151 88 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.26,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""100 92 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",37.53,85000.0,44.68,31023,1931,1057640.0,,38.24,"1,606,000",,1.98,434979,1386000,86 FOREST PARKWAY,375371.0,1928,26,,3190000.0,4-08847-0214,152100,1926.0,981045
4-08764-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""81 LANGDALE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",9.07,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 64 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",78.3,174200.0,77.52,138500,1949,3579610.0,,77.29,"1,892,000",,2.13,2812551,10736000,87 WINCHESTER BOULEVARD,1387893.0,1965,177,,13640000.0,4-07672-0002,39245,1949.0,470940
