queens_cooperatives_comparable_properties_address,queens_cooperatives_comparable_properties_gross_income_per_sqft,queens_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_1_neighborhood,comparable_rental_1_gross_income_per_sqft,comparable_rental_2_distance_from_coop_in_miles,comparable_rental_1_distance_from_coop_in_miles,nta,comparable_rental_3_building_classification,comparable_rental_3_boro_block_lot,bin,community_board,queens_cooperatives_comparable_properties_year_built,comparable_rental_1_boro_block_lot,comparable_rental_3_estimated_expense,comparable_rental_3_gross_sqft,comparable_rental_3_gross_income_per_sqft,community_council,queens_cooperatives_comparable_properties_total_units,comparable_rental_2_building_classification,comparable_rental_3_neighborhood
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""135 JEWEL AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.0,37.08,FLUSHING-SOUTH,15.98,0.7,0.24,,C9-WALK-UP,4-06683-0017,,,1950,4-06595-0032,"252,193","38,908",14.43,,176,C9-WALK-UP,FLUSHING-SOUTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 BOOTH STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.31,50.02,REGO PARK,13.07,0.09,0.12,,D3-ELEVATOR,4-03156-0133,,,1948,4-03168-0013,"1,375,475","177,710",16.13,,128,D1-ELEVATOR,REGO PARK
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 CLYDE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.57,55.41,REGO PARK,14.31,0.21,0.14,,D3-ELEVATOR,4-03156-0133,,,1953,4-03166-0095,"1,375,475","177,710",16.13,,135,D1-ELEVATOR,REGO PARK
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 66 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.06,46.23,FOREST HILLS,19.49,0.65,0.46,,C7-WALK-UP,4-02234-0004,,,1949,4-02137-0024,"96,769","11,579",15.33,,138,C1-WALK-UP,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""71 112 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.71,58.06,FOREST HILLS,15.0,0.13,0.05,,D1-ELEVATOR,4-02246-0011,,,1961,4-02234-0031,"473,243","64,032",16.21,,71,D7-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""166 POWELLS COVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.31,53.97,BAYSIDE,17.98,1.5,1.22,Whitestone                                                                 ,D7-ELEVATOR,4-05137-0005,,7.0,1956,4-05865-0112,"2,239,228","317,305",17.31,19.0,237,D1-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""14 SEAGIRT BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.41,72.41,FAR ROCKAWAY,18.45,0.11,0.12,,D7-ELEVATOR,4-15780-0100,,,1959,4-15625-0001,"1,412,139","220,201",16.41,,114,D1-ELEVATOR,FAR ROCKAWAY
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""112 QUEENS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.06,46.22,FOREST HILLS,17.39,0.27,0.27,,D1-ELEVATOR,4-03341-0016,,,1940,4-03340-0013,"361,742","59,500",19.96,,85,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""36 172 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.0,41.37,FLUSHING-NORTH,17.71,1.7,0.21,, ,,,,1951,4-05355-0008, , , ,,18,C1-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 43 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.55,30.27,SUNNYSIDE,14.55,0.1,0.0,,D1-ELEVATOR,4-00184-0029,,,1930,4-00158-0038,"441,249","61,770",14.73,,94,D1-ELEVATOR,SUNNYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""1 STATION SQUARE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",18.37,58.06,FOREST HILLS,18.71,0.18,0.35,Forest Hills                                                               ,D1-ELEVATOR,4-02225-0001,4077872.0,6.0,1930,4-03205-0001,"416,675","61,930",17.19,29.0,54,D7-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""63 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.65,57.71,REGO PARK,14.89,0.16,0.13,, ,,,,1960,4-03097-0038, , , ,,69,D1-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 77 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.0,53.02,FLUSHING-SOUTH,15.98,0.42,0.62,,C9-WALK-UP,4-06683-0017,,,1937,4-06595-0032,"252,193","38,908",14.43,,56,C9-WALK-UP,FLUSHING-SOUTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""76 113 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.06,46.22,FOREST HILLS,14.18,0.13,0.13,,D1-ELEVATOR,4-03340-0044,,,1960,4-02265-0086,"252,460","52,182",16.75,,47,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""190 39 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.0,41.36,FLUSHING-NORTH,17.59,0.17,0.17,, ,,,,1952,4-05357-0001, , , ,,20,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""124 QUEENS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.17,44.44,BRIARWOOD,16.24,0.4,0.35,,D1-ELEVATOR,4-06636-0001,,,1948,4-09668-0027,"984,785","125,164",15.11,,134,D1-ELEVATOR,BRIARWOOD
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""143 ROOSEVELT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.8,38.75,FLUSHING-NORTH,14.85,0.0,0.0,,D7-ELEVATOR,4-05021-0031,,,1961,4-05023-0001,"646,571","86,534",14.8,,91,D7-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""160 POWELLS COVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.6,37.03,FLUSHING-SOUTH,14.6,4.8,4.81,Whitestone                                                                 , ,,,7.0,1928,4-06680-0001, , , ,19.0,92,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""833 CENTRAL AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.28,38.47,FAR ROCKAWAY,12.34,0.39,0.46,Far Rockaway-Bayswater                                                     , ,,4297683.0,14.0,1966,4-15572-0001, , , ,31.0,87,D1-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""70 LITTLE NECK PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.38,64.43,FRESH MEADOWS,18.51,6.38,3.31,, ,,,,1948,4-07117-0008, , , ,,228,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""87 POMPEII AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.16,48.35,HOLLISWOOD,14.9,0.61,0.49,, ,,,,1950,4-10591-0050, , , ,,112,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 160 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.3,63.65,WHITESTONE,19.02,0.94,0.86,, ,,,,1951,4-04465-0175, , , ,,80,D3-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""222 69 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",20.0,45.7,OAKLAND GARDENS,20.31,0.17,0.23,,C9-WALK-UP,4-07943-0050,,,1949,4-07660-0002,"222,104","24,480",20.77,,156,C9-WALK-UP,QUEENS VILLAGE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 71 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.0,59.46,FOREST HILLS,14.36,0.0,0.05,,D1-ELEVATOR,4-02225-0006,,,1957,4-02235-0047,"558,376","72,800",15.04,,72,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""10 166 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.57,37.57,WHITESTONE,15.92,1.21,1.33,,D1-ELEVATOR,4-05958-0030,,,1958,4-04157-0002,"1,028,325","146,525",16.57,,32,D3-ELEVATOR,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""94 59 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.75,44.37,ELMHURST,14.71,0.15,0.1,,D3-ELEVATOR,4-01918-0105,,,1964,4-01902-0039,"1,473,865","220,000",13.75,,185,D1-ELEVATOR,CORONA
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""143 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.63,43.52,FLUSHING-NORTH,14.85,0.08,0.0,,D7-ELEVATOR,4-05023-0045,,,1963,4-05023-0001,"710,530","98,564",14.63,,78,D1-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""142 84 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.76,45.48,BRIARWOOD,16.69,0.12,0.0,,D1-ELEVATOR,4-09711-0056,,,1959,4-09712-0161,"755,120","103,629",15.96,,76,D1-ELEVATOR,BRIARWOOD
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""189 39 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.0,41.34,FLUSHING-NORTH,17.59,0.21,0.21,, ,,,,1952,4-05357-0001, , , ,,36,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 BOOTH STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.02,32.22,REGO PARK,12.07,0.05,0.0,,D1-ELEVATOR,4-03085-0055,,,1947,4-03099-0016,"206,522","42,450",16.71,,47,D3-ELEVATOR,REGO PARK
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""71 YELLOWSTONE BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.41,54.54,REGO PARK,15.95,0.11,0.26,,D1-ELEVATOR,4-02137-0046,,,1954,4-03173-0013,"407,556","71,000",15.41,,107,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""139 PERSHING CRESCENT"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.5,43.6,BRIARWOOD,14.75,0.49,0.1,, ,,,,1940,4-09651-0061, , , ,,30,C1-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""129 BEACH 118 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.41,51.7,ROCKAWAY PARK,10.69,3.08,0.04,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      , ,,4304848.0,14.0,1961,4-16229-0041, , , ,32.0,68,D3-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""118 UNION TURNPIKE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",18.39,71.87,KEW GARDENS,19.38,0.45,0.0,, ,,,,1974,4-03335-0008, , , ,,213,D1-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""23 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.98,60.01,BAYSIDE,16.57,0.28,0.0,,D3-ELEVATOR,4-05865-0112,,,1961,4-05958-0030,"938,256","147,700",17.98,,127,D3-ELEVATOR,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 83 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.67,40.82,JACKSON HEIGHTS,13.67,,0.14,, ,,,,1948,4-01471-0012, , , ,,29, , 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""92 LAMONT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.83,35.77,ELMHURST,14.12,0.12,0.12,,D1-ELEVATOR,4-01566-0001,,,1963,4-01554-0001,"413,470","69,000",13.56,,78,D1-ELEVATOR,ELMHURST
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""48 45 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.14,45.6,SUNNYSIDE,14.76,0.2,0.0,,D1-ELEVATOR,4-00196-0012,,,1961,4-02288-0007,"382,540","64,758",13.8,,62,D1-ELEVATOR,SUNNYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""320 BEACH 100 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11.87,35.36,FAR ROCKAWAY,10.09,3.87,3.7,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      , ,,4445407.0,14.0,1969,4-15638-0001, , , ,32.0,376,D1-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""47 LITTLE NECK PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.15,44.9,DOUGLASTON,17.15,2.33,0.8,,D3-ELEVATOR,4-05865-0118,,,1961,4-08092-0005,"979,445","147,700",19.34,,58,D1-ELEVATOR,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""26 UNION STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.16,36.91,FLUSHING-NORTH,12.95,1.33,0.61,, ,,,,1957,4-04995-0001, , , ,,504,D1-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""69 JEWEL AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.0,55.54,FLUSHING-SOUTH,15.98,0.61,0.15,,C9-WALK-UP,4-06683-0017,,,1950,4-06595-0032,"252,193","38,908",14.43,,280,C9-WALK-UP,FLUSHING-SOUTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 78 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.0,43.39,FLUSHING-SOUTH,15.98,0.5,0.74,,C9-WALK-UP,4-06683-0017,,,1940,4-06595-0032,"252,193","38,908",14.43,,181,C9-WALK-UP,FLUSHING-SOUTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 80 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.91,46.83,JACKSON HEIGHTS,15.91,0.0,0.0,,D1-ELEVATOR,4-01290-0029,,,1921,4-01290-0025,"254,531","30,540",19.38,,44,D1-ELEVATOR,JACKSON HEIGHTS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""77 QUEENS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11.54,37.2,FOREST HILLS,17.39,0.41,0.19,,D1-ELEVATOR,4-03341-0016,,,1940,4-03340-0013,"361,742","59,500",19.96,,114,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.86,44.49,FOREST HILLS,14.22,0.14,0.15,,D1-ELEVATOR,4-02135-0059,,,1949,4-02137-0027,"973,674","138,700",13,,204,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""199 21 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.37,48.3,BAYSIDE,12.52,1.51,1.51,, ,,,,1951,4-06277-0002, , , ,,212,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""191 CROCHERON AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.0,41.33,FLUSHING-NORTH,16.52,1.44,1.59,, ,,,,1949,4-05210-0007, , , ,,24,C1-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",20.0,45.73,OAKLAND GARDENS,20.31,0.45,0.46,,C9-WALK-UP,4-07943-0050,,,1949,4-07660-0002,"222,104","24,480",20.77,,134,C9-WALK-UP,QUEENS VILLAGE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 66 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.06,46.23,FOREST HILLS,19.49,0.64,0.47,,C7-WALK-UP,4-03256-0031,,,1949,4-02137-0024,"125,362","15,378",23.6,,96,C7-WALK-UP,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""9 166 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.57,37.57,WHITESTONE,15.92,1.21,1.33,,D1-ELEVATOR,4-05958-0030,,,1958,4-04157-0002,"1,028,325","146,525",16.57,,32,D3-ELEVATOR,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""209 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.23,29.41,FLUSHING-NORTH,12.71,1.14,0.82,,D6-ELEVATOR,4-05287-0020,,,1963,4-05307-0024,"468,554","87,978",15.51,,120,D1-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""52 65 PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.43,30.24,WOODSIDE,11.99,0.92,0.79,,D1-ELEVATOR,4-01336-0032,,,1955,4-01336-0001,"251,060","42,924",17.5,,78,D1-ELEVATOR,WOODSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 151 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.71,38.21,WOODHAVEN,14.02,1.91,1.61,,D1-ELEVATOR,4-08847-0357,,,1966,4-09306-0030,"304,997","42,000",13.71,,161,D1-ELEVATOR,WOODHAVEN
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""85 LEFFERTS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11.5,32.53,KEW GARDENS,10.5,0.12,0.1,, ,,,,1928,4-09260-0018, , , ,,64,D1-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""79 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11.46,31.65,JACKSON HEIGHTS,15.72,0.1,0.2,,D1-ELEVATOR,4-01263-0015,,,1955,4-01249-0018,"826,800","104,000",15.89,,150,D3-ELEVATOR,JACKSON HEIGHTS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""77 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.63,35.9,JACKSON HEIGHTS,15.89,0.05,0.05,,D3-ELEVATOR,4-01249-0033,,,1941,4-01263-0015,"554,476","100,890",12.43,,97,D1-ELEVATOR,JACKSON HEIGHTS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 60 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.06,37.08,FOREST HILLS,15.5,0.22,0.18,,D1-ELEVATOR,4-01958-0026,,,1961,4-02121-0051,"475,143","86,400",13.94,,136,D1-ELEVATOR,CORONA
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""107 11 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.81,45.25,FLUSHING-NORTH,17.24,2.67,1.3,, ,,,,1959,4-04807-0041, , , ,,16,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""90 63 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.71,48.57,REGO PARK,14.71,0.1,0.0,,D1-ELEVATOR,4-03097-0038,,,1956,4-03117-0017,"397,656","50,400",14.89,,61,D1-ELEVATOR,REGO PARK
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""104 68 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.12,44.87,FOREST HILLS,14.7,0.1,0.05,, ,,,,1956,4-02138-0029, , , ,,111,D7-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 WOODHAVEN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.76,36.86,KEW GARDENS,13.76,0.57,0.67,,D3-ELEVATOR,4-03360-9001,,,1954,4-03322-0040,"1,821,016","280,588",12.24,,390,D1-ELEVATOR,KEW GARDENS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""1 BEACH 81 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11.87,35.36,FAR ROCKAWAY,10.09,3.16,2.99,, ,,,,1963,4-15638-0001, , , ,,458,D1-ELEVATOR, 
