queens_cooperatives_comparable_properties_boro_block_lot,queens_cooperatives_comparable_properties_expense_per_sqft,comparable_rental_2_expense_per_sqft,comparable_rental_3_total_units,comparable_rental_1_expense_per_sqft,comparable_rental_2_net_operating_income,comparable_rental_1_building_classification,queens_cooperatives_comparable_properties_estimated_expense,borough,queens_cooperatives_comparable_properties_neighborhood,comparable_rental_3_net_operating_income,postcode,comparable_rental_3_estimated_gross_income,comparable_rental_1_estimated_expense,comparable_rental_2_neighborhood,comparable_rental_1_net_operating_income,comparable_rental_2_address,bbl,comparable_rental_2_gross_income_per_sqft,queens_cooperatives_comparable_properties_full_market_value,queens_cooperatives_comparable_properties_building_classification,comparable_rental_2_total_units,queens_cooperatives_comparable_properties_estimated_gross_income
4-00579-0018,6.33,6.39, ,7.06,339695.0,D1-ELEVATOR,583943,4,ASTORIA, ,, ,279066,ASTORIA,286627,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""23 31 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.75,4301000,D4-ELEVATOR,53.0,1305338
4-02135-0036,7.46,7.46,149,6.1,862881.0,D1-ELEVATOR,770066,4,FOREST HILLS,"1,108,589",,"2,229,927",724709,FOREST HILLS,885509,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""102 67 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.72,4268000,D4-ELEVATOR,135.0,1416261
4-08349-0036,8.0,7.97,48,7.87,2191717.0,C9-WALK-UP,1288096,4,LITTLE NECK,"286,440",,"508,544",1090484,OAKLAND GARDENS,1722067,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 69 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,20.55,7117000,C6-WALK-UP,224.0,3220240
4-05024-0001,6.53,6.88,106,5.55,878194.0,D1-ELEVATOR,677226,4,FLUSHING-NORTH,"969,956",,"1,636,401",598242,FLUSHING-NORTH,1222286,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 147 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.18,4917000,D4-ELEVATOR,115.0,1663508
4-01446-0045,5.55,6.11, ,4.99,600661.0,D1-ELEVATOR,946275,4,JACKSON HEIGHTS, ,, ,390826,JACKSON HEIGHTS,400363,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""89 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12.27,6083000,D4-ELEVATOR,108.0,1906190
4-03275-0083,6.73,8.36,67,8.14,402483.0,D7-ELEVATOR,359382,4,FOREST HILLS,"647,758",,"1,064,433",328874,FOREST HILLS,515571,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""72 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.75,3322000,D4-ELEVATOR,50.0,917946
4-05302-0117,7.5,7.03, ,6.82,81774.0,C1-WALK-UP,97463,4,FLUSHING-NORTH, ,, ,85232,FLUSHING-NORTH,100510,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 BOWNE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.52,537000,C6-WALK-UP,18.0,181930
4-00125-0028,4.66,4.69,82,4.89,503471.0,D1-ELEVATOR,725648,4,SUNNYSIDE,"582,821",,"1,038,267",727785,SUNNYSIDE,1153858,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""47 SKILLMAN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.44,3628000,D4-ELEVATOR,60.0,1332448
4-03097-0020,8.16,3.13, ,9.08,125694.0,C1-WALK-UP,108994,4,REGO PARK, ,, ,84117,ELMHURST,102923,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 57 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.21,605000,C6-WALK-UP,15.0,227071
4-01111-0001,9.23,6.08,74,9.23,887208.0,D1-ELEVATOR,6859367,4,WOODSIDE,"641,011",,"1,001,959",3488774,WOODSIDE,2050022,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""53 32 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.27,27610000,D4-ELEVATOR,113.0,10887294
4-03312-0008,5.34,7.81,186,5.75,484808.0,D1-ELEVATOR,1170784,4,KEW GARDENS,"1,612,042",,"2,920,280",426000,KEW GARDENS,675020,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 118 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.73,11990000,D4-ELEVATOR,84.0,3229523
4-08401-0350,8.0,7.97,48,7.87,2191717.0,C9-WALK-UP,975744,4,GLEN OAKS,"286,440",,"508,544",1090484,OAKLAND GARDENS,1722067,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 69 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,20.55,8745000,C6-WALK-UP,224.0,2439360
4-00128-0007,5.95,5.46,82,9.23,355155.0,D1-ELEVATOR,2331222,4,WOODSIDE,"582,821",,"1,038,267",3488774,SUNNYSIDE,2050022,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""39 SKILLMAN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,11.98,14960000,D4-ELEVATOR,61.0,5316753
4-06852-0011,7.34,8.87,84,7.87,515250.0,D1-ELEVATOR,723107,4,FLUSHING-SOUTH,"557,847",,"1,138,591",984785,HILLCREST,906639,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""80 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.74,6874000,D4-ELEVATOR,112.0,1673787
4-07474-0050,7.73,6.63,152,6.15,1877005.0,D1-ELEVATOR,2598826,4,BAYSIDE,"1,717,451",,"2,655,707",703879,BAYSIDE,1257909,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,19.34,14630000,D4-ELEVATOR,152.0,5194290
4-05312-0001,7.5,6.81, ,6.81,210191.0,C9-WALK-UP,192375,4,FLUSHING-NORTH, ,, ,132680,FLUSHING-NORTH,210191,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""40 192 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.59,1061000,C6-WALK-UP,28.0,359100
4-08059-0001,6.0,5.84, ,5.4,1138362.0,C9-WALK-UP,210000,4,DOUGLASTON, ,, ,149526,DOUGLASTON,241406,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""44 DOUGLASTON PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,22.99,1639000,C6-WALK-UP,66.0,490000
4-01304-0049,6.39,5.94,16,8.34,448515.0,C1-WALK-UP,170006,4,ELMHURST,"86,203",,"175,501",241942,ELMHURST,361333,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""72 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.01,926000,C6-WALK-UP,64.0,314960
4-00184-0037,5.95,5.95,94,4.97,306305.0,D1-ELEVATOR,444251,4,SUNNYSIDE,"488,992",,"1,040,180",320355,SUNNYSIDE,455408,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 41 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.46,3487000,D4-ELEVATOR,50.0,1004977
4-11446-0012,7.26,4.42,47,4.91,682269.0,D5-ELEVATOR,1151436,4,HOWARD BEACH,"270,741",,"575,738",152450,WOODHAVEN,282529,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""85 85 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12.44,5951000,D4-ELEVATOR,84.0,2174406
4-03321-0100,5.34,7.81,54,7.73,484808.0,D1-ELEVATOR,560700,4,KEW GARDENS,"456,342",,"814,069",647210,KEW GARDENS,573530,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 118 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.73,5698000,D4-ELEVATOR,84.0,1546650
4-08517-0002,8.45,9.15, ,7.76,816863.0,C9-WALK-UP,1176848,4,GLEN OAKS, ,, ,1597486,KEW GARDENS,2210345,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 125 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,18.91,8973000,C6-WALK-UP,103.0,2420547
4-06171-0001,8.0,7.96, ,9.78,93499.0,C9-WALK-UP,188480,4,BAYSIDE, ,, ,236089,BAYSIDE,277369,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""38 213 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,18.78,1133000,C6-WALK-UP,12.0,471200
4-09860-0040,6.86,6.49,105,5.28,697682.0,D1-ELEVATOR,637983,4,JAMAICA HILLS,"985,803",,"1,712,166",293688,JAMAICA,458630,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""172 HIGHLAND AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.66,3630000,D4-ELEVATOR,90.0,1200706
4-01472-0068,7.49,, ,7.49,,C1-WALK-UP,107144,4,JACKSON HEIGHTS, ,, ,1354827, ,1117556,,,,584000,C6-WALK-UP,,195549
4-01278-0062,7.44,8.51, ,6.37,28595.0,C1-WALK-UP,122202,4,JACKSON HEIGHTS, ,, ,108759,JACKSON HEIGHTS,124385,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 80 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.07,645000,C6-WALK-UP,8.0,219438
4-07633-0001,8.0,7.97,48,7.87,2191717.0,C9-WALK-UP,1161600,4,OAKLAND GARDENS,"286,440",,"508,544",1090484,OAKLAND GARDENS,1722067,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 69 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,20.55,6644000,C6-WALK-UP,224.0,2904000
4-15574-0048,7.8,6.86, ,7.22,973698.0,D1-ELEVATOR,366257,4,FAR ROCKAWAY, ,, ,1034310,FAR ROCKAWAY,995503,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""249 HEYSON ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.65,1893000,D4-ELEVATOR,149.0,653628
4-02218-0001,8.21,7.23,56,5.93,809490.0,D1-ELEVATOR,625602,4,FOREST HILLS,"525,329",,"1,094,900",416095,FOREST HILLS,633826,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""70 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,18.32,3949000,D4-ELEVATOR,78.0,1203198
4-01278-0054,6.37,6.37,8,7.16,124385.0,C1-WALK-UP,104627,4,JACKSON HEIGHTS,"28,595",,"81,947",194821,JACKSON HEIGHTS,203658,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 75 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.65,768000,C6-WALK-UP,27.0,224201
4-05042-0023,6.04,6.04,128,9.05,546613.0,D1-ELEVATOR,219626,4,FLUSHING-NORTH,"869,059",,"1,586,005",302949,FLUSHING-NORTH,235642,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""142 BARCLAY AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.4,1694000,D4-ELEVATOR,63.0,559975
4-05878-0050,6.35,6.63,121,6.35,1877005.0,D3-ELEVATOR,2305050,4,BAYSIDE,"1,399,185",,"2,427,510",938256,BAYSIDE,1717451,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,19.34,29700000,D4-ELEVATOR,152.0,6526740
4-05192-0055,7.31,6.53, ,6.76,1225848.0,D1-ELEVATOR,989430,4,FLUSHING-NORTH, ,, ,946400,FLUSHING-NORTH,1365000,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 ROOSEVELT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.04,6028000,D4-ELEVATOR,158.0,2007285
4-01267-0051,4.71,4.71,40,4.51,86539.0,C1-WALK-UP,67141,4,JACKSON HEIGHTS,"195,476",,"392,219",85664,JACKSON HEIGHTS,69718,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 82 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,8.5,323000,D4-ELEVATOR,24.0,121168
4-02157-0001,7.03,6.34,108,6.1,1226358.0,D1-ELEVATOR,812429,4,FOREST HILLS,"1,041,462",,"1,926,710",724709,FOREST HILLS,885509,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""68 YELLOWSTONE BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.53,5342000,D4-ELEVATOR,118.0,1624858
4-04340-0010,6.3,7.08, ,6.99,1200647.0,D1-ELEVATOR,1477073,4,FLUSHING-NORTH, ,, ,1337397,FLUSHING-NORTH,1140327,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""132 SANFORD AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.37,8668000,D4-ELEVATOR,204.0,3085441
4-05863-0060,5.35,6.39, ,4.31,608473.0,C9-WALK-UP,506506,4,BAYSIDE, ,, ,897160,BAYSIDE,1711526,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 212 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.21,4576000,C6-WALK-UP,84.0,1360465
4-08449-0001,8.45,9.15, ,7.76,816863.0,C9-WALK-UP,519506,4,GLEN OAKS, ,, ,1597486,KEW GARDENS,2210345,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 125 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,18.91,2717000,C6-WALK-UP,103.0,1068522
4-00209-0025,8.52,7.68,63,8.14,446558.0,D9-ELEVATOR,253257,4,SUNNYSIDE,"495,102",,"880,005",500449,LONG ISLAND CITY,430305,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""48 38 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.22,1174000,D4-ELEVATOR,82.0,422690
4-04588-0001,7.02,6.35,121,5.44,1717451.0,D3-ELEVATOR,285658,4,BEECHHURST,"1,399,185",,"2,427,510",317783,BAYSIDE,611569,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.98,1507000,D4-ELEVATOR,152.0,674266
4-02166-0039,6.98,6.68,76,8.01,568390.0,D1-ELEVATOR,695299,4,FOREST HILLS,"484,160",,"996,649",893327,FOREST HILLS,819883,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""63 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.56,4343000,D4-ELEVATOR,76.0,1351748
4-00185-0027,5.95,7.14,50,4.97,468804.0,D1-ELEVATOR,470050,4,SUNNYSIDE,"306,305",,"548,986",320355,SUNNYSIDE,455408,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 42 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.73,3696000,D4-ELEVATOR,60.0,1063340
4-12235-0002,6.05,4.4, ,7.7,524158.0,D1-ELEVATOR,1375625,4,SO. JAMAICA-BAISLEY PARK, ,, ,1501311,CORONA,1369278,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 113 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,8.33,7992000,D4-ELEVATOR,132.0,2621645
4-05299-0055,7.5,7.58,16,7.78,81336.0,C1-WALK-UP,102375,4,FLUSHING-NORTH,"97,902",,"187,236",100578,FLUSHING-NORTH,91005,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 149 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.29,538000,C6-WALK-UP,16.0,191100
4-03254-0029,8.14,8.14,18,9.98,515571.0,D6-ELEVATOR,145446,4,FOREST HILLS,"226,238",,"370,150",870905,FOREST HILLS,1343025,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""71 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,20.9,863000,D4-ELEVATOR,53.0,373441
4-03293-0050,5.7,5.91,76,5.7,612019.0,D1-ELEVATOR,606275,4,FOREST HILLS,"905,608",,"1,472,009",784152,FOREST HILLS,1485944,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 76 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.36,5775000,D4-ELEVATOR,60.0,1756070
4-02100-0029,6.76,6.92,113,6.43,822902.0,D1-ELEVATOR,959379,4,REGO PARK,"676,243",,"1,339,055",807051,REGO PARK,873568,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 64 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.78,6473000,D4-ELEVATOR,132.0,1938627
