poverty_1,asian_2,hispanic_1,total_enrollment,grade_k,grade_3,grade_8
17,19.6%,11,92,43,0,0
155,4.1%,98,220,32,11,18
617,24.8%,352,809,0,0,0
501,3.9%,341,593,0,0,0
501,2.4%,327,501,48,49,66
363,5.1%,286,396,0,0,0
24,4.4%,24,136,0,0,0
276,4.9%,202,506,0,0,0
1500,73.3%,85,3296,0,0,0
5,17.8%,4,45,45,0,0
66,13.1%,85,596,104,98,0
221,6.6%,148,548,74,90,0
183,4.4%,107,183,27,19,0
271,5.8%,162,329,0,0,0
429,2.4%,330,496,0,0,0
241,0.4%,68,276,34,44,0
427,9.1%,213,427,0,0,0
179,1.3%,95,223,0,0,0
351,9.4%,196,351,0,0,0
295,10.1%,174,414,0,0,0
252,2.8%,68,287,25,29,31
396,12.8%,280,439,64,79,0
464,1.3%,260,541,0,0,0
139,7.5%,109,321,56,44,0
1509,72.1%,80,3297,0,0,0
175,0.0%,193,195,0,0,64
224,39.8%,111,254,0,0,0
255,14.4%,234,921,146,186,0
126,48.7%,33,199,0,0,0
75,8.0%,54,162,0,0,0
124,7.7%,86,156,0,0,56
1555,73.2%,77,3292,0,0,0
361,3.0%,232,361,106,0,0
65,11.6%,46,646,112,94,0
53,0.0%,32,64,0,0,0
269,54.5%,65,451,0,0,0
693,2.8%,614,853,102,102,55
134,9.7%,92,300,38,51,0
189,27.8%,85,536,107,60,22
99,10.4%,77,747,124,123,0
142,0.6%,77,161,0,0,59
201,9.2%,164,478,0,0,84
355,4.2%,209,433,0,0,0
1015,87.7%,51,1015,171,167,0
298,3.6%,224,358,0,0,0
344,13.7%,200,542,86,61,0
190,2.4%,122,254,0,0,0
314,7.7%,285,1306,0,0,0
265,25.5%,168,443,0,0,0
250,16.0%,181,319,0,0,0
483,0.4%,364,551,0,0,0
473,1.1%,272,531,0,0,0
313,34.1%,147,358,0,0,0
811,19.4%,506,2635,0,0,0
23,21.3%,26,348,49,60,0
480,5.7%,435,650,0,0,0
73,13.4%,50,469,0,0,174
491,1.0%,351,491,40,53,62
15,27.0%,18,345,49,62,0
10,13.8%,16,123,42,0,0
282,8.0%,193,324,54,49,0
626,30.4%,357,626,102,88,0
575,22.2%,359,761,0,0,0
269,8.9%,265,1162,0,0,0
171,12.9%,96,241,0,0,0
37,17.3%,28,231,14,15,17
330,3.5%,160,405,0,0,0
240,21.3%,145,263,39,40,0
78,13.9%,54,635,103,122,0
271,13.1%,211,756,158,109,0
63,10.8%,54,627,112,86,0
