name,swdapps_prog7,code_prog4,name_prog5,name_prog10,geappsperseat_prog9,gefilled_prog9,name_prog7,name_prog9,eligibility_prog4,swdapps_prog6,bin,eligibility_prog15,priority1_prog1,code_prog15,geapps_prog8,gradespan,admissionsmethod_prog1,code_prog10,code_prog7,geapps_prog15,geseats_prog10,priority1_prog3,swdapps_prog10,code_prog3,swdfilled_prog5,swdapps_prog13,swdapps_prog3,address,swdfilled_prog14
I.S. 025 Adrien Block,,,,,,,,,,,4119139.0,,Priority to residents of the middle school zone,,,6-8,Open,,,,,,,,,,,"34-65 192 Street, Queens, NY 11358",
I.S. 192 The Linden,,,,,,,,,,,4234318.0,,Priority to residents of the middle school zone,,,6-8,Open,,,,,,,,,,,"109-89 204 Street, Queens, NY 11412",
M.S. 390,,,,,,,,,,,2014692.0,,Priority to District 10 students and residents,,,6-8,Open,,,,,Priority to residents of the middle school zone,,X390Z,,,37.0,"1930 Andrews Avenue, Bronx, NY 10453",
Jean Nuzzi Intermediate School,,,,,,,,,,,4226839.0,,,,,6-8,Composite Score,,,,,,,,,,,"213-10 92 Avenue, Queens, NY 11428",
Pelham Gardens Middle School,,,,,,,,,,,2053518.0,,Priority to residents of the middle school zone,,,6-8,Open,,,,,,,,,,,"2545 Gunther Avenue, Bronx, NY 10469",
M.S. 319 - Maria Teresa,,,,,,,,,,,1076741.0,,"Priority to students attending PS 8, PS 153, or PS 173 and to residents of the middle school zone",,,6-8,Screened: Language,,,,,,,,,,,"21 Jumel Place, New York, NY 10032",
Brooklyn Environmental Exploration School,,,,,,,,,,,3041561.0,,,,,6-8,Open,,,,,,,,,,,"251 Mac Dougal Street, Brooklyn, NY 11233",
East Side Middle School,,,,,,,,,,,1081267.0,,,,,6-8,Screened,,,,,,,,,,,"331 East 91St Street, New York, NY 10128",
J.H.S. 210 Elizabeth Blackwell,,,,,,,,,,,4188567.0,,,,,6-8,Zoned,,,,,,,,,,,"93-11 101 Avenue, Queens, NY 11416",
City Knoll Middle School,,,,,,,,,,,1012851.0,,,,,6-8,Open,,,,,,,,,,,"425 West 33Rd Street, New York, NY 10001",
Lafayette Academy,,,,,,,,,,,1032522.0,,,,,6-8,Screened: Language,,,,,,,,,,,"154 West  93 Street, New York, NY 10025",
Battery Park City School,,,,,,,,,,,1087945.0,,Priority to continuing students,,,PK-8,Open,,,,,,,,,,,"55 Battery Place, New York, NY 10280",
East New York Middle School of Excellence,,,,,,,,,,,3090219.0,,,,,6-8,Open,,,,,,,,,,,"605 Shepherd Avenue, Brooklyn, NY 11208",
central park east ii,,,,,,,,,,,1083933.0,,Priority to continuing students,,,PK-8,Open,,,,,,,,,,,"433 East 100 Street, New York, NY 10029",
The Laboratory School of Finance and Technology: X223,,,,,,,,,,,2097038.0,,Priority to District 7 students and residents,,,6-12,Screened: Language,,,,,,,,,,,"360 East 145 Street, Bronx, NY 10454",
P.S./I.S. 295,,,,,,,,,,,4231378.0,,Priority to continuing students,,,PK-8,Screened,,,,,,,,,,,"222-14 Jamaica Avenue, Queens, NY 11428",
P.S. 124 Osmond A Church,,,,,,,,,,,4257530.0,,Priority to continuing students,,,K-8,Zoned,,,,,,,,,,,"129-15 150 Avenue, Queens, NY 11420",
P.S./M.S. 031 The William Lloyd Garrison,,,,,,,,,,,2002458.0,,Priority to continuing students,,,PK-8,Open,,,,,,,,,,,"250 East 156 Street, Bronx, NY 10451",
Lyons Community School,,,,,,,,,,,3070825.0,,,,,6-12,Open,,,,,,,,,,,"223 Graham Avenue, Brooklyn, NY 11206",
P.S./M.S. 147 Ronald McNair,,,,,,,,,,,4243743.0,,Priority to continuing students,,,PK-8,Open,,,,,,,,,,,"218-01 116 Avenue, Queens, NY 11411",
The Anderson School,,,,,,,,,,,1030178.0,,Priority to continuing students,,,K-8,Screened,,,,,,,,,,,"100 West  77 Street, New York, NY 10024",
J.H.S. 057 Whitelaw Reid Academy of Arts and Business,,,,,,,,,,,3043822.0,,,,,6-8,Open,,,,,,,,,,,"125 Stuyvesant Avenue, Brooklyn, NY 11221",
M.S. 255 Salk School of Science,,,,,,,,,,,1020513.0,,,,,6-8,Screened,,,,,,,,,,,"320 East 20Th Street, New York, NY 10003",
Frederick Douglass Academy VIII Middle School,,,,,,,,,,,3098294.0,,,,,6-8,Screened,,,,,,,,,,,"1400 Pennsylvania Avenue, Brooklyn, NY 11239",
HRMS,,,,,,,,,,,1085568.0,,,,,6-8,Screened,,,,,,,,,,,"201 Warren Street, New York, NY 10282",
P.S. 184m Shuang Wen,,,,,,,,,,,1003143.0,,Priority to continuing students,,,PK-8,Screened: Language,,,,,,,,,,,"327 Cherry Street, New York, NY 10002",
"Robert F. Wagner, Jr. Secondary School for Arts and Technology",,,,,,,,,,,4003540.0,,,,,6-12,Screened,,,,,,,,,,,"47-07 30Th Place, Queens, NY 11101",
Institute for Collaborative Education,,,,,,,,,,,1020419.0,,,,,6-12,Screened,,,,,,,,,,,"345 East  15Th Street, New York, NY 10003",
P.S. X037 - Multiple Intelligence School,,,,,,,,,,,2097990.0,,Priority to continuing students,,,K-8,Zoned,,,,,,,,,,,"360 West 230 Street, Bronx, NY 10463",
P.S./ IS 178 Holliswood,,,,,,,,,,,4156558.0,,Priority to continuing students,,,PK-8,Zoned,,,,,,,,,,,"189-10 Radnor Road, Queens, NY 11423",
Brooklyn Studio Secondary School,,,,,,,,,,,3165232.0,,,,,6-12,Open,,,,,,,,,,,"8310 21St Avenue, Brooklyn, NY 11214",
I.S. 072 Rocco Laurie,,,,,,,,,,,5037524.0,,,,,6-8,Zoned,,,,,,,,,,,"33 Ferndale Avenue, Staten Island, NY 10314",
Academy of Public Rekations,,,,,,,,,,,2004690.0,,Priority to District 7 students and residents,,,6-8,Screened: Language,,,,,,,,,,,"778 Forest Avenue, Bronx, NY 10456",
P.S./I.S. 116 William C. Hughley,,,,,,,,,,,4218416.0,,Priority to continuing students,,,PK-8,Open,,,,,,,,,,,"107-25 Wren Place, Queens, NY 11433",
P.S. 178 Saint Clair Mckelway,,,,,,,,,,,3038718.0,,Priority to continuing students,,,PK-8,Open,,,,,,,,,,,"2163 Dean Street, Brooklyn, NY 11233",
 324 - Patria Mira,,,,,,,,,,,1076741.0,,"Priority to students attending PS 8, PS 153, or PS 173 and to residents of the middle school zone",,,6-8,Open,,,,,,,,,,,"21 Jumel Place, New York, NY 10032",
Eagle Academy for Young Men II,,,,,,,,,,,3042157.0,,,,,6-12,Open,,,,,,,,,,,"1137 Herkimer Street, Brooklyn, NY 11233",
Spruce Street School,,,,,,,,,,,1087485.0,,Priority to continuing students,,,PK-8,Open,,,,,,,,,,,"12 Spruce Street, New York, NY 10038",
New Heights Middle School,,,,,,,,,,,3107129.0,,Priority to residents of the middle school zone,,,6-8,Open,,,,,,,,,,,"790 East New York Avenue, Brooklyn, NY 11203",
Marsh Avenue School for Expeditionary Learning,,,,,,,,,,,5149609.0,,,,,6-8,Open,,,,,,,,,,,"100 Essex Drive, Staten Island, NY 10314",
Creston Academy,,,,,,,,,,,2013849.0,,Priority to District 10 students and residents,,,6-8,Screened: Language,,,,,,,,,,,"125 East 181 Street, Bronx, NY 10453",
I.S. 254,,,,,,,,,,,2103863.0,,Priority to District 10 students and residents,,,6-8,Open,,,,,,,,,,,"2452 Washington Avenue, Bronx, NY 10458",
Young Women's Leadership School of the Bronx,,,,,,,,,,,2007902.0,,Priority to District 9 students and residents,,,6-12,Screened,,,,,,,,,,,"1865 Morris Avenue, Bronx, NY 10453",
P.S. 018 Park Terrace,,,,,,,,,,,1082045.0,,Priority to continuing students,,,K-8,Open,,,,,,,,,,,"4124 9 Avenue, New York, NY 10034",
I.S. 5 - The Walter Crowley Intermediate School,,,,,,,,,,,4454423.0,,,,,6-8,Screened: Language,,,,,,,Q005Z,,,67.0,"50-40 Jacobus Street, Queens, NY 11373",
"Young Women's Leadership School, Queens",,,,,,,,,,,4207510.0,,,,,6-12,Screened,,,,,,,,,,,"150-91 87 Road, Queens, NY 11432",
Ella Baker School,,,,,,,,,,,1083343.0,,Priority to continuing students,,,PK-8,Open,,,,,,,,,,,"317 East  67 Street, New York, NY 10065",
I.S. 034 Tottenville,,,,,,,,,,,5088090.0,,,,,6-8,Zoned,,,,,,,,,,,"528 Academy Avenue, Staten Island, NY 10307",
Isaac Newton Middle School for Math & Science,,,,,,,,,,,1053152.0,,,,,6-8,Screened,,,,,,,,,,,"260 Pleasant Avenue, New York, NY 10029",
P.S./I.S. 045 Horace E. Greene,,,,,,,,,,,3079428.0,,Priority to continuing students,,,PK-8,Zoned,,,,,,,,,,,"84 Schaefer Street, Brooklyn, NY 11207",
P.S. 192 - The Magnet School for Math and Science Inquiry,,,,,,,,,,,3128909.0,,,,,PK-8,Open,,,,,,,,,,,"4715 18 Avenue, Brooklyn, NY 11204",
M.S. 266 - Park Place Community Middle School,,,,,,,,,,,3259250.0,,,,,6-8,Screened,,,,,,,,,,,"62 Park Place, Brooklyn, NY 11217",
West End Secondary School,,,,,,,,,,,1030328.0,,,,,6-12,Screened,,,,,,,,,,,"227-243 West 61St Street, New York, NY 10023",
East Side Community School,,,,,,,,,,,1005974.0,,,,,6-12,Screened,,,,,,,,,,,"420 East 12 Street, New York, NY 10009",
"New Explorations into Science, Technology & Math",,,,,,,,,,,1004070.0,,Priority to continuing students,,,K-12,Screened,,,,,,,,,,,"111 Columbia Street, New York, NY 10002",
P.S. 181 Brooklyn,,,,,,,,,,,3327776.0,,Priority to continuing students,,,PK-8,Open,,,,,,,,,,,"1023 New York Avenue, Brooklyn, NY 11203",
The Mott Hall School,,,,,,,,,,,1084067.0,,,,,6-8,Screened,,,,,,,,,,,"71-111 Convent Ave, New York, NY 10027",
Yorkville East Middle School,,,,,,,,,,,1046411.0,,,,,6-8,Open,,,,,,,,,,,"1458 York Avenue, New York, NY 10075",
MS 915,,,,,,,,,,,3348041.0,,Priority to current 5th grade students at PS8,,,6-8,Open,,,,,,,,,,,"105 Tech Place, Brooklyn, NY 11201",
Collaborative Arts Middle School,,,,,,,,,,,4285682.0,,Priority to residents of the middle school zone,,,6-8,Open,,,,,,,,,,,"145-00 Springfield Boulevard, Queens, NY 11413",
J.H.S. 223 The Montauk,,,,,,,,,,,3125676.0,,,,,6-8,Composite Score,,,,,,,K223Z,,,55.0,"4200 16 Avenue, Brooklyn, NY 11204",
Bronx Green Middle School,,,,,,,,,,,2051313.0,,Priority to residents of the middle school zone,,,6-8,Open,,,,,,,,,,,"2441 Wallace Avenue, Bronx, NY 10467",
M.S. 224 Manhattan East School for Arts & Academics,,,,,,,,,,,1052998.0,,Priority to District 4 students and residents,,,6-8,Screened,,,,,,,,,,,"410 East 100 Street, New York, NY 10029",
P.S. 226 Alfred De B. Mason,,,,,,,,,,,3172071.0,,Priority to continuing students,,,PK-8,Zoned,,,,,,,,,,,"6006 23 Avenue, Brooklyn, NY 11204",
P.S. 111 Jacob Blackwell,,,,,,,,,,,4004419.0,,Priority to District 30 students and residents,,,PK-8,Open,,,,,,,,,,,"37-15 13 Street, Queens, NY 11101",
New Design Middle School,,,,,,,,,,,1059942.0,,,,,6-8,Open,,,,,,,,,,,"625 West 133 Street, New York, NY 10027",
P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,,,,,,,,,,,3054671.0,,Priority to residents of the elementary school zone,,,PK-8,Open,,,,,,,,,,,"850 Kent Avenue, Brooklyn, NY 11205",
P.S. 184 Newport,,,,,,,,,,,3082391.0,,Priority to continuing students,,,PK-8,Open,,,,,,,,,,,"273 Newport Street, Brooklyn, NY 11212",
The Angelo Patri Middle School,,,,,,,,,,,2013307.0,,Priority to District 10 students and residents,,,6-8,Open,,,,,,,,,,,"2225 Webster Avenue, Bronx, NY 10457",
M.S. 936,,,,,,,,,,,3015916.0,,,,,,Open,,,,,,,,,,,"270 58th Street, Brooklyn, NY 11220",
