schooldbn,name,code_prog1,telephone,name_prog1,geappsperseat_prog8,tophs2,priority1_prog6,swdfilled_prog8,priority1_prog7,sharedbuilding,geseats_prog2,geseats_prog5,code_prog2,admissionsmethod_prog2,geapps_prog13,mathprof,gefilled_prog8,swdappsperseat_prog7,totalstudents,eligibility_prog8,name_prog13,swdapps_prog1,eligibility_prog7,code_prog9,census_tract,code_prog12,geapps_prog3,swdseats_prog8,priority2_prog8,electiveclasses,swdfilled_prog11,eligibility_prog1,geapps_prog11,eligibility_prog13,gefilled_prog5,gefilled_prog12,swdfilled_prog7,geapps_prog6,gefilled_prog6,swdappsperseat_prog4,swdapps_prog8
01M188,P.S. 188 The Island School,M188S,212-677-5710,The Island School (P.S. 188),,Lower Manhattan Arts Academy,,,,,,,,,,21.0,,,398.0,,,40.0,,,20.0,,,,,"Advisory, Book Club, Fashion, Living Environment, Physical Education, Regents Living Environment, Science, Specialized High School Test Preparation, Student Council, Technology, Yearbook, CC Algebra Regents",,Open to students and residents of District 1,,,,,,,,,
06M348,Washington Heights Expeditionary Learning School,M348U,212-781-0524,Washington Heights Expeditionary Learning School,,Essex Street Academy,,,,Yes-06M143,,,,,,38.0,,,890.0,,,70.0,,,269.0,,,,,,,Open to students and residents of District 6,,,,,,,,,
13K691,Fort Greene Preparatory Academy,K691M,718-254-9401,French Dual Language Program,,Brooklyn Community Arts & Media High School (BCAM),,,,Yes-13K046,71.0,,K691S,Screened,,12.0,,,209.0,,,,,,187.0,,,,,"Advisory, Algebra I, Art, Ceramics, Coding, Computer Science, Dance, Engineering, Fine Arts, Foreign Language, Health, LEGO Robotics, Living Environment, Peer Mediation, Physical Education, Regents Living Environment, Robotics, Saturday Academy, Science, Specialized High School Test Preparation, STEM, Studio Art, Technology, Theater, Urban Advantage, Visual Arts, Yearbook",,Open to students and residents of Brooklyn,,,,,,,,,
30Q204,I.S. 204 Oliver W. Holmes,Q204M,718-937-1463,The Oliver Wendell Holmes Spanish Dual Language Program,,William Cullen Bryant High School,,,,,90.0,,Q204U,Open,,31.0,,,445.0,,,22.0,,,51.0,,68.0,,,"Advisory, Algebra I, Art, Band, Computer Science, Creative Writing, Dance, Debate, Fine Arts, Fitness, Foreign Language, Health, Library, Living Environment, Math, Mindfulness, Music, National Junior Honor Society, Physical Education, Regents Living Environment, Saturday Academy, Science, Spanish, Specialized High School Test Preparation, STEM, Student Council, Technology, Urban Advantage, US History, Visual Arts, Yearbook, Italian, Town Hall, Enrichment, Jr. United Nations Ambassadors",,Open to students and residents of Queens,,,,,,,,,
17K061,M.S. 061 Dr. Gladstone H. Atwell,K061A,718-774-1002,Britou-Moore Academy,,Clara Barton High School,,,,,49.0,,K061M,Screened,,30.0,,,559.0,,,29.0,,,329.0,,168.0,,,"Advisory, African Dance, Algebra I, Art, Band, Book Club, Chess, Chorus, Coding, Computer Science, Concert Band, Cooking, Creative Writing, Dance, Drama, Fashion, Fitness, Foreign Language, Health, LEGO Robotics, Living Environment, Math, Math Team, Musical Theater, Newspaper, Peer Mediation, Performing Arts, Physical Education, Regents Living Environment, Robotics, Saturday Academy, Science, Spanish, Specialized High School Test Preparation, STEM, Stock Market, Student Council, Technology, Theater, Urban Advantage, US History, Visual Arts, Web Design, Yearbook",,Open to students and residents of District 17,,,,,,,,,
18K588,Middle School for Art and Philosophy,K588L,718-342-7563,Middle School for Art and Philosophy,,,,,,Yes-18K252,,,,,,20.0,,,165.0,,,32.0,,,886.0,,,,,"Art, Book Club, Dance, Drama, Fine Arts, Musical Theater, Regents Living Environment, Specialized High School Test Preparation, Visual Arts",,Open to students and residents of District 18,,,,,,,,,
31R002,I.S. R002 George L. Egbert,R002A,718-987-5336,Scholars Program,,Susan E. Wagner High School,,,,,230.0,,R002Z,Zoned,,36.0,,,1056.0,,,70.0,,,11202.0,,,,,"Advisory, Algebra I, Art, Band, Book Club, Chorus, Computer Science, Concert Band, Creative Writing, Debate, Drama, Fine Arts, Fitness, Foreign Language, Health, Jazz Band, Library, Living Environment, Math, Math Team, Music, Musical Theater, National Junior Honor Society, Peer Mediation, Physical Education, Science, Spanish, Specialized High School Test Preparation, STEM, Technology, Theater, US History, Virtual Enterprise, Visual Arts, Vocal Music, Yearbook, Yoga",,Open to students and residents of District 31,,,,,,,,,
04M072,The Lexington Academy,M072L,212-860-5831,The Lexington Academy,,,,,,,,,,,,17.0,,,588.0,,,57.0,,,166.0,,,,,,,Open to students and residents of District 4,,,,,,,,,
23K518,Kappa V,K518S,718-922-4690,KAPPA V (Knowledge and Power Preparatory Academy V),,,,,,Yes-23K275,,,,,,11.0,,,181.0,,,58.0,,,922.0,,,,,"Advisory, African Dance, Algebra I, Chess, Coding, Computer Science, Dance, Debate, Drama, Engineering, Fitness, Foreign Language, Graphic Design, Health, LEGO Robotics, Living Environment, Martial Arts, Math, Mindfulness, Musical Theater, National Junior Honor Society, Peer Mediation, Performing Arts, Photography, Physical Education, Regents Living Environment, Robotics, Saturday Academy, Science, Spanish, STEM, Student Council, Technology, Theater, Urban Advantage, Visual Arts, Vocal Music, Yearbook, Soccer Team, Basketball Team, Track and Field",,Open to students and residents of Brooklyn,,,,,,,,,
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,M108U,212-860-5803,School of Authors (P.S./M.S. 108),,Orchard Collegiate Academy,,,,,,,,,,19.0,,,461.0,,,69.0,,,17401.0,,,,,,,Open to students and residents of District 4,,,,,,,,,
11X532,Baychester Middle School,X532U,718-547-1890,Baychester Middle School,,Academy for Scholarship and Entrepreneurship: A College Board School,,,,Yes-11X142,,,,,,14.0,,,288.0,,,87.0,,,484.0,,,,,"Advisory, Algebra I, Art, Book Club, Chorus, Coding, Film, Foreign Language, Musical Theater, Physical Education, Saturday Academy, Student Council, Technology, Theater, Urban Advantage, Vocal Music",,Open to students and residents of the Bronx,,,,,,,,,
09X117,I.S. 117 Joseph H. Wade,X117U,718-583-7750,Joseph H. Wade Academies (M.S. 117),,Careers in Sports High School,,,,,,,,,,14.0,,,443.0,,,41.0,,,23301.0,,,,,,,Open to students and residents of the Bronx,,,,,,,,,
17K340,I.S. 340,K340A,718-85 7-5516,North Star Academy,,Clara Barton High School,,,,Yes-13K874,49.0,,K340L,Open,,39.0,,,197.0,,,21.0,,,163.0,,,,,"Advisory, Algebra I, Art, Book Club, Chorus, Coding, Creative Writing, Dance, Debate, Fine Arts, Fitness, Living Environment, Math, Music, National Junior Honor Society, Newspaper, Performing Arts, Regents Living Environment, Saturday Academy, Science, Specialized High School Test Preparation, Student Council, Urban Advantage, US History, Visual Arts, Web Design, Yearbook, Stepping, Career Exploration, Boys & Girls Club, CHAMPS - Flag Football, Track, Basketball",,Open to students and residents of District 17,,,,,,,,,
05M148,Eagle Academy for Young Men of Harlem,M148L,212-694-6051,Eagle Academy for Young Men of Harlem,,,,,,Yes-05M136,,,,,,17.0,,,382.0,,,57.0,,,22102.0,,,,,"Advisory, Band, Chess, Coding, Computer Science, Engineering, Film, Fitness, Foreign Language, Journalism, Living Environment, Music, Newspaper, Peer Mediation, Physical Education, Regents Living Environment, Saturday Academy, Science, Spanish, STEM, Urban Advantage, US History, Web Design, Yearbook",,All-boys school; open to students and residents of Manhattan,,,,,,,,,
22K381,I. S. 381,K381A,718-338-1534,Center for Intellectually Gifted (CIG),,James Madison High School,,,,Yes-22K240,76.0,,K381U,Open,,41.0,,,286.0,,,29.0,,,748.0,,,,,"Algebra I, Art, Book Club, Chorus, Coding, Computer Science, Creative Writing, Dance, Fitness, Foreign Language, Guitar, Health, LEGO Robotics, Library, Living Environment, Math, Math Team, Music, Newspaper, Peer Mediation, Photography, Physical Education, Regents Living Environment, Saturday Academy, Science, Specialized High School Test Preparation, STEM, Student Council, Technology, US History, Visual Arts, Vocal Music, Yearbook",,Open to students and residents of District 22,,,,,,,,,
10X020,"PS/MS 20 P.O.George J. Werdann, III",X020U,718-515-9370,"Police Officer George J. Werdann, III (P.S./M.S. 20)",,,,,,,,,,,,23.0,,,907.0,,,57.0,,,425.0,,,,,"Advisory, Art, Band, Dance, Foreign Language, Math Team, Musical Theater, Physical Education, Spanish, Student Council, Yearbook",,Open to students and residents of the Bronx,,,,,,,,,
13K301,Satellite East Middle School,K301S,7182458766,Satellite East Middle School,,,,,,Yes-13K093,,,,,,15.0,,,88.0,,,37.0,,,247.0,,,,,"Advisory, Cooking, Mindfulness, Peer Mediation, Physical Education, Science, STEM, Student Council, Project Based Learning, Blended Learning",,Open to students and residents of Brooklyn,,,,,,,,,
04M964,central park east ii,M964U,212-860-5992,Central Park East II,,,,,,Yes-04M050,,,,,,14.0,,,466.0,,,80.0,,,162.0,,,,,"Advisory, Art, Dance, Drama, Fine Arts, Foreign Language, Library, Performing Arts, Physical Education, Spanish, Technology, Theater, Visual Arts, Violin, EcoClub",,Open to students and residents of District 4,,,,,,,,,
28Q008,J.H.S. 008 Richard S. Grossley,Q008U,718-739-6883,Richard S. Grossley (J.H.S. 8),,Hillcrest High School,,,,,,,,,,28.0,,,447.0,,,89.0,,,258.0,,,,,"Advisory, Algebra I, Art, Band, Book Club, Dance, Debate, Drama, Foreign Language, Journalism, Living Environment, Martial Arts, Math, Mindfulness, National Junior Honor Society, Physical Education, Regents Living Environment, Robotics, Saturday Academy, Science, Spanish, Specialized High School Test Preparation, STEM, Student Council, Technology, Urban Advantage, US History, Visual Arts, Yearbook, Yoga",,Open to students and residents of Queens,,,,,,,,,
04M224,M.S. 224 Manhattan East School for Arts & Academics,M224M,212-860-6047,Manhattan East School for Arts & Academics (M.S. 224),,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,,,,Yes-04M099,,,,,,48.0,,,208.0,,,143.0,,,162.0,,,,,"Advisory, Art, Band, Computer Science, Concert Band, Dance, Debate, Fine Arts, Health, Jazz Band, Orchestra, Spanish, Specialized High School Test Preparation, Technology, Yearbook",,Open to New York City residents,,,,,,,,,
09X328,New Millennium Bronx Academy of the Arts,X328L,718-588-8308,New Millennium Business Academy Middle School,,,,,,Yes-09X145,,,,,,15.0,,,320.0,,,71.0,,,173.0,,,,,,,Open to students and residents of the Bronx,,,,,,,,,
27Q047,P.S. 047 Chris Galas,Q047Z,718-634-7167,Chris Galas (P.S./M.S. 47),,,,,,,,,,,,40.0,,,256.0,,,10.0,,,107201.0,,,,,"Algebra I, Art, Book Club, Foreign Language, Health, Journalism, Living Environment, Math, National Junior Honor Society, Newspaper, Peer Mediation, Performing Arts, Physical Education, Regents Living Environment, Science, STEM, Stock Market, Student Council, Theater, Visual Arts, Yearbook",,Open to continuing 5th grade students and students residing in the zone,,,,,,,,,
03M421,West Prep Academy,M421U,212-280-8502,West Prep Academy (M.S. 421),,,,,,Yes-03M145,,,,,,21.0,,,183.0,,,93.0,,,189.0,,,,,,,Open to students and residents of District 3,,,,,,,,,
31R048,P.S. 048 William G. Wilcox,R048U,718-447-8323,Atlas Academy,,Susan E. Wagner High School,,,,Yes-31R071,,,,,,69.0,,,1000.0,,,112.0,,,50.0,,,,,"Advisory, Algebra I, Art, Band, Debate, Foreign Language, Musical Theater, Physical Education, STEM, Stock Market, Urban Advantage, Yearbook",,Open to students and residents of District 31,,,,,,,,,
02M177,Yorkville East Middle School,M177L,917-432-5413,Yorkville East: L,,Eleanor Roosevelt High School,,,,Yes-02M158,39.0,,M177S,Screened,,80.0,,,227.0,,,75.0,,,132.0,,,,,"Advisory, Algebra I, Art, Book Club, Coding, Creative Writing, Debate, Drama, Foreign Language, Health, Martial Arts, Math Team, Mindfulness, Peer Mediation, Physical Education, Robotics, Science, Spanish, Specialized High School Test Preparation, Urban Advantage, Visual Arts, Yearbook, Yoga",,Open to students and residents of District 2,,,,,,,,,
25Q237,I.S. 237,Q237U,718-353-6464,The Magnet School for the Arts (I.S. 237),,John Bowne High School,,,,,,,,,,70.0,,,1355.0,,,95.0,,,845.0,,,,,"Algebra I, Art, Band, Chorus, Computer Science, Concert Band, Debate, Drama, Foreign Language, Graphic Design, Health, Living Environment, Math, Math Team, Music, Newspaper, Photography, Regents Living Environment, Spanish, Strings, Technology, US History, Visual Arts, Vocal Music, Yearbook",,Open to students and residents of Districts 25 and 28,,,,,,,,,
10X447,Creston Academy,X447M,718-367-5035,Spanish Bilingual Program,,The Urban Assembly School for Green Careers,,,,Yes-10X079,111.0,,X447U,Open,,39.0,,,455.0,,,14.0,,,23704.0,,,,,"Advisory, Algebra I, Chess, Coding, Debate, Health, Orchestra, Physical Education, Regents Living Environment, Saturday Academy, Specialized High School Test Preparation, STEM, Student Council, Urban Advantage, Yearbook",,Open to students and residents of the Bronx,,,,,,,,,
01M140,P.S. 140 Nathan Straus,M140S,212-677-4680,Nathan Straus Preparatory School (P.S. 140),,"New Explorations into Science, Technology and Math High School",,,,,,,,,,21.0,,,372.0,,,56.0,,,2201.0,,,,,"Advisory, Art, Dance, Fitness, Foreign Language, Health, National Junior Honor Society, Peer Mediation, Physical Education, Spanish, Student Council, Urban Advantage, Visual Arts",,Open to students and residents of District 1,,,,,,,,,
24Q077,I.S. 077,Q077M,718-366-7120,I.S. 077 Spanish Dual Language Program,,Maspeth High School,,,,Yes-24Q849,73.0,,Q077U,Open,,27.0,,,875.0,,,12.0,,,555.0,,167.0,,,"Advisory, Algebra I, Art, Ballroom Dancing, Band, Book Club, Chorus, Coding, Computer Science, Concert Band, Drama, Foreign Language, LEGO Robotics, Library, Music, Orchestra, Performing Arts, Physical Education, Regents Living Environment, Saturday Academy, Science, Spanish, STEM, Technology, Visual Arts, Vocal Music, Yearbook",,Open to students and residents of Queens,,,,,,,,,
24Q119,I.S. 119 The Glendale,Q119A,718-326-8261,Beacon Middle School Program,,Stuyvesant High School,,,,,124.0,,Q119Z,Zoned,,65.0,,,1320.0,,,55.0,,,63301.0,,,,,"Algebra I, Ballroom Dancing, Chorus, Coding, Concert Band, Debate, Foreign Language, LEGO Robotics, National Junior Honor Society, Newspaper, Orchestra, Peer Mediation, Performing Arts, Regents Living Environment, Robotics, STEM, Student Council, Urban Advantage, Yearbook",,Open to students and residents of District 24,,,,,,,,,
02M104,J.H.S. 104 Simon Baruch,M104M,212-674-4545,Academic (Zoned Program),,N.Y.C. Lab School for Collaborative Studies,,,,,193.0,,M104N,Screened,,77.0,,,1101.0,,,124.0,,,64.0,,,,,"Advisory, Algebra I, Ceramics, Drama, French, Music, National Junior Honor Society, Physical Education, Regents Living Environment, Spanish, STEM, Visual Arts",,Open to students and residents of District 2,,,,,,,,,
21K121,P.S. 121 Nelson A. Rockefeller,K121U,718-377-8845,PS/IS 121 Nelson A. Rockefeller Magnet School of Applied Life Sciences,,William E. Grady Career and Technical Education High School,,,,,,,,,,46.0,,,333.0,,,24.0,,,464.0,,,,,"Advisory, Music, Physical Education, Science, STEM",,Open to students and residents of District 21,,,,,,,,,
11X144,J.H.S. 144 Michelangelo,X144U,718-794-9749,Academy of Law and Journalism,,"Celia Cruz Bronx High School of Music, The",,,,,24.0,,X144V,Open,,28.0,,,447.0,,,22.0,,,310.0,,198.0,,,"Advisory, Algebra I, Art, Band, Book Club, Computer Science, Concert Band, Fine Arts, Foreign Language, Health, Living Environment, Math, Math Team, National Junior Honor Society, Physical Education, Regents Living Environment, Saturday Academy, Science, Spanish, Specialized High School Test Preparation, Student Council, Studio Art, Yearbook, Wilson, Just Words, ELA Enrichment, Math Enrichment",,Open to students and residents of the Bronx,,,,,,,,1.0,
02M289,Hudson Riv er Middle School,M289S,212-571-9268,Hudson River Middle School (I.S. 289),,,,,,Yes-02M089,,,,,,69.0,,,276.0,,,83.0,,,31703.0,,,,,,,Open to students and residents of District 2,,,,,,,,,
25Q194,J.H.S. 194 William Carr,Q194U,718-746-0818,William Carr (J.H.S. 194): Arts Infusion,,Francis Lewis High School,,,,,,,,,,65.0,,,1289.0,,,65.0,,,1029.0,,,,,"Algebra I, Art, Concert Band, Dance, Film, Regents Living Environment, Theater, US History",,Open to students and residents of District 25,,,,,,,,,
17K354,The School of Integrated Learning,K354A,718-774-0362,Integrated Learning Academy,,,,,,Yes-17K390,148.0,,K354U,Open,,53.0,,,373.0,,,30.0,,,343.0,,,,,"Algebra I, Art, Book Club, Chorus, Coding, Computer Science, Cooking, Dance, Drama, Fashion, Foreign Language, Guitar, Health, Journalism, LEGO Robotics, Living Environment, Math, Newspaper, Performing Arts, Photography, Physical Education, Regents Living Environment, Robotics, Saturday Academy, Science, Spanish, Specialized High School Test Preparation, STEM, Student Council, Technology, Urban Advantage, US History, Vocal Music, Yearbook, Global History Regents, M.S. 354 Steel Orchestra: Steel Pan Music",,Open to students and residents of District 17,,,,,,,,,
10X244,The New School for Leadership and Journalism,X244L,718-601-2869,The Arts Academy (Open to Zoned Students),,"Celia Cruz Bronx High School of Music, The",,,,Yes-10X143,119.0,,X244Z,Zoned,,30.0,,,718.0,,,59.0,,,273.0,,,,,"Advisory, Algebra I, Art, Band, Dance, Piano, Regents Living Environment, Saturday Academy, Specialized High School Test Preparation",,Open to students and residents of the Bronx,,,,,,,,,
08X448,Soundview Academy for Culture and Scholarship,X448L,718-991-4027,Soundview Academy for Culture and Scholarship,,Westchester Square Academy,,,,Yes-08X131,,,,,,28.0,,,374.0,,,111.0,,,42.0,,,,,"Advisory, Algebra I, Dance, Foreign Language, Living Environment, Saturday Academy, Theater, US History, Visual Arts",,Open to students and residents of the Bronx,,,,,,,,,
03M191,The Riverside School for Makers and Artists,M191S,347-478-5228,The Riverside School for Makers and Artists,,Business Of Sports School,,,,Yes-03M342,,,,,,17.0,,,530.0,,,42.0,,,151.0,,,,,,,Open to students and residents of District 3,,,,,,,,,
07X298,Academy o f Public Relations,X298M,718-665-8866,Spanish Bilingual Program,,,,,,Yes-07X184,55.0,,X298U,Open,,14.0,,,250.0,,,13.0,,,77.0,,,,,"Advisory, Algebra I, Art, Computer Science, Dance, Debate, Fine Arts, Fitness, Graphic Design, Health, Living Environment, Math, Musical Theater, Peer Mediation, Physical Education, Saturday Academy, Science, Specialized High School Test Preparation, Student Council, Technology, Theater, Urban Advantage, Visual Arts, Yearbook, Percussion, 6 sports league teams, Intramurals, ASPIRA Aftershool Program",,Open to students and residents of the Bronx,,,,,,,,,
22K207,P.S. 207 Elizabeth G. Leary,K207U,718-645-8667,Elizabeth G. Leary (P.S. 207): Open to Continuing Students,,Edward R. Murrow High School,,,,,,,,,,54.0,,,1082.0,,,23.0,,,652.0,,,,,"Algebra I, Art, Band, Book Club, Chorus, Concert Band, Film, Fine Arts, Foreign Language, Math, Math Team, Regents Living Environment, Saturday Academy, Spanish, STEM, Student Council, Theater, Visual Arts, Photography",,Open only to continuing 5th grade students,,,,,,,,,
09X454,Science and Technology Academy: A Mott Hall School,X454L,718-293-4017,Science and Technology Academy: A Mott Hall School,,,,,,Yes-09X166,,,,,,50.0,,,426.0,,,152.0,,,18302.0,,,,,"Advisory, Book Club, Chess, Foreign Language, Graphic Design, Library, Newspaper, Physical Education, Saturday Academy, Spanish, Specialized High School Test Preparation, Technology, Visual Arts, Yearbook",,Open to students and residents of the Bronx,,,,,,,,,
30Q235,Academy for New Americans,Q235M,718,Academy For New Americans,,Newcomers High School,,,,Yes-30Q234,,,,,,11.0,,,85.0,,,31.0,,,73.0,,,,,"Art, Computer Science, Health, Math, Physical Education, Saturday Academy, Science, Theater, Visual Arts, Yearbook",,Open to students and residents of District 24 and 30,,,,,,,,,
10X254,I.S. 254,X254L,718-220-8700,I.S. 254 Application Program,,,,,,,75.0,,X254Z,Zoned,,22.0,,,468.0,,,78.0,,,387.0,,,,,"Algebra I, Art, Chorus, Coding, Debate, Drama, Health, Peer Mediation, Physical Education, Saturday Academy, Technology",,Open to students and residents of the Bronx,,,,,,,,,
02M131,Sun Yat Sen Middle School,M131M,212-219-1204,Academic (Zoned Program),,High School for Health Professions and Human Services,,,,,40.0,,M131N,Screened,,61.0,,,304.0,,,57.0,,,16.0,,92.0,,,"Advisory, Algebra I, Art, Chess, Coding, Computer Science, Dance, Foreign Language, Orchestra, Physical Education, Spanish, Specialized High School Test Preparation, Urban Advantage, Visual Arts",,Open to students and residents of District 2,,,,,,,,,
16K035,M.S. 035 Stephen Decatur,K035U,718-574-2345,Stephen Decatur Middle School 35,,George Westinghouse Career and Technical Education High School,,,,,,,,,,30.0,,,199.0,,,50.0,,,273.0,,,,,"African Dance, Algebra I, Art, Book Club, Chess, Creative Writing, Dance, Debate, Foreign Language, Graphic Design, Health, LEGO Robotics, Library, Living Environment, Math, Mindfulness, Peer Mediation, Performing Arts, Physical Education, Regents Living Environment, Robotics, Saturday Academy, Science, Specialized High School Test Preparation, STEM, Student Council, Urban Advantage, US History, Yearbook",,Open to students and residents of District 16,,,,,,,,,
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,X218S,718-410-7230,P.S./I.S. 218 Spanish Dual Language Magnet Program,,High School for Environmental Studies,,,,Yes-09X235,,,,,,33.0,,,1043.0,,,117.0,,,197.0,,,,,"Advisory, Algebra I, Art, Chess, Chorus, Dance, Debate, Living Environment, Math, Mindfulness, Music, Peer Mediation, Physical Education, Regents Living Environment, Saturday Academy, Science, Spanish, Student Council, Yearbook, Dual Language (English/Spanish)",,Open to students and residents of the Bronx,,,,,,,,,
11X180,M.S. 180 Dr. Daniel Hale Williams,X180M,718-904-5650,Pre-Engineering and Math,,"Celia Cruz Bronx High School of Music, The",,,,,97.0,,X180N,Screened,,35.0,,,1045.0,,,34.0,,,46201.0,,563.0,,,"Algebra I, Band, Chorus, Coding, Concert Band, Dance, Debate, Film, Fine Arts, Graphic Design, Jazz Band, LEGO Robotics, Living Environment, Mindfulness, Music, Orchestra, Regents Living Environment, Specialized High School Test Preparation, STEM, Strings, Student Council, Theater, Visual Arts, Vocal Music",,Open to students and residents of the Bronx,,,,,,,,,
23K323,P.S./I.S. 323,K323U,718-495-7781,P.S./I.S. 323,,,,,,Yes-23K263,,,,,,19.0,,,555.0,,,49.0,,,924.0,,,,,,,Open to students and residents of District 23,,,,,,,,,
19K171,I.S. 171 Abraham Lincoln,K171U,718-647-0111,Abraham Lincoln Intermediate School (I.S. 171),,Cypress Hills Collegiate Preparatory School,,,,,,,,,,15.0,,,385.0,,,54.0,,,1184.0,,,,,"Coding, Computer Science, Debate, Spanish",,Open to students and residents of District 19,,,,,,,,,
11X462,Cornerstone Academy for Social Action Middle School,X462L,718-794-7970,Cornerstone Academy for Social Action Middle School,,,,,,Yes-11X189,,,,,,25.0,,,252.0,,,65.0,,,46202.0,,,,,,,Open to students and residents of the Bronx,,,,,,,,,
32K347,I.S. 347 School of Humanities,K347M,718-821-4248,6th Grade Academy,,Bushwick Leaders High School for Academic Excellence,,,,Yes-32K111,49.0,,K347Z,Zoned,,13.0,,,292.0,,,44.0,,,423.0,,,,,"Algebra I, Art, Debate, Drumline, Fine Arts, Health, Spanish, Specialized High School Test Preparation, Visual Arts, Yearbook, Model UN",,Open to students and residents of District 32,,,,,,,,,
