total_enrollment,male_num,black_per,grade9
339,180.0,11.5,
671,340.0,3.3,
449,171.0,25.2,135
386,177.0,4.4,    
573,322.0,2.1,
547,265.0,23.9,
590,313.0,17.5,
626,239.0,8.8,144
710,364.0,7.5,
440,205.0,23.2,125
216,50.0,46.8,66
441,223.0,20.2,
232,117.0,26.7,
3125,1788.0,2.0,816
388,168.0,3.1,
352,178.0,18.5,103
319,168.0,11.3,
1478,674.0,31.1,343
212,87.0,25.5,45
755,388.0,5.8,
484,180.0,8.5,120
646,331.0,5.3,
971,585.0,36.7,437
825,461.0,23.2,249
380,180.0,22.1,137
533,258.0,17.4,215
747,381.0,2.5,
691,334.0,8.7,
321,160.0,14.3,
438,186.0,6.6,111
253,112.0,43.9,94
199,90.0,21.6,
497,240.0,42.5,197
383,144.0,50.4,140
329,143.0,11.2,119
416,211.0,30.3,239
