facname,borocode,facgroup,xcoord,overagency,bbl,overabbrev,ct2010,captype
EMERSON PLAYGROUND,1,CHILD SERVICES AND WELFARE,1003446.15391,NYC Department of Education,1022552000.0,NYCDOE,29700.0,
P.S. 452,1,DAY CARE AND PRE-KINDERGARTEN,987683.638996,NYC Department of Education,1011520029.0,NYCDOE,14700.0,
CONG TALMIDEI MESIVTA TIFERES SHMIEL,3,SCHOOLS (K-12),986535.25624,NYC Department of Education,3055240061.0,NYCDOE,24800.0,
SUKKAHWOOD INC.,1,CULTURAL INSTITUTIONS,1006490.1112,NYC Department of Cultural Affairs,1022430001.0,NYCDCLA,30300.0,
CHELSEA PARK,1,PARKS AND PLAZAS,984048.219265,NYC Department of Parks and Recreation,1007240100.0,NYCDPR,9700.0,
METROPOLITAN NEW YORK COORDINATING COUNCIL ON JEWISH POVERTY,1,HEALTH CARE,981965.48312,NYC Department of Social Services,1000330001.0,NYCDSS,700.0,
SHELTERING ARMS PLAYGROUND,1,PARKS AND PLAZAS,996540.569299,NYC Department of Parks and Recreation,1019830006.0,NYCDPR,21900.0,
ATONEMENT LUTHERAN CHURCH TEXTILE DROP-OFF SITE,4,SOLID WASTE,1017226.12902,NYC Department of Sanitation,4013850040.0,NYCDSNY,33900.0,
BOHEMIAN BENEVOLENT AND LITERARY ASSOCATION OF THE CITY OF NEW YORK,1,CULTURAL INSTITUTIONS,0.0,NYC Department of Cultural Affairs,0.0,NYCDCLA,,
P.S. 174 WILLIAM SIDNEY MOUNT,4,SCHOOLS (K-12),1022878.09539,NYC Department of Education,4031340001.0,NYCDOE,69702.0,seats
CHINESE-AMERICAN PLANNING COUNCIL INC,3,HEALTH CARE,984713.88054,NYC Department of Health and Mental Hygiene,3009230009.0,NYCDOHMH,9200.0,
MARY MISS / CITY AS LIVING LABORATORY,1,CULTURAL INSTITUTIONS,981446.167533,NYC Department of Cultural Affairs,1001807511.0,NYCDCLA,3900.0,
HIGH FIVE EARLY CHILDHOOD CENTER INC.,4,DAY CARE AND PRE-KINDERGARTEN,1008009.86785,NYC Department of Education,4013190021.0,NYCDOE,25302.0,
BAY RIDGE SUNSET PARK DIALYSIS CENTER,3,HEALTH CARE,977617.655349,NYS Department of Health,3057780001.0,NYSDOH,1800.0,
BROOKLYN STEPPERS,3,CULTURAL INSTITUTIONS,0.0,NYC Department of Cultural Affairs,0.0,NYCDCLA,,
PAL SCHWARTZ CENTER,3,CHILD SERVICES AND WELFARE,1013063.52204,NYC Department of Education,3036870001.0,NYCDOE,119800.0,
MAGIC KINGDOM,3,DAY CARE AND PRE-KINDERGARTEN,1004243.00091,NYC Department of Health and Mental Hygiene,3046780041.0,NYCDOHMH,86800.0,
CHRISTIAN LEARNING CENTER,3,CHILD SERVICES AND WELFARE,1002183.94194,NYC Department of Education,3048980020.0,NYCDOE,86000.0,
"PS, THE SHORT FILM EXHIBITION INC.",1,CULTURAL INSTITUTIONS,988168.217475,NYC Department of Cultural Affairs,1003550038.0,NYCDCLA,3001.0,
JEWISH INSTITUTE OF QUEENS,4,YOUTH SERVICES,1020014.0424,NYC Department of Youth and Community Development,4030880001.0,NYCDYCD,68700.0,
FEDCAP REHABILITATION SERVICES INC,1,HEALTH CARE,1001396.75883,NYC Department of Health and Mental Hygiene,1017747502.0,NYCDOHMH,19600.0,
QUEENSBRIDGES NORTH (2),4,CHILD SERVICES AND WELFARE,999755.806488,NYC Department of Education,0.0,NYCDOE,2500.0,
"THE CHILDREN'S CENTER AT SUNY BROOKLYN, INC.",3,DAY CARE AND PRE-KINDERGARTEN,999615.421835,NYC Department of Education,3048560012.0,NYCDOE,81600.0,
TONY DAPOLITO REC CTR & POOL,1,CHILD SERVICES AND WELFARE,995253.402616,NYC Department of Education,1014270001.0,NYCDOE,12600.0,
BRONXDALE HIGH SCHOOL (11X508),2,YOUTH SERVICES,1022892.0963,NYC Department of Youth and Community Development,2043580001.0,NYCDYCD,32400.0,
CHURCH OF ST. PAUL THE APOSTLE,1,HISTORICAL SITES,988350.307305,"The New York State Office of Parks, Recreation and Historic Preservation",1011310031.0,NYSOPRHP,14500.0,
PLAYGROUND EIGHTY NINE LXXXIX,1,PARKS AND PLAZAS,992033.691003,NYC Department of Parks and Recreation,1012190041.0,NYCDPR,17300.0,
"LESBIAN AND GAY COMMUNITY SERVICES CENTER, INC.",1,CULTURAL INSTITUTIONS,983954.34249,NYC Department of Cultural Affairs,1006170047.0,NYCDCLA,7700.0,
SAINT DOMINIC'S FAMILY SERVICES,2,DAY CARE AND PRE-KINDERGARTEN,1010154.85042,NYC Department of Health and Mental Hygiene,2032180035.0,NYCDOHMH,25500.0,
HUGUENOT PONDS PARK,5,PARKS AND PLAZAS,931548.712916,NYC Department of Parks and Recreation,5065770038.0,NYCDPR,17600.0,
BOROUGH OF MANHATTAN COMMUNITY COLLEGE EARLY CHILDHOOD CENTER,1,DAY CARE AND PRE-KINDERGARTEN,980970.100873,NYC Department of Education,1001420050.0,NYCDOE,3900.0,
HYCHEL HATORAH,3,SCHOOLS (K-12),995660.26045,NYC Department of Education,3018840070.0,NYCDOE,123700.0,
THROGS NECK BRIDGE,4,TRANSPORTATION,1041461.13067,Metropolitan Transportation Authority,4046050025.0,MTA,,
BETH JACOB DAY CARE CENTER,3,DAY CARE AND PRE-KINDERGARTEN,987407.31128,NYC Department of Education,3056170050.0,NYCDOE,23200.0,
J. HOOD WRIGHT PARK,1,PARKS AND PLAZAS,1000638.82822,NYC Department of Parks and Recreation,1021390404.0,NYCDPR,25500.0,
1011 ROGERS AVE TEXTILE DROP-OFF SITE,3,SOLID WASTE,997681.912932,NYC Department of Sanitation,3051380049.0,NYCDSNY,82600.0,
P.S. 368,3,SCHOOLS (K-12),998873.22567,NYC Department of Education,3017430018.0,NYCDOE,25700.0,seats
VOCATIONAL INSTRUCTION PROJECT COMMUNITY SERVICES INC,2,HUMAN SERVICES,1014325.64889,NYC Department of Health and Mental Hygiene,2030690093.0,NYCDOHMH,37300.0,
NIA COMMUNITY SERVICES NETWORK INC,3,YOUTH SERVICES,985761.328225,NYC Department of Youth and Community Development,3062390001.0,NYCDYCD,27400.0,
g.v.c. ltd. (b2192),2,TRANSPORTATION,1028101.0,NYC Department of Education,0.0,NYCDOE,9600.0,routes
AUBURN FAMILY ASSESSMENT CENTER,3,HEALTH CARE,990727.423289,NYS Department of Health,3020390101.0,NYSDOH,2901.0,
"MILLS, FLORENCE, HOUSE",1,HISTORICAL SITES,999566.551537,"The New York State Office of Parks, Recreation and Historic Preservation",1019407503.0,NYSOPRHP,22800.0,
"RELIANT TRANSPORTATION, INC (B2321)",3,TRANSPORTATION,1000721.24972,NYC Department of Education,3026120133.0,NYCDOE,58900.0,routes
"IMPERIAL PARKING (U.S.), LLC",1,TRANSPORTATION,984798.004222,NYC Department of Consumer Affairs,1007330068.0,NYCDCA,11100.0,
UNI. FACILITY CORP.,1,TRANSPORTATION,995761.069559,NYC Department of Consumer Affairs,1019980013.0,NYCDCA,21900.0,
GROWING UP GREEN CHARTER SCHOOL,4,SCHOOLS (K-12),1002063.30782,NYC Department of Education,4003980001.0,NYCDOE,3100.0,seats
"GUYANA CULTURAL ASSOCIATION OF NY, INC.",3,CULTURAL INSTITUTIONS,1012487.8777,NYC Department of Cultural Affairs,3080790071.0,NYCDCLA,100600.0,
"PRIME TIME CARE, INC.",4,DAY CARE AND PRE-KINDERGARTEN,1038201.01391,NYC Department of Education,4067410006.0,NYCDOE,121500.0,
IC BUS INC.,5,TRANSPORTATION,931956.799938,NYC Department of Education,5017800022.0,NYCDOE,29102.0,routes
MESIVTA YESODEI YESHURUN,4,SCHOOLS (K-12),1033256.88478,NYC Department of Education,4066180045.0,NYCDOE,77902.0,
P.S. 011: THE SARAH J. GARNET ELEMENTARY SCHOOL,1,DAY CARE AND PRE-KINDERGARTEN,984041.858313,NYC Department of Education,1007440024.0,NYCDOE,8900.0,
CUYLER PRESBYTERIAN CHURCH-,3,HISTORICAL SITES,987989.984911,"The New York State Office of Parks, Recreation and Historic Preservation",3001890018.0,NYSOPRHP,4100.0,
SAFE TRANSITION AND EMPOWERMENT PROJECT,1,HEALTH CARE,982921.177835,NYS Office of Mental Health,1005207503.0,NYSOMH,3700.0,
P.S. 093 ALBERT G. OLIVER,2,DAY CARE AND PRE-KINDERGARTEN,1018265.91974,NYC Department of Education,2036520001.0,NYCDOE,2800.0,
STATEN ISLAND YOUTH SOCCER LEAGUE INC,5,YOUTH SERVICES,929421.104578,NYC Department of Youth and Community Development,5059650040.0,NYCDYCD,22800.0,
"WRITERS GUILD OF AMERICA, EAST FOUNDATION",1,CULTURAL INSTITUTIONS,982216.969344,NYC Department of Cultural Affairs,1005780047.0,NYCDCLA,3700.0,
SAFE SPACE PREVENTIV E,4,CHILD SERVICES AND WELFARE,1032142.06394,NYC Department of Education,4095200028.0,NYCDOE,9800.0,
LITTLE LISA BUS CO. INC.,2,TRANSPORTATION,1028294.10438,NYC Department of Education,2042230006.0,NYCDOE,29600.0,routes
PACKER COLLEGIATE INSTITUTE,3,SCHOOLS (K-12),986369.839977,NYC Department of Education,3002650010.0,NYCDOE,900.0,
SINERGIA INCORPORATED,1,HUMAN SERVICES,1001595.01357,NYC Department of Health and Mental Hygiene,1017740056.0,NYCDOHMH,19600.0,
GED P2G-ALT ED COMPLEX HUB - AHSEP,1,SCHOOLS (K-12),986343.919412,NYC Department of Education,1007850001.0,NYCDOE,10900.0,
WEST 67TH STREET ARTISTS' COLONY HISTORIC DISTRICT,1,HISTORICAL SITES,989889.232066,"The New York State Office of Parks, Recreation and Historic Preservation",1011200017.0,NYSOPRHP,15300.0,
MIDTOWN COMMUNITY COURT,1,JUSTICE AND CORRECTIONS,988279.124764,NYC Office of Court Administration,1010440022.0,NYCOCA,13300.0,
METCALF PLAYGROUND,2,CHILD SERVICES AND WELFARE,1012287.94052,NYC Department of Education,2029090032.0,NYCDOE,39500.0,
"FUND FOR THE CITY OF NEW YORK, INC.",0,HUMAN SERVICES,0.0,NYC Mayor's Office of Criminal Justice,0.0,NYCMOCJ,,
ST. MARY'S PARK,3,PARKS AND PLAZAS,984932.220059,NYC Department of Parks and Recreation,3004740025.0,NYCDPR,7700.0,
MIDDLEBURGH TRIANGLE,4,PARKS AND PLAZAS,1018873.43566,NYC Department of Parks and Recreation,0.0,NYCDPR,47100.0,
CHINESE AMERICAN PLANNING COUNCIL INC,4,HUMAN SERVICES,1030996.28004,NYC Department for the Aging,4050410005.0,NYCDFTA,84900.0,
"IMAGINE EARLY LEARNING CENTER, LLC",1,DAY CARE AND PRE-KINDERGARTEN,997274.772319,NYC Department of Health and Mental Hygiene,1016020044.0,NYCDOHMH,16002.0,
POLICE ATHLETIC LEAGUE INC,1,YOUTH SERVICES,1001717.15865,NYC Mayor's Office of Criminal Justice,1021060003.0,NYCMOCJ,24302.0,
EARTH DAY NEW YORK,1,CULTURAL INSTITUTIONS,991488.882111,NYC Department of Education,1013160001.0,NYCDOE,8800.0,
YESHIVA JESODE HATORAH WILSON-UJO,3,CHILD SERVICES AND WELFARE,995110.510361,NYC Department of Education,3021780006.0,NYCDOE,53500.0,
COMMUNITY VOICES MIDDLE SCHOOL,4,YOUTH SERVICES,1051039.30706,NYC Department of Youth and Community Development,4133310001.0,NYCDYCD,32000.0,
JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,5,YOUTH SERVICES,949124.680312,NYC Department of Youth and Community Development,5009550100.0,NYCDYCD,18100.0,
THE YOUNG MENS AND YOUNG WOMENS HEBREW ASSOCIATION,1,YOUTH SERVICES,997368.738724,NYC Department of Youth and Community Development,1015200050.0,NYCDYCD,15801.0,
LANETT PLAYGROUND,4,PARKS AND PLAZAS,1055272.42081,NYC Department of Parks and Recreation,4155970001.0,NYCDPR,101002.0,
TOMPKINS SQUARE LIBRARY,1,LIBRARIES,989679.315313,New York Public Library,1004040039.0,NYPL,3400.0,
LITTLE RICHIE BUS SERVICE,4,TRANSPORTATION,1027170.0,NYC Department of Education,4090420019.0,NYCDOE,3200.0,routes
"GREEK CULTURAL CENTER, INC.",4,CULTURAL INSTITUTIONS,1006415.23955,NYC Department of Cultural Affairs,4008397503.0,NYCDCLA,6900.0,
OAKWOOD BEACH STATE TIDAL WETLAND,5,PARKS AND PLAZAS,954406.901856,NYS Department of Environmental Conservation,5041300655.0,NYSDEC,12806.0,
PS 14 ANNEX,4,CHILD SERVICES AND WELFARE,1018414.5727,NYC Department of Education,0.0,NYCDOE,46700.0,
THE DOOR AT CTR OF ALTERNATIVE INC.,1,CHILD SERVICES AND WELFARE,982824.056831,NYC Department of Education,1004777501.0,NYCDOE,3700.0,
PARAMOUNT STUDIOS COMPLEX,4,HISTORICAL SITES,1005174.69668,"The New York State Office of Parks, Recreation and Historic Preservation",4006430001.0,NYSOPRHP,5700.0,
brooklyn center for psychotherapy inc.,3,HEALTH CARE,991620.127887,NYS Office of Mental Health,3009390039.0,NYSOMH,16100.0,
B & F SKILLED INC.(B2192),3,TRANSPORTATION,989000.97046,NYC Department of Education,3069970187.0,NYCDOE,34800.0,routes
KEREN ZICHRON YISROEL MEIER INC,3,YOUTH SERVICES,986842.969432,NYC Department of Youth and Community Development,3056040010.0,NYCDYCD,22400.0,
100-15 DITMARS PARKING LLC,4,TRANSPORTATION,1020242.95839,NYC Department of Consumer Affairs,4016340001.0,NYCDCA,35700.0,
QUALITY TRANSPORTATION CORP.,2,TRANSPORTATION,1028426.99528,NYC Department of Education,2052930001.0,NYCDOE,19400.0,routes
BAIS TZIPORAH,3,SCHOOLS (K-12),988682.7736,NYC Department of Education,3053467502.0,NYCDOE,22800.0,
SUNNYSIDE COMMUNITY SERVICES INC,4,HUMAN SERVICES,1004861.34205,NYC Department for the Aging,4001910005.0,NYCDFTA,17900.0,
GATED ACADEMY,3,DAY CARE AND PRE-KINDERGARTEN,994141.345681,NYC Department of Education,3050770032.0,NYCDOE,50600.0,
ST. NICHOLAS MIRACLE GARDEN,1,PARKS AND PLAZAS,997694.671347,NYC Department of Parks and Recreation,1019530044.0,NYCDPR,21500.0,
CITIMED SURGERY CENTER,4,HEALTH CARE,1041120.46209,NYS Department of Health,4101510031.0,NYSDOH,44601.0,
NEW DIMENSION SEVENTH-DAY ADVENTIST,3,CHILD SERVICES AND WELFARE,1005256.91579,NYC Department of Education,3046290008.0,NYCDOE,88400.0,
NASSAU MALL SOUTH,4,PARKS AND PLAZAS,1060125.6661,NYC Department of Parks and Recreation,0.0,NYCDPR,152902.0,
CAROLYN MCLAUGHLIN COMMUNITY CENTER,2,YOUTH SERVICES,1006726.71139,NYC Department of Youth and Community Development,2024620042.0,NYCDYCD,18102.0,
P.S. 105 THE BAY SCHOOL,4,DAY CARE AND PRE-KINDERGARTEN,1044969.55116,NYC Department of Education,4159740003.0,NYCDOE,97203.0,
TOWN HALL,1,HISTORICAL SITES,988577.344316,"The New York State Office of Parks, Recreation and Historic Preservation",1009960021.0,NYSOPRHP,11900.0,
THE CORNER SCHOOL,4,DAY CARE AND PRE-KINDERGARTEN,1035329.29584,NYC Department of Health and Mental Hygiene,4048230005.0,NYCDOHMH,104700.0,
ST. ATHANASIUS CATHOLIC ACADEMY/ RC ARCHDIOCESE OF BROOKLYN,3,DAY CARE AND PRE-KINDERGARTEN,989869.464315,NYC Department of Health and Mental Hygiene,3055290034.0,NYCDOHMH,24600.0,
FRIENDS OF ISLAND ACADEMY INC,0,HUMAN SERVICES,0.0,NYC Mayor's Office of Criminal Justice,0.0,NYCMOCJ,,
RAIL LINE,5,TRANSPORTATION,945255.011588,NYC Department of Small Business Services,5011160112.0,NYCSBS,21300.0,
ASC MAIN OFFICE,1,YOUTH SERVICES,996860.243029,NYC Department of Youth and Community Development,1019670060.0,NYCDYCD,21303.0,
"KYO-SHIN-AN ARTS, INC.",3,CULTURAL INSTITUTIONS,0.0,NYC Department of Cultural Affairs,0.0,NYCDCLA,,
VNSNY HOSPICE AND PALLIATIVE CARE,1,HEALTH CARE,991685.284129,NYS Department of Health,1013157501.0,NYSDOH,8800.0,
FIRST CHINESE PRESBYTERIAN COMM. AFFAIRS HOME ATTENDANT CORP,1,HEALTH CARE,981018.532406,NYC Department of Social Services,1000240029.0,NYCDSS,900.0,
SUPERIOR PARKING LLC,1,TRANSPORTATION,998423.896624,NYC Department of Consumer Affairs,1015760014.0,NYCDCA,13600.0,
BROOKLYN 15 GARAGE,3,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",1003154.97504,NYC Department of Sanitation,3088350040.0,NYCDSNY,62800.0,
CLINTON,1,HUMAN SERVICES,999401.070575,NYC Housing Authority,1016370001.0,NYCHA,17200.0,
EZY PARKING INC.,2,TRANSPORTATION,1006360.07832,NYC Department of Consumer Affairs,2024540019.0,NYCDCA,18302.0,
"SANDRA'S SUNFLOWER CHILD CARE, INC.",4,DAY CARE AND PRE-KINDERGARTEN,1037347.12837,NYC Department of Health and Mental Hygiene,4096760027.0,NYCDOHMH,24000.0,
"AMVERSEV ASSOCIATION, INC.",4,TRANSPORTATION,1044731.11801,NYC Department of Consumer Affairs,4059380007.0,NYCDCA,99703.0,
RED HOUSE,1,HISTORICAL SITES,989689.067469,"The New York State Office of Parks, Recreation and Historic Preservation",1012460053.0,NYSOPRHP,17100.0,
"WESTHAB, INC.",2,YOUTH SERVICES,1018265.91974,NYC Department of Youth and Community Development,2036520001.0,NYCDYCD,2800.0,
ACTORS COMPANY THEATRE,1,CULTURAL INSTITUTIONS,987150.075084,NYC Department of Cultural Affairs,1008480061.0,NYCDCLA,5200.0,
FRIENDS OF VETERANS NEW YORK INC,4,YOUTH SERVICES,1008523.79561,NYC Department of Youth and Community Development,4007140001.0,NYCDYCD,15100.0,
MAN UP INC,3,HUMAN SERVICES,1019198.8688,NYC Mayor's Office of Criminal Justice,3044490001.0,NYCMOCJ,107000.0,
NY SCH OF COMPUTER TECHNOLOGY,1,VOCATIONAL AND PROPRIETARY SCHOOLS,986343.919412,NYC Department of Education,1007850001.0,NYCDOE,10900.0,
980 FIFTH AVENUE CORPORATION,1,TRANSPORTATION,994441.86551,NYC Department of Consumer Affairs,1014910001.0,NYCDCA,14200.0,
SAINT BARTHOLOMEW CATHOLIC ACADEMY,4,DAY CARE AND PRE-KINDERGARTEN,1018352.74362,NYC Department of Health and Mental Hygiene,4015710019.0,NYCDOHMH,46700.0,
MP EAST 9 LLC,1,TRANSPORTATION,987132.952123,NYC Department of Consumer Affairs,1005550028.0,NYCDCA,4200.0,
EMPIRE STATE BUS CORP.,3,TRANSPORTATION,1011871.63577,NYC Department of Education,3037160010.0,NYCDOE,114400.0,routes
"TENDER YEAR CHILDCARE, INC.",2,DAY CARE AND PRE-KINDERGARTEN,1030080.89443,NYC Department of Health and Mental Hygiene,2053560001.0,NYCDOHMH,18400.0,
RUSSIAN AMERICAN CULTURAL CENTER,1,CULTURAL INSTITUTIONS,997855.78724,NYC Department of Cultural Affairs,1014870039.0,NYCDCLA,13200.0,
75 SMITH STREET GARAGE LLC,3,TRANSPORTATION,987399.052877,NYC Department of Consumer Affairs,3001767501.0,NYCDCA,4300.0,
BROOKLYN BUREAU OF COMMUNITY SERVICE,3,YOUTH SERVICES,1015746.63764,NYC Department of Youth and Community Development,3043920001.0,NYCDYCD,110400.0,
CHILD & FAMILY SUPPORT SERVICES,2,HUMAN SERVICES,1005680.48124,NYS Office for People With Developmental Disabilities,2024590001.0,NYSOPWDD,5902.0,
HEART AND SOUL SERVICES  INC.,3,HUMAN SERVICES,992751.438455,NYS Office for People With Developmental Disabilities,3053930079.0,NYSOPWDD,49200.0,
THROGGS NECK EARLY LEARN CENTER,2,DAY CARE AND PRE-KINDERGARTEN,1033297.98274,NYC Department of Health and Mental Hygiene,2055820001.0,NYCDOHMH,14400.0,
CPW GARAGE LLC,1,TRANSPORTATION,995110.925522,NYC Department of Consumer Affairs,1018417503.0,NYCDCA,18900.0,
APPLE STORE ELECTRONICS DROP-OFF SITE,4,SOLID WASTE,1020097.11173,NYC Department of Sanitation,4018600100.0,NYCDSNY,68300.0,
JUDSON HEALTH CENTER,1,HEALTH CARE,985393.604055,NYS Department of Health,1004800021.0,NYSDOH,4100.0,
%NYU LANGONE PERLMUTTER CANCER CENTER-34TH STREET,1,HEALTH CARE,990116.972199,NYS Department of Health,1008890050.0,NYSDOH,7200.0,
NEW LIFE FOOD & CLOTHING PANTRY,4,HUMAN SERVICES,1017188.75703,Non-public,4024750012.0,Non-public,47900.0,
LIVING FAITH COM CHURCH VBS,4,CHILD SERVICES AND WELFARE,1041199.29631,NYC Department of Education,4053620001.0,NYCDOE,117500.0,
SANDS ST,3,TRANSPORTATION,987218.578866,Metropolitan Transportation Authority,3000750109.0,MTA,1300.0,
CAPTAIN JACOB JOSEPH PLAYGROUND,1,PARKS AND PLAZAS,987073.051904,NYC Department of Parks and Recreation,1002840001.0,NYCDPR,600.0,
BRONXCHESTER,2,CHILD SERVICES AND WELFARE,1008788.56864,NYC Department of Education,2023590210.0,NYCDOE,7100.0,
ARMA D&S INC.,4,SOLID WASTE,1006766.97897,NYC Department of Consumer Affairs,4033940028.0,NYCDCA,53900.0,
COLUMBUS SQUARE,4,PARKS AND PLAZAS,1007069.37206,NYC Department of Parks and Recreation,0.0,NYCDPR,12500.0,
KINGS COUNTY HOSP./EMS ST. 38,3,EMERGENCY SERVICES,999747.872504,NYC Fire Department,3048290001.0,FDNY,80800.0,
OFFICE BLDG,3,"OFFICES, TRAINING, AND TESTING",986784.035099,NYC Department of Transportation,3002500044.0,NYCDOT,900.0,
FOSTER AVENUE DAYCARE LLC,3,DAY CARE AND PRE-KINDERGARTEN,995287.647931,NYC Department of Health and Mental Hygiene,3052187501.0,NYCDOHMH,51800.0,
COMMUNITY ASSOCIATION OF PROGRESSIVE DOMINICIANS INC,2,YOUTH SERVICES,1009466.35533,NYC Department of Youth and Community Development,2028270001.0,NYCDYCD,23301.0,
RIVERDALE TEMPLE,2,DAY CARE AND PRE-KINDERGARTEN,1008340.18419,NYC Department of Health and Mental Hygiene,2059200456.0,NYCDOHMH,30900.0,
RICHARD H. MANGUM EARLY LEARNING CENTER,2,DAY CARE AND PRE-KINDERGARTEN,1008105.66387,NYC Department of Health and Mental Hygiene,2024080052.0,NYCDOHMH,14300.0,
P.S. 129 JOHN H. FINLEY,1,SCHOOLS (K-12),997487.681055,NYC Department of Education,1019570010.0,NYCDOE,21703.0,seats
STUDLEY TRIANGLE,4,PARKS AND PLAZAS,1038585.95138,NYC Department of Parks and Recreation,0.0,NYCDPR,117100.0,
YESHIVA TORAH TEMIMAH #2,3,CHILD SERVICES AND WELFARE,999502.000606,NYC Department of Education,3076900051.0,NYCDOE,64200.0,
NEW YORK EDGE INC,1,YOUTH SERVICES,1002053.36025,NYC Department of Youth and Community Development,1020160100.0,NYCDYCD,23600.0,
holy cross school,2,SCHOOLS (K-12),1022837.00187,NYC Department of Education,2035240020.0,NYCDOE,1600.0,
"AMERICAN DANCE MACHINE FOR THE 21ST CENTURY FOUNDATION, INC.",1,CULTURAL INSTITUTIONS,994989.892129,NYC Department of Cultural Affairs,1014927501.0,NYCDCLA,14200.0,
ROCHDALE VILLAGE,4,LIBRARIES,1047887.36477,Queens Public Library,4124950175.0,QPL,33402.0,
KINGSBRIDGE HEIGHTS COMMUNITY CENTER INC,2,YOUTH SERVICES,1012717.22132,NYC Department of Youth and Community Development,2032470070.0,NYCDYCD,40900.0,
AUGUST MARTIN HIGH SCHOOL,4,HEALTH CARE,1044375.103,NYS Department of Health,4122610001.0,NYSDOH,29400.0,
222 EAST 69TH GARAGE CORP.,1,TRANSPORTATION,995109.058028,NYC Department of Consumer Affairs,1014230010.0,NYCDCA,11800.0,
ACADEMY FOR SOFTWARE ENGINEERING,1,SCHOOLS (K-12),987828.765641,NYC Department of Education,1008720057.0,NYCDOE,5000.0,seats
INDOOR PARKING GARAGE,2,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",1027074.0422,NYC Department of Sanitation,2038270001.0,NYCDSNY,9600.0,
Q GARDENS FOOD DROP-OFF SITE,3,SOLID WASTE,994387.698294,NYC Department of Sanitation,3050780030.0,NYCDSNY,50600.0,
IGLESIA DE DIOS PENTECOSTAL,2,HUMAN SERVICES,1030818.12171,Non-public,2049470047.0,Non-public,48400.0,
LA NUEVA ESPERANZA INC,3,YOUTH SERVICES,1000040.55646,NYC Department of Youth and Community Development,3031050019.0,NYCDYCD,49100.0,
LANGSTON HUGHES PLAYGROUND,1,PARKS AND PLAZAS,999092.370439,NYC Department of Parks and Recreation,1019330050.0,NYCDPR,22400.0,
P.S. 272 CURTIS ESTABROOK,3,SCHOOLS (K-12),1015778.96226,NYC Department of Education,3083290250.0,NYCDOE,103400.0,seats
"NEW DAWN TRANSIT, LLC (B2321)",3,TRANSPORTATION,1010649.59982,NYC Department of Education,3084460019.0,NYCDOE,70600.0,routes
MINTON'S PLAYHOUSE,1,HISTORICAL SITES,997425.406411,"The New York State Office of Parks, Recreation and Historic Preservation",1019230038.0,NYSOPRHP,21800.0,
SNT BUS INC,2,TRANSPORTATION,1027282.27428,NYC Department of Education,2036970018.0,NYCDOE,9800.0,routes
SESAME FLYERS INTERNATIONAL INC,3,YOUTH SERVICES,1013204.29208,NYC Department of Youth and Community Development,3082270001.0,NYCDYCD,98800.0,
