doitt_id,ct2010,type,coundist,name,:@computed_region_yeji_bk3q,:@computed_region_sbqj_enih
1682,13.0,Free,1.0,Rector St (R),4.0,1.0
4921,5.0,Free,1.0,Governors Island,4.0,1.0
104,11202.0,Limited Free,50.0,Midland Beach and Franklin D. Roosevelt Boardwalk,1.0,76.0
4318,183.0,Free,26.0,qu-02-124993,3.0,66.0
4325,150.0,Free,4.0,mn-08-121058,4.0,11.0
4357,54.0,Free,3.0,mn-05-122272,4.0,7.0
523,92.0,Free,4.0,Grand Central,4.0,9.0
3523,179.0,Free,6.0,mn-07-133624,4.0,15.0
3960,195.0,Free,6.0,mn-07-120267,4.0,15.0
3.57e+03,205.0,Free,7.0,mn-09-137848,4.0,17.0
4321,155.0,Free,22.0,qu-01-125145,3.0,72.0
4190,139.0,Free,3.0,mn-04-135877,4.0,10.0
3333,120.0,Free,4.0,mn-08-138320,4.0,11.0
3653,40.0,Free,2.0,mn-03-115305,4.0,5.0
1133,426.0,Limited Free,27.0,Roy Wilkins Recreation Center,3.0,71.0
1717,301.0,Free,41.0,Rockaway Av (C),2.0,46.0
1573,33.0,Free,26.0,QUEENS PLAZA (IND),3.0,66.0
1618,18.0,Free,1.0,"Delancey St (F)/Essex St (J,M,Z) (Delancey Street)",4.0,4.0
475,503.0,Free,34.0,Leonard - Brooklyn Public Library,2.0,56.0
3278,72.0,Free,2.0,mn-05-121481,4.0,8.0
1047,33.0,Free,33.0,,2.0,54.0
3662,38.0,Free,2.0,mn-03-123814,4.0,5.0
4487,227.0,Free,35.0,bk-03-145784,2.0,51.0
1566,216.0,Free,29.0,VAN WYCK BLVD - BRIARWOOD,3.0,60.0
4135,132.0,Free,5.0,mn-08-120850,4.0,11.0
794,186.0,Free,9.0,,4.0,18.0
1303,110.0,Limited Free,13.0,Ferry Point Park,5.0,28.0
4797,11401.0,Free,50.0,si-02-146098,1.0,76.0
4820,163.0,Free,6.0,mn-07-137179,4.0,12.0
1294,90.0,Limited Free,13.0,Ferry Point Park,5.0,28.0
3991,199.0,Free,7.0,mn-09-134415,4.0,17.0
6500.00%,7.0,Free,1.0,12,4.0,1.0
1546,143.0,Free,6.0,"96th Street - Central Park West - B, C",4.0,13.0
1087,53.0,Limited Free,38.0,Red Hook Park,2.0,48.0
4725,184.0,Free,37.0,bk-05-145942,2.0,47.0
433600.00%,72.0,Free,2.0,mn-05-121570,4.0,8.0
1704,555.0,Free,34.0,Halsey St (L),3.0,62.0
3677,131.0,Free,4.0,mn-05-134736,4.0,10.0
13,25.0,Limited Free,1.0,Alfred E. Smith Playground,4.0,2.0
3064,113.0,Free,3.0,mn-05-122169,4.0,8.0
4722,126.0,Free,4.0,mn-08-120982,4.0,11.0
1593,20901.0,Free,9.0,"125 St (A,B,C,D)",4.0,17.0
1638,225.0,Free,14.0,IND - 170th Street - Grand Concourse (D),5.0,27.0
3848,108.0,Free,5.0,mn-06-121769,4.0,9.0
3782,155.0,Free,6.0,mn-07-121203,4.0,12.0
4880,81.0,Free,3.0,mn-04-122426,4.0,7.0
3154,92.0,Free,4.0,mn-06-121536,4.0,9.0
4401,99.0,Free,3.0,mn-04-107976,4.0,6.0
3394,194.0,Free,8.0,mn-11-143437,4.0,16.0
3387,188.0,Free,8.0,mn-11-120229,4.0,16.0
3406,153.0,Free,6.0,mn-07-134274,4.0,12.0
3257,139.0,Free,3.0,mn-04-122616,4.0,10.0
1187,22302.0,Limited Free,7.0,West Harlem Piers,,
3034,135.0,Free,39.0,bk-06-117250,2.0,50.0
1.20e+03,148.0,Limited Free,28.0,"Phil ""Scooter"" Rizzuto Park",3.0,60.0
3111,48.0,Free,2.0,mn-06-123634,4.0,7.0
545,13.0,Free,1.0,34,4.0,1.0
867,810.0,Limited Free,40.0,Wingate Park,2.0,44.0
3569,205.0,Free,7.0,mn-09-120261,4.0,17.0
3646,31.0,Free,1.0,mn-01-137165,4.0,2.0
3347,128.0,Free,4.0,mn-08-134742,4.0,11.0
4067,55.0,Free,26.0,qu-01-125042,3.0,72.0
3709,193.0,Free,7.0,mn-07-102695,4.0,15.0
4364,129.0,Free,3.0,mn-04-122456,4.0,10.0
4645,7.0,Free,26.0,qu-02-146059,3.0,66.0
3330,118.0,Free,4.0,mn-08-121750,4.0,11.0
3951,122.0,Free,4.0,mn-08-121142,4.0,11.0
1165,178.0,Limited Free,8.0,Thomas Jefferson Park,4.0,14.0
550,147.0,Limited Free,49.0,Clove Lakes Park - Stonehenge,1.0,74.0
829,147.0,Limited Free,6.0,Gertrude Ederle Recreation Center,4.0,12.0
500,420.0,Free,12.0,Wakefield,5.0,30.0
298,9.0,Free,33.0,,2.0,54.0
755,224.0,Free,9.0,,4.0,20.0
3923,110.0,Free,5.0,mn-08-121708,4.0,11.0
4887,75.0,Free,17.0,bx-01-142736,5.0,23.0
1094,53.0,Limited Free,38.0,Red Hook Recreation Center,2.0,48.0
4499,301.0,Free,41.0,bk-16-145962,2.0,46.0
4876,56.0,Free,2.0,mn-05-138316,4.0,7.0
4632,75.0,Free,39.0,bk-06-145870,2.0,48.0
222,63.0,Limited Free,8.0,Macombs Dam Park,5.0,27.0
3684,183.0,Free,6.0,mn-07-107263,4.0,15.0
4313,149.0,Free,22.0,qu-01-125148,3.0,72.0
1672,37.0,Free,1.0,Canal St (1),4.0,1.0
4258,245.0,Free,7.0,mn-12-120334,4.0,21.0
228,63.0,Limited Free,8.0,Macombs Dam Park,5.0,27.0
480,107201.0,Free,32.0,Broad Channel,3.0,58.0
3131,66.0,Free,2.0,mn-06-134922,4.0,7.0
4867,66.0,Free,2.0,mn-06-121447,4.0,7.0
3872,220.0,Free,9.0,mn-10-142515,4.0,18.0
821,154.0,Limited Free,43.0,Dyker Beach Park,2.0,41.0
1596,22301.0,Free,7.0,137 St-City College (1),4.0,19.0
12,25.0,Limited Free,1.0,Alfred E. Smith Playground,4.0,2.0
3431,167.0,Free,6.0,mn-07-121232,4.0,12.0
1080,198.0,Limited Free,9.0,Pelham Fritz Recreation Center,4.0,16.0
1698,161.0,Free,39.0,"7 Av (B,Q)",2.0,50.0
3928,179.0,Free,6.0,mn-07-120611,4.0,15.0
3895,99.0,Free,3.0,mn-04-140358,4.0,6.0
3558,88.0,Free,4.0,mn-06-133439,4.0,9.0
424,113.0,Free,22.0,Steinway,3.0,72.0
1112,938.0,Limited Free,32.0,Rockaway Beach and Boardwalk,3.0,58.0
3104,80.0,Free,4.0,mn-06-121521,4.0,9.0
3820,16.0,Free,1.0,mn-03-108422,4.0,2.0
4349,110.0,Free,4.0,mn-08-121756,4.0,11.0
4264,230.0,Free,9.0,mn-10-137208,4.0,20.0
1752,57.0,Free,2.0,Astor Place (6),4.0,5.0
4055,18.0,Free,38.0,bk-07-125836,2.0,45.0
3534,187.0,Free,7.0,mn-07-120510,4.0,15.0
363,25.0,Free,26.0,"Queensbridge, Now a Family Literacy Center",3.0,72.0
4294,182.0,Free,8.0,mn-11-120250,4.0,16.0
4339,74.0,Free,4.0,mn-05-121640,4.0,8.0
3905,177.0,Free,6.0,mn-07-121103,4.0,15.0
19,1567.0,Limited Free,23.0,Alley Pond Park,3.0,63.0
3469,818.0,Free,40.0,bk-17-126297,2.0,40.0
825,147.0,Limited Free,6.0,Gertrude Ederle Recreation Center,4.0,12.0
4912,90.0,Free,4.0,mn-06-121540,4.0,9.0
3120,66.0,Free,2.0,mn-06-121488,4.0,7.0
459,153.0,Free,39.0,Park Slope - Brooklyn Public Library,2.0,50.0
1560,7.0,Free,26.0,21ST STREET - VAN ALST (21st Street & Jackson Avenue),3.0,66.0
3108,68.0,Free,2.0,mn-06-121489,4.0,7.0
324800.00%,127.0,Free,3.0,mn-04-122595,4.0,10.0
1769,271.0,Free,10.0,181 St (1),4.0,22.0
4714,163.0,Free,26.0,qu-01-146035,3.0,72.0
837,2201.0,Limited Free,2.0,Hamilton Fish Recreation Center,4.0,4.0
4736,367.0,Free,37.0,bk-16-145963,2.0,46.0
3694,185.0,Free,7.0,mn-07-108104,4.0,15.0
4802,33.0,Free,1.0,mn-01-108151,4.0,1.0
3373,154.0,Free,5.0,mn-08-119830,4.0,11.0
4943,5.0,Free,1.0,Governors Island,4.0,1.0
8.50e+01,89.0,Free,3.0,,4.0,6.0
1550,119.0,Free,4.0,Grand Central Shuttle  - S,4.0,8.0
1740,177.0,Free,35.0,"Eastern Pkwy-Brooklyn Museum (2,3)",2.0,50.0
1003,15.0,Free,33.0,,2.0,54.0
3537,187.0,Free,7.0,mn-07-120395,4.0,15.0
4545,122.0,Free,50.0,si-02-145734,1.0,76.0
4695,129.0,Free,39.0,bk-06-145891,2.0,50.0
1293,279.0,Limited Free,11.0,Crotona Park,5.0,33.0
3115,48.0,Free,2.0,mn-06-133527,4.0,7.0
4232,74.0,Free,4.0,mn-05-121632,4.0,8.0
4255,200.0,Free,9.0,mn-10-123361,4.0,18.0
3790,88.0,Free,4.0,mn-06-138062,4.0,9.0
373,79602.0,Free,40.0,Flatbush - Brooklyn Public Library,2.0,43.0
465,77.0,Free,17.0,Woodstock,5.0,23.0
3045,399.0,Free,15.0,bx-05-116218,5.0,29.0
4538,51.0,Free,8.0,bx-01-145917,5.0,23.0
34,31703.0,Free,1.0,Battery Park City Library,4.0,1.0
4527,7.0,Free,26.0,qu-02-145746,3.0,66.0
1396,288.0,Limited Free,28.0,Baisley Pond Park,3.0,71.0
4453,226.0,Free,9.0,mn-10-120046,4.0,20.0
913,345.0,Limited Free,36.0,St. John's Recreation Center,2.0,49.0
4089,71.0,Free,17.0,bx-01-118947,5.0,23.0
3963,491.0,Free,34.0,bk-01-125630,2.0,56.0
17,1567.0,Limited Free,23.0,Alley Pond Park,3.0,63.0
1174,67.0,Limited Free,3.0,Tony Dapolito Recreation Center,4.0,3.0
4663,555.0,Free,33.0,bk-01-146000,2.0,57.0
3068,125.0,Free,4.0,mn-05-122088,4.0,10.0
3754,235.0,Free,7.0,mn-09-131062,4.0,19.0
4938,5.0,Free,1.0,Governors Island,4.0,1.0
820,149.0,Limited Free,6.0,Dante Park,4.0,12.0
3014,25.0,Free,26.0,QUEENS BRIDGE - JACOB A. RIIS Settlement House,3.0,72.0
914,345.0,Limited Free,36.0,St. John's Recreation Center,2.0,49.0
1584,166.0,Free,8.0,103 St (6),4.0,14.0
3944,106.0,Free,4.0,mn-06-121683,4.0,9.0
67,83.0,Free,3.0,,4.0,6.0
1728,504.0,Free,39.0,Fort Hamilton Pkwy (F),2.0,45.0
1588,182.0,Free,8.0,"116 St (6) (4, 6)",4.0,16.0
4117,131.0,Free,4.0,mn-05-137157,4.0,10.0
273,15.0,Free,33.0,,2.0,54.0
56,1501.0,Free,1.0,3,4.0,1.0
3873,222.0,Free,9.0,mn-10-142813,4.0,18.0
4793,132.0,Free,5.0,mn-08-107971,4.0,11.0
542,13.0,Free,1.0,31,4.0,1.0
