objectid,latitude,longitude,sourceid,:@computed_region_f5dn_yrer,ssid,ntaname,:@computed_region_efsh_h5xi
12212,40.7394321803,-73.9954750904,LINK-000221,12.0,LinkNYC Free Wi-Fi,Hudson Yards-Chelsea-Flatiron-Union Square,12074.0
9635,40.725666,-74.0062742597,LINK-012250,57.0,LinkNYC Free Wi-Fi,SoHo-TriBeCa-Civic Center-Little Italy,12076.0
10080,40.7404654556,-73.9933569112,,11.0,NYPL,Hudson Yards-Chelsea-Flatiron-Union Square,12074.0
9730,40.8126809996,-73.9393569996,0,18.0,GuestWiFi,Central Harlem North-Polo Grounds,13095.0
11891,40.655745777,-74.0065489228,LINK-011423,9.0,LinkNYC Free Wi-Fi,Sunset Park West,13515.0
12062,40.7015421937,-73.9421692826,LINK-000003,36.0,LinkNYC Free Wi-Fi,East Williamsburg,17213.0
11243,40.8092681002,-73.9517076806,LINK-010346,18.0,LinkNYC Free Wi-Fi,Central Harlem South,12424.0
11247,40.8089964896,-73.9521491403,LINK-010357,18.0,LinkNYC Free Wi-Fi,Central Harlem South,12424.0
10546,40.8141028299,-73.95586492,LINK-022396,37.0,LinkNYC Free Wi-Fi,Manhattanville,12424.0
12052,40.73598356,-73.9979901195,LINK-012372,57.0,LinkNYC Free Wi-Fi,West Village,12074.0
11896,40.7667662903,-73.9212759595,LINK-011469,39.0,LinkNYC Free Wi-Fi,Astoria,16859.0
12362,40.6906349998,-73.9818239995,,68.0,TransitWirelessWiFi,Fort Greene,16865.0
11819,40.7417107404,-73.9779728296,LINK-014611,71.0,LinkNYC Free Wi-Fi,Murray Hill-Kips Bay,12078.0
10891,40.8004460001,-73.9464835204,LINK-010191,7.0,LinkNYC Free Wi-Fi,East Harlem North,12426.0
12122,40.7485394098,-73.9882184599,LINK-000184,11.0,LinkNYC Free Wi-Fi,Midtown-Midtown South,11722.0
10069,40.7144564597,-73.9885372705,,70.0,NYPL,Lower East Side,11723.0
12085,40.685389756,-73.9945262011,LINK-000051,14.0,LinkNYC Free Wi-Fi,Carroll Gardens-Columbia Street-Red Hook,13514.0
10209,40.6725829999,-74.0055440003,0,14.0,GuestWiFi,Carroll Gardens-Columbia Street-Red Hook,13514.0
12608,40.8290371297,-73.9488689103,LINK-002065,37.0,LinkNYC Free Wi-Fi,Hamilton Heights,12428.0
12846,40.7737269996,-73.9579649994,LINK-000857,23.0,LinkNYC Free Wi-Fi,Upper East Side-Carnegie Hill,10092.0
12282,40.6625879999,-73.9922589998,LINK-001059,9.0,LinkNYC Free Wi-Fi,Park Slope-Gowanus,13515.0
10987,40.7015999996,-74.0148999999,,56.0,attwifi,park-cemetery-etc-Manhattan,11725.0
11169,40.7986462699,-73.9414215295,LINK-013370,7.0,LinkNYC Free Wi-Fi,East Harlem North,13093.0
10971,40.663381,-73.9760829994,0,13.0,GuestWiFi,park-cemetery-etc-Brooklyn,
9671,40.7406115598,-73.9790788503,LINK-012575,71.0,LinkNYC Free Wi-Fi,Murray Hill-Kips Bay,12078.0
11030,40.7407724603,-73.9982041003,LINK-012818,12.0,LinkNYC Free Wi-Fi,Hudson Yards-Chelsea-Flatiron-Union Square,12074.0
9879,40.6917379998,-73.9881309998,,68.0,Downtown Brooklyn WiFi,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,16865.0
1.25e+04,40.8075079996,-73.9644880005,LINK-001689,37.0,LinkNYC Free Wi-Fi,Morningside Heights,12422.0
11162,40.8193941504,-73.91616313,LINK-020569,49.0,LinkNYC Free Wi-Fi,Melrose South-Mott Haven North,10933.0
12005,40.8173806385,-73.9425246333,LINK-011824,18.0,LinkNYC Free Wi-Fi,Central Harlem North-Polo Grounds,12427.0
11701,40.5732530004,-73.9801429996,,21.0,GuestWiFi,Seagate-Coney Island,18184.0
10047,40.7612533724,-73.9501658898,,23.0,NYPL,Lenox Hill-Roosevelt Island,13099.0
10021,40.6684865101,-73.9336508496,,17.0,BPLUNWIRED,Crown Heights North,17615.0
11302,40.6557102014,-73.9149383856,,61.0,BPLUNWIRED,Rugby-Remsen Village,17614.0
9636,40.8256047402,-73.9182580897,LINK-013218,50.0,LinkNYC Free Wi-Fi,East Concourse-Concourse Village,10929.0
10597,40.6781400002,-73.7871099994,0,41.0,GuestWiFi,Baisley Park,24669.0
9666,40.7512243202,-73.9905922004,LINK-013275,11.0,LinkNYC Free Wi-Fi,Midtown-Midtown South,11722.0
10761,40.8747789997,-73.8650050004,,29.0,GuestWiFi,Williamsbridge-Olinville,11605.0
10417,40.6900723003,-73.9823248003,,68.0,Downtown Brooklyn WiFi,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,16865.0
12500,40.5909830002,-74.1007320003,LINK-001752,30.0,LinkNYC Free Wi-Fi,Old Town-Dongan Hills-South Beach,10691.0
12308,40.7412880001,-73.9046559997,LINK-001149,53.0,LinkNYC Free Wi-Fi,Woodside,14787.0
9964,40.6599636231,-73.7399110132,,63.0,QBPL_WIRELESS,Rosedale,24018.0
10016,40.8148204092,-73.941197673,,18.0,NYPL,Central Harlem North-Polo Grounds,12427.0
12663,40.7588309703,-73.9887795405,LINK-000528,12.0,LinkNYC Free Wi-Fi,Clinton,13094.0
12582,40.8186759997,-73.9281649995,LINK-001791,49.0,LinkNYC Free Wi-Fi,West Concourse,10929.0
10953,40.812944,-73.9416929996,,18.0,Harlem Wi-Fi,Central Harlem North-Polo Grounds,13095.0
11225,40.7577338402,-73.9754336596,LINK-013801,11.0,LinkNYC Free Wi-Fi,Midtown-Midtown South,12419.0
11706,40.5726690002,-73.9857469998,,21.0,GuestWiFi,Seagate-Coney Island,18184.0
10880,40.7424300003,-73.8115100003,0,22.0,GuestWiFi,Queensboro Hill,14190.0
11487,40.7487578396,-74.0069037095,LINK-013993,12.0,LinkNYC Free Wi-Fi,Hudson Yards-Chelsea-Flatiron-Union Square,12074.0
12539,40.7645131699,-73.9771946802,LINK-000398,11.0,LinkNYC Free Wi-Fi,Midtown-Midtown South,12081.0
12043,40.74671976,-73.9859357197,LINK-012325,11.0,LinkNYC Free Wi-Fi,Midtown-Midtown South,11722.0
10426,40.6908829998,-73.9896349995,,68.0,Downtown Brooklyn WiFi,Brooklyn Heights-Cobble Hill,16865.0
9915,40.9004399098,-73.867942,,29.0,NYPL,Woodlawn-Wakefield,11608.0
9874,40.6940105,-73.9867065005,,68.0,Downtown Brooklyn WiFi,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,16865.0
12803,40.7039097998,-74.0090824103,LINK-000771,56.0,LinkNYC Free Wi-Fi,Battery Park City-Lower Manhattan,11726.0
1121100.00%,40.7438912097,-73.9833700403,LINK-013738,11.0,LinkNYC Free Wi-Fi,Murray Hill-Kips Bay,12078.0
12030,40.7622099,-73.9818807495,LINK-012188,11.0,LinkNYC Free Wi-Fi,Midtown-Midtown South,12081.0
10253,40.7116663597,-73.9510261478,LINK-021137,36.0,LinkNYC Free Wi-Fi,North Side-South Side,17613.0
10322,40.6846250902,-73.868974527,LINK-021922,45.0,LinkNYC Free Wi-Fi,Cypress Hills-City Line,17215.0
10043,40.7045590639,-73.9396184214,,36.0,BPLUNWIRED,Bushwick South,17213.0
11140,40.7610889998,-73.9233410004,LINK-019889,39.0,LinkNYC Free Wi-Fi,Astoria,16863.0
10223,40.5846690003,-73.8110510002,0,51.0,GuestWiFi,Hammels-Arverne-Edgemere,20531.0
10740,40.8416259997,-73.8929609999,,35.0,GuestWiFi,East Tremont,10935.0
11643,40.6940950002,-73.8213339996,0,46.0,GuestWiFi,Richmond Hill,24015.0
11903,40.7541882302,-73.9293986402,LINK-011536,39.0,LinkNYC Free Wi-Fi,Queensbridge-Ravenswood-Long Island City,16863.0
12829,40.7660599997,-73.9635540005,LINK-000832,23.0,LinkNYC Free Wi-Fi,Upper East Side-Carnegie Hill,10090.0
10794,40.7990749998,-73.9518220006,,18.0,TransitWirelessWiFi,Central Harlem South,12423.0
10541,40.7587770701,-73.9658396999,LINK-012859,71.0,LinkNYC Free Wi-Fi,Turtle Bay-East Midtown,12419.0
10737,40.8407059999,-73.8913980006,,35.0,GuestWiFi,East Tremont,11269.0
11020,40.7070998997,-74.0036011004,,56.0,#DwtwnAllianceFreeWiFi,Battery Park City-Lower Manhattan,13096.0
10565,40.6509000002,-73.9682999997,,60.0,attwifi,park-cemetery-etc-Brooklyn,17620.0
9631,40.7178049696,-74.0058149101,LINK-013841,56.0,LinkNYC Free Wi-Fi,SoHo-TriBeCa-Civic Center-Little Italy,12076.0
12540,40.7549509796,-73.9838986798,LINK-000419,11.0,LinkNYC Free Wi-Fi,Midtown-Midtown South,10094.0
11786,40.7629208804,-73.9597150298,LINK-014238,23.0,LinkNYC Free Wi-Fi,Lenox Hill-Roosevelt Island,10090.0
12445,40.796138,-73.970931,LINK-001540,20.0,LinkNYC Free Wi-Fi,Upper West Side,12422.0
9931,40.7723828899,-73.9287188126,,39.0,QBPL_WIRELESS,Old Astoria,16859.0
12149,40.8273049399,-73.9462259305,LINK-012542,37.0,LinkNYC Free Wi-Fi,Hamilton Heights,12428.0
10665,40.7809927904,-73.9815226701,LINK-000955,20.0,LinkNYC Free Wi-Fi,Upper West Side,12420.0
12495,40.56585176,-74.1142242602,LINK-001712,30.0,LinkNYC Free Wi-Fi,Oakwood-Oakwood Beach,10693.0
10136,40.8121859998,-73.9479549997,,18.0,Harlem Wi-Fi,Central Harlem North-Polo Grounds,12424.0
10768,40.6899200001,-73.9464699996,,69.0,GuestWiFi,Bedford,18181.0
10896,40.8528573648,-73.9310071503,LINK-010259,47.0,LinkNYC Free Wi-Fi,Washington Heights North,13091.0
12402,40.6896269998,-73.9535219995,,69.0,TransitWirelessWiFi,Bedford,17212.0
11059,40.6764090003,-73.98029,LINK-013117,14.0,LinkNYC Free Wi-Fi,Park Slope-Gowanus,17619.0
12686,40.7624306402,-73.9861557696,LINK-000563,12.0,LinkNYC Free Wi-Fi,Clinton,12081.0
12079,40.6735340004,-73.982789,LINK-000043,14.0,LinkNYC Free Wi-Fi,Park Slope-Gowanus,17617.0
12015,40.8296624199,-73.9484220401,LINK-011980,37.0,LinkNYC Free Wi-Fi,Hamilton Heights,12428.0
10412,40.8037859998,-73.9461589995,,18.0,Harlem Wi-Fi,Central Harlem South,12423.0
1051400.00%,40.7427700859,-74.0017175673,,12.0,CICFreeWiFi,Hudson Yards-Chelsea-Flatiron-Union Square,12074.0
12527,40.7600051899,-73.9675675095,LINK-000359,71.0,LinkNYC Free Wi-Fi,Turtle Bay-East Midtown,12419.0
12459,40.8003002501,-73.9678328695,LINK-001594,20.0,LinkNYC Free Wi-Fi,Upper West Side,12422.0
9802,40.7930999996,-73.9354000003,,7.0,attwifi,East Harlem North,12426.0
12047,40.7640969998,-73.9708230005,LINK-012333,23.0,LinkNYC Free Wi-Fi,Upper East Side-Carnegie Hill,12419.0
11442,40.7441540003,-73.9761899997,LINK-010832,71.0,LinkNYC Free Wi-Fi,Murray Hill-Kips Bay,12078.0
11071,40.7361409996,-73.9891830001,LINK-013185,11.0,LinkNYC Free Wi-Fi,Gramercy,11724.0
9698,40.6574519997,-73.9639909997,,13.0,GuestWiFi,park-cemetery-etc-Brooklyn,
11233,40.7460004698,-73.9906943198,LINK-013842,11.0,LinkNYC Free Wi-Fi,Midtown-Midtown South,11722.0
12854,40.7775279996,-73.9551530001,LINK-000869,23.0,LinkNYC Free Wi-Fi,Upper East Side-Carnegie Hill,12425.0
11740,40.7366389404,-73.9932824699,LINK-011000,11.0,LinkNYC Free Wi-Fi,Hudson Yards-Chelsea-Flatiron-Union Square,12074.0
12521,40.7585080601,-73.9689633006,LINK-000349,71.0,LinkNYC Free Wi-Fi,Turtle Bay-East Midtown,12419.0
11639,40.5181669997,-74.1897649997,0,15.0,GuestWiFi,Annadale-Huguenot-Prince's Bay-Eltingville,10699.0
1024800.00%,40.7152266304,-73.9627406698,LINK-021119,36.0,LinkNYC Free Wi-Fi,North Side-South Side,17613.0
10326,40.6772216502,-73.8974635303,LINK-021927,45.0,LinkNYC Free Wi-Fi,East New York,17214.0
9953,40.7470624208,-73.9442436779,,53.0,QBPL_WIRELESS,Hunters Point-Sunnyside-West Maspeth,16858.0
12574,40.7498274798,-73.99552538,LINK-000501,12.0,LinkNYC Free Wi-Fi,Hudson Yards-Chelsea-Flatiron-Union Square,11722.0
11474,40.7604737301,-73.9760991397,LINK-013920,11.0,LinkNYC Free Wi-Fi,Midtown-Midtown South,10093.0
12155,40.7426996698,-73.9967998396,LINK-012570,12.0,LinkNYC Free Wi-Fi,Hudson Yards-Chelsea-Flatiron-Union Square,12074.0
10152,40.8088430001,-73.9504950003,,18.0,Harlem Wi-Fi,Central Harlem South,12424.0
12910,40.6874572699,-73.9819201796,LINK-006141,68.0,LinkNYC Free Wi-Fi,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,17619.0
10208,40.695295,-73.9801031998,,68.0,DowntownBrooklynWiFi_Fon,Fort Greene,17212.0
11054,40.6635500702,-73.9912456206,LINK-013089,9.0,LinkNYC Free Wi-Fi,Park Slope-Gowanus,17617.0
11308,40.7441275609,-74.0050435071,,12.0,CICFreeWiFi,Hudson Yards-Chelsea-Flatiron-Union Square,12074.0
10443,40.7720050003,-73.9823840006,0,20.0,GuestWiFi,Lincoln Square,12420.0
10113,40.7043990997,-74.0101012997,,56.0,#DwtwnAllianceFreeWiFi,Battery Park City-Lower Manhattan,11726.0
9933,40.8705019246,-73.8286579311,,43.0,NYPL,Co-op City,12344.0
9776,40.8159977098,-73.90824221,LINK-013042,49.0,LinkNYC Free Wi-Fi,Melrose South-Mott Haven North,10933.0
11003,40.7482700004,-74.0020679997,0,12.0,GuestWiFi,Hudson Yards-Chelsea-Flatiron-Union Square,11722.0
12211,40.7393355798,-73.9952642404,LINK-000220,11.0,LinkNYC Free Wi-Fi,Hudson Yards-Chelsea-Flatiron-Union Square,12074.0
12484,40.8072958097,-73.9646455504,LINK-001690,37.0,LinkNYC Free Wi-Fi,Morningside Heights,12422.0
11624,40.7318629998,-73.9977779999,0,57.0,GuestWiFi,West Village,12074.0
11999,40.6701150004,-73.9506270004,LINK-011761,16.0,LinkNYC Free Wi-Fi,Crown Heights North,17618.0
10600,40.6807900002,-73.7846799996,0,41.0,GuestWiFi,Baisley Park,24669.0
11350,40.7559829997,-73.9862289995,,11.0,TransitWirelessWiFi,Midtown-Midtown South,13094.0
11112,40.8648700001,-73.8927999994,LINK-018398,24.0,LinkNYC Free Wi-Fi,Bedford Park-Fordham North,10936.0
11099,40.7918983496,-73.9445961998,LINK-018375,7.0,LinkNYC Free Wi-Fi,East Harlem South,12426.0
11877,40.8467710003,-73.9354559996,LINK-011299,47.0,LinkNYC Free Wi-Fi,Washington Heights South,13091.0
11698,40.57341,-73.9803439997,,21.0,GuestWiFi,Seagate-Coney Island,18184.0
12437,40.8495049997,-73.9335959996,,47.0,TransitWirelessWiFi,Washington Heights North,13091.0
11946,40.6797519303,-73.9391010097,LINK-018115,69.0,LinkNYC Free Wi-Fi,Crown Heights North,17615.0
12139,40.7571737696,-73.96390551,LINK-012486,71.0,LinkNYC Free Wi-Fi,Turtle Bay-East Midtown,12419.0
12707,40.7508327297,-73.9768167294,LINK-000666,11.0,LinkNYC Free Wi-Fi,Murray Hill-Kips Bay,12079.0
11455,40.7697493901,-73.9667634197,LINK-010882,23.0,LinkNYC Free Wi-Fi,Upper East Side-Carnegie Hill,10090.0
10109,40.7051009996,-74.0139998997,,56.0,#DwtwnAllianceFreeWiFi,Battery Park City-Lower Manhattan,11725.0
9814,40.7147999999,-74.0028000002,,56.0,attwifi,SoHo-TriBeCa-Civic Center-Little Italy,10365.0
10918,40.8075940004,-73.939065,,7.0,Harlem Wi-Fi,Central Harlem North-Polo Grounds,13093.0
11161,40.8121265904,-73.9205525,LINK-020565,49.0,LinkNYC Free Wi-Fi,Mott Haven-Port Morris,10932.0
1.12e+04,40.8062866423,-73.9179551832,LINK-020509,49.0,LinkNYC Free Wi-Fi,Mott Haven-Port Morris,10932.0
12932,40.7666493204,-73.9793497005,LINK-007148,11.0,LinkNYC Free Wi-Fi,Midtown-Midtown South,12081.0
10459,40.7199600001,-73.9814780002,0,70.0,GuestWiFi,Lower East Side,11723.0
9926,40.7070105556,-73.7537966712,,41.0,QBPL_WIRELESS,Hollis,15312.0
11695,40.5733840001,-73.9789369997,,21.0,GuestWiFi,Seagate-Coney Island,18184.0
11011,40.7078731318,-73.7946780399,,41.0,QBPL_WIRELESS,Jamaica,24340.0
12549,40.7426889998,-74.0002380003,LINK-000457,12.0,LinkNYC Free Wi-Fi,Hudson Yards-Chelsea-Flatiron-Union Square,12074.0
10705,40.7484820003,-73.9960119997,LINK-008211,11.0,LinkNYC Free Wi-Fi,Midtown-Midtown South,11722.0
1267100.00%,40.7622461604,-73.9862930105,LINK-000539,12.0,LinkNYC Free Wi-Fi,Clinton,12081.0
12133,40.7866538399,-73.9723114005,LINK-012454,20.0,LinkNYC Free Wi-Fi,Upper West Side,12421.0
11884,40.8511646002,-73.9322489595,LINK-011370,47.0,LinkNYC Free Wi-Fi,Washington Heights North,13091.0
11388,40.7986290002,-73.9416169996,,7.0,TransitWirelessWiFi,East Harlem North,12426.0
12646,40.7178279998,-74.0009619996,LINK-002678,56.0,LinkNYC Free Wi-Fi,SoHo-TriBeCa-Civic Center-Little Italy,12076.0
10262,40.7122676599,-73.9556103901,LINK-021229,36.0,LinkNYC Free Wi-Fi,North Side-South Side,17613.0
10789,40.7736199998,-73.959874,,23.0,TransitWirelessWiFi,Upper East Side-Carnegie Hill,12083.0
12253,40.7439503403,-73.9796546501,LINK-000286,71.0,LinkNYC Free Wi-Fi,Murray Hill-Kips Bay,12078.0
12272,40.7514970004,-73.9737649996,LINK-000320,71.0,LinkNYC Free Wi-Fi,Turtle Bay-East Midtown,12079.0
11423,40.7648109998,-73.9733470005,,19.0,TransitWirelessWiFi,park-cemetery-etc-Manhattan,
12225,40.7395310003,-73.9828890001,LINK-000240,71.0,LinkNYC Free Wi-Fi,Gramercy,12073.0
11280,40.7181977604,-74.0000479997,LINK-010708,57.0,LinkNYC Free Wi-Fi,SoHo-TriBeCa-Civic Center-Little Italy,12076.0
12833,40.7676549998,-73.9619709998,LINK-000836,23.0,LinkNYC Free Wi-Fi,Lenox Hill-Roosevelt Island,10090.0
11260,40.8179261897,-73.9152620201,LINK-010460,49.0,LinkNYC Free Wi-Fi,Melrose South-Mott Haven North,10933.0
11755,40.80439875,-73.9663281704,LINK-011088,37.0,LinkNYC Free Wi-Fi,Morningside Heights,12422.0
10822,40.7575519997,-73.969055,,71.0,TransitWirelessWiFi,Turtle Bay-East Midtown,12419.0
12070,40.6745555102,-73.9819357697,LINK-000031,14.0,LinkNYC Free Wi-Fi,Park Slope-Gowanus,17617.0
10184,40.6960269997,-73.9884560003,,68.0,DowntownBrooklynWiFi_Fon,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,16865.0
12286,40.6510267597,-73.9465128704,LINK-001087,61.0,LinkNYC Free Wi-Fi,Erasmus,16866.0
12474,40.8059230004,-73.9650810003,LINK-001676,37.0,LinkNYC Free Wi-Fi,Morningside Heights,12422.0
10628,40.7949113799,-73.9423965402,LINK-000905,7.0,LinkNYC Free Wi-Fi,East Harlem South,12426.0
12243,40.7407749998,-73.9815760003,LINK-000273,71.0,LinkNYC Free Wi-Fi,Murray Hill-Kips Bay,12078.0
9921,40.834515209,-73.9396745829,,47.0,NYPL,Washington Heights South,13090.0
10656,40.7771371701,-73.9819042697,LINK-000942,20.0,LinkNYC Free Wi-Fi,Lincoln Square,12420.0
12084,40.6879008003,-73.9931469103,LINK-000049,68.0,LinkNYC Free Wi-Fi,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,16865.0
10959,40.8035109996,-73.9529419999,,18.0,Harlem Wi-Fi,Central Harlem South,12423.0
11122,40.5899077101,-74.10090436,LINK-018414,30.0,LinkNYC Free Wi-Fi,Old Town-Dongan Hills-South Beach,10691.0
11369,40.702147,-73.8011089995,,41.0,TransitWirelessWiFi,Jamaica,24340.0
9957,40.6417853679,-74.0766457652,,4.0,NYPL,West New Brighton-New Brighton-St. George,10369.0
9889,40.6903640003,-73.9844349999,,68.0,Downtown Brooklyn WiFi,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,16865.0
10619,40.74559121,-73.9799973994,LINK-000650,71.0,LinkNYC Free Wi-Fi,Murray Hill-Kips Bay,12078.0
12231,40.7602069301,-73.9671770504,LINK-000252,71.0,LinkNYC Free Wi-Fi,Turtle Bay-East Midtown,12419.0
12025,40.8133669998,-73.91962478,LINK-012130,49.0,LinkNYC Free Wi-Fi,Mott Haven-Port Morris,10932.0
9947,40.6727060872,-73.8740334898,,45.0,BPLUNWIRED,East New York,17215.0
11599,40.6419629997,-74.1020260005,0,4.0,GuestWiFi,West New Brighton-New Brighton-St. George,10369.0
11727,40.7036540004,-73.9426819995,LINK-010946,36.0,LinkNYC Free Wi-Fi,East Williamsburg,17213.0
10413,40.6918600003,-73.988721,,68.0,Downtown Brooklyn WiFi,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,16865.0
11287,40.7561741504,-73.9678290802,LINK-010754,71.0,LinkNYC Free Wi-Fi,Turtle Bay-East Midtown,12419.0
