tolongitude,bctsnum
-73.769574,DOT-666407-N1F8
-74.193552,DOT-636163-G0P2
-74.02697604166339,DOT-292679-X8D9
-73.788156,DOT-645710-Y5X3
-73.881463,DOT-672928-M0R4
-73.725089,DOT-560138-L3J9
-73.971933,DOT-666008-M2H0
-73.750192,DOT-653266-W3F3
-73.780588,DOT-666864-N2F2
-74.1700504389367,
-74.190733,DOT-636163-G0P2
-74.193631,DOT-636163-G0P2
-73.731235,DOT-515559-S9Y0
-73.797277,DOT-613090-G0F8
-73.763481,DOT-501893-F6H3
-74.075783,DOT-676078-W9V1
-73.870994,DOT-650678-T3L2
-73.852984,DOT-656751-T4W0
-73.739049,DOT-492764-J1X7
-73.738752,DOT-628800-D4Y6
-74.092568,DOT-647245-J5D4
-73.845909,DOT-631307-T6X8
-74.20963,DOT-614160-Y2R1
-73.844035,06-1907
-7.38e+01,DOT-651749-N1B6
-73.916588,DOT-665890-Q8S5
-74.151863,DOT-599517-V3V8
-74.065371,DOT-521471-Z2Y9
-73.949923,DOT-448715-L3K4
-73.80247615001139,DOT-348683-F8C1
-73.956711,DOT-674371-T9J4
-73.852603,DOT-656751-T4W0
-73.937483,DOT-667122-J4P8
-73.752328,DOT-651721-Q9L3
-73.831392,DOT-673422-L1P5
-73.976262,DOT-652334-Q2K1
-73.841711,DOT-650995-L4F9
-74.148779,DOT-650363-T8C0
-74.238102,DOT-652108-W9N0
-73.937517,DOT-675021-L9Q3
-73.735853,DOT-663003-N4P6
-73.820649,DOT-645539-Z5W0
-73.914994,DOT-665890-Q8S5
-74.019804,DOT-652802-B9P6
-74.115491,DOT-641029-W7Q2
-74.083328,DOT-674828-J0H4
-73.913396,DOT-650270-V9C4
-73.9097224529077,BBC12-55
-74.08173,DOT-494491-Q5V8
-73.989705,DOT-624580-H5B9
-73.785453,DOT-615409-F9W6
-73.850166,DOT-667227-B9Z8
-74.102121,DOT-621499-S4Y7
-73.855885,DOT-648527-D5R1
-74.17948,DOT-582121-H7B2
-74.139974,DOT-538033-C6B1
-74.105241,DOT-640766-X8B1
-73.722531,DOT-608917-W9V7
-74.084154,DOT-494491-Q5V8
-73.760031,DOT-652855-J0Q9
-73.90683,DOT-427910-N0F1
-74.137884,DOT-626670-T0L2
-73.901944,DOT-649660-X6X9
-73.938637,DOT-619173-T4S4
-73.936554,DOT-667122-J4P8
-73.738927,DOT-485696-M7P3
-73.830958,DOT-666344-M7X3
-74.025373,DOT-666364-J7Z6
-73.84946,DOT-667227-B9Z8
-74.008176,DOT-650736-R1K2
-73.746461,DOT-611997-Q8S7
-73.925185,DOT-651178-Q3R8
-74.141107,DOT-527550-V3S5
-73.959046,DOT-651320-L9G3
-73.900005,DOT-650188-T8S1
-73.958417,DOT-673858-M1R1
-7.42e+01,DOT-667526-C1W2
-73.818875,DOT-604296-K1F9
-73.840558,DOT-649637-W9T8
-73.880841,12-0290
-73.729053,DOT-648604-G9H8
-73.845576,DOT-649637-W9T8
-73.788829,DOT-496818-F3K7
-73.892504,04-436
-73.797794,DOT-478257-Y3N8
-73.912089,DOT-645196-F0M1
-73.945536,DOT-600409-S9X0
-73.777207,DOT-611622-B8S6
-74.134458,DOT-635468-K7T8
-73.752706,DOT-598913-K7R3
-74.199106,DOT-649453-K3V8
-73.919778,DOT-635288-X6M0
-73.745931,DOT-666117-R3H0
-73.980037,DOT-651177-F6F9
-7.39e+01,DOT-666403-F5C3
-73.787571,DOT-620881-X3Q4
-73.853035,DOT-647750-G0F1
-73.812156,DOT-500500-H4R5
-73.953418,DOT-667889-L4X9
-73.837133,DOT-645919-J9R8
-73.845426,DOT-631307-T6X8
-73.809688,DOT-500500-H4R5
-74.037289,DOT-648985-D7S2
-73.843947,DOT-649637-W9T8
-73.812634,DOT-603464-S2T6
-73.844955,DOT-631307-T6X8
-74.151989,DOT-503060-K5N7
-73.815972,XBC-09-513
-73.9334199818015,BBC08-1296
-73.84298,DOT-649637-W9T8
-73.942052,DOT-651411-P8N1
-73.9731535457577,17597
-73.814711,DOT-651749-N1B6
-73.757097,DOT-593154-M8H6
-73.98675,DOT-405069-S6D5
-73.9522,DOT-511768-K8K8
-73.721777,DOT-608917-W9V7
-73.844934,DOT-648644-K1W2
-73.820599,DOT-634681-Y4H0
-73.990329,DOT-606662-S7Z8
-73.903779,DOT-651865-X5W0
-73.770652,DOT-631325-P6Q0
-74.075155,DOT-481140-L9T8
-74.136508,DOT-635468-K7T8
-73.882889,DOT-587110-D2K8
-73.867442,DOT-646732-W5S8
-73.743306,DOT-478772-B0D3
-73.917394,DOT-652960-F8W5
-74.135834,DOT-635468-K7T8
-73.918494,DOT-635288-X6M0
-7.40e+01,DOT-650736-R1K2
-73.936761,DOT-652291-S7B5
