building_id,house_number,counted_homeownership_units,postcode,moderate_income_units,community_board,extremely_low_income_units
94273.0,135,,10452.0,,BX-04,
1010158.0,2112,,11229.0,,BK-15,
,----,1.0,,,BX-09,
,----,3.0,,,BK-05,
130265.0,231,,11215.0,,BK-06,
956138.0,87,,10303.0,,SI-01,1.0
156814.0,882,,11220.0,,BK-12,
6602.0,73,,10009.0,13.0,MN-03,
930617.0,3495,,10469.0,1.0,BX-12,
,----,1.0,,1.0,QN-10,
375901.0,34,,11221.0,,BK-04,1.0
,----,1.0,,,BX-09,
372257.0,201,,11211.0,,BK-01,
109773.0,923,,10459.0,,BX-02,35.0
1015499.0,111,1.0,10306.0,2.0,SI-02,
,----,1.0,,,BX-08,
,----,1.0,,,SI-01,
,----,1.0,,,SI-01,
77341.0,1076,,10459.0,,BX-02,20.0
43142.0,563,,10032.0,,MN-12,
1014763.0,166-13,,11432.0,,QN-12,
45647.0,1962,,10457.0,,BX-05,
79778.0,1413,,10456.0,,BX-03,
970835.0,203,,11212.0,,BK-16,
982497.0,43-30,,11101.0,,QN-02,
85559.0,1695,,10460.0,,BX-03,31.0
1013683.0,713,,11207.0,,BK-05,
1017215.0,2274,,10453.0,,BX-05,
288341.0,217,,11222.0,,BK-01,
930636.0,3476,,10469.0,3.0,BX-12,
804009.0,2134,,10032.0,1.0,MN-12,31.0
930838.0,3478,,10469.0,5.0,BX-12,
818428.0,120,241.0,10026.0,44.0,MN-04,
,----,2.0,,2.0,QN-12,
1016815.0,2519,,10468.0,,BX-07,
,----,1.0,,,SI-03,
,----,1.0,,,SI-03,
975747.0,1264,8.0,11207.0,8.0,BK-04,
999816.0,36-20,,11101.0,,QN-01,
118569.0,16,,10457.0,,BX-06,
,----,4.0,,4.0,BK-03,
,----,2.0,,,BX-08,
930643.0,3494,,10469.0,3.0,BX-12,
49323.0,33,,10468.0,,BX-07,
1017572.0,275,,11212.0,,BK-16,
1017430.0,180,,10035.0,,MN-11,
1015675.0,159,,11206.0,,BK-01,
930742.0,3441,,10469.0,2.0,BX-12,
,----,1.0,,,QN-07,
302578.0,262,,11211.0,,BK-01,2.0
,----,1.0,,,BK-12,
396823.0,178,,11237.0,1.0,BK-04,1.0
233422.0,32,,11221.0,,BK-04,
877370.0,1033,,10456.0,,BX-03,9.0
956131.0,43,,10303.0,,SI-01,1.0
125691.0,950,,10452.0,16.0,BX-04,12.0
383443.0,1751,,11213.0,,BK-09,14.0
37515.0,120,,10025.0,9.0,MN-07,1.0
930943.0,3472,,10469.0,,BX-12,
,----,1.0,,,QN-03,
,----,2.0,,2.0,QN-13,
1015467.0,770,1.0,10306.0,2.0,SI-02,
1017632.0,2952,,11224.0,,BK-13,116.0
1002866.0,432,,11207.0,,BK-05,
230564.0,91,,11207.0,,BK-04,
806747.0,1406,,10469.0,,BX-12,
1011929.0,338,,10035.0,,MN-11,1.0
1013804.0,1709,,11224.0,,BK-13,110.0
1013972.0,315,,10451.0,,BX-01,
930556.0,3476,,10469.0,2.0,BX-12,
37505.0,73,,10025.0,,MN-07,29.0
933231.0,3455,,10469.0,1.0,BX-12,
,----,4.0,,,MN-10,
1011930.0,303,,10029.0,,MN-11,1.0
6070.0,931,,10025.0,6.0,MN-07,3.0
806672.0,3436,,10469.0,,BX-12,
955410.0,79,,11222.0,,BK-01,
1015679.0,132,,11205.0,,BK-02,
1781.0,170,,10028.0,21.0,MN-08,1.0
,----,1.0,,,MN-10,
,----,1.0,,,QN-11,
79476.0,3400,171.0,10463.0,,BX-08,
64656.0,950,,10459.0,,BX-02,21.0
25352.0,82,,10025.0,,MN-07,14.0
930807.0,1328,,10469.0,2.0,BX-12,
1004965.0,570,,10014.0,,MN-02,175.0
805624.0,351,,10036.0,1.0,MN-04,9.0
690166.0,43-14,,11101.0,,QN-02,
933194.0,3486,,10469.0,3.0,BX-12,
135263.0,341,,11215.0,9.0,BK-06,2.0
,----,2.0,,,BK-01,2.0
1015022.0,1538,,11210.0,,BK-17,
,----,1.0,,,SI-01,
1009810.0,185,,10002.0,,MN-03,
805872.0,369,,10026.0,,MN-10,39.0
355186.0,1185,239.0,11225.0,,BK-09,17.0
930562.0,3486,,10469.0,1.0,BX-12,
,----,1.0,,,BX-12,1.0
323540.0,408,,11225.0,,BK-09,
79208.0,901,,10459.0,,BX-02,21.0
364824.0,417,,11203.0,,BK-09,
,----,1.0,,,QN-14,
299006.0,1010,,11221.0,,BK-03,
1004751.0,37,,10027.0,,MN-10,86.0
44252.0,445,,10014.0,,MN-02,
837477.0,71,,10303.0,,SI-01,
930512.0,3445,,10469.0,3.0,BX-12,
985036.0,130,,11692.0,13.0,QN-14,5.0
976735.0,30-85,,11102.0,,QN-01,
,----,1.0,,,QN-12,
,----,1.0,,,QN-04,
,----,1.0,,,SI-01,
966905.0,532,,11224.0,,BK-13,
,----,2.0,,2.0,BX-12,
975614.0,323,,10001.0,,MN-04,
1016871.0,1567,,10460.0,,BX-03,
7525.0,49,,10004.0,38.0,MN-01,
381797.0,100,,11206.0,,BK-04,2.0
930531.0,3462,,10469.0,3.0,BX-12,
1016898.0,3162,,10468.0,,BX-07,
,----,1.0,,,QN-09,
,----,1.0,,,BK-15,
933199.0,3484,,10469.0,2.0,BX-12,
806745.0,1308,,10469.0,2.0,BX-12,
,----,1.0,,,BX-11,
1016549.0,1322,,10456.0,,BX-03,
97502.0,2076,,10453.0,,BX-05,
1002718.0,159,,11217.0,5.0,BK-06,
,----,1.0,,,SI-01,
108415.0,1520,,10453.0,6.0,BX-05,
44824.0,3044,,10463.0,2.0,BX-08,1.0
930928.0,3471,,10469.0,2.0,BX-12,
930550.0,3450,,10469.0,2.0,BX-12,
45417.0,1080,,10452.0,1.0,BX-04,3.0
978379.0,402,,10027.0,,MN-09,
,----,2.0,,2.0,BK-18,
,----,1.0,,,SI-02,
377735.0,43,,11221.0,,BK-04,
930828.0,3468,,10469.0,2.0,BX-12,
129541.0,731,,11232.0,,BK-07,
1010411.0,625,,10455.0,,BX-01,16.0
930533.0,3478,,10469.0,5.0,BX-12,
,----,1.0,,,QN-09,
64658.0,960,,10459.0,,BX-02,12.0
1008972.0,1487,,10075.0,,MN-08,
396106.0,1053,,11221.0,,BK-04,1.0
,----,1.0,,,QN-06,
864865.0,295,,11211.0,,BK-01,
956167.0,53,,10303.0,,SI-01,1.0
956156.0,103,,10303.0,,SI-01,1.0
1015140.0,3230,,10451.0,,BX-05,
287554.0,1206,,11213.0,,BK-09,
297761.0,2067,,11233.0,,BK-16,
,----,1.0,,,QN-04,
37262.0,256,,10025.0,,MN-07,80.0
1013778.0,366,,11212.0,,BK-16,84.0
