tr6_no,control_no,bin,cycle,submitted_on,qewi_bus_name,filing_date
TR6-806826-8C-I1,806826,1059716,8,2018-10-31T00:00:00.000,"Caseworks Architect, PLLC",2018-10-31T00:00:00.000
TR6-913422-9B-N1,913422,1090668,9,,,
TR6-803319-8A-N1,803319,1081701,8,,,
TR6-901536-9B-N1,901536,1013553,9,,,
TR6-903894-9C-N1,903894,1033133,9,,,
TR6-911776-9B-N1,911776,4301620,9,,,
TR6-807710-8A-N1,807710,2091966,8,,,
TR6-914907-9A-N1,914907,1090448,9,,,
TR6-807611-8A-N1,807611,2003060,8,,,
TR6-908880-9A-N1,908880,2084073,9,,,
TR6-903595-9C-I1,903595,1030378,9,2023-11-28T00:00:00.000,NY RESTORATION TECHNOLOGY CORP,2023-11-28T00:00:00.000
TR6-808368-8A-N1,808368,2092911,8,,,
TR6-813925-8C-N1,813925,2114693,8,,,
TR6-800479-8B-N1,800479,1082619,8,,,
TR6-804192-8B-N1,804192,1034801,8,,,
TR6-919108-9A-N1,919108,3397861,9,,,
TR6-806261-8C-N1,806261,1055031,8,,,
TR6-810192-8A-N1,810192,3331092,8,,,
TR6-919409-9C-N1,919409,2053702,9,,,
TR6-910051-9C-N1,910051,3135596,9,,,
TR6-913469-9C-N1,913469,1087444,9,,,
TR6-801118-8B-N1,801118,1008847,8,,,
TR6-809711-8C-N1,809711,3325326,8,,,
TR6-917601-9B-N1,917601,2121025,9,,,
TR6-801213-8A-N1,801213,1009275,8,,,
TR6-809172-8C-N1,809172,3323299,8,,,
TR6-812441-8B-N1,812441,3120565,8,,,
TR6-814790-8B-N1,814790,2011340,8,,,
TR6-914045-9A-N1,914045,1063448,9,,,
TR6-801988-8B-N1,801988,1015447,8,,,
TR6-814940-8C-N1,814940,4115055,8,,,
TR6-812443-8C-N1,812443,1030944,8,,,
TR6-907630-9B-N1,907630,2003176,9,,,
TR6-803027-8A-N1,803027,1022573,8,,,
TR6-705919-7A-A1,705919,1083309,7,2015-12-23T00:00:00.000,"O&S ASSOCIATES,INC",2015-12-23T00:00:00.000
TR6-912028-9B-N1,912028,1078838,9,,,
TR6-803553-8B-N1,803553,1030257,8,,,
TR6-613484-NA-N1,613484,3337152,6,,,
TR6-912513-9A-N1,912513,1064239,9,,,
TR6-806390-8B-N1,806390,1056035,8,,,
TR6-918158-9A-N1,918158,4596086,9,,,
TR6-910220-9B-N1,910220,3321834,9,,,
TR6-800616-8B-N1,800616,1079647,8,,,
TR6-900619-9B-N1,900619,1003897,9,,,
TR6-802210-8B-N1,802210,1015942,8,,,
TR6-804220-8C-N1,804220,1035058,8,,,
TR6-919194-9B-N1,919194,4440253,9,,,
TR6-800037-8A-N1,800037,1000058,8,,,
TR6-808349-8B-N1,808349,2023748,8,,,
TR6-901147-9B-N1,901147,1066890,9,,,
TR6-907266-9A-N1,907266,1064331,9,,,
TR6-801610-8C-N1,801610,1014096,8,,,
TR6-914463-9B-N1,914463,1012048,9,,,
TR6-917862-9C-N1,917862,3414134,9,,,
TR6-913590-9B-N1,913590,4039314,9,,,
TR6-914200-9A-N1,914200,3392430,9,,,
TR6-805374-8B-N1,805374,1084781,8,,,
TR6-806438-8C-N1,806438,1056486,8,,,
TR6-804536-8C-N1,804536,1036904,8,,,
TR6-918270-9B-N1,918270,4864183,9,,,
TR6-901243-9A-N1,901243,1009563,9,,,
TR6-803781-8B-N1,803781,1031757,8,,,
TR6-916685-9C-N1,916685,1089025,9,,,
TR6-816900-8B-N1,816900,3396851,8,,,
TR6-812948-8B-N1,812948,1062597,8,,,
TR6-907201-9C-N1,907201,1063510,9,,,
TR6-913857-9A-N1,913857,1062006,9,,,
TR6-910186-9A-N1,910186,3331096,9,,,
TR6-900865-9C-N1,900865,1076933,9,,,
TR6-909843-9B-N1,909843,3324283,9,,,
TR6-900486-9B-N1,900486,1086557,9,,,
TR6-908017-9C-N1,908017,2013340,9,,,
TR6-808299-8C-N1,808299,2092759,8,,,
TR6-904167-9A-N1,904167,1083861,9,,,
TR6-810016-8B-N1,810016,3121600,8,,,
TR6-809982-8C-N1,809982,3116559,8,,,
TR6-813092-8C-N1,813092,1028830,8,,,
TR6-903249-9B-N1,903249,1025107,9,,,
TR6-908111-9B-N1,908111,2015763,9,,,
TR6-811898-8A-N1,811898,5108863,8,,,
TR6-903394-9B-N1,903394,1028133,9,,,
TR6-803883-8C-N1,803883,1032777,8,,,
TR6-816440-8A-N1,816440,1002810,8,,,
TR6-912336-9A-N1,912336,2003076,9,,,
TR6-802302-8B-N1,802302,1080755,8,,,
TR6-907967-9C-N1,907967,2011855,9,,,
TR6-814563-8A-N1,814563,1004549,8,,,
TR6-800731-8A-N1,800731,1084635,8,,,
TR6-812234-8C-N1,812234,4047077,8,,,
TR6-910192-9A-N1,910192,3331092,9,,,
TR6-800633-8C-N1,800633,1083419,8,,,
TR6-912023-9A-N1,912023,1076742,9,,,
TR6-901934-9A-N1,901934,1080611,9,,,
TR6-803962-8A-N1,803962,1033718,8,,,
TR6-913886-9C-N1,913886,2101266,9,,,
TR6-600406-NA-I1,600406,1082816,6,2007-02-05T00:00:00.000,"DANIEL R.WACKS, P.E. P.C",2007-02-05T00:00:00.000
TR6-917707-9C-N1,917707,2129176,9,,,
TR6-904208-9C-N1,904208,1034856,9,,,
TR6-909972-9A-N1,909972,3114663,9,,,
TR6-917998-9C-N1,917998,3425662,9,,,
TR6-901297-9C-N1,901297,1010232,9,,,
TR6-807911-8A-N1,807911,2092076,8,,,
TR6-812025-8A-N1,812025,1082315,8,,,
TR6-913291-9A-N1,913291,4193487,9,,,
TR6-807223-8C-N1,807223,1079921,8,,,
TR6-906226-9B-N1,906226,1054505,9,,,
TR6-807111-8A-N1,807111,1063247,8,,,
TR6-814975-8C-N1,814975,3203615,8,,,
TR6-801000-8C-N1,801000,1008236,8,,,
TR6-809418-8B-N1,809418,3324251,8,,,
TR6-812764-8C-N1,812764,2048823,8,,,
TR6-812696-8C-N1,812696,1085729,8,,,
TR6-903877-9B-N1,903877,1032769,9,,,
TR6-807073-8B-N1,807073,1062490,8,,,
TR6-802730-8C-N1,802730,1018994,8,,,
TR6-909519-9C-N1,909519,3335249,9,,,
TR6-809131-8B-N1,809131,3002108,8,,,
TR6-919251-9C-I1,919251,3414663,9,2024-02-21T00:00:00.000,"RAND ENGINEERING & ARCHITECTURE, DP",2024-02-21T00:00:00.000
TR6-901840-9C-N1,901840,1015051,9,,,
TR6-811633-8A-N1,811633,4210100,8,,,
TR6-919128-9A-N1,919128,1090883,9,,,
TR6-915016-9A-N1,915016,4308685,9,,,
TR6-809713-8C-N1,809713,3326531,8,,,
TR6-812883-8A-N1,812883,1086049,8,,,
TR6-916797-9C-N1,916797,3348908,9,,,
TR6-916662-9A-N1,916662,1088270,9,,,
TR6-807946-8C-N1,807946,2010610,8,,,
TR6-802203-8B-N1,802203,1015930,8,,,
TR6-816640-8B-N1,816640,3396015,8,,,
TR6-800617-8B-N1,800617,1003881,8,,,
TR6-909177-9C-N1,909177,3006388,9,,,
TR6-916595-9B-N1,916595,1085244,9,,,
TR6-804245-8A-N1,804245,1071438,8,,,
TR6-914958-9A-N1,914958,1088132,9,,,
TR6-908617-9B-N1,908617,2049416,9,,,
TR6-813059-8A-N1,813059,1064210,8,,,
TR6-812424-8C-N1,812424,1040093,8,,,
TR6-907925-9B-N1,907925,2092083,9,,,
TR6-812146-8B-N1,812146,3030632,8,,,
TR6-900729-9A-N1,900729,1004570,9,,,
TR6-805821-8C-N1,805821,1050385,8,,,
TR6-811863-8A-N1,811863,5000035,8,,,
TR6-809631-8B-N1,809631,3327971,8,,,
TR6-902429-9B-N1,902429,1016967,9,,,
TR6-909022-9B-N1,909022,3335892,9,,,
TR6-909759-9B-N1,909759,3328045,9,,,
TR6-800605-8C-N1,800605,1075753,8,,,
TR6-706801-7A-I1,706801,1059659,7,2011-02-08T00:00:00.000,"KAITSEN WOO ARCHITECT, P.C",2011-02-08T00:00:00.000
TR6-811902-8A-N1,811902,5113114,8,,,
TR6-816596-8B-N1,816596,5048706,8,,,
TR6-602468-NA-A1,602468,1017035,6,2007-07-30T00:00:00.000,"BRAXTON ENGINEERING, PC",2007-07-30T00:00:00.000
TR6-814062-8A-N1,814062,3331658,8,,,
TR6-804482-8A-N1,804482,1090524,8,,,
TR6-807262-8B-N1,807262,1064313,8,,,
TR6-816786-8C-N1,816786,1082490,8,,,
TR6-811359-8B-N1,811359,4443444,8,,,
TR6-910774-9B-N1,910774,4431398,9,,,
TR6-802844-8B-N1,802844,1020336,8,,,
TR6-802392-8B-N1,802392,1016892,8,,,
TR6-900626-9A-N1,900626,1004004,9,,,
TR6-806340-8A-N1,806340,1055757,8,,,
TR6-813638-8C-N1,813638,1009399,8,,,
TR6-804220-8C-I1,804220,1035058,8,2019-05-21T00:00:00.000,HLZIMMERMAN ARCHITECTS,2019-05-21T00:00:00.000
TR6-918252-9C-N1,918252,4618758,9,,,
TR6-917770-9A-N1,917770,3126788,9,,,
TR6-800328-8B-N1,800328,1075706,8,,,
TR6-908891-9C-N1,908891,2084131,9,,,
TR6-806812-8B-I1,806812,1059671,8,2016-11-14T00:00:00.000,,2016-11-14T00:00:00.000
TR6-908978-9C-N1,908978,3000116,9,,,
TR6-807296-8B-N1,807296,1064385,8,,,
TR6-909071-9B-N1,909071,3326019,9,,,
