physicalid,continuous,rwjurisdic,seglocstat,l_high_hn,trafdir,to_level_c,r_low_hn,bike_lane,shape_leng,twisted_pa,b_5_sc,stname_lab,l_low_hn,modified_b,lsubsect
67300,,,,819,TW,13,761,3.0,570.67689621978,N,382230,MOTHER GASTON BLVD,761,BlockfaceID_LOAD,1A
38802,,,,,FT,17,,,154.45751548239,N,340930,FLATBUSH AV,,BlockfaceID_LOAD,
76433,,,I,87-099,TW,13,87-033,,220.50327032904,N,421340,120 ST,87-033,BlockfaceID_LOAD,4D
157964,,,,,FT,17,,,47.2999830259,N,400093,JFK TERMINAL 1 ACCESS RAMP,,BlockfaceID_LOAD,
98463,,,,1599,TF,13,1545,,602.40617192863,N,247420,LURTING AV,1545,BlockfaceID_LOAD,1E
102400,,,,,NV,13,,,253.14923025962,N,552267,UNNAMED ST,,BlockfaceID_LOAD,2E
65126,,,,1857,TW,13,1841,,216.83188894338,N,208920,ANTHONY AV,1841,BlockfaceID_LOAD,3B
47785,,,,0,FT,13,0,,430.18702535754,N,354050,KINGS HWY,0,BlockfaceID_LOAD,6D
171943,,,,849,TW,13,827,,259.58344878803,N,341030,FLATLANDS AV,827,BlockfaceID_LOAD,3C
18579,,,,,FT,17,,,41.73929932605,N,497780,V WALK EXWY WHTSTN EXWY RP,,BlockfaceID_LOAD,
88550,,,,251,TW,13,227,,250.05862924314,N,535490,LA GUARDIA AV,227,BlockfaceID_LOAD,3E
94070,,,,49,TW,13,19,,295.50275809356,N,530510,GRANTWOOD AV,19,BlockfaceID_LOAD,4C
44396,,,X,77,FT,13,21,,811.06437588428,N,367030,NOSTRAND AV,21,BlockfaceID_LOAD,1A
51293,,,,77,FT,13,61,,251.08298517305,N,393430,WILLOW ST,61,BlockfaceID_LOAD,1A
97441,,,,165-099,FT,13,165-001,,274.78183804458,N,417790,88 AV,165-001,BlockfaceID_LOAD,1D
54882,,,,1599,TF,13,1551,2.0,350.60424067555,N,239420,HERING AV,1551,BlockfaceID_LOAD,2E
53361,,,,637,TW,13,621,2.0,260.79138860991,N,305580,5 AV,621,BlockfaceID_LOAD,2C
54437,,,,2499,TW,13,2401,,684.86322026571,N,229820,EASTCHESTER RD,2401,BlockfaceID_LOAD,3E
95131,,,,,FT,13,,,136.23170718841,N,210655,MAJOR DEEGAN EXPWY ET 7 N NB,,BlockfaceID_LOAD,
7104,,,,,FT,13,,,143.77883531062,N,447390,GRAND CENTRAL PKWY,,BlockfaceID_LOAD,1D
15203,,,X,42,TW,13,18,,384.35586528834,N,518980,BLOOMINGDALE RD,18,BlockfaceID_LOAD,7D
5483,,,,0,FT,13,0,,259.01725860139,N,428890,ATLANTIC AV,0,BlockfaceID_LOAD,1C
13945,,,X,63-049,TW,13,63-029,,264.02905740525,N,468690,YELLOWSTONE BLVD,63-029,BlockfaceID_LOAD,1D
147788,,,,,NV,17,,,37.74425051846,N,298100,MANHATTAN COLLEGE PKWY PED OPAS,,BlockfaceID_LOAD,3D
53574,,,,251,TF,13,205,,271.9137936051,N,521459,CARLYLE GRN,205,BlockfaceID_LOAD,5C
45491,,,X,3999,TW,13,3901,,259.78585231692,N,340230,FARRAGUT RD,3901,BlockfaceID_LOAD,5D
101063,,,,77,TW,13,57,,237.98811644378,N,381730,STEWART ST,57,T_Kiezik,3A
95357,,,,65,FT,13,1,,723.60818796139,N,544135,PURCELL ST,1,BlockfaceID_LOAD,2E
4467,,,,,TW,17,,,44.18278630495,N,453490,LEFFERTS BLVD,,BlockfaceID_LOAD,
73093,,,,977,FT,13,959,2.0,230.01532452399,N,319830,BLAKE AV,959,BlockfaceID_LOAD,3E
67729,,,,,TW,13,,,35.47486132714,N,410015,CONNECTOR,,BlockfaceID_LOAD,1E
6966,,,,,TF,13,,,408.1271752137,N,447390,GRAND CENTRAL PKWY,,BlockfaceID_LOAD,
55894,,,X,398,TW,13,372,,260.91939553168,N,538600,MC CLEAN AV,372,BlockfaceID_LOAD,1C
13587,,,,2199,TW,13,2101,,299.70237873057,N,454090,LINDEN ST,2101,BlockfaceID_LOAD,3D
40768,,,X,0,TW,13,0,,99.10330832069,N,229320,E GUN HILL RD,0,BlockfaceID_LOAD,2E
97489,2.0,,,799,TF,13,795,,273.52374811574,N,120330,ENRIGHT RD,795,BlockfaceID_LOAD,
2671,,,X,,FT,13,,1.0,56.55896929271,N,110010,1 AV,,BlockfaceID_LOAD,1B
8377,,,,54-025,FT,13,54-015,2.0,258.45711828055,N,462590,SKILLMAN AV,54-015,BlockfaceID_LOAD,2C
16152,,,,,TW,13,,,1111.43841081572,N,460057,RANGE RD,,BlockfaceID_LOAD,
49956,,,,753,TW,13,749,,101.54298127894,N,520815,BUEL AV,749,BlockfaceID_LOAD,2E
67223,,,,,TF,13,,,787.94522932643,N,523908,STATEN IS EXWY,,BlockfaceID_LOAD,3D
42598,,,X,8689,TW,13,8601,,789.25638160348,N,306880,18 AV,8601,BlockfaceID_LOAD,4D
41161,,,,,TF,13,,,36.41772822777,N,222240,CROSS BX SVC RD N,,BlockfaceID_LOAD,3E
68494,,,,,FT,13,,,1058.3137126154,N,510260,W SHORE EXPRESSWAY EXIT 4 NB,,BlockfaceID_LOAD,6C
134186,,,X,,TW,19,,,11.32313307989,N,197950,MANHATTAN BR,,BlockfaceID_LOAD,
36797,,,X,7199,TW,13,7101,,330.29653916122,N,305430,4 AV,7101,BlockfaceID_LOAD,1C
34795,,,,92-099,TW,13,92-001,,250.15053524052,N,424160,163 AV,92-001,BlockfaceID_LOAD,4C
11708,,,,38-007,TW,13,38-001,,148.32414080855,N,410690,HUNTERS PT AV,38-001,BlockfaceID_LOAD,3E
146207,,,,,TF,13,,,99.86813111114,N,328830,CONEY ISLAND AVE,,BlockfaceID_LOAD,1B
44863,,,,274,TF,13,244,,332.70612091218,N,546850,FR CAPODANNO BLVD,244,BlockfaceID_LOAD,1C
49650,,,,296,TF,13,290,,196.3668644482,N,556285,WOODROW RD,290,BlockfaceID_LOAD,5E
72747,,,X,,TW,13,,3.0,65.58606984049,N,136930,W 158 ST,,BlockfaceID_LOAD,1B
19919,,,,42-063,TW,13,42-001,,628.55917701867,N,423740,156 ST,42-001,BlockfaceID_LOAD,4E
130203,,,,,NV,15,,,271.23275306101,N,197950,MANHATTAN BRIDGE PEDESTRIAN PATH,,BlockfaceID_LOAD,
8506,,,X,112-013,TW,13,112-001,,231.70325351623,N,460810,ROCKAWAY BLVD,112-001,BlockfaceID_LOAD,2C
91125,,,,,FT,17,,,42.79701581275,N,411195,LONG ISLAND EXPWY ET 17 E EB,,BlockfaceID_LOAD,
89793,,,,,TF,13,,,63.16197912971,N,136730,W 148 ST,,BlockfaceID_LOAD,3A
65971,,,,88-077,TF,13,88-071,,212.35212093365,N,425540,193 ST,88-071,BlockfaceID_LOAD,1E
53931,,,,98,TW,13,70,,250.20265999584,N,516805,ARNOLD ST,70,BlockfaceID_LOAD,2D
47669,,,,2499,TF,13,2401,,353.56925576984,N,354050,KINGS HWY,2401,BlockfaceID_LOAD,2D
25064,,,,184,TW,13,142,2.0,579.7075098642,N,130490,SHERMAN AV,142,BlockfaceID_LOAD,4A
92089,,,,50-019,TW,13,50-001,,44.05769002918,N,407040,23 ST,50-001,BlockfaceID_LOAD,3B
18075,,,X,114-099,TW,13,114-049,,262.78432231537,N,444690,FARMERS BLVD,114-049,BlockfaceID_LOAD,5E
76191,,,,,TW,13,,,208.80866535452,N,570430,RING RD,,BlockfaceID_LOAD,4C
61385,,,,4599,TW,13,4501,,502.85082885185,N,251920,MONTICELLO AV,4501,BlockfaceID_LOAD,5C
77072,,,,,NV,17,,,41.12718779581,N,458713,61 ST PEDESTRIAN OPAS,,BlockfaceID_LOAD,1E
32216,,,,148-099,TW,13,148-001,,247.57416881535,N,422090,133 AV,148-001,BlockfaceID_LOAD,6C
58470,,,,1859,FT,13,1841,,267.56711024453,N,278485,WOOD AV,1841,BlockfaceID_LOAD,2B
76070,,,,,FT,13,,,34.01731638203,N,464630,STRONGHURST AV,,BlockfaceID_LOAD,2D
68949,,,X,959,TW,13,895,,820.4681697595,N,343330,GATES AV,895,BlockfaceID_LOAD,4B
34918,,,X,417,TW,13,415,,52.1472877076,N,537850,MANOR RD,415,BlockfaceID_LOAD,3E
48773,,,X,695,TF,13,679,2.0,259.88455459011,N,340030,EVERGREEN AV,679,BlockfaceID_LOAD,3A
32566,,,X,81-099,TW,13,81-001,,676.51362797177,N,427292,262 ST,81-001,BlockfaceID_LOAD,1D
78120,,,,,TW,13,,,33.78251283585,N,510010,CONNECTOR,,BlockfaceID_LOAD,2E
75521,,,,413,TF,13,355,,570.01227074923,N,392930,WILLIAMS AV,355,BlockfaceID_LOAD,4C
43213,,,X,1667,TF,13,1663,,112.7110016927,N,313430,ATLANTIC AV,1663,BlockfaceID_LOAD,4A
4130,,,,313,FT,13,301,3.0,268.99859460634,N,117750,E 38 ST,301,BlockfaceID_LOAD,2B
62809,,,,1515,TW,13,1501,,150.0931165165,N,314230,AV M,1501,BlockfaceID_LOAD,4C
34543,,,,248-099,TW,13,246-001,,313.49706284195,N,412700,61 AV,246-001,BlockfaceID_LOAD,5E
64514,,,,,FT,17,,,1240.04696394308,N,298170,THRG NCK BR APPR,,BlockfaceID_LOAD,2C
36653,,,,1499,TF,13,1401,,779.681468212,N,309230,53 ST,1401,BlockfaceID_LOAD,1C
64731,,,X,1699,FT,13,1601,,894.78334363374,N,308980,48 ST,1601,BlockfaceID_LOAD,4E
93259,,,,35-099,TW,13,35-001,,373.49871862847,N,425390,191 ST,35-001,BlockfaceID_LOAD,1C
12553,,,X,61-029,TF,13,61-027,,60.93604090515,N,417140,84 ST,61-027,BlockfaceID_LOAD,5C
17944,,,,,TW,13,,,27.01332096153,N,445890,FRANCIS LEWIS BLVD,,BlockfaceID_LOAD,6E
17905,,,,0,FT,13,0,,412.44568324859,N,445890,FRANCIS LEWIS BLVD,0,BlockfaceID_LOAD,7D
80888,,,,698,FT,13,600,,253.56556439869,N,419390,CHURCH RD,600,BlockfaceID_LOAD,2C
91420,,,,101-099,TW,13,99-001,,651.50700906618,N,412790,62 AV,99-001,BlockfaceID_LOAD,1D
8086,,,X,151-047,TF,13,151-037,,482.69843911987,N,457550,N CONDUIT AV,151-037,BlockfaceID_LOAD,7C
11453,,,X,37-099,TF,13,37-001,,549.77930501086,N,405790,12 ST,37-001,BlockfaceID_LOAD,6D
13185,,,,56-099,FT,13,56-057,,306.54398050848,N,412190,58 ST,56-057,BlockfaceID_LOAD,3C
51581,,,,,FT,17,,,878.01037942248,N,323340,BROOKLYN QUEENS EXWY,,BlockfaceID_LOAD,3A
50259,,,,182,TW,13,164,,327.04904030197,N,537080,LONGVIEW RD,164,BlockfaceID_LOAD,1E
59767,,,X,5399,TW,13,5253,,534.95983117948,N,241920,INDEPENDENCE AV,5253,BlockfaceID_LOAD,3D
100200,,,,215-099,TW,13,215-001,,260.17493508721,N,406150,15 RD,215-001,BlockfaceID_LOAD,8D
40484,,,,0,FT,13,0,,1465.76884948599,N,265320,SOUTHERN BLVD,0,BlockfaceID_LOAD,1B
161926,,,,73,TW,13,55,,294.07112634749,N,537745,MANEE AV,55,BlockfaceID_LOAD,7D
83200,,,,96-099,TW,13,95-001,,218.7755923368,N,426840,218 ST,95-001,BlockfaceID_LOAD,3E
43367,,,,3407,TF,13,3383,,251.81444049372,N,313430,ATLANTIC AV,3383,BlockfaceID_LOAD,2D
46929,,,,,FT,13,,,38.89245407722,N,326930,CLAY ST,,BlockfaceID_LOAD,1B
41197,,,X,,FT,13,,,347.77297815643,N,222240,CROSS BRONX EXWY,,BlockfaceID_LOAD,
31364,,,,133-099,FT,13,133-021,,280.94524584583,N,427104,234 ST,133-021,R_Taszym,6C
102526,,,,20-099,TF,13,20-001,,599.34634632911,N,406240,18 ST,20-001,BlockfaceID_LOAD,1D
159810,,,,,TW,13,,,35.73706013262,N,309580,60 ST,,A_Mak,4C
40361,,,,,FT,13,,,537.01237339211,N,215425,BRONX RIVER PKWY,,BlockfaceID_LOAD,2A
22359,,,,212-099,TW,13,212-001,,263.05467762412,N,460600,RICHLAND AV,212-001,BlockfaceID_LOAD,5C
79757,,,,350,FT,13,322,,452.71148229038,N,134030,W 13 ST,322,BlockfaceID_LOAD,3B
8705,,,,76-039,TF,13,73-029,,987.55122472643,N,468090,WOODHAVEN BLVD,73-001,BlockfaceID_LOAD,2E
58225,,,,179,TW,13,151,,260.0896216641,N,525490,DALTON AV,151,BlockfaceID_LOAD,1E
34864,,,,87-099,TW,13,87-001,,391.00011543805,N,422040,132 ST,87-001,BlockfaceID_LOAD,4D
63732,,,X,2237,TW,13,2227,,151.95955192297,N,332930,DITMAS AV,2227,BlockfaceID_LOAD,1A
102809,,3.0,,229,TW,13,191,,487.12052635066,N,332730,DIKEMAN ST,191,BlockfaceID_LOAD,1D
15856,,,,0,FT,13,0,,807.52628147384,N,526450,VETERANS RD W,0,BlockfaceID_LOAD,6C
1428,,,,839,TF,13,817,1.0,261.80060594366,N,110910,9 AV,817,BlockfaceID_LOAD,3A
165390,,,,399,TW,13,361,,119.90084413553,N,433140,BEACH 92 ST,361,BlockfaceID_LOAD,2C
84127,,,X,132-099,TF,13,132-001,3.0,270.68102799666,N,443360,ELDER AV,132-001,R_Zapata,2C
4314,,,,399,TF,13,319,,508.66785317325,N,117330,E 17 ST,319,BlockfaceID_LOAD,1A
13015,,,,79-099,FT,13,79-001,,259.55554147206,N,409540,41 AV,79-001,BlockfaceID_LOAD,1C
50275,,,,609,TW,13,541,,697.8204821357,N,539706,NAUGHTON AV,541,BlockfaceID_LOAD,2E
7141,,,,,FT,13,,,650.95485340426,N,447390,GRAND CENTRAL PKWY,,BlockfaceID_LOAD,1D
101099,,,,,FT,13,,,188.14035457639,N,114930,CHATHAM SQ,,BlockfaceID_LOAD,1A
42522,,,,2599,TF,13,2551,,271.90600923369,N,330630,CROPSEY AV,2551,BlockfaceID_LOAD,5D
23542,,,,,TW,13,,,121.16713021248,N,467790,WILLETS PT BLVD,,BlockfaceID_LOAD,6E
46359,,,,1573,TF,13,1547,,300.80678682934,N,356230,LINDEN BLVD,1547,BlockfaceID_LOAD,1A
167925,,,,71-031,TW,13,71-001,,335.35084403782,N,441295,CYPRESS HILLS ST,71-001,BlockfaceID_LOAD,4D
5440,,,,0,FT,13,0,,280.24811751992,N,428890,ATLANTIC AV,0,BlockfaceID_LOAD,4E
1356,,,,538,TF,13,520,,256.0540887947,N,110610,7 AV,520,BlockfaceID_LOAD,
93592,,,,3113,TW,13,3101,,210.53415724769,N,243920,KINGSBRIDGE AV,3101,BlockfaceID_LOAD,2A
54331,,,,1279,TW,13,1261,2.0,298.28212697267,N,245120,LAFAYETTE AV,1261,BlockfaceID_LOAD,1A
78775,,,,767,TF,13,739,,284.26217656214,N,335580,E 17 ST,739,BlockfaceID_LOAD,4E
14070,,,,,TW,13,,,42.08351429076,N,460790,ROCKAWAY BEACH BLVD,,BlockfaceID_LOAD,2C
14705,,,,,TF,13,,,436.55400925166,N,435290,BEACH CHANNEL DR,,BlockfaceID_LOAD,
10158,,,,78-099,TW,13,78-001,,300.22048861551,N,451835,JUNIPER BLVD N,78-001,BlockfaceID_LOAD,5C
13065,,,,,TF,13,,,55.08070266228,N,412740,61 ST,,BlockfaceID_LOAD,1E
92256,,,,190-099,TW,13,190-001,,183.89464452283,N,420630,113 AV,190-001,BlockfaceID_LOAD,4E
82054,,,,210-099,TW,13,210-001,,269.48456188903,N,409540,41 AV,210-001,BlockfaceID_LOAD,2C
48195,,,,631,FT,13,585,,676.20370259426,N,354110,KOSCIUSZKO ST,585,BlockfaceID_LOAD,4B
66285,,,,148,TW,13,60,,659.20458237124,N,525785,DELAWARE ST,60,BlockfaceID_LOAD,3D
39671,,,,199,FT,13,143,2.0,675.4576757614,N,331830,DEAN ST,143,BlockfaceID_LOAD,2B
92773,,,,240-345,TW,13,240-001,,601.51445860181,N,451952,KENMORE RD,240-001,BlockfaceID_LOAD,4C
88408,,,X,199,TW,13,177,,317.23424105977,N,240420,HOLLYWOOD AV,177,BlockfaceID_LOAD,2C
39757,,,,999,TW,13,901,,259.67499554482,N,314380,AV P,901,BlockfaceID_LOAD,1C
18840,,,X,,TF,13,,,252.76337944999,N,466290,VAN WYCK EXPY,,BlockfaceID_LOAD,3E
75465,,,,618,TW,13,542,,478.46076522301,N,275121,W 239 ST,542,V_Bogdan,3D
56154,,,,671,TW,13,661,,139.82584652087,N,228890,E 242 ST,661,BlockfaceID_LOAD,5C
46957,,,,2099,TF,13,2001,,830.27733435335,N,335680,E 19 ST,2001,BlockfaceID_LOAD,2C
64640,1.0,,,50047,TW,13,50041,,321.46841815638,N,206230,13 AV,50041,BlockfaceID_LOAD,2L
120352,,,,134-099,FT,13,131-001,,862.7452447359,N,422810,142 ST,131-001,BlockfaceID_LOAD,6C
90068,,,,,FT,13,,,24.02520381358,N,540700,NORWAY AV,,BlockfaceID_LOAD,1C
39702,,,X,1699,TW,13,1601,3.0,254.07696391463,N,313980,AV H,1601,BlockfaceID_LOAD,4E
15192,,,X,0,TW,13,0,,114.74716483034,N,518980,BLOOMINGDALE RD,0,BlockfaceID_LOAD,6C
19176,,,,1974,TF,13,1960,3.0,261.54206272454,N,110610,ADAM CLAYTON POWELL JR BOULEVARD,1960,BlockfaceID_LOAD,1A
45113,,,X,250,TW,13,238,,208.73547661154,N,552850,VANDERBILT AV,238,BlockfaceID_LOAD,1C
59226,,,,21,TW,13,1,,249.68770802949,N,548430,SOREN ST,1,BlockfaceID_LOAD,3C
88915,,,,57,TW,13,1,,642.47436036913,N,363430,N PORTLAND AV,1,BlockfaceID_LOAD,4C
41731,,,,0,TW,13,0,,255.21123425502,N,248020,MACE AV,0,BlockfaceID_LOAD,3E
67388,,,,,TW,13,,,59.9459172549,N,368730,OVINGTON AV,,BlockfaceID_LOAD,1C
12445,,,,,TF,13,,,202.10181830992,N,459990,QUEENS BLVD,,BlockfaceID_LOAD,3E
99437,,,,61-009,TW,13,61-001,,169.43926787146,N,454350,LUTHERAN AV,61-001,BlockfaceID_LOAD,5C
162925,,3.0,,0,TW,13,0,,1019.17499734082,N,512699,A ST,0,BlockfaceID_LOAD,4C
144969,,,,,NV,17,,,89.60808066204,N,197760,WILLIAMSBURG BR BIKE AND PED PTH,,BlockfaceID_LOAD,
57815,,,,179,FT,13,157,,266.08535310968,N,370130,PEARL ST,157,BlockfaceID_LOAD,1B
68856,,,X,321,TW,13,303,,275.58185439396,N,373110,RALPH AV,303,BlockfaceID_LOAD,5B
17042,,,,7-099,TF,13,7-001,,326.31835061421,N,466290,WHITESTONE EXPRESSWAY SR E,7-001,BlockfaceID_LOAD,6C
30334,,,,80-099,TW,13,80-001,,540.57581389831,N,427110,237 ST,80-001,BlockfaceID_LOAD,2D
81795,,,,55-099,TW,13,53-001,,586.39789411747,N,426490,213 ST,53-001,BlockfaceID_LOAD,6D
89971,,,,,FT,13,,,39.90176438382,N,461950,SHILOH AV,,BlockfaceID_LOAD,2C
81144,,,,26-099,TW,13,25-001,,283.06638872664,N,441790,DEERFIELD RD,25-001,BlockfaceID_LOAD,2D
173888,,,X,,TW,13,,,253.42367758918,N,551735,TRAVIS AV,,D_Solow,4D
31197,,,X,132-099,TF,13,130-001,,579.21237827186,N,423090,147 ST,130-001,BlockfaceID_LOAD,6C
25270,,,X,74-099,FT,13,73-001,,496.52756380443,N,424690,171 ST,73-001,BlockfaceID_LOAD,4E
22829,,,,449,TW,13,401,,260.32048163949,N,461890,SENECA AV,401,BlockfaceID_LOAD,3E
64504,,,,,TW,13,,,69.8364461498,N,248530,MAIN ST,,BlockfaceID_LOAD,2L
22577,,,X,114-019,TW,13,114-001,,224.45264649664,N,442940,DUNKIRK ST,114-001,BlockfaceID_LOAD,5E
70553,,,,1499,FT,13,1459,1.0,294.79126816949,N,368942,PAERDEGAT AV N,1459,BlockfaceID_LOAD,3C
172497,,,,,FT,13,,,67.96555027331,N,110570,FDR DRIVE EXIT 12 NB,,R_Taszym,1B
97980,,,,0,TW,13,0,,296.7512693588,N,545810,ROYAL OAK RD,0,BlockfaceID_LOAD,3E
39067,,,,1003,TW,13,983,,293.06881316,N,342730,FULTON ST,983,BlockfaceID_LOAD,3A
90400,,,,39,TW,13,25,,103.28467366075,N,570229,NORWOOD CT,25,BlockfaceID_LOAD,1E
61161,,,,239,TF,13,223,,135.05567757312,N,226760,E 170 ST,223,BlockfaceID_LOAD,3B
163110,,,,2899,FT,13,2801,,383.18761986828,N,335980,E 26 ST,2801,BlockfaceID_LOAD,4E
90276,,,,177,TW,13,101,,723.33703224053,N,533675,HULL AV,101,BlockfaceID_LOAD,2E
6709,,,,14-099,TW,13,14-001,,649.82519706595,N,426740,WATERS EDGE DR,14-001,BlockfaceID_LOAD,8D
166965,,,,137-099,TF,13,137-001,2.0,250.15848283302,N,460790,ROCKAWAY BEACH BLVD,137-001,D_Solow,1C
138904,,,,3141,TW,13,3101,,449.03959876629,N,375910,SEACOAST TER,3101,BlockfaceID_LOAD,2A
54036,,,X,419,TW,13,401,,181.24325231686,N,519700,BRADLEY AV,401,BlockfaceID_LOAD,3C
76252,,,X,57,TW,13,29,,191.22638889983,N,547535,SHARROTT AV,29,BlockfaceID_LOAD,7D
4852,,,X,110-099,TW,13,110-001,,253.15545689038,N,419590,103 AV,110-001,BlockfaceID_LOAD,1E
17325,,,X,80-009,TW,13,80-001,,112.88520197696,N,453790,LIBERTY AV,80-001,BlockfaceID_LOAD,1D
88445,,,,899,TW,13,801,,681.23359932658,N,219820,CLARENCE AV,801,BlockfaceID_LOAD,2D
26089,,,X,88-099,FT,13,88-001,,591.54329882845,N,426435,212 PL,88-001,BlockfaceID_LOAD,3D
29486,,,,20-023,TW,13,20-001,,302.26239371927,N,439595,COLLEGE PT BLVD,20-001,BlockfaceID_LOAD,5D
39978,,,,,FT,13,,,874.75888590178,N,239220,HENRY HUDSON PKWY,,BlockfaceID_LOAD,3C
66450,,,,543,TF,13,469,,704.79945377909,N,337030,E 51 ST,469,BlockfaceID_LOAD,3D
87917,,,,2499,TW,13,2401,,678.794754165,N,276970,WESTERVELT AV,2401,BlockfaceID_LOAD,3E
89799,,,,114,TF,13,70,,523.05479066833,N,120290,ELLWOOD ST,70,BlockfaceID_LOAD,3B
64474,,,,,TF,13,,,307.44940642422,N,229020,E KINGSBRIDGE RD,,BlockfaceID_LOAD,2A
44551,,,X,1089,TW,13,1067,2.0,259.95475886743,N,358330,MANHATTAN AV,1067,BlockfaceID_LOAD,1B
3722,,,X,430,FT,13,416,,257.52547534464,N,110210,3 AV,416,BlockfaceID_LOAD,2A
158343,,,X,,FT,17,,,29.3834977269,N,397280,VERRAZANO BRG APPROACH,,BlockfaceID_LOAD,
76685,,,,,NV,17,,,55.20171269504,N,298100,BRYANT AVE PEDESTRIAN OPAS,,BlockfaceID_LOAD,1B
84341,,,X,100-099,TF,13,97-001,,655.66693084958,N,419940,106 ST,97-001,BlockfaceID_LOAD,1E
80447,,,,39-099,FT,13,37-001,,875.95030492325,N,466890,WARREN ST,37-001,BlockfaceID_LOAD,3E
63311,,,,399,TF,13,351,,229.68712763209,N,227000,E 178 ST,351,BlockfaceID_LOAD,3B
33563,,,X,51-023,TW,13,51-001,,240.93162228028,N,415640,74 ST,51-001,BlockfaceID_LOAD,1E
41216,,,,,FT,9,,,115.58398083436,N,222240,CROSS BRONX EXWY,,BlockfaceID_LOAD,2L
63608,,,,85,TW,13,81,,124.04159641369,N,219520,CITY ISLAND AV,81,BlockfaceID_LOAD,1C
24579,,,X,31-099,FT,13,31-001,,1017.42801457621,N,407940,30 ST,31-001,BlockfaceID_LOAD,3E
59230,,,I,25,TW,13,1,,272.26214010589,N,551765,TREETZ PL,1,BlockfaceID_LOAD,4E
93559,,,,103-099,TW,13,102-001,,510.18446508528,N,418440,92 AV,102-001,BlockfaceID_LOAD,3D
27891,,,X,56-099,TW,13,56-001,3.0,260.40546437668,N,409140,39 AV,56-001,BlockfaceID_LOAD,2C
46612,,,X,3875,TF,13,3857,,97.27619872061,N,377030,SHORE PKWY,3857,BlockfaceID_LOAD,4E
17141,,,X,129-099,TW,13,118-053,,421.03764433951,N,421790,128 ST,118-053,BlockfaceID_LOAD,3C
1429,,,,861,TF,13,841,1.0,261.00633313472,N,110910,9 AV,841,BlockfaceID_LOAD,3A
66002,,,,263,TF,13,245,,264.1872439064,N,359640,MC GUINNESS BLVD,245,BlockfaceID_LOAD,1B
34149,,,,,TW,13,,,116.66645881652,N,405940,14 AV,,BlockfaceID_LOAD,
32113,,,,34-099,TW,13,33-001,,573.57578189056,N,422490,137 ST,33-001,BlockfaceID_LOAD,3E
34850,,,,145-099,TF,13,142-001,,596.84305765853,N,412240,59 AV,142-001,BlockfaceID_LOAD,2D
88311,,,X,165,TW,13,111,,834.914647892,N,515050,ALASKA ST,111,BlockfaceID_LOAD,3D
68596,,,,257,TW,13,247,,77.70302877017,N,373210,REMSEN AV,247,BlockfaceID_LOAD,1A
10289,,,,,FT,13,,,328.07907667713,N,465590,UNION TP,,BlockfaceID_LOAD,3E
8787,,,,24-033,FT,13,24-001,,233.73276489329,N,419290,100 ST,24-001,BlockfaceID_LOAD,1C
87540,,,X,,TF,13,,,112.5626733294,N,239220,HENRY HUDSON PKWY W,,BlockfaceID_LOAD,3D
