starea,stlength,wheelchairfootball,field_number,multipolygon,adult_softball,accessible,netball,regulation_soccer,ll_baseb_13andolder,pickleball,track_and_field,tennis,rugby,department,adult_football,councildistrict,surface_type
80649.64730834961,1046.2879795359231,False,02,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.02016237707576, 40.60621433676905], [-74.02013255158762, 40.606161128366374], [-74.02009441487957, 40.60611109754931], [-74.02004853906182, 40.60606499614546], [-74.01999561201194, 40.606023514726154], [-74.0199364291017, 40.60598727630483], [-74.01987187665154, 40.60595682373322], [-74.01980292483995, 40.605932614300244], [-74.01973060525214, 40.60591501073126], [-74.01965600615404, 40.60590427758713], [-74.0195802441348, 40.60590057586667], [-74.01950445583729, 40.6059039612071], [-74.01942978023612, 40.6059143829865], [-74.01935733619035, 40.60593168432787], [-74.01928821063045, 40.605955605702704], [-74.01922344083756, 40.605985788535754], [-74.01916399790446, 40.60602177971], [-74.01911077374153, 40.60606303967279], [-74.01906456808204, 40.606108948741095], [-74.01902607194388, 40.60615881971084], [-74.01899586526727, 40.60621190235925], [-74.01897439919625, 40.606267402358185], [-74.01896199607827, 40.60632448577615], [-74.01895884356021, 40.606382296189025], [-74.01896498750064, 40.606439967288026], [-74.01898033551599, 40.60649663368559], [-74.01900465816404, 40.606551444422955], [-74.01903759130934, 40.6066035773785], [-74.0198521226959, 40.6068084415384], [-74.01991706313986, 40.60678615229718], [-74.02016237707576, 40.60621433676905]]]]}",True,False,False,False,True,False,False,False,False,B-10,False,50,Natural
1578.038589477539,159.4586604274431,False,01,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.97869208193255, 40.57626521888901], [-73.97879349077893, 40.57635031558792], [-73.97889594690417, 40.576287643554565], [-73.97879051248533, 40.57619702328677], [-73.97869208193255, 40.57626521888901]]]]}",False,False,False,False,False,False,False,False,False,B-13,False,47,Concrete
1474.0232391357422,156.04871096805195,False,03,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98101588311773, 40.57842138772612], [-73.9809944870391, 40.57829666519763], [-73.98087899607438, 40.57830818354932], [-73.98090237129416, 40.578433286449425], [-73.98101588311773, 40.57842138772612]]]]}",False,False,False,False,False,False,False,False,False,B-13,False,47,Concrete
1376.690673828125,151.04315147062448,False,05,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90254192767286, 40.65670675611967], [-73.90238348904433, 40.656730076641445], [-73.90240463302861, 40.656812921471285], [-73.90256307184656, 40.65678960092057], [-73.90254192767286, 40.65670675611967]]]]}",False,False,False,False,False,False,False,False,False,B-16,False,42,Asphalt
2747.357406616211,225.54605144602849,False,09,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.01663131357364, 40.606165386777086], [-74.01652859566177, 40.60610523143356], [-74.01635623351707, 40.60627085843682], [-74.0164562869692, 40.6063304100649], [-74.01663131357364, 40.606165386777086]]]]}",False,False,False,False,False,False,False,True,False,B-10,False,50,Asphalt
1712.945083618164,167.96746383776872,False,02,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9225455382372, 40.74131868887082], [-73.92237044027272, 40.74129827444256], [-73.9223518590569, 40.74139300430302], [-73.92252695844546, 40.74141342146157], [-73.9225455382372, 40.74131868887082]]]]}",False,False,False,False,False,False,False,False,False,Q-02,False,26,Asphalt
1413.3158264160156,151.91328764913433,False,01,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.85953438619474, 40.82238020325075], [-73.85956206211716, 40.822496785592044], [-73.85967875757709, 40.82248259174405], [-73.85965015047731, 40.82236509609382], [-73.85953438619474, 40.82238020325075]]]]}",False,False,False,False,False,False,False,False,False,X-09,False,18,Asphalt
1221.3643035888672,143.18962150229356,False,04,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9406351027081, 40.59794050446321], [-73.94053506346259, 40.597951045589895], [-73.94055653647756, 40.59806945381547], [-73.94065657589785, 40.598058911769705], [-73.9406351027081, 40.59794050446321]]]]}",False,False,False,False,False,False,False,False,False,B-15,False,48,Asphalt
1147.1400299072266,139.68530204773657,False,05,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90413485218177, 40.67841487534309], [-73.90414000517022, 40.678534627425904], [-73.90423514042966, 40.67853153683378], [-73.90423008483882, 40.678413031149226], [-73.90413485218177, 40.67841487534309]]]]}",False,False,False,False,False,False,False,False,False,B-16,False,37,Asphalt
925.464614868164,123.01790958773222,False,01,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96060622785878, 40.69440601475518], [-73.9606218441836, 40.6944775289216], [-73.96074704564279, 40.69446099955487], [-73.96073183920412, 40.69439037705292], [-73.96060622785878, 40.69440601475518]]]]}",False,False,False,False,False,False,False,False,False,B-03,False,35,Asphalt
1314.7945861816406,145.0740332441439,False,04,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8909757166453, 40.70602531432026], [-73.89110200168321, 40.70604158904854], [-73.89112562645157, 40.70594179683597], [-73.89099939079931, 40.70592510254134], [-73.8909757166453, 40.70602531432026]]]]}",False,False,False,False,False,False,False,False,False,Q-05,False,30,Asphalt
1582.5622100830078,159.79115064853968,False,02,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.89455332365246, 40.64211146230623], [-73.89443346665405, 40.64218877445836], [-73.8945185523197, 40.64226448081873], [-73.89463840935409, 40.64218716947905], [-73.89455332365246, 40.64211146230623]]]]}",False,False,False,False,False,False,False,False,False,B-18,False,42,Asphalt
1607.085433959961,167.6923940488058,False,03,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.81723893607851, 40.72942654700481], [-73.81728186966672, 40.72957100569804], [-73.8173871944436, 40.72955288791355], [-73.81734199737383, 40.72940754767136], [-73.81723893607851, 40.72942654700481]]]]}",False,False,False,False,False,False,False,False,False,Q-08,False,24,Asphalt
1188.7025909423828,141.76046812168002,False,02,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8205896417118, 40.66548880956419], [-73.82055359917113, 40.66555834806386], [-73.82069993281009, 40.66560232429097], [-73.82073597521949, 40.665532786646324], [-73.8205896417118, 40.66548880956419]]]]}",False,False,False,False,False,False,False,False,False,Q-10,False,28,Asphalt
1209.4547729492188,140.44672268889445,False,04,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94398730218832, 40.78344521728168], [-73.94388923169079, 40.7834042777924], [-73.94382193726202, 40.783501118276575], [-73.94391555363043, 40.78354035730875], [-73.94398730218832, 40.78344521728168]]]]}",False,False,False,False,False,False,False,False,False,M-11,False,8,Asphalt
1025.9679870605469,128.7923763364725,False,01,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.85877613873264, 40.862262083600704], [-73.85888004310635, 40.86226414498524], [-73.85888313660966, 40.862166817407484], [-73.85877796923306, 40.862164734668845], [-73.85877613873264, 40.862262083600704]]]]}",False,False,False,False,False,False,False,False,False,X-11,False,13,Asphalt
1696.5946807861328,171.97480231118075,False,07,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.81437112368806, 40.735756929931064], [-73.81426156922583, 40.73575288919734], [-73.81425496177616, 40.73590505298891], [-73.81436661188883, 40.73590825332891], [-73.81437112368806, 40.735756929931064]]]]}",False,False,False,False,False,False,False,False,False,Q-08,False,24,Asphalt
1580.619888305664,159.87834169939563,False,02,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94587637052248, 40.68581075250635], [-73.94571928281492, 40.685830343935834], [-73.94573841916652, 40.685926884445045], [-73.9458953224005, 40.68590893904215], [-73.94587637052248, 40.68581075250635]]]]}",False,False,False,False,False,False,False,False,False,B-03,False,36,Asphalt
