dbn,location_name,_19_expulsions,_5_expulsions,_15_removals,_6_removals,_10_principal,_21_principal,_8_superintendent,_12_expulsions,_15_superintendent,_21_expulsions,sy1617_total_removals_suspensions,_22_superintendent,_10_expulsions,_17_superintendent,_18_principal,_19_superintendent,_16_expulsions,_9_superintendent,_17_expulsions,_18_removals,_5_superintendent,_21_removals,_12_superintendent
13K003,P.S. 003 The Bedford Village,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X668,Dewitt Clinton Campus YABC,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
01M019,P.S. 019 Asher Levy,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
17K122,Pathways in Technology Early College High School (,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R,R
15K118,The Maurice Sendak Community School,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
11X545,Bronx Aerospace High School,R,R,R,R,R,R,R,R,R,R,130,R,R,R,10,R,R,R,R,R,R,R,R
02M422,Quest to Learn,R,R,R,R,R,R,R,R,R,R,90,R,R,R,R,R,R,R,R,R,R,R,12
10X434,Belmont Preparatory High School,R,R,R,R,R,R,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R,R,R
11X275,High School of Computers and Technology,R,R,14,R,R,R,R,R,R,R,86,R,R,R,6,R,R,R,R,R,R,R,R
13K902,Westinghouse Evening Hs T/R,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
03M180,P.S. 180 Hugo Newman,R,R,R,R,R,R,R,R,R,R,21,R,R,R,R,R,R,R,R,R,R,R,R
07X005,P.S. 5 Port Morris,R,R,R,R,R,R,R,R,R,R,19,R,R,R,R,R,R,R,R,R,R,R,R
12X316,Kappa III,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R,R
19K328,P.S. 328 Phyllis Wheatley,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
05M200,P.S. 200- The James Mccune Smith School,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R
12X271,East Bronx Academy for the Future,R,R,31,R,R,R,R,R,R,R,306,R,R,R,R,R,R,R,R,8,R,R,R
19K659,Cypress Hills Collegiate Preparatory School,R,R,R,R,R,R,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R,R,R
10X396,P.S. 396,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
08X302,M.S. 302 Luisa Dessus Cruz,R,R,R,R,R,R,R,R,R,R,36,R,R,R,R,R,R,R,R,R,R,R,R
14K250,P.S. 250 George H. Lindsay,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
06M004,P.S. 004 Duke Ellington,R,R,R,R,R,R,R,R,R,R,25,R,R,R,R,R,R,R,R,R,R,R,R
02M260,M.S. 260 Clinton School Writers & Artists,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X101,M.S. X101 Edward R. Byrne,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
04M377,Renaissance School of the Arts,R,R,R,R,R,R,R,R,R,R,20,R,R,R,R,R,R,R,R,R,R,R,R
10X051,P.S. 051 Bronx New School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X254,I.S. 254,R,R,R,R,R,R,R,R,R,R,55,R,R,R,R,R,R,R,R,R,R,R,7
08X371,Urban Institute of Mathematics,R,R,R,R,R,R,R,R,R,R,21,R,R,R,R,R,R,R,R,R,R,R,R
13K046,P.S. 046 Edward C. Blum,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12X691,Bronx Little School,R,R,R,R,R,R,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R,R,R
04M825,Isaac Newton Middle School for Math & Science,R,R,R,R,R,R,R,R,R,R,29,R,R,R,R,R,R,R,R,R,R,R,R
09X132,P.S. 132 Garret A. Morgan,R,R,R,R,R,R,R,R,R,R,18,R,R,R,R,R,R,R,R,R,R,R,R
12X388,Pan American International High School at Monroe,R,R,R,R,R,R,R,R,R,R,26,R,R,R,R,R,R,R,R,R,R,R,R
06M005,P.S. 005 Ellen Lurie,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R,R,R
09X404,School for Excellence,R,R,R,R,R,R,R,R,R,R,56,R,R,R,R,R,R,R,R,R,R,R,R
05M123,P.S. 123 Mahalia Jackson,R,R,R,R,R,R,R,R,R,R,37,R,R,R,R,R,R,R,R,R,R,R,R
15K676,Red Hook Neighborhood School,R,R,R,R,R,R,R,R,R,R,18,R,R,R,R,R,R,R,R,R,R,R,R
09X011,P.S. 011 Highbridge,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
06M098,P.S. 098 Shorac Kappock,R,R,R,R,R,R,R,R,R,R,28,R,R,R,R,R,R,R,R,R,R,R,R
10X439,Bronx High School for Law and Community Service,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,R,R,R,R,R,R,R
16K057,J.H.S. 057 Whitelaw Reid,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R,R,R
15K088,J.H.S. 088 Peter Rouget,R,R,R,R,R,R,R,R,R,R,28,R,R,R,R,R,R,R,R,R,R,R,R
02M416,Eleanor Roosevelt High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
18K115,P.S. 115 Daniel Mucatel School,R,R,R,R,R,R,R,R,R,R,28,R,R,R,R,R,R,R,R,R,R,R,R
09X449,Grant Avenue Elementary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X056,P.S. 056 Norwood Heights,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X072,P.S. 072 Dr. William Dorney,R,R,R,R,R,R,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R,R,R
02M575,Manhattan Comprehensive Night and Day High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
14K110,P.S. 110 The Monitor,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
14K488,Brooklyn Preparatory High School,R,R,R,R,R,R,R,R,R,R,61,R,R,R,R,R,R,R,R,R,R,R,R
07X259,"H.E.R.O. High (Health, Education, and Research Occ",R,R,R,R,R,R,R,R,7,R,87,R,R,6,R,R,R,R,R,R,R,R,R
05M129,P.S. 129 John H. Finley,R,R,R,R,R,R,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R,R,R
15K131,P.S. 131 Brooklyn,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
06M324,M.S. 324 - Patria Mirabal,R,R,R,R,R,R,R,R,R,R,52,R,R,R,R,R,R,R,R,R,R,R,6
03M862,Mott Hall II,R,R,R,R,R,R,R,R,R,R,24,R,R,R,R,R,R,R,R,R,R,R,R
04M495,Park East High School,R,R,R,R,R,R,R,R,R,R,23,R,R,R,R,R,R,R,R,R,R,R,R
02M077,P.S. 77 Lower Lab School,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R
09X276,Leadership Institute,R,R,R,R,R,R,R,R,R,R,23,R,R,R,R,R,R,R,R,R,R,R,R
17K705,Brooklyn Arts and Science Elementary School,R,R,R,R,R,R,R,R,R,R,61,R,R,R,R,R,R,R,R,R,R,R,R
02M051,P.S. 051 Elias Howe,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
15K032,P.S. 032 Samuel Mills Sprole,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R
13K305,P.S. 305 Dr. Peter Ray,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X016,P.S. 016 Wakefield,R,R,R,R,R,R,R,R,R,R,35,R,R,R,R,R,R,R,R,R,R,R,R
17K394,M.S. K394,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R,R,R
09X058,P.S. 058,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X053,P.S. 053 Basheer Quisim,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
15K684,Millennium Brooklyn HS,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R
11X096,P.S. 096 Richard Rodgers,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
05M154,P.S. 154 Harriet Tubman,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
12X383,Emolior Academy,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R,R
12X092,P.S. 092 Bronx,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R
18K578,Brooklyn Bridge Academy,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
17K568,Brownsville Academy High School,R,R,R,R,R,R,R,R,R,R,23,R,R,R,7,R,R,R,R,R,R,R,R
12X511,Bronx Envision Academy,R,R,R,R,R,R,R,R,R,R,64,R,R,R,R,R,R,R,R,R,R,R,R
09X443,The Family School,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,R,R,R,R,R,R,R
01M650,Cascades High School,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R,R,R
14K685,El Puente Academy for Peace and Justice,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,R,R,R,R,R,R,R
08X069,P.S. 069 Journey Prep School,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
17K532,New Bridges Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
18K598,Middle School of Marketing and Legal Studies,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
20K170,Ralph A. Fabrizio School,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R,R,R
10X368,In-Tech Academy (M.S. / High School 368),R,R,6,R,R,R,R,R,R,R,63,R,R,R,R,R,R,R,R,R,R,R,R
04M012,Tag Young Scholars,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X109,P.S. 109 Sedgwick,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R,R,R
06M189,P.S. 189,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R,R,R
02M449,Vanguard High School,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,R,R,R,R,R,R,R
02M006,P.S. 006 Lillie D. Blake,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,R,R,R,R,R,R,R
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,R,R,R,R,R,R,R,R,R,R,17,R,R,R,R,R,R,R,R,R,R,R,R
09X324,Bronx Early College Academy for Teaching & Learnin,R,R,R,R,R,R,R,R,R,R,112,R,R,6,R,R,R,R,R,R,R,R,R
10X524,Crotona International High School,R,R,R,R,R,R,R,R,R,R,34,R,R,R,8,R,R,R,R,R,R,R,R
11X112,P.S. 112 Bronxwood,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
16K005,P.S. 005 Dr. Ronald Mcnair,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,R,R,R,R,R,R,R
04M171,P.S. 171 Patrick Henry,R,R,R,R,7,R,R,R,R,R,44,R,R,R,R,R,R,R,R,R,R,R,R
07X600,Alfred E. Smith Career and Technical Education Hig,R,R,R,R,R,R,R,R,8,R,78,R,R,R,R,R,R,R,R,R,R,R,R
02M267,"East Side Elementary School, PS 267",R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
12X067,P.S. 067 Mohegan School,R,R,R,R,R,R,R,R,R,R,37,R,R,R,R,R,R,R,R,R,R,R,R
17K353,Elijah Stroud Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
17K161,P.S. 161 The Crown,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X331,The Bronx School of Young Leaders,R,R,R,R,R,R,R,R,R,R,39,R,R,R,R,R,R,R,R,R,R,R,R
07X157,P.S. 157 Grove Hill,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X008,P.S. 008 Isaac Varian,R,R,R,R,R,R,R,R,R,R,21,R,R,R,R,R,R,R,R,R,R,R,R
10X903,T. Roosevelt Evening Hs M/W,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
10X280,P.S./M.S. 280 Mosholu Parkway,R,R,R,R,R,R,R,R,R,R,19,R,R,R,R,R,R,R,R,R,R,R,R
12X480,Bronx Regional High School,R,R,R,R,R,R,R,R,R,R,42,R,R,R,17,R,R,R,R,R,R,R,R
12X251,Explorations Academy,R,R,R,R,R,R,R,R,R,R,56,R,R,R,6,R,R,R,R,R,R,R,R
09X042,P.S. 042 Claremont,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
06M218,I.S. 218 Salome Urena,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X015,P.S. X015 Institute for Environmental Learning,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
10X904,T. Roosevelt Evening Hs T/R,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
11X087,P.S. 087 Bronx,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R
04M083,P.S. 083 Luis Munoz Rivera,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X339,I.S. 339,R,R,R,R,R,R,R,R,R,R,22,R,R,R,R,R,R,R,R,R,R,R,6
06M346,Community Health Academy of the Heights,R,R,R,R,R,R,R,R,R,R,67,R,R,R,R,R,R,R,R,R,R,R,R
17K770,P.S. 770 New American Academy,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R
15K423,Brooklyn Frontiers High School,R,R,R,R,R,R,R,R,R,R,44,R,R,R,R,R,R,R,R,R,R,R,R
11X901,Evander Childs Evening H.S.,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
03M199,P.S. 199 Jessie Isador Straus,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
11X355,Bronx Alliance Middle School,R,R,R,R,R,R,R,R,R,R,39,R,R,R,R,R,R,R,R,R,R,R,R
15K094,P.S. 094 The Henry Longfellow,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,R,R,R,R,R,R,R
15K516,Sunset Park Avenues Elementary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
14K318,I.S. 318 Eugenio Maria De Hostos,R,R,R,R,R,R,R,R,R,R,180,R,R,R,R,R,R,R,R,R,R,R,10
13K553,Brooklyn Academy High School,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R
08X107,P.S. 107,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
02M544,Independence High School,R,R,R,R,R,R,R,R,R,R,15,R,R,R,6,R,R,R,R,R,R,R,R
19K159,P.S. 159 Isaac Pitkin,R,R,R,15,11,R,R,R,R,R,73,R,R,R,R,R,R,R,R,R,R,R,R
09X543,High School for Violin and Dance,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12X531,Archer Elementary School,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R,R,R
02M288,Food and Finance High School,R,R,R,R,R,R,R,R,R,R,19,R,R,R,R,R,R,R,R,R,R,R,R
12X682,Fannie Lou Hamer Freedom High School,R,R,R,R,R,R,R,R,R,R,124,R,R,R,11,R,R,R,R,R,R,R,R
03M009,P.S. 009 Sarah Anderson,R,R,R,R,R,R,R,R,R,R,21,R,R,R,R,R,R,R,R,R,R,R,R
14K319,P.S. 319,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
04M072,The Lexington Academy,R,R,R,R,R,R,R,R,R,R,59,R,R,R,R,R,R,R,R,R,R,R,R
20K127,P.S. 127 Mckinley Park,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
07X334,International Community High School,R,R,R,R,R,R,R,R,R,R,27,R,R,R,R,R,R,R,R,R,R,R,R
11X534,District 11 Pre-K Center,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
14K034,P.S. 034 Oliver H. Perry,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X270,Academy for Scholarship and Entrepreneurship: A Co,R,R,R,R,R,R,R,R,R,R,63,R,R,R,R,R,R,R,R,R,R,R,R
20K102,P.S. 102 The Bayview,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X433,High School for Teaching and the Professions,R,R,R,R,R,R,R,R,R,R,31,R,R,R,R,R,R,R,R,R,R,R,R
14K017,P.S. 017 Henry D. Woodworth,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
03M492,"High School for Law, Advocacy and Community Justic",R,R,R,R,R,R,R,R,R,R,29,R,R,R,R,R,R,R,R,R,R,R,R
18K233,P.S. 233 Langston Hughes,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R,R
12X006,P.S. 006 West Farms,R,R,R,R,R,R,R,R,R,R,33,R,R,R,R,R,R,R,R,R,R,R,R
01M292,Orchard Collegiate Academy,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R,R,R
17K221,P.S. 221 Toussaint L'Ouverture,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
16K681,Madiba Prep Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
13K657,Downtown Brooklyn Yabc,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M234,P.S. 234 Independence School,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R,R,R
04M435,Manhattan Center for Science and Mathematics,R,R,R,R,R,R,R,R,R,R,30,R,R,R,R,R,R,R,R,R,R,R,R
19K409,East New York Family Academy,R,R,R,R,R,R,R,R,R,R,141,R,R,R,R,R,R,R,R,R,R,R,R
02M902,Washington Irving Evng Hs T/R @NTHS,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
02M519,Talent Unlimited High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X145,J.H.S. 145 Arturo Toscanini,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
03M165,P.S. 165 Robert E. Simon,R,R,6,R,R,R,R,R,R,R,63,R,R,R,R,R,R,R,R,R,R,R,R
05M030,P.S. 030 Hernandez/Hughes,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,R,R,R,R,R,R,R
06M048,P.S. 048 P.O. Michael J. Buczek,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,R,R,R,R,R,R,R
03M242,P.S. 242 - The Young Diplomats Magnet Academy,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,R,R,R,R,R,R,R
13K527,Urban Assembly Institute of Math and Science for Y,R,R,R,R,R,R,R,R,6,R,45,R,R,R,R,R,R,R,R,R,R,R,R
11X498,P.S./M.S. 11X498 - VAN NEST ACADEMY,R,R,R,R,R,R,R,R,R,R,61,R,R,R,R,R,R,R,R,R,R,R,R
16K628,Brooklyn Brownstone School,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
08X332,Holcombe L. Rucker School of Community Research,R,R,R,R,R,R,R,R,R,R,18,R,R,R,R,R,R,R,R,R,R,R,R
09X219,I.S. 219 New Venture School,R,R,R,R,R,R,R,R,R,R,19,R,R,R,R,R,R,R,R,R,R,R,R
02M300,"Urban Assembly School of Design and Construction,",R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R,R
09X361,The Highbridge Green School,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R,R,R
02M437,Hudson High School of Learning Technologies,R,R,R,R,R,R,R,R,R,R,80,R,R,R,R,R,R,R,R,R,R,R,R
10X353,World View High School,R,R,R,R,R,R,R,R,R,R,30,R,R,R,R,R,R,R,R,R,R,R,R
08X377,Bronx Community High School,R,R,R,R,R,R,R,R,R,R,37,R,R,R,R,R,R,R,R,R,R,R,R
