school_name,q2_how_much_do_you_agree_disagree_g_there_is_an_adult_at_the_whom_my_child_trus,q2e_number_strongly_agree,teacher_safety_and_respect_score,parent_engagement_score,q7_my_child_participates_in_the_following_before_or_after_school,student_safety_and_respect_score,q8_how_much_do_you_agree_disagree_my_child_s_offers_a_wide_enough_variety_of_co,enrollment,q1_number_2nd_grade,change_in_parent_engagement_score_2007_2008,q2_how_much_do_you_agree_disagree_d_the_keeps_me_inf_med_about_my_child_s_acade,q1_number_12th_grade,q2a_number_strongly_disagree,horizion_engagement_score,q1_number_5th_grade,horizion_safety_and_respect_score,q11_how_often_do_you_think_a_students_threaten_bully_other_students,teacher_horizon_safety_and_respect_score,teacher_horizon_academic_expectations_score,q2a_number_strongly_agree,teacher_respondents,student_horizon_engagement_score,q2b_number_strongly_agree,student_respondents,q5_how_much_do_you_agree_disagree_c_my_child_s_teacher_s_give_helpful_comments,communication_score,q2e_number_disagree,teacher_response_rate,q2b_number_disagree,change_in_student_academic_expectations_score_2007_2008,q13_how_satisfied_are_you_with_d_your_opp_tunities_to_be_involved_in_your_child,q2c_number_strongly_disagree,q1_number_11th_grade,q2d_number_disagree,q13_how_satisfied_are_you_with_e_the_education_your_child_has_received_this_yea,change_in_parent_academic_expectations_score_2007_2008,change_in_student_communication_score_2007_2008,total_students,q2d_number_strongly_disagree,parent_horizon_engagement_score,q11_how_often_do_you_think_e_students_use_alcohol_illegal_drugs_during_school,q10_how_much_do_you_agree_disagree_answer_this_question_only_if_your_child_s_ha,horizion_academic_expectations_score
Young Women's Leadership School,7.8,113,8.6,7.4,4.8,7.7,7.6,406,0,1.1,8.6,17,1,106.9,0,103.3,7.6,97.6,95.3,116,28.0,104.5,102,336,8.1,7.3,6,0.97,20,0.4,7.6,2,20,7,8.3,0.3,0.5,401,1,87.1,9.7,8.4,103.8
P.S. 155 William Paca,7.9,82,7.6,7.8,4.4,.,8.1,388,21,1.2,8.5,0,3,75.0,17,69.0,7.9,59.5,67.5,101,25.0,.,94,.,8.7,7.8,5,0.6,9,.,8.6,1,0,4,8.8,1.7,.,.,2,86.4,10.0,8.7,80.8
Brooklyn Generation School,7.6,6,6.9,6.3,1.8,6.4,7.1,73,0,.,8.2,0,1,55.2,0,63.3,5.7,56.1,41.9,5,5.0,50,6,61,8.0,6.5,1,0.71,1,.,7.8,0,0,0,7.9,.,.,75,1,51.6,10.0,8.1,53.8
P.S. 083 Luis Munoz Rivera,8.1,127,7.7,7.5,4.3,.,7.5,426,37,0.2,8.6,0,1,59.4,32,69.0,7.7,61.9,65.0,166,31.0,.,145,.,8.8,7.9,3,0.91,4,.,8.4,1,0,5,8.6,0.7,.,.,1,72.7,9.9,8.6,76.9
"Urban Assembly School of Business for Young Women, the",6.8,21,6.5,6.2,3.1,6.4,5.6,292,0,0.4,7.2,0,2,58.6,0,50.0,6.0,46.3,44.2,21,6.0,45.5,15,227,6.8,6.1,3,0.38,4,-0.2,7.3,1,16,7,7.3,-0.1,-0.2,290,3,48.4,9.0,6.8,50.0
P.S. 006 West Farms,7.5,74,6.5,6.5,3.4,.,6.2,764,30,0,7.7,1,5,37.5,37,37.9,6.0,33.3,32.5,92,30.0,.,77,.,8.3,6.8,16,0.42,11,.,7.7,5,0,16,8.2,0.5,.,.,3,27.3,9.9,7.8,38.5
I.S. 190,7.4,46,8.0,7.0,4.1,6.8,7.1,238,0,0,7.8,0,0,75.9,0,75.8,7.3,77.1,63.8,51,16.0,78.3,40,218,7.7,6.4,5,0.73,10,0.6,7.5,1,0,9,7.9,0.7,0.4,233,0,70.0,10.0,7.9,70.4
"Young Women's Leadership School, Bronx Campus",7.5,61,6.2,6.9,3.6,6.1,6.0,295,0,0.4,8.4,0,4,65.5,0,53.3,7.2,39.0,46.5,54,19.0,54.5,45,279,7.8,6.4,4,0.9,16,-0.2,7.7,2,0,5,7.5,0.3,-0.1,293,2,71.0,9.9,6.9,53.8
P.S. 099 Isaac Asimov,7.4,146,7.8,6.9,3.5,6.3,7.1,770,47,1,7.7,0,3,84.6,40,62.5,6.5,75.6,92.3,171,45.0,54.5,135,263,8.1,7.2,8,0.7,16,1,7.5,7,0,15,8.0,1,1.3,295,6,54.2,9.9,7.6,79.2
P.S. 139 Alexine A. Fenty,7.1,78,6.8,7.7,4.9,.,7.8,1134,32,0.6,7.7,0,3,53.1,26,41.4,6.2,40.5,30.0,97,33.0,.,78,.,7.8,6.4,5,0.41,18,.,7.8,4,0,14,7.7,0.1,.,.,1,81.8,10.0,7.4,30.8
