school_name,q2_how_much_do_you_agree_disagree_g_there_is_an_adult_at_the_whom_my_child_trus,q2e_number_strongly_agree,teacher_safety_and_respect_score,parent_engagement_score,q7_my_child_participates_in_the_following_before_or_after_school,student_safety_and_respect_score,q8_how_much_do_you_agree_disagree_my_child_s_offers_a_wide_enough_variety_of_co,enrollment,q1_number_2nd_grade,change_in_parent_engagement_score_2007_2008,q2_how_much_do_you_agree_disagree_d_the_keeps_me_inf_med_about_my_child_s_acade,q1_number_12th_grade,q2a_number_strongly_disagree,horizion_engagement_score,q1_number_5th_grade,horizion_safety_and_respect_score,q11_how_often_do_you_think_a_students_threaten_bully_other_students,teacher_horizon_safety_and_respect_score,teacher_horizon_academic_expectations_score,q2a_number_strongly_agree,teacher_respondents,student_horizon_engagement_score,q2b_number_strongly_agree,student_respondents,q5_how_much_do_you_agree_disagree_c_my_child_s_teacher_s_give_helpful_comments,communication_score,q2e_number_disagree,teacher_response_rate,q2b_number_disagree,change_in_student_academic_expectations_score_2007_2008,q13_how_satisfied_are_you_with_d_your_opp_tunities_to_be_involved_in_your_child,q2c_number_strongly_disagree,q1_number_11th_grade,q2d_number_disagree,q13_how_satisfied_are_you_with_e_the_education_your_child_has_received_this_yea,change_in_parent_academic_expectations_score_2007_2008,change_in_student_communication_score_2007_2008,total_students,q2d_number_strongly_disagree,parent_horizon_engagement_score,q11_how_often_do_you_think_e_students_use_alcohol_illegal_drugs_during_school,q10_how_much_do_you_agree_disagree_answer_this_question_only_if_your_child_s_ha,horizion_academic_expectations_score
P.S. 051 Elias Howe,8.1,105,9.4,8.0,6.0,.,7.8,334,33,0.9,8.1,0,1,96.9,34,96.6,7.9,102.4,95.0,128,18.0,.,118,.,8.4,8.0,2,0.75,7,.,8.2,1,0,12,8.3,0.4,.,.,2,95.5,10.0,8.1,92.3
J.H.S. 151 Lou Gehrig,7.8,48,7.5,7.5,5.9,6.1,7.4,282,0,1.9,8.3,0,2,72.4,0,66.7,6.8,66.7,70.2,40,18.0,47.8,37,219,8.0,6.8,1,0.55,5,-0.1,8.2,1,1,0,8.2,1.8,0,284,1,86.7,9.7,8.0,70.4
P.S. 043 Jonas Bronck,8.0,155,7.2,7.7,5.6,.,7.7,491,38,0.7,8.3,0,7,68.8,44,58.6,6.7,50.0,57.5,150,32.0,.,137,.,8.3,7.4,8,0.71,6,.,8.3,7,0,5,8.5,1.3,.,.,3,81.8,9.9,8.2,65.4
P.S. 011 Highbridge,7.0,69,6.0,6.8,4.8,.,6.4,709,34,-0.2,7.6,0,9,9.4,1,27.6,6.0,21.4,0.0,63,44.0,.,61,.,8.2,5.2,10,0.77,14,.,7.6,13,0,7,7.6,-0.3,.,.,8,40.9,10.0,7.2,3.8
P.S. 058 The Carroll,8.6,109,8.9,8.4,4.9,.,8.6,547,32,1,8.6,0,2,106.3,37,89.7,7.3,90.5,90.0,220,28.0,.,177,.,8.5,8.1,6,0.64,2,.,8.9,1,0,9,8.8,0.9,.,.,1,113.6,10.0,8.9,96.2
P.S. 238 Anne Sullivan,7.5,83,7.4,7.1,4.1,5.9,7.2,536,17,1.1,7.6,0,0,65.4,17,56.2,7.1,66.7,66.7,78,34.0,40.9,74,159,8.1,6.5,4,0.63,9,0.6,7.6,2,0,8,7.8,1,0.3,193,4,62.5,9.3,7.9,62.5
Gregorio Luperon High School for Science and Mathematics,8.7,162,8.5,8.0,5.8,8.2,8.8,419,1,1,8.7,47,2,96.6,0,110.0,9.0,95.1,76.7,160,12.0,113.6,148,343,8.6,7.0,0,0.43,1,0.4,8.3,1,70,5,8.6,0.1,0.1,389,1,106.5,9.9,8.6,96.2
Bronx Early College Academy for Teaching & Learning,6.3,6,6.0,5.0,3.3,5.6,3.6,154,0,-2.1,5.9,0,4,-10.3,0,33.3,5.5,35.4,-17.0,4,2.0,-17.4,4,139,5.8,4.5,3,0.17,11,-1.4,5.8,4,0,5,4.9,-3,-1.5,153,6,3.3,10.0,6.0,-18.5
Grace Dodge Career and Technical Education High School,6.4,35,5.9,5.9,2.8,5.5,6.4,1445,0,0.7,7.0,18,4,34.5,1,23.3,5.4,31.7,41.9,24,62.0,9.1,19,976,6.6,5.7,8,0.57,13,-0.2,6.9,5,18,15,7.0,0.3,0.3,1397,3,38.7,8.4,7.4,26.9
Fordham Leadership Academy for Business and Technology,8.7,148,5.9,8.0,5.3,5.7,9.0,538,0,2.2,8.7,28,0,51.7,0,53.3,9.0,31.7,41.9,146,12.0,27.3,144,284,9.0,6.5,5,0.26,10,0,8.9,1,31,10,8.9,2.5,0.6,516,2,106.5,9.8,9.0,65.4
Pelham Preparatory Academy,7.0,43,7.1,6.1,3.2,6,6.2,460,0,1,7.5,27,3,55.2,0,53.3,6.1,61.0,55.8,44,25.0,50,37,397,7.0,6.3,4,0.93,8,0.3,6.9,3,28,11,7.1,0.1,0.3,440,2,45.2,8.7,7.1,57.7
P.S. 011 Purvis J. Behan,8.1,79,7.1,7.8,5.0,.,7.6,500,31,0.9,7.9,0,1,46.9,28,51.7,6.2,47.6,42.5,117,28.0,.,95,.,8.1,6.7,8,0.67,13,.,8.3,6,0,12,8.3,1.3,.,.,1,86.4,9.9,7.9,50.0
Satellite Academy High School,8.8,53,8.2,6.9,3.5,8,8.0,959,0,1,8.9,28,0,74.1,0,79.2,9.0,72.7,68.8,64,31.0,52,57,355,8.8,7.4,1,0.54,0,-0.2,8.1,0,39,2,8.9,1.1,-0.3,868,0,56.7,10.0,8.5,76.0
M.S. M246 Crossroads School,5.1,16,6.2,4.8,3.8,5.7,3.5,220,0,0,6.5,0,4,17.2,0,27.3,4.2,39.6,27.7,5,4.0,13,3,148,5.3,5.5,0,0.31,4,0,5.5,5,0,6,5.1,0,-0.2,213,3,-3.3,9.4,6.5,7.4
J.H.S. 022 Jordan L. Mott,7.5,136,6.1,7.0,4.9,6,7.6,670,0,0,7.7,0,4,51.7,61,45.5,5.8,37.5,36.2,120,39.0,30.4,110,447,7.4,6.1,16,0.7,28,-0.6,7.4,3,0,18,7.5,-0.1,-0.8,531,7,70.0,9.3,7.7,44.4
Evander Childs High School,7.3,2,5.0,7.5,5.0,.,8.5,147,0,1.8,8.7,4,0,-31.0,0,20.0,8.9,9.8,-86.0,2,2.0,.,2,.,8.5,3.8,0,0.13,0,.,8.0,0,0,0,8.7,1.4,.,89,0,90.3,7.5,7.8,-42.3
Columbia Secondary School,8.3,16,8.8,8.2,5.3,7.5,9.1,94,0,.,8.3,0,1,113.8,0,93.9,7.7,93.8,91.5,34,6.0,104.3,29,87,7.9,7.7,3,1.0,0,.,8.2,1,0,1,8.8,.,.,94,1,110.0,9.8,7.8,107.4
P.S. 158 Warwick,8.0,141,7.1,7.8,4.9,.,7.7,575,49,0.5,8.3,0,0,68.8,33,55.2,6.8,47.6,52.5,162,46.0,.,147,.,8.7,7.4,9,0.82,7,.,8.3,0,0,11,8.4,1,.,.,5,86.4,10.0,8.1,65.4
Urban Assembly School for Criminal Justice,8.4,22,8.5,7.6,4.7,6.9,8.6,73,0,.,8.8,0,0,79.3,0,90.9,7.8,87.5,80.9,28,5.0,78.3,23,70,8.9,7.4,2,0.71,1,.,8.6,0,0,2,8.8,.,.,77,0,90.0,10.0,9.0,92.6
P.S. 329 Surfside,8.0,184,7.4,7.6,4.5,.,7.8,651,51,0.6,8.1,2,0,65.6,52,62.1,7.4,54.8,62.5,206,36.0,.,183,.,8.5,7.6,7,0.57,14,.,8.4,2,0,9,8.5,1.3,.,.,2,77.3,9.9,8.5,73.1
P.S. 230 Dr Roland N. Patterson,6.8,32,6.6,7.0,5.5,.,6.5,506,19,0.3,7.5,0,4,53.1,0,31.0,4.6,35.7,50.0,42,27.0,.,32,.,8.3,7.2,4,0.55,15,.,7.6,0,0,5,7.5,0.9,.,.,4,50.0,9.9,7.3,42.3
School of the Future High School,7.9,63,7.5,7.0,4.7,7,7.1,684,0,0.8,7.9,17,3,86.2,0,76.7,6.8,70.7,69.8,82,16.0,81.8,70,469,7.9,6.7,5,0.34,12,-0.1,7.3,2,22,14,7.9,0.3,0.4,674,1,74.2,8.5,7.5,76.9
P.S. 375 Jackie-Robinson School,7.8,158,7.9,7.2,4.3,.,7.5,569,41,1.1,8.2,0,9,78.1,46,62.1,6.3,66.7,75.0,138,37.0,.,130,.,8.6,8.0,9,0.8,23,.,8.1,8,0,6,8.1,1,.,.,6,59.1,9.8,7.7,73.1
P.S. 087 William Sherman,8.0,88,8.0,7.9,5.2,.,7.6,899,50,0.7,8.0,0,5,75.0,50,69.0,6.6,69.0,57.5,198,22.0,.,161,.,7.6,6.9,9,0.39,18,.,8.1,5,0,14,8.0,0.3,.,.,5,90.9,10.0,8.0,57.7
I.S. 254,8.1,20,6.4,6.6,4.3,6.2,6.6,459,0,0.3,7.1,0,1,51.7,0,42.4,5.8,43.7,48.9,19,37.0,47.8,10,386,7.1,6.0,2,0.93,4,-0.1,7.4,2,0,4,7.0,0.1,-0.2,455,3,56.7,9.8,7.6,48.1
Explorations Academy,7.7,50,5.9,6.9,4.5,6.4,6.0,306,0,1.2,7.8,0,1,44.8,0,53.3,7.0,31.7,32.6,49,21.0,40.9,41,232,7.2,6.1,5,0.91,9,0.1,7.7,1,26,5,7.3,0.1,0,287,2,71.0,9.3,7.3,42.3
Brooklyn Preparatory High School,7.7,55,7.3,7.0,3.2,6.6,6.7,373,0,0.8,8.0,10,0,65.5,0,70.0,6.7,65.9,53.5,52,24.0,50,41,313,7.7,6.7,4,0.83,4,0,7.9,1,23,4,7.6,0.1,-0.1,361,1,74.2,9.4,7.5,65.4
Bronx High School for the Visual Arts,8.1,63,6.4,7.2,3.8,6.7,7.3,333,0,1,8.2,22,2,44.8,0,66.7,7.6,43.9,20.9,74,13.0,45.5,65,284,7.7,5.6,1,0.5,2,-0.2,7.7,2,22,2,7.6,0.5,0,330,0,80.6,9.5,8.3,38.5
High School for Civil Rights,7.4,10,7.6,6.7,4.2,5.3,7.4,385,0,0.9,7.6,8,0,62.1,0,46.7,5.2,73.2,69.8,14,13.0,27.3,10,199,7.0,6.2,4,0.54,2,-0.1,7.1,1,10,2,7.1,0.4,0.1,382,1,64.5,8.9,7.7,53.8
P.S. 200 Benson School,7.5,329,7.9,7.1,3.6,.,7.4,1201,117,1,8.0,0,6,59.4,102,72.4,8.5,66.7,57.5,361,49.0,.,325,.,8.2,7.4,18,0.66,33,.,7.9,4,0,37,8.0,0.8,.,.,9,54.5,9.9,8.6,57.7
Hostos-Lincoln Academy of Science,7.8,45,6.6,7.3,4.8,7,7.3,504,0,1.1,8.0,19,0,65.5,0,66.7,6.4,48.8,46.5,47,26.0,59.1,40,406,8.0,6.3,1,0.68,3,0.5,7.6,1,13,8,7.9,0.1,0.3,501,0,83.9,9.8,7.9,65.4
P.S. 046 Arthur Tappan,7.7,66,7.4,6.9,4.0,6.5,6.3,806,18,0.2,7.9,0,1,62.5,16,37.9,6.1,54.8,62.5,79,28.0,38.1,53,84,8.3,6.9,12,0.42,12,0.5,8.0,3,0,13,8.3,0.7,0.2,100,1,45.5,9.8,8.1,61.5
P.S. 015 Patrick F. Daly,8.1,127,8.3,8.1,5.7,.,8.0,386,43,1.2,8.6,0,1,103.1,39,79.3,7.1,76.2,95.0,159,38.0,.,144,.,8.5,8.3,1,0.88,2,.,8.7,1,0,3,8.9,1,.,.,1,100.0,10.0,8.6,100.0
Liberty High School Academy for Newcomers,8.4,48,7.3,6.6,3.6,7.5,7.5,428,0,0.9,8.3,9,0,44.4,0,54.2,8.2,45.5,56.2,42,26.0,24,41,352,8.6,6.7,0,0.62,0,0.1,7.6,0,21,1,8.0,0.3,0,413,0,46.7,9.7,8.3,48.0
"Urban Assembly Academy for History and Citizenship for Young Men, The",7.7,28,7.1,7.0,3.9,6.2,7.4,323,0,0.6,7.9,13,2,82.8,0,56.7,6.0,61.0,74.4,33,15.0,63.6,28,221,7.7,7.1,4,0.6,5,-0.3,7.8,0,9,7,7.5,0.2,0.3,312,1,74.2,8.7,7.5,73.1
P.S. 065 Mother Hale Academy,7.4,62,5.9,7.0,4.2,.,6.3,504,14,-0.2,7.5,2,9,43.8,29,17.2,5.0,19.0,30.0,64,35.0,.,54,.,8.1,6.5,9,0.73,21,.,7.8,5,0,10,7.7,0.5,.,.,6,50.0,10.0,6.7,30.8
Bronx High School for Performance and Stagecraft,7.7,44,7.4,6.9,4.6,6.9,6.7,391,0,1.4,7.0,19,0,75.9,0,73.3,6.9,68.3,34.9,51,3.0,86.4,39,123,7.3,6.4,3,0.12,6,.,7.4,2,25,14,7.5,1.3,.,379,4,71.0,9.4,7.5,65.4
High School of Economics and Finance,6.7,35,5.5,6.4,3.4,6.1,6.8,788,0,1.5,7.6,13,2,34.5,0,36.7,6.2,22.0,27.9,28,29.0,31.8,17,658,6.7,5.7,4,0.57,7,0.1,6.7,3,14,4,7.2,0.6,0.1,759,2,54.8,8.7,6.9,38.5
P.S. 019 Roberto Clemente,7.0,69,6.0,7.1,5.1,.,6.8,500,24,0.6,7.7,0,1,31.3,42,34.5,7.2,21.4,22.5,64,33.0,.,68,.,8.3,6.2,6,0.77,12,.,7.6,5,1,7,7.8,0.7,.,.,3,54.5,9.9,7.6,23.1
P.S. 233 Langston Hughes,7.1,44,7.0,7.0,3.3,.,6.1,762,35,0.6,7.7,1,2,62.5,22,41.4,5.7,45.2,60.0,74,30.0,.,54,.,7.5,7.1,6,0.47,15,.,7.6,8,0,10,7.4,0.1,.,.,3,50.0,10.0,7.4,50.0
M.S. 571,6.0,14,6.7,5.7,3.9,5.5,4.9,273,0,-0.2,6.2,0,5,37.9,0,30.3,2.9,50.0,38.3,9,8.0,34.8,4,187,5.6,5.5,2,0.3,11,-0.2,6.0,4,0,6,5.5,-0.6,-0.4,265,3,26.7,8.9,6.3,22.2
Middle School 322,8.5,113,6.4,7.6,4.6,5.9,8.1,511,1,1.9,8.8,0,0,58.6,0,57.6,8.5,43.7,42.6,97,40.0,34.8,97,452,8.8,6.5,0,0.87,5,0.1,8.1,0,0,3,8.4,1.9,0.6,506,0,90.0,9.9,8.9,59.3
P.S. 094 The Henry Longfellow,6.9,90,7.3,7.0,4.5,.,7.3,1070,47,0.8,7.5,0,4,43.8,64,55.2,7.7,52.4,45.0,98,26.0,.,82,.,7.7,6.6,11,0.35,25,.,7.2,3,0,15,7.5,0.6,.,.,3,50.0,10.0,7.7,38.5
Brooklyn Comprehensive Night High School,8.6,3,5.1,6.6,3.8,8.2,7.1,69,0,-0.5,9.0,7,0,-22.2,0,16.7,4.7,-21.2,-70.8,5,2.0,60,3,18,7.1,4.9,0,0.18,0,0,8.1,0,0,0,7.1,-0.9,-0.6,29,0,46.7,8.3,6.7,-32.0
ACORN High School for Social Justice,6.7,42,5.4,6.1,3.5,5.8,6.4,700,0,1.6,6.6,24,3,37.9,0,33.3,5.9,19.5,20.9,34,7.0,31.8,25,451,6.4,5.5,14,0.15,21,0.7,7.0,6,39,22,6.3,1.1,0.8,643,8,45.2,9.3,7.1,30.8
J.H.S. 057 Whitelaw Reid,7.7,61,7.4,7.2,4.1,6.5,7.4,284,0,1.1,7.6,0,1,75.9,0,60.6,5.1,64.6,70.2,54,22.0,65.2,53,262,7.9,7.1,3,0.63,5,0.4,8.2,0,0,9,7.9,0.5,0.9,280,3,76.7,9.5,7.6,74.1
P.S. 197 Brooklyn,7.8,142,8.4,7.4,3.3,.,7.4,474,48,0.8,8.1,0,5,81.3,49,82.8,8.1,78.6,80.0,180,46.0,.,150,.,8.2,7.8,7,0.96,14,.,7.9,1,0,15,8.1,0.5,.,.,4,68.2,9.9,8.4,80.8
P.S. 030 Wilton,7.8,179,7.5,7.5,4.3,.,7.7,552,68,1,8.2,0,3,75.0,63,62.1,7.2,57.1,62.5,202,51.0,.,163,.,8.4,7.8,15,0.98,13,.,8.2,2,1,17,8.3,0.7,.,.,2,72.7,9.9,8.3,69.2
I.S. 232,7.5,78,5.8,6.7,3.7,5.8,7.2,511,0,1.1,7.5,1,5,37.9,0,42.4,6.2,31.2,25.5,74,39.0,30.4,70,410,7.7,6.1,9,0.93,13,0.5,7.7,2,1,12,7.8,1.8,0,496,3,60.0,9.5,8.0,44.4
Academy of Environmental Science Secondary High School,6.8,29,4.1,6.3,3.0,5.4,5.7,666,0,1,7.2,12,5,6.9,0,13.3,5.0,-12.2,-23.3,24,29.0,13.6,20,480,6.9,4.8,0,0.57,6,0.1,7.2,2,5,8,7.0,0.6,0.4,641,2,51.6,9.2,7.5,-3.8
Manhattan Bridges High School,8.2,73,7.9,7.5,4.3,6.9,8.0,469,0,0.4,8.6,25,2,93.1,0,83.3,6.9,80.5,83.7,79,26.0,77.3,70,346,8.3,7.1,4,0.79,5,-0.1,7.9,2,21,5,8.4,-0.4,0,446,1,90.3,9.5,8.4,88.5
P.S. 059 Beekman Hill International,7.8,52,7.9,8.0,5.2,.,7.5,460,28,0.5,8.2,0,1,84.4,18,65.5,6.8,66.7,82.5,86,21.0,.,71,.,8.1,7.1,2,0.66,5,.,8.4,2,0,9,8.2,0.1,.,.,0,95.5,9.9,7.5,80.8
P.S. 146,8.6,89,8.9,8.4,4.1,.,8.6,549,27,0.6,8.7,0,1,106.3,35,86.2,7.0,90.5,80.0,174,39.0,.,129,.,8.2,8.0,3,0.91,10,.,8.9,3,0,7,8.4,0.5,.,.,5,113.6,9.9,8.2,80.8
P.S. 069 The New Vision School,7.4,53,7.8,7.1,3.1,.,7.0,583,22,-0.1,7.8,0,0,62.5,14,69.0,6.9,64.3,55.0,55,26.0,.,41,.,8.0,7.0,3,0.6,7,.,7.9,0,0,7,8.2,0.4,.,.,1,54.5,9.9,8.4,61.5
High School for Media and Communications,7.4,131,6.8,6.8,3.1,6.2,7.2,662,0,0.5,7.9,48,4,58.6,1,53.3,5.8,53.7,48.8,117,34.0,45.5,109,552,7.7,6.3,7,0.76,15,-0.3,7.5,5,40,19,7.8,0.3,-0.2,630,3,67.7,8.8,7.6,53.8
J.H.S. 166 George Gershwin,7.6,116,5.8,7.1,4.5,5.8,7.1,568,0,1.1,7.5,0,5,48.3,0,36.4,4.8,31.2,36.2,99,33.0,47.8,88,505,7.3,6.0,10,0.62,16,0.6,7.5,4,0,14,7.3,0.5,0.1,558,7,73.3,9.3,7.5,44.4
J.H.S. 258 David Ruggles,7.0,4,6.8,6.6,6.4,5.2,6.0,273,0,0.9,6.4,0,1,48.3,0,30.3,4.8,52.1,53.2,2,5.0,17.4,2,212,7.2,6.0,0,0.14,2,0.1,7.2,1,0,2,6.4,0.5,-0.1,270,1,56.7,8.8,7.3,37.0
P.S. 186 Dr. Irving A Gladstone,7.2,136,7.4,7.2,4.0,.,7.3,869,76,0.9,7.8,0,2,53.1,45,58.6,8.1,54.8,50.0,165,53.0,.,145,.,8.0,6.9,3,0.77,14,.,7.6,2,0,19,7.8,0.2,.,.,0,59.1,9.9,7.8,46.2
Frederick Douglass Academy VIII Middle School,8.9,43,6.5,8.1,5.2,7,8.1,142,0,1.5,9.2,0,0,75.9,0,72.7,7.4,45.8,25.5,61,7.0,78.3,51,137,8.4,6.9,0,0.7,0,0.5,8.8,0,0,0,8.5,0.3,-0.1,140,0,106.7,10.0,8.9,63.0
P.S. 236 Mill Basin,7.9,129,7.9,7.4,3.3,.,7.3,618,58,1,8.2,0,2,65.6,65,72.4,7.3,66.7,65.0,159,38.0,.,151,.,8.4,7.5,6,0.84,16,.,8.0,5,0,13,8.4,0.2,.,.,3,68.2,9.9,8.5,73.1
P.S./I.S. 217 Roosevelt Island,6.9,38,8.0,7.0,4.7,6.8,6.5,454,14,0.7,7.6,0,1,65.4,13,68.7,5.8,80.0,74.4,54,16.0,40.9,44,103,8.1,6.6,5,0.43,7,-0.1,7.0,5,0,6,7.7,0.8,-0.3,122,3,58.3,10.0,7.4,66.7
P.S. 012,7.1,70,6.7,7.1,5.1,5.6,6.6,344,24,0.1,6.8,0,13,61.5,25,40.6,4.6,51.1,56.4,72,24.0,22.7,62,54,7.1,6.3,13,0.59,26,0.4,7.3,8,0,22,7.0,-0.3,0.2,58,19,62.5,9.5,7.1,41.7
Richard R. Green High School of Teaching,6.8,23,7.4,5.9,3.0,6.4,5.9,619,1,0.3,6.7,12,1,44.8,0,63.3,6.6,68.3,62.8,20,27.0,45.5,18,403,6.9,5.7,3,0.53,6,0.4,6.9,1,18,13,6.8,0,0.3,584,4,38.7,9.4,7.4,53.8
J.H.S. 123 James M. Kieran,7.6,52,6.7,6.3,3.1,6,7.0,565,0,0.1,7.3,0,3,58.6,1,45.5,5.1,50.0,63.8,53,43.0,43.5,40,523,7.6,6.5,6,0.88,13,0.2,7.2,6,0,14,7.7,0.6,-0.2,561,5,46.7,9.5,6.4,63.0
Baruch College Campus High School,7.8,50,8.3,7.1,4.9,8,6.7,416,0,1.5,7.5,29,0,86.2,0,100.0,9.0,90.2,88.4,53,14.0,90.9,44,376,7.8,7.0,3,0.52,6,0.4,7.2,1,31,12,7.8,-0.2,0.5,414,1,77.4,9.6,7.9,88.5
Legacy School for Integrated Studies,7.5,17,7.9,6.5,3.2,6.8,6.4,378,1,0.9,7.7,7,1,69.0,0,76.7,6.1,80.5,69.8,16,15.0,54.5,12,252,6.9,6.4,4,0.5,4,0.2,6.9,1,8,4,7.0,0.8,0.1,373,1,58.1,9.0,7.8,61.5
Multicultural High School,7.6,18,7.4,7.2,4.7,7.4,7.9,67,0,.,8.7,0,0,72.4,0,86.7,8.2,68.3,65.1,13,5.0,77.3,13,76,8.6,7.1,0,0.56,0,.,8.6,0,0,0,8.5,.,.,87,0,80.6,10.0,7.8,73.1
P.S. 214 Michael Friedsam,7.3,244,7.1,7.0,3.8,.,7.3,1068,81,0.4,7.9,0,4,50.0,83,48.3,6.7,47.6,50.0,286,56.0,.,230,.,8.4,7.0,29,0.67,28,.,7.8,10,2,37,8.0,0.5,.,.,7,50.0,9.9,7.8,53.8
"High School of Fashion Industries, The",7.0,85,7.1,6.6,3.7,6.7,7.1,1653,0,1.2,7.5,37,3,58.6,1,63.3,6.8,61.0,51.2,83,51.0,63.6,70,1463,7.0,6.1,6,0.5,13,-0.1,6.8,4,52,17,7.1,-0.1,0,1614,4,61.3,7.9,7.7,50.0
Green School: An Academy for Environmental Careers,8.4,19,7.6,6.9,4.7,6.9,7.1,205,1,0.9,7.9,1,0,82.8,0,76.7,6.3,73.2,62.8,27,11.0,77.3,22,117,7.9,6.7,3,1.0,1,0.2,7.6,0,0,2,7.5,0.9,-0.1,205,0,71.0,8.9,7.6,69.2
P.S. 277 Gerritsen Beach,8.1,124,8.6,7.3,3.7,.,7.4,421,50,0.9,8.2,0,5,75.0,50,86.2,7.6,83.3,87.5,152,30.0,.,162,.,8.6,8.0,6,0.91,15,.,8.2,4,0,13,8.7,0.5,.,.,2,63.6,10.0,8.6,92.3
University Neighborhood Middle School,7.0,37,6.1,6.5,3.7,6.1,5.5,279,1,-0.4,7.9,0,1,55.2,0,39.4,4.8,37.5,42.6,26,17.0,47.8,25,179,7.1,6.2,2,0.74,11,0.6,7.3,3,0,5,7.0,-0.5,0.2,274,0,53.3,9.4,7.6,44.4
P.S. 172 Beacon School of Excellence,8.5,182,9.0,8.4,4.7,.,8.6,542,39,0.6,9.1,2,0,103.1,43,100.0,8.7,92.9,87.5,238,37.0,.,214,.,8.9,8.4,4,0.84,2,.,9.1,0,0,2,9.1,0.7,.,.,0,113.6,10.0,8.9,100.0
P.S. 190 Sheffield,7.4,88,6.9,7.2,3.9,.,6.6,369,30,0.1,7.9,0,3,62.5,43,44.8,5.9,42.9,57.5,87,28.0,.,84,.,8.3,7.1,6,0.68,10,.,7.9,4,0,10,7.7,0.3,.,.,3,59.1,9.9,7.6,57.7
P.S. 100 The Coney Island School,6.9,64,7.5,7.0,4.2,.,6.7,675,33,0.8,7.3,0,3,56.3,23,58.6,7.9,57.1,57.5,82,29.0,.,59,.,7.1,6.8,9,0.64,24,.,7.1,6,0,26,7.3,0.2,.,.,4,50.0,10.0,8.5,46.2
"Felisa Rincon de Gautier Institute for Law and Public Policy, The",7.4,58,6.3,6.5,2.5,5.9,6.4,411,0,0.8,7.5,27,1,27.6,0,50.0,7.4,41.5,16.3,54,10.0,22.7,43,230,7.3,5.9,4,0.37,7,-0.6,7.5,4,31,8,7.2,-0.2,0,406,4,58.1,9.3,7.4,26.9
J.H.S. 117 Francis Scott Key,7.5,7,7.0,7.2,5.6,5.7,7.1,263,0,0.7,7.0,0,0,51.7,0,36.4,5.0,56.2,12.8,9,3.0,47.8,5,196,7.2,5.9,1,0.09,0,0.7,7.3,1,0,0,6.7,-0.5,0.2,262,2,76.7,10.0,6.9,25.9
Monroe Academy for Visual Arts & Design,6.9,33,5.9,6.7,3.9,.,6.7,520,0,0.8,7.3,10,2,44.8,0,40.0,5.8,31.7,46.5,27,27.0,.,27,.,6.9,6.1,5,0.77,4,.,6.8,2,21,6,6.8,-0.2,.,471,4,64.5,9.1,7.2,34.6
P.S. 196 Ten Eyck,8.4,100,7.8,7.8,4.0,.,8.2,424,26,0.8,8.7,0,1,78.1,16,72.4,7.8,64.3,75.0,117,29.0,.,106,.,8.9,8.0,1,0.66,2,.,8.8,0,0,1,8.9,0.9,.,.,1,86.4,9.9,8.5,88.5
Life Academy High School for Film and Music,7.5,1,8.5,5.7,5.0,6.9,4.4,53,0,.,7.5,0,0,62.1,0,76.7,6.7,95.1,79.1,1,6.0,54.5,1,45,7.5,7.0,0,0.86,0,.,6.7,0,0,0,6.7,.,.,50,0,32.3,10.0,4.4,65.4
Dr. Susan S. McKinney Secondary School of the Arts,7.6,45,7.3,7.1,5.1,6.4,7.3,600,0,0.8,7.5,6,1,79.3,0,66.7,6.6,65.9,62.8,49,16.0,63.6,36,491,7.8,6.9,3,0.26,8,-0.1,7.4,2,30,6,7.4,0.5,0.3,591,4,77.4,9.7,8.0,65.4
Eximius College Preparatory Academy: A College Board School,6.4,20,4.8,5.9,4.2,4.9,5.2,418,0,-0.4,6.6,0,5,10.3,0,6.7,5.3,4.9,2.3,14,7.0,13.6,13,318,6.3,4.7,7,0.24,14,0.1,5.9,5,4,14,6.2,0.2,-0.2,395,3,38.7,7.1,6.7,3.8
South Shore High School,7.4,14,4.9,6.2,3.6,5.8,6.2,920,0,1.3,7.2,11,1,20.7,0,20.0,5.8,7.3,-7.0,13,7.0,40.9,15,369,6.7,5.0,3,0.13,6,-0.3,6.9,1,10,4,6.5,0.8,0,797,2,48.4,8.2,7.7,11.5
P.S. 262 El Hajj Malik El Shabazz Elementary School,7.8,73,7.2,7.2,3.6,.,7.2,370,27,0.8,8.0,0,6,59.4,29,55.2,5.7,50.0,57.5,76,27.0,.,66,.,8.4,7.5,5,0.87,13,.,8.5,3,0,10,8.2,0.8,.,.,2,59.1,10.0,8.5,65.4
J.H.S. 131 Albert Einstein,7.2,200,5.8,6.8,3.5,5.6,6.6,871,0,1,7.5,1,7,44.8,4,36.4,4.8,31.2,34.0,170,60.0,39.1,148,782,7.4,6.1,30,0.85,51,0.1,7.2,7,0,49,7.6,0.8,-0.1,867,8,63.3,9.6,7.5,40.7
High School of World Cultures,7.9,91,6.4,7.3,4.7,7,7.8,299,0,0.5,8.5,31,2,65.5,0,66.7,7.6,43.9,34.9,75,23.0,81.8,77,240,8.2,6.5,4,0.96,1,0,7.8,0,40,1,8.0,0.3,0.1,263,0,83.9,9.8,7.8,53.8
J.H.S. 278 Marine Park,6.9,144,7.3,6.4,3.3,5.8,6.2,1068,0,1,7.2,1,10,58.6,0,51.5,5.1,62.5,61.7,132,75.0,39.1,127,978,6.9,6.5,19,0.91,42,0.5,7.0,8,0,38,7.3,0.7,0.4,1067,13,50.0,9.5,7.4,59.3
