latitude,longitude,queens_condominium_property_est_gross_income,comparable_rental_2_full_market_value,comparable_rental_2_building_classification,queens_condominium_property_full_market_value,comparable_rental_1_dist_from_coop_in_miles,queens_condominium_property_gross_income_per_sqft,comparable_rental_2_gross_income_per_sqft,census_tract
40.734332,-73.86589,1059702,3950000.0,D1-ELEVATOR,3300000,1.35,14.0,14.13,683.0
40.742892,-73.882563,1092741,4650000.0,D7-ELEVATOR,3400007,0.4,13.0,14.02,26902.0
40.770738,-73.903082,4285160,2280000.0,D3-ELEVATOR,17451633,1.5,22.0,24.29,137.0
40.681958,-73.822084,288000,2110000.0,C9-WALK-UP,974001,1.25,15.0,18.02,106.0
40.764949,-73.817133,405000,2030000.0,D1-ELEVATOR,1370000,0.25,15.0,13.39,1157.0
40.769711,-73.827965,385550,2280000.0,D3-ELEVATOR,1600004,0.45,25.0,24.29,88901.0
40.756823,-73.830641,265710,3470000.0,D1-ELEVATOR,993997,0.4,17.0,14.34,849.0
40.680424,-73.862699,454067,435000.0,C1-WALK-UP,1539997,2.4,14.5,15.88,42.0
40.743119,-73.956085,459375,5670000.0,D6-ELEVATOR,1990000,0.15,25.0,22.2,7.0
40.769654,-73.826615,485368,6070000.0,D6-ELEVATOR,2009998,3.4,26.0,26.9,88901.0
40.711688,-73.812641,779194,2280000.0,D3-ELEVATOR,3230001,0.9,26.0,24.29,232.0
40.712358,-73.828636,936320,3630000.0,D1-ELEVATOR,2920000,0.55,14.0,13.91,216.0
40.72588,-73.851407,687900,5470000.0,D6-ELEVATOR,3200001,0.15,30.0,25.2,71305.0
40.719087,-73.89087,565056,850000.0,C1-WALK-UP,1909998,1.7,16.0,14.88,66501.0
40.742624,-73.880269,2020200,7740000.0,D7-ELEVATOR,6298986,0.25,14.0,13.84,271.0
40.775801,-73.928785,6522250,7070000.0,D1-ELEVATOR,24400003,0.1,17.5,15.94,91.0
40.750726,-73.877868,1168500,2580000.0,D1-ELEVATOR,3950000,0.15,14.25,14.7,277.0
40.765966,-73.819632,1303560,3260000.0,D7-ELEVATOR,4870003,0.7,17.0,17.07,1163.0
40.603191,-73.748937,767130,1830000.0,D1-ELEVATOR,2159993,0.2,10.5,9.78,103202.0
40.726418,-73.893542,157635,1120000.0,D3-ELEVATOR,532997,1.45,15.5,16.44,49302.0
40.736495,-73.865766,1060920,3950000.0,D1-ELEVATOR,3300000,1.2,14.0,14.13,683.0
40.742605,-73.952538,975072,4870000.0,D1-ELEVATOR,4040003,0.3,28.0,25.4,7.0
40.770009,-73.92312,439008,1940000.0,D7-ELEVATOR,1820000,2.5,24.0,20.04,69.0
40.743589,-73.893962,236000,4790000.0,D1-ELEVATOR,798006,0.7,14.75,14.28,265.0
40.748908,-73.825915,330330,453000.0,C7-WALK-UP,1119998,1.2,16.5,15.42,799.0
40.710011,-73.907459,801900,1450000.0,C7-WALK-UP,2500005,0.8,13.5,11.27,595.0
40.577122,-73.837997,1084538,3910000.0,D1-ELEVATOR,4489991,9.0,26.0,18.82,93402.0
,,3825594,9760000.0,C9-WALK-UP,14299990,0.15,18.0,18.84,
40.704245,-73.834897,748912,859000.0,D7-ELEVATOR,2800002,1.7,17.5,17.81,134.0
40.752978,-73.830589,848456,6070000.0,D6-ELEVATOR,3510000,0.7,28.0,26.9,79702.0
40.752323,-73.862605,316064,2590000.0,D9-ELEVATOR,1309846,1.95,28.0,25.6,403.0
40.762667,-73.818186,617780,5070000.0,D7-ELEVATOR,2309998,0.4,17.0,20.78,1163.0
40.76654,-73.826956,1468155,5240000.0,D1-ELEVATOR,4960006,0.0,15.0,15.18,1161.0
40.767189,-73.92204,1032486,2220000.0,C1-WALK-UP,3490000,0.5,15.25,15.89,63.0
,,3292920,79300000.0,D9-ELEVATOR,11100041,5.7,15.0,17.27,
40.710832,-73.904738,160336,595000.0,C1-WALK-UP,542000,5.9,16.0,14.3,593.0
40.760346,-73.818756,643496,6070000.0,D6-ELEVATOR,2670000,0.55,28.0,26.9,863.0
40.754865,-73.829675,383216,1690000.0,D1-ELEVATOR,1300002,0.8,16.0,14.96,853.0
40.762578,-73.771287,483120,8000000.0,D1-ELEVATOR,1629993,3.55,15.0,16.14,1467.0
40.761417,-73.822883,1764000,4660000.0,D9-ELEVATOR,6599995,0.0,18.0,17.6,865.0
40.746655,-73.956508,7020160,25200000.0,D8-ELEVATOR,29099993,0.1,28.0,25.5,1.0
40.743676,-73.923186,853450,2280000.0,D3-ELEVATOR,3540004,1.55,26.0,24.29,18102.0
,,3839232,4870000.0,D1-ELEVATOR,15900007,5.7,24.0,25.4,
40.727758,-73.860819,347580,1170000.0,D1-ELEVATOR,1180005,0.0,15.0,14.93,69701.0
40.776865,-73.90777,6557500,2440000.0,D1-ELEVATOR,22200000,1.4,15.25,15.5,113.0
40.752806,-73.884877,908641,2160000.0,D1-ELEVATOR,2829985,0.4,13.75,12.82,283.0
40.751992,-73.826484,1483960,5470000.0,D6-ELEVATOR,6149994,0.4,23.0,25.2,79702.0
40.727224,-73.859356,898071,2600000.0,D1-ELEVATOR,2800007,0.4,14.1,13.92,69701.0
40.730183,-73.871588,989612,2280000.0,D3-ELEVATOR,4099998,0.95,26.0,24.29,687.0
40.570817,-73.854379,2235500,6070000.0,D6-ELEVATOR,8359995,0.7,20.0,26.9,928.0
40.666396,-73.849964,3079958,11900000.0,D1-ELEVATOR,10400018,6.4,15.5,17.16,6201.0
40.762678,-73.818212,808800,5200000.0,D1-ELEVATOR,2729997,0.4,15.0,14.52,1163.0
40.764231,-73.832683,139680,619000.0,C1-WALK-UP,471999,4.05,16.0,17.88,869.0
40.7532,-73.861257,569212,2280000.0,D3-ELEVATOR,2360002,3.85,28.0,24.29,403.0
40.759311,-73.822585,518805,453000.0,C7-WALK-UP,1750004,1.05,15.0,15.42,855.0
,,1964440,722000.0,C1-WALK-UP,7349988,0.3,20.0,19.32,
40.779083,-73.781518,1691285,10600000.0,D3-ELEVATOR,6320004,0.35,19.0,19.13,99704.0
40.727863,-73.810824,894687,10500000.0,D3-ELEVATOR,3340007,2.0,17.5,19.02,122701.0
40.762053,-73.820448,475335,6070000.0,D6-ELEVATOR,1970004,0.4,21.0,26.9,863.0
