bk_all_case_count_7day_avg,bk_probable_case_count,mn_probable_case_count_7day_avg,mn_hospitalized_count,qn_probable_case_count,qn_case_count_7day_avg,bx_case_count,si_hospitalized_count,mn_case_count
1350,28,9,221,30,1534,1282,69,616
1797,415,178,55,384,1514,1144,27,845
105,37,19,3,23,61,50,3,80
595,87,75,15,103,495,164,7,242
865,31,15,90,34,1021,641,24,371
237,16,9,5,11,130,38,1,29
1283,198,210,22,177,996,432,6,761
543,79,65,13,60,318,126,6,154
244,12,9,5,14,130,36,5,46
1,0,0,3,0,1,2,1,3
10187,1298,645,150,953,8425,9863,41,7972
586,99,79,25,71,335,260,12,304
367,70,38,5,54,157,86,3,131
98,7,3,6,1,84,20,0,32
274,30,9,5,23,134,75,0,74
1168,181,165,36,204,811,330,13,259
1126,259,177,26,271,940,473,9,1009
1258,297,161,67,285,974,953,20,537
100,9,2,7,6,82,68,2,76
164,4,1,7,0,150,116,3,75
2602,133,145,41,163,1990,350,15,605
96,3,3,6,6,77,90,1,85
252,30,37,7,24,110,61,3,300
87,9,2,1,3,58,28,1,23
8098,557,502,120,644,7255,3355,44,2882
929,114,98,24,138,827,250,13,286
100,1,2,6,11,105,80,1,67
70,16,14,5,16,47,14,2,25
86,8,3,5,9,85,79,2,58
682,74,116,13,76,452,80,3,302
99,5,4,1,4,81,65,3,48
259,64,22,8,41,178,90,5,70
311,93,40,4,66,139,74,4,141
337,84,67,7,46,167,58,5,111
78,11,3,8,9,67,50,1,51
651,139,77,13,117,325,140,9,162
515,138,60,7,96,255,150,6,200
1544,347,180,44,387,1323,1109,31,760
1257,224,202,15,214,976,521,8,961
626,134,70,17,104,391,296,13,300
478,95,69,13,105,313,100,5,157
260,1,1,11,3,209,103,3,69
473,102,67,10,130,306,143,10,198
94,5,2,5,1,99,73,2,76
1382,347,167,60,294,1048,972,19,610
482,108,56,25,81,295,285,7,307
556,108,85,18,123,464,172,8,231
669,143,81,7,126,348,234,11,320
1057,197,149,27,210,861,496,7,831
633,109,107,14,95,366,223,5,935
837,213,127,24,231,615,540,23,502
159,4,5,4,6,83,30,1,48
556,65,76,20,84,442,125,11,208
