address,city,primary_artist_first,artwork_type1,primary_artist_last,artwork_type2,primary_architect_middle
Central Park Zoo,New York,Frederick,Bas-relief,Roth,Artwork,
Pelham Parkway and Holland Avenue,Bronx,,"Tablet, plinth",,Monument/Memorial,
990 Washington Avenue,Brooklyn,Isabel,Fountain,Kimball,Monument/Memorial,A.
East 76 Street and Cherokee Place,New York,Douglas,Sculpture,Abdell,Artwork,
173rd Street and Hillside Avenue,Jamaica,Roger,Sculpture,Bolomey,Artwork,
"Roebling Street, S. 5th Place and S. 4th Street",Brooklyn,Henry,Statue,Shrady,Monument/Memorial,
Middagh Street and Cadman Plaza West,Brooklyn,Adolph,"Bust, pedestal, stele",Weinman,Monument/Memorial,
Central Park Zoo,New York,Frederick,Statue,Roth,Artwork,
East Broadway and Rutgers Street,New York,Joseph,"Stele, bas-relief",Kiselewski,Monument/Memorial,
43 Park Row,New York,,Fountain,,Artwork/Monument,Wrey
Central Road,New York,Konstantinos,Statue,Dimitriadis,Artwork,
Central Park Zoo,New York,Frederick,Bas-relief,Roth,Artwork,
450 Flatbush Avenue,Brooklyn,Frederick,Bas-relief,Roth,Artwork,
Clove Road and Victory Boulevard,Staten Island,Ann Marie,Sculpture,McDonnell,Artwork,
Grand Army Plaza between Eastern Parkway and Union Street,Brooklyn,Frederick,Relief,MacMonnies,Monument/Memorial,
1904 Surf Avenue,Brooklyn,,Memorial wall,,Monument/Memorial,
Riverside Drive and West 156th Street,New York,,"Plaque, plinth",,Monument/Memorial,
37-44 21st Street,Long Island City,Toshio,Bas-relief sculpture,Sasaki,Artwork,
Pelham Bay Park Tennis Courts,Bronx,Louis,Statue,Saint-Lanne,Artwork,
Sgt. Schaefer Oval,Richmond Hill,,Planter,,Monument/Memorial,
Broadway and 24th Street,New York,James,Obelisk,Batterson,Monument/Memorial,
Forest Avenue and Goethals Road North,Staten Island,,Plaque,,Monument/Memorial,
Myrtle Avenue between Knickerbocker Avenue and Bleecker Street,Brooklyn,Pietro,Statue,Montana,Monument/Memorial,Greene
Riverside Drive and West 112th Street,New York,William,Statue,Partridge,Monument/Memorial,
195 Cadman Plaza West,Brooklyn,Charles,Memorial hall,Keck,Monument/Memorial,
155th Street and Edgecombe Avenue,New York,,"Fountain, lantern",,Artwork/Monument,Martin
125 White Street,New York,Kit-Yin,Installation,Snyder,Artwork,
Grand Army Plaza,Brooklyn,Thomas,Relief,Eakins,Monument/Memorial,Hemingway
East Broadway and Worth Street,New York,,Arch,,Monument/Memorial,G.
West 189th Street & Wadsworth Terrace,New York,C.,Stele,Weimer,Monument/Memorial,
173rd Street and Hillside Avenue,Jamaica,Frederick,Statue,Ruckstull,Monument/Memorial,
Victory Boulevard and Bay Street,Staten Island,Allen,Statue,Newman,Monument/Memorial,
Wall Street and South Street,New York,,Ornamental fountain,,Artwork/Monument,
Shakespeare Garden,New York,A.,Sundial,Beretta,Artwork,
190th Street and Fort Washington Avenue,New York,,Plaque,,Marker,
The Mall,New York,,Markers,,Monument/Memorial,
Coenties Slip between Water Street and Pearl Street,New York,Bryan,Sculpture,Hunt,Artwork,
851 Grand Concourse,Bronx,Edward,Sculpture,Sanford,Artwork,
East 57th Street and East River,New York,Pietro,Statue,Tacca,Artwork,
Madison Ave between East 24th Street and East 25th street,New York,,Plaque,,Monument/Memorial,
830 Fifth Avenue,New York,Thea,Sculpture,Tewi,Artwork,
Father Capodanno Boulevard and Sand Lane,Staten Island,,Stele,,Monument/Memorial,
"East 8th Street, Cooper Square and Lafayette Street",New York,Tony,Sculpture,Rosenthal,Artwork,
