title,latitude,longitude,address,pdc_records,landscape_architect_last,artists_keyword,fabricator,lot,block
The Watering Place,40.637523,-74.076235,Bay Street and Victory Boulevard,,,,,50.0,497.0
Quadriga: the Triumphal Progress of Columbia,40.673035,-73.969922,Grand Army Plaza between Eastern Parkway and Union Street,"912, 1611",,American,,,
Winfield Memorial,40.739709,-73.899601,65th Place and Laurel Hill Boulevard,1081,,"Italian, American",,,
Unisphere Tablets (4),40.746811,-73.84496,Unisphere,,,,,1.0,2018.0
Fort Hamilton D.A.R. Tablet,40.611583,-74.034028,4th Avenue and 101st Street,907,,,,1.0,6140.0
Alfred Tredway White Memorial,40.667947,73.963158,Washington Street and Crown Street,1155,,American,,1.0,1183.0
Inside Out,40.796059,-73.967868,160 West 100th Street,2756,,"American, Jewish",,49.0,1852.0
John Paul Jones Memorial Flagstaff,40.611333,-74.033944,Fourth Avenue and 101st Street,6278,,,"Alton Douglas, Lt",1.0,6140.0
Peter Pan,40.775144,-73.943235,East End Avenue and 86th Street,1351,,American,,1.0,1592.0
Navy Terrace,40.77407271,-73.97093095,The Mall,2674,,,,1.0,1111.0
The Source,40.846136,-73.938008,West 175th Street and Broadway,6887,,"Woman, Spanish",,,
Alben Square Flagstaff,"40.639374,",-73.994571,"New Utrecht Avenue, 46th Street and 11th Avenue",1986,,,,80.0,5615.0
Brigadier General Winfield Scott Hancock,40.809519,-73.953269,St. Nicholas Avenue and West 123rd Street,763,,American,,21.0,1950.0
Charles B. Stover,40.780019,-73.969313,79th Street Transverse Road,2033,,,,1.0,1111.0
Nathan Hale,40.712374,-74.006386,Broadway and Murray Street,"653, 1947, 6081",,American,,1.0,122.0
Aristotle,40.767681,-73.922589,30th Avenue and 30th Street,3809,,Greek,,1.0,594.0
Murray Hill War Memorial,40.74498712,-73.97330015,East 36th Street and 1st Avenue,1293,,,,11.0,941.0
Cherry Hill Fountain,40.774683,-73.97214,Cherry Hill Concourse,4222,,,,1.0,1111.0
John F. Kennedy Memorial Tree marker,40.693658,-73.98986,Montague and Court Street,2267,,,,1.0,139.0
Wild Geese,40.839942,-73.898056,173rd Street and Fulton Avenue,177,,American,,1.0,2941.0
River That Flows Two Ways,40.702694,-74.017139,Admiral Dewey Promenade,6070,,"American, Woman",,1.0,3.0
"Louis Valentino, Jr.",40.678392,-74.018061,Coffey Street and Ferris Street,5176,,,,52.0,595.0
Alamo,"40.729889,",-73.991027,"East 8th Street, Cooper Square and Lafayette Street",3752,,American,,,
Blockhouse,40.798660,-73.95629,West 109th Street,156,,,,1.0,1111.0
Job,40.710416,-73.834873,80th Road and Park Lane South,710,,"Jewish, Polish",,2000.0,3312.0
The Army: Genius of Patriotism Urging American Soldiers On To Victory,40.672954,-73.970006,Grand Army Plaza between Eastern Parkway and Union Street,"912, 1611",,American,,,
Frederick E. Samuel,40.824778,-73.935527,Seventh Avenue and West 151st Street,,,,,101.0,2016.0
Wave Hill National Parks Service Tablet,40.900093,-73.911086,West 252nd Street and Independence Avenue,,,,,440.0,5937.0
Edith G. Bowdoin ASPCA Horse Trough,40.765229,-73.973291,East Drive and Grand Army Plaza,4118,,,M. McGrath and Co.,1.0,1111.0
Luminescence,40.740883,-73.961694,"54th Avenue, Center Boulevard, 55th Avenue and East River",6544,,"Japanese, American, Woman",,1.0,6.0
Theodore Roosevelt Tablet,40.667833,-73.970458,Long Meadow,1182,,,,1.0,1117.0
Jacob H. Schiff Fountain,40.714961,-73.989828,Canal Street and Essex Street,,,"American, Jewish",,1.0,311.0
Salvation Army Monument,40.704688,-74.015342,Greenwich Street and Battery Place,1505,,,,1.0,3.0
Column of Jerash,40.746509,-73.842321,United Nations Avenue South,,,,,1.0,2018.0
Carmine Liotti and Lloyd Ikefugi,40.638834,-74.084205,Winter Avenue and Bismark Avenue,3464,,,,6.0,37.0
Gill and Bloom Plaques,40.625985,-74.177735,Forest Avenue and Goethals Road North,,,,,,
Irving and Estelle Levy Playground Gate,40.777520,-73.963913,Fifth Avenue and East 79th Street,3188,,American,,1.0,1111.0
Dialogue with the Sun,40.712660,-73.826303,125-01 Queens Boulevard,3005,,Japanese,,1.0,9653.0
McNally Plaza Memorial,40.848046,-73.929768,Laurel Hill Terrace and McNally Plaza,1712,,,Tuscan Granite Co.,525.0,2149.0
Timecast,40.688284,-74.001045,reet and Baltic Stre,6825,,"Japanese, American, Woman",,,
Sunnyside Memorial,40.742820,-73.915703,Queens Boulevard between 49th Street and 50th Street,3897,,,Fasolino Monuments,,
Father Capodanno Memorial,40.590078,-74.066657,Father Capodanno Boulevard and Sand Lane,2847,,,,200.0,3525.0
Best on the Beach,40.593527,-73.778887,480 Rockaway Beach Boulevard,6324,,"American, Woman",,3.0,15841.0
Louis J. Heintz Memorial,40.828035,-73.923201,Walton Avenue and East 161st Street,"386, 1982",,French,,1.0,2469.0
Arthur Brisbane Monument,"40.791599,",-73.95325,Fifth Avenue at 101st Street,2289,,"African American, Creole, LGBTQ+, Black American",,1.0,1111.0
Gene Farmer,40.643492,-74.079775,Wall Street and Belmont Place,3964,,,,1.0,21.0
Livingston Honor Roll,40.645370,-74.106858,Richmond Terrace and Snug Harbor Road,,,,,30.0,75.0
Design Team Project,40.584709,-73.943766,Emmons Avenue between East 21st Street and East 26th Street,5054,,"American, LGBTQ+",,,
Free Form,40.747272,-73.846811,Avenue of the States and United Nations Avenue N,2103,,"Spanish, Creole, American",,1.0,2018.0
New York State Marine Amphitheater Bas-Reliefs,40.739094,-73.841755,14 Ederle Promenade,2103,,,,10.0,2209.0
Japanese Tori,40.813502,-73.961676,West 122nd St and Riverside Drive,3346,,,,1.0,1994.0
The Falconer,40.774107,-73.973823,Terrace Drive,3911,,British,,1.0,1111.0
The Waterhole in the Jungle,40.665719,-73.964475,450 Flatbush Avenue,832,,American,,1.0,1117.0
Isham Park Benches,40.868694,-73.918615,Broadway and 212th Street,1825,,,,10.0,2243.0
Samuel J. Tilden,40.806196,-73.967528,Riverside Drive and West 112th Street,531,,American,,1.0,1897.0
Sheridan Square Viewing Garden Plaque,40.733162,-74.002322,West 4th Street and Barrow Street,4433,,,,,
William Tecumseh Sherman,40.764806,-73.973083,Central Park South and Fifth Avenue,26,,"Irish, French, American","Plaque--International Bronze, Garden City, Long Island",1.0,1111.0
Louis Kossuth Monument,40.806754,-73.967319,Riverside Drive and West 113th Street,"1451, 2287",,Hungarian,,1.0,1897.0
Knights of Pythias Memorial,40.771708,-73.970792,The Mall,2649,,,,1.0,1111.0
Christopher Columbus,40.769941,-73.972813,The Mall,1177,,Spanish,,1.0,1111.0
Dr. Ronald McNair,40.670556,-73.962,Eastern Parkway between Washington Avenue and Classon Avenue,1627,,"African American, Black American","Anchor Casting, Milton Osborne, bust and plaques; A. Ottavino Corp., pedestal",1.0,1184.0
Triumph of Government,40.825819,-73.923908,851 Grand Concourse,1619,,American,,1.0,2468.0
Randolph St. George Walker Jr.,40.643861,-74.108806,Delafield Place and Bard Avenue,,,,,1.0,138.0
Netherland Monument,40.704411,-74.014604,Battery Place and State Street,1369,,Dutch,,1.0,3.0
Carl Schurz Memorial,40.805984,-73.959056,Morningside Drive and 116th Street,415,,"Austrian, American",Piccirilli Brothers,1.0,1850.0
Pete McArdle,40.894001,-73.89605,BAW2S,628,,,,150.0,5900.0
Marie Sklodowska Curie,40.712747,-74.007252,Broadway and Murray Street,1939,,,,1.0,122.0
Joseph H. Lyons Plaque,40.637658,-74.07472,6 Victory Boulevsrd,2133,,,,100.0,487.0
Simón Bolívar,40.765689,-73.975792,Central Park South and Avenue of the Americas,"954, 2774",,"American, Woman",,1.0,1111.0
Victor Herbert,40.772692,-73.972222,"The Mall, opposite the bandstand",1398,,American,,1.0,1111.0
Underground Railway Excavation Tablet,40.712505,-74.00618,Steve Flanders Square between Broadway and Park Row,,,,,1.0,122.0
Rockaway Veterans Memorial,40.585708,-73.816852,Rockaway Beach Boulevard and Beach 94th Street,1474,,"Italian, American",,,
Samuel Finley Breese Morse,40.772546,-73.967389,Fifth Avenue and East 72nd Street,1336,,American,,1.0,1111.0
Samuel Sullivan Cox,40.726053,-73.983243,8th Street and Avenue A,"137, 320",,"American, Woman",,1.0,403.0
Wave Wall in Green,40.590383,-73.932387,3002 Knapp Street,"1928, 1170",,American,,1.0,7481.0
Eagles and Prey,40.772435,-73.972532,The Msll,1177,,French,,1.0,1111.0
9/11 First Responders Memorial,40.646881,-74.076421,Hamilton Avenue and Richmond Terrace,6145,,Japanese,,20.0,2.0
Senator Robert F. Wagner,40.799642,-73.935349,Second Avenue and 120th Street,3272,,American,,110.0,1797.0
Luis R. Lopez Memorial Flagstaff,40.611668,-74.084995,Targee Street and Palma Drive,5711,,,,40.0,2886.0
Mowgli Learns the Law of the Jungle,40.665726,-73.964438,450 Flatbush Avenue,832,,"Hungarian, American",,1.0,1117.0
Family Library Table,40.672583,-73.874,1197 Sutter Avenue,5168,,"Mexican, American, Latinx, Latin American",,33.0,4247.0
Dawn of Glory,40.683580,-73.886647,Jamaica Avenue at Cleveland Street,1188,,"Italian, American",,1.0,3889.0
Horace Greeley,40.748582,-73.988369,32nd Street and Broadway,382,,American,,1.0,834.0
Mathematical Star,40.680646,-73.946152,Marcy Avenue and MacDonough Street,6371,,"Woman, British",Miotto Mosaics Art Studios,1.0,1854.0
A Bird Named Goldilocks,"40.617039,",-74.104491,Clove Road and Victory Boulevard,1523,,"Woman, American",,1.0,319.0
Clason Point World War I Memorial,40.813472,-73.858085,"Soundview Avenue, Underhill Avenue and Patterson Avenue",1483,,"Italian, American",,100.0,3499.0
Korean War Veterans Memorial,40.609816,-74.103233,Ocean Terrace and Milford Drive,5826,,,,1.0,1019.0
Lower East Side War Memorial,40.714211,-73.989996,East Broadway and Rutgers Street,2648,,American,,,
&José Julián Martí,40.766056,-73.976083,Avenue of the Americas and West 59th Street,"2773, 3190",,"Woman, American",,1.0,1111.0
Corporal George J. Wellbrock Memorial,40.678870,-73.833569,"Rockaway Boulevard, 106th Street & 109th Avenue",,,,"Geo. H. Noll & Son, Brooklyn, NY",1.0,11473.0
Japanese Cherry Tree Tablet,40.813440,-73.963047,West 122nd St and Riverside Drive,652,,Japanese,,1.0,1994.0
Dragon Fountain,40.658575,-73.963069,Ocean Avenue and Lincoln Road,4641,,American,,1.0,1117.0
Ephraim Elmer Ellsworth,40.733722,40.733722,"Christopher Street, Grove Street & West 4th Street",1314,,,,87.0,592.0
General Horace Porter,40.8131333,-73.9630609,Riverside Drive and 122nd Street,,,,,100.0,1897.0
Dante Alighieri@,40.771763,-73.98256,Broadway and 63rd Street,674,,Italian,,1.0,1116.0
