longitude,comparable_rental_2_market_value_per_sqft,comparable_rental_2_neighborhood,comparable_rental_1_address,bronx_cooperatives_comparable_properties_year_built,comparable_rental_1_est_gross_income,bronx_cooperatives_comparable_properties_building_classification,latitude-bronx_cooperatives_comparable_properties_gross_income_per_sqft
-73.826163,,,"{'latitude': '40.88038240123', 'longitude': '-73.904333150882', 'human_address': '{""address"": ""225 232 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1939,842281,D4-ELEVATOR,40.842087-9.1
-73.893605,39.0,BEDFORD PARK/NORWOOD,"{'latitude': '40.883224074985', 'longitude': '-73.914535548986', 'human_address': '{""address"": ""636 231 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1925,256506,C6-WALK-UP,40.820123-10.2
-73.909777,51.0,RIVERDALE,"{'latitude': '40.883961568175', 'longitude': '-73.911511205264', 'human_address': '{""address"": ""3220 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1961,1155727,D4-ELEVATOR,40.889213-11.5
-73.891027,32.2,EAST TREMONT,"{'latitude': '40.847768862971', 'longitude': '-73.894661913236', 'human_address': '{""address"": ""2005 MONTEREY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1911,178769,D4-ELEVATOR,40.848002-11.5
-73.883715,98.0,KINGSBRIDGE HTS/UNIV HTS,"{'latitude': '40.856473248628', 'longitude': '-73.885857632554', 'human_address': '{""address"": ""2463 HUGHES AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1993,170750,C6-WALK-UP,40.839785-15.19
-73.889491,24.08,PELHAM PARKWAY NORTH,"{'latitude': '40.842386268028', 'longitude': '-73.893991003208', 'human_address': '{""address"": ""1803 CROTONA PARK"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1968,2946500,D4-ELEVATOR,40.882649-9.3
-73.913588,55.0,RIVERDALE,"{'latitude': '40.885270655874', 'longitude': '-73.907787840625', 'human_address': '{""address"": ""511 235 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954,763082,D4-ELEVATOR,40.884599-12.5
-73.899147,46.5,KINGSBRIDGE/JEROME PARK,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2315 DR"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1930,539977,D4-ELEVATOR,40.891826-12.85
-73.913036,40.1,RIVERDALE,"{'latitude': '40.883961568175', 'longitude': '-73.911511205264', 'human_address': '{""address"": ""3220 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1963,1155727,D4-ELEVATOR,40.8889-11.1
-73.861649,35.0,RIVERDALE,"{'latitude': '40.855584960591', 'longitude': '-73.862859391516', 'human_address': '{""address"": ""2160 MATTHEWS AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1967,1586254,D4-ELEVATOR,40.877177-10.8
-73.916802,,,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2675 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1962,1016704,D4-ELEVATOR,40.879571-10.5
-73.886952,34.4,BEDFORD PARK/NORWOOD,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2860 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1914,195207,D4-ELEVATOR,40.876422-9.22
-73.875725,18.88,BRONXDALE,"{'latitude': '40.859362051632', 'longitude': '-73.868536757872', 'human_address': '{""address"": ""2280 OLINVILLE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1961,2788505,D4-ELEVATOR,40.856629-10.9
-73.887834,29.5,FORDHAM,"{'latitude': '40.85290268676', 'longitude': '-73.887000226716', 'human_address': '{""address"": ""2310 BELMONT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1905,217800,C6-WALK-UP,40.855226-9.5
-73.8954,40.1,RIVERDALE,"{'latitude': '40.824713393806', 'longitude': '-73.860838048888', 'human_address': '{""address"": ""950 UNDERHILL AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1963,1778511,D4-ELEVATOR,40.885301-11.0
,33.8,KINGSBRIDGE/JEROME PARK,"{'latitude': '40.82652056239', 'longitude': '-73.88151699495', 'human_address': '{""address"": ""1130 COLGATE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1926,754197,C6-WALK-UP,nan-9.95
-73.91107,24.81,MOUNT HOPE/MOUNT EDEN,"{'latitude': '40.849071892942', 'longitude': '-73.908257553873', 'human_address': '{""address"": ""1881 MORRIS AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1928,448128,D4-ELEVATOR,40.842154-7.78
-73.88556,38.2,BEDFORD PARK/NORWOOD,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""222 BEDFORD PARK"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1937,651937,D4-ELEVATOR,40.872369-9.73
-73.901803,36.0,MELROSE/CONCOURSE,"{'latitude': '40.823777854374', 'longitude': '-73.901469427661', 'human_address': '{""address"": ""991 UNION AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1905,198540,C6-WALK-UP,40.829951-11.0
,,,"{'latitude': '40.829935747999', 'longitude': '-73.913950765142', 'human_address': '{""address"": ""320 166 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1918,170397,C6-WALK-UP,nan-7.05
-73.830415,38.3,SCHUYLERVILLE/PELHAM BAY,"{'latitude': '40.852503424205', 'longitude': '-73.829825319969', 'human_address': '{""address"": ""2025 CONTINENTAL AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1970,485856,D4-ELEVATOR,40.85552-9.25
-73.923275,,,"{'latitude': '40.833150550279', 'longitude': '-73.926444222039', 'human_address': '{""address"": ""1038 ANDERSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1922,1037361,C6-WALK-UP,40.84214-8.76
-73.836703,27.8,PARKCHESTER,"{'latitude': '40.820197407179', 'longitude': '-73.922995025471', 'human_address': '{""address"": ""2950 PARK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1965,3102925,D4-ELEVATOR,40.879631-10.7
-73.875484,21.71,KINGSBRIDGE HTS/UNIV HTS,"{'latitude': '40.860071423502', 'longitude': '-73.896856488462', 'human_address': '{""address"": ""2425 VALENTINE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1928,423911,C6-WALK-UP,40.825103-9.3
-73.826436,,,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3555 BRUCKNER BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1963,1216063,D4-ELEVATOR,40.845216-10.9
-73.885534,29.7,BEDFORD PARK/NORWOOD,"{'latitude': '40.865535201314', 'longitude': '-73.90206874587', 'human_address': '{""address"": ""2533 AQUEDUCT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1911,177870,D4-ELEVATOR,40.841261-8.81
-73.896621,30.5,BELMONT,"{'latitude': '40.829761589995', 'longitude': '-73.91201608211', 'human_address': '{""address"": ""1100 CLAY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1931,140095,C6-WALK-UP,40.816566-10.09
-73.912359,40.5,RIVERDALE,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2675 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1955,1016704,D4-ELEVATOR,40.88445-11.2
-73.923332,34.9,HIGHBRIDGE/MORRIS HEIGHTS,"{'latitude': '40.837154198837', 'longitude': '-73.923463845008', 'human_address': '{""address"": ""1197 ANDERSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1930,1338325,D4-ELEVATOR,40.836838-9.7
-73.915597,40.5,RIVERDALE,"{'latitude': '40.890261642548', 'longitude': '-73.911362719053', 'human_address': '{""address"": ""3950 BLACKSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954,2694049,D4-ELEVATOR,40.888713-11.1
-73.912883,49.0,RIVERDALE,"{'latitude': '40.886395819768', 'longitude': '-73.908274631718', 'human_address': '{""address"": ""530 236 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1963,1327517,D4-ELEVATOR,40.889874-13.0
,38.2,BEDFORD PARK/NORWOOD,"{'latitude': '40.872917301805', 'longitude': '-73.88514514725', 'human_address': '{""address"": ""253 202 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1963,1043895,D4-ELEVATOR,nan-9.13
-73.902624,,,"{'latitude': '40.834425290647', 'longitude': '-73.925443782445', 'human_address': '{""address"": ""1088 ANDERSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1924,380628,C6-WALK-UP,40.812556-10.5
-73.865208,41.1,PELHAM PARKWAY SOUTH,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3555 BRUCKNER BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1960,1216063,D4-ELEVATOR,40.836194-9.19
-73.920165,34.4,RIVERDALE,"{'latitude': '40.857436781999', 'longitude': '-73.896720003742', 'human_address': '{""address"": ""2332 TIEBOUT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1955,1190140,D4-ELEVATOR,40.883051-9.98
,55.0,RIVERDALE,"{'latitude': '40.883961568175', 'longitude': '-73.911511205264', 'human_address': '{""address"": ""3220 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1953,1155727,D4-ELEVATOR,nan-11.75
-73.861578,40.4,BELMONT,"{'latitude': '40.82421594733', 'longitude': '-73.917092858542', 'human_address': '{""address"": ""3141 PARK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1971,3231702,D4-ELEVATOR,40.876864-10.29
-73.845527,27.5,WESTCHESTER,"{'latitude': '40.840171993013', 'longitude': '-73.844781534865', 'human_address': '{""address"": ""1443 OVERING STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1926,314525,C6-WALK-UP,40.840775-7.36
-73.900756,32.3,BEDFORD PARK/NORWOOD,"{'latitude': '40.833020310279', 'longitude': '-73.911140953192', 'human_address': '{""address"": ""1230 TELLER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1959,662211,D4-ELEVATOR,40.872985-9.56
-73.906312,36.4,MELROSE/CONCOURSE,"{'latitude': '40.833634922982', 'longitude': '-73.913585743774', 'human_address': '{""address"": ""275 168 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1917,202615,C6-WALK-UP,40.827831-10.9
-73.916252,54.0,MOTT HAVEN/PORT MORRIS,"{'latitude': '40.806487347303', 'longitude': '-73.917757566069', 'human_address': '{""address"": ""215 ST ANN\'S AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1926,103917,C6-WALK-UP,40.831437-8.3
-73.893894,38.2,BEDFORD PARK/NORWOOD,"{'latitude': '40.858867944165', 'longitude': '-73.90138611632', 'human_address': '{""address"": ""2324 MORRIS AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1915,405280,D4-ELEVATOR,40.825105-10.2
-73.891926,25.0,HUNTS POINT,"{'latitude': '40.822960584514', 'longitude': '-73.896908557146', 'human_address': '{""address"": ""993 INTERVALE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1925,176620,C6-WALK-UP,40.826341-8.15
-73.900475,30.4,FORDHAM,"{'latitude': '40.857919525087', 'longitude': '-73.897691638469', 'human_address': '{""address"": ""2340 VALENTINE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1928,435567,D4-ELEVATOR,40.860565-9.5
-73.920721,19.92,MELROSE/CONCOURSE,"{'latitude': '40.819441200414', 'longitude': '-73.916287131412', 'human_address': '{""address"": ""681 MELROSE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1924,179153,C6-WALK-UP,40.834706-8.03
-73.904077,,,"{'latitude': '40.885146854323', 'longitude': '-73.907410007235', 'human_address': '{""address"": ""500 235 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1966,1103392,D4-ELEVATOR,40.887136-12.93
-73.917362,36.2,RIVERDALE,"{'latitude': '40.883961568175', 'longitude': '-73.911511205264', 'human_address': '{""address"": ""3220 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1970,1155727,D4-ELEVATOR,40.882818-11.0
-73.898,33.8,EAST TREMONT,"{'latitude': '40.826180186611', 'longitude': '-73.9167894267', 'human_address': '{""address"": ""299 162 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1910,174160,C6-WALK-UP,40.830906-9.92
,20.29,MELROSE/CONCOURSE,"{'latitude': '40.840117808403', 'longitude': '-73.926117386959', 'human_address': '{""address"": ""256 169 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1928,205905,D4-ELEVATOR,nan-7.2
,24.58,MORRISANIA/LONGWOOD,"{'latitude': '40.836402967571', 'longitude': '-73.923948982326', 'human_address': '{""address"": ""1172 ANDERSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1941,239966,D4-ELEVATOR,nan-7.9
-73.876617,36.2,WILLIAMSBRIDGE,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1718 GRAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1962,492194,D4-ELEVATOR,40.880718-10.72
-73.921631,41.6,RIVERDALE,"{'latitude': '40.887600254178', 'longitude': '-73.90868609313', 'human_address': '{""address"": ""3660 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1958,1184173,D4-ELEVATOR,40.881594-11.25
-73.91575,49.0,RIVERDALE,"{'latitude': '40.886395819768', 'longitude': '-73.908274631718', 'human_address': '{""address"": ""530 236 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1963,1327517,D4-ELEVATOR,40.887821-13.6
-73.884744,98.0,KINGSBRIDGE HTS/UNIV HTS,"{'latitude': '40.856473248628', 'longitude': '-73.885857632554', 'human_address': '{""address"": ""2463 HUGHES AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1993,170750,C6-WALK-UP,40.840393-15.19
-73.886771,37.4,KINGSBRIDGE HTS/UNIV HTS,"{'latitude': '40.859643051503', 'longitude': '-73.897031514467', 'human_address': '{""address"": ""2407 VALENTINE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1927,344413,C6-WALK-UP,40.848829-9.3
,38.2,BEDFORD PARK/NORWOOD,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""222 BEDFORD PARK"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1939,651937,D4-ELEVATOR,nan-9.73
-73.892873,26.3,SOUNDVIEW,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1749 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1949,3756652,D4-ELEVATOR,40.884846-8.24
,21.15,BATHGATE,"{'latitude': '40.848404849313', 'longitude': '-73.896347774299', 'human_address': '{""address"": ""1975 BATHGATE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1941,298480,D4-ELEVATOR,nan-8.8
-73.898333,40.5,RIVERDALE,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2675 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1960,1016704,D4-ELEVATOR,40.903959-11.0
,29.8,EAST TREMONT,"{'latitude': '40.854549288043', 'longitude': '-73.897739252095', 'human_address': '{""address"": ""2180 FOLIN STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1966,1621667,D4-ELEVATOR,nan-11.5
-73.925032,36.0,MORRISANIA/LONGWOOD,"{'latitude': '40.829214581576', 'longitude': '-73.914470198207', 'human_address': '{""address"": ""1041 FINDLAY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1924,770446,D4-ELEVATOR,40.825717-7.0
,24.74,KINGSBRIDGE HTS/UNIV HTS,"{'latitude': '40.859722357314', 'longitude': '-73.905450123385', 'human_address': '{""address"": ""55 EVELYN PLACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1936,338327,D4-ELEVATOR,nan-7.85
-73.875724,46.7,RIVERDALE,"{'latitude': '40.870675595369', 'longitude': '-73.902640773202', 'human_address': '{""address"": ""2735 SEDGWICK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954,1626007,D4-ELEVATOR,40.880577-10.13
-73.899443,35.1,BEDFORD PARK/NORWOOD,"{'latitude': '40.837701864035', 'longitude': '-73.919343501375', 'human_address': '{""address"": ""8 169 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1924,421877,C6-WALK-UP,40.813725-10.7
-73.90316,33.5,RIVERDALE,"{'latitude': '40.88038240123', 'longitude': '-73.904333150882', 'human_address': '{""address"": ""225 232 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1931,842281,D4-ELEVATOR,40.888544-9.9
-73.908042,26.7,SOUNDVIEW,"{'latitude': '40.840123918002', 'longitude': '-73.882055711337', 'human_address': '{""address"": ""2008 BRYANT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1961,2344833,D4-ELEVATOR,40.881195-10.25
-73.92099,22.47,MELROSE/CONCOURSE,"{'latitude': '40.82861141153', 'longitude': '-73.919840482165', 'human_address': '{""address"": ""960 SHERIDAN AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1940,502041,D4-ELEVATOR,40.833765-7.3
-73.865879,,,"{'latitude': '40.85151387209', 'longitude': '-73.866826178161', 'human_address': '{""address"": ""2039 CRUGER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1933,706898,D4-ELEVATOR,40.850964-8.68
-73.890311,27.9,MORRISANIA/LONGWOOD,"{'latitude': '40.818192753067', 'longitude': '-73.906248950842', 'human_address': '{""address"": ""751 156 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1913,180142,C6-WALK-UP,40.822031-9.5
,43.3,MORRISANIA/LONGWOOD,"{'latitude': '40.829214581576', 'longitude': '-73.914470198207', 'human_address': '{""address"": ""1041 FINDLAY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1929,770446,D4-ELEVATOR,nan-7.64
-73.897111,47.3,RIVERDALE,"{'latitude': '40.878974479573', 'longitude': '-73.907338647933', 'human_address': '{""address"": ""3044 KINGSBRIDGE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1958,338345,C6-WALK-UP,40.89871-9.85
,32.5,MOUNT HOPE/MOUNT EDEN,"{'latitude': '40.852197110553', 'longitude': '-73.907498623411', 'human_address': '{""address"": ""55 179 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1924,279943,C6-WALK-UP,nan-9.44
-73.906827,40.1,RIVERDALE,"{'latitude': '40.892626839154', 'longitude': '-73.909948914284', 'human_address': '{""address"": ""600 246 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1961,8181864,D4-ELEVATOR,40.906656-13.8
-73.875714,28.6,BEDFORD PARK/NORWOOD,"{'latitude': '40.846607609863', 'longitude': '-73.907384664864', 'human_address': '{""address"": ""1790 WEEKS AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1967,426704,D4-ELEVATOR,40.89581-10.7
-73.828582,,,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""16 RICHMAN PLAZA"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1969,17497552,D4-ELEVATOR,40.869472-10.07
-73.896857,31.2,CROTONA PARK,"{'latitude': '40.826061396427', 'longitude': '-73.895372998396', 'human_address': '{""address"": ""900 167 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1925,217466,C6-WALK-UP,40.824941-9.93
,39.1,KINGSBRIDGE/JEROME PARK,"{'latitude': '40.883027623383', 'longitude': '-73.903498835243', 'human_address': '{""address"": ""3425 KINGSBRIDGE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1974,581072,D4-ELEVATOR,nan-11.0
-73.910632,28.9,RIVERDALE,"{'latitude': '40.901548992376', 'longitude': '-73.901753307327', 'human_address': '{""address"": ""5400 FIELDSTON ROAD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1941,1502438,D4-ELEVATOR,40.880475-9.0
,56.0,HIGHBRIDGE/MORRIS HEIGHTS,"{'latitude': '40.83333596527', 'longitude': '-73.912884260849', 'human_address': '{""address"": ""288 168 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1907,240902,C6-WALK-UP,nan-8.29
,31.5,EAST TREMONT,"{'latitude': '40.843235160415', 'longitude': '-73.879194673825', 'human_address': '{""address"": ""999 180 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1959,3148678,D4-ELEVATOR,nan-10.68
,29.8,EAST TREMONT,"{'latitude': '40.845219086535', 'longitude': '-73.882815979207', 'human_address': '{""address"": ""883 180 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1972,2602478,D4-ELEVATOR,nan-12.5
-73.909625,40.5,RIVERDALE,"{'latitude': '40.882995283021', 'longitude': '-73.903440283547', 'human_address': '{""address"": ""3424 KINGSBRIDGE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1955,1424321,D4-ELEVATOR,40.886839-11.5
-73.90692,33.5,RIVERDALE,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2728 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1939,1967368,D4-ELEVATOR,40.902201-11.8
-73.904958,39.0,RIVERDALE,"{'latitude': '40.886395819768', 'longitude': '-73.908274631718', 'human_address': '{""address"": ""530 236 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1951,1327517,D4-ELEVATOR,40.888257-12.5
-73.882285,24.99,BEDFORD PARK/NORWOOD,"{'latitude': '40.866470927441', 'longitude': '-73.890170863277', 'human_address': '{""address"": ""314 196 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1931,215730,C6-WALK-UP,40.838969-8.17
-73.869411,20.24,BRONXDALE,"{'latitude': '40.8738024884', 'longitude': '-73.862386094326', 'human_address': '{""address"": ""831 BARTHOLDI STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1963,783691,D4-ELEVATOR,40.861793-10.45
