bronx_cooperatives_comparable_properties_boro_block_lot,bin,comparable_rental_1_gross_income_per_sqft,comparable_rental_2_est_gross_income,bronx_cooperatives_comparable_properties_total_units,bronx_cooperatives_comparable_properties_neighborhood,comparable_rental_1_building_classification
2-05716-0500,2083245.0,12.84,2155015.0,339,RIVERDALE,D7-ELEVATOR
2-02479-0001,2002954.0,7.59,340036.0,59,MELROSE/CONCOURSE,D1-ELEVATOR
2-02683-0052,2005088.0,9.52,187639.0,19,MORRISANIA/LONGWOOD,C1-WALK-UP
2-03218-0 074,,7.85,391028.0,42,KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR
2-02488-0036,2003002.0,15.68,206801.0,44,MELROSE/CONCOURSE,C7-WALK-UP
2-02508-0026,2003142.0,7.61,547873.0,50,HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR
2-03900-0039,2092912.0,8.8,1296917.0,169,PARKCHESTER,D3-ELEVATOR
2-05736-0006,2083403.0,10.18,1155727.0,73,RIVERDALE,D1-ELEVATOR
2-04319-0030,2049407.0,11.27,722189.0,93,PELHAM PARKWAY SOUTH,D1-ELEVATOR
2-02698-0063,2005367.0,11.39,183252.0,20,MORRISANIA/LONGWOOD,C1-WALK-UP
2-05904-0246,2085779.0,12.03,1009310.0,49,RIVERDALE,D1-ELEVATOR
2-05826-1685,2084558.0,12.03,1009310.0,76,FIELDSTON,D1-ELEVATOR
2-02511-0027,,12.08,172789.0,16,HIGHBRIDGE/MORRIS HEIGHTS,C7-WALK-UP
2-02861-0119,2008370.0,6.89,336063.0,42,HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR
2-02603-0024,2004128.0,10.63,,29,MORRISANIA/LONGWOOD,C1-WALK-UP
2-04343-0001,2093353.0,6.14,2788505.0,168,PELHAM PARKWAY NORTH,D1-ELEVATOR
2-05911-1102,2085811.0,8.7,236069.0,52,RIVERDALE,C1-WALK-UP
2-02931-0098,,8.17,278611.0,35,MORRISANIA/LONGWOOD,D1-ELEVATOR
2-03095-0007,2012658.0,10.56,216376.0,30,EAST TREMONT,D3-ELEVATOR
2-05716-0265,2083231.0,9.45,4500755.0,69,RIVERDALE,D3-ELEVATOR
2-04508-0010,2053536.0,8.55,623376.0,66,BRONXDALE,D1-ELEVATOR
2-03030-0143,2011164.0,10.61,196664.0,20,BATHGATE,C1-WALK-UP
2-02663-0011,2004745.0,10.67,187639.0,20,MORRISANIA/LONGWOOD,C7-WALK-UP
2-02717-0070,2005688.0,8.33,100287.0,13,MORRISANIA/LONGWOOD,C4-WALK-UP
2-02290-0001,,7.74,,13,MOTT HAVEN/PORT MORRIS,C7-WALK-UP
2-03100-0018,2012788.0,9.31,184627.0,20,BELMONT,C1-WALK-UP
2-03280-0013,2016434.0,10.83,,74,BEDFORD PARK/NORWOOD,D1-ELEVATOR
2-02867-0047,2008501.0,10.54,994267.0,87,HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR
02727-,2005804.0,8.03,180315.0,26,MORRISANIA/LONGWOOD,C7-WALK-UP
2-05135-0051,,10.95,,4470,CO-OP CITY,D3-ELEVATOR
2-04317-0006,,7.73,683418.0,61,PELHAM PARKWAY SOUTH,D1-ELEVATOR
2-03252-0287,,10.34,1216063.0,145,KINGSBRIDGE/JEROME PARK,D3-ELEVATOR
2-03383-0001,2019336.0,11.03,864442.0,108,WOODLAWN,D1-ELEVATOR
2-04653-0049,2057550.0,9.96,1694221.0,166,WILLIAMSBRIDGE,D3-ELEVATOR
2-03252-0268,,8.9,528968.0,50,KINGSBRIDGE/JEROME PARK,D1-ELEVATOR
2-03326-0045,,9.63,473326.0,65,BEDFORD PARK/NORWOOD,C1-WALK-UP
2-02791-0054,2007354.0,11.46,302505.0,43,MOUNT HOPE/MOUNT EDEN,D7-ELEVATOR
2-03199-0062,2014321.0,8.77,302400.0,52,KINGSBRIDGE HTS/UNIV HTS,C1-WALK-UP
2-05912-0001,2085820.0,11.5,1745168.0,183,RIVERDALE,D1-ELEVATOR
2-05909-0152,,15.51,793018.0,52,RIVERDALE,D3-ELEVATOR
2-02861-0114,2008369.0,7.99,885762.0,65,HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR
2-03130-0007,,14.07,93225.0,24,EAST TREMONT,C1-WALK-UP
2-04593-0036,2056161.0,9.56,126474.0,37,BRONXDALE,C1-WALK-UP
2-05259-0016,2072463.0,12.04,2239219.0,208,BAYCHESTER,D3-ELEVATOR
2-02360-0070,,8.25,489483.0,46,MORRISANIA/LONGWOOD,C7-WALK-UP
2-02375-0029,,9.52,,25,MORRISANIA/LONGWOOD,C1-WALK-UP
2-04298-0022,2048981.0,9.14,1233499.0,92,PELHAM PARKWAY SOUTH,D1-ELEVATOR
2-02301-0004,,11.78,75861.0,11,MOTT HAVEN/PORT MORRIS,C7-WALK-UP
2-05799-0073,2084204.0,11.08,1155727.0,90,RIVERDALE,D3-ELEVATOR
2-05628-0008,,17.55,100417.0,12,CITY ISLAND,C1-WALK-UP
2-02722-0001,2087653.0,15.03,125433.0,18,MORRISANIA/LONGWOOD,C7-WALK-UP
