fullapplicationno,applicationdate,wheelbase,loadlength,trailermake,endstate,axle8weight,startcountyline,startzipcode,axle11space,endstreetaddress,issuedate,axle7weight,axle7space,startstate,descriptionofload,permitdateto
New-2023517-20862,2023-05-17T16:35:24.000Z,36.09,57.07,,NY,,NYC/NASSAU LINE @ I-495,11111,,125 BARCLAY ST,2023-05-18T15:53:04.000Z,,,NY,CD#5180 SELF PROPELLED TRUCK CRANE LIEBHERR LTM-1250-1 S/N 71819,2023-05-20T00:00:00.000Z
HAR-2023912-30784,2023-09-12T13:52:51.000Z,70.02,55.0,XL,NY,,GEORGE WASHINGTON BRIDGE,11111,,47TH ST & MADISON AVE,2023-09-13T13:54:29.000Z,,,NY,STEEL FRAME,2023-09-15T00:00:00.000Z
Hig-2022318-9702,2022-03-18T16:19:24.000Z,60.0,48.0,FONTAINE,NY,,,10457,,,2022-03-21T14:33:38.000Z,,,NY,EMPTY,2022-03-23T00:00:00.000Z
BAR-2021719-20382,2021-07-19T22:33:24.000Z,71.03,55.0,FONTAINE,NY,,NASSAU LINE @ I495,11111,,,2021-07-20T11:45:18.000Z,7000.0,5.0,NY,UNLADEN TRAILER,2021-07-23T00:00:00.000Z
Blu-2021927-29244,2021-09-27T10:53:18.000Z,54.0,53.0,GREAT DANE,NY,,,11101,,280 Calyer St,2021-09-29T11:42:40.000Z,,,NY,FILM INDUSTRY - CAMERA TRUCK FOR ACTORS & BACKGROUND,2021-10-02T00:00:00.000Z
UNT2-202214-152,2022-01-04T11:11:37.000Z,51.02,47.03,VIKING,NY,,,11205,,23-19 44th Dr.,2022-01-04T11:39:07.000Z,,,NY,TRACTOR/6 STA HMU TRAILER WITH ONBOARD GENERATOR,2022-01-06T00:00:00.000Z
HAR-202346-15404,2023-04-06T15:21:32.000Z,70.0,50.0,NUTTALL,NY,,,10017,,,2023-04-10T09:50:32.000Z,,,NY,EMPTY TRAILER,2023-04-12T00:00:00.000Z
Mut-202346-15454,2023-04-06T17:11:02.000Z,53.02,48.0,Talbert,NY,,,11111,,,2023-04-07T10:07:30.000Z,,,NY,Empty TRAILER,2023-04-11T00:00:00.000Z
Mut-20221011-39970,2022-10-11T15:59:11.000Z,77.02,60.0,ICON,NY,6444.0,,11111,,,2022-10-12T15:38:57.000Z,6444.0,2.09,NY,Modular Home Make:ICON 3349B,2022-10-14T00:00:00.000Z
Com-2023428-18696,2023-04-28T17:35:32.000Z,64.0,32.05,PITTS,NY,,,11222,,,2023-05-02T14:35:28.000Z,,,NY,EXCAVATOR - KOMATSU PC 220LC-8,2023-05-04T00:00:00.000Z
Hig-20211115-35781,2021-11-15T13:23:03.000Z,65.01,53.0,XL,NY,,,10314,,,2021-11-16T10:55:54.000Z,,,NY,EMPTY,2021-11-18T00:00:00.000Z
HAR-20231116-36933,2023-11-16T14:35:49.000Z,70.06,55.0,TRAILMOBILE,NY,,,10017,,,2023-11-17T11:20:50.000Z,,,NY,STEEL FRAME,2023-11-21T00:00:00.000Z
Hor1-202415-577,2024-01-05T11:50:49.000Z,56.05,47.0,PLAY MORE,NY,,,11222,,919 3RD AVENUE,2024-01-05T13:04:52.000Z,,,NY,2-RM CAMPER #3 (STAR TRL),2024-01-09T00:00:00.000Z
Twe1-2022426-15722,2022-04-26T11:20:05.000Z,50.0,53.0,Hyundai,NY,,,11236,,1095 Broadway,2022-04-26T13:27:39.000Z,,,NY,Grip Trailer with work bench,2022-04-28T00:00:00.000Z
HAR-2022216-5397,2022-02-16T09:16:49.000Z,70.06,55.0,HOBBS,NY,,GEORGE WASHINGTON BRIDGE I95,11111,,47TH ST & MADISON AVE,2022-02-17T10:32:16.000Z,,,NY,STEEL FRAME,2022-02-22T00:00:00.000Z
Wes-20221017-40772,2022-10-17T11:17:02.000Z,69.08,36.11,TALBERT,NY,,NASSAU COUNTY LINE @ NY-24,11003,,,2022-10-18T14:56:20.000Z,17666.0,4.06,NY,"HAUL TRUCK, VOLVO, A40G",2022-10-20T00:00:00.000Z
HAR-202277-25921,2022-07-07T10:17:15.000Z,63.06,48.0,WILSON,NY,,NASSAU COUNTY LINE/ I495,11111,,,2022-07-08T09:51:11.000Z,,,NY,EMPTY TRAILER,2022-07-12T00:00:00.000Z
Gra-2023222-8641,2023-02-22T11:35:33.000Z,63.0,53.0,BEL,NY,,,11205,,121 Provost st,2023-02-22T14:35:54.000Z,,,NY,2 room pop out with genny,2023-02-24T00:00:00.000Z
209-2023216-7943,2023-02-16T12:44:26.000Z,58.0,48.0,GREAT DANE,NY,,,11354,,1000 SURF AVENUE,2023-02-16T15:50:30.000Z,,,NY,ELECTRIC EQUIPMENT WITH FIXED GENERATOR,2023-02-22T00:00:00.000Z
THE1-2023327-13823,2023-03-27T21:10:14.000Z,72.02,53.0,MANAC,NY,,,10455,,,2023-03-28T10:04:48.000Z,7834.0,4.08,NY,EMPTY TRAILER W/ TRAILER STACKED ( APP# 13814),2023-03-30T00:00:00.000Z
Blu-2022824-32860,2022-08-24T13:30:42.000Z,54.0,53.0,GREAT DANE,NY,,,11101,,62 W 55th St (btw 5th & 6th Aves),2022-08-24T14:05:56.000Z,,,NY,FILM INDUSTRY - WARDROBE TRUCK FOR ACTORS & BACKGROUND,2022-08-26T00:00:00.000Z
All1-20221110-44852,2022-11-10T16:06:51.000Z,57.02,50.0,Wabash,NY,,GWB,7024,,30 Lincoln Center,2022-11-17T13:28:09.000Z,,,NY,TV Equipment Truck,2022-11-19T00:00:00.000Z
HAR-2023217-8195,2023-02-17T14:18:53.000Z,59.0,50.0,FONTAINE,NY,,,10017,,,2023-02-21T10:13:11.000Z,,,NY,EMPTY TRAILER,2023-02-23T00:00:00.000Z
HAR-202352-18921,2023-05-02T10:43:12.000Z,63.06,48.0,TRANSCRAFT,NY,,,10017,,,2023-05-03T10:59:01.000Z,,,NY,EMPTY TRAILER,2023-05-05T00:00:00.000Z
Con3-202388-27852,2023-08-08T08:54:42.000Z,53.06,50.0,GREAT DAME,NY,,,10462,,1650 WHITE PLAINS ROAD,2023-08-08T09:15:35.000Z,,,NY,TRANSPORTING UTILITY POLE,2023-08-08T00:00:00.000Z
Mut-2022114-43941,2022-11-04T14:31:00.000Z,34.05,56.09,,NY,,GWB 95,11111,,50 Rockefeller Plaza,2022-11-10T14:57:49.000Z,,,NY,Mobile Crane Liebherr LTM 1300-6.2.CD#5055,2022-11-12T00:00:00.000Z
Gho-2022427-16047,2022-04-27T17:24:03.000Z,59.08,48.0,FREIGHTLINER,NY,,,11205,,E 54th Street @ 2nd Avenue,2022-04-28T13:19:23.000Z,,,NY,Grip Truck with fixed generator for film production,2022-04-30T00:00:00.000Z
For-2022917-36180,2022-09-17T08:19:57.000Z,60.11,53.0,SCENIC VIEW,NY,,WESTCHESTER LINE I87,11111,,,2022-09-19T11:45:53.000Z,,,NY,"6 STORAGE SHEDS END TO END, MAKE: LANTZ, MODEL: AFRAME, SERIAL # 1169",2022-09-21T00:00:00.000Z
CBS4-2021818-24035,2021-08-18T11:03:15.000Z,51.06,40.0,Great Dane,NY,,,11211,,114 west 27th street,2021-08-18T11:28:22.000Z,,,NY,Grip Trailer with Generator,2021-08-20T00:00:00.000Z
HAR-202361-22173,2023-06-01T13:45:29.000Z,68.0,40.0,NUTTALL,NY,19500.0,GEORGE WASHINGTON BRIDGE,11111,,47TH ST & MADISON AVE,2023-06-02T10:40:49.000Z,19500.0,4.06,NY,STEEL FRAME,2023-06-06T00:00:00.000Z
Eli-2021830-25832,2021-08-30T18:45:48.000Z,61.09,64.0,WillScot,NY,,I495/ Nassau Line,10000,,,2021-09-01T14:22:24.000Z,7000.0,4.06,NY,Mobile Home WillScot 2020 Serial#MDS008803,2021-09-02T00:00:00.000Z
Amb-20221011-39908,2022-10-11T13:55:38.000Z,50.0,53.0,HAU,NY,,,11378,,515 West 42nd St,2022-10-13T10:00:02.000Z,,,NY,Film Production - Hair/Make-Up,2022-10-18T00:00:00.000Z
HAR-2022126-48067,2022-12-06T08:01:32.000Z,68.0,40.0,TALBERT,NY,14850.0,GEORGE WASHINGTON BRIDGE,11111,,47TH ST & MADISON AVE,2022-12-07T10:05:05.000Z,14850.0,4.06,NY,STEEL FRAME,2022-12-09T00:00:00.000Z
Gho-202189-22813,2021-08-09T09:16:15.000Z,44.04,45.0,Space Craft,NY,,,11705,,Chambers St @ West St,2021-08-09T12:00:26.000Z,,,NY,2 Room/STar Trailer #2,2021-08-11T00:00:00.000Z
JOH-2021926-29166,2021-09-26T18:24:26.000Z,49.05,47.0,UTILITY,NY,,,11205,,5TH AVE @ WAVERLY PLACE,2021-09-27T08:41:41.000Z,,,NY,FILM INDUSTRY  GENERATOR ELECTRIC TRUCK,2021-09-29T00:00:00.000Z
JOH-2021101-29979,2021-10-01T07:22:40.000Z,53.0,40.0,PLAYMOR,NY,,,11205,,1535 BROADWAY,2021-10-01T15:05:34.000Z,,,NY,FILM INDUSTRY 2 ROOM CAST TRAILER  FUELER,2021-10-05T00:00:00.000Z
Mut-2022122-47711,2022-12-02T15:33:15.000Z,62.07,44.0,East,NY,,GWB I95,11111,,540 Kingsland Ave,2022-12-05T14:58:49.000Z,,,NY,Marco Conveyors 44 Industrial Conveyor,2022-12-06T00:00:00.000Z
HAR-20221110-44663,2022-11-10T08:20:35.000Z,70.02,55.0,FONTAINE,NY,,GEORGE WASHINGTON BRIDGE,11111,,47TH ST & MADISON AVE,2022-11-14T10:59:52.000Z,,,NY,STEEL FRAME,2022-11-16T00:00:00.000Z
Wes-2022323-10410,2022-03-23T12:33:24.000Z,65.03,20.0,CHEROKEE,NY,,NASSAU COUNTY LINE @ I-495,10033,,HARRISON ST & WEST ST,2022-03-24T11:09:25.000Z,,,NY,"COOLING TOWER, MARLEY, SPX",2022-03-26T00:00:00.000Z
Mut-202244-12030,2022-04-04T09:45:24.000Z,67.06,23.08,Fontaine,NY,,GWB  I95,22222,,,2022-04-08T14:32:48.000Z,,,NY,-TIGG WATER FILTRATION TANK MODEL : CP-40K-12,2022-04-12T00:00:00.000Z
Onl-2022128-48615,2022-12-08T09:38:40.000Z,36.0,48.0,STOUGHTON,NY,,,11385,,156 West 56th St,2022-12-08T11:41:20.000Z,,,NY,FILM PRODUCTION - ELECTRIC TRAILER,2022-12-10T00:00:00.000Z
Mut-202367-22658,2023-06-07T10:22:12.000Z,69.02,31.04,Talbert,NY,,SR 22 Provost Ave Westchester Line,11111,,,2023-06-08T14:26:20.000Z,20200.0,4.06,NY,Komatsu PC 308 USLC-3 Excavator,2023-06-10T00:00:00.000Z
MER-20211217-39519,2021-12-17T14:22:30.000Z,69.0,35.04,WALTRON,NY,,GOETHALS BRIDGE I-278,10314,,,2021-12-22T11:12:25.000Z,,,NY,BENETAU OCEANUS 32.1 BOAT,2021-12-23T00:00:00.000Z
New-20221212-49246,2022-12-12T19:22:53.000Z,86.0,59.1,FONTAINE,NY,,NJ @ GWB,11111,,,2022-12-14T14:55:21.000Z,,,NY,CONCRETE PANEL MAKE:HIGH MODEL:1249,2022-12-15T00:00:00.000Z
MRI-2023518-21064,2023-05-18T21:23:10.000Z,110.05,105.05,NELSON,NY,17000.0,NY/NJ LINE GWB,10034,,,2023-05-23T14:31:12.000Z,17000.0,7.02,NY,LIGHT PATH CAR Kawasaki PA5,2023-05-25T00:00:00.000Z
HAR-2022621-23904,2022-06-21T13:48:45.000Z,70.0,50.0,FONTAINE,NY,,,10017,,,2022-06-22T09:21:21.000Z,,,NY,EMPTY TRAILER,2022-06-24T00:00:00.000Z
JOH-2022111-43249,2022-11-01T16:40:47.000Z,60.1,53.0,GREAT DANE,NY,,I 495 LITTLE NECK PKWY/NASSAU LINE,11004,,73-50 little neck pkwy,2022-11-02T15:17:44.000Z,,,NY,FILM INDUSTRY HAIR MAKEUP,2022-11-04T00:00:00.000Z
New-2023426-18294,2023-04-26T14:46:23.000Z,71.0,33.08,MANAC,NY,,NJ @ GWB,11111,,JOBSITE @ PS 472 53-16 NORTHERN BLVD,2023-04-27T13:49:44.000Z,,,NY,CONCRETE PANEL MAKE:HIGH MODEL:1373,2023-05-01T00:00:00.000Z
MRI-20221013-40419,2022-10-13T14:35:59.000Z,110.05,105.05,NELSON,NY,17000.0,NY/NJ LINE GWB,10034,,,2022-10-18T11:12:14.000Z,17000.0,7.02,NY,LIGHT PATH CAR Kawasaki PA5,2022-10-21T00:00:00.000Z
NOV-202237-8020,2022-03-07T16:30:46.000Z,56.08,53.0,BENSON,NY,,WESTCHESTER COUNTY LINE @ I-95,11111,,,2022-03-08T10:47:51.000Z,,,NY,PREFAB WALL PANELS  MK COVIBRO  MDL: CUSTOM,2022-03-09T00:00:00.000Z
SP-2022322-10145,2022-03-22T10:00:15.000Z,57.03,45.0,GRT Dane,NY,,,10309,,70 Hamilton Ave,2022-03-22T15:17:44.000Z,,,NY,Film Production Grip Trailer with Fixed Generator,2022-03-24T00:00:00.000Z
HAR-2023331-14601,2023-03-31T15:41:38.000Z,70.0,50.0,NUTTALL,NY,,,10017,,,2023-04-03T09:09:10.000Z,,,NY,EMPTY TRAILER,2023-04-05T00:00:00.000Z
HAR-2022126-48213,2022-12-06T14:31:07.000Z,59.0,50.0,TALBERT,NY,,,10017,,,2022-12-07T10:05:29.000Z,,,NY,EMPTY TRAILER,2022-12-09T00:00:00.000Z
Cas1-2023413-16309,2023-04-13T08:50:30.000Z,64.04,48.0,Fontaine,NY,,Outerbridge Crossing,11111,,2175 S Service Rd,2023-04-17T11:37:09.000Z,,,NY,"Precast concrete Panels 8'7"" wide",2023-04-19T00:00:00.000Z
Lindsay-2022126-48205,2022-12-06T13:45:21.000Z,61.04,50.0,Great Dane,NY,,,11222,,38 W 26th st,2022-12-06T15:01:28.000Z,,,NY,H/Mu trailer,2022-12-08T00:00:00.000Z
HAR-2023926-32060,2023-09-26T09:15:08.000Z,61.0,53.0,XL,NY,,,10017,,,2023-09-27T09:12:54.000Z,,,NY,EMPTY TRAILER,2023-09-29T00:00:00.000Z
THE1-2021927-29361,2021-09-27T16:23:25.000Z,62.03,53.0,MANAC,NY,,NASSAU LINE @ SR24/HEMPSTEAD AVE,11111,,,2021-09-28T13:22:30.000Z,,,NY,EMPTY TRAILER,2021-09-30T00:00:00.000Z
THE1-2022412-13615,2022-04-12T15:16:01.000Z,53.02,40.0,MANAC,NY,,,11415,,,2022-04-13T09:27:31.000Z,,,NY,EMPTY TRAILER W/ ONE STACKED   ( STACKED TRAILER APP# 13597 ),2022-04-15T00:00:00.000Z
Cus-20211027-33464,2021-10-27T14:45:31.000Z,58.11,44.03,ROGER,NY,,WESTCHESTER CO LINE @ PROVOST AVE,11111,,LGA JCT DITMARS BLVD/MARINE TERMINAL RD,2021-10-28T15:01:26.000Z,6167.0,4.02,NY,EMPTY O/S TRAILER,2021-11-01T00:00:00.000Z
Ant1-2021720-20421,2021-07-20T10:50:34.000Z,54.06,46.08,Great Dane,NY,,,11211,,711 Greenwich Street,2021-07-20T11:44:08.000Z,,,NY,Tractor/CameraTrailer w/onboard Generator,2021-07-22T00:00:00.000Z
HAR-20231214-39839,2023-12-14T17:32:47.000Z,65.0,53.0,MANAC,NY,,GEORGE WASHINGTON BRIDGE I-95,11111,,I678 & JFK AIRPORT,2023-12-15T10:28:53.000Z,,,NY,STEEL FRAME,2023-12-19T00:00:00.000Z
THE1-2021824-24994,2021-08-24T15:06:06.000Z,62.03,53.0,MANAC,NY,,NASSAU LINE @ SR24/HEMPSTEAD AVE,11111,,,2021-08-25T11:16:26.000Z,,,NY,EMPTY TRAILER W/ EMPTY TRAILER STACKED   (APP# 24989),2021-08-27T00:00:00.000Z
New-202239-8392,2022-03-09T14:58:26.000Z,66.11,53.0,MANAC,NY,,NJ @ GOETHALS BRIDGE,11111,,,2022-03-14T10:04:09.000Z,,,NY,EMPTY,2022-03-15T00:00:00.000Z
HAR-202266-21472,2022-06-06T13:15:23.000Z,68.0,40.0,FONTAINE,NY,19500.0,GEORGE WASHINGTON BRIDGE,11111,,47TH ST & MADISON AVE,2022-06-07T11:44:35.000Z,19500.0,4.06,NY,STEEL FRAME,2022-06-09T00:00:00.000Z
Les-2021818-24236,2021-08-18T15:58:07.000Z,59.0,48.0,MANAC,NY,,,10011,,,2021-08-19T16:33:26.000Z,,,NY,EMPTY TRAILER,2021-08-23T00:00:00.000Z
Jac-2021107-30719,2021-10-07T09:59:45.000Z,60.1,53.0,GREAT DANE,NY,,,11222,,4 RUTHERFORD PLACE,2021-10-08T11:21:52.000Z,,,NY,FILM INDUSTRY HAIR AND MAKEUP TRAILER,2021-10-12T00:00:00.000Z
Mut-2023710-25491,2023-07-10T20:05:02.000Z,64.11,34.0,Alutrec,NY,,I95 Westchester Line,11111,,223 Linden St,2023-07-12T09:39:22.000Z,,,NY,MODULAR UNIT RCM RBQ8275-3625-27,2023-07-13T00:00:00.000Z
New-2023110-1252,2023-01-10T18:01:49.000Z,72.0,53.0,MANAC,NY,,NYC / NASSAU LINE @ I495,11111,,,2023-01-11T14:49:43.000Z,,,NY,EMPTY,2023-01-13T00:00:00.000Z
HAR-2023518-20890,2023-05-18T08:05:24.000Z,68.0,40.0,HOBBS,NY,14850.0,GEORGE WASHINGTON BRIDGE,11111,,47TH ST & MADISON AVE,2023-05-19T11:47:49.000Z,14850.0,4.06,NY,STEEL FRAME,2023-05-23T00:00:00.000Z
UNT2-2021723-20912,2021-07-23T07:35:16.000Z,51.02,47.03,PROSTAR,NY,,,11211,,20 Exchange Place,2021-07-23T10:04:47.000Z,,,NY,TRACTOR/CAMERA TRAILER WITH ONBOARD GENERATOR,2021-07-25T00:00:00.000Z
HAR-2023210-6799,2023-02-10T08:11:38.000Z,70.06,55.0,HOBBS,NY,,GEORGE WASHINGTON BRIDGE I95,11111,,47TH ST & MADISON AVE,2023-02-13T11:07:18.000Z,,,NY,STEEL FRAME,2023-02-15T00:00:00.000Z
