permitid,fullapplicationno,axle10weight,axle11weight,permitservicecompany,axle8space,axle6space,axle2space,startstreetaddress,steeringweight,overalllength,axle3weight,axle4weight
633764,NJ-2023105-33178,,,NJ Routing and Logistics,,,17.0,,12000,105.0,17000.0,17000.0
559496,Blu-2022321-9941,,,Blue Bloods,,,18.0,44 Ferris St,7000,62.06,7333.0,7333.0
547493,HAR-2021126-38063,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,,17.06,,12000,79.0,15625.0,15625.0
577990,Wes1-2022722-28435,,,West Coast Services,,,12.0,,12000,75.0,8250.0,8250.0
606747,209-202327-6161,,,John McMorrow 817,,,14.0,26-01 ULMER STREET,12000,70.0,16000.0,16000.0
541328,THE1-20211018-31898,,,THE PERMIT COMPANY,,4.0,15.07,,12000,79.11,13400.0,13400.0
567338,Jac-2022510-17783,,,Ryan Cooke 817 DD,,,10.07,63 FLUSHING AVE,7525,66.0,12588.0,15200.0
531814,Jac-202184-22384,,,Ryan Cooke 817 DD,,,16.0,811 HUMBOLT ST,6689,73.0,8478.0,9477.0
594697,Jac-20221114-45142,,,Ryan Cooke 817 DD,,,16.0,80 Moultrie St,6689,73.0,8478.0,9477.0
597723,All1-2022126-48168,,,All Mobile Video,,,16.06,,10000,73.0,14000.0,13500.0
608116,Vir-2023215-7530,,,Virgilio Trailer Corp,,,15.0,,8000,64.11,5000.0,5000.0
530494,New-2021723-21064,,,"New York Truck Escorts & Permits, Inc.",,4.06,14.06,,13000,70.01,7950.0,7950.0
590021,Hig-20221013-40466,,,High Wide & Heavy Oversize Escorts LLC,,,13.0,,12000,78.0,5500.0,5500.0
633174,Mut-2023102-32588,,,Muthers Pilot Car Services,,4.06,15.06,,13040,74.06,16160.0,16160.0
533841,Coa-2021819-24411,,,"Coast 2 Coast Trucking Permits, LLC",,,16.08,,12000,72.0,13500.0,20000.0
583683,SP-202291-34128,,,Shieed P Jones 817 Films,,,13.0,10101 Foster Ave,12000,66.0,12000.0,12000.0
582836,HAR-2022826-33281,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,4.06,4.06,15.06,,14000,78.0,19800.0,19800.0
559220,Con-2022318-9665,,,Consolidated Edison Co.,,4.04,12.0,1650 WHITEPLAINS ROAD,8000,65.0,16048.0,16048.0
590717,THE1-20221018-41162,,,THE PERMIT COMPANY,,,17.0,,12000,65.0,16750.0,16750.0
627516,New-2023726-26930,,,"New York Truck Escorts & Permits, Inc.",,5.05,5.05,53-20 44 ST,26400,57.03,26400.0,26400.0
593701,HAR-2022117-44146,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,4.06,15.06,47TH ST & MADISON AVE,14000,78.0,7200.0,7200.0
637905,HAR-20231122-37319,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,,17.06,,12000,79.0,15625.0,15625.0
557033,Jos1-202233-7478,,,Joseph Kattou 817 DD,,,12.05,141 FLUSHING AVE,8000,72.09,5000.0,15000.0
582739,Eli-2022825-33184,,,"Elite Motor Carrier Escort, LLC.",,,12.1,,12000,65.0,7500.0,7500.0
628484,NOV-202388-27898,,,NOVA PERMITS AND PILOT CARS,,6.0,16.04,,12000,65.0,14100.0,10600.0
548411,jam1-20211213-38981,,,james popper 817  DD,,,15.08,10 Gee Ave,19000,73.01,5000.0,5000.0
553172,SP-202222-3617,,,Shieed P Jones 817 Films,,,13.0,4865 Arthur Kill Rd,12000,67.0,12000.0,12000.0
636119,Eli-2023111-35533,,,"Elite Motor Carrier Escort, LLC.",,4.06,18.0,,12000,74.05,16268.0,16268.0
534410,New-2021824-24980,23000.0,23000.0,"New York Truck Escorts & Permits, Inc.",18.0,5.0,16.01,,15000,135.0,23000.0,23000.0
550186,NOV-202219-631,,,NOVA PERMITS AND PILOT CARS,,,13.06,,12000,75.0,16500.0,16500.0
562350,NBC3-202247-12795,,,Trenton Turner - Film,,,17.0,415 Kingsland Ave,8000,75.0,7000.0,7000.0
605864,JOH-202322-5278,,,JOHN RIGGINS,,,10.07,15 WASHINGTON AVE,7654,73.0,10866.0,14266.0
583842,Ran-202292-34287,,,Quintin Thompson 817 - Film,,,16.07,42-82 56th Rd,4000,70.0,4000.0,3000.0
592164,HAR-20221027-42609,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,4.06,19.06,47TH ST & MADISON AVE,14000,78.0,7200.0,7200.0
583435,NJ-2022830-33880,,,NJ Routing and Logistics,,4.05,14.03,55-90 48TH ST,10000,72.04,6000.0,5000.0
562031,HAR-202246-12476,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,,17.06,47TH ST & MADISON AVE,12000,73.0,5900.0,6200.0
611510,HAR-202339-10924,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,,17.06,47TH ST & MADISON AVE,12000,73.0,5900.0,6200.0
577749,New-2022721-28194,,,"New York Truck Escorts & Permits, Inc.",,5.0,15.05,,12000,99.1,14000.0,13000.0
601300,Con3-202316-714,,,Con Edison Of New York,,,13.0,1635 MACE AVENUE,7000,64.0,16000.0,16000.0
555234,Eli-2022217-5679,,,"Elite Motor Carrier Escort, LLC.",,,20.06,,15000,78.0,6000.0,6000.0
540056,HAR-2021106-30626,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,4.06,4.06,15.06,,14000,78.0,14850.0,14850.0
622441,HAR-2023530-21855,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,4.06,19.06,47TH ST & MADISON AVE,14000,78.0,7200.0,7200.0
578242,New-2022725-28687,,,"New York Truck Escorts & Permits, Inc.",,5.0,15.05,JOBSITE @ BRUCKNER BLVD @ E149 ST,11000,71.08,6250.0,6000.0
582038,HAR-2022822-32483,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,4.06,19.06,47TH ST & MADISON AVE,14000,78.0,7200.0,7200.0
604106,New-2023124-3520,,,"New York Truck Escorts & Permits, Inc.",,5.0,21.06,,12000,79.0,5300.0,5300.0
547778,Jos1-2021128-38348,,,Joseph Kattou 817 DD,,,12.05,141 FLUSHING AVE,8000,72.09,5000.0,15000.0
572763,BAR-2022616-23208,,,BARKINGDOG ESCORTS AND PERMITS,,,21.06,JFK AIRPORT,8000,75.0,7000.0,6500.0
534963,Jac-2021827-25533,,,Ryan Cooke 817 DD,,,15.0,811 HUMBOLT ST,5689,68.0,8478.0,9467.0
639254,New-2023126-38668,,,"New York Truck Escorts & Permits, Inc.",,,15.1,,12000,74.0,8750.0,8750.0
559746,Mut-2022322-10191,,,Muthers Pilot Car Services,,5.04,13.03,,12000,64.11,10500.0,10500.0
550491,HAR-2022111-936,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,,17.06,47TH ST & MADISON AVE,12000,73.0,5900.0,6200.0
549344,MER-20211227-39914,,,MERCURY PERMIT SERVICES,,,18.0,,12000,70.0,20000.0,17000.0
