applicationdate,loadheight,endcity,axle9weight,overallwidth,traileryear
2022-01-18T12:55:45.000Z,3.0,,4625.0,8.06,2002.0
2023-01-05T13:42:26.000Z,2.0,,,8.06,1997.0
2021-10-27T10:03:48.000Z,11.05,STATEN ISLAND,,8.06,2013.0
2023-12-11T08:44:49.000Z,10.0,MANHATTAN,,11.06,2000.0
2022-01-31T13:17:43.000Z,12.06,,,11.04,2019.0
2022-11-28T09:39:19.000Z,13.11,,4545.0,13.11,2017.0
2021-10-14T15:28:33.000Z,13.06,,,12.0,2017.0
2022-04-13T10:32:02.000Z,5.0,,,8.06,2020.0
2021-11-03T08:33:04.000Z,7.11,BROOKLYN,,8.06,
2022-12-02T12:49:27.000Z,13.06,MANHATTAN,,8.06,2013.0
2022-01-31T10:32:51.000Z,13.06,Brooklyn,,8.06,2020.0
2022-01-25T11:25:20.000Z,8.0,New York,,8.06,1996.0
2021-12-16T17:27:18.000Z,3.0,BROOKLYN,,10.06,2021.0
2022-11-03T14:28:17.000Z,4.02,MANHATTAN,,11.1,1986.0
2023-09-20T10:59:18.000Z,3.0,,,8.06,2015.0
2023-03-30T15:35:09.000Z,3.05,,,8.06,2023.0
2023-06-20T09:56:54.000Z,2.0,,,8.06,1996.0
2021-12-03T16:14:49.000Z,5.01,NY,,8.06,2005.0
2022-04-21T13:53:00.000Z,3.0,,,8.06,2019.0
2022-03-22T14:27:39.000Z,1.0,,,8.06,2004.0
2022-05-06T09:33:54.000Z,13.0,NEW YORK,,8.06,2020.0
2022-09-01T09:32:39.000Z,11.0,,,8.06,2009.0
2022-08-29T12:49:10.000Z,5.04,BRONX,,8.06,1984.0
2023-03-29T11:05:03.000Z,13.0,BROOKLYN,,8.03,2013.0
2022-04-22T09:27:11.000Z,10.0,MANHATTAN,,11.06,1999.0
2023-10-05T09:41:16.000Z,2.0,,,8.06,1982.0
2023-05-30T08:58:25.000Z,10.0,MANHATTAN,,13.08,2000.0
2023-02-24T11:05:44.000Z,13.06,BROOKLYN,,8.03,2013.0
2023-10-04T11:39:16.000Z,13.06,,,13.11,2015.0
2022-05-12T20:18:38.000Z,11.0,,,8.06,2014.0
2022-01-17T10:34:59.000Z,4.0,,6000.0,8.06,2007.0
2022-08-15T14:57:55.000Z,2.0,,,8.06,1975.0
2022-06-28T07:26:07.000Z,1.06,Bronx,,8.0,1990.0
2022-08-01T13:01:03.000Z,6.04,,,9.07,2020.0
2022-03-14T15:30:24.000Z,12.06,Bronx,,8.0,2013.0
2023-08-18T08:42:38.000Z,4.02,MANHATTAN,,11.1,1988.0
2022-03-07T12:31:22.000Z,8.0,STATEN ISLAND,,8.06,1999.0
2023-08-29T16:27:36.000Z,2.0,,,8.06,1971.0
2023-03-21T14:23:52.000Z,10.0,The Bronx,,8.06,2019.0
2022-01-20T11:17:18.000Z,13.06,STATEN ISLAND,,8.06,1995.0
2022-12-01T22:04:45.000Z,13.06,MANHATTAN,,8.06,2010.0
2023-10-12T19:18:23.000Z,10.0,,,11.11,2018.0
2021-07-20T11:18:28.000Z,13.06,Brooklyn,,8.0,2015.0
2022-07-08T17:27:45.000Z,13.06,MANHATTAN,,8.06,1998.0
2023-06-08T17:03:54.000Z,12.04,,,12.0,2022.0
2023-08-21T12:57:24.000Z,2.0,,,8.06,1997.0
2023-03-28T12:12:55.000Z,12.0,Staten Island,,8.0,2006.0
2022-03-24T08:03:07.000Z,4.02,MANHATTAN,,11.1,1974.0
2022-07-11T18:24:03.000Z,6.0,,,10.0,2015.0
2022-03-09T13:25:11.000Z,2.0,,,8.06,2004.0
2022-05-31T21:46:00.000Z,12.0,NY,,8.06,2004.0
2022-03-30T07:37:27.000Z,10.0,MANHATTAN,,11.06,1975.0
2022-02-15T10:35:49.000Z,4.02,MANHATTAN,,11.1,2006.0
2022-04-06T14:00:16.000Z,10.0,MANHATTAN,,13.08,1989.0
2023-04-10T05:52:41.000Z,12.0,NY,,8.06,2004.0
2023-01-12T15:48:23.000Z,10.0,MANHATTAN,,13.08,2004.0
2022-06-27T08:05:38.000Z,10.0,MANHATTAN,,11.06,1989.0
2022-02-11T13:02:03.000Z,13.06,New York,,8.06,2014.0
2023-07-10T18:26:13.000Z,12.0,QUEENS,,13.11,2001.0
2022-04-25T18:03:11.000Z,8.0,QUEENS,,11.11,2015.0
2022-05-23T10:25:20.000Z,13.06,New York,,8.07,2009.0
2023-02-03T11:53:04.000Z,13.06,QUEENS,,8.03,2012.0
2022-03-14T14:08:44.000Z,8.0,QUEENS,,11.11,2017.0
2022-08-04T14:38:59.000Z,8.0,NEW YORK,,8.06,2012.0
2023-05-30T11:18:51.000Z,13.06,New York,,8.02,2013.0
2023-02-28T07:38:52.000Z,2.0,,,8.06,1995.0
2023-05-16T16:06:57.000Z,8.0,THE BRONX,,9.06,2019.0
2023-11-22T08:07:05.000Z,6.0,QUEENS,,11.1,1999.0
2023-02-23T12:05:56.000Z,8.0,THE BRONX,,8.06,2016.0
2022-06-22T07:55:40.000Z,10.0,MANHATTAN,,11.06,1994.0
2023-10-04T11:21:20.000Z,12.0,,,13.11,2015.0
2023-04-04T08:51:10.000Z,12.09,NY,,8.06,2012.0
2021-10-20T14:35:15.000Z,2.0,,,8.06,1996.0
2023-09-26T13:47:57.000Z,11.08,,,10.06,2024.0
2023-01-19T09:33:28.000Z,13.06,MANHATTAN,,8.06,2017.0
2023-04-17T13:48:18.000Z,2.0,,,8.06,1997.0
2023-04-17T18:05:52.000Z,2.0,,,8.06,2015.0
2022-07-22T12:38:04.000Z,13.06,queens,,8.07,2016.0
2023-10-10T10:26:00.000Z,8.0,,,13.06,2011.0
2023-03-16T12:27:49.000Z,13.06,LONG ISLAND CITY,,8.03,2017.0
2021-11-10T11:42:21.000Z,13.06,Far Rockaway,,8.06,2005.0
2022-11-29T11:10:53.000Z,13.0,BROOKLYN,,11.11,2022.0
2023-07-27T15:53:04.000Z,2.0,,,8.06,1989.0
2022-10-31T08:50:15.000Z,2.0,,,8.06,1985.0
2021-10-25T13:57:01.000Z,10.01,Brooklyn,,8.02,
2022-11-22T16:10:39.000Z,13.11,,4545.0,13.11,2017.0
2022-07-08T22:43:09.000Z,13.0,Bronx,,8.05,
2023-01-10T11:50:54.000Z,8.0,NEW YORK,,8.06,2012.0
2023-03-07T09:39:57.000Z,10.01,Brooklyn,,11.06,2021.0
2022-06-12T22:07:22.000Z,10.0,QUEENS,,8.0,2006.0
2022-07-21T06:12:34.000Z,13.06,MANHATTAN,,8.06,1996.0
2021-09-20T10:36:47.000Z,13.06,,,12.0,2017.0
2022-05-06T14:24:13.000Z,2.0,,,8.06,1997.0
2022-06-16T15:43:47.000Z,3.0,,,8.06,1992.0
2021-07-29T14:36:35.000Z,5.03,,,8.06,2010.0
2022-03-17T11:49:04.000Z,8.0,New York,,8.06,
2023-03-07T13:13:39.000Z,13.06,New York,,8.07,1997.0
2022-03-28T16:14:44.000Z,2.0,,,8.06,2014.0
2023-05-26T14:04:05.000Z,6.0,Staten Island,,11.1,2016.0
2022-12-13T11:54:11.000Z,13.06,MANHATTAN,,8.06,2011.0
2022-03-18T09:16:50.000Z,13.06,BROOKLYN,,8.06,2020.0
2022-02-22T12:34:33.000Z,13.06,brooklyn,,8.07,1997.0
2023-02-23T15:38:29.000Z,13.06,,,8.05,2008.0
2022-07-21T10:55:58.000Z,13.01,,,10.02,
2023-06-28T14:15:36.000Z,10.06,,,10.06,2007.0
2022-11-30T11:49:47.000Z,12.04,,,11.0,2019.0
2021-12-22T17:46:44.000Z,2.0,BROOKLYN,,8.08,1998.0
2022-08-19T08:25:37.000Z,4.09,MANHATTAN,,11.1,1995.0
2021-12-15T08:02:13.000Z,3.0,Queens,,8.06,2009.0
2023-08-07T11:58:07.000Z,10.01,BRONX,,8.06,2004.0
