property_id,number_of_buildings,list_of_all_property_use,site_energy_use_kbtu,multifamily_housing_total,third_party_certification_2,temporary_values,hospital_general_medical_6,multifamily_housing_number_4,office_number_of_workers,convention_center_gross_floor,municipally_supplied_potable,percent_of_recs_retained,_2nd_largest_property_use_1,data_center_cooling_equipment,pre_school_daycare_gross,estimated_data_flag_district,estimated_data_flag_fuel_1,year_ending,annual_maximum_demand_mm,hospital_general_medical_4,medical_office_number_of_2,avoided_emissions_onsite_1,data_center_ups_output_meter,number_of_active_it_meters,multifamily_housing_total_1,multifamily_housing_number,multifamily_housing_government,natural_gas_use_kbtu,nyc_borough_block_and_lot,energy_star_certification,adult_education_gross_floor,municipally_supplied_potable_1,total_ghg_emissions_metric,weather_normalized_site_eui,museum_gross_floor_area_ft,property_gfa_self_reported,fuel_oil_5_6_use_kbtu,senior_living_community_gross,last_modified_date_property_1,multifamily_housing_percent_1,medical_office_percent_that,indirect_ghg_emissions_metric,property_gfa_calculated,retail_store_gross_floor,estimated_data_flag_fuel,other_gross_floor_area_ft,hospital_general_medical_7,energy_power_station_gross,_3rd_largest_property_use_1,enclosed_mall_gross_floor,hotel_gross_floor_area_ft,urgent_care_clinic_other,last_modified_date_non,supermarket_grocery_gross,site_eui_kbtu_ft,indoor_water_use_all_water,estimated_values_energy,multifamily_housing_number_6,year_built,parent_property_id,data_center_pdu_input_meter,hospital_general_medical_2,data_center_energy_estimates,last_modified_date_water,electricity_use_grid_purchase,number_of_active_energy_meters,primary_property_type_self,worship_facility_gross_floor,data_center_gross_floor_area,fuel_oil_2_use_kbtu,fuel_oil_4_use_kbtu,electricity_use_generated_2,bank_branch_gross_floor_area,k_12_school_gross_floor_area,municipally_supplied_potable_2,refrigerated_warehouse_gross,energy_star_score,data_center_it_energy,medical_office_number_of_1,leed_us_project_id,estimated_values_water,self_storage_facility_gross,borough,retail_store_number_of_open,wholesale_club_supercenter_1,office_percent_that_can_be,water_use_all_water_sources,barracks_gross_floor_area,submission_date,avoided_emissions_onsite,occupancy,source_energy_use_kbtu,last_modified_date_gas_meters
6553176,1,Multifamily Housing,3906530.5,19,Not Available,No,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,0.38991,57,Not Available,187745.8,1-01381-7504,Not Available,Not Available,2429.3,281.1,87.7,Not Available,48729,Not Available,Not Available,09/25/2018 10:37 AM EDT,100,Not Available,271.2,48729.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,03/02/2022 08:29 PM EST,Not Available,80.2,2429.3,No,0,1941,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,04/04/2022 09:29 AM EDT,1336651.1,6,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2429.3,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,MANHATTAN,Not Available,Not Available,Not Available,2429.3,Not Available,2022-09-22T00:00:00.000,Not Available,100,6805560.8,03/07/2022 11:03 PM EST
6814898,1,"Bank Branch, Medical Office, Multifamily Housing, Office, Pre-school/Daycare, Restaurant, Retail Store, Social/Meeting Hall",17841775.3,74.4,Not Available,No,Not Available,0,126.5,Not Available,Not Available,Not Available,53000,Not Available,26500,Not Available,Not Available,2021-12-31T00:00:00.000,Not Available,Not Available,11.16,0,Not Available,0,0.992,86.8,Not Available,7744261.4,1003477501,Not Available,Not Available,7604.7,1265,Not Available,Not Available,199700,Not Available,Not Available,05/12/2021 01:21 PM EDT,100,100,853.7,199700.0,6600,Not Available,Not Available,Not Available,Not Available,26500,Not Available,Not Available,Not Available,Not Available,Not Available,89.3,7604.7,No,0,2018,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,03/01/2022 06:33 PM EST,10097513.9,5,Mixed Use Property,Not Available,Not Available,Not Available,Not Available,Not Available,6600,Not Available,7604.7,Not Available,Not Available,Not Available,0,Not Available,No,Not Available,MANHATTAN,0,Not Available,100,7604.7,Not Available,2022-09-21T00:00:00.000,Not Available,85,36404513.3,09/21/2022 11:18 AM EDT
2803900,1,Multifamily Housing,22093307.8,153,Not Available,No,Not Available,153,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,0.58686,324,No,1227260.6,1-01396-0033,Not Available,Not Available,13742.4,1639.5,89.7,Not Available,260709,Not Available,Not Available,08/05/2014 10:15 PM EDT,100,Not Available,1574.3,260709.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,03/02/2022 08:30 PM EST,Not Available,84.7,13742.4,No,0,1984,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,04/04/2022 09:30 AM EDT,10410616.3,9,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13742.4,Not Available,8,Not Available,Not Available,Not Available,No,Not Available,MANHATTAN,Not Available,Not Available,Not Available,13742.4,Not Available,2022-09-22T00:00:00.000,Not Available,100,43016662.4,05/22/2022 03:27 PM EDT
2693214,1,Multifamily Housing,10716897.4,57,Not Available,No,Not Available,57,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,0.32137,171,No,7668563.2,1-01500-0020,Not Available,Not Available,3648.1,665,64.3,Not Available,177364,Not Available,Not Available,02/28/2019 10:14 AM EST,100,Not Available,257.7,177364.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11/24/2018 12:36 PM EST,Not Available,60.4,3648.1,No,0,1929,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,03/01/2022 06:50 PM EST,3048334.2,8,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3648.1,Not Available,85,Not Available,Not Available,Not Available,No,Not Available,MANHATTAN,Not Available,Not Available,Not Available,3648.1,Not Available,2022-09-22T00:00:00.000,Not Available,100,16587327.1,03/07/2022 01:14 PM EST
4040788,1,"Multifamily Housing, Retail Store",7215635.5,40,Not Available,No,Not Available,40,Not Available,Not Available,Not Available,Not Available,5836,Not Available,Not Available,Not Available,Not Available,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,0.57265,103,No,3750849.9,1-00793-7508,Not Available,Not Available,1597.8,492.1,95.3,Not Available,75687,Not Available,Not Available,08/25/2019 09:27 AM EDT,100,Not Available,292.9,75687.0,5836,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,95.3,1597.8,No,0,2008,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,03/01/2022 05:53 PM EST,3464785.6,9,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1597.8,Not Available,9,Not Available,Not Available,Not Available,No,Not Available,MANHATTAN,0,Not Available,Not Available,1597.8,Not Available,2022-09-22T00:00:00.000,Not Available,100,13639792,03/07/2022 07:50 PM EST
4952713,1,Multifamily Housing,4976842,60,Not Available,No,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,0.79121,60,No,4317700.3,4-01265-0052,Not Available,Not Available,2032.5,285.1,71.9,Not Available,75833,Not Available,Not Available,04/27/2016 02:44 PM EDT,100,Not Available,55.7,75833.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,02/24/2019 01:43 PM EST,Not Available,65.6,2032.5,No,60,1939,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,03/01/2022 05:58 PM EST,659141.7,5,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2032.5,Not Available,76,Not Available,Not Available,Not Available,No,Not Available,QUEENS,Not Available,Not Available,Not Available,2032.5,Not Available,2022-09-22T00:00:00.000,Not Available,100,6379182.1,07/27/2022 04:31 PM EDT
3110807,1,"Multifamily Housing, Retail Store",13350731,48,Not Available,No,Not Available,48,Not Available,Not Available,Not Available,Not Available,7500,Not Available,Not Available,Not Available,No,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,0.26623,150,No,9935061.5,1-01501-0056,Not Available,Not Available,6731,816.5,76,Not Available,187796,Not Available,Not Available,07/13/2020 12:06 AM EDT,100,Not Available,288.8,187796.0,7500,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11/23/2018 01:26 AM EST,Not Available,71.1,6731,No,0,1929,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,03/01/2022 05:55 PM EST,3415669.5,8,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6731,Not Available,76,Not Available,Not Available,Not Available,No,Not Available,MANHATTAN,6,Not Available,Not Available,6731,Not Available,2022-09-22T00:00:00.000,Not Available,100,19995689.1,05/23/2022 03:24 PM EDT
19481752,1,Multifamily Housing,3364737.7,31,Not Available,No,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,1.06897,45,No,2721100.1,3-00957-0062,Not Available,Not Available,Not Available,198.9,126,Not Available,29000,Not Available,Not Available,01/26/2022 09:17 AM EST,100,Not Available,54.4,29000.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,116,Not Available,No,0,1902,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,643637.5,4,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5,Not Available,Not Available,Not Available,Unable to Check (not enough data),Not Available,BROOKLYN,Not Available,Not Available,Not Available,Not Available,Not Available,2022-09-22T00:00:00.000,Not Available,100,4659340.2,07/27/2022 04:48 PM EDT
6410196,1,Supermarket/Grocery Store,16538814.4,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,Not Available,Not Available,Not Available,3942246.8,2030290015,Not Available,Not Available,Not Available,1274.3,257.7,Not Available,65000,Not Available,Not Available,07/25/2020 11:50 AM EDT,Not Available,Not Available,1064.9,65000.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65000,254.4,Not Available,No,Not Available,2009,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,02/01/2019 02:24 PM EST,12596567.6,8,Supermarket/Grocery Store,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34,Not Available,Not Available,Not Available,Unable to Check (not enough data),Not Available,BRONX,Not Available,Not Available,Not Available,Not Available,Not Available,2022-09-23T00:00:00.000,Not Available,100,39409748.4,05/31/2022 04:10 PM EDT
2704639,1,"Multifamily Housing, Parking",35978922.6,244,Not Available,No,Not Available,244,Not Available,Not Available,Not Available,Not Available,66928,Not Available,Not Available,Not Available,Not Available,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,0.4913,592,No,18888178.2,1-00016-7516,Not Available,Not Available,18163,2448.1,76.4,Not Available,496637,Not Available,Not Available,03/13/2019 02:29 PM EDT,100,Not Available,1444.9,563565.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,72.4,18163,No,0,2008,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,03/01/2022 06:01 PM EST,17090744.4,4,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18163,Not Available,35,Not Available,Not Available,Not Available,No,Not Available,MANHATTAN,Not Available,Not Available,Not Available,18163,Not Available,2022-09-22T00:00:00.000,Not Available,100,67686671.5,05/14/2022 07:40 PM EDT
2947262,1,"Multifamily Housing, Retail Store",4039314.6,9,Not Available,No,Not Available,0,Not Available,Not Available,Not Available,Not Available,13680,Not Available,Not Available,Not Available,No,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,0.191,27,No,905416.1,1-00499-7502,Not Available,Not Available,Not Available,305.8,68,Not Available,60800,Not Available,Not Available,05/30/2022 04:06 PM EDT,100,Not Available,205.8,60800.0,13680,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,03/29/2022 10:07 AM EDT,Not Available,66.4,Not Available,No,9,1989,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,2433796.9,13,Multifamily Housing,Not Available,Not Available,700101.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,MANHATTAN,0,Not Available,Not Available,Not Available,Not Available,2022-09-22T00:00:00.000,Not Available,100,8472420.9,05/14/2022 07:37 PM EDT
6197963,1,Multifamily Housing,5416730.9,36,Not Available,No,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,0.83529,126,Not Available,4779490.3,2-03209-0065,Not Available,Not Available,0,307.7,133.5,Not Available,43099,Not Available,Not Available,01/16/2018 01:53 PM EST,100,Not Available,53.9,43099.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,125.7,0,No,12,1933,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,03/01/2022 05:56 PM EST,637240.6,7,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,39,Not Available,Not Available,Not Available,No,Not Available,BRONX,Not Available,Not Available,Not Available,0,Not Available,2022-09-22T00:00:00.000,Not Available,100,6802738.4,05/20/2022 01:01 PM EDT
2665742,1,"Multifamily Housing, Office, Retail Store",14019224.9,220,Not Available,No,Not Available,220,2.3,Not Available,Not Available,Not Available,15000,Not Available,Not Available,Not Available,No,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,1.34146,220,No,1551620.3,1-00746-7503,Not Available,Not Available,4823.1,1051.4,83.3,Not Available,180000,Not Available,Not Available,08/25/2019 09:27 AM EDT,100,Not Available,358.6,180000.0,15000,Not Available,Not Available,Not Available,Not Available,1000,Not Available,Not Available,Not Available,03/29/2022 10:15 AM EDT,Not Available,77.9,4823.1,No,0,1931,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,03/01/2022 06:51 PM EST,4241756.2,10,Multifamily Housing,Not Available,Not Available,8225848.4,Not Available,Not Available,Not Available,Not Available,4823.1,Not Available,59,Not Available,Not Available,Not Available,No,Not Available,MANHATTAN,0,Not Available,100,4823.1,Not Available,2022-09-22T00:00:00.000,Not Available,100,21814225.5,03/07/2022 03:53 PM EST
