dbn,phone_number,requirement_2_3,offer_rate4_4,specialized,grade9geapplicants1,grade9gefilledflag2,requirement_2_5,admissionspriority36,seats104,eligibility8,interest10,seats9ge3,grade9geapplicantsperseat1,offer_rate1_2,method7,city,grade9gefilledflag9,grade9swdapplicants3,requirement_2_8,seats5specialized,offer_rate1_1,grade9swdapplicantsperseat3,grade9geapplicantsperseat12,seats102,grade9geapplicantsperseat3,borocode,seats9swd9,program3,seats9swd10,offer_rate1_6,program2,grade9swdapplicants11,requirement_1_1,seats9ge12,requirement_2_4,prgdesc6,admissionspriority38,method8,shared_space,language_classes,interest9,grade9geapplicants11,offer_rate2_5,admissionspriority33,seats3specialized,requirement_1_9,grade9swdfilledflag7,code11,applicants5specialized,applicants4specialized,seats9ge7,bin,seats1012,seats1011,building_code,program9,offer_rate2_8,admissionspriority28,admissionspriority25,admissionspriority21,offer_rate2_3,grade9geapplicantsperseat6,method10,admissionspriority37,graduation_rate,seats103,grade9swdapplicants6,appperseat1specialized,website,grade9swdapplicantsperseat9,diversity_in_admissions,academicopportunities3,nta,applicants3specialized,admissionspriority34,requirement_1_6,program6,neighborhood,program12
20K445,718-232-2500,,,,1298,Y,2018-19 Final Grades - 40%,,0.0,,,33,10,,D75 Special Education Inclusive Services,Brooklyn,,160,,,,23,,0.0,16,K,,Academy of Hospitality & Tourism,,,Academy of Legal Studies,,,,,"An interdisciplinary program combining business and technology courses with a real hands-on working experience. The curriculum includes courses such as Computer Applications, MOS Certification, Visual Basics, and Entrepreneurship -all directed towards completing professional and academic certifications.",,Zoned Guarantee,,"Arabic, Italian, Mandarin, Spanish",,,,,,,,,,,,3162711,,,K445,,,Then to New York City residents,,,,39,,,0.77999997,0.0,243,,NewUtrechthighschoolnyc.com,,,"AP Courses in: Eng. Lang., Eng. Lit., Gov't, Eco, Psychology, US History, World History, AB/BC Calculus, Statistics, Biology, Chem., Env. Sci, Physics",Bensonhurst West,,,,Academy of Business and Technology,Bensonhurst West,
13K605,718-625-6130,,,,223,N,,,0.0,,,46,5,,,Brooklyn,,74,,,,8,,0.0,3,K,,Electrical Installation and Practice,,,Culinary Arts,,,,2018-19 Final Grades - 40%,,,,Yes,Spanish,,,,,,,,,,,,3348041,,,K580,,,,,,,,,,0.92000002,1.0,,,www.westinghousehs.org,,,Articulation agreements with area colleges and universities based on CTE course offerings,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,,,George Westinghouse Career and Technical Education D75 Inclusion Program,DUMBO-Downtown Brooklyn,
21K620,718-332-5000,,,,201,N,,,1.0,,,47,4,,ASD/ACES Program,Brooklyn,,43,,,,5,,1.0,4,K,,Health Career Profession,,,Information Technology,,,,,,,,,Spanish,,,,,,,,,,,,3196378,,,K620,,,,,,,,,,0.74000001,0.0,,,gradyhs.com,,,,Brighton Beach,,,,William E. Grady Career and Technical Education High D75 Inclusion Program,Brighton Beach,
31R460,718-698-4200,2018-19 Final Grades - 30%,,,789,Y,,,0.0,,Zoned,26,38,100% of offers went to this group,Audition,Staten Island,,116,,,100% of offers went to this group,15,,0.0,32,R,,Law & Politics Institute,N/A - zoned program,100% of offers went to this group,Air Force Junior Reserve Officers' Training Corps,,2018-19 ELA/Math State Test Scores - 40%,,2018-19 Final Grades - 30%,"As the specially selected ""Chancellor's Arts Designated High School"" for Staten Island, visual arts students are eligible to receive a special Chancellor's Endorsed Arts Diploma. The Visual Arts program encourages students to reach their potential through the creation of original work. The following courses are offered within the Visual Arts sequence: Painting, Portfolio, Advanced Drawing, Beginning Drawing, Graphic Design, Digital Photography, Basic Art, and Art History.",,Audition,,"French, Italian, Latin, Spanish",,,0% of offers went to this group,,,,Y,,,,38,5146639,,,R460,Susan E. Wagner High School ACES 15:1 Program,3% of offers went to this group,Then to New York City residents,Then to New York City residents,Then to New York City residents,0% of offers went to this group,16,Zoned Guarantee,,0.88999999,0.0,130,,wagnerhigh.net,,,"University at Susan E. Wagner: College Partnership Courses-St. John's University, CUNY-College Now, Wagner College, and Advanced Placement",Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,,,,Visual Arts,Todt Hill-Heartland Village,
27Q334,718-570-8230,,,,658,,,,,,,,11,,,South Richmond Hill,,,,,100% of offers went to this group,,,,,Q,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,4441342,,,Q636,,,,,Then to New York City residents,,,,,0.81,,,,https://www.schools.nyc.gov/schools/Q334,,,Forensics,Richmond Hill,,,,,Richmond Hill,
30Q555,718-937-6005,,,,219,,,,,,,,3,,,Long Island City,,,,,,,,,,Q,,,,,,,,,,,,,Yes,"Mandarin, Spanish",,,,,,,,,,,,4004874,,,Q450,,,,,,,,,,0.68000001,,,,newcomershs.schoolwires.net,,,"South Asian Youth Action (SAYA), GSA Program, Reportorio Espanol, Human Rights Program, Queens Community House,",Queensbridge-Ravenswood-Long Island City,,,,,Queensbridge-LIC,
02M615,212-925-1080,,,,529,Y,,,,,,,15,41% of offers went to this group,,Manhattan,,,,,68% of offers went to this group,,,1.0,,M,,Chelsea Career and Technical Education High School D75 Inclusion Program,,,Graphic Design,,2018-19 ELA/Math State Test Scores - 35%,,,,,,Yes,Spanish,,,,,,,,,,,,1007378,,,M615,,,,,Then to New York City residents,,,,,0.83999997,,,,www.chelseacte.org,,,"Certifications Available: CISCO CCENT, CCNA , Adobe Creative Suite & Web Design, Entrepreneurship, Copper & Fiber Optics Cabling, Cloud Computing, and Microsoft.",SoHo-TriBeCa-Civic Center-Little Italy,,,,,SoHo-Tribeca,
28Q350,718-480-2689,,,,1194,,,,,,,,13,,,Jamaica,,,,,100% of offers went to this group,,,,,Q,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,4448806,,,Q470,,,,,Then to New York City residents,,,,,0.91000003,,,,jamaicagateway.org,,,,Briarwood-Jamaica Hills,,,,,Briarwood-Jamaica Hills,
32K549,718-381-7100,,,,225,N,,,,,,,3,38% of offers went to this group,,Brooklyn,,,,,61% of offers went to this group,,,0.0,,K,,,,,Collegiate Scholars,,,,,,,,Yes,Spanish,,,,,,,,,,,,3076908,,,K480,,,,,Then to Brooklyn students or residents,,,,,0.72000003,,,,BSSJBrooklyn.com,,,"College and career readiness: Advisory Leadership program provides guidance on health, SAT and ACT prep, and job readiness",Bushwick North,,,,,Bushwick,
27Q351,718-734-3290,,,,160,,,,,,,,1,,,Rockaway Park,,,,,100% of offers went to this group,,,,,Q,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,4303773,,,Q410,,,,,Then to New York City residents,,,,,0.63999999,,,,https://www.schools.nyc.gov/schools/Q351,,,iLearnNYC: Program for expanded online coursework and self-paced learning,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,,,,,Breezy Point-Rockaway Park,
02M655,212-348-1694,,,,439,,,,,,,,4,,,Manhattan,,,,,53% of offers went to this group,,,,,M,,,,,,,,,,,,,Yes,"French, Spanish",,,,,,,,,,,,1050338,,,M645,,,,,Then to New York City residents,,,,,0.79000002,,,,www.lifesciencesny.org,,,College courses offered for credit through our College Now partnership with Hunter College.,Yorkville,,,,,Yorkville,
17K600,718-636-4900,2018-19 Final Grades - 40%,,,853,N,,,,,,41,3,,,Brooklyn,,50,,,,6,,1.0,7,K,,Gateway Honors,,,Bilingual Haitian Creole,,,,,,,,,"American Sign Language, French, Haitian Creole, Spanish",,,,,,,,,,,,3029702,,,K600,,,,,,,,,,0.81,1.0,,,https://www.clarabartonhs.org/,,,"Students can also enjoy several elective courses including: Yoga, Ceramics, Drawing, Computer Science, Business Entrepreneurship, Virtual Enterprise, Advanced Studio Art and Psychology",Crown Heights South,,,,,Crown Heights South,
01M450,212-460-8467,,,,1507,,,,,,,,20,,,Manhattan,,,,,74% of offers went to this group,,,,,M,,,,,,,Essay/Video Response - 100%,,,,,,Yes,"French, Italian, Japanese, Korean, Spanish",,,,,,,,,,,,1005974,,,M060,,,,,Then to New York City residents,,,,,0.89999998,,,,www.eschs.org,,1.0,"Full-time college counselor, through the College Bound Initiative, works with each student to effectively navigate the college application process.",East Village,,,,,East Village,
02M550,212-691-0934,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,M,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,1013858,,,M451,,,,,,,,,,,,,,www.libertyhsnyc.com,,,We have dedicated program for our SIFE students after school.,Hudson Yards-Chelsea-Flatiron-Union Square,,,,,Chelsea-Union Sq,
19K764,718-277-1572,,,,389,,,,,,,,6,,,Brooklyn,,,,,,,,,,K,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,3090738,,,K420,,,,,,,,,,0.85000002,,,,uasch.org,,,"CTE program(s): Health Professions and Related Clinical Services, Other (NYSED-Approved)",park-cemetery-etc-Brooklyn,,,,,Cypress Hills,
13K430,718-804-6400,,,1.0,,,,,,,,,,,,Brooklyn,,,,,,,,,,K,,,,,,,,,,,,,,"French, Italian, Mandarin, Spanish",,,,,,,,,,,,3058752,,,K430,,,,,,,,,,0.97000003,,,16.0,bths.edu,,,"Additional majors in: Environmental Science, Finance & Economics, Math, Physics, and Software Engineering",Fort Greene,,,,,Fort Greene,
09X517,718-538-9726,,,,316,,,,,,,,4,,,Bronx,,,,,94% of offers went to this group,,,,,X,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,2009611,,,X148,,,,,Then to New York City residents,,,,,0.72000003,,,,fdaiiibx.org,,,Spark House (10th Grade): poetry and social justice course that empowers scholars to write and perform original poems about topics that impact their community.,Claremont-Bathgate,,,,,Claremont-Bathgate,
12X550,718-860-8120,,,,131,,,,,,,,2,,,Bronx,,,,,,,,,,X,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,2027459,,,X420,,,,,,,,,,0.56999999,,,,https://www.schools.nyc.gov/schools/X550,,,Photography Class,West Farms-Bronx River,,,,,West Farms-Bronx River,
02M529,212-391-0041,,,,179,,,,,,,,1,,,Manhattan,,,,,,,,1.0,,M,,,,,Hospitality and Tourism,,,,,,,,,Spanish,,,,,,,,,,,,1069583,,,M486,,,,,,,,,,0.63999999,,,,JKOhighschool.org,,,"CUNY College Now, Upward Bound, Post-Secondary Articulation Agreements",Midtown-Midtown South,,,,,Midtown,
02M308,212-505-0143,,,,1084,,,,,,,,15,,,Manhattan,,,,,40% of offers went to this group,,,,,M,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,1005283,,,M445,,,,,Then to Manhattan students or residents,,,,,0.79000002,,,,lomahs.nyc,,,"To ensure that all students are college ready, all students must complete four years of Math, Science, and Arts in addition to the required four years in English and History.",Chinatown,,,,,Chinatown,
07X551,718-401-4891,,,,547,,,,,,,,9,,,Bronx,,,,,40% of offers went to this group,,,,,X,,,,,,,,,,,,,Yes,"Arabic, Spanish",,,,,,,,,,,,2000957,,,X183,,,,,Then to Bronx students or residents,,,,,0.88,,,,http://www.bronxletters.org/,,,"Structured yearly day trips means that three times a year, all students will visit colleges, museums, and engage in community service",Mott Haven-Port Morris,,,,,Mott Haven-Port Morris,
31R600,718-420-2600,,,,160,N,,,1.0,,,20,6,,Ed. Opt.,Staten Island,,60,,,,10,,0.0,7,R,,Virtual Enterprise,,,Software Engineering,,,,2018-19 Final Grades - 40%,"NYS & NATEF approved Automotive Technology program uses the NATEF General Service Technician Program curriculum. NATEF sets national standards for instruction, tasks, tools, equipment, hours & instructor qualifications. Topics include electronic systems ABS (braking), air bag, fuel injection and sensor theory plus analysis and testing of related on-board computer functions, steering/suspension, and brake systems. The instructors for the program are Automotive Service Excellence (ASE) certified.",,D75 Special Education Inclusive Services,,Spanish,,,,,,,Y,,,,20,5000314,,,R600,Ralph R. Mckee Career and Technical Education High School ACES 15:1 Program,,,,,,4,,,0.73000002,1.0,79,,mckeecths.org,,,"Scholars at Work, SYEP, Work Based Learning, NCCER, Industry Certifications",West New Brighton-New Brighton-St. George,,,,Automotive Technology,New Brighton-St. George,
02M374,212-253-7076,2019-20 Marking Period Grades - 40%,,,427,Y,,,,,,25,5,,,Manhattan,,21,,,,3,,1.0,5,M,,Capstone Scholars,,,Theater Arts,,,,,,,,Yes,Italian,,,,,,,,,,,,1017828,,,M460,,,,,,,,,,0.91000003,0.0,,,www.gramercyhs.org,,,"Saturday classes at Parsons School of Design, Cooper Union, and Fashion Institute of Technology, The Vineyard Theatre, New York University",Gramercy,,,,,Gramercy,
29Q248,718-712-2304,,,,243,,,,,,,,3,,,Springfield Gardens,,,,,97% of offers went to this group,,,,,Q,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,4280845,,,Q420,,,,,Then to New York City residents,,,,,0.79000002,,,,www.queensprepacademy.org,,,"Science, Technology, Engineering, and Mathematics (STEM) Elective Courses",Springfield Gardens North,,,,,Springfield Gardens North,
09X297,718-617-5312,,,,681,,,,,,,,7,,,Bronx,,,,,100% of offers went to this group,,,,,X,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,2004526,,,X400,,,,,Then to New York City residents,,,,,0.81,,,,www.macsx297.org,,,Students develop college-level projects through a supportive and challenging school-wide system to present at biannual project celebration events.,Morrisania-Melrose,,,,,Morrisania-Melrose,
07X223,718-585-8202,,,,375,Y,,,,,,,18,84% of offers went to this group,,Bronx,,,,,35% of offers went to this group,,,0.0,,X,,,,,The Laboratory School of Finance and Technology,,,,,,,,Yes,"Mandarin, Spanish",,,,,,,,,,,,2097038,,,X149,,,,,Then to Bronx students or residents,,,,,0.88,,,,www.mshs223.org,,,"New auditorium, fitness center, and library on campus",Mott Haven-Port Morris,,,,,Mott Haven-Port Morris,
02M545,212-475-4097,,,,1119,,,,,,,,13,,,Manhattan,,,,,,,,,,M,,,,,,,,,,,,,Yes,Mandarin,,,,,,,,,,,,1005283,,,M445,,,,,,,,,,1.0,,,,https://www.schools.nyc.gov/schools/M545,,,Saturday Programs: Kaplan SAT Prep; Physical Education classes; Saturday Fitness; English as a New Language classes; Parent classes,Chinatown,,,,,Chinatown,
12X682,718-861-0521,,,,326,,,,,,,,4,,,Bronx,,,,,33% of offers went to this group,,,,,X,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,2101786,,,X878,,,,,Then to Bronx students or residents,,,,,0.74000001,,,,www.flhfhs.org,,,Online courses are available for students wishing to register for courses not offered at the school.,Crotona Park East,,,,,Crotona Park East,
10X477,718-561-0973,,,,704,Y,,,,,,,16,,,Bronx,,,,,100% of offers went to this group,,,1.0,,X,,,,,English Language Learners Academy,,2018-19 ELA/Math State Test Scores - 20%,,,,,,Yes,"Italian, Japanese, Mandarin, Spanish",,,,,,,,,,,,1064532,,,X475,,,,,Then to New York City residents,,,,,0.95999998,,,,www.marblehillschool.org,,,Portfolio presentations every semester. During this 1 hour interview students present their projects to a teacher.,Marble Hill-Inwood,,,,,Spuyten Duyvil-Kingsbridge,
11X545,718-696-6010,,,,292,,,,,,,,2,,,Bronx,,,,,97% of offers went to this group,,,,,X,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,2057045,,,X425,,,,,Then to New York City residents,,,,,0.66000003,,,,www.bxaerospacehs.org,,,AP Courses,Williamsbridge-Olinville,,,,,Williamsbridge-Olinville,
12X479,718-542-4011,,,,345,,,,,,,,5,,,Bronx,,,,,,,,,,X,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,2004868,,,X158,,,,,,,,,,0.57999998,,,,bccprep.com,,,"We offer AP English courses, AP Environmental Science, and AP History courses.",Longwood,,,,,Longwood,
20K485,718-759-3400,,,,2819,,,,,,,,11,,,Brooklyn,,,,,100% of offers went to this group,,,,,K,,High School of Telecommunication Arts and Technology ASD Nest Program,,,High School of Telecommunication Arts and Technology D75 Inclusion Program,,,,,,,,Yes,Spanish,,,,,,,,,,,,3144482,,,K485,,,,,Then to New York City residents,,,,,0.91000003,,,,www.hstat.org,,,"Frequent Field Trips in and out of the city to colleges and universities, to museums and historical sights, to the offices of industry partners",Bay Ridge,,,,,Bay Ridge,
07X259,718-585-8013,,,,636,,,,,,,,7,,,Bronx,,,,,100% of offers went to this group,,,,,X,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,2003883,,,X655,,,,,Then to New York City residents,,,,,0.75,,,,https://aomeara20.wixsite.com/herohigh,,,Paid internships in nursing and community health; advisory and tutoring in every subject,Mott Haven-Port Morris,,,,,Mott Haven-Port Morris,
08X367,718-617-5046,,,,474,,,,,,,,6,,,Bronx,,,,,24% of offers went to this group,,,,,X,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,2020580,,,X174,,,,,Then to Bronx students or residents,,,,,0.64999998,,,,www.archimedesacademy.org,,,College credit is also offered through th LINCT program for 12 graders in math and science and through partnerships with Monroe college Jumpstart and CUNY College Now,Soundview-Castle Hill-Clason Point-Harding Park,,,,,Castle Hill-Clason Point,
17K408,718-564-2580,,,,463,,,,,,,,5,,,Brooklyn,,,,,,,,,,K,,,,,,,,,,,,,Yes,"American Sign Language, French, Spanish",,,,,,,,,,,,3336215,,,K465,,,,,,,,,,0.91000003,,,,http://aohterasmus.org/,,,"College Courses:  Hospitality Management, Philosophy, Law, Sociology, Psychology, Marketing, English,",Erasmus,,,,,Flatbush,
02M420,212-780-9175,,,,1416,Y,,,,,,,10,,,Manhattan,,,,,,,,1.0,,M,,,,,Medical Assisting and Lab,,2018-19 ELA/Math State Test Scores - 34%,,,,,,Yes,Spanish,,,,,,,,,,,,1020419,,,M475,,,,,,,,,,0.94999999,,,,hphsnyc.org,,,"Medical Laboratory & Assisting, Syracuse University Project Advance, Nutrition and Exercise Science, Forensic Science, Kinesiology and Sports Medicine.",Gramercy,,,,,Gramercy,
19K422,718-688-7200,,,,315,,,,,,,,5,,,Brooklyn,,,,,46% of offers went to this group,,,,,K,,,,,Spring Creek Community School D75 Inclusion Program,,,,,,,,Yes,Spanish,,,,,,,,,,,,3413878,,,K422,,,,,Then to New York City residents,,,,,0.97000003,,,,https://www.schools.nyc.gov/schools/K422,,,"Emphasis on arts residencies and arts integration across grades, content, and curriculum.",East New York,,,,,Bergen Beach,
09X263,718-466-4000,,,,328,,,,,,,,5,,,Bronx,,,,,99% of offers went to this group,,,,,X,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,2009555,,,X970,,,,,Then to New York City residents,,,,,0.69,,,,validusprep.org,,,Credit recovery for students to make up for shortfalls in required courses.,Claremont-Bathgate,,,,,Claremont-Bathgate,
06M462,212-927-1841,,,,239,N,,,,,,,3,47% of offers went to this group,,Manhattan,,,,,58% of offers went to this group,,,0.0,,M,,The College Academy ACES 15:1 Program,,,Dual Language Spanish,,,,,,,,Yes,Spanish,,,,,,,,,,,,1076751,,,M465,,,,,Then to Manhattan students or residents,,,,,0.73000002,,,,https://www.thecollegeacademy.com/,,,PSAT and SAT preparation classes Mid-Winter recess until SAT School Day prepare students for college success. CUNY College Now Courses in-house and at campuses earn college credit while in high school. Student Success Center to help with college applications and financial aid applications.,Washington Heights North,,,,,Washington Heights N.,
