q0_dbn,q17_c15_r2,q40_r1_c2_5,q16_c10_r2,q40_r1_c3_4,q16_c15_r4,q17_c15_r1,q28_4,q16_c1_r4,q16_c2_r2,q25_r1_c5,q16_c14_r2,q17_c8_r4,q25_r2_c1,q17_c1_r3,q26_2,q25_r1_c1,q16_c19_r4,q16_c14_r4,q25_r2_c5,q17_c10_r2,q17_c7_r3,q16_c15_r1,q41_7,q17_c11_r1,q17_c13_r3,q23_r7_c1,q17_c3_r4,q17_c12_r3,q16_c16_r4,q40_r1_c4_1,q17_c14_r3,q40_r1_c1_4,q16_c13_r2,q16_c9_r2,q16_c21_r4,q17_c10_r1,q40_r1_c6_4,q17_c15_r4,q25_r5_c3,q40_r1_c7_3,q27_5,q16_c17_r4,q40_r1_c7_1,q25_r5_c1,q40_r1_c3_2,q16_c22_r2,q16_c21_r3,q40_r1_c1_3,q17_c11_r3,q42_1_rev,q40_r1_c4_3,q40_r1_c10_4,q40_r1_c4_5,q16_c5_r3,q41_3,q16_c14_r3,q40_r1_c2_3,q40_r1_c6_2,q27_3,q16_c6_r1,q16_c8_r2,q17_c2_r2,q17_c4_r1,q23_r7_c2,q16_c5_r2,q16_c19_r3,q16_c3_r4,q17_c6_r4,q17_c5_r1,q16_c8_r4,q16_c16_r2,q23_r7_c4,q17_c2_r1,q40_r1_c5_3,q17_c6_r2
03M185,,,,,,,0,0.0,0.0,0,,,0,0.0,,0,,,0,,0.0,,1,,,0,0.0,,,Arts Related Field Trips,,,,,,,,,0,,1-6 hrs,,1.0,0,Visual Arts,,,,,"Here at the Locke School of Arts and Engineering we believe it is integral for the students to participate and have experiences that are rich in the arts. We have offered our students a chance to showcase their talents and abilities in our visual arts, music, and dance programs. Through these programs, students learn to use a variety of mediums in visual arts, learn traditional and contemporary songs, play instruments in music, and participate in a dance program based on both dance and physical education standards. These talents are celebrated with the families and the Locke School community in culminating seasonal assemblies throughout the school year. We hope to continue our weekly club period where students can choose from specialized arts classes like band, printmaking, and African dance.  The pandemic has been a challenging time for the arts at the Locke School though students were still able to showcase their work in virtual art exhibits.  They also participate in the yearly Manhattan Borough Arts Festival as we have always done every year.",,,,0.0,1,,,110.0,,0.0,0.0,0.0,0.0,0,0.0,,0.0,2.0,0.0,2.0,,0,0.0,,0.0
12X098,,,,,,,0,,,0,,,0,,0.0,0,,,0,,,,0,,,0,,,,Residency (direct instruction to students),,,,,,,,,0,,,,15.0,0,,,,,,"We currently have music as a full class and CWP working with all 6th graders.  We were able to offer music remotely for all students, and offer the Gibney dance Troupe as part of intro to dance and SEL work for all students and staff. The goal is to create a program that allows for choice and uses arts throughout the curriculum.  NY Edge (our CBO) offers dance after school, as well, for all grades.

We are building on our goals for next year and bringing in a music program for an additional 2 days per week to build on the program to create a chorus and plan for other programs, including technology and music.

We are also using arts in ELA, following the CWP format and investing in art materials.  We will also be working on a school mural of social justice in the field of science.",,,,,1,,,,1-6 hrs,,,,,0,,,,,,,,0,,,
27Q306,,,,,,,0,0.0,0.0,0,,,0,0.0,0.0,0,,,0,,,,1,,,0,0.0,,,,,,,,,,,,0,,7-12 hrs,,,0,,,,,,"At Public School 306Q, we believe that a well-rounded education begins with integrating the arts into the curriculum. All students benefit from the opportunity to learn about and experience the arts. Arts education helps bolster a child’s attitude towards school and in turn, makes for a more positive school environment. Next year, we will continue to offer arts education in the classroom and through our cluster program.",,,,0.0,1,,,,,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0.0,,0,0.0,,
15K169,,,1.0,,,,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,0.0,0,0.0,0.0,,1,1.0,0.0,0,0.0,0.0,,Residency (direct instruction to students),,,0.0,0.0,,1.0,,,0,,31+ hrs,,12.0,0,Music,,,,0.0,"PS 169, Sunset Park School is a Title I elementary school with a diverse population of 1214 students. This year we were challenged by the pandemic and forced to restructure our educational programs and shift into remote learning. The arts in particular became a driving force to calm and heal the social-emotional toll that this pandemic took on our students. Through remote dialogue, exposure to art history, encouragement and creativity, we were able to connect and support our students’ emotional and intellectual needs. Our unique arts curriculum offered our students daily exposure to a sequential Blueprints for Teaching and Learning in the Arts based visual art, music and drama programs aligned with Common Core State Standards (CCSS). Despite the shutdown of schools and the challenges with Covid-19, students mastered new techniques, engaged in intellectual art conversations and regularly submitted unique artwork to art contests. Some of their many accomplishments are: five exemplary artworks included in the Brooklyn Borough Arts 2021 Virtual Festival; a semi-finalist to the PSART exhibit; eight exemplary artworks included in NYCATA’s “Inside/Outside” exhibit; and five more exemplary artworks in the NYSUT Covid-19 art exhibit. Our own grades 3-5 visual arts exhibit is going to highlight our students’ artistic voices during this unprecedented year. This coming year, through a continued social-emotional approach and hands-on art-making in the classroom, we are eager to continue to support our emerging artists and foster their appreciation for the arts.",,,,0.0,1,0.0,,27.0,31+ hrs,11.0,0.0,0.0,1.0,0,0.0,,0.0,0.0,1.0,0.0,,0,1.0,,0.0
04M372,,,,,,,0,,,0,,,0,,,0,,,0,,,,1,,,0,,,,,,,,,,,,,0,,7-12 hrs,,,0,,,,,,"We currently have school-day sequences for music, visual arts and dance for grades six through twelve. We prioritize access for all learners, and we emphasize performance at venues throughout the city (not this year because of COVID).   Our music program is currently focused on ensemble playing. Since most of the students are remote this year, our Esperanza Band has not had any performances.  Students are practicing individually, some in the building and others at home.  Students learn music theory and composition as well as performance technique under the direction of a Grammy Award winner/teacher. Our visual arts program is a grade six through twelve sequence focused on developing the fundamentals and exploration of the visual arts and developing scholar talent under the instruction of an award winning art teacher.  We offer afterschool sewing club for 6th graders in which they learn to use sewing machines. We offer studio art  for high school students that is currently dedicated to painting a mural in one of the school’s common areas.  Students who are interested can stay afterschool for diverse art-related activities provided by Union Settlement Community Learning Center.",,,,,1,,,,,,,,,0,,,,,,,,0,,,
07X527,,,,,,,1,,,0,,,0,,0.0,0,,,0,,,,1,,,0,,,,Residency (direct instruction to students),,,,,,,,,0,,0 hrs,,30.0,0,,,,,,"In the Visual Art classes, our Instructor has designed each trimester in the following ways:
1st Trimester: students focus on learning art vocabulary including learning the Elements and Principles of Art. They demonstrate their knowledge through the creation and discussion of abstract art. Students create an abstract word design demonstrating their knowledge of the Elements of Design; line, color, shape, value, texture, form, and space.
2nd Trimester: students focus on developing their observational drawing skills. They learn about the perception of edges, contour drawing, the perception of space, negative and positive space drawing, the perception of light on form, drawing simple objects with directional light, and they study proportion and perspective through 1-point and 2-point perspective drawing. Students create abstract designs demonstrating their knowledge of the Principles of Design:  Balance, emphasis, contrast, movement, variety, unity, and rhythm.
In the 3rd trimester students focus on a project that encompasses and culminates learning over the year. They formally analyze artwork with historical references in mind, and review employment possibilities in the arts. Students create a symbolic self-portrait demonstrating their knowledge of symbolism, portraiture, composition, and observational drawing which includes, understanding proportion and the perception of edges, space, and light on form.   (See below for our Dance Program description).",,,,,1,,,,,,,,,0,,,,,,,,0,,,
29Q326,,,,,,,0,,,0,,,0,,0.0,0,,,0,,,,1,,,0,,,,,,,,,,,,,0,,1-6 hrs,,,0,,,,,,"At Cambria Heights Academy we believe in offering all our students multiple opportunities to engage in the arts. We offer a rigorous graphic design sequence where participating students are able to earn 3 credits from SUNY Farmingdale. Most of our course offerings are digital, such as, music production, film production, and photography. We also offer chorus, intro to music, and drawing electives.",,,,,1,,,,,,,,,0,,,,,,,,0,,,
09X443,,,,,,,0,0.0,0.0,0,,,0,0.0,0.0,0,,,0,,,,1,,,0,1.0,,,,,,,,,,,,0,,1-6 hrs,,,0,,,,,,"At Public School 443, The Family School, we believe that art affords students unique ways of knowing and expressing what they know. Through art, students extend their aesthetic awareness and judgement by making art that communicates their ideas, perceptions, and feelings. Learning experiences in art enable learners to understand the role of art throughout history and in their own society. Art experiences help students to develop: • an enriched appreciation for works of art through time and culture • the ability to respond to others’ artwork with sensitivity and respect • a heightened awareness of the role art has in lifelong learning • confidence in themselves as makers of art with the potential for using their abilities in future art-related and other careers At our school, students have access to two full-time art teachers: music and the visual arts. Our students work with professional visual artists bringing their passion, creativity, knowledge, and skill to the classroom, guiding students to discover and develop their own creative expressions.",,,,0.0,1,,,,1-6 hrs,0.0,,1.0,0.0,0,1.0,,0.0,0.0,0.0,,,0,0.0,,1.0
21K225,,,,,,,0,10.0,0.0,0,,10.0,0,0.0,0.0,0,,,0,0.0,0.0,,0,,,0,10.0,,,,,,,0.0,,0.0,,,0,,,,,0,,,,,,"For the 2020-2021 school year, P.S. 225 The Eileen E. Zaglin had one visual arts teacher who provided instruction remotely. The classroom teachers provided opportunities for students to develop their artistic skills. Our parents participated in arts activities remotely with two of our visual arts teachers.",,,,0.0,1,,,,,0.0,0.0,0.0,0.0,0,0.0,,10.0,10.0,0.0,10.0,,0,0.0,,0.0
29Q289,,,,,,,0,,,0,,,0,,0.0,0,,,0,,,,0,,,0,,,,Residency (direct instruction to students),,,,,,,,,0,,,,9.0,0,,,,,,"Our school continues to participate in the arts partnership between District 29 and the Guggenheim Museum. Through this partnership, professional development is provided to the school's social studies teachers. A teaching artist has also visited the school to further support the social studies teachers.  In addition, our school started a 9-week arts residency with Arts Horizons this year.  One in-person teaching artist worked with our in-person students.  Two remote teaching artists worked with our remote students.",,,,,1,,,,,,,,,0,,,,,,,,0,,,
02M575,,,,,,,0,,,0,,,0,,0.0,0,,,0,,,,0,,,0,,,,Teacher Professional Development,,,,,,,,,0,,,,30.0,0,Theater,,,,,"Like many schools across the city, we have experienced a tremendous disruption to our traditional arts program due the pandemic. However, we adjusted the program online. We continued to offer arts learning through our collaboration with an arts  to community based organization to provide arts integration with four classes. We also provided opportunities for students in art class to showcase their work in virtual galleries.",,,,,1,,,150.0,,,,,,0,,,,,,,,0,,,
10X437,,,,Dance,,,1,,,0,,,0,,0.0,0,,,0,,,,1,,,0,,,,Residency (direct instruction to students),,Joyce Theater,,,,,58.0,,0,30.0,24-30 hrs,,12.0,0,Music,,,Carnegie Hall,,"Fordham High School for the Arts is an arts-focused high school with a 4 year sequence in 6 majors: Dance, Drama, Instrumental/Music Production, Technical Theater, Visual Art and Vocal Music. FHSA offers comprehensive arts and academic curriculum which culminates in an Advanced Regents diploma, college acceptance, and career readiness. Numerous partnerships include Roundabout Theatre Company, Metropolitan Opera, Carnegie Hall, Lincoln Center Theatre, Studio in a School. 
Guest artist visits afford students the opportunity to explore and develop their talents in various mediums of artistic expression. Work-Based Learning Internships allow students an opportunity to explore career paths in the arts and beyond.",Residency (direct instruction to students),,Residency (direct instruction to students),,1,,,24.0,24-30 hrs,,,,,0,,,,,,,,0,,5.0,
06M328,,,,,,,0,,,0,,,0,,0.0,0,,,0,,,,0,,,0,,,,Residency (direct instruction to students),,,,,,,,,0,,,,24.0,0,,,,,,"In school year 2020-21, Alvin Ailey Dance Theater returned to CMSP 328 to offer musical theater and hip hop dance workshops. Our goals for the 2021-22 school year are to build integration of arts into our core academic subjects as well as strengthen our primary arts partnerships. In addition, we will work to build rigor in our arts programming by developing more comprehensive arts assessments. Finally, we will work to increase the number of arts experiences made available to our students and their families. These goals will become increasingly important as we return to an in-person learning environment.",,,,,1,,,,,,,,,0,,,,,,,,0,,,
28Q040,,,,,,,1,13.0,6.0,0,,,0,12.0,,0,,,0,,,,1,,,0,7.0,,,,,,,,,,,,0,,7-12 hrs,,,0,,,,,,"Samuel Huntington Elementary’s ARTS program consists of experiences in dance, music, theater, and visual arts focused on detecting and responding to the social injustices of the world they are growing up in. Scholars are encouraged to utilize the ARTS to speak out against social injustice and fight to create social justice within their school and community. At Samuel Huntington Elementary school, we provide scholars with integrated ARTS opportunities to enrich academic experiences. Our elementary scholar’s art classes seek to foster interest.Our elementary art classes include basic drawing, painting and crafts. Our music curriculum consists of three strands: Listening and Responding, Performing, and Composing.Our grade 5 scholars participate in  composing music digitally with the use of Soundnation. Our dance curriculum allows students to explore the elements of dance through observation and performance. Scholars learn tap, ballet, jazz,  African, and hip hop dance throughout the year. Our theater curriculum is designed to allow our scholars to explore a variety of activities appropriate to their age level, including role play, charades, acting out scenes and improvising skits. At Samuel Huntington Elementary, we encourage students to achieve three primary goals in the ARTS. We wish to create social and emotional awareness within our sccial and emotional awareness within our scholars. We strive for scholars to develop empathy and to understand their own feelings.",,,,,1,,,,,,,6.0,6.0,0,,,6.0,,6.0,,,0,6.0,,
02M600,,,,,,,1,,,0,,,0,,2.0,0,,,0,,,,1,,,0,,,,In-school Student Workshops,,,,,,,,,0,,13-18 hrs,,12.0,0,,,,,,"We provide a four-year program in art that explores fine art techniques along with art history and the application of these skills in various art-related industries. All our students study the business of the arts and learn both digital and darkroom photography techniques. Students create portfolios over their four-year experience and write artists' statements and related essays. We aim to provide as varied a program as possible in the many subjects in the arts, including design, illustration, gallery and curatorial techniques. Our close connection with the business, industry and post-secondary education communities ensures that the standards, knowledge and expectations are continually updated and reassessed. This connection also allows students to have access to special enrichment, and unique internship and on-the-job training opportunities.",,,,,1,,,,,,,,,0,,,,,,,,0,,,
20K163,,,,,,,1,0.0,0.0,0,,,0,0.0,0.0,0,,,0,,0.0,,1,,,0,0.0,,,In-school Student Workshops,,,,,,,,,0,,24-30 hrs,,20.0,0,,,,,,"At PS/IS 163, fostering our students’ creativity and talent is a major part of our educational mission and is a major component of our students' education. Our rich arts program includes classes in visual arts, dance, music, and theater. 

Our visual arts program provides students in grades K-8 a well-rounded visual arts experience that covers both art history and hands-on art projects. Our dance program exposes students to various types of dance, classical and contemporary, and presents them with the opportunity to express themselves through movement. In addition to regularly scheduled music classes, our school has a chorus, a guitar club, and an orchestra. The students who are members of these groups, as well as many others, perform in our winter concert and our spring arts festival. Our theater program educates students on classical theater, as well as modern. Students work on projects, plays, review writing, and technical theater. 

At PS/IS 163, the arts are an integral part of student learning, as they help students to make cross-curricular connections and give them a sense of pride and accomplishment by recognizing their creative talents and potential.",,,,0.0,1,,,,24-30 hrs,0.0,,0.0,0.0,0,0.0,,0.0,0.0,0.0,,,0,0.0,,0.0
20K204,,,0.0,,,,0,0.0,0.0,0,,0.0,0,10.0,0.0,0,,,0,0.0,10.0,,0,0.0,,0,0.0,10.0,,Residency (direct instruction to students),,,,0.0,,0.0,,,0,,1-6 hrs,,10.0,0,Theater,,,,10.0,"At P.S. 204 Vince Lombardi, we have always focused on engaging our students in all aspects of the arts, including visual arts, dance, theater, and music.  In a typical school year, students in K-5 have the opportunity to broaden their skills in our visual arts program, where our arts teachers utilize The Blueprints for Teaching and Learning in the Arts. Our teachers engage students in various visual arts projects providing them ongoing opportunities to partake in self and peer assessment aligned to the standards. We have two full-time certified music teachers who, in a typical school year, provide music instruction to students in grades K-5. In prior years, our kindergarten students perform in an annual gift sharing musical performance. Our 3rd graders learn the recorder. Our 4th graders study various Broadway musicals (Inside Broadway) and perform acts from each of them. Our 5th grade students have an opportunity to play in our school band, and/or join our school's chorus and perform at various concerts. In a typical year, all students in grades Pre-K through 5 learn different styles of dance and perform in a schoolwide dance festival held annually each spring, and our fifth grade students receive instruction by Dancing Classrooms in various styles of ballroom dancing. Finally, our English language learners have the opportunity to engage in the TheatreMoves program, where they focus on collaboration and communication culminating in a theatrical performance.",,,,10.0,0,,,140.0,,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,,0,0.0,,0.0
11X096,0.0,,0.0,,,0.0,1,0.0,4.0,0,,0.0,0,0.0,0.0,0,,,0,0.0,0.0,,1,0.0,0.0,0,0.0,0.0,,Residency (direct instruction to students),0.0,,,0.0,,0.0,,0.0,0,,7-12 hrs,,75.0,0,Music,,,,0.0,"Public School 96, The Richard Rodgers School, is a diverse school community committed to creating an equitable educational environment of excellence for all participants. We serve scholars in grades PK -5, and our goal is to have all of our students take an active role in their arts education through hands-on activities and explorations. PS 96 offers arts education in the fields of visual arts, music, dance and theater through granted programs, programs through cultural organizations, and in class instruction. We are proud of the programs that are available to our students, including drumming, acting through Stella Adler, story telling, and dance. Our students receive weekly visual arts and music education. Many are able to take part in an abundance of afterschool arts programs, including Little Orchestra, Wolf's Den Arts and Crafts, and  a variety of programs through the 21st Century Leadership Grant in dancing, theater, and music. Parents and families are connected to their students' arts education through our interactive online art gallery featured on artsonia.com as well as through the Google Classroom platform.  Due to the unique circumstances of this year, the arts program has adapted so that every student, learning remotely or in person, has the opportunity to receive a quality arts education.  Both the music and visual arts teachers created arts lessons via video and over Zoom for remote learners while teaching in person learners in their classrooms.",,,,0.0,0,,,10.0,7-12 hrs,0.0,0.0,0.0,0.0,0,4.0,,0.0,0.0,0.0,0.0,,0,0.0,,0.0
02M393,,,,,,,0,,,0,,,0,,0.0,0,,,0,,,,0,,,0,,,,,,,,,,,,,0,,,,,0,,,,,,We have a full-time visual arts teacher who is implementing a visual arts curriculum with our ninth grade students.,,,,,1,,,,,,,,,0,,,,,,,,0,,,
