tru,section,bin,air_monitor_name,status_description,contractor_name,acm_amount,cross_street_between,premise_no,acm_unit,abatement_type
TRU0264MN21,North Elevation Setback,1034244.0,"The ALC Group, LLC dba ALC Environmental",Closed,Atlantic Sun Construction Corp.,5,,35,Square Feet,Removal
TRU0162SI20,"Building L, Electrical Room",5113034.0,"LiRo Engineers, Inc.",Closed,"D & S Restoration, Inc.",384,,1000L,Square Feet,Removal
TRU1235MN22,Duct Shaft,1015191.0,"Gallagher Bassett Services, Inc.",Closed,"NorthStar Contracting Group, Inc.",600,,401,Square Feet,Removal
TRU0012BX19,Apt g bedroom,2096698.0,"Environmental Health Investigations, Inc.",Closed,JVN Restoration Inc.,35,,44,Square Feet,Removal
TRU1852BX23,1A,2092114.0,"LiRo Engineers, Inc.",Closed,"New York Environmental Systems, Inc.",671,,1460,Square Feet,Removal
TRU6203MN17,,1017602.0,Airtek Environmental Corporation,Submitted,Pal Environmental Safety Corp.,246,,455,Linear Feet,Removal
TRU2705MN24,"East Lot Line Roof, Parapets",1040802.0,AIM Environmental LLC,Closed,"Nova Development Group, Inc.",2,,655,Square Feet,Removal
TRU1749BK19,"Apts A,B,C,D,E,F,G,J,K,L,M,N,P,Q,R",3.1888940E+6,Genesis Environmental Consultants Inc.,Submitted,"New York Environmental Systems, Inc.",15,,2832,Square Feet,Removal
TRU1199QN22,Southwest Portion of Bldg,4439904.0,"LiRo Engineers, Inc.",Closed,"International Asbestos Removal, Inc.",40,,66-60,Square Feet,Removal
TRU0972QN25,Building 1955 - Interior Room N167,4166101.0,WSP USA Inc.,Postponed,Starnight Corp.,1,,230-17,Square Feet,Removal
TRU1439MN21,Tower #1 Apartment E Kitchen,1081868.0,Empire Environmental Ltd. dba Empire,Closed,P.A.L. Environmental Safety Corp.,115,,78,Square Feet,Removal
TRU6202MN17,Room 2N41,1086515.0,WSP USA Inc.,Closed,"Abatech Industries, Inc.",25,,462,Square Feet,Removal
TRU0817MN24,Exterior Façade Elevation # 7,1081301.0,"Airtek Environmental, LLC",Closed,"Zoria Housing, LLC",6,,875,Square Feet,Removal
TRU1384MN25,Elevator B Lobby,1081771.0,"Sound Environmental Associates, LLC",Closed,"Abatement Unlimited, Inc.",5,,40,Square Feet,Removal
TRU1140BK21,Room 204,3010580.0,Airtek Environmental Corp.,Closed,"Vestar, Inc.",25,,4004,Square Feet,Repair
TRU1171MN19,Apt F,1020438.0,J.C. Broderick & Associates Inc.,Closed,New York Insulation Inc.,30,,301,Linear Feet,Removal
TRU6027BX18,Roof R-2 Purdy Street Elevation @ Exterior Facade,2041247.0,"Taylor Environmental Group, Inc.",Closed,"Kiss Construction, Inc.",160,,1560,Square Feet,Removal
TRU5812BX18,Storage Room A,2113629.0,"Hillmann Consulting, LLC",Submitted,JVN Restoration Inc.,20,,40,Square Feet,Removal
TRU0175SI24,Pipe Relocation - F4 - Bathroom,5095813.0,"Airtek Environmental, LLC",Submitted,"New York Insulation, Inc.",18,,820,Linear Feet,Removal
TRU0282BK22,APT. #1C CHASE WALL,332788200.00%,Airtek Environmental Corp.,Closed,"Belgrave Enterprises, Limited Liability Company",18,,114,Linear Feet,Removal
TRU2429MN24,Aparmtnet 3D Bedroom,1042844.0,Advanced Environmental Corp.,Closed,Incinia Contracting Inc,300,,125,Square Feet,Removal
TRU1705MN22,Throughout,1033691.0,Enviro-Pro Unltd Corp.,Closed,"New York Insulation, Inc.",1570,,720,Linear Feet,Removal
TRU1900MN25,East Elevation Facade,1040762.0,"Environmental Building Solutions, LLC",Postponed,"New York Insulation, Inc.",33,,645,Square Feet,Removal
TRU1518MN19,suite 2200,1035335.0,"Environmental Building Solutions, LLC",Closed,"Unitech Services Group, Inc.",768,,60,Linear Feet,Removal
TRU0911MN25,east elevation,1021925.0,"Environmental Planning & Management, Inc.",Submitted,"ETS Contracting, Inc.",44,,333,Square Feet,Removal
TRU2860MN24,West Façade,1084125.0,"Airtek Environmental, LLC",Submitted,"New York Insulation, Inc.",12,,545,Square Feet,Removal
TRU7254BK18,,3073119.0,"Eru-Ken Consulting, LLC",Closed,Brooks Remediation Corporation,800,,164,Square Feet,Removal
TRU2171MN19,,1079040.0,Crown Air Services LLC,Closed,Acme National Corp.,195,,160,Linear Feet,Removal
TRU2459MN19,North Elevation Exterior Facade,1031798.0,"Nigertech Services, Inc.",Submitted,New York Insulation Inc.,4,,101,Square Feet,Removal
TRU2444MN25,Apt 14M Bedroom & Closet,1027472.0,"Airtek Environmental, LLC",Closed,"ETS Contracting, Inc.",182,,20,Square Feet,Removal
TRU6248MN18,Photographer's Locker Room,1081220.0,"JLC Environmental Consultants, Inc.",Closed,U.S. Environmental Abatement Corp.,800,,205,Square Feet,Removal
TRU0975BK25,Electrical Room,3343250.0,Environmental Code Consultants Inc.,Postponed,"ESG, Inc.",10,,760,Linear Feet,Removal
TRU0243QN22,Apartment # 02B,4595577.0,"The ALC Group, LLC dba ALC Environmental",Closed,"Empire Control Abatement, Inc.",415,,40-13,Square Feet,Removal
TRU1221QN22,Room 209,4004874.0,"TRC Engineers, Inc.",Closed,Trio Asbestos Removal Corp.,280,,28-01,Square Feet,Removal
TRU0052SI21,Bathroom,5030264.0,Global Green1 Environmental LLC,Closed,T L D Services Inc,40,,49,Square Feet,Removal
TRU1503MN23,Stair H Landing,1059460.0,Precision Environmental Inc.,Closed,A Quest Corporation,150,,6,Square Feet,Removal
TRU1250MN21,kitchen,1047093.0,"A.B.S Environmental Services, L.L.C.",Closed,Steve Wilk Construction Inc.,20,,1115,Linear Feet,Removal
TRU0909BK25,120 Chauncey St. - Apt. #4L - Phase 1,3325183.0,Environmental Code Consultants Inc.,Postponed,T L D Services Inc,21,,1711,Square Feet,Removal
TRU0602MN23,EAST ELEVATION,1051487.0,Environmental Code Consultants Inc.,Closed,PAR Environmental Corporation,55,,3,Square Feet,Removal
TRU1532MN25,Apt. 22D - Pantry,1031607.0,"Standard Environmental Services, Inc.",Closed,Incinia Contracting Inc,12,,300,Linear Feet,Removal
TRU0975BX20,Ramp,2004496.0,"Langan Engineering, Environmental, Surveying, Land",Submitted,"U.S. Environmental Abatement, Corp.",10,,890,Square Feet,Removal
TRU0994MN23,Suite 2107,1035335.0,"Environmental Building Solutions, LLC",Closed,"Unitech Services Group, Inc.",880,,60,Square Feet,Removal
TRU1326QN19,Chiller Room,4439904.0,"LiRo Engineers, Inc.",Closed,"International Asbestos Removal, Inc.",568,,66-60,Square Feet,Removal
TRU0879MN21,Various Locations,1081213.0,Advanced Environmental Corp.,Closed,P.A.L. Environmental Safety Corp.,14,,1,Square Feet,Removal
TRU0855QN20,Crawlspace,4459093.0,Jet Environmental Testing Inc.,Closed,"Regional Management & Consulting, Inc.",423,,260-18,Linear Feet,Removal
TRU0256BK25,Courtyard North Elevation,3189517.0,"New York Environmental & Analytical Laboratories,",Submitted,"Alpha Environmental Services, Inc",125,,2929,Square Feet,Removal
TRU2704MN25,Southwest Elevation,1050766.0,"A & B Inspection Services, Corp.",Postponed,"ESG, Inc.",56,,515,Square Feet,Removal
TRU0037BX19,Roof Canopies,2092908.0,Genesis Environmental Consultants Inc.,Closed,"Zoria Housing, LLC",60,,1609,Square Feet,Removal
TRU0633QN23,Storage Room F9-2,4459431.0,Twin Peaks Environmental LLC,Closed,Maspeth Remodeling Co. Inc. DBA Maspeth Environmen,190,,163-49,Linear Feet,Removal
TRU0598QN22,"Back, lower roof",4062157.0,MKM Environmental Consulting LLC,Closed,Bright Light Star Corp,420,,5713,Square Feet,Removal
TRU0622QN23,Storage Room F8-1,4455109.0,Twin Peaks Environmental LLC,Closed,Maspeth Remodeling Co. Inc. DBA Maspeth Environmen,140,,160-54,Linear Feet,Removal
TRU0261QN22,General Office,4215612.0,BSI America Professional Services Inc.,Closed,ABC Construction Contracting Inc.,25,,159-02,Square Feet,Removal
TRU2720MN23,Level C4 south stack stair,1028816.0,Airtek Environmental Corporation,Closed,"ETS Contracting, Inc.",18,,170,Linear Feet,Removal
TRU1452BK22,Throughout,3196595.0,"LiRo Engineers, Inc.",Closed,"Abatech Industries, Inc.",4,,2951,Square Feet,Removal
TRU2237BK23,Apt G Kitchen.,3333398.0,Genesis Environmental Consultants Inc.,Closed,"New York Environmental Systems, Inc.",1,,335,Square Feet,Removal
TRU0761BX24,Apt. 3A,2092698.0,AIM Environmental LLC,Postponed,Federal Property Maintenance Corp.,150,,710,Square Feet,Removal
TRU0442BX20,Exterior Facade,2091223.0,Airtek Environmental Corp.,Closed,"New York Environmental Systems, Inc.",6,,785,Square Feet,Removal
TRU0571MN19,Room 811,1031008.0,"Environmental Management Services, Inc.",Closed,"KLG Contracting, Inc.",48,,305,Linear Feet,Removal
TRU0812BK22,"Upper Level of Duplex 1223C,1224c,1225C,1226C,1227C,1228C,1229C,1230C,1231C",3.3853030E+6,Genesis Environmental Consultants Inc.,Closed,"New York Environmental Systems, Inc.",9,,2925,Square Feet,Removal
TRU1447BX24,Exterior West Elevation,2094152.0,AIM Environmental LLC,Submitted,"ESG, Inc.",30,,1145,Square Feet,Removal
TRU0061BX22,Tent #12 / Westside Storage Room,200195000.00%,"Matrix New World Engineering, Land Surveying",Closed,"ETS Contracting, Inc.",31,,910,Linear Feet,Removal
TRU0403QN23,Garage,4303272.0,WSP USA Solutions Inc.,Closed,P.A.L. Environmental Safety Corp. dba PAL Environm,72,,370,Square Feet,Removal
TRU0368BK22,Apt. #4A,3327882.0,Airtek Environmental Corp.,Closed,"Belgrave Enterprises, Limited Liability Company",1,,113,Square Feet,Removal
TRU1200MN25,Room 1203,1017236.0,AIM Environmental LLC,Closed,AGG Contracting Inc.,20,,70,Linear Feet,Removal
TRU1709MN23,,1001100.0,U. Stiv Environmental Svces Inc.,Closed,A&M Environmental Services,1950,,176,Square Feet,Removal
TRU1258QN23,Staircase East,4209031.0,Environmental Risk Associates LLC,Closed,Citywide Environmental Services LLC,680,,162-02,Square Feet,Repair
TRU1568MN20,Bulkhead & Elevator Motor Room,1082366.0,Airtek Environmental Corp.,Submitted,"Vestar, Inc.",3,,1830,Square Feet,Removal
TRU1163MN20,Stand Pipe Room,1000868.0,"Environmental Management Services, Inc.",Closed,JVN Restoration Inc.,70,,111,Square Feet,Removal
TRU0646MN23,1C,1083461.0,"LiRo Engineers, Inc.",Closed,"New York Environmental Systems, Inc.",1027,,210,Square Feet,Removal
TRU6155QN18,Rear roof,4007117.0,Commercial Lab Enterprise,Closed,CPC Environmental Services Corporation,160,,31-22,Square Feet,Removal
TRU0706BX22,Boiler Room,2058117.0,3E Environmental Inc.,Postponed,JME Environmental Corp.,780,,3833,Square Feet,Removal
TRU0418BX22,Room 6,2093877.0,J.C. Broderick & Associates Inc.,Closed,A Quest Corporation,625,,3540,Square Feet,Removal
TRU0189BK25,Exterior Facade - Elevations #1 - 8,3339436.0,Genesis Environmental Consultants Inc.,Submitted,J & N Construction Group Corp.,8,,30,Square Feet,Removal
TRU2203MN19,2H,1080441.0,"H.A. Bader Consultants, Inc.",Closed,New York Insulation Inc.,4,,24,Square Feet,Removal
TRU0764BK24,Courtyard East Elevation,303990600.00%,ATC Group Services LLC,Submitted,ABC Construction Contracting Inc.,35,,820,Square Feet,Removal
TRU0075BK23,Room B5,3046876.0,"Core Environmental Consultants, Inc.",Submitted,Vestar Inc.,20,,500,Linear Feet,Removal
TRU1035BX22,east side - south north side,201524100.00%,J.C. Broderick & Associates Inc.,Closed,Maven Construction Corp.,150,,2780,Square Feet,Removal
TRU1660MN25,Apt 15E Bedroom #2 & Closet,1027472.0,"Airtek Environmental, LLC",Closed,"ETS Contracting, Inc.",200,,20,Square Feet,Removal
TRU0711QN21,Room #205,4004978.0,Claddagh Contracting LLC,Closed,Atrium NYC Inc.,140,,22-09,Square Feet,Removal
TRU0975BK25,Unit D - Bedroom,3343250.0,Environmental Code Consultants Inc.,Postponed,"ESG, Inc.",10,,760,Linear Feet,Removal
TRU7094MN18,b37/38/39/40,1084781.0,Lawrence Env LLC,Submitted,"RC Group, Inc.",140,,525,Square Feet,Removal
TRU0098SI21,Roof # C @  Mechanical Unit,5002227.0,"Environmental Management Solutions Of New York, In",Closed,"Kiss Construction, Inc.",5,,445,Square Feet,Removal
TRU2907MN22,Apartment # 14G,1079200.0,"The ALC Group, LLC dba ALC Environmental",Closed,"Empire Control Abatement, Inc.",532,,2070,Square Feet,Removal
TRU0146BX25,"Exterior Facade - Elevations #4,5,6",2092079.0,Genesis Environmental Consultants Inc.,Submitted,GNP Environmental Inc.,2,,3673,Square Feet,Removal
TRU0196QN19,Side of building,4005395.0,Enviro-Pro Unltd Corp.,Closed,Alba Environmental Inc.,2,,38-23,Square Feet,Removal
TRU1252BK25,Corridor,3343253.0,Environmental Code Consultants Inc.,Postponed,"ESG, Inc.",80,,790,Linear Feet,Removal
TRU2096MN22,,1078075.0,"Consulting And Testing Services, Inc.",Closed,"ETS Contracting, Inc.",1700,,1,Square Feet,Removal
TRU0099QN19,Boiler Room,4153296.0,"Taylor Environmental Group, Inc.",Closed,ABC Construction Contracting Inc.,1320,,195-02,Square Feet,Removal
TRU1453BX24,Apt. 'G'  Hallway,2093493.0,Environmental Code Consultants Inc.,Closed,T L D Services Inc,4,,1255,Square Feet,Removal
TRU1610BK23,APT. #1A Pipe Chase at Bathroom/Kitchen Wall,3327888.0,Airtek Environmental Corp.,Closed,T L D Services Inc,9,,190,Linear Feet,Removal
TRU0129MN21,"Apts A,B,C,D,E,F,G,H",1081295.0,Genesis Environmental Consultants Inc.,Submitted,"New York Environmental Systems, Inc.",48,,20,Square Feet,Removal
TRU0596MN25,,1083724.0,Enviro-Pro Unltd Corp.,Postponed,Envirotech Preservation Inc,100,,147,Linear Feet,Removal
TRU7011BK18,,3009637.0,Env Air Pro Inc.,Closed,Windsor Environmental Corp,200,,162,Square Feet,Removal
TRU0185MN22,entire,1001135.0,All Air Sampling Inc.,Closed,P&C Construction and  Consulting Services LLC,16000,,160,Square Feet,Removal
TRU1600BX22,Exterior Façade Elevations #2&24,2092078.0,Airtek Environmental Corp.,Closed,"Zoria Housing, LLC",6,,1408,Square Feet,Removal
TRU1253QN24,Women's Bathroom,4047310.0,Environmental Code Consultants Inc.,Submitted,"ESG, Inc.",10,,59-17,Square Feet,Removal
TRU1064MN22,Room 545,1083643.0,"Omega Laboratories, Inc.",Closed,"ACA Environmental Services, Inc.",210,,510,Square Feet,Removal
TRU1608MN24,5B,1083386.0,Genesis Environmental Consultants Inc.,Closed,"New York Environmental Systems, Inc.",619,,340,Square Feet,Removal
TRU0745BK20,Kitchen / Pantry,3117240.0,"Standard Environmental Services, inc.",Closed,Maspeth Remodeling Co. Inc. DBA Maspeth Environmen,425,,2518,Square Feet,Removal
TRU0863MN24,"South Elevation Quad C & D, Drop #4",1001026.0,Advanced Environmental Corp,Closed,P.A.L. Environmental Safety Corp. dba PAL Environm,4,,120,Square Feet,Removal
TRU2117MN19,South Storage,1042849.0,"GCI Environmental Advisory, Inc.",Closed,New York Insulation Inc.,600,,155,Linear Feet,Removal
TRU5014SI18,1966 Building 'C' Addition - Exterior Facade - Throughout,5026076.0,"Taylor Environmental Group, Inc.",Closed,"Vestar, Inc.",450,,85,Square Feet,Removal
TRU8182MN18,NE Perimeter,1087119.0,"Environmental Health Investigations, Inc.",Closed,"ETS Contracting, Inc.",80,,1095,Square Feet,Removal
TRU0236BX25,Exterior Facade Elevation# 1,2091972.0,Genesis Environmental Consultants Inc.,Submitted,Zoria Housing LLC,2,,750,Square Feet,Removal
TRU2484MN25,Apt. 15J - Bathroom,1084124.0,"Airtek Environmental, LLC",Submitted,"New York Insulation, Inc.",8,,3250,Linear Feet,Removal
TRU0967MN23,Rear Facade,1030720.0,"Green Path Environmental, Inc.",Closed,Incinia Contracting Inc,6,,245,Square Feet,Removal
TRU0817MN24,Exterior Façade Elevation # 7,1.0813010E+6,"Airtek Environmental, LLC",Closed,"Zoria Housing, LLC",4,,875,Square Feet,Removal
TRU0926QN23,Staircase 1 Landing,4302817.0,"New York Environmental & Analytical Laboratories,",Closed,A Quest Corporation,45,,488,Square Feet,Removal
TRU1017BX20,Apartment 604,2007852.0,Environmental Code Consultants Inc.,Postponed,Environmental Corps Corporation,500,,1560,Square Feet,Removal
TRU0741MN24,Apartment 1E Master Bathroom,1041491.0,Advanced Environmental Corp.,Closed,Incinia Contracting Inc,104,,11,Square Feet,Removal
TRU1284BK21,Exterior Facade - Elevations #1 - 24,3321414.0,Genesis Environmental Consultants Inc.,Closed,"Regional Management & Consulting, Inc.",11,,10513,Square Feet,Removal
TRU1515MN24,Apt. 12A Kitchen,1028714.0,"H.A. Bader Consultants, Inc.",Closed,ENP Environmental Inc.,20,,145,Linear Feet,Removal
TRU0279QN25,East Return #1,4052241.0,"H.A. Bader Consultants, Inc.",Submitted,"ESG, Inc.",1,,70-20,Square Feet,Removal
TRU0037SI20,North Exterior,5002944.0,Total Quality Environmental Inc.,Closed,JVN Restoration Inc.,300,,101,Square Feet,Removal
TRU0979BK25,"Exterior Facade Elevations# 13,14,16",3335247.0,"Airtek Environmental, LLC",Closed,Zoria Housing LLC,8,,146,Square Feet,Removal
TRU0517BK21,Exterior Façade  Elevation #1 - 36,3321346.0,Genesis Environmental Consultants Inc.,Closed,"Regional Management & Consulting, Inc.",274,,10835,Square Feet,Removal
TRU1556MN20,Main Roof,1057313.0,Advanced Environmental Corp.,Closed,"New York Insulation, Inc.",20,,375,Square Feet,Removal
TRU1580BX25,North  Setback Lower Roof,2003347.0,AIM Environmental LLC,Submitted,"Preet & B Construction, Corp.",5,,1391,Square Feet,Removal
TRU0348QN19,main center,4077359.0,Specialized United Services Inc.,Submitted,Urban Edge Environmental LLC,32,,70-12,Square Feet,Removal
TRU0242BX22,Apartment # 11H,2091116.0,Genesis Environmental Consultants Inc.,Closed,"Empire Control Abatement, Inc.",577,,271,Square Feet,Removal
TRU1208MN24,3D,1078857.0,Genesis Environmental Consultants Inc.,Closed,"New York Environmental Systems, Inc.",615,,1595,Square Feet,Removal
TRU0977QN20,Exterior Chimney,4057277.0,U. Stiv Environmental Svces Inc.,Closed,T L D Services Inc,10,,51-44,Square Feet,Removal
TRU2220BK23,Mechanical Room,3175834.0,"Core Environmental Consultants, Inc.",Submitted,A Quest Corporation,18,,346,Square Feet,Removal
TRU2356MN24,South Area,1040752.0,Enviro-Pro Unltd Corp.,Closed,Alba Environmental Inc.,4,,5,Square Feet,Removal
TRU1184MN24,"North, South, East & West Facade Elevations 1 Tru 12",1079350.0,"Airtek Environmental, LLC",Closed,"Zoria Housing, LLC",94,,830,Square Feet,Removal
TRU1765BK25,Exterior Facade - Elevations #18 - 24,3424544.0,Genesis Environmental Consultants Inc.,Postponed,J & N Construction Group Corp.,8,,280,Square Feet,Removal
TRU1225BX19,Exterior Façade  Elevations #1 - 14,2092750.0,Genesis Environmental Consultants Inc.,Closed,GNP Environmental Inc.,3,,810,Square Feet,Removal
TRU1090BK25,Hallway Landing,3052482.0,"Eli Environmental, Inc.",Submitted,Restoration Masters Incorporated,300,,315,Square Feet,Removal
TRU0982QN23,,4050482.0,Environmental Code Consultants Inc.,Closed,"ESG, Inc.",243,,97-77,Linear Feet,Removal
TRU1635BK21,Pump & Tank Room,3321764.0,"The Saban Engineering Group, Inc.",Closed,"Atco Contracting Group, Inc.",525,,2940,Square Feet,Removal
TRU2766MN23,Drop 6,1024894.0,Environmental Management Services Inc.,Submitted,"New York Insulation, Inc.",5,,211,Square Feet,Removal
TRU2010BK25,Apt. 1E - Bedroom 2,3323302.0,"Airtek Environmental, LLC",Postponed,GNP Environmental Inc.,2,,415,Square Feet,Removal
