unique_id,work_id,floor_ac_receptacles,sign_total_aw_guage,from_floor,floor_detail,floor_transformers,item,sign_id,sign_lamp_wattage
0094CA44-FADD-E811-811A-005056B627E6.BF3D7914-FADD-E811-811A-005056B627E6.0,ADD-E811-811A-005056B62,0,,,,3,Floor Descriptions - Total Units,0,0
00321C9F-285E-E811-8117-005056B627E4.2856ED75-285E-E811-8117-005056B627E4.0,00321C9F-285E-E811-8117-005056B627E4,0,,2.0,,0,Floor Descriptions - Total Units,0,0
008ACD70-30DC-E811-811B-005056B627E4.FF89CD70-30DC-E811-811B-005056B627E4.0,008ACD70-30DC-E811-811B-005056B627E4,0,,,sidewalk,0,Floor Descriptions - Total Units,0,0
0068FA9B-4560-E811-8117-005056B627E4.0.0,0068FA9B-4560-E811-8117-005056B627E4,0,,,,0,Up to 100 amps,0,0
011B283E-F45F-E911-8120-005056B627E6.0.0,011B283E-F45F-E911-8120-005056B627E6,0,,,,0,Up to 100 amps,0,0
009F8962-17DD-E811-811A-005056B627E6.6E044B15-17DD-E811-811A-005056B627E6.0,009F8962-17DD-E811-811A-005056B627E6,0,,2.0,,0,Floor Descriptions - Total Units,0,0
00F54109-57F3-E811-811A-005056B627E6.AB959BC7-56F3-E811-811A-005056B627E6.0,00F54109-57F3-E811-811A-005056B627E6,0,,,General Wiring - Coach Store,1,Floor Descriptions - Total Units,0,0
0072EFF1-F7E8-E811-811A-005056B627E6.0.0,0072EFF1-F7E8-E811-811A-005056B627E6,0,,,,0,1Ø over 20-1 or 10-2 pole breakers,0,0
009ECB8A-6F49-E811-8117-005056B627E4.0.0,009ECB8A-6F49-E811-8117-005056B627E4,0,,,,0,Up to 100 amps,0,0
00E12403-9795-E811-8119-005056B627E6.0.0,00E12403-9795-E811-8119-005056B627E6,0,,,,0,201 to 600 amps,0,0
00040517-E93D-E811-8117-005056B627E4.FF030517-E93D-E811-8117-005056B627E4.0,00040517-E93D-E811-8117-005056B627E4,12,,1.0,FLOORS 1-4 GENERAL WIRING,0,Floor Descriptions - Total Units,0,0
00BA9AE0-AB4C-E811-8117-005056B627E4.0.0,00BA9AE0-AB4C-E811-8117-005056B627E4,0,,,,0,3Ø up to 225 amps,0,0
00D611FC-252A-E811-8117-005056B627E4.FDD511FC-252A-E811-8117-005056B627E4.0,00D611FC-252A-E811-8117-005056B627E4,0,,,walk in,0,Floor Descriptions - Total Units,0,0
002B214F-D57E-E811-811A-005056B627E4.0.0,002B214F-D57E-E811-811A-005056B627E4,0,,,,0,Over 1200 amps,0,0
