evt_code,evt_sqlidentity,evt_reopened,evt_warranty,evt_udfchkbox03,evt_udfchar16,evt_reported,evt_printed,evt_udfchkbox01,evt_udfchkbox02,evt_due,evt_duration,evt_safety,evt_standwork,evt_date
2139837,2064339,-,-,+,,Apr 14 2021  3:46PM,-,-,-,,1,-,,Apr 14 2021  3:46PM
2139601,2064103,-,-,+,,Apr 13 2021  5:00PM,-,-,-,,1,-,,Apr 13 2021  5:00PM
1131074,1116675,-,-,-,,,-,-,-,,1,-,,20150601
1024359,1009960,-,-,-,,,-,-,-,,1,-,,20150111
2051090,1985717,-,-,+,,Jul 13 2020  1:52PM,-,-,-,,1,-,,Jul 13 2020  1:52PM
2145291,2069748,+,-,+,,May  5 2021 11:59AM,-,-,-,,1,-,Miscellaneous Supplies,May  5 2021 11:59AM
1274594,1259372,-,-,-,,,-,-,-,,1,-,,20160308
1710576,1683393,+,-,+,,Jun 13 2018  2:13PM,-,-,-,,1,-,,Jun 13 2018  2:13PM
1894574,1848398,-,-,+,,Apr 25 2019 12:09PM,-,-,-,,1,-,,Apr 25 2019 12:09PM
2021234,1956083,-,-,+,,Mar 30 2020 11:24AM,-,-,-,,1,-,,Mar 30 2020 11:24AM
2271676,2168249,-,-,+,,Feb  9 2022  1:13PM,-,-,-,,1,-,,Feb  9 2022  1:13PM
2149224,2073659,-,-,+,,May 19 2021  5:05PM,-,-,-,,1,-,,May 19 2021  5:05PM
12412,2413,-,-,-,,Apr 23 2009  2:31PM,-,-,-,,1,-,,20090423
2216220,2122207,-,-,-,,Sep 30 2021  3:45PM,-,-,-,,1,-,Soil,Sep 30 2021  3:45PM
2138771,2063285,-,-,+,,Apr  9 2021  2:51PM,-,-,-,,1,-,Lumber,Apr  9 2021  2:51PM
1698900,1671792,-,-,+,,May 19 2018 12:12PM,-,+,-,,26,-,,May 19 2018 12:12PM
1212134,1197520,-,-,-,,,-,-,-,,1,-,,20151017
2227209,2133059,-,-,+,,Oct 28 2021  5:26PM,-,-,-,,1,-,,Oct 28 2021  5:26PM
2287002,2174551,-,-,+,,Feb 24 2022  3:14PM,-,-,-,,1,-,,Feb 24 2022  3:14PM
2137942,2062469,-,-,+,,Apr  6 2021  4:23PM,-,-,-,,1,-,,Apr  6 2021  4:23PM
1854374,1808453,-,-,+,,Feb  4 2019 12:28PM,-,-,-,,1,-,,Feb  4 2019 12:28PM
1230552,1215780,-,-,-,,,-,-,-,,1,-,,20151125
2003718,1938681,-,-,+,,Feb 12 2020 12:41PM,-,-,-,,1,-,,Feb 12 2020 12:41PM
1111165,1096766,-,-,-,,,-,-,-,,1,-,,20150429
1915289,1859958,-,-,+,,May 30 2019 10:07AM,-,-,-,,1,-,,May 30 2019 10:07AM
1882687,1836598,-,-,+,,Apr  1 2019  2:27PM,-,-,-,,1,-,,Apr  1 2019  2:27PM
1893714,1847554,-,-,-,,Apr 23 2019 12:07PM,-,-,-,,1,-,,Apr 23 2019 12:07PM
2071042,2005572,-,-,+,,Sep 18 2020  2:31PM,-,-,-,,1,-,,Sep 18 2020  2:31PM
2050380,1985010,-,-,-,,Jul 10 2020  5:31PM,-,-,-,,1,-,,Jul 10 2020  5:31PM
2051100,1985727,-,-,+,,Jul 13 2020  2:04PM,-,-,-,,1,-,,Jul 13 2020  2:04PM
1736685,1700396,+,-,-,,Jul 16 2018  1:30PM,-,-,-,,1,-,Soil,Jul 16 2018  1:30PM
124625,114622,-,-,-,,,-,-,-,,1,-,,20100603
2305802,2193206,-,-,+,,Apr 25 2022  2:15PM,-,-,-,,1,-,,Apr 25 2022  2:15PM
1263484,1248310,-,-,-,,,-,-,-,,1,-,,20160211
1975486,1910667,-,-,+,,Nov  4 2019  2:38PM,-,-,-,,1,-,,Nov  4 2019  2:38PM
1018779,1004380,-,-,-,,,-,-,-,,1,-,,20141229
2138792,2063306,-,-,-,,Apr  9 2021  4:55PM,-,-,-,,1,-,,Apr  9 2021  4:55PM
1891149,1844997,-,-,+,,Apr 17 2019  4:41PM,-,-,-,,1,-,,Apr 17 2019  4:41PM
2288447,2175986,-,-,-,,Mar  2 2022 12:48PM,-,-,-,,1,-,,Mar  2 2022 12:48PM
1899413,1853155,-,-,+,,May 10 2019  9:53AM,-,+,-,,1,-,,May 10 2019  9:53AM
2013775,1948695,-,-,+,,Mar  5 2020  4:01PM,-,-,-,,1,-,,Mar  5 2020  4:01PM
1603444,1577097,-,-,-,,Dec 15 2017  3:27PM,-,-,-,,1,-,,Dec 15 2017  3:27PM
2284896,2172445,-,-,+,,Feb 22 2022  1:40PM,-,-,-,,1,-,,Feb 22 2022  1:40PM
2047695,1982357,-,-,+,,Jul  1 2020  6:47PM,-,-,-,,1,-,Lumber,Jul  1 2020  6:47PM
2297253,2184750,-,-,-,,Mar 28 2022 10:47AM,-,-,-,,1,-,,Mar 28 2022 10:47AM
1025495,1011096,-,-,-,,,-,-,-,,1,-,,20150113
1200579,1186077,-,-,-,,,-,-,-,,1,-,,20150925
2310467,2197828,-,-,+,,May 10 2022  2:10PM,-,-,-,,1,-,,May 10 2022  2:10PM
1191911,1177479,-,-,-,,,-,-,-,,1,-,,20150911
1197834,1183370,-,-,-,,,-,-,-,,1,-,,20150922
10562,563,-,-,-,,Apr 23 2009  1:41PM,-,-,-,,1,-,,20090423
1276862,1261628,-,-,-,,,-,-,-,,1,-,,20160312
2141641,2066125,-,-,+,,Apr 22 2021 10:25AM,-,-,-,,1,-,,Apr 22 2021 10:25AM
2300478,2187946,-,-,+,,Apr  7 2022  2:48PM,-,-,-,,1,-,,Apr  7 2022  2:48PM
1744994,1708641,-,-,+,,Aug  3 2018 12:10PM,-,-,-,,1,-,,Aug  3 2018 12:10PM
1024124,1009725,-,-,-,,,-,-,-,,1,-,,20150110
1052326,1037927,-,-,-,,Mar  4 2015 12:14PM,-,-,-,,1,-,,20150304
2146162,2070609,-,-,+,,May  7 2021  3:43PM,-,-,-,,1,-,,May  7 2021  3:43PM
1947439,1882870,-,-,+,,Aug  1 2019  1:08PM,-,-,-,,1,-,,Aug  1 2019  1:08PM
2092314,2026490,-,-,+,,Nov 27 2020  4:05PM,-,-,-,,1,-,,Nov 27 2020  4:05PM
1918084,1862720,-,-,+,,Jun  6 2019  2:07PM,-,-,-,,1,-,,Jun  6 2019  2:07PM
1921996,1866604,-,-,,,,-,,,,45,-,,Jun 19 2019 11:02AM
2006229,1941187,-,-,-,,Feb 19 2020  1:01PM,-,-,-,,1,-,,Feb 19 2020  1:01PM
1040239,1025840,-,-,-,,Feb 17 2015  3:28PM,-,-,-,,1,-,,20150217
2021862,1956709,-,-,-,,Apr  1 2020  3:00PM,-,-,-,,1,-,,Apr  1 2020  3:00PM
2309137,2196509,-,-,-,,May  5 2022  3:28PM,-,-,-,,1,-,,May  5 2022  3:28PM
2260531,2157189,-,-,+,,Jan 13 2022 11:52AM,-,-,-,,1,-,,Jan 13 2022 11:52AM
1798030,1752491,-,-,+,,Oct  4 2018  4:54PM,-,-,-,,1,-,,Oct  4 2018  4:54PM
2211667,2117735,-,-,+,,Sep 16 2021  2:50PM,-,-,-,,1,-,,Sep 16 2021  2:50PM
1896934,1850736,-,-,-,,Apr 30 2019  4:23PM,-,-,-,,1,-,,Apr 30 2019  4:23PM
1079474,1065075,-,-,-,,,-,-,-,,1,-,,20150310
1882559,1836470,-,-,+,,Apr  1 2019 11:36AM,-,-,-,,1,-,,Apr  1 2019 11:36AM
1150122,1135723,-,-,-,,,-,-,-,,1,-,,20150629
1131545,1117146,-,-,-,,,-,-,-,,1,-,,20150602
10856,857,-,-,-,,Apr 23 2009  2:09PM,-,-,-,,1,-,,20090423
2078988,2013474,-,-,+,,Oct 13 2020  2:28PM,-,-,-,,1,-,,Oct 13 2020  2:28PM
106714,96711,-,-,-,,,-,-,-,,1,-,,20100515
12096,2097,-,-,-,,Apr 23 2009  2:30PM,-,-,-,,1,-,,20090423
2301707,2189154,-,-,+,,Apr 12 2022  4:30PM,-,-,-,,1,-,,Apr 12 2022  4:30PM
2208437,2114556,-,-,+,,Sep  7 2021 10:08AM,-,-,-,,1,-,,Sep  7 2021 10:08AM
1912894,1857596,-,-,+,,May 22 2019  3:28PM,-,-,-,,1,-,,May 22 2019  3:28PM
1975354,1910535,-,-,+,,Nov  4 2019 12:01PM,-,-,-,,1,-,,Nov  4 2019 12:01PM
1183263,1168864,-,-,-,,,-,-,-,,1,-,,20150825
2178346,2084742,-,-,+,,Jun 18 2021  4:25PM,-,-,-,,1,-,,Jun 18 2021  4:25PM
2143738,2068209,+,-,-,,Apr 29 2021 11:03PM,-,-,-,,1,-,,Apr 29 2021 11:03PM
2014040,1948959,-,-,-,,Mar  6 2020 12:40PM,-,-,-,,1,-,,Mar  6 2020 12:40PM
2310505,2197865,-,-,+,,May 10 2022  3:33PM,-,-,-,,1,-,Soil/Compost,May 10 2022  3:33PM
1986820,1921912,-,-,+,,Dec 20 2019 11:52AM,-,-,-,,1,-,Gardener IPM Instruction/Demo - Rodents,Dec 20 2019 11:52AM
1764674,1728232,-,-,+,,Sep  7 2018  1:42PM,-,-,-,,1,-,,Sep  7 2018  1:42PM
119037,109034,-,-,-,,,-,-,-,,1,-,,20100528
1084125,1069726,-,-,-,,,-,-,-,,1,-,,20150314
1018734,1004335,-,-,-,,,-,-,-,,1,-,,20141229
1998104,1933108,-,-,+,,Jan 27 2020  2:09PM,-,-,-,,1,-,,Jan 27 2020  2:09PM
1175672,1161273,-,-,-,,,-,-,-,,1,-,,20150812
2037500,1972266,-,-,+,,May 27 2020  4:48PM,-,-,-,,1,-,,May 27 2020  4:48PM
1241474,1226605,-,-,-,,,-,-,-,,1,-,,20151216
2295699,2183207,-,-,+,,Mar 23 2022  3:42PM,-,-,-,,1,-,,Mar 23 2022  3:42PM
2085677,2020111,-,-,+,,Nov  2 2020  2:25PM,-,-,-,,1,-,,Nov  2 2020  2:25PM
2134662,2059293,-,-,+,,Mar 23 2021  5:08PM,-,-,-,,1,-,,Mar 23 2021  5:08PM
1294221,1278922,-,-,-,,,-,-,-,,1,-,,20160413
1028275,1013876,-,-,-,,,-,-,-,,1,-,,20150119
1597511,1571166,-,-,-,,Dec 14 2017  1:52PM,-,-,-,,1,-,,20171214
2111988,2045936,-,-,+,,Feb  5 2021  4:26PM,-,-,-,,1,-,Lumber,Feb  5 2021  4:26PM
1743951,1707608,-,-,+,,Aug  1 2018  9:50AM,-,-,-,,1,-,,Aug  1 2018  9:50AM
2301709,2189156,-,-,+,,Apr 12 2022  4:35PM,-,-,-,,1,-,,Apr 12 2022  4:35PM
2414004,2291604,-,-,-,,Mar  6 2023 12:51PM,-,-,-,,1,-,,20230306
2045433,1980126,-,-,+,,Jun 24 2020  4:55PM,-,-,-,,1,-,,Jun 24 2020  4:55PM
11757,1758,-,-,-,,Apr 23 2009  2:18PM,-,-,-,,1,-,,20090423
1698630,1671524,-,-,-,,May 19 2018  8:58AM,-,+,-,,26,-,,May 19 2018  8:58AM
1913548,1858249,-,-,+,,May 24 2019  3:37PM,-,-,-,,1,-,,May 24 2019  3:37PM
1956679,1892020,-,-,+,,Sep  5 2019  5:40PM,-,-,-,,1,-,,Sep  5 2019  5:40PM
1974675,1909881,-,-,+,,Nov  1 2019 11:48AM,-,-,-,,1,-,,Nov  1 2019 11:48AM
2149697,2074132,-,-,+,,May 21 2021 10:25AM,-,-,-,,1,-,,May 21 2021 10:25AM
12755,2756,-,-,-,,Apr 23 2009  2:32PM,-,-,-,,1,-,,20090423
1016051,1001652,-,-,-,,,-,-,-,,1,-,,20141223
2050267,1984897,-,-,+,,Jul 10 2020 12:18PM,-,-,-,,1,-,,Jul 10 2020 12:18PM
2185666,2091939,-,-,+,,Jul  8 2021  3:01PM,-,-,-,,1,-,,Jul  8 2021  3:01PM
1114552,1100153,-,-,-,,May  5 2015 12:01PM,-,-,-,,1,-,,20150505
2258861,2155520,-,-,-,,Jan 11 2022  3:51PM,-,-,-,,1,-,,Jan 11 2022  3:51PM
1710525,1683342,+,-,+,,Jun 13 2018  1:20PM,-,-,-,,1,-,,Jun 13 2018  1:20PM
1111764,1097365,-,-,-,,,-,-,-,,1,-,,20150430
2210992,2117069,-,-,-,,Sep 14 2021  4:42PM,-,-,-,,1,-,Stage/Patio,Sep 14 2021  4:42PM
1869243,1823220,-,-,-,,Mar  7 2019  5:08PM,-,-,-,,1,-,,Mar  7 2019  5:08PM
2564953,2441565,-,-,+,,Jul 18 2024 10:51AM,-,-,-,,1,-,,20240718
2180531,2086857,-,-,+,,Jun 23 2021  1:57PM,-,-,-,,1,-,,Jun 23 2021  1:57PM
1878350,1832277,-,-,-,,Mar 22 2019  5:34PM,-,-,-,,1,-,,Mar 22 2019  5:34PM
1894024,1847864,-,-,+,,Apr 24 2019  9:39AM,-,-,-,,1,-,,Apr 24 2019  9:39AM
2072867,2007390,-,-,+,,Sep 25 2020  2:01PM,-,-,-,,1,-,,Sep 25 2020  2:01PM
2563921,2440537,-,-,+,,Jul 15 2024 11:30AM,-,-,-,,1,-,Soil,20240715
1012458,998059,-,-,-,,,-,-,-,,1,-,,20141216
2327958,2215122,-,-,-,,Jun 28 2022  4:37PM,-,-,-,,1,-,,Jun 28 2022  4:37PM
2139757,2064259,-,-,+,,Apr 14 2021 12:08PM,-,-,-,,1,-,Miscellaneous Supplies,Apr 14 2021 12:08PM
2094772,2028933,-,-,+,,Dec  7 2020  3:12PM,-,-,-,,1,-,,Dec  7 2020  3:12PM
1912517,1857233,-,-,+,,May 21 2019  3:29PM,-,-,-,,1,-,,May 21 2019  3:29PM
2424869,2302361,-,-,-,,Apr  6 2023  3:27PM,-,-,-,,1,-,Lumber,20230406
2136007,2060604,-,-,+,,Mar 29 2021  3:28PM,-,-,-,,1,-,,Mar 29 2021  3:28PM
2043622,1978331,-,-,+,,Jun 19 2020 12:24PM,-,-,-,,1,-,,Jun 19 2020 12:24PM
2038994,1973747,-,-,-,,Jun  1 2020  3:46PM,-,-,-,,1,-,,Jun  1 2020  3:46PM
1141479,1127080,-,-,-,,,-,-,-,,1,-,,20150619
2138811,2063325,-,-,+,,Apr  9 2021  6:24PM,-,-,-,,1,-,,Apr  9 2021  6:24PM
2074973,2009484,-,-,+,,Oct  2 2020  9:35AM,-,-,-,,1,-,,Oct  2 2020  9:35AM
2127462,2052188,-,-,-,,Mar  5 2021  2:39PM,-,-,-,,1,-,Lumber,Mar  5 2021  2:39PM
1891596,1845444,-,-,+,,Apr 18 2019  4:11PM,-,-,-,,1,-,,Apr 18 2019  4:11PM
1917099,1861755,-,-,+,,Jun  4 2019 10:10AM,-,-,-,,1,-,Soil,Jun  4 2019 10:10AM
2052589,1987214,-,-,-,,Jul 17 2020  3:09PM,-,-,-,,1,-,,Jul 17 2020  3:09PM
1046563,1032164,-,-,-,,,-,-,-,,1,-,,20150301
1035380,1020981,-,-,-,,,-,-,-,,1,-,,20150206
1998932,1933931,-,-,+,,Jan 29 2020  5:34PM,-,-,-,,1,-,,Jan 29 2020  5:34PM
2284930,2172479,-,-,+,,Feb 22 2022  2:30PM,-,-,-,,1,-,,Feb 22 2022  2:30PM
1168934,1154535,-,-,-,,,-,-,-,,1,-,,20150801
2017263,1952155,-,-,+,,Mar 12 2020 11:17AM,-,-,-,,1,-,,Mar 12 2020 11:17AM
1222991,1208273,-,-,-,,,-,-,-,,1,-,,20151109
2140875,2065367,-,-,+,,Apr 19 2021  5:06PM,-,-,-,,1,-,,Apr 19 2021  5:06PM
2212878,2118920,-,-,-,,Sep 21 2021  2:13PM,-,-,-,,1,-,,Sep 21 2021  2:13PM
1038119,1023720,-,-,-,,Feb 12 2015  2:22PM,-,-,-,,1,-,,20150212
1287831,1272550,-,-,-,,,-,-,-,,1,-,,20160401
2111975,2045923,-,-,+,,Feb  5 2021  3:20PM,-,-,-,,1,-,,Feb  5 2021  3:20PM
2138768,2063282,-,-,+,,Apr  9 2021  2:32PM,-,-,-,,1,-,,Apr  9 2021  2:32PM
2208436,2114555,-,-,+,,Sep  7 2021 10:07AM,-,-,-,,1,-,,Sep  7 2021 10:07AM
2151660,2076083,-,-,+,,May 28 2021  4:27PM,-,-,-,,1,-,,May 28 2021  4:27PM
2006234,1941192,-,-,-,,Feb 19 2020  1:14PM,-,-,-,,1,-,,Feb 19 2020  1:14PM
10834,835,-,-,-,,Apr 23 2009  2:09PM,-,-,-,,1,-,,20090423
1896401,1850212,-,-,+,,Apr 29 2019  1:58PM,-,-,-,,1,-,,Apr 29 2019  1:58PM
1949785,1885195,-,-,-,,Aug  9 2019  2:02PM,-,-,-,,1,-,,Aug  9 2019  2:02PM
1699027,1671918,-,-,+,,May 19 2018  2:34PM,-,+,-,,1,-,,May 19 2018  2:34PM
1168738,1154339,-,-,-,,,-,-,-,,1,-,,20150801
1743510,1707172,+,-,+,,Jul 31 2018 10:11AM,-,-,-,,1,-,,Jul 31 2018 10:11AM
2449399,2326731,-,-,-,,Jun 29 2023  3:05PM,-,-,-,,1,-,Soil,20230629
2141096,2065585,-,-,+,,Apr 20 2021 12:02PM,-,-,-,,1,-,,Apr 20 2021 12:02PM
1966437,1901712,-,-,-,,Oct  3 2019  1:00PM,-,-,-,,1,-,,Oct  3 2019  1:00PM
1229883,1215117,-,-,-,,,-,-,-,,1,-,,20151124
2092256,2026432,-,-,+,,Nov 27 2020 12:26PM,-,-,-,,1,-,,Nov 27 2020 12:26PM
1174116,1159717,-,-,-,,,-,-,-,,1,-,,20150810
2049711,1984343,-,-,+,,Jul  8 2020  3:39PM,-,-,-,,1,-,,Jul  8 2020  3:39PM
2245847,2142611,-,-,+,,Nov 29 2021  2:41PM,-,-,-,,1,-,,Nov 29 2021  2:41PM
2008343,1943287,-,-,-,,Feb 26 2020 11:34AM,-,-,-,,1,-,Soil,Feb 26 2020 11:34AM
1927127,1871629,-,-,+,,Jul  1 2019 11:59AM,-,-,-,,1,-,,Jul  1 2019 11:59AM
2148504,2072939,-,-,+,,May 17 2021  6:10PM,-,-,-,,1,-,,May 17 2021  6:10PM
2048921,1983561,-,-,+,,Jul  6 2020 11:21AM,-,-,-,,1,-,,Jul  6 2020 11:21AM
1974746,1909951,-,-,+,,Nov  1 2019  2:56PM,-,-,-,,1,-,,Nov  1 2019  2:56PM
1878348,1832275,-,-,-,,Mar 22 2019  5:29PM,-,-,-,,1,-,,Mar 22 2019  5:29PM
10537,538,-,-,-,,Apr 23 2009  1:41PM,-,-,-,,1,-,,20090423
2260530,2157188,-,-,+,,Jan 13 2022 11:51AM,-,-,-,,1,-,,Jan 13 2022 11:51AM
2097059,2031165,-,-,+,,Dec 16 2020  5:15PM,-,-,-,,1,-,,Dec 16 2020  5:15PM
2051938,1986564,-,-,+,,Jul 15 2020  2:22PM,-,-,-,,1,-,,Jul 15 2020  2:22PM
1070663,1056264,-,-,-,,,-,-,-,,1,-,,20150309
2053105,1987730,-,-,+,,Jul 20 2020 10:25AM,-,-,-,,1,-,Site Prep,Jul 20 2020 10:25AM
1275247,1260021,-,-,-,,,-,-,-,,1,-,,20160309
1805062,1759454,-,-,+,,Oct 19 2018 12:58PM,-,-,-,,1,-,,Oct 19 2018 12:58PM
2190037,2096244,-,-,+,,Jul 23 2021 10:55AM,-,-,-,,1,-,,Jul 23 2021 10:55AM
2300513,2187981,-,-,-,,Apr  7 2022  5:03PM,-,-,-,,1,-,,Apr  7 2022  5:03PM
1236350,1221544,-,-,-,,,-,-,-,,1,-,,20151207
2260529,2157187,-,-,+,,Jan 13 2022 11:49AM,-,-,-,,1,-,,Jan 13 2022 11:49AM
2078967,2013453,-,-,+,,Oct 13 2020  1:28PM,-,-,-,,1,-,DSNY Scrape,Oct 13 2020  1:28PM
2207183,2113316,-,-,+,,Sep  1 2021 10:33AM,-,-,-,,1,-,,Sep  1 2021 10:33AM
1985000,1920101,-,-,+,,Dec 12 2019 10:30AM,-,-,-,,1,-,Miscellaneous Supplies,Dec 12 2019 10:30AM
1162034,1147635,-,-,-,,,-,-,-,,1,-,,20150720
1856734,1810794,-,-,+,,Feb  8 2019  5:30PM,-,-,-,,1,-,,Feb  8 2019  5:30PM
2574197,2450759,-,-,+,,Aug 16 2024 12:16PM,-,-,-,,1,-,Soil,20240816
1869096,1823074,-,-,+,,Mar  7 2019  1:38PM,-,-,-,,1,-,,Mar  7 2019  1:38PM
1871706,1825670,-,-,-,,Mar 13 2019  2:19PM,-,-,-,,1,-,,Mar 13 2019  2:19PM
1183170,1168771,-,-,-,,,-,-,-,,1,-,,20150825
2150508,2074940,-,-,-,,May 24 2021  2:38PM,-,-,-,,1,-,,May 24 2021  2:38PM
1956384,1891727,-,-,+,,Sep  4 2019  3:20PM,-,-,-,,1,-,,Sep  4 2019  3:20PM
1271727,1256517,-,-,-,,,-,-,-,,1,-,,20160302
1603300,1576953,-,-,-,,Dec 15 2017  3:24PM,-,-,-,,1,-,,Dec 15 2017  3:24PM
2286808,2174357,-,-,-,,Feb 24 2022  8:33AM,-,-,-,,1,-,,Feb 24 2022  8:33AM
1878352,1832279,-,-,-,,Mar 22 2019  5:40PM,-,-,-,,1,-,,Mar 22 2019  5:40PM
2135538,2060146,-,-,+,,Mar 26 2021  4:36PM,-,-,-,,1,-,,Mar 26 2021  4:36PM
2300511,2187979,-,-,+,,Apr  7 2022  4:29PM,-,-,-,,1,-,,Apr  7 2022  4:29PM
2002133,1937105,-,-,+,,Feb  6 2020  2:29PM,-,-,-,,1,-,,Feb  6 2020  2:29PM
2014105,1949022,-,-,+,,Mar  6 2020  3:06PM,-,-,-,,1,-,,Mar  6 2020  3:06PM
1172139,1157740,-,-,-,,,-,-,-,,1,-,,20150807
1890435,1844292,-,-,+,,Apr 16 2019  2:18PM,-,-,-,,1,-,Compost,Apr 16 2019  2:18PM
1788669,1743186,-,-,-,,Sep 17 2018 11:10AM,-,-,-,,1,-,,Sep 17 2018 11:10AM
12312,2313,-,-,-,,Apr 23 2009  2:31PM,-,-,-,,1,-,,20090423
1111480,1097081,-,-,-,,,-,-,-,,1,-,,20150430
1187120,1172721,-,-,-,,,-,-,-,,1,-,,20150901
2141370,2065857,-,-,+,,Apr 21 2021  9:40AM,-,-,-,,1,-,,Apr 21 2021  9:40AM
1928578,1873076,-,-,-,,Jul  3 2019  5:47PM,-,-,-,,1,-,,Jul  3 2019  5:47PM
2050006,1984638,-,-,+,311-02937679,Jul  9 2020 11:57AM,-,-,-,,1,-,,Jul  9 2020 11:57AM
2137042,2061587,-,-,+,,Apr  2 2021  5:58PM,-,+,-,,1,-,,Apr  2 2021  5:58PM
2302781,2190219,-,-,-,,Apr 15 2022 10:45AM,-,-,-,,1,-,,Apr 15 2022 10:45AM
2129282,2054005,-,-,+,,Mar 10 2021 12:37PM,-,-,-,,1,-,,Mar 10 2021 12:37PM
115317,105314,-,-,-,,,-,-,-,,1,-,,20100524
2042337,1977060,-,-,+,,Jun 15 2020  1:45PM,-,-,-,,1,-,,Jun 15 2020  1:45PM
1894044,1847881,-,-,+,,Apr 24 2019 10:06AM,-,-,-,,1,-,,Apr 24 2019 10:06AM
2009878,1944807,-,-,+,,Mar  2 2020  1:48PM,-,-,-,,1,-,,Mar  2 2020  1:48PM
1277930,1262695,-,-,-,,,-,-,-,,1,-,,20160314
1958948,1894273,-,-,+,,Sep 13 2019  4:18PM,-,-,-,,1,-,,Sep 13 2019  4:18PM
1015845,1001446,-,-,-,,,-,-,-,,1,-,,20141223
12350,2351,-,-,-,,Apr 23 2009  2:31PM,-,-,-,,1,-,,20090423
1596031,1569686,-,-,-,,Dec 14 2017  1:26PM,-,-,-,,1,-,,Dec 14 2017  1:26PM
12727,2728,-,-,-,,Apr 23 2009  2:32PM,-,-,-,,1,-,,20090423
1142427,1128028,-,-,-,,,-,-,-,,1,-,,20150622
2291341,2178856,-,-,-,,Mar  9 2022 12:14PM,-,-,-,,1,-,,Mar  9 2022 12:14PM
1223079,1208361,-,-,-,,,-,-,-,,1,-,,20151109
121682,111679,-,-,-,,,-,-,-,,1,-,,20100530
1155525,1141126,-,-,-,,,-,-,-,,1,-,,20150710
2003032,1937996,-,-,-,,Feb 10 2020  2:16PM,-,-,-,,1,-,,Feb 10 2020  2:16PM
2050339,1984969,-,-,+,,Jul 10 2020  3:10PM,-,-,-,,1,-,,Jul 10 2020  3:10PM
1026041,1011642,-,-,-,,,-,-,-,,1,-,,20150114
