gchild1_qchild2_ma,qbikewhynot7,qtimehome,qnoelectric4,qworktravelcode05,qbikestore1,qntacode_work,qschooltransitto2,qtransportnosubway04,qeducation,qnocitibike10,qcarincreasea8,qcarreducea6,qschooltransitto5,qstudenttravelcode10,qnoelectric3,qdisability6,job,qwelfare5,qridehail5,qrace,qbiketo,qworktravelcode01,qtransportnosubway02,qindustry,qtransportnosubway05,qbusimpact,qstudentpark,qwelfare1,qnocitibike05,qwelfare2,qbikewhy4,gcartype1_qcartype4_ma,qpaytopark,qdisability5,qstudenttravelcode22,qstudenttravelcode20,qtransportnobus07,qstudenttravelcode19,qshare6,qmarried,qfreight_cmb6,qbikestore9,qschooltravelcode24,qbikewhy7,datacollection_starttime,qstudenttravelcode06,qridehail6,qlevelschool,qborough_work3,qshare5,qbikestolen,qtransportnobus09,qnocitibike01,qridehail3,qworktravelcode09,qstudenttravelcode24,qntacode_work2,gfulltime_qfulltime_ma,qcarincreasea4,qemploymentcode,qbikemany,qstudenttravelcode23,qbiketype4,qbikestore7,qcarhybrid4,qbikewhynot2,qcarhybrid3,qtransportnosubway03,qcarreducea5,qworktravelcode15
,,1:00,,No,,,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Phone,No,No,Black/ African American/ Caribbean American,,No,,Government,,,,No,No,No,,,Yes,No,No,No,,No,Yes,Divorced,Yes,,,,,No,Yes,,,No,Yes,,No,No,No,No,,1,,Employed,,No,,,,,,,,No
,,,,,,,,No,"High school graduate or equivalent (i.e., GED)",,,No,,No,,No,Online,No,,White/Caucasian,No,,Yes,,No,I take the bus more frequently,,No,,No,No,,,No,No,No,,No,No,Divorced,No,,,No,13745973981.0,No,,,,No,No,,,,,No,,,,Not in Labor Force,,No,,,,,,No,No,
,,PM,,No,No,BK37,,,"High school graduate or equivalent (i.e., GED)",,,,,No,,No,Online,No,,Black/ African American/ Caribbean American,No,No,,Other,,,,No,,No,No,,,No,No,No,,No,Yes,Single,No,No,No,No,13745974915.0,No,,,,No,Yes,,,,No,No,,1,,Employed,1.0,No,No,No,,,,,,No
,,9:00 PM,,No,,,,No,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Phone,No,No,White/Caucasian,,Yes,No,Health Care/Social Assistance,No,,,No,No,No,,,,No,No,No,,No,Yes,Divorced,No,,,,,No,No,,,No,No,,No,No,No,No,,1,,Employed,,No,,,,,,No,,No
,,,No,,No,,,No,"Bachelor's degree (i.e., BA, BS, AB)",No,No,,,No,No,No,Online,No,No,White/Caucasian,No,,No,"Professional & Business Services (consulting, legal, marketing)",Yes,I take the bus the same amount,,No,No,No,No,,,No,No,No,,No,Yes,Married,Yes,No,,No,13746899771.0,No,Yes,,,No,No,,No,No,,No,,,No,Employed,2.0,No,No,No,,,,Yes,,
,,4:20 PM,,No,,QN62,,No,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,Asian,,Yes,Yes,Health Care/Social Assistance,No,,,No,No,No,,,,No,No,No,,No,Yes,Single,No,,,,13748881244.0,No,,,,No,Yes,,Yes,,No,No,,1,,Employed,,No,,,,,,No,,No
,No,,,,No,,,,"Bachelor's degree (i.e., BA, BS, AB)",,,,,No,,No,Online,No,,White/Caucasian,No,,,,,,,No,,No,,,,No,No,No,,No,Yes,Single,No,No,,,13748151992.0,No,,,,No,Yes,,,,,No,,,,Unemployed,1.0,No,No,No,,No,,,,
Yes,,630,,No,No,,,,Some college but degree not received or in progress,No,,,,No,,No,Phone,No,No,Black/ African American/ Caribbean American,Yes,No,,Health Care/Social Assistance,,I take the bus less frequently,,No,Yes,No,,,,No,No,No,Yes,No,Yes,Married,Yes,No,No,,,No,Yes,,,No,No,No,No,No,No,No,,1,,Employed,3.0,No,No,No,,,,,,No
,No,6:30PM,,No,,MN25,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,No,Asian,,No,,"Professional & Business Services (consulting, legal, marketing)",,,,No,No,No,,,,No,No,No,,No,Yes,Living in a committed partnership,No,,,,13747177898.0,No,No,,,No,No,,No,No,No,No,,1,,Employed,,No,,,,No,,,,No
,No,"5""30PM",,No,No,BK17,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Online,No,,White/Caucasian,No,No,,Education,,I take the bus less frequently,,No,No,No,,,,No,No,No,,No,Yes,Married,Yes,No,,,13745174106.0,No,,,,No,Yes,,No,,No,No,,1,,Employed,2.0,No,No,No,,No,,,,No
,No,7pm,,No,,MN19,,,"Bachelor's degree (i.e., BA, BS, AB)",,,,,No,,No,Online,No,No,White/Caucasian,No,Yes,,Retail,,,,No,,No,,,No,No,No,No,,No,Yes,Single,No,,,,13745083042.0,No,No,,,No,Yes,,,No,No,No,,1,,Employed,,No,,,,No,,,,No
,No,730 pm,,No,No,SI14,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,White/Caucasian,,No,,Health Care/Social Assistance,,,,No,No,No,,,,No,No,No,,No,Yes,Single,No,No,,,13747191398.0,No,,College or community college,,No,No,,No,,No,No,,1,,Employed,1.0,No,No,No,,No,,,,No
,No,,,,,,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,White/Caucasian,,,,,,I take the bus the same amount,,No,No,No,,,,No,No,No,,No,No,Married,No,,,,13746244151.0,No,,,,No,No,,No,,,No,,,,Unemployed,,No,,,,Yes,,,,
,No,7:00 PM,,No,,BK90,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,White/Caucasian,,No,,Arts & Entertainment,,,,No,No,No,,,,No,No,No,,No,Yes,Single,No,,,,13749318797.0,No,,,,No,No,,No,,No,No,,1,,Employed,,No,,,,Yes,,,,No
,No,5:30pm,,No,,MN24,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Online,No,No,White/Caucasian,,No,,Arts & Entertainment,,I take the bus less frequently,,No,Yes,No,,,,No,No,No,No,No,Yes,Married,Yes,,,,13747440975.0,No,Yes,,,No,No,No,Yes,No,No,No,,1,,Employed,,No,,,,Yes,,,,No
,,,,,,,,,Some college but degree not received or in progress,No,,,,No,,No,Phone,No,No,White/Caucasian,,,,,,,,No,No,No,,,No,No,No,No,,No,Yes,Married,No,,,,,No,Yes,,,No,No,,No,No,,No,,,,Not in Labor Force,,No,,,,,,,,
Yes,,,,No,,,,No,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Phone,No,No,White/Caucasian,,No,No,"Professional & Business Services (consulting, legal, marketing)",No,,,No,No,No,,,,No,No,No,,No,Yes,Married,No,,No,,,No,No,,,No,No,,No,No,No,No,,,,Employed,,No,,,,,,Yes,,No
,No,8pm,,No,,MN17,,No,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,Asian,,Yes,No,Financial services,No,,,No,No,No,,,,No,No,No,,No,Yes,Single,No,,,,13749217531.0,No,,,,No,No,,No,,No,No,,1,,Employed,,No,,,,No,,No,,No
Yes,No,6,,No,,MN17,,No,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,No,White/Caucasian,,No,No,Technology & Telecommunications,No,I take the bus less frequently,,No,No,No,,,Yes,No,No,No,No,No,Yes,Married,No,,No,,13745255814.0,No,No,,,No,No,No,No,Yes,No,No,,1,,Employed,,No,,,,No,,No,,No
Yes,No,1000PM,,No,No,,,No,"Graduate degree (i.e., Master's, Professional, Doctorate)",,,,,No,,No,Phone,No,No,Other,,No,No,Health Care/Social Assistance,No,I take the bus the same amount,,No,,No,,,,No,No,No,,No,Yes,Married,Yes,No,No,,,No,Yes,,,No,Yes,,,No,No,No,,,,Employed,2.0,No,No,No,,No,,No,,No
,No,,,,,,,,"High school graduate or equivalent (i.e., GED)",Yes,,,,No,,No,Phone,No,,White/Caucasian,,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Single,Yes,,,,,No,,,,No,Yes,,No,,,No,,,,Unemployed,,No,,,,No,,,,
,No,5:30PM,,No,,QN29,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,No,White/Caucasian,,No,,Financial services,,,,No,No,No,,,No,No,No,No,,No,Yes,Single,No,,,,13746899868.0,No,No,,,No,No,,No,No,No,No,,1,,Employed,,No,,,,No,,,,No
,No,430pm,,No,,MN22,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,White/Caucasian,,No,,Education,,,,No,No,No,,,,No,No,No,,No,Yes,Married,No,,,,13747436730.0,No,,,,No,No,,No,,No,No,,,,Employed,,No,,,,No,,,,No
,No,6pm or 11pm,,No,,MN17,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,No,White/Caucasian,,No,,Arts & Entertainment,,I take the bus the same amount,,No,No,No,,,,No,No,No,,No,Yes,Married,Yes,,,,13749272527.0,No,No,,,No,No,,No,No,No,No,,1,,Employed,,No,,,,No,,,,No
,No,,,,,,,No,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,White/Caucasian,No,,Yes,,No,I take the bus the same amount,,Yes,Yes,No,,,,No,No,No,,No,Yes,Single,No,,,,13748011799.0,No,,,,No,No,,Yes,,,No,,,,Other,,No,,,,Yes,,No,,
,No,03:00 A.M.,,No,No,QN98,,,"Associate degree (i.e., AA, AS)",No,,,,No,,No,Online,No,,Asian,Yes,No,,Transportation and Utilities,,,,No,No,No,,,No,No,No,No,,No,Yes,Single,No,No,,,13747697884.0,No,,,,No,Yes,,No,,No,No,,1,,Employed,1.0,No,No,No,,No,,,,No
,No,,,,,,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,White/Caucasian,,,,,,,,No,No,No,,,,No,No,No,,No,No,Single,Yes,,,,13744909232.0,No,,,,Yes,No,,No,,,No,,,,Unemployed,,No,,,,No,,,,
,,545 pm,,No,,,,,"Associate degree (i.e., AA, AS)",No,No,,,No,,No,Phone,No,No,Black/ African American/ Caribbean American,,No,,Health Care/Social Assistance,,,,No,No,No,,,,No,No,No,,No,Yes,Married,No,,,,,No,Yes,College or community college,,No,No,,No,No,No,No,,1,No,Employed,,No,,,,,,,,No
Yes,,2;30,,No,No,,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Phone,No,No,White/Caucasian,No,No,,Education,,,,No,No,No,No,,,No,No,No,,No,Yes,Married,No,No,No,No,,No,Yes,,,No,No,,No,No,No,No,,,,Employed,3.0,No,No,Yes,,,,,,No
,Yes,,,,,,,No,"High school graduate or equivalent (i.e., GED)",No,,,,No,,Yes,Online,No,,Other,,,Yes,,No,I take the bus less frequently,,No,No,No,,,,No,No,No,,No,Yes,Living in a committed partnership,Yes,,,,13749272171.0,No,,,,No,No,,Yes,,,No,,,,Not in Labor Force,,No,,,,No,,Yes,,
,No,9PM,,No,,QN61,,No,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Online,No,,Asian,,No,No,Education,No,,,No,No,No,,,Yes,No,No,No,,No,Yes,Living in a committed partnership,No,,,,13747537811.0,No,,,,No,No,,Yes,,No,No,QN37,1,,Employed,,No,,,,Yes,,Yes,,No
,No,,,,,,,,Some college but degree not received or in progress,No,,,,No,,No,Phone,No,,Black/ African American/ Caribbean American,,,,,,,,No,No,Yes,,,,No,No,No,,No,Yes,Single,Yes,,No,,,No,,,,No,No,,No,,,No,,,,Not in Labor Force,,No,,,,No,,,,
,,7pm,,No,Yes,MN34,,No,"Bachelor's degree (i.e., BA, BS, AB)",,,No,,No,,No,Online,No,,White/Caucasian,Yes,Yes,No,Financial services,No,I take the bus less frequently,,No,,No,No,,Yes,No,No,No,,No,No,Living in a committed partnership,Yes,No,,No,13746923887.0,No,,,,No,Yes,,,,No,No,MN99,2,,Employed,2.0,No,No,No,,,,No,No,No
,No,,,,,,,,Some college but degree not received or in progress,No,,,,No,,No,Online,No,,White/Caucasian,,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Widowed,Yes,,,,13745254422.0,No,,,,No,No,,No,,,No,,,,Not in Labor Force,,No,,,,No,,,,
,No,,,,,,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,White/Caucasian,,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Single,No,,,,13746505678.0,No,,,,No,No,,No,,,No,,,,Not in Labor Force,,No,,,,No,,,,
,No,,,,,,,No,"Bachelor's degree (i.e., BA, BS, AB)",No,,Yes,,No,,No,Online,No,,White/Caucasian,,,Yes,,No,,,No,No,No,,,,No,No,No,,No,Yes,Widowed,No,,,,13747079548.0,No,,,,No,No,,No,,,No,,,,Not in Labor Force,,No,,,,No,,No,No,
,,7pm,,No,,,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Phone,No,No,White/Caucasian,,No,,Arts & Entertainment,,,,No,No,No,,,Yes,No,No,No,,No,Yes,Married,No,,,,,No,Yes,,,No,No,,No,No,No,No,,1,,Employed,,No,,,,,,,,No
,No,,,,No,,,No,Some college but degree not received or in progress,No,,,,No,,No,Phone,No,No,Black/ African American/ Caribbean American,,,No,,No,I take the bus less frequently,,No,No,No,,,,No,No,No,,No,Yes,Married,No,No,,,,No,Yes,,,No,Yes,,No,No,,No,,,,Not in Labor Force,1.0,No,No,No,,No,,No,,
,,6.00pm,,No,,,,,Some college but degree not received or in progress,No,,,,No,,No,Phone,No,No,White/Caucasian,,No,,Other,,,,No,No,No,,,,No,No,No,,No,Yes,Single,Yes,,,,,No,Yes,,,No,No,,No,No,No,No,,1,,Employed,,No,,,,,,,,No
,,4pm,,No,No,MN15,,,"Associate degree (i.e., AA, AS)",No,,,,No,,No,Online,No,,Black/ African American/ Caribbean American,Yes,No,,Other,,,,No,No,Yes,No,,Yes,No,No,No,,No,Yes,Single,No,No,,No,13746812660.0,No,,,,No,No,,No,,No,No,MN99,,,Employed,3.0,No,No,No,,,,,,No
,No,8pm,,No,,BK33,,,Some college but degree not received or in progress,No,,,,No,,No,Online,No,No,Other,,No,,Other,,I take the bus the same amount,,No,No,No,,,,No,No,No,,No,Yes,Single,No,,,,13747071433.0,No,Yes,,,No,No,,No,No,No,No,QN22,1,,Employed,,No,,,,No,,,,No
,,3:00 PM,No,No,No,MN09,,,"Bachelor's degree (i.e., BA, BS, AB)",,No,,,No,No,No,Online,No,,White/Caucasian,Yes,Yes,,Education,,I take the bus the same amount,,No,,No,Yes,,,No,No,No,,No,Yes,Single,No,No,,No,13748502316.0,No,,,,No,No,,,,No,No,MN36,1,No,Employed,1.0,No,No,No,,,,,,No
,No,4:30 PM,,No,,MN40,,,"Associate degree (i.e., AA, AS)",No,,,,No,,No,Online,No,,Asian,,No,,Financial services,,I take the bus more frequently,,No,No,No,,,,No,No,No,,No,Yes,Single,No,,,,13747951424.0,No,,,,No,No,,No,,No,No,,0,,Employed,,No,,,,No,,,,No
,No,,Yes,,,,,,"High school graduate or equivalent (i.e., GED)",No,No,,,No,No,No,Online,No,,White/Caucasian,No,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Single,Yes,,,,13747339683.0,No,,College or community college,,No,No,,No,,,Yes,,,No,Not in Labor Force,,No,,,,Yes,,,,
,,,,,No,,,,"High school graduate or equivalent (i.e., GED)",Yes,,,,No,,No,Online,No,,Black/ African American/ Caribbean American,No,,,,,,,No,No,No,No,,,No,No,No,,No,Yes,Living in a committed partnership,No,No,No,No,13745682297.0,No,,,,No,Yes,,No,,,No,,,,Not in Labor Force,1.0,No,No,No,,,,,,
,No,7;30pm,,No,No,,No,,"Bachelor's degree (i.e., BA, BS, AB)",,,,No,No,,No,Phone,No,No,White/Caucasian,,Yes,,Financial services,,,,No,,No,,,No,No,No,No,,No,Yes,Married,No,No,No,,,No,No,,,No,No,,,No,No,No,,1,,Employed,4.0,No,No,No,,No,,,,No
,Yes,6:30pm,,Yes,,MN40,,,"Associate degree (i.e., AA, AS)",No,,,,No,,No,Online,No,No,Black/ African American/ Caribbean American,,Yes,,Non-profit,,,,No,No,No,,,,No,No,No,,No,Yes,Single,Yes,,,,13746735175.0,No,No,College or community college,,No,No,,No,No,No,No,,1,,Employed,,No,,,,No,,,,No
,,,,,,,,,Some college but degree not received or in progress,No,,,,No,,No,Online,No,No,Black/ African American/ Caribbean American,No,,,,,I take the bus more frequently,,Yes,No,Yes,No,,,No,No,No,,No,Yes,Single,No,,,No,13747168230.0,No,No,College or community college,,No,Yes,,Yes,No,,No,,,,Not in Labor Force,,No,,,,,,,,
,,7:00PM,,No,No,MN17,,Yes,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Online,No,,Asian,,Yes,No,Arts & Entertainment,No,,,No,No,No,,,,No,No,No,,No,Yes,Single,Yes,No,,,13746225158.0,No,,,,No,No,,No,,No,No,,1,,Employed,1.0,No,No,No,,,,No,,No
,No,730,,No,No,,,,Some college but degree not received or in progress,No,,,,No,,No,Phone,No,No,Black/ African American/ Caribbean American,,No,,Construction,,,,No,No,No,,,,No,No,No,,No,Yes,Refused,No,No,,,,No,Yes,,,No,Yes,,No,No,No,No,,1,,Employed,2.0,No,No,No,,No,,,,No
,No,6:00,,No,,MN36,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,Asian,,No,,Other,,,,No,No,No,,,,No,No,No,,No,Yes,Single,No,,,,13749244306.0,No,,,,No,No,,No,,No,No,,1,,Employed,,No,,,,No,,,,No
,No,,,,,,,No,"High school graduate or equivalent (i.e., GED)",,,,,No,,No,Phone,No,No,Two or more races,,,Yes,,No,I take the bus less frequently,,No,,No,,,,No,No,No,,No,Yes,Married,No,,,,,No,No,,,No,,,,No,,No,,,,Other,,No,,,,No,,No,,
,No,,,,,,,No,Some high school,,,,,No,,Yes,Online,No,,Other,,,No,,No,I take the bus less frequently,,Yes,,Yes,,,,Yes,No,No,,No,Yes,Single,No,,,,13748594942.0,No,,,,No,No,,,,,No,,,,Unemployed,,No,,,,No,,No,,
,No,,,,No,,,,Some college but degree not received or in progress,No,,,,No,,No,Online,No,,Black/ African American/ Caribbean American,,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Single,Yes,No,,,13749269794.0,No,,,,No,Yes,,No,,,No,,,,Unemployed,1.0,No,No,No,,No,,,,
,No,6:00 PM,,No,,MN17,No,,"Graduate degree (i.e., Master's, Professional, Doctorate)",,,,No,No,,No,Online,No,,Asian,No,Yes,,"Professional & Business Services (consulting, legal, marketing)",,I take the bus less frequently,,No,,No,,,,No,No,No,,No,Yes,Married,Yes,,No,,13747665493.0,No,,,,No,No,,,,No,No,,1,,Employed,,No,,,,Yes,,,,No
,,,,,,,,No,"High school graduate or equivalent (i.e., GED)",No,,,,No,,No,Phone,No,,White/Caucasian,,,No,,No,,,No,No,No,,,,No,No,No,,No,Yes,Married,Yes,,,,,No,,,,No,No,,No,,,No,,,,Not in Labor Force,,No,,,,,,Yes,,
Yes,No,,No,,No,,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,No,,,No,No,No,Online,No,No,White/Caucasian,,,,,,,,No,No,No,,Gasoline,,No,No,No,,No,Yes,Widowed,Yes,No,No,,13745867943.0,No,No,,,No,Yes,,No,No,,No,,,No,Not in Labor Force,2.0,No,No,Yes,,No,,,,
,No,7PM,,No,No,MN19,,,Some college but degree not received or in progress,No,,,,No,,No,Online,No,,Asian,No,No,,Financial services,,I take the bus the same amount,,No,No,No,,,,No,No,No,,No,Yes,Married,No,No,,,13744909485.0,No,,,,No,No,,No,,No,No,,1,,Employed,2.0,No,No,No,,Yes,,,,No
,No,6:00 PM,,No,No,MN20,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Online,No,,White/Caucasian,,Yes,,Non-profit,,,,No,No,No,,,,No,No,No,,No,Yes,Single,No,No,,,13747684065.0,No,,,,No,No,,No,,No,No,,1,,Employed,1.0,No,No,No,,No,,,,No
,,,,,No,,,,"High school graduate or equivalent (i.e., GED)",No,,,,No,,No,Online,No,,Black/ African American/ Caribbean American,Yes,,,,,I take the bus more frequently,,Yes,No,No,No,,,No,No,No,,No,No,Living in a committed partnership,No,No,,No,13745696776.0,No,,,,Yes,No,,Yes,,,No,,,,Unemployed,1.0,No,No,No,,,,,,
,No,7,,No,,BX34,,,Some college but degree not received or in progress,No,,,,No,,No,Online,No,,Black/ African American/ Caribbean American,,Yes,,Financial services,,I take the bus less frequently,,No,No,Yes,,,,No,No,No,,No,Yes,Single,No,,,,13748191932.0,No,,College or community college,,No,No,,No,,No,No,,,,Employed,,No,,,,No,,,,No
,No,1AM,,No,,MN32,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,White/Caucasian,,No,,Retail,,I take the bus the same amount,,No,No,No,,,,No,No,No,,No,Yes,Married,No,,,,13746358593.0,No,,,,No,No,,Yes,,No,No,,1,,Employed,,No,,,,Yes,,,,No
,No,PM,No,No,,BK61,,No,"High school graduate or equivalent (i.e., GED)",No,No,,,No,No,No,Online,No,,Other,,Yes,No,Technology & Telecommunications,No,,,No,No,No,,,,No,No,No,,No,Yes,Single,No,,,,13745774080.0,No,,,Brooklyn,No,Yes,,No,,No,No,BK75,,No,Employed,,No,,,,No,,No,,No
,No,,,,,,,,"Associate degree (i.e., AA, AS)",No,,,,No,,No,Online,No,No,Asian,,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Single,No,,,,13746308927.0,No,Yes,College or community college,,No,No,,No,No,,No,,,,Not in Labor Force,,No,,,,No,,,,
,No,4:00 PM,,No,,BX55,,No,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Online,No,,Other,,No,Yes,Education,No,I take the bus more frequently,,No,No,No,,,,No,No,No,,No,Yes,Single,Yes,,,,13748755346.0,No,,,,No,No,,No,,No,No,,1,,Employed,,No,,,,No,,Yes,,No
,No,6:30pm,,No,,MN19,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,Asian,,Yes,,Real estate,,I take the bus the same amount,,No,No,No,,,,No,No,No,,No,Yes,Single,Yes,,,,13745953952.0,No,,,,No,No,,No,,No,No,,1,,Employed,,No,,,,No,,,,No
