property_id,office_weekly_operating_hours,multifamily_housing_number_5,net_emissions_metric_tons,retail_store_cash_register,food_service_gross_floor,address_2,primary_property_type_epa,non_refrigerated_warehouse,data_center_pdu_input_meter,municipally_supplied_potable_1,supermarket_grocery_gross,property_floor_area_building,weather_normalized_site,retail_store_gross_floor,national_median_source_eui,electricity_use_generated_1,national_median_energy_star,fast_food_restaurant_gross,pre_school_daycare_gross,data_center_national_median,multifamily_housing_percent_1,fuel_oil_1_use_kbtu,hospital_general_medical_1,kerosene_use_kbtu,bar_nightclub_gross_floor,vocational_school_gross_floor,nyc_borough_block_and_lot,data_center_it_site_energy,senior_care_community_gross,data_center_it_source_energy,occupancy,hospital_general_medical_4,multifamily_housing_number_3,census_tract,medical_office_gross_floor,total_ghg_emissions_metric,energy_power_station_gross,avoided_emissions_onsite,hospital_general_medical,manufacturing_industrial,municipally_supplied_potable_3,longitude,percent_of_electricity_that,water_wastewater_investment,retail_store_computer_density,weather_normalized_site_eui,personal_services_health,indoor_water_use_all_water,hospital_general_medical_3,courthouse_gross_floor_area,hospital_general_medical_6,social_meeting_hall_gross,hospital_general_medical_9,borough,outpatient_rehabilitation,year_built,data_center_it_energy,restaurant_weekly_operating,fuel_oil_2_use_kbtu,estimated_data_flag_fuel,worship_facility_gross_floor,mailing_center_post_office,hospital_general_medical_12,estimated_data_flag_fuel_2,fuel_oil_no_2_cost
2640585,Not Available,0,282,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,16000,13.3,Not Available,235.2,Not Available,50,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,4071170006,Not Available,Not Available,Not Available,100,Not Available,5.5,1347.0,Not Available,282,Not Available,Not Available,Not Available,Not Available,Not Available,-73.779583,0,Not Available,Not Available,304,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,1950,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1577267,45.73,Not Available,884,0.3,Not Available,Not Available,Office,Not Available,Not Available,Not Available,Not Available,89978,22.8,16692,221.9,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1012900001,Not Available,Not Available,Not Available,100,Not Available,Not Available,102.0,Not Available,884,Not Available,Not Available,Not Available,Not Available,32.22,-73.975295,0,Not Available,0.2,123.3,Not Available,2899.1,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1926,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1674432,65.58,Not Available,6007.7,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,Not Available,837431,22.1,Not Available,335.6,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1-01268-7501,1828231,Not Available,19587081.5,100,Not Available,Not Available,104.0,Not Available,6007.7,Not Available,Not Available,Not Available,Not Available,18.24,-73.977937,0,Not Available,Not Available,89,Not Available,15276.7,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1986,Uninterruptible Power Supply (UPS) supports only IT Equipment (preferred),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2607207,Not Available,1.17006,1184.2,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,147001,19.4,Not Available,149.8,Not Available,50,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,3070140002,Not Available,Not Available,Not Available,100,Not Available,1.95917,326.0,Not Available,1184.2,Not Available,Not Available,Not Available,Not Available,Not Available,-73.991357,0,Not Available,Not Available,111,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,1974,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1443214,Not Available,1.0373,7540.9,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,887879,12.1,Not Available,146,Not Available,50,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,1010890001,Not Available,Not Available,Not Available,100,Not Available,1.91468,117.0,Not Available,7540.9,Not Available,Not Available,Not Available,Not Available,31.11,-73.999917,0,Not Available,Not Available,131.3,Not Available,27620.6,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,2000,Not Available,Not Available,4838694,No,Not Available,Not Available,Not Available,Not Available,Not Available
1703401,65,Not Available,1260.7,0.38839,Not Available,Not Available,Office,Not Available,Not Available,Not Available,Not Available,246476,17.5,10299,278.1,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1-01289-0052,Not Available,Not Available,Not Available,100,Not Available,Not Available,102.0,Not Available,1260.7,Not Available,Not Available,Not Available,Not Available,8.18,-73.973415,0,Not Available,0.58258,59.6,Not Available,2015.4,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2397693,45.56,Not Available,700.6,0.2,Not Available,Not Available,Office,Not Available,Not Available,Not Available,Not Available,82065,14.2,5000,231.8,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1-01311-0050,Not Available,Not Available,Not Available,100,Not Available,Not Available,11203.0,10750,700.6,Not Available,Not Available,Not Available,Not Available,Not Available,-73.968898,0,Not Available,1.2,110.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1929,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2383271,65,0.56728,1211.8,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,191569,17.6,Not Available,123.2,Not Available,50,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,1013667501,Not Available,Not Available,Not Available,100,Not Available,1.0189,10601.0,Not Available,1211.8,Not Available,Not Available,Not Available,Not Available,Not Available,-73.963761,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1983,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available
1819903,Not Available,Not Available,6048.3,Not Available,Not Available,Not Available,College/University,Not Available,Not Available,Not Available,Not Available,628399,13.4,Not Available,262.6,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1001020001,Not Available,Not Available,Not Available,100,Not Available,Not Available,1501.0,Not Available,6048.3,Not Available,Not Available,Not Available,Not Available,Not Available,-74.005955,0,Not Available,Not Available,133.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1964,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1802295,72,Not Available,7698.9,0.35288,Not Available,Not Available,Office,Not Available,Not Available,Not Available,Not Available,957883,23,36840,335,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1010130029,187476.1,Not Available,2008559.2,100,Not Available,Not Available,113.0,Not Available,7698.9,Not Available,Not Available,Not Available,Not Available,27.35,-73.987208,0,Not Available,0.43431,100.5,Not Available,26196.7,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,2001,Uninterruptible Power Supply (UPS) supports only IT Equipment (preferred),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2614206,Not Available,Not Available,4854.2,Not Available,Not Available,Not Available,Hotel,Not Available,Not Available,Not Available,Not Available,521218,15.9,Not Available,161.6,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1011137502,Not Available,Not Available,Not Available,100,Not Available,Not Available,145.0,Not Available,4854.2,Not Available,Not Available,Not Available,Not Available,Not Available,-73.981588,0,Not Available,Not Available,127.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1960,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2435222,53.94,Not Available,6599.7,0.68692,Not Available,Not Available,Hotel,Not Available,Not Available,Not Available,Not Available,793262,16.3,13102,218.8,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1010200046,Not Available,Not Available,Not Available,100,Not Available,Not Available,125.0,Not Available,6599.7,Not Available,Not Available,Not Available,Not Available,13.68,-73.985189,0,Not Available,0.38162,111.4,Not Available,10853.1,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1989,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2606031,Not Available,0.96465,359,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,89505,3.8,Not Available,137.5,Not Available,50,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,2-02478-0007,Not Available,Not Available,Not Available,100,Not Available,1.54109,195.0,Not Available,359,Not Available,Not Available,Not Available,Not Available,66.18,-73.922213,0,Not Available,Not Available,64.8,Not Available,5923.1,Not Available,Not Available,Not Available,4500,Not Available,BRONX,Not Available,2007,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2558912,Not Available,0,301.1,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,70400,3.7,Not Available,122.8,Not Available,50,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,2-03233-0090,Not Available,Not Available,Not Available,100,Not Available,1.02273,257.0,Not Available,301.1,Not Available,Not Available,Not Available,Not Available,Not Available,-73.913829,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,1932,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available
2633414,77,Not Available,1231.8,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,Not Available,149292,14.2,Not Available,258,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1-01276-0051,Not Available,Not Available,Not Available,100,Not Available,Not Available,82.0,Not Available,1231.8,Not Available,Not Available,Not Available,Not Available,Not Available,-73.979496,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1917,Not Available,Not Available,8269235.9,No,Not Available,Not Available,Not Available,Not Available,0
2388507,Not Available,0.89264,2231.2,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,246461,11.6,Not Available,135.4,Not Available,50,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,1011647501,Not Available,Not Available,Not Available,100,Not Available,1.52965,159.0,Not Available,2231.2,Not Available,Not Available,Not Available,Not Available,Not Available,-73.982412,0,Not Available,Not Available,133,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1938,Not Available,Not Available,4608095.9,No,Not Available,Not Available,Not Available,Not Available,Not Available
2640596,Not Available,0,264.1,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,14671,14,Not Available,250,Not Available,50,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,4071170006,Not Available,Not Available,Not Available,100,Not Available,5.99823,1347.0,Not Available,264.1,Not Available,Not Available,Not Available,Not Available,Not Available,-73.776498,0,Not Available,Not Available,311.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,1950,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1802367,119,Not Available,2276.5,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,Not Available,332960,17.6,Not Available,418.6,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1005780047,Not Available,Not Available,Not Available,100,Not Available,Not Available,37.0,Not Available,2276.5,Not Available,Not Available,Not Available,Not Available,Not Available,-74.007753,0,Not Available,Not Available,90.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1929,Not Available,Not Available,1691612.9,No,Not Available,Not Available,Not Available,Not Available,Not Available
1733452,55,Not Available,727.7,0.81511,Not Available,Not Available,Office,Not Available,Not Available,0.24,Not Available,226421,11.4,14722,314,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1013940001,Not Available,Not Available,Not Available,100,Not Available,Not Available,11402.0,Not Available,727.7,Not Available,Not Available,Not Available,Not Available,18.8,-73.969641,0,Not Available,3.05665,38.9,Not Available,4256.6,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1947,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2598081,91,Not Available,818.6,0.64691,Not Available,Not Available,Office,Not Available,Not Available,Not Available,Not Available,63456,43.9,24733,340.9,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1012580040,Not Available,Not Available,Not Available,100,Not Available,Not Available,96.0,Not Available,818.6,Not Available,Not Available,Not Available,Not Available,19.43,-73.980538,0,Not Available,0.80864,156.3,Not Available,1233,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1954,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2384168,Not Available,0.21471,712.3,0.4,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,116779,10.3,5000,97.7,Not Available,50,Not Available,Not Available,Not Available,90,Not Available,Not Available,Not Available,Not Available,Not Available,1013780048,Not Available,Not Available,Not Available,100,Not Available,0.30417,122.0,Not Available,712.3,Not Available,Not Available,Not Available,Not Available,Not Available,-73.96891,0,Not Available,0.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1910,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available
2632856,77,Not Available,782.7,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,Not Available,102513,14.1,Not Available,248.2,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1-01043-0013,Not Available,Not Available,Not Available,100,Not Available,Not Available,133.0,Not Available,782.7,Not Available,Not Available,Not Available,Not Available,Not Available,-73.986712,0,Not Available,Not Available,88.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1929,Not Available,Not Available,5053757.2,No,Not Available,Not Available,Not Available,No,2211.82
2615609,Not Available,0,2245.2,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,401868,5.2,Not Available,136.1,Not Available,50,Not Available,Not Available,Not Available,90,Not Available,Not Available,Not Available,Not Available,Not Available,4014180001,Not Available,Not Available,Not Available,100,Not Available,1.52289,339.0,Not Available,2245.2,Not Available,Not Available,Not Available,Not Available,22.43,-73.879989,0,Not Available,Not Available,Not Available,Not Available,9012.5,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,1952,Not Available,Not Available,3120952.9,No,Not Available,Not Available,Not Available,Not Available,81825.28
2640550,Not Available,0,106.6,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,27600,3,Not Available,136.4,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4076600002,Not Available,Not Available,Not Available,100,Not Available,2.17391,1377.0,Not Available,106.6,Not Available,Not Available,Not Available,Not Available,Not Available,-73.752226,0,Not Available,Not Available,65.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,1949,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1467490,60,Not Available,2034.5,0.55984,Not Available,Not Available,Office,Not Available,Not Available,Not Available,Not Available,333984,13.8,30366,148.1,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1012930026,Not Available,Not Available,Not Available,100,Not Available,Not Available,11202.0,Not Available,2034.5,Not Available,Not Available,Not Available,Not Available,18.85,-73.97228,0,Not Available,0.32932,76.3,Not Available,6294,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1929,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2612493,55,Not Available,597.5,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,Not Available,98456,10.8,Not Available,273.2,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1-00839-0016,Not Available,Not Available,Not Available,100,Not Available,Not Available,,Not Available,597.5,Not Available,Not Available,Not Available,Not Available,Not Available,,0,Not Available,Not Available,70.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,1927,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2614203,Not Available,0.55741,3274,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,507707,6.8,Not Available,118.2,Not Available,50,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,1014237501,Not Available,Not Available,Not Available,100,Not Available,0.85679,118.0,Not Available,3274,Not Available,Not Available,Not Available,Not Available,Not Available,-73.961892,0,Not Available,Not Available,91.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1999,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2606277,60,Not Available,3065.8,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,Not Available,499919,12.9,Not Available,281.9,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1013210001,Not Available,Not Available,Not Available,100,Not Available,Not Available,90.0,Not Available,3065.8,Not Available,Not Available,Not Available,Not Available,Not Available,-73.972056,0,Not Available,Not Available,77,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1964,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2591915,65,Not Available,2046.6,0.3,Not Available,Not Available,Office,Not Available,Not Available,Not Available,Not Available,247919,13.3,21556,252.3,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1-01263-0071,Not Available,Not Available,Not Available,100,Not Available,Not Available,96.0,Not Available,2046.6,Not Available,Not Available,Not Available,Not Available,20.94,-73.981504,0,Not Available,0.2,110.8,Not Available,5192.2,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1964,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2638917,Not Available,0.32845,341.7,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,57847,6.5,Not Available,127.9,Not Available,50,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,1013970001,Not Available,Not Available,Not Available,100,Not Available,0.5359,11402.0,Not Available,341.7,Not Available,Not Available,Not Available,Not Available,Not Available,-73.968135,0,Not Available,Not Available,89.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1957,Not Available,Not Available,759000,No,Not Available,Not Available,Not Available,Not Available,0
